,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2007-07,59.03M,,-1.826M,90.62M,15.60M,106.22M,106.22M,-57.14M,,,,-1.079M,8.736M,-204.17M,-36.62M,141.90M,,192.39M,,102.23M,,207.44M,-121.86M,,-121.86M,,,0.187M,-121.67M,,-0.459M,26.75M,-332.60M,-305.85M,,-40.78M,1.079M,-346.00M,781.21M,-260.23M,12.81M,533.79M,26.75M,,,-332.60M
2007-04,162.11M,,5.984M,90.53M,14.40M,104.92M,104.92M,-9.443M,,,,-2.575M,-38.71M,-229.46M,-86.17M,178.47M,,-68.21M,,-244.08M,,16.91M,-95.14M,,-95.14M,,,0.183M,-94.96M,,-0.45M,18.97M,,18.97M,,-31.77M,2.575M,-10.68M,856.67M,-88.72M,13.26M,781.21M,18.97M,,,
2007-01,205.46M,,45.86M,91.54M,14.12M,105.66M,105.66M,-9.968M,,,,-2.26M,27.51M,655.83M,8.283M,-339.09M,,46.61M,-25.65M,373.49M,,718.24M,-86.17M,,-86.17M,,,0.18M,-85.99M,,-0.441M,56.32M,-128.25M,-71.93M,,-31.76M,2.26M,-101.87M,341.64M,530.38M,-15.34M,856.67M,56.32M,,,-128.25M
2006-10,230.61M,,2.07M,89.03M,16.72M,105.75M,105.75M,24.77M,,,,-25.48M,-41.40M,-314.93M,148.58M,150.01M,,-32.91M,25.65M,-65.00M,,272.71M,-112.47M,,-112.47M,,,0.177M,-112.30M,,-141.30M,131.47M,-53.97M,77.50M,,-31.49M,1.372M,-93.92M,273.72M,66.50M,1.423M,341.64M,131.47M,,,-53.97M
2006-07,138.16M,,2.135M,86.52M,19.44M,105.96M,105.96M,1.511M,,,,8.83M,34.20M,-366.70M,-65.51M,110.34M,,184.36M,,-103.31M,,153.27M,-83.35M,,-83.35M,,,0.173M,-83.18M,,140.45M,25.35M,-210.15M,-184.80M,,-31.98M,,-76.34M,279.88M,-6.241M,0.076M,273.72M,25.35M,,,-210.15M
2006-04,163.81M,,1.359M,86.02M,19.53M,105.56M,105.56M,-10.03M,,,,15.28M,-12.22M,-175.62M,-96.22M,128.91M,,-70.03M,,-225.17M,,50.81M,-96.02M,,-96.02M,,,0.17M,-95.85M,,-0.416M,47.06M,-164.86M,-117.81M,,-27.69M,,-145.92M,465.65M,-190.95M,5.186M,279.88M,47.06M,,,-164.86M
2006-01,288.70M,,-0.49M,81.35M,20.15M,101.50M,101.50M,-70.04M,,,,-1.543M,32.84M,553.96M,54.34M,-163.89M,,-127.13M,-16.84M,333.29M,,651.42M,-94.47M,,-84.78M,,,0.168M,-84.61M,,-245.64M,69.62M,-86.42M,-16.80M,,-27.48M,,-289.92M,201.02M,276.88M,-12.26M,465.65M,69.62M,,,-86.42M
2005-10,155.32M,,6.512M,76.28M,24.31M,100.59M,100.59M,-3.52M,,,,-8.151M,-51.79M,-88.00M,42.12M,-50.69M,,201.85M,16.84M,70.33M,,321.09M,-182.37M,,-182.37M,,,0.164M,-182.20M,,34.76M,5.497M,-133.97M,-128.48M,,-27.91M,,-121.63M,181.69M,17.26M,2.072M,201.02M,5.497M,,,-133.97M
2005-07,110.81M,,3.173M,77.85M,22.61M,100.46M,100.46M,-3.07M,,,,1.343M,10.63M,-365.72M,-35.85M,196.56M,,-19.93M,,-214.31M,,-1.592M,-118.47M,,-118.47M,,,0.162M,-118.30M,,279.12M,14.53M,-141.90M,-127.36M,,-28.22M,,123.54M,177.75M,3.64M,0.299M,181.69M,14.53M,,,-141.90M
2005-04,135.58M,,1.405M,78.80M,24.12M,102.92M,102.92M,-11.62M,,,,6.808M,-12.68M,-109.02M,-95.81M,53.03M,,116.48M,,-48.00M,,187.10M,-100.65M,,-100.65M,,,0.158M,-100.49M,,34.61M,12.79M,-241.45M,-228.66M,,-21.64M,,-215.69M,307.19M,-129.08M,-0.36M,177.75M,12.79M,,,-241.45M
