,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,13.73M,,,,-30.89M,,,16.30M,16.30M,11.88M,,,,0.799M,4.674M,4.045M,1.227M,,,,9.946M,21.78M,,-18.60M,-18.60M,0.00,-1.486M,0.283M,-19.80M,,,,,,,,,,,,-0.002M,-0.002M,,150.82M,1.972M,,152.79M,,,,,,,,,,
2006-03,11.62M,,,,-20.63M,,,15.66M,15.66M,8.293M,,,,0.353M,-4.836M,-4.012M,3.827M,,,,-5.021M,10.27M,,-13.80M,-13.80M,-46.79M,-49.18M,-0.027M,-109.80M,,,,,,,,,,,,-0.002M,-0.002M,,250.35M,-99.53M,,150.82M,,,,,,,,,,
2005-12,11.24M,,,,-12.41M,,,21.49M,21.49M,3.694M,,,,-0.323M,13.64M,3.238M,-17.10M,,,,-0.229M,23.46M,,-16.02M,-16.02M,,12.41M,2.876M,-0.735M,,,,,,,,,,,,0.007M,0.129M,,227.50M,22.85M,,250.35M,,,,,,,,,,
2005-09,1.189M,,,,-33.07M,,,17.88M,17.88M,32.38M,,,,0.323M,-2.275M,2.815M,11.59M,,,,12.13M,30.84M,,-23.36M,-23.36M,,,8.514M,-14.84M,,,,,,,,,,,,200.68M,200.68M,,10.83M,216.67M,,227.50M,,,,,,,,,,
2005-06,4.027M,,,,-36.77M,,,20.24M,20.24M,5.393M,,,,22.68M,7.682M,2.041M,-5.297M,,,,4.426M,19.99M,,-30.23M,-51.15M,,,1.767M,-28.46M,,,,,,,,,,,,4.121M,4.121M,,15.18M,-4.35M,,10.83M,,,,,,,,,,
2005-03,16.82M,,,,,,,16.76M,16.76M,8.898M,,,,-22.68M,-2.807M,2.71M,-8.706M,,,,-8.803M,11.00M,,-20.92M,,0.00,0.00,2.217M,-18.70M,,,,,,,,,,,,1.239M,1.239M,,21.64M,-6.46M,,15.18M,,,,,,,,,AOR,Restated
2004-12,15.74M,,,,,,,24.08M,24.08M,8.83M,,,,-24.48M,-18.02M,3.659M,10.92M,,,,-3.435M,20.74M,,-15.85M,,-6.203M,,-3.189M,-38.05M,,,,,,,,,,,,0.00,0.00,,38.95M,-17.31M,,21.64M,,,,,,,,,AOR,Restated
2004-09,16.19M,,,,,,,18.30M,18.30M,7.954M,,,,-18.42M,-3.10M,-10.29M,11.55M,,,3.369M,1.526M,25.55M,,-19.13M,,0.00,,1.925M,-17.21M,,,,,,,,,,,,0.00,0.00,,30.60M,8.345M,,38.95M,,,,,,,,,AOR,
2004-06,22.26M,,,,,,,19.17M,19.17M,11.34M,,,,-27.51M,-5.026M,,2.15M,,,1.478M,-1.398M,23.87M,,-8.38M,,-1.696M,,1.313M,-8.763M,,,,,,,,,,,,0.044M,0.044M,,15.45M,15.15M,,30.60M,,,,,,,,,AOR,
2004-03,11.92M,,,,,,,16.05M,16.05M,3.566M,,,,-10.08M,-10.26M,,7.812M,,,-4.847M,-7.297M,14.16M,,-5.925M,,-32.36M,,0.024M,-38.26M,,,,,,,,,,,,30.96M,30.96M,,8.599M,6.853M,,15.45M,,,,,,,,,AOR,
