,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2012-03,1.585B,1.585B,1.558B,27.00M,230.00M,368.00M,1.00M,-8.00M,43.00M,2.00M,-41.00M,,599.00M,-572.00M,2.00M,43.00M,-41.00M,-9.00M,-41.00M,-622.00M,-32.00M,-590.00M,,,,-590.00M,-582.41M,-516.00M,63.00M,-579.00M,,-0.80,,,-0.7897,-0.80,,-0.80,,,-0.7897,-0.80,,734.00M,734.00M,,AOR,Restated
2011-12,1.69B,1.691B,918.00M,773.00M,243.00M,358.00M,3.00M,-112.00M,43.00M,2.00M,-41.00M,,604.00M,169.00M,2.00M,43.00M,-41.00M,-305.00M,-41.00M,-177.00M,-4.00M,-173.00M,,,,-177.00M,-63.53M,-64.00M,70.00M,-134.00M,,-0.24,-0.01,,-0.0907,-0.24,,-0.24,-0.01,,-0.0925,-0.24,,733.00M,742.00M,,AOR,Restated
2011-09,1.69B,1.69B,934.00M,756.00M,249.00M,361.00M,8.00M,-7.00M,42.00M,3.00M,-39.00M,,618.00M,138.00M,3.00M,42.00M,-39.00M,-7.00M,-39.00M,92.00M,-5.00M,97.00M,,,,97.00M,101.55M,213.00M,79.00M,134.00M,,0.13,0.00,,0.1362,0.13,,0.13,0.00,,0.1361,0.13,,729.00M,741.00M,,AOR,Restated
2011-06,1.574B,1.574B,854.00M,720.00M,239.00M,367.00M,9.00M,4.00M,47.00M,2.00M,-45.00M,,615.00M,105.00M,2.00M,47.00M,-45.00M,4.00M,-45.00M,64.00M,3.00M,61.00M,,,,61.00M,57.19M,191.00M,80.00M,111.00M,,0.08,0.00,,0.0747,0.08,,0.08,0.00,,0.0749,0.08,,724.00M,743.00M,,AOR,Restated
2011-03,1.613B,1.613B,922.00M,691.00M,261.00M,367.00M,9.00M,11.00M,48.00M,3.00M,-45.00M,,637.00M,54.00M,3.00M,48.00M,-45.00M,11.00M,-45.00M,20.00M,2.00M,510.00M,,,,510.00M,500.10M,156.00M,88.00M,68.00M,,0.71,0.00,,0.6962,0.71,,0.68,0.00,,0.6670,0.68,,720.00M,764.00M,,AOR,Restated
2010-12,1.635B,1.649B,906.00M,743.00M,250.00M,352.00M,11.00M,-38.00M,39.00M,2.00M,-37.00M,,613.00M,130.00M,2.00M,39.00M,-37.00M,297.00M,-37.00M,390.00M,42.00M,375.00M,,,,375.00M,408.91M,518.00M,89.00M,429.00M,,0.53,0.00,,0.5775,0.53,,0.51,0.00,,0.5561,0.51,,714.00M,736.00M,,AOR,Restated
2010-09,1.618B,1.618B,879.00M,739.00M,236.00M,359.00M,16.00M,-6.00M,56.00M,3.00M,-53.00M,,611.00M,128.00M,3.00M,56.00M,-53.00M,-6.00M,-53.00M,69.00M,1.00M,-118.00M,,,,-118.00M,-112.09M,219.00M,94.00M,125.00M,,-0.17,0.00,,-0.1617,-0.17,,-0.17,0.00,,-0.1617,-0.17,,713.00M,713.00M,,AOR,Restated
2010-06,1.653B,1.653B,915.00M,738.00M,229.00M,371.00M,17.00M,-1.00M,55.00M,3.00M,-52.00M,-4.00M,613.00M,125.00M,3.00M,55.00M,-52.00M,-1.00M,-52.00M,72.00M,-5.00M,-43.00M,,,,-43.00M,-42.35M,227.00M,100.00M,127.00M,,-0.06,0.00,,-0.0591,-0.06,,-0.06,0.00,,-0.0591,-0.06,,709.00M,709.00M,,AOR,Restated
2010-03,1.574B,1.574B,833.00M,741.00M,219.00M,323.00M,17.00M,304.00M,49.00M,3.00M,-46.00M,,559.00M,182.00M,3.00M,49.00M,-46.00M,304.00M,-46.00M,440.00M,0.00,257.00M,,,,257.00M,-47.00M,589.00M,100.00M,489.00M,,0.36,0.00,,-0.0700,0.36,,0.35,0.00,,-0.0532,0.35,,707.00M,754.00M,,AOR,Restated
2009-12,1.646B,1.646B,911.00M,735.00M,239.00M,432.00M,18.00M,84.00M,119.00M,3.00M,-116.00M,,-488.00M,1.223B,3.00M,119.00M,-116.00M,84.00M,-116.00M,1.191B,11.00M,1.18B,,23.00M,22.00M,1.20B,1.120B,1.594B,284.00M,1.31B,,1.78,0.00,,1.662,1.78,,1.77,0.00,,1.655,1.77,,706.00M,726.00M,,AOR,Restated
