,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,SECFilingLinks,AsOriginallyReported,Restated
2006-09,394.60M,,394.60M,2.197B,,2.197B,7.014B,,222.80M,113.80M,9.943B,,,,,,,8.374B,-2.182B,6.193B,3.265B,1.347B,4.612B,,152.80M,226.80M,11.18B,21.13B,,2006-09,2.817B,1.593B,4.410B,,,3.207B,,3.207B,,7.616B,3.280B,,3.280B,,,,,,796.90M,4.077B,11.69B,,7.595B,2.14B,319.50M,215.60M,-205.40M,2006-09,,
2006-06,532.30M,,532.30M,2.032B,,2.032B,6.639B,,235.60M,111.50M,9.550B,,,,,,,8.021B,-2.182B,5.840B,3.465B,1.077B,4.541B,,149.30M,221.50M,10.75B,20.30B,,2006-06,2.707B,1.416B,4.123B,,,4.509B,,4.509B,,8.632B,1.780B,,1.780B,,,,,,807.10M,2.587B,11.22B,,7.343B,2.049B,337.10M,217.90M,-198.60M,2006-06,,
2006-03,387.10M,,387.10M,2.015B,,2.015B,5.705B,,233.30M,91.10M,8.431B,,,,,,,6.278B,-2.182B,4.096B,1.782B,784.60M,2.566B,,125.50M,228.90M,7.017B,15.45B,,2006-03,2.438B,1.384B,3.822B,,,553.00M,,553.00M,,4.375B,1.592B,,1.592B,,,,,,761.30M,2.354B,6.728B,,7.037B,1.998B,340.50M,220.70M,-203.60M,2006-03,,
2005-12,513.40M,,513.40M,1.840B,,1.840B,5.720B,,241.10M,78.80M,8.393B,0.00,322.40M,2.128B,3.484B,199.90M,,6.134B,-2.182B,3.953B,,2.592B,2.592B,,122.50M,223.50M,6.891B,15.28B,,2005-12,2.468B,1.521B,3.989B,,,595.00M,,595.00M,,4.584B,1.594B,,1.594B,,,,,,774.20M,2.368B,6.952B,,6.739B,1.922B,356.50M,222.60M,-204.30M,2005-12,,
2005-09,368.20M,,368.20M,1.783B,,1.783B,5.697B,,221.80M,90.00M,8.160B,,,,,,,5.878B,-1.769B,4.108B,,2.604B,2.604B,,127.10M,226.50M,7.066B,15.23B,,2005-09,2.325B,1.432B,3.757B,,,1.163B,,1.163B,,4.920B,1.628B,,1.628B,,,,,,722.90M,2.351B,7.270B,,6.376B,1.900B,358.70M,224.40M,-194.30M,2005-09,,
2005-06,414.10M,,414.10M,1.704B,,1.704B,5.360B,,223.10M,92.90M,7.794B,,,,,,,5.741B,-1.769B,3.972B,,2.651B,2.651B,,132.10M,216.40M,6.972B,14.77B,,2005-06,2.055B,1.424B,3.479B,,,1.213B,,1.213B,,4.692B,1.630B,,1.630B,,,,,,761.70M,2.391B,7.083B,,6.153B,1.864B,373.00M,225.70M,-195.00M,2005-06,,
2005-03,323.80M,,323.80M,1.795B,,1.795B,5.551B,,248.10M,100.00M,8.018B,,,,,,,5.458B,-1.769B,3.689B,,2.762B,2.762B,,135.60M,213.40M,6.800B,14.82B,,2005-03,2.131B,1.525B,3.655B,,,1.339B,,1.339B,,4.994B,1.633B,,1.633B,,,,,,790.10M,2.423B,7.417B,,5.906B,1.834B,375.00M,227.30M,-195.70M,2005-03,,
2004-12,392.30M,,392.30M,1.764B,,1.764B,5.454B,,243.10M,66.00M,7.920B,0.00,262.60M,1.899B,2.944B,169.50M,,5.275B,-1.769B,3.506B,,2.766B,2.766B,,137.60M,217.40M,6.627B,14.55B,,2004-12,2.276B,1.667B,3.943B,,,916.20M,,916.20M,,4.859B,1.926B,,1.926B,,,,,,774.90M,2.701B,7.560B,,5.646B,1.687B,385.90M,228.40M,-196.40M,2004-12,,
2004-09,354.40M,,354.40M,1.579B,,1.579B,5.412B,,246.30M,105.70M,7.698B,,,,,,,4.921B,-1.418B,3.503B,,2.745B,2.745B,,176.50M,223.70M,6.648B,14.35B,,2004-09,2.310B,1.561B,3.871B,,,979.80M,,979.80M,,4.851B,1.952B,,1.952B,,,,,,828.10M,2.780B,7.631B,,5.431B,1.658B,392.90M,234.00M,-220.60M,2004-09,,
2004-06,622.90M,,622.90M,1.216B,,1.216B,4.003B,,275.60M,58.90M,6.177B,,,,,,,4.257B,-1.418B,2.839B,,1.284B,1.284B,,,213.50M,4.336B,10.51B,,2004-06,1.656B,1.280B,2.936B,,,23.30M,,23.30M,,2.960B,752.50M,,752.50M,41.60M,41.60M,,,,230.80M,1.025B,3.985B,,5.273B,1.633B,405.60M,235.20M,-210.60M,2004-06,,
2004-03,651.50M,,651.50M,1.288B,,1.288B,3.923B,,278.20M,65.20M,6.206B,,,,,,,4.078B,-1.418B,2.660B,,1.290B,1.290B,,,209.10M,4.159B,10.36B,,2004-03,1.635B,1.397B,3.032B,,,23.20M,,23.20M,,3.056B,752.80M,,752.80M,41.60M,41.60M,,,,234.10M,1.028B,4.084B,,5.065B,1.583B,407.30M,236.60M,-200.10M,2004-03,,
2003-12,843.20M,,843.20M,1.350B,,1.350B,4.016B,,252.10M,35.10M,6.496B,0.00,180.70M,1.506B,2.123B,150.80M,,3.960B,-1.418B,2.542B,,1.293B,1.293B,,,211.80M,4.047B,10.54B,,2003-12,1.666B,1.500B,3.166B,,,323.20M,,323.20M,,3.489B,753.10M,,753.10M,41.60M,41.60M,,,,237.40M,1.032B,4.521B,,4.846B,1.557B,428.60M,242.70M,-200.10M,2003-12,,
2003-09,727.30M,,727.30M,1.080B,,1.080B,4.024B,,200.70M,30.70M,6.063B,,,,,,,3.788B,-1.190B,2.598B,,1.269B,1.269B,,6.60M,213.50M,4.086B,10.15B,,2003-09,1.700B,1.346B,3.046B,,,332.10M,,332.10M,,3.378B,775.60M,,775.60M,,,,,,252.00M,1.028B,4.406B,,4.620B,1.544B,430.10M,243.90M,-239.00M,2003-09,,
2003-06,566.80M,,566.80M,1.089B,,1.089B,3.801B,,208.80M,31.20M,5.696B,,,,,,,3.638B,-1.190B,2.448B,,1.254B,1.254B,,6.60M,215.90M,3.925B,9.621B,,2003-06,1.464B,1.227B,2.690B,,,332.10M,,332.10M,,3.023B,775.90M,,775.90M,,,,,,258.20M,1.034B,4.057B,,4.455B,1.546B,447.10M,245.20M,-239.00M,2003-06,,
2003-03,648.10M,,648.10M,1.106B,,1.106B,3.872B,,213.00M,37.40M,5.877B,,,,,,,3.506B,-1.190B,2.316B,,1.256B,1.256B,,6.60M,209.40M,3.788B,9.666B,,2003-03,1.619B,1.299B,2.918B,,,332.10M,,332.10M,,3.250B,776.10M,,776.10M,,,,,,261.00M,1.037B,4.287B,,4.278B,1.538B,448.90M,246.60M,-239.00M,2003-03,,
2002-12,700.40M,,700.40M,1.019B,,1.019B,4.014B,,216.40M,32.10M,5.982B,0.00,132.30M,479.20M,1.894B,900.30M,,3.406B,-1.190B,2.216B,,1.230B,1.230B,,6.60M,210.50M,3.663B,9.645B,,2002-12,1.708B,1.361B,3.069B,,,36.80M,,36.80M,,3.106B,1.076B,,1.076B,,,,,,266.10M,1.342B,4.448B,,4.104B,1.547B,469.50M,250.40M,-239.00M,2002-12,,
2002-09,217.30M,,217.30M,986.30M,,986.30M,3.983B,,200.00M,45.10M,5.432B,,,,,,,3.172B,-970.80M,2.201B,,1.22B,1.22B,,,201.00M,3.622B,9.054B,,2002-09,1.561B,1.270B,2.831B,,,184.50M,,184.50M,,3.015B,807.70M,,807.70M,35.30M,35.30M,,,,144.50M,987.50M,4.003B,,3.942B,1.545B,471.60M,252.00M,-219.90M,2002-09,,
2002-06,333.30M,,333.30M,1.004B,,1.004B,3.876B,,204.50M,43.60M,5.462B,,,,,,,3.123B,-970.80M,2.152B,,1.198B,1.198B,,,184.20M,3.534B,8.996B,,2002-06,1.335B,1.263B,2.598B,,,514.70M,,514.70M,,3.113B,807.90M,,807.90M,35.30M,35.30M,,,,146.70M,989.90M,4.103B,,3.800B,1.542B,487.20M,253.60M,-219.90M,2002-06,,
2002-03,453.50M,,453.50M,1.009B,,1.009B,4.098B,,210.60M,48.20M,5.820B,,,,,,,2.996B,-970.80M,2.025B,,1.185B,1.185B,,,181.90M,3.392B,9.212B,,2002-03,1.515B,1.274B,2.789B,,,691.20M,,691.20M,,3.480B,810.20M,,810.20M,35.30M,35.30M,,,,149.90M,995.40M,4.476B,,3.646B,1.540B,490.20M,256.00M,-219.90M,2002-03,,
2001-12,236.30M,,236.30M,966.20M,,966.20M,3.919B,,242.60M,46.20M,5.410B,0.00,102.40M,262.20M,1.702B,751.40M,,2.818B,-970.80M,1.847B,,1.193B,1.193B,,8.10M,177.80M,3.226B,8.636B,,2001-12,1.536B,1.267B,2.803B,,,262.20M,,262.20M,,3.065B,810.40M,,810.40M,,,,,,193.90M,1.004B,4.069B,,3.493B,1.540B,510.80M,261.20M,-219.90M,2001-12,,
2001-09,406.60M,,406.60M,956.50M,,956.50M,4.068B,,132.50M,100.80M,5.664B,,,,,,,2.812B,-859.20M,1.952B,,850.70M,850.70M,,,477.80M,3.281B,8.946B,,2001-09,1.551B,1.075B,2.625B,,,625.00M,,625.00M,,3.250B,836.20M,,836.20M,28.00M,28.00M,,,,118.00M,982.20M,4.232B,,3.660B,1.537B,510.70M,262.80M,-240.60M,2001-09,,
2001-06,273.80M,,273.80M,934.10M,,934.10M,3.92B,,129.40M,98.40M,5.356B,,,,,,,2.746B,-859.20M,1.886B,,858.30M,858.30M,,,471.20M,3.216B,8.572B,,2001-06,1.424B,938.30M,2.362B,,,501.10M,,501.10M,,2.863B,836.40M,,836.40M,28.00M,28.00M,,,,117.20M,981.60M,3.845B,,3.559B,1.534B,392.80M,263.60M,-240.60M,2001-06,,
2001-03,299.80M,,299.80M,893.70M,,893.70M,3.821B,,126.90M,102.40M,5.244B,,,,,,,2.662B,-859.20M,1.802B,,860.10M,860.10M,,,468.20M,3.131B,8.375B,,2001-03,1.231B,1.052B,2.283B,,,571.20M,,571.20M,,2.854B,836.60M,,836.60M,28.00M,28.00M,,,,117.80M,982.40M,3.837B,,3.384B,1.520B,394.70M,265.30M,-240.60M,2001-03,,
2000-12,337.30M,,337.30M,824.50M,,824.50M,3.558B,,124.90M,92.30M,4.937B,,,,,,,2.601B,-859.20M,1.742B,,818.50M,818.50M,,,452.30M,3.013B,7.950B,,2000-12,1.352B,,1.352B,,,611.20M,,611.20M,1.001B,2.964B,536.80M,,536.80M,28.00M,28.00M,,,,116.00M,680.80M,3.645B,,3.185B,1.494B,404.90M,267.50M,-240.60M,2000-12,,
2000-09,214.90M,,214.90M,,,795.20M,3.779B,,,283.40M,5.072B,,,,,,,2.629B,-842.30M,1.787B,,805.80M,805.80M,,,456.70M,3.049B,8.122B,,2000-09,1.450B,,1.450B,,,919.60M,,919.60M,982.40M,3.352B,557.80M,,557.80M,27.20M,27.20M,,,,104.30M,689.30M,4.042B,,3.012B,1.456B,405.10M,269.00M,-257.00M,2000-09,,
2000-06,182.50M,,182.50M,,,759.10M,3.500B,,,279.70M,4.721B,,,,,,,2.665B,-886.80M,1.778B,,741.30M,741.30M,,,435.50M,2.955B,7.676B,,2000-06,1.104B,,1.104B,,,988.20M,,988.20M,956.20M,3.048B,558.00M,,558.00M,27.20M,27.20M,,,,110.40M,695.60M,3.744B,,2.876B,1.441B,402.30M,270.50M,-257.00M,2000-06,,
2000-03,236.60M,,236.60M,,,702.50M,3.658B,,,259.50M,4.857B,,,,,,,2.523B,-844.50M,1.679B,,738.40M,738.40M,,,416.80M,2.834B,7.691B,,2000-03,1.284B,,1.284B,,,940.10M,,940.10M,1.013B,3.237B,558.20M,,558.20M,23.00M,23.00M,,,,121.50M,702.70M,3.940B,,2.712B,1.380B,360.30M,272.20M,-257.00M,2000-03,,
1999-12,230.00M,,230.00M,699.30M,,699.30M,3.446B,,,233.20M,4.608B,,,,,,,2.405B,-803.60M,1.601B,,706.90M,706.90M,,,359.50M,2.667B,7.275B,,1999-12,1.454B,,1.454B,,,468.30M,,468.30M,967.40M,2.890B,558.50M,,558.50M,27.20M,27.20M,,,,120.10M,705.80M,3.596B,,2.544B,1.372B,258.50M,276.00M,-257.00M,1999-12,,
1999-09,169.90M,,169.90M,,,770.50M,3.373B,,,332.70M,4.646B,,,,,,,2.328B,-787.40M,1.541B,,699.70M,699.70M,,,287.00M,2.528B,7.174B,,1999-09,1.384B,,1.384B,,,607.90M,,607.90M,985.60M,2.977B,575.20M,,575.20M,,,,,,107.70M,682.90M,3.660B,,2.394B,1.367B,257.30M,277.00M,-270.70M,1999-09,,
1999-06,232.30M,,232.30M,,,727.10M,3.108B,,,312.60M,4.380B,,,,,,,2.236B,-754.50M,1.481B,,700.90M,700.90M,,,334.10M,2.516B,6.896B,,1999-06,1.007B,,1.007B,,,721.80M,,721.80M,1.056B,2.785B,576.40M,,576.40M,,,,,,123.00M,699.40M,3.484B,,2.296B,,,278.20M,,1999-06,,
1999-03,136.80M,,136.80M,,,699.30M,3.286B,,,310.20M,4.433B,,,,,,,2.094B,-714.90M,1.379B,,690.90M,690.90M,,,339.70M,2.409B,6.842B,,1999-03,1.203B,,1.203B,,,537.00M,,537.00M,1.119B,2.859B,575.50M,,575.50M,,,,,,143.30M,718.80M,3.578B,,2.163B,,,279.20M,,1999-03,,
1998-12,181.00M,,181.00M,,,650.00M,3.19B,,,328.00M,4.349B,,,,,,,2.04B,-689.00M,1.351B,,725.00M,725.00M,,,261.00M,2.337B,6.686B,,1998-12,1.286B,,1.286B,,,786.00M,,786.00M,1.061B,3.133B,276.00M,,276.00M,24.00M,24.00M,,,,142.00M,442.00M,3.575B,,2.021B,1.336B,260.00M,280.00M,-271.00M,1998-12,,
1998-09,125.40M,,125.40M,,,566.70M,3.148B,,,317.90M,4.158B,,,,,,,1.989B,-721.60M,1.268B,,725.40M,725.40M,,,359.20M,2.352B,6.51B,,1998-09,1.168B,,1.168B,,,701.20M,,701.20M,1.226B,3.095B,288.20M,,288.20M,,,,,,154.10M,442.30M,3.538B,,1.912B,,,280.90M,,1998-09,,
1998-06,62.00M,,62.00M,,,499.30M,2.938B,,,349.60M,3.849B,,,,,,,1.950B,-778.30M,1.172B,,712.30M,712.30M,,,329.50M,2.214B,6.063B,,1998-06,865.70M,,865.70M,,,673.90M,,673.90M,1.202B,2.742B,288.40M,,288.40M,,,,,,175.40M,463.80M,3.206B,,1.832B,,,281.70M,,1998-06,,
1998-03,112.20M,,112.20M,,,436.00M,2.973B,,,289.40M,3.811B,,,,,,,1.540B,-556.50M,983.00M,,706.50M,706.50M,,,294.40M,1.984B,5.795B,,1998-03,1.172B,,1.172B,,,663.10M,,663.10M,1.045B,2.880B,272.60M,,272.60M,,,,,,162.00M,434.60M,3.314B,,1.653B,,,284.20M,,1998-03,,
