,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2006-03,329.60M,,,15.50M,155.40M,155.40M,22.20M,,,,-175.40M,15.00M,-29.80M,-14.50M,-128.10M,-18.20M,-351.00M,171.70M,,2006-03,-283.70M,-279.20M,-15.10M,,,-294.30M,,2006-03,,,61.40M,,61.40M,,-31.60M,,10.50M,-3.70M,,2006-03,513.40M,-126.30M,387.10M,,2006-03,61.40M,,,,,,2006-03,
2005-12,406.40M,,,,155.90M,155.90M,-43.10M,,,,-56.50M,-23.00M,142.60M,11.00M,110.50M,56.80M,241.40M,760.60M,,2005-12,-355.10M,-352.10M,,,349.10M,-3.00M,,2005-12,,,6.00M,,6.00M,,-43.70M,,,-612.40M,,2005-12,368.20M,145.20M,513.40M,,2005-12,6.00M,,,,,,2005-12,
2005-09,252.70M,,,,147.70M,147.70M,14.30M,,,,-84.50M,-336.30M,273.50M,-2.40M,42.20M,-56.80M,-164.30M,250.40M,,2005-09,-408.60M,-452.20M,,,195.60M,-256.60M,,2005-09,,,41.80M,,41.80M,,-29.40M,,,-39.70M,,2005-09,414.10M,-45.90M,368.20M,,2005-09,41.80M,,,,,,2005-09,
2005-06,275.90M,,,,147.60M,147.60M,32.00M,,,,90.00M,190.60M,-78.30M,6.00M,-105.50M,,102.80M,558.30M,,2005-06,-418.30M,-350.90M,10.00M,,4.80M,-336.10M,,2005-06,,,26.40M,,26.40M,,-29.40M,,,-131.90M,,2005-06,323.80M,90.30M,414.10M,,2005-06,26.40M,,,,,,2005-06,
2005-03,289.70M,,,,137.90M,137.90M,10.30M,,,,-32.10M,-96.50M,-145.60M,-27.90M,-93.00M,,-395.10M,42.80M,,2005-03,-313.40M,-308.40M,-10.00M,,2.50M,-315.90M,,2005-03,,,104.20M,,104.20M,,-29.10M,,,204.60M,,2005-03,392.30M,-68.50M,323.80M,,2005-03,104.20M,,,,,,2005-03,
2004-12,295.60M,,,,131.80M,131.80M,33.00M,,,,-173.80M,-77.60M,-49.80M,86.20M,75.30M,-125.10M,-264.80M,195.60M,,2004-12,-535.60M,-536.00M,13.30M,,444.60M,-78.10M,,2004-12,,,28.80M,,28.80M,,-40.80M,,,-79.60M,,2004-12,354.40M,37.90M,392.30M,,2004-12,28.80M,,,,,,2004-12,
2004-09,184.60M,,,,118.60M,118.60M,-24.10M,,,,-7.90M,-445.30M,169.20M,-26.90M,66.10M,125.10M,-119.70M,159.40M,,2004-09,-347.70M,-341.50M,-2.266B,,14.50M,-2.593B,,2004-09,,,35.60M,,35.60M,,-26.50M,,,2.165B,,2004-09,622.90M,-268.50M,354.40M,,2004-09,35.60M,,,,,,2004-09,
2004-06,234.50M,,,,96.10M,96.10M,6.00M,,,,71.60M,-79.90M,21.40M,7.80M,-120.60M,,-99.70M,236.90M,,2004-06,-268.70M,-264.80M,-18.90M,,3.00M,-280.70M,,2004-06,,,41.70M,,41.70M,,-26.30M,,,15.20M,,2004-06,651.50M,-28.60M,622.90M,,2004-06,41.70M,,,,,,2004-06,
2004-03,244.60M,,,,93.40M,93.40M,-22.10M,,,,61.70M,93.00M,-31.40M,-22.90M,-94.00M,,6.40M,322.30M,,2004-03,-195.70M,-191.10M,-21.90M,,1.70M,-211.30M,,2004-03,,,23.70M,,23.70M,,-26.20M,,,-302.70M,,2004-03,843.20M,-191.70M,651.50M,,2004-03,23.70M,,,,,,2004-03,
2003-12,263.40M,,,,87.90M,87.90M,10.70M,,,,-269.40M,7.60M,-33.20M,6.30M,138.90M,,-149.80M,212.20M,,2003-12,-361.50M,-355.90M,-45.40M,,332.60M,-68.70M,,2003-12,,,9.90M,,9.90M,,-37.20M,,,-27.60M,,2003-12,727.30M,115.90M,843.20M,,2003-12,9.90M,,,,,,2003-12,
2003-09,187.80M,,,,85.80M,85.80M,20.50M,,,,8.40M,-223.30M,235.90M,-15.90M,112.50M,,117.60M,411.70M,,2003-09,-353.50M,-349.50M,-19.70M,,127.10M,-242.10M,,2003-09,,,13.80M,,13.80M,,-22.70M,,,-9.10M,,2003-09,566.80M,160.50M,727.30M,,2003-09,13.80M,,,,,,2003-09,
2003-06,199.80M,,,,85.40M,85.40M,4.80M,,,,17.70M,71.60M,-155.10M,6.50M,-69.30M,,-128.60M,161.40M,,2003-06,-230.70M,-234.40M,-15.90M,,28.10M,-222.20M,,2003-06,,,2.40M,,2.40M,,-22.70M,,,-20.50M,,2003-06,648.10M,-81.30M,566.80M,,2003-06,2.40M,,,,,,2003-06,
2003-03,196.30M,,,,82.60M,82.60M,5.10M,,,,-67.80M,146.20M,-89.10M,-0.30M,-89.40M,,-100.40M,183.60M,,2003-03,-176.00M,-168.50M,-52.10M,,,-220.60M,,2003-03,,,12.20M,,12.20M,,-22.60M,,,-15.30M,,2003-03,700.40M,-52.30M,648.10M,,2003-03,12.20M,,,,,,2003-03,
2002-12,200.10M,,,,79.40M,79.40M,16.90M,,,,-33.00M,-30.90M,147.10M,1.20M,101.10M,,185.50M,481.90M,,2002-12,-304.10M,-304.00M,-25.00M,,220.00M,-109.00M,,2002-12,,,1.10M,,1.10M,,-37.30M,,,110.20M,,2002-12,217.30M,483.10M,700.40M,,2002-12,1.10M,,,,,,2002-12,
2002-09,164.40M,,,,77.10M,77.10M,5.10M,,,,17.80M,-107.00M,225.50M,-19.60M,11.30M,,128.00M,374.60M,,2002-09,-214.40M,-210.20M,-36.00M,,93.30M,-152.90M,,2002-09,,,15.20M,,15.20M,,-22.60M,,,-337.70M,,2002-09,333.30M,-116.00M,217.30M,,2002-09,15.20M,,,,,,2002-09,
2002-06,176.40M,,,,78.80M,78.80M,9.40M,,,,4.80M,222.30M,-180.00M,-5.50M,-7.60M,,34.00M,298.60M,,2002-06,-212.40M,-201.60M,-18.50M,,0.00,-220.10M,,2002-06,,,2.70M,,2.70M,,-22.50M,,,-198.70M,,2002-06,453.50M,-120.20M,333.30M,,2002-06,2.70M,,,,,,2002-06,
2002-03,175.70M,,,,75.00M,75.00M,40.40M,,,,-42.70M,-179.70M,-20.60M,1.10M,0.50M,,-241.40M,49.70M,,2002-03,-377.90M,-375.30M,-14.00M,,135.50M,-253.80M,,2002-03,,,15.00M,,15.00M,,-22.50M,,,421.30M,,2002-03,236.30M,217.20M,453.50M,,2002-03,15.00M,,,,,,2002-03,
2001-12,-130.30M,,,,81.30M,81.30M,-95.00M,,,,-9.70M,143.70M,-14.80M,0.70M,-49.40M,,70.50M,279.00M,,2001-12,-240.60M,-239.60M,-35.90M,,229.30M,-46.20M,,2001-12,,,2.20M,0.00,2.20M,,-37.40M,,,-403.10M,,2001-12,406.60M,-170.30M,236.30M,,2001-12,2.20M,,0.00,,,,2001-12,
2001-09,123.80M,,,,80.70M,80.70M,9.00M,,,,-22.40M,-148.10M,127.00M,-2.40M,107.00M,,61.10M,274.60M,,2001-09,-197.20M,-196.90M,-24.20M,,94.00M,-127.10M,,2001-09,,,13.20M,-129.00M,-115.80M,,-22.60M,,,-14.70M,,2001-09,273.80M,132.80M,406.60M,,2001-09,13.20M,,-129.00M,,,,2001-09,
2001-06,198.00M,,,,80.20M,80.20M,2.30M,,,,-40.40M,-98.60M,192.90M,2.70M,-116.80M,,-60.20M,220.30M,,2001-06,-149.80M,-144.80M,-17.50M,,,-162.30M,,2001-06,,,9.00M,,9.00M,,-22.60M,,,-84.00M,,2001-06,299.80M,-26.00M,273.80M,,2001-06,9.00M,,,,,,2001-06,
2001-03,221.70M,,,,78.60M,78.60M,0.20M,,,,-69.20M,-263.80M,-120.70M,-10.80M,70.70M,,-393.80M,-93.30M,,2001-03,-126.00M,-119.70M,-81.50M,,,-201.20M,,2001-03,,,22.90M,,22.90M,,-22.60M,,,257.00M,,2001-03,337.30M,-37.50M,299.80M,,2001-03,22.90M,,,,,,2001-03,
2000-12,209.50M,,,,76.40M,76.40M,32.20M,,,,-30.70M,220.40M,-98.90M,33.00M,36.10M,,159.90M,478.00M,,2000-12,-198.70M,-189.10M,-18.40M,,-140.90M,-49.10M,,2000-12,,,43.70M,0.00,43.70M,,-37.30M,,,-306.50M,,2000-12,214.90M,122.40M,337.30M,,2000-12,43.70M,,0.00,,,,2000-12,
2000-09,158.70M,,,,75.00M,75.00M,7.90M,,,,3.80M,-263.90M,315.60M,-0.20M,21.50M,,76.80M,318.40M,,2000-09,-190.20M,-187.30M,-154.50M,,140.90M,-200.90M,,2000-09,,,19.90M,-13.70M,6.20M,,-22.50M,,,-85.10M,,2000-09,182.50M,32.40M,214.90M,,2000-09,19.90M,,-13.70M,,,,2000-09,
2000-06,186.50M,,,,73.40M,73.40M,-2.10M,,,,-56.60M,158.20M,-180.20M,5.20M,-54.90M,,-128.30M,129.50M,,2000-06,-165.90M,-162.70M,-34.80M,,,-197.50M,,2000-06,,,33.10M,-44.70M,-11.60M,,-22.50M,,,13.90M,,2000-06,236.60M,-54.10M,182.50M,,2000-06,33.10M,,-44.70M,,,,2000-06,
2000-03,191.30M,,,,71.80M,71.80M,5.80M,,,,-3.20M,-212.80M,-170.10M,-81.10M,52.60M,,-414.60M,-145.70M,,2000-03,-140.50M,-137.40M,-55.60M,,,-193.00M,,2000-03,,,1.10M,-104.80M,-103.70M,,-22.50M,,,345.30M,,2000-03,230.00M,6.60M,236.60M,,2000-03,1.10M,,-104.80M,,,,2000-03,
1999-12,186.30M,,,,71.10M,71.10M,124.80M,,,,-48.90M,-255.00M,166.80M,-114.60M,-59.80M,340.00M,28.50M,410.70M,,1999-12,-324.20M,-322.50M,-80.00M,,,-173.30M,,1999-12,,,2.50M,,2.50M,,-37.30M,,,-177.30M,,1999-12,169.90M,60.10M,230.00M,,1999-12,2.50M,,,,,,1999-12,
1999-09,121.60M,,,,70.10M,70.10M,-4.20M,,,,76.70M,-82.80M,246.70M,67.70M,43.20M,-340.00M,11.50M,199.00M,,1999-09,-122.20M,-121.70M,-4.40M,,,-126.10M,,1999-09,,,2.60M,,2.60M,,-22.50M,,,-135.30M,,1999-09,232.30M,-62.40M,169.90M,,1999-09,2.60M,,,,,,1999-09,
1999-06,162.60M,,,,68.70M,68.70M,1.50M,,,,-27.60M,178.90M,-198.40M,-13.50M,-70.10M,,-130.70M,102.10M,,1999-06,-158.50M,-158.00M,-15.00M,,,-173.00M,,1999-06,,,8.40M,,8.40M,,-22.40M,,,166.40M,,1999-06,136.80M,95.50M,232.30M,,1999-06,8.40M,,,,,,1999-06,
1999-03,164.60M,,,,68.00M,68.00M,2.70M,,,,-49.10M,-96.10M,-48.30M,-54.20M,26.90M,,-220.80M,14.50M,,1999-03,-117.80M,-92.30M,-1.70M,,,-94.00M,,1999-03,,,6.90M,,6.90M,,-22.50M,,,35.50M,,1999-03,180.80M,-44.00M,136.80M,,1999-03,6.90M,,,,,,1999-03,
1998-12,133.90M,,,,63.90M,63.90M,,,,391.00M,,,,,,,-611.00M,247.00M,,1998-12,-82.10M,-68.90M,,,,-202.50M,,1998-12,,,8.70M,,8.70M,,-36.50M,,,10.90M,,1998-12,0.00,55.40M,180.80M,,1998-12,8.70M,,,,,,1998-12,
1998-09,102.40M,,,,60.80M,60.80M,,,,-91.30M,,,,,,,,71.90M,,1998-09,-178.90M,-141.60M,,,-37.20M,-178.80M,,1998-09,,,22.60M,,22.60M,,-22.40M,,,170.30M,,1998-09,0.00,63.40M,0.00,,1998-09,22.60M,,,,,,1998-09,
1998-06,16.20M,,,,61.20M,61.20M,,,,-299.70M,,,,,,344.80M,344.80M,122.50M,,1998-06,-135.70M,-165.30M,,,37.20M,-128.10M,,1998-06,,,76.00M,,76.00M,,-21.00M,,,-68.00M,,1998-06,135.60M,-73.60M,0.00,,1998-06,76.00M,,,,,,1998-06,
