,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2011-03,,4.354B,1.759B,6.113B,,,859.35M,33.13M,98.49M,,7.104B,,,,,,,,,561.96M,1.467B,613.46M,2.081B,1.968B,638.65M,,473.63M,5.723B,12.83B,,,42.51M,,308.11M,,308.11M,,30.00M,47.67M,77.67M,77.67M,505.45M,1.171B,2.081B,,2.081B,241.18M,241.18M,,36.44M,,884.12M,,2011-03,22.18M,8.186B,,8.414B,,2011-03,AOR,Restated
2010-12,,4.175B,1.692B,5.867B,,,810.24M,34.91M,96.11M,,6.808B,,,,,,,,,566.67M,1.447B,560.34M,2.007B,2.025B,667.82M,,316.37M,5.583B,12.39B,,,209.55M,,500.57M,,500.57M,,27.25M,55.74M,82.98M,82.98M,328.64M,1.108B,2.123B,,2.123B,241.31M,241.31M,,23.80M,,765.70M,,2010-12,22.33M,7.921B,,8.130B,,2010-12,AOR,Restated
2010-09,,3.985B,1.568B,5.553B,,,684.22M,36.12M,89.24M,,6.363B,0.00,72.58M,,617.77M,,502.32M,1.193B,-643.70M,548.96M,1.444B,562.36M,2.007B,1.134B,374.89M,,280.59M,4.345B,10.71B,,,99.20M,,645.77M,,645.77M,,30.00M,,30.00M,30.00M,,1.007B,949.90M,,949.90M,237.81M,237.81M,,22.98M,,763.75M,,2010-09,22.40M,7.531B,,7.727B,,2010-09,AOR,Restated
2010-06,,3.859B,1.383B,5.243B,,,680.24M,25.91M,78.72M,,6.028B,,,,,,,,,538.31M,1.438B,561.81M,2.000B,1.191B,380.43M,89.72M,183.35M,4.382B,10.41B,,,59.95M,,681.29M,280.26M,961.55M,,0.00,,0.00,0.00,30.77M,992.32M,898.84M,,898.84M,230.76M,230.76M,,3.409M,,857.99M,,2010-06,22.54M,7.345B,,7.427B,,2010-06,AOR,Restated
2010-03,,2.861B,1.529B,4.390B,,,625.87M,31.54M,75.31M,,5.123B,,,,,,,,,534.78M,1.445B,567.56M,2.013B,1.164B,378.91M,101.05M,205.80M,4.398B,9.521B,,,41.63M,,474.94M,201.45M,676.38M,,285.97M,,285.97M,285.97M,27.28M,989.64M,,,,228.77M,228.77M,,3.216M,,914.68M,,2010-03,22.74M,7.218B,,7.384B,,2010-03,AOR,Restated
2009-12,,2.753B,1.547B,4.300B,,,632.52M,28.10M,70.54M,,5.032B,,,,,,,,,530.93M,1.440B,567.34M,2.007B,1.031B,375.51M,105.05M,142.65M,4.193B,9.224B,,,128.30M,,528.98M,158.82M,687.80M,,256.66M,,256.66M,256.66M,26.85M,971.31M,,,,223.64M,223.64M,,2.026M,,892.10M,,2009-12,22.82M,6.987B,,7.135B,,2009-12,AOR,Restated
2009-09,,2.983B,1.582B,4.564B,,,581.81M,30.45M,67.77M,,5.244B,0.00,72.22M,,552.99M,,486.51M,1.112B,-576.26M,535.46M,1.437B,567.97M,2.005B,1.090B,310.50M,103.99M,179.00M,4.224B,9.468B,,,28.36M,,422.24M,210.79M,633.03M,,64.16M,,64.16M,64.16M,28.35M,725.54M,,,,218.84M,218.84M,,67.39M,,824.52M,,2009-09,22.93M,7.506B,,7.632B,,2009-09,AOR,Restated
2009-06,,2.238B,2.090B,4.329B,,,595.44M,24.70M,51.32M,,5.000B,,,,,,,,,535.26M,1.429B,568.61M,1.998B,1.086B,316.05M,134.68M,172.75M,4.243B,9.243B,,,24.49M,,509.77M,180.93M,690.70M,,1.435M,,1.435M,1.435M,25.34M,717.47M,84.32M,,84.32M,156.65M,156.65M,,86.73M,,854.22M,,2009-06,23.04M,7.299B,0.00,7.344B,,2009-06,AOR,Restated
2009-03,,2.282B,1.701B,3.983B,531.01M,,578.00M,28.56M,36.14M,,4.626B,,,,,,,,,538.49M,1.419B,566.44M,1.985B,974.48M,369.50M,139.68M,197.44M,4.205B,8.830B,,,0.00,,436.42M,139.42M,575.84M,,25.00M,,25.00M,25.00M,24.66M,625.50M,94.72M,,94.72M,147.67M,147.67M,,39.92M,,873.80M,,2009-03,23.20M,7.134B,0.00,7.049B,,2009-03,AOR,Restated
2008-12,,2.453B,1.484B,3.937B,,,555.88M,,57.42M,,4.550B,,,,,,,,,553.48M,1.424B,571.82M,1.996B,929.04M,380.56M,159.95M,418.20M,4.437B,8.987B,,,56.66M,,449.10M,135.36M,584.46M,,36.18M,,36.18M,36.18M,26.54M,647.17M,105.10M,,105.10M,144.59M,144.59M,,55.03M,,997.21M,,2008-12,23.29M,7.098B,0.00,7.038B,,2008-12,AOR,Restated
