,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-05,4.917B,4.917B,5.044B,5.044B,457.00M,323.00M,533.00M,,11.27B,12.86B,6.452B,38.11B,-19.62B,18.48B,2.755B,,2.755B,1.054B,22.29B,33.57B,,1.879B,368.00M,,2.247B,2.637B,4.884B,,251.00M,,251.00M,,,,5.75B,2.739B,,2.739B,1.652B,227.00M,2.657B,987.00M,3.916B,120.00M,10.42B,16.17B,,32.00M,18.52B,2.668B,1.00M,,-3.82B,17.40B,,AOR,Restated
2013-02,3.372B,3.372B,4.95B,4.95B,460.00M,453.00M,510.00M,,9.745B,,38.11B,38.11B,-19.79B,18.33B,2.765B,,2.765B,992.00M,22.08B,31.83B,,1.73B,,,1.73B,3.118B,4.848B,,251.00M,,251.00M,,,,5.099B,1.991B,,1.991B,1.139B,234.00M,2.139B,989.00M,5.361B,139.00M,10.62B,15.72B,,32.00M,18.22B,2.623B,49.00M,,-4.71B,16.11B,,AOR,Restated
2012-11,2.517B,2.517B,5.202B,5.202B,456.00M,474.00M,510.00M,,9.159B,,37.75B,37.75B,-19.40B,18.35B,2.757B,,2.757B,1.047B,22.15B,31.31B,,1.73B,,,1.73B,3.097B,4.827B,,1.00M,,1.00M,,,,4.828B,2.241B,,2.241B,973.00M,239.00M,2.122B,985.00M,5.447B,146.00M,10.94B,15.77B,,32.00M,17.90B,2.635B,253.00M,,-4.77B,15.54B,,AOR,Restated
2012-08,2.743B,2.743B,4.946B,4.78B,465.00M,371.00M,518.00M,,8.877B,,,36.96B,-19.10B,17.87B,2.734B,,2.734B,1.214B,21.81B,30.69B,,1.643B,,,1.643B,1.892B,3.535B,,,117.00M,117.00M,,,,4.809B,2.242B,,2.242B,879.00M,245.00M,1.963B,987.00M,5.519B,147.00M,10.86B,15.67B,,32.00M,17.50B,2.612B,278.00M,,-4.847B,15.02B,,AOR,Restated
2012-05,2.843B,2.843B,4.704B,4.704B,440.00M,536.00M,533.00M,,9.056B,12.24B,5.912B,36.16B,-18.92B,17.25B,2.387B,,2.387B,1.212B,20.85B,29.90B,,1.613B,386.00M,,1.999B,2.155B,4.154B,,417.00M,,417.00M,,,,5.374B,1.25B,,1.25B,836.00M,251.00M,1.871B,963.00M,5.582B,136.00M,9.802B,15.18B,,32.00M,17.13B,2.595B,81.00M,,-4.953B,14.73B,,AOR,Restated
2012-02,2.04B,2.04B,4.815B,4.635B,447.00M,459.00M,617.00M,,8.198B,,,35.93B,-19.09B,16.84B,2.419B,,2.419B,1.292B,20.55B,28.75B,,1.687B,,,1.687B,1.602B,3.289B,,419.00M,,419.00M,,,,5.152B,1.251B,,1.251B,2.03B,244.00M,3.024B,960.00M,1.654B,142.00M,7.031B,12.18B,,32.00M,16.58B,2.574B,138.00M,,-2.483B,16.57B,,AOR,Restated
2011-11,1.896B,1.896B,5.024B,4.837B,440.00M,367.00M,628.00M,,8.168B,,,35.40B,-18.69B,16.71B,2.399B,,2.399B,1.176B,20.28B,28.45B,,1.646B,,,1.646B,1.916B,3.562B,,428.00M,,428.00M,,,,5.38B,1.251B,,1.251B,1.555B,234.00M,2.686B,977.00M,2.065B,176.00M,7.155B,12.54B,,32.00M,16.10B,2.557B,194.00M,,-2.581B,15.92B,,AOR,Restated
2011-08,1.959B,1.959B,4.624B,4.624B,418.00M,352.00M,610.00M,,7.963B,,,34.22B,-18.40B,15.82B,2.435B,,2.435B,1.62B,19.88B,27.84B,,1.563B,,,1.563B,1.872B,3.435B,,301.00M,,301.00M,,,,4.981B,1.367B,,1.367B,1.441B,240.00M,2.505B,964.00M,2.123B,184.00M,7.143B,12.12B,,32.00M,15.65B,2.547B,12.00M,,-2.501B,15.71B,,AOR,Restated
2011-05,2.328B,2.328B,4.763B,4.581B,437.00M,329.00M,610.00M,,8.285B,11.66B,,33.69B,-18.14B,15.54B,2.326B,,2.326B,1.231B,19.10B,27.38B,,1.702B,,,1.702B,1.894B,3.596B,,,18.00M,18.00M,,,,4.882B,1.667B,,1.667B,1.336B,246.00M,2.361B,977.00M,2.124B,154.00M,7.283B,12.16B,,32.00M,15.27B,2.484B,12.00M,,-2.55B,15.22B,,AOR,Restated
2011-02,1.359B,1.359B,,4.478B,413.00M,448.00M,540.00M,,7.238B,,,33.08B,-17.75B,15.33B,2.321B,,2.321B,1.315B,18.96B,26.20B,,1.59B,,,1.59B,1.823B,3.413B,,18.00M,,18.00M,,,,4.574B,1.667B,,1.667B,1.328B,252.00M,2.349B,976.00M,1.598B,158.00M,6.748B,11.32B,,31.00M,14.71B,2.408B,12.00M,,-2.256B,14.88B,,AOR,Restated
2010-11,1.877B,1.877B,,4.279B,400.00M,302.00M,540.00M,,7.398B,,,32.72B,-17.45B,15.27B,2.224B,,2.224B,1.205B,18.70B,26.09B,,1.561B,,,1.561B,1.82B,3.381B,,251.00M,,251.00M,,,,4.863B,1.667B,,1.667B,976.00M,257.00M,2.146B,969.00M,1.731B,156.00M,6.669B,11.53B,,31.00M,14.52B,2.343B,12.00M,,-2.316B,14.56B,,AOR,Restated
2010-08,1.709B,1.709B,4.135B,4.135B,377.00M,286.00M,529.00M,,7.036B,,,31.77B,-17.09B,14.68B,2.211B,,2.211B,1.286B,18.18B,25.21B,,1.423B,,,1.423B,1.786B,3.209B,,251.00M,,251.00M,,,,4.541B,1.668B,,1.668B,902.00M,263.00M,1.993B,960.00M,1.693B,152.00M,6.466B,11.01B,,31.00M,14.27B,2.302B,12.00M,,-2.386B,14.20B,,AOR,Restated
2010-05,1.952B,1.952B,,4.163B,389.00M,251.00M,529.00M,,7.284B,11.30B,,31.30B,-16.92B,14.38B,2.20B,,2.20B,1.033B,17.62B,24.90B,,1.522B,,,1.522B,1.715B,3.237B,,262.00M,,262.00M,,,,4.645B,1.668B,,1.668B,891.00M,267.00M,1.962B,960.00M,1.705B,151.00M,6.446B,11.09B,,31.00M,13.97B,2.261B,7.00M,,-2.44B,13.81B,,AOR,Restated
2010-02,1.549B,1.549B,,3.937B,380.00M,300.00M,517.00M,,6.683B,,,30.68B,-16.67B,14.00B,2.229B,,2.229B,1.961B,18.19B,24.88B,,1.489B,,,1.489B,1.641B,3.13B,,283.00M,,283.00M,,,,4.372B,1.668B,,1.668B,1.384B,274.00M,2.426B,949.00M,931.00M,150.00M,6.124B,10.50B,,31.00M,13.55B,2.168B,3.00M,,-1.362B,14.38B,,AOR,Restated
2009-11,1.465B,1.465B,,3.771B,391.00M,292.00M,515.00M,,6.434B,,,30.23B,-16.30B,13.94B,2.237B,,2.237B,1.986B,18.16B,24.59B,,1.417B,,,1.417B,1.634B,3.051B,,40.00M,,40.00M,,,,4.119B,1.918B,,1.918B,1.228B,276.00M,2.394B,916.00M,929.00M,150.00M,6.307B,10.43B,,31.00M,13.34B,2.132B,3.00M,,-1.334B,14.17B,,AOR,Restated
2009-08,1.789B,1.789B,,3.41B,372.00M,307.00M,510.00M,,6.388B,,,29.48B,-15.95B,13.54B,2.233B,,2.233B,1.698B,17.47B,23.86B,,1.311B,,,1.311B,1.533B,2.844B,,158.00M,,158.00M,,,,3.886B,1.918B,,1.918B,1.132B,283.00M,2.226B,932.00M,955.00M,154.00M,6.185B,10.07B,,31.00M,13.03B,2.091B,4.00M,,-1.363B,13.79B,,AOR,Restated
