,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-05,5.416B,5.416B,-4.461B,9.877B,2.818B,2.818B,345.00M,-432.00M,-15.00M,,,3.815B,6.978B,2.899B,,,-15.00M,,371.00M,135.00M,236.00M,,0.00,236.00M,245.54M,5.282B,2.383B,2.899B,,0.79,0.00,0.00,0.8219,0.79,,0.78,0.00,0.0001,0.8113,0.78,,299.28M,304.68M,,,AOR,Restated
2002-02,5.019B,5.019B,2.642B,2.377B,2.69B,2.69B,341.00M,-444.00M,-4.00M,,,762.00M,3.793B,-1.416B,,,-4.00M,,194.00M,74.00M,120.00M,,,120.00M,122.47M,-1.075B,341.00M,-1.416B,,0.40,0.00,,0.4083,0.40,,0.39,0.00,,0.3981,0.39,,298.00M,304.00M,,,AOR,
2001-11,5.135B,5.135B,2.245B,2.89B,,2.231B,342.00M,,114.00M,,,,2.573B,317.00M,,,114.00M,,395.00M,150.00M,245.00M,,,245.00M,174.29M,659.00M,342.00M,317.00M,,0.82,0.00,,0.5827,0.82,,0.81,0.00,,0.5759,0.81,,298.00M,302.00M,,,AOR,
2001-08,5.037B,5.037B,2.662B,2.375B,2.668B,2.668B,336.00M,-432.00M,2.00M,,,751.00M,3.755B,-1.38B,,,2.00M,,200.00M,76.00M,124.00M,,-15.00M,109.00M,122.76M,-1.044B,-336.00M,-1.38B,,0.42,-0.05,0.00,0.4158,0.37,,0.41,-0.05,-0.0503,0.4059,0.36,,298.00M,302.00M,,,AOR,
2001-05,5.117B,5.117B,-4.55B,9.667B,2.604B,2.604B,338.00M,-434.00M,-3.00M,,,3.818B,6.76B,2.907B,,,,,179.00M,66.00M,113.00M,,,113.00M,114.89M,5.121B,2.214B,2.907B,,0.37,0.00,,0.3763,0.37,,0.37,0.00,,0.3763,0.37,,298.59M,302.75M,,,AOR,Restated
2001-02,4.839B,4.839B,2.642B,2.197B,2.516B,2.516B,326.00M,-418.00M,1.00M,,,822.00M,3.664B,-1.467B,,,1.00M,,159.00M,50.00M,109.00M,,,109.00M,108.31M,-1.141B,-325.82M,-1.467B,,0.38,0.00,,0.3776,0.38,,0.37,0.00,,0.3677,0.37,,288.04M,292.57M,,,AOR,
2000-11,4.895B,4.895B,814.71M,4.080B,2.407B,2.407B,309.49M,-407.35M,5.053M,,,1.520B,4.236B,-156.11M,,,5.053M,,315.13M,121.32M,193.80M,,,193.80M,190.70M,153.38M,-309.18M,-156.11M,,0.68,0.00,,0.6691,0.68,,0.67,0.00,,0.6593,0.67,,285.01M,289.26M,,,AOR,
2000-08,4.779B,4.779B,2.562B,2.217B,2.386B,2.386B,303.00M,-391.00M,-4.00M,,,785.00M,3.474B,-1.257B,,,-4.00M,,275.00M,106.00M,169.00M,,,169.00M,171.46M,-954.00M,-303.00M,-1.257B,,0.59,0.00,,0.5986,0.59,,0.58,0.00,,0.5885,0.58,,284.72M,288.72M,,,AOR,
2000-05,4.849B,4.849B,1.012B,3.837B,820.20M,820.20M,298.70M,,7.50M,,,786.10M,1.905B,1.932B,,,7.50M,,405.20M,159.50M,244.70M,,,244.70M,240.15M,2.231B,-298.70M,1.932B,,0.85,0.00,,0.8341,0.85,,0.83,0.00,,0.8145,0.83,,285.37M,293.66M,,,AOR,Restated
2000-02,4.518B,4.518B,2.478B,2.040B,2.313B,2.313B,293.70M,-386.50M,10.80M,,,760.30M,3.367B,-1.327B,,,10.80M,,187.00M,73.90M,113.10M,,,113.10M,106.57M,-1.033B,-293.70M,-1.327B,,0.39,0.00,,0.3675,0.39,,0.39,0.00,,0.3675,0.39,,290.00M,290.00M,,,AOR,
1999-11,4.570B,4.570B,2.500B,2.070B,2.267B,2.267B,285.40M,-393.50M,5.00M,,,772.30M,3.325B,-1.255B,,,5.00M,,282.90M,111.70M,171.20M,,,171.20M,168.17M,-969.40M,-285.30M,-1.255B,,0.58,0.00,,0.5697,0.58,,0.57,0.00,,0.5599,0.57,,295.17M,300.35M,,,AOR,
1999-08,4.32B,4.32B,2.295B,2.025B,2.198B,2.198B,277.30M,-366.70M,-0.30M,,,731.30M,3.206B,-1.181B,,,-0.30M,,262.80M,103.80M,159.00M,,,159.00M,159.18M,-903.60M,-277.30M,-1.181B,,0.53,0.00,,0.5306,0.53,,0.52,0.00,,0.5206,0.52,,298.17M,303.84M,,,,
1999-05,4.383B,4.383B,-3.834B,8.217B,2.174B,2.174B,269.02M,-353.29M,4.769M,,,3.262B,5.704B,2.513B,,,4.769M,,371.96M,150.63M,221.33M,,,221.33M,218.47M,4.314B,1.801B,2.513B,,0.74,0.00,,0.7304,0.74,,0.73,0.00,,0.7206,0.73,,299.30M,303.99M,,,AOR,Restated
1999-02,4.098B,4.098B,2.285B,1.814B,2.126B,2.126B,263.70M,-364.20M,-5.60M,,,796.90M,3.187B,-1.373B,,,-5.60M,,121.20M,43.40M,77.80M,,,77.80M,81.39M,-1.110B,-263.70M,-1.373B,,0.27,0.00,,0.2821,0.27,,0.26,0.00,,0.2721,0.26,,296.33M,296.33M,,,,
1998-11,4.209B,4.209B,2.211B,1.998B,2.105B,2.105B,252.20M,-347.70M,0.30M,,,728.10M,3.085B,-1.086B,,,0.30M,,312.40M,129.60M,182.80M,,,182.80M,182.62M,-834.20M,-252.20M,-1.086B,,0.62,0.00,,0.6194,0.62,,0.62,0.00,,0.6194,0.62,,295.11M,297.85M,,,,
1998-08,4.082B,4.082B,1.748B,2.334B,,1.800B,250.20M,,-3.30M,,,,2.050B,283.90M,,,-3.30M,,255.40M,106.00M,149.40M,,,149.40M,151.38M,534.10M,-250.20M,283.90M,,0.51,0.00,,0.5168,0.51,,0.50,0.00,,0.5066,0.50,,292.94M,298.80M,,,,
1998-05,4.078B,4.078B,-4.074B,8.152B,,1.707B,246.73M,,0.671M,,,,7.102B,1.049B,,,0.671M,,294.42M,123.66M,170.76M,-0.025M,,170.73M,170.35M,2.730B,1.681B,1.049B,,0.58,0.00,,0.5786,0.58,,0.57,0.00,,0.5687,0.57,,295.36M,300.51M,,,AOR,Restated
1998-02,3.986B,3.986B,1.881B,2.106B,,1.688B,250.10M,,-69.90M,,,,1.938B,167.40M,,,-69.90M,,63.60M,50.80M,12.80M,4.90M,,17.70M,54.74M,417.50M,-250.10M,167.40M,,0.05,0.02,,0.2159,0.07,,0.05,0.02,,0.2159,0.07,,252.86M,252.86M,,,,
1997-11,3.942B,3.942B,2.138B,1.804B,1.951B,1.951B,236.70M,-336.30M,-0.10M,,,700.80M,2.888B,-1.084B,,,-0.10M,,256.70M,106.90M,149.80M,,,149.80M,149.86M,-847.80M,-236.80M,-1.084B,,0.46,0.00,,0.4602,0.46,,0.46,0.00,,0.4602,0.46,,292.95M,298.56M,,,,
1997-08,3.866B,3.866B,1.988B,1.879B,1.929B,1.929B,230.10M,-292.40M,10.50M,,,683.00M,2.842B,-963.80M,,,10.50M,,284.80M,120.00M,164.80M,,,164.80M,158.50M,-733.70M,-230.10M,-963.80M,,0.61,0.00,,0.5888,0.61,,0.61,0.00,,0.5888,0.61,,297.42M,297.42M,,,,
1997-05,3.961B,3.961B,2.085B,1.876B,1.946B,1.946B,248.30M,-291.50M,-219.40M,,,748.10M,2.942B,-1.066B,,,-219.40M,,14.00M,54.40M,-40.40M,,,-40.40M,91.24M,-818.20M,-248.30M,-1.066B,,-0.31,0.00,,0.1405,-0.31,,-0.32,0.00,,0.1242,-0.32,,292.19M,296.33M,,,,
1997-02,3.534B,3.534B,1.917B,1.617B,1.838B,1.838B,229.90M,-291.80M,-0.30M,,,632.60M,2.700B,-1.083B,,,-0.30M,,106.80M,45.80M,61.00M,,,61.00M,61.18M,-853.10M,-296.60M,-1.083B,,0.27,0.00,,0.2706,0.27,,0.27,0.00,,0.2706,0.27,,291.46M,298.10M,,,,
1996-11,2.852B,2.852B,1.496B,1.356B,1.514B,1.514B,191.00M,-267.20M,19.50M,,,599.20M,2.305B,-948.70M,,,19.50M,,180.40M,76.70M,103.70M,,,103.70M,92.00M,-757.70M,-191.00M,-948.70M,,0.45,0.00,,0.3992,0.45,,0.45,0.00,,0.3992,0.45,,230.26M,230.26M,,,,
1996-08,2.692B,2.692B,1.394B,1.298B,1.485B,1.485B,190.20M,-253.40M,-0.40M,,,552.40M,2.227B,-929.20M,,,-0.40M,,107.80M,45.80M,62.00M,,,62.00M,62.24M,-739.00M,-190.20M,-929.20M,,0.27,0.00,,0.2710,0.27,,0.27,0.00,,0.2710,0.27,,229.87M,229.87M,,,,
1996-05,5.186B,5.186B,2.666B,2.520B,2.428B,2.428B,316.90M,-302.90M,0.40M,,,556.70M,3.301B,-781.00M,,,0.40M,,364.60M,156.80M,207.80M,,,88.20M,207.56M,-464.10M,-316.90M,-781.00M,,0.50,0.00,,0.4989,0.50,,0.50,0.00,,0.4990,0.50,,220.20M,229.38M,,,,
1996-02,2.536B,2.536B,1.362B,1.174B,1.416B,1.416B,182.30M,-251.10M,-0.40M,,,555.60M,2.154B,-979.90M,,,-0.40M,,52.70M,25.50M,27.20M,,,27.20M,27.44M,-797.60M,-182.30M,-979.90M,,0.12,0.00,,0.1210,0.12,,0.12,0.00,,0.1210,0.12,,229.03M,229.03M,,,,
1995-11,2.547B,2.547B,1.313B,1.234B,1.358B,1.358B,178.70M,-236.80M,8.20M,,,534.30M,2.071B,-837.10M,,,8.20M,,155.00M,65.10M,89.90M,,,89.90M,84.98M,-658.40M,-178.70M,-837.10M,,0.40,0.00,,0.3785,0.40,,0.40,0.00,,0.3785,0.40,,229.04M,229.04M,,,,
1995-08,2.453B,2.453B,1.206B,1.248B,1.371B,1.371B,174.10M,-223.20M,4.50M,,,508.40M,2.053B,-805.60M,,,4.50M,,129.90M,54.60M,75.30M,,,75.30M,72.60M,-631.50M,-174.10M,-805.60M,,0.34,0.00,,0.3281,0.34,,0.34,0.00,,0.3281,0.34,,226.75M,226.75M,,,,
1995-05,2.470B,2.470B,-415.60M,2.885B,,1.343B,168.70M,,3.10M,,,,160.80M,2.724B,,,3.10M,,153.00M,65.80M,87.20M,,,87.20M,85.34M,2.893B,-168.70M,2.724B,,0.38,0.00,,0.3715,0.38,,0.38,0.00,,0.3718,0.38,,218.30M,226.40M,,,,
1995-02,2.333B,2.333B,1.148B,1.184B,1.345B,1.345B,165.10M,-211.70M,40.00M,,,469.30M,1.979B,-795.00M,,,40.00M,,110.70M,47.60M,63.10M,,,63.10M,39.10M,-629.90M,-165.10M,-795.00M,,0.28,0.00,,0.1736,0.28,,0.28,0.00,,0.1736,0.28,,225.50M,225.50M,,,,
1994-11,2.359B,2.359B,1.114B,1.245B,1.305B,1.305B,161.60M,-199.30M,5.20M,,,454.70M,1.922B,-676.90M,,,5.20M,,151.10M,65.00M,86.10M,,,86.10M,82.98M,-515.30M,-161.60M,-676.90M,,0.39,0.00,,0.3762,0.39,,0.39,0.00,,0.3762,0.39,,225.54M,225.54M,,,,
1994-08,2.231B,2.231B,1.058B,1.173B,1.250B,1.250B,156.90M,-188.60M,-2.70M,,,427.20M,1.834B,-661.40M,,,-2.70M,,107.20M,46.10M,61.10M,,,61.10M,62.72M,-504.50M,-156.90M,-661.40M,,0.27,0.00,,0.2772,0.27,,0.27,0.00,,0.2772,0.27,,226.46M,226.46M,,,,
1994-05,2.265B,2.265B,1.553B,712.20M,1.770B,1.770B,154.30M,,-10.90M,,,427.90M,2.352B,-1.640B,,,-10.90M,,149.40M,68.70M,80.70M,,,80.70M,87.24M,-1.486B,-154.30M,-1.640B,,0.36,0.00,,0.3880,0.36,,0.36,0.00,,0.3880,0.36,,233.51M,233.51M,,,,
1994-02,2.077B,2.077B,819.60M,1.258B,1.021B,1.021B,152.00M,,7.50M,,,409.00M,1.582B,-323.80M,,,7.50M,,57.80M,26.60M,31.20M,,,31.20M,26.70M,-171.80M,-151.90M,-323.80M,,0.14,0.00,,0.1198,0.14,,0.14,0.00,,0.1198,0.14,,222.86M,222.86M,,,,
1993-11,2.122B,2.122B,799.10M,1.322B,1.025B,1.025B,147.90M,,-2.60M,,,391.80M,1.564B,-242.10M,,,-2.60M,,110.50M,50.80M,59.70M,,,59.70M,61.26M,-94.20M,-148.00M,-242.10M,,0.27,0.00,,0.2771,0.27,,0.27,0.00,,0.2771,0.27,,221.11M,221.11M,,,,
1993-08,2.016B,2.016B,776.50M,1.239B,992.10M,992.10M,145.20M,,-3.80M,,,375.70M,1.513B,-273.80M,,,-3.80M,,60.90M,28.00M,32.90M,,,32.90M,35.18M,-128.60M,-145.20M,-273.80M,,0.15,0.00,,0.1604,0.15,,0.15,0.00,,0.1604,0.15,,219.33M,219.33M,,,,
1993-05,2.039B,2.039B,777.70M,1.261B,,987.10M,148.70M,,-1.60M,,,,1.136B,125.10M,,,-1.60M,,84.60M,35.50M,49.10M,,,-6.80M,50.06M,273.80M,-148.70M,125.10M,,0.23,-0.26,,0.2345,-0.03,,0.23,-0.26,,0.2345,-0.03,,212.04M,212.04M,,,,
1993-02,1.940B,1.940B,771.10M,1.169B,,961.00M,145.50M,,-1.30M,,,,1.106B,62.20M,,,-1.30M,,20.60M,10.10M,10.50M,,,10.50M,11.28M,207.70M,-145.50M,62.20M,,0.05,0.00,,0.0537,0.05,,0.05,0.00,,0.0537,0.05,,210.00M,210.00M,,,,
1992-11,1.965B,1.965B,770.60M,1.194B,,934.40M,143.20M,,-1.80M,,,,1.078B,116.50M,,,-1.80M,,74.30M,36.40M,37.90M,,,37.90M,38.98M,259.70M,-143.20M,116.50M,,0.18,0.00,,0.1851,0.18,,0.18,0.00,,0.1851,0.18,,210.56M,210.56M,,,,
1992-08,1.865B,1.865B,724.00M,1.141B,,924.90M,142.50M,,-8.00M,,,,1.067B,73.50M,,,-8.00M,,24.00M,11.80M,12.20M,,,12.20M,17.00M,216.00M,-142.50M,73.50M,,0.06,0.00,,0.0836,0.06,,0.06,0.00,,0.0836,0.06,,203.33M,203.33M,,,,
1992-05,1.891B,1.891B,731.50M,1.160B,,909.40M,156.20M,,13.00M,,,,1.066B,94.30M,,,13.00M,,67.00M,31.20M,35.80M,,,35.80M,28.00M,250.50M,-156.20M,94.30M,,0.17,0.00,,0.1342,0.17,,0.17,0.00,,0.1342,0.17,,217.73M,217.73M,,,,
1992-02,1.890B,1.890B,807.50M,1.082B,,937.40M,141.30M,,-262.00M,,,,1.079B,3.30M,,,-262.00M,,-298.00M,-104.60M,-193.40M,,,-193.40M,-23.36M,144.60M,-141.30M,3.30M,,-0.90,0.00,,-0.1087,-0.90,,-0.90,0.00,,-0.1087,-0.90,,214.89M,214.89M,,,,
1991-11,1.943B,1.943B,784.40M,1.159B,,919.80M,140.30M,,-6.50M,,,,1.060B,98.90M,,,-6.50M,,50.60M,24.10M,26.50M,,,26.50M,30.40M,239.20M,-140.30M,98.90M,,0.13,0.00,,0.1491,0.13,,0.13,0.00,,0.1491,0.13,,203.85M,203.85M,,,,
1991-08,1.826B,1.826B,735.60M,1.090B,,870.50M,139.40M,,-4.00M,,,,1.010B,80.30M,,,-4.00M,,33.50M,16.30M,17.20M,,,17.20M,19.60M,219.70M,-139.40M,80.30M,,0.08,0.00,,0.0912,0.08,,0.08,0.00,,0.0912,0.08,,215.00M,215.00M,,,,
1991-05,1.914B,1.914B,802.80M,1.111B,,854.60M,142.50M,,-13.80M,,,,997.10M,114.30M,,,-13.80M,,50.40M,19.40M,31.00M,,,31.00M,39.49M,256.80M,-142.50M,114.30M,,0.15,0.00,,0.2033,0.15,,0.15,0.00,,0.2033,0.15,,159.17M,159.17M,,,,
1991-02,1.864B,1.864B,819.20M,1.045B,,877.10M,136.70M,,-154.00M,,,,1.014B,31.50M,,,-154.00M,,-168.70M,-63.10M,-105.60M,,,-105.60M,-9.202M,168.20M,-136.70M,31.50M,,-0.50,0.00,,-0.0436,-0.50,,-0.50,0.00,,-0.0436,-0.50,,211.20M,211.20M,,,,
1990-11,1.993B,1.993B,891.90M,1.101B,,846.00M,129.50M,,-7.00M,,,,975.50M,125.70M,,,-7.00M,,76.60M,39.20M,37.40M,,,37.40M,41.60M,255.20M,-129.50M,125.70M,,0.18,0.00,,0.2002,0.18,,0.18,0.00,,0.2002,0.18,,207.78M,207.78M,,,,
1990-08,1.916B,1.916B,800.70M,1.116B,,860.80M,125.80M,,-3.10M,,,,986.60M,129.20M,,,-3.10M,,82.60M,39.50M,43.10M,,,43.10M,44.96M,255.00M,-125.80M,129.20M,,0.21,0.00,,0.2191,0.21,,0.21,0.00,,0.2191,0.21,,205.24M,205.24M,,,,
1990-05,1.914B,1.914B,830.80M,1.083B,,842.80M,125.20M,,2.70M,,,,968.00M,115.40M,,,2.70M,,67.20M,24.00M,43.20M,,,43.20M,41.46M,240.60M,-125.20M,115.40M,,0.20,0.00,,0.1921,0.20,,0.20,0.00,,0.1921,0.20,,219.90M,219.90M,,,,
1990-02,1.729B,1.729B,769.30M,960.00M,,780.50M,117.70M,,-4.30M,,,,898.20M,61.80M,,,-4.30M,,10.80M,5.60M,5.20M,,,5.20M,7.78M,179.50M,-117.70M,61.80M,,0.03,0.00,,0.0449,0.03,,0.03,0.00,,0.0449,0.03,,173.33M,173.33M,,,,
1989-11,1.724B,1.724B,761.20M,962.90M,,717.00M,118.00M,,-3.40M,,,,835.00M,127.90M,,,-3.40M,,80.80M,43.80M,37.00M,,,37.00M,39.04M,245.90M,-118.00M,127.90M,,0.18,0.00,,0.1899,0.18,,0.18,0.00,,0.1899,0.18,,205.56M,205.56M,,,,
1989-08,1.648B,1.648B,715.80M,931.70M,,704.90M,118.30M,,-2.00M,,,,823.20M,108.50M,,,-2.00M,,59.60M,29.20M,30.40M,,,30.40M,31.60M,226.80M,-118.30M,108.50M,,0.15,0.00,,0.1559,0.15,,0.15,0.00,,0.1559,0.15,,202.67M,202.67M,,,,
1989-05,1.669B,1.669B,,,,,,,,,,,,-3.074B,,,,,,,41.00M,,,41.00M,41.00M,-3.074B,,-3.074B,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,205.00M,205.00M,,,,
1989-02,1.284B,1.284B,,,,,,,,,,,,1.284B,,,,,,,24.80M,,,24.80M,24.80M,1.284B,,1.284B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,206.67M,206.67M,,,,
1988-11,1.136B,1.136B,,,,,,,,,,,,1.136B,,,,,,,52.50M,,,52.50M,52.50M,1.136B,,1.136B,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,201.92M,201.92M,,,,
1988-08,1.078B,1.078B,,,,,,,,,,,,1.078B,,,,,,,48.20M,,,48.20M,48.20M,1.078B,,1.078B,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,209.57M,209.57M,,,,
1988-05,1.053B,1.053B,,,,,,,,,,,,-2.451B,,,,,,,54.80M,,,54.80M,54.80M,-2.451B,,-2.451B,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,220.63M,220.63M,,,,
1988-02,977.20M,977.20M,,,,,,,,,,,,977.20M,,,,,,,36.50M,,,36.50M,36.50M,977.20M,,977.20M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,202.78M,202.78M,,,,
1987-11,943.60M,943.60M,,,,,,,,,,,,943.60M,,,,,,,44.00M,,,44.00M,44.00M,943.60M,,943.60M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,209.52M,209.52M,,,,
1987-08,909.40M,909.40M,,,,,,,,,,,,909.40M,,,,,,,52.40M,,,52.40M,52.40M,909.40M,,909.40M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,209.60M,209.60M,,,,
1987-05,869.70M,869.70M,,,,,,,,,,,,-1.944B,,,,,,,43.70M,-5.00M,,38.70M,43.70M,-1.944B,,-1.944B,,0.21,-0.02,,0.21,0.19,,0.21,-0.02,,0.21,0.19,,219.96M,219.96M,,,,
1987-02,798.90M,798.90M,,,,,,,,,,,,798.90M,,,,,,,35.90M,,,35.90M,35.90M,798.90M,,798.90M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,199.44M,199.44M,,,,
1986-11,783.70M,783.70M,,,,,,,,,,,,783.70M,,,,,,,34.50M,-199.40M,,-164.90M,34.50M,783.70M,,783.70M,,0.17,-0.97,,0.17,-0.80,,0.17,-0.97,,0.17,-0.80,,206.12M,206.12M,,,,
1986-08,726.00M,726.00M,,,,,,,,,,,,726.00M,,,,,,,52.90M,-28.10M,,24.80M,52.90M,726.00M,,726.00M,,0.26,-0.14,,0.26,0.12,,0.26,-0.14,,0.26,0.12,,206.67M,206.67M,,,,
1986-05,723.20M,723.20M,,,,,,,,,,,,-1.671B,,,,,,,38.90M,,,38.90M,38.90M,-1.671B,,-1.671B,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,205.81M,205.81M,,,,
1986-02,668.10M,668.10M,,,,,,,,,,,,668.10M,,,,,,,26.30M,,,26.30M,26.30M,668.10M,,668.10M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,202.31M,202.31M,,,,
1985-11,625.50M,625.50M,,,,,,,,,,,,625.50M,,,,,,,34.90M,,,34.90M,34.90M,625.50M,,625.50M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,193.89M,193.89M,,,,
1985-08,589.30M,589.30M,,,,,,,,,,,,589.30M,,,,,,,31.60M,,,31.60M,31.60M,589.30M,,589.30M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,185.88M,185.88M,,,,
1985-05,592.70M,592.70M,,,,,,,,,,,,-1.301B,,,,,,,41.90M,,,41.90M,41.90M,-1.301B,,-1.301B,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,166.59M,166.59M,,,,
1985-02,513.70M,513.70M,,,,,,,,,,,,513.70M,,,,,,,15.60M,,,15.60M,15.60M,513.70M,,513.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,173.33M,173.33M,,,,
1984-11,485.20M,485.20M,,,,,,,,,,,,485.20M,,,,,,,10.20M,,,10.20M,10.20M,485.20M,,485.20M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,170.00M,170.00M,,,,
1984-08,439.10M,439.10M,,,,,,,,,,,,439.10M,,,,,,,8.30M,,,8.30M,8.30M,439.10M,,439.10M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,166.00M,166.00M,,,,
1984-05,413.20M,413.20M,,,,,,,,,,,,-857.90M,,,,,,,28.70M,,,28.70M,28.70M,-857.90M,,-857.90M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,186.38M,186.38M,,,,
1984-02,375.10M,375.10M,,,,,,,,,,,,375.10M,,,,,,,28.10M,,,28.10M,28.10M,375.10M,,375.10M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,187.33M,187.33M,,,,
