,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-11,354.00M,,,49.00M,723.00M,363.00M,363.00M,-56.00M,,,-5.00M,-268.00M,-23.00M,307.00M,,-219.00M,-203.00M,,502.00M,,-780.00M,5.00M,-1.17B,-121.00M,-5.00M,-901.00M,,-60.00M,,-60.00M,31.00M,,31.00M,,-21.00M,,-50.00M,,1.388B,-449.00M,,939.00M,,31.00M,,-60.00M,,493.00M,85.00M,,AOR,Restated
2004-08,330.00M,,,,,360.00M,360.00M,,,,5.00M,72.00M,8.00M,-109.00M,,71.00M,42.00M,,737.00M,,-395.00M,,,4.00M,,-391.00M,,-13.00M,,-13.00M,30.00M,,30.00M,,-21.00M,,-4.00M,,1.046B,342.00M,,1.388B,,30.00M,,-13.00M,,,,,AOR,Restated
2004-05,412.00M,,,66.00M,365.00M,365.00M,365.00M,-2.00M,,,511.00M,-57.00M,45.00M,371.00M,,-433.00M,-64.00M,,1.288B,,-379.00M,4.00M,-375.00M,4.00M,-3.00M,-374.00M,,1.58B,-1.929B,-349.00M,25.00M,0.00,25.00M,,-18.00M,-1.00M,-343.00M,,475.00M,571.00M,,1.046B,,25.00M,-330.00M,1.91B,0.00,55.00M,15.00M,,AOR,Restated
2004-02,207.00M,,,29.00M,340.00M,340.00M,340.00M,-16.00M,,,,-75.00M,-53.00M,-35.00M,,75.00M,-88.00M,,472.00M,,-284.00M,2.00M,-282.00M,-2.408B,-2.00M,-2.692B,,-257.00M,1.929B,1.672B,11.00M,0.00,11.00M,,-18.00M,0.00,1.665B,,1.03B,-555.00M,,475.00M,,11.00M,1.929B,-2.186B,0.00,48.00M,58.00M,,AOR,Restated
2003-11,91.00M,,,54.00M,670.00M,336.00M,336.00M,10.00M,,,-43.00M,-175.00M,8.00M,505.00M,,-31.00M,239.00M,,687.00M,,-308.00M,12.00M,-596.00M,3.00M,-12.00M,-305.00M,,-12.00M,,-12.00M,35.00M,-67.00M,-32.00M,,-15.00M,1.00M,-58.00M,,706.00M,324.00M,,1.03B,,35.00M,,-12.00M,-67.00M,261.00M,78.00M,,AOR,Restated
2003-08,128.00M,,,,,334.00M,334.00M,,,,43.00M,,,,,,68.00M,,573.00M,,-300.00M,,,9.00M,,-291.00M,,-31.00M,,-31.00M,44.00M,-112.00M,-68.00M,,-15.00M,,-114.00M,,538.00M,168.00M,,706.00M,,44.00M,,-31.00M,-112.00M,,,,AOR,Restated
2003-05,280.00M,,,,1.351B,340.00M,340.00M,,,,-146.00M,,,,,-948.00M,37.00M,,965.00M,,-337.00M,22.00M,-1.489B,2.00M,,-336.00M,,-10.00M,-200.00M,-210.00M,41.00M,-96.00M,-55.00M,,-15.00M,3.00M,-277.00M,,186.00M,352.00M,,538.00M,,41.00M,,-10.00M,-96.00M,53.00M,125.00M,,AOR,Restated
2003-02,147.00M,,,,677.00M,1.688B,1.688B,,,,-1.21B,,,,,33.00M,-858.00M,,-233.00M,,-286.00M,-11.00M,877.00M,20.00M,,-277.00M,,0.00,200.00M,200.00M,16.00M,-23.00M,-7.00M,,-15.00M,-1.00M,177.00M,,519.00M,-333.00M,,186.00M,,16.00M,,0.00,-23.00M,-37.00M,-63.00M,,AOR,Restated
2002-11,245.00M,,,,-338.00M,-338.00M,-338.00M,,,,745.00M,,,,,6.00M,6.00M,,658.00M,,-352.00M,6.00M,-346.00M,,,-346.00M,,,,,16.00M,-26.00M,-10.00M,,-15.00M,-1.00M,-26.00M,,233.00M,286.00M,,519.00M,,16.00M,,,-26.00M,30.00M,9.00M,,AOR,
2002-08,158.00M,,,,-339.00M,-339.00M,-339.00M,,,,701.00M,,,,,-39.00M,-39.00M,,481.00M,,-536.00M,5.00M,-531.00M,,,-531.00M,,,,,8.00M,-41.00M,-33.00M,,-15.00M,,-48.00M,,331.00M,-98.00M,,233.00M,,8.00M,,,-41.00M,7.00M,54.00M,,AOR,
2002-05,236.00M,,,,2.383B,2.383B,2.383B,,,,-2.177B,,,,,181.00M,137.00M,,788.00M,,-314.00M,1.00M,-313.00M,,3.00M,-345.00M,,-291.00M,,-291.00M,23.00M,-63.00M,-40.00M,,,-1.00M,-332.00M,,220.00M,111.00M,,331.00M,,23.00M,0.00,-291.00M,-63.00M,28.00M,13.00M,,AOR,Restated
2002-02,120.00M,,,,-1.019B,-1.019B,-1.019B,,,,2.135B,,,,,-860.00M,-860.00M,,376.00M,,-364.00M,26.00M,-338.00M,,-14.00M,-352.00M,,-4.00M,,-4.00M,37.00M,-89.00M,-52.00M,,,4.00M,-52.00M,,248.00M,-28.00M,,220.00M,,37.00M,,-4.00M,-89.00M,284.00M,133.00M,,AOR,
2001-11,245.00M,,,,,,336.00M,,,,-336.00M,,,,,491.00M,491.00M,,736.00M,,-437.00M,-17.00M,-454.00M,,22.00M,-432.00M,,-159.00M,,-159.00M,18.00M,-25.00M,-7.00M,,,,-166.00M,,110.00M,138.00M,,248.00M,,18.00M,-154.00M,-5.00M,-25.00M,-36.00M,-38.00M,,AOR,
2001-08,109.00M,,,,,,-336.00M,,,,336.00M,,,,,219.00M,219.00M,,328.00M,,-500.00M,17.00M,-483.00M,,,-483.00M,,134.00M,,134.00M,10.00M,,10.00M,,,,144.00M,,121.00M,-11.00M,,110.00M,,10.00M,154.00M,-20.00M,,36.00M,38.00M,,AOR,
2001-05,113.00M,,,,1.276B,1.276B,2.214B,,,,-1.00B,,,102.00M,,-555.00M,-505.00M,,1.018B,,-621.00M,171.00M,-450.00M,-10.00M,-7.00M,-467.00M,,-580.00M,,-580.00M,11.00M,0.00,11.00M,,,-2.00M,-571.00M,,140.00M,-20.00M,,121.00M,,11.00M,-51.00M,-529.00M,0.00,13.00M,28.00M,,AOR,Restated
2001-02,108.54M,,,,612.18M,612.18M,-325.82M,,,,325.82M,,,-345.18M,,428.08M,82.90M,,191.43M,,-452.62M,2.867M,-449.76M,-467.00M,5.263M,-911.49M,,196.19M,,196.19M,9.411M,,9.411M,,,0.644M,206.24M,,654.78M,-513.82M,,140.00M,,9.411M,316.96M,-120.77M,,86.82M,39.31M,,AOR,
2000-11,193.46M,,,,-612.18M,-612.18M,-309.18M,,,,310.18M,,,345.18M,,-17.08M,328.10M,,522.57M,,-478.38M,92.13M,-386.24M,0.00,-6.263M,-392.51M,,342.81M,0.00,342.81M,5.589M,0.00,5.589M,,,-0.644M,347.76M,,177.00M,477.82M,,654.78M,,5.589M,343.04M,-0.23M,0.00,234.18M,36.69M,,AOR,
2000-08,169.00M,,,,,,-303.00M,,,,302.00M,,,,,144.00M,144.00M,,312.00M,,-341.00M,8.00M,-333.00M,,-9.00M,-342.00M,,135.00M,,135.00M,3.00M,,3.00M,,,1.00M,139.00M,,68.00M,109.00M,,177.00M,,3.00M,135.00M,,,111.00M,35.00M,,AOR,
2000-05,244.70M,,,,-298.70M,-298.70M,-298.70M,,,,371.40M,,,,,612.00M,386.00M,,749.40M,,-141.10M,39.20M,-101.90M,,-22.50M,-381.40M,,-325.00M,,-325.00M,4.20M,-115.80M,-111.60M,,,7.40M,-429.20M,,129.50M,-61.20M,,68.00M,,4.20M,-222.60M,-102.40M,-115.80M,57.70M,36.40M,,AOR,Restated
2000-02,113.10M,,,,-293.70M,-293.70M,-293.70M,,,,587.40M,,,,,-207.70M,-207.70M,,199.10M,,-531.50M,7.80M,-523.70M,,-2.10M,-525.80M,,43.50M,,43.50M,-0.90M,-121.70M,-122.60M,,,17.30M,-61.80M,,517.90M,-388.50M,,129.50M,,-0.90M,43.50M,0.00,-121.70M,86.40M,37.30M,,AOR,
1999-11,171.20M,,,,-285.30M,-285.30M,-285.30M,,,,570.60M,,,,,-110.10M,-110.10M,,346.40M,,-596.20M,37.20M,-559.00M,,16.80M,-542.20M,,697.00M,,697.00M,7.10M,-369.50M,-362.40M,,,-0.50M,334.10M,,379.70M,138.30M,,517.90M,,7.10M,697.10M,-0.10M,-369.50M,193.90M,27.00M,,AOR,
1999-08,159.00M,,,,-277.30M,-277.30M,-277.30M,,,,554.60M,,,,,-106.20M,-106.20M,,330.10M,,-358.20M,105.80M,-252.40M,,-6.20M,-258.60M,,-12.50M,,-12.50M,5.60M,,5.60M,,,-10.20M,-17.10M,,325.30M,54.40M,,379.70M,,5.60M,,-12.50M,,17.00M,24.30M,,,
1999-05,221.33M,,,,1.801B,1.801B,1.801B,,,,-1.552B,,,,,136.96M,242.72M,,733.02M,,-434.45M,80.20M,-354.24M,,-2.816M,-357.06M,,-204.07M,,-204.07M,14.23M,,6.064M,,,8.198M,-189.80M,,139.10M,186.16M,,325.32M,,14.23M,-102.40M,-101.67M,,74.34M,27.33M,,AOR,Restated
1999-02,77.90M,,,,-263.70M,-263.70M,-263.70M,,,,527.40M,,,,,-189.60M,-189.60M,,152.00M,,-371.30M,3.50M,-367.80M,,-19.30M,-387.10M,,-320.10M,,-320.10M,29.90M,,29.90M,,,0.00,-290.20M,,664.40M,-525.30M,,139.10M,,29.90M,-320.10M,0.00,,160.70M,30.20M,,,
1998-11,182.70M,,,,-252.20M,-252.20M,-252.20M,,,,508.10M,,,,,52.60M,52.60M,,491.20M,,-469.00M,260.20M,-208.80M,,-78.10M,-286.90M,,260.80M,,260.80M,4.20M,,4.20M,,,0.00,265.00M,,195.20M,469.30M,,664.40M,,4.20M,422.50M,-161.70M,,202.30M,56.80M,,,
1998-08,149.40M,,,,-250.20M,-250.20M,-250.20M,,,,496.70M,,,,,,,,395.90M,,-495.20M,,-495.20M,,77.50M,-417.70M,,-6.00M,,-6.00M,1.60M,,1.60M,,,-8.20M,-12.60M,,229.60M,-34.40M,,195.20M,,1.60M,,-6.00M,,,,,,
1998-05,165.86M,,,,1.681B,1.681B,1.681B,,,,-1.275B,,,,,,81.23M,,745.67M,,-622.07M,85.92M,-536.16M,,-0.171M,-536.33M,,-130.50M,,-130.50M,11.32M,,11.32M,,,4.361M,-122.60M,,,69.94M,,229.56M,,11.32M,-13.00M,-117.50M,,,,,AOR,Restated
1998-02,17.70M,,,,-250.10M,-250.10M,-250.10M,,,,310.50M,,,,,110.20M,110.20M,,188.30M,,-433.80M,115.20M,-318.60M,,-5.40M,-324.00M,,12.00M,,12.00M,14.60M,,14.60M,,,0.00,26.60M,,253.70M,-92.30M,,,,14.60M,13.00M,-1.00M,,-212.10M,-60.90M,,,
1997-11,149.80M,,,,-236.80M,-236.80M,-236.80M,,,,473.60M,,,,,-38.00M,-38.00M,,348.60M,,-436.10M,178.90M,-257.20M,,-12.40M,-269.60M,,-52.20M,,-52.20M,4.40M,,4.40M,,,-3.80M,-51.60M,,226.30M,27.40M,,253.70M,,4.40M,0.00,-52.20M,,186.00M,42.60M,,,
1997-08,164.80M,,,,-230.10M,-230.10M,-230.10M,,,,460.20M,,,,,-72.20M,-72.20M,,322.70M,,-388.20M,212.50M,-175.70M,,17.50M,-158.20M,,-95.70M,,-95.70M,3.60M,,3.60M,,,-7.50M,-99.60M,,161.40M,64.90M,,226.30M,,3.60M,267.10M,-362.80M,,26.10M,18.30M,,,
1997-05,-40.40M,,,,-248.30M,-248.30M,-248.30M,,,,470.00M,,,,,228.10M,5.70M,-5.90M,430.40M,,-448.40M,6.90M,-441.50M,,5.10M,-436.40M,,61.10M,,61.10M,19.50M,,19.50M,,,18.40M,64.20M,,115.80M,58.20M,,160.90M,,19.50M,7.60M,53.50M,,41.80M,48.70M,,,
1997-02,70.80M,,,,-296.60M,-296.60M,-296.60M,,,,593.20M,,,,,-229.90M,-229.90M,-7.40M,130.10M,,-574.80M,87.40M,-487.40M,,-5.70M,-493.10M,,354.80M,,354.80M,5.40M,,5.40M,,,-27.80M,332.40M,,111.70M,-30.60M,,115.80M,,5.40M,410.30M,-55.50M,,51.80M,14.60M,,,
1996-11,103.70M,,,,-191.00M,-191.00M,-191.00M,,,,382.00M,,,,,-25.50M,-25.50M,,269.20M,,-467.30M,127.60M,-339.70M,,8.80M,-330.90M,,15.50M,,15.50M,2.90M,,2.90M,,,0.00,18.40M,,154.90M,-43.30M,,111.70M,,2.90M,15.50M,0.00,,80.60M,38.50M,,,
1996-08,62.00M,,,,-190.20M,-190.20M,-190.20M,,,,380.40M,,,,,27.30M,27.30M,,279.50M,,-272.50M,42.90M,-229.60M,,16.40M,-213.20M,,-7.70M,,-7.70M,3.20M,,3.20M,,,-0.30M,-4.80M,,93.40M,61.50M,,154.90M,,3.20M,,-7.70M,,21.10M,7.00M,,,
1996-05,88.20M,,,,-316.90M,-316.90M,-316.90M,,,,623.70M,,,,,131.30M,-24.50M,,588.30M,,-697.70M,130.80M,-566.90M,,92.50M,-474.40M,,22.60M,,22.60M,6.50M,,6.50M,,,7.40M,-18.20M,,104.00M,95.70M,,128.30M,,6.50M,197.50M,-174.90M,,111.40M,54.80M,,,
1996-02,27.20M,,,,-182.30M,-182.30M,-182.30M,,,,364.60M,,,,,-38.80M,-38.80M,,170.70M,,-313.40M,116.60M,-196.80M,,18.90M,-177.90M,,-8.60M,,-8.60M,4.70M,,4.70M,,,-0.10M,-4.00M,,115.10M,-11.20M,,104.00M,,4.70M,0.00,-8.60M,,63.00M,11.90M,,,
1995-11,89.90M,,,,-178.70M,-178.70M,-178.70M,,,,357.40M,,,,,-33.70M,-33.70M,,234.90M,,-362.80M,64.60M,-298.20M,,22.30M,-275.90M,,-58.20M,,-58.20M,25.40M,,25.40M,,,-17.80M,-50.60M,,206.80M,-91.60M,,115.10M,,25.40M,17.30M,-75.50M,,67.80M,44.40M,,,
1995-08,75.30M,,,,-174.10M,-174.10M,-174.10M,,,,348.20M,,,,,-58.80M,-58.80M,,190.60M,,-326.50M,41.00M,-285.50M,,-56.50M,-342.00M,,-5.00M,,-5.00M,,,,,,5.60M,0.60M,,357.50M,-150.80M,,206.80M,,,,-5.00M,,3.30M,5.40M,,,
1995-05,87.20M,,,,-168.70M,-168.70M,-168.70M,,,,337.30M,,,,,50.80M,109.40M,,387.50M,,-357.70M,40.60M,-317.10M,,21.80M,-295.30M,,0.00,,0.00,6.20M,,6.20M,,,0.00,6.20M,,259.20M,98.40M,,357.50M,,6.20M,0.00,0.00,,-135.50M,-89.80M,,,
1995-02,63.10M,,,,-165.10M,-165.10M,-165.10M,,,,330.20M,,,,,-51.00M,-51.00M,,177.20M,,-223.60M,64.40M,-159.20M,,13.40M,-145.80M,,-22.10M,,-22.10M,3.90M,,3.90M,,,0.00,-18.20M,,246.00M,13.20M,,259.20M,,3.90M,0.00,-22.10M,,44.20M,10.00M,,,
1994-11,86.20M,,,,-161.60M,-161.60M,-161.60M,,,,323.20M,,,,,-19.50M,-19.50M,,228.30M,,-235.70M,41.20M,-194.50M,,25.50M,-169.00M,,-230.50M,,-230.50M,3.00M,,3.00M,,,-1.80M,-229.30M,,415.80M,-170.00M,,246.00M,,3.00M,45.50M,-276.00M,,87.30M,61.20M,,,
1994-08,61.10M,,,,-156.90M,-156.90M,-156.90M,,,,313.80M,,,,,19.70M,19.70M,,237.70M,,-243.80M,51.50M,-192.30M,,27.30M,-165.00M,,-51.40M,,-51.40M,,,,,,1.70M,-49.70M,,392.90M,23.00M,,415.80M,,,,-51.40M,,4.00M,18.60M,,,
1994-05,80.70M,,,,-154.30M,-154.30M,-154.30M,,,,305.60M,,,,,109.80M,38.60M,,308.30M,,-174.10M,40.50M,-133.60M,,26.30M,-107.30M,,-41.50M,,-41.50M,4.00M,,4.00M,,,-0.20M,-37.70M,,229.60M,163.30M,,392.90M,,4.00M,0.00,-41.50M,,64.30M,62.30M,,,
1994-02,31.20M,,,,-151.90M,-151.90M,-151.90M,,,,303.80M,,,,,-103.30M,-103.30M,,79.80M,,-151.00M,44.40M,-106.60M,,-20.00M,-126.60M,,-104.90M,,-104.90M,49.80M,,49.80M,,,-27.70M,-82.80M,,359.30M,-129.60M,,229.60M,,49.80M,0.20M,-105.10M,,34.10M,21.40M,,,
1993-11,59.60M,,,,-148.00M,-148.00M,-148.00M,,,,296.00M,,,,,4.50M,4.50M,,212.10M,,-368.10M,295.00M,-73.10M,,14.10M,-59.00M,,-39.60M,,-39.60M,,,,,,20.10M,-19.50M,,225.70M,133.60M,,359.30M,,,0.10M,-39.70M,,67.00M,63.80M,,,
1993-08,32.90M,,,,-145.20M,-145.20M,-145.20M,,,,290.40M,,,,,-11.00M,-11.00M,,167.10M,,-394.50M,286.40M,-108.10M,,7.50M,-100.60M,,-1.40M,,-1.40M,,,,,,5.10M,3.70M,,155.50M,70.20M,,225.70M,,,10.50M,-11.90M,,1.80M,10.60M,,,
1993-05,49.10M,,,42.40M,-148.70M,-148.70M,-148.70M,,,,291.70M,-41.50M,,34.90M,,,-12.40M,,242.00M,,-187.50M,222.40M,34.90M,,-121.20M,-86.30M,,-94.30M,,-94.30M,,,,,,-25.30M,-95.60M,,,,,,,,142.40M,-236.70M,,,,,,
1993-02,10.50M,,,-85.50M,-145.50M,-145.50M,-145.50M,,,,291.00M,,,,,,,,70.50M,,-154.30M,,-154.30M,,0.80M,-153.50M,,-33.40M,,-33.40M,,,,,,19.40M,-14.00M,,,,,,,,15.40M,-48.80M,,,,,,
1992-11,38.00M,,,46.00M,-143.20M,-143.20M,-143.20M,,,,286.40M,-46.00M,,-4.60M,,,-50.60M,,176.60M,,-501.10M,-0.80M,-501.90M,,122.10M,-379.80M,,218.20M,,218.20M,,,,,,0.40M,218.60M,,,,,,,,265.20M,-47.00M,,,,,,
1992-08,12.20M,,,30.70M,-142.50M,-142.50M,-142.50M,,,,285.00M,46.00M,,4.60M,,,50.60M,,236.00M,,-180.80M,0.80M,-180.00M,,0.30M,-179.70M,,50.70M,,50.70M,,,,,,-8.20M,42.50M,,78.20M,,,,,,455.50M,-404.80M,,,,,,
1992-05,35.80M,,,96.00M,-156.20M,-156.20M,-156.20M,-46.60M,,,284.90M,47.30M,-19.60M,-89.60M,,,4.30M,,218.20M,,-197.30M,142.50M,-54.80M,,2.90M,-51.90M,,-256.80M,,-256.80M,8.70M,0.00,8.70M,,,-3.90M,-252.00M,,,,,,,8.70M,-509.50M,252.70M,0.00,,,,,
1992-02,-193.40M,,,-75.40M,-141.30M,-141.30M,-141.30M,-46.70M,,,297.70M,2.50M,2.70M,41.60M,,,46.80M,,-112.30M,,-169.60M,11.20M,-158.40M,,-3.10M,-161.50M,,261.60M,,261.60M,9.50M,-0.10M,9.40M,,,0.00,271.00M,,,,,,,9.50M,376.90M,-115.30M,-0.10M,,,,,
1991-11,26.60M,,,1.70M,-140.30M,-140.30M,-140.30M,10.70M,,,295.10M,-40.50M,5.10M,93.40M,,,58.00M,,251.80M,,-246.50M,161.70M,-84.80M,,-1.60M,-86.40M,,-168.40M,,-168.40M,0.60M,-3.00M,-2.40M,,,-0.20M,-171.00M,,,,,,,0.60M,246.90M,-415.30M,-3.00M,,,,,
1991-08,17.20M,,,9.40M,-139.40M,-139.40M,-139.40M,7.40M,,,278.50M,-10.00M,11.80M,-11.80M,,,-10.00M,,163.10M,,-302.50M,97.90M,-204.60M,,2.40M,-202.20M,,94.00M,,94.00M,0.50M,,0.50M,,,-0.90M,93.60M,,117.70M,,,,,0.50M,323.40M,-229.40M,,,,,,
1991-05,31.00M,,,11.70M,-142.50M,-142.50M,-142.50M,-4.30M,,,290.50M,18.20M,22.10M,-3.80M,,,36.50M,,222.90M,,-223.00M,98.30M,-124.70M,,-7.70M,-132.40M,,-183.20M,,-183.20M,0.10M,-0.90M,-0.80M,,,1.00M,-183.00M,,,,,,,0.10M,60.40M,-243.60M,-0.90M,,,,,
1991-02,-105.60M,,,17.00M,-136.70M,-136.70M,-136.70M,55.50M,,,283.70M,44.50M,-42.80M,-68.40M,,,-66.70M,,47.20M,,-194.90M,1.30M,-193.60M,,0.00,-193.60M,,99.70M,,99.70M,9.90M,0.00,9.90M,,,-0.10M,109.50M,,,,,,,9.90M,221.00M,-121.30M,0.00,,,,,
1990-11,37.40M,,,14.80M,-129.50M,-129.50M,-129.50M,7.90M,,,255.60M,-49.90M,-29.00M,85.80M,,,6.90M,,193.10M,,-298.90M,73.00M,-225.90M,,0.00,-225.90M,,213.50M,,213.50M,10.40M,-11.50M,-1.10M,,,,212.40M,,,,,,,10.40M,392.30M,-178.80M,-11.50M,,,,,
1990-08,43.10M,,,16.20M,-125.80M,-125.80M,-125.80M,5.50M,,,252.60M,7.60M,27.80M,97.20M,,,132.60M,,324.20M,,-310.90M,108.40M,-202.50M,,-16.60M,-219.10M,,-135.70M,,-135.70M,10.80M,-11.20M,-0.40M,,,,-136.10M,,98.50M,,,,,10.80M,237.00M,-372.70M,-11.20M,,,,,
1990-05,43.20M,,,19.40M,-125.20M,-125.20M,-125.20M,111.60M,,,251.60M,-89.30M,2.30M,129.90M,,,42.90M,1.30M,344.80M,,-327.90M,2.00M,-325.90M,,-30.90M,-356.80M,,55.40M,,55.40M,13.00M,-1.60M,11.40M,,,0.00,66.80M,,,,,,,13.00M,327.60M,-272.20M,-1.60M,,,,,
1990-02,5.20M,,,16.90M,-117.70M,-117.70M,-117.70M,0.70M,,,226.20M,9.90M,-58.70M,-15.40M,,,-64.20M,0.00,67.10M,,-322.00M,78.90M,-243.10M,,-0.10M,-243.20M,,169.60M,,169.60M,10.30M,-12.40M,-2.10M,,,-0.20M,167.30M,,,,,,,10.30M,233.80M,-64.20M,-12.40M,,,,,
1989-11,37.00M,,,6.20M,-118.00M,-118.00M,-118.00M,-28.00M,,,238.40M,-133.10M,-17.80M,-1.40M,,,-152.30M,-1.40M,-18.10M,,-278.10M,258.90M,-19.20M,,0.00,-19.20M,,-3.60M,,-3.60M,10.70M,-3.70M,7.00M,,,-0.40M,3.00M,,,,,,,10.70M,284.20M,-287.80M,-3.70M,,,,,
1989-08,30.40M,,,4.50M,-118.30M,-118.30M,-118.30M,16.80M,,,226.60M,-67.10M,22.80M,6.70M,,,-37.60M,0.10M,122.50M,,-236.10M,263.60M,27.50M,,-4.40M,23.10M,,-226.00M,,-226.00M,10.90M,,10.90M,,,-1.00M,-216.10M,,157.30M,,,,,10.90M,194.00M,-420.00M,,,,,,
