,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-03,1.123B,,,,,,-19.00M,-19.00M,,,479.00M,-91.00M,-12.00M,-120.00M,,,30.00M,-193.00M,1.39B,,-57.00M,-57.00M,,69.00M,-2.132B,-2.12B,,-6.00M,32.00M,26.00M,,-707.00M,-707.00M,,,,,,-192.00M,,1.528B,655.00M,,414.00M,-75.00M,339.00M,,,,0.00,-6.00M,-707.00M,,AOR,Restated
2004-12,1.142B,,,,,,-12.00M,-12.00M,,,223.00M,-946.00M,-60.00M,974.00M,,,-1.481B,-714.00M,639.00M,,-73.00M,-73.00M,,-9.603B,8.044B,-1.632B,,-14.00M,-56.00M,-70.00M,,-398.00M,-398.00M,,,,,,-194.00M,,1.699B,1.037B,,370.00M,44.00M,414.00M,,,,-8.00M,-6.00M,-398.00M,,AOR,Restated
2004-09,56.00M,,,,,,-5.00M,-5.00M,,,38.00M,58.00M,-164.00M,422.00M,,,1.524B,1.84B,1.929B,,-49.00M,-49.00M,,-916.00M,-2.46B,-3.425B,,644.00M,-103.00M,541.00M,,-401.00M,-401.00M,,,,,,-196.00M,,1.627B,1.571B,,295.00M,75.00M,370.00M,,,,651.00M,-7.00M,-401.00M,,AOR,Restated
2004-06,1.034B,,,,,,5.00M,5.00M,,,870.00M,-478.00M,-140.00M,25.00M,,,226.00M,-367.00M,1.542B,,-44.00M,-44.00M,,2.43B,-5.584B,-3.198B,,-5.00M,177.00M,172.00M,,-406.00M,-406.00M,,,,,,-197.00M,,2.066B,1.635B,,316.00M,-21.00M,295.00M,,,,1.00M,-6.00M,-406.00M,,AOR,Restated
2004-03,949.00M,,,,,,8.00M,8.00M,,,478.00M,-31.00M,-79.00M,259.00M,,,-226.00M,-77.00M,1.358B,,-34.00M,-34.00M,,-2.434B,,-2.468B,,3.00M,22.00M,25.00M,,-168.00M,-168.00M,,,,,,-169.00M,,1.372B,1.06B,,366.00M,-50.00M,316.00M,,,,3.00M,0.00,-168.00M,,AOR,Restated
2003-12,761.00M,,,,,,-6.00M,-6.00M,,,-187.00M,-151.00M,-93.00M,-558.00M,,,,279.00M,847.00M,,-40.00M,-40.00M,,-9.416B,7.83B,-1.626B,,10.00M,3.00M,13.00M,,-41.00M,-41.00M,,,,,,-161.00M,,1.087B,898.00M,,247.00M,119.00M,366.00M,,,,10.00M,0.00,-41.00M,,AOR,Restated
2003-09,691.00M,,,,,,-7.00M,-7.00M,,,294.00M,-238.00M,-157.00M,1.134B,,,,739.00M,1.717B,,-42.00M,-42.00M,,-10.86B,7.427B,-3.474B,,2.00M,-95.00M,-93.00M,,-50.00M,-50.00M,,,,,,-162.00M,,1.802B,1.497B,,507.00M,-260.00M,247.00M,,,,5.00M,-3.00M,-50.00M,,AOR,Restated
2003-06,588.00M,,,,,,10.00M,10.00M,,,1.029B,-112.00M,-176.00M,441.00M,,,,153.00M,1.78B,,-37.00M,-37.00M,,10.74B,-13.32B,-2.62B,,84.00M,-25.00M,59.00M,,-8.00M,-8.00M,,,,,,-162.00M,,1.068B,957.00M,,390.00M,117.00M,507.00M,,,,395.00M,-311.00M,-8.00M,,AOR,Restated
2003-03,665.00M,,,,,,,,,,570.00M,-10.00M,12.00M,110.00M,,,,112.00M,1.347B,,-50.00M,-50.00M,,243.00M,-1.937B,-1.744B,,-18.00M,-159.00M,-177.00M,,-54.00M,-54.00M,,,,,,-148.00M,,704.00M,325.00M,,462.00M,-72.00M,390.00M,,,,0.00,-18.00M,-54.00M,,AOR,Restated
2002-12,447.00M,,,,,,-12.00M,-12.00M,,,866.00M,124.00M,-57.00M,-543.00M,142.00M,-874.00M,,-362.00M,939.00M,,-88.00M,-88.00M,,40.50B,-42.10B,-1.693B,,-3.00M,32.00M,29.00M,,-73.00M,-73.00M,,,,,,-148.00M,,977.00M,785.00M,,431.00M,31.00M,462.00M,,,,248.00M,-251.00M,-73.00M,,AOR,Restated
2002-09,248.00M,,,,,,-20.00M,-20.00M,,,607.00M,-477.00M,-108.00M,610.00M,-85.00M,853.00M,,685.00M,1.52B,,-56.00M,-56.00M,,-15.00B,12.42B,-2.635B,,1.00M,-18.00M,-17.00M,,-131.00M,-131.00M,,,,,,-149.00M,,1.544B,1.247B,,299.00M,132.00M,431.00M,,,,1.00M,0.00,-131.00M,,AOR,
2002-06,13.00M,,,,,,-21.00M,-21.00M,,,568.00M,180.00M,-92.00M,251.00M,40.00M,21.00M,,308.00M,868.00M,,-50.00M,-50.00M,,-14.68B,12.20B,-2.525B,,-11.00M,123.00M,112.00M,,-157.00M,-157.00M,,,,,,-150.00M,,1.816B,1.621B,,335.00M,-36.00M,299.00M,,,,0.00,-11.00M,-157.00M,,AOR,
2002-03,426.00M,,,,,,-9.00M,-9.00M,,,978.00M,-116.00M,-52.00M,13.00M,-97.00M,,,-304.00M,1.091B,,-45.00M,-45.00M,,-19.58B,17.48B,-2.15B,,274.00M,-85.00M,189.00M,,-85.00M,-85.00M,,,,,,-135.00M,,1.162B,1.131B,,263.00M,72.00M,335.00M,,,,350.00M,-76.00M,-85.00M,,AOR,
2001-12,264.00M,,,,,,-20.00M,-20.00M,,,630.00M,54.00M,-64.00M,-582.00M,-57.00M,-207.00M,,-298.00M,576.00M,,-66.00M,-66.00M,,-3.941B,3.113B,-910.00M,,556.00M,-126.00M,430.00M,,-37.00M,-37.00M,,,,,,-135.00M,,670.00M,378.00M,,219.00M,44.00M,263.00M,,,,559.00M,-3.00M,-587.00M,,AOR,Restated
2001-09,226.00M,,,,,,-29.00M,-29.00M,,,467.00M,-284.00M,-267.00M,469.00M,1.00M,469.00M,,298.00M,962.00M,,-40.00M,-40.00M,,1.418B,-2.636B,-1.258B,,3.00M,104.00M,104.00M,,-380.00M,-380.00M,,,,,,-138.00M,,725.00M,311.00M,,204.00M,15.00M,219.00M,,,,0.00,3.00M,-380.00M,,AOR,
2001-06,168.00M,,,,,,-29.00M,-29.00M,,,-587.00M,344.00M,72.00M,92.00M,283.00M,-239.00M,,447.00M,-1.00M,,-33.00M,-33.00M,,18.49B,-19.18B,-724.00M,,-3.00M,-72.00M,-72.00M,,-82.00M,-82.00M,,,,,,-138.00M,,1.077B,785.00M,,144.00M,60.00M,204.00M,,,,,-3.00M,-82.00M,,AOR,
2001-03,500.00M,,,,,,-28.00M,-28.00M,,,1.59B,-447.00M,-72.00M,-331.00M,-386.00M,,,-1.308B,754.00M,,-47.00M,-47.00M,,-20.12B,18.70B,-1.468B,,,102.00M,102.00M,,-222.00M,-222.00M,,,,,,-124.00M,,880.00M,636.00M,,222.00M,-78.00M,144.00M,,,,,,-222.00M,,AOR,
2000-12,547.00M,,,,,,-26.00M,-26.00M,,,-591.00M,314.00M,-54.00M,-294.00M,225.00M,-12.00M,,164.00M,94.00M,,-71.00M,-71.00M,-25.00M,61.50B,-61.30B,109.00M,,14.00M,3.00M,17.00M,,-314.00M,-314.00M,,,,,,-126.00M,,211.00M,-212.00M,,231.00M,-9.00M,222.00M,,,,14.00M,,-314.00M,,AOR,Restated
2000-09,644.00M,,,,,,-8.00M,-8.00M,,,426.00M,-279.00M,-260.00M,-122.00M,-263.00M,591.00M,,-418.00M,644.00M,,-57.00M,-57.00M,0.00,-62.82B,61.65B,-1.229B,,0.00,3.00M,915.00M,,-236.00M,-236.00M,,,,,,-126.00M,,25.00M,578.00M,,238.00M,-7.00M,231.00M,,,,0.00,,-236.00M,,AOR,
2000-06,459.00M,,,,,,-23.00M,-23.00M,,,133.00M,377.00M,37.00M,-238.00M,359.00M,-579.00M,,-182.00M,387.00M,,-74.00M,-74.00M,,20.16B,-21.76B,-1.672B,,912.00M,-36.00M,-36.00M,,-439.00M,-439.00M,,,,,,-130.00M,,1.838B,1.233B,,290.00M,-52.00M,238.00M,,,,912.00M,,-439.00M,,AOR,
2000-03,561.00M,,,,,,10.00M,10.00M,,,1.11B,-339.00M,-37.00M,-341.00M,-321.00M,,,-1.075B,606.00M,,-98.00M,-98.00M,,-21.29B,21.41B,17.00M,,,-416.00M,-416.00M,,-794.00M,-794.00M,,,,,,-120.00M,,743.00M,-587.00M,,254.00M,36.00M,290.00M,,,,,,-794.00M,,AOR,
1999-12,425.00M,,,,,,12.00M,12.00M,,,395.00M,-158.00M,,-599.00M,439.00M,107.00M,,-140.00M,692.00M,,-39.00M,-39.00M,,-2.731B,2.32B,-1.421B,,830.00M,-5.00M,828.00M,,-511.00M,-511.00M,,,,,,-117.00M,,553.00M,753.00M,,230.00M,24.00M,254.00M,,,,830.00M,,-511.00M,,AOR,Restated
1999-09,490.00M,,,,,,-22.00M,-22.00M,,,1.734B,-57.00M,,-767.00M,-67.00M,-767.00M,,-1.758B,444.00M,,-69.00M,-69.00M,,-77.00M,-98.00M,-244.00M,,1.00M,381.00M,381.00M,,-1.111B,-1.111B,,,,,,-121.00M,,627.00M,-224.00M,,254.00M,-24.00M,230.00M,,,,1.00M,,-1.111B,,,
1999-06,770.00M,,,,,,-1.00M,-1.00M,,,-1.432B,100.00M,,253.00M,110.00M,660.00M,,1.078B,415.00M,,-55.00M,-55.00M,,-237.00M,-128.00M,-420.00M,,2.00M,-107.00M,-107.00M,,-299.00M,-299.00M,,,,,,-122.00M,,597.00M,69.00M,,190.00M,64.00M,254.00M,,,,2.00M,,-299.00M,,,
1999-03,1.035B,,,,,,-6.00M,-6.00M,,,-457.00M,-110.00M,,407.00M,-110.00M,,,144.00M,716.00M,,-49.00M,-49.00M,,-326.00M,-152.00M,-527.00M,,,-67.00M,-67.00M,,-252.00M,-252.00M,,,,,,-111.00M,,173.00M,-257.00M,,258.00M,-68.00M,190.00M,,,,,,-252.00M,,,
1998-12,760.00M,,,,,,-14.00M,-14.00M,52.00M,,264.00M,60.00M,,,-218.00M,,,-433.00M,629.00M,,-51.00M,-51.00M,49.00M,-86.00M,-708.00M,-796.00M,,12.00M,171.00M,384.00M,,-178.00M,-178.00M,,,,,,-112.00M,,71.00M,165.00M,,260.00M,-2.00M,258.00M,,,,12.00M,0.00,-178.00M,,AOR,Restated
1998-09,713.00M,,,,,,8.00M,8.00M,51.00M,,-107.00M,5.00M,,,166.00M,,,339.00M,1.004B,,216.00M,216.00M,-275.00M,-943.00M,659.00M,-343.00M,,0.00,-27.00M,-27.00M,,-426.00M,-426.00M,,,,,,-113.00M,,-136.00M,-702.00M,,301.00M,-41.00M,260.00M,,,,0.00,0.00,-426.00M,,,
1998-06,885.00M,,,,,,-11.00M,-11.00M,-77.00M,,158.00M,-167.00M,,,-128.00M,,,-586.00M,369.00M,,-310.00M,-310.00M,,308.00M,111.00M,109.00M,,201.00M,-15.00M,-15.00M,,-441.00M,-441.00M,,,,,,-104.00M,,120.00M,-440.00M,,263.00M,38.00M,301.00M,,,,501.00M,-300.00M,-441.00M,,,
1998-03,936.00M,,,,,,-5.00M,-5.00M,-26.00M,,-318.00M,170.00M,,,180.00M,,,302.00M,889.00M,,-43.00M,-43.00M,,-232.00M,-62.00M,-337.00M,,,52.00M,52.00M,,-444.00M,-444.00M,,,,,,-114.00M,,-3.00M,-509.00M,,220.00M,43.00M,263.00M,,,,,,-444.00M,,,
1997-12,871.00M,,,,,,-9.00M,-9.00M,-283.00M,,96.00M,-161.00M,,,-62.00M,,,-40.00M,635.00M,,-46.00M,-46.00M,,-186.00M,-207.00M,-301.00M,,259.00M,-36.00M,227.00M,,-531.00M,-531.00M,,,,,,-8.00M,,31.00M,-281.00M,,167.00M,53.00M,220.00M,,,,259.00M,,-531.00M,,AOR,Restated
1997-09,824.00M,,,,,,-8.00M,-8.00M,64.00M,,-46.00M,164.00M,,,164.00M,,,152.00M,986.00M,,-39.00M,-39.00M,,-392.00M,33.00M,-398.00M,,2.00M,60.00M,60.00M,,-292.00M,-292.00M,,,,,,-104.00M,,-267.00M,-603.00M,,182.00M,-15.00M,167.00M,,,,2.00M,,-292.00M,,,
1997-06,643.00M,,,,,,-6.00M,-6.00M,37.00M,,195.00M,68.00M,,,23.00M,,,94.00M,963.00M,,-40.00M,-40.00M,,-664.00M,76.00M,-628.00M,,2.00M,77.00M,77.00M,-20.00M,-219.00M,-239.00M,,,,,,-105.00M,,-15.00M,-282.00M,,129.00M,53.00M,182.00M,,,-20.00M,2.00M,,-219.00M,,,
1997-03,767.00M,,,,,,1.00M,1.00M,182.00M,,-80.00M,-45.00M,,,,,,-112.00M,758.00M,,-25.00M,-25.00M,,-161.00M,-7.00M,-193.00M,,,-54.00M,-54.00M,20.00M,-316.00M,-296.00M,,,,,,-106.00M,,-96.00M,-552.00M,,116.00M,13.00M,129.00M,,,20.00M,,,-316.00M,,,
1996-12,595.00M,,,,,,-19.00M,-19.00M,141.00M,,-978.00M,163.00M,,150.00M,560.00M,,,1.199B,938.00M,,-44.00M,-44.00M,,-1.449B,-341.00M,-1.456B,,5.00M,-40.00M,-34.00M,,-965.00M,-215.00M,,,,,,-94.00M,,63.00M,470.00M,,164.00M,-48.00M,116.00M,,,,6.00M,-1.00M,-965.00M,,AOR,Restated
1996-09,292.00M,,,,,,11.00M,11.00M,24.00M,,1.079B,-375.00M,,109.00M,-439.00M,,,-895.00M,511.00M,,-22.00M,-22.00M,,-483.00M,282.00M,-223.00M,,3.00M,-39.00M,-39.00M,,-36.00M,-36.00M,,,,,,-94.00M,,-107.00M,-276.00M,,152.00M,12.00M,164.00M,,,,3.00M,0.00,-36.00M,,,
1996-06,764.00M,,,,,,-3.00M,-3.00M,64.00M,,-83.00M,-59.00M,,,,,,-177.00M,565.00M,,-28.00M,-28.00M,,-615.00M,59.00M,-584.00M,,-2.00M,119.00M,119.00M,,-54.00M,-54.00M,,,,,,-95.00M,,158.00M,128.00M,,43.00M,109.00M,152.00M,,,,,-2.00M,-54.00M,,,
1996-03,424.00M,,,,,,-8.00M,-8.00M,21.00M,,650.00M,-5.00M,,,,,,-65.00M,1.022B,,-32.00M,-32.00M,,-1.10B,12.00M,-1.12B,,,112.00M,112.00M,,-31.00M,-31.00M,,,,,,-95.00M,,65.00M,51.00M,,90.00M,-47.00M,43.00M,,,,,,-31.00M,,,
1995-12,397.00M,,,,,,-4.00M,-4.00M,36.00M,,363.00M,44.00M,,,,,,-51.00M,741.00M,,-27.00M,-27.00M,,-346.00M,-42.00M,-415.00M,,-430.00M,,-430.00M,0.00,,-60.00M,,,,,,-88.00M,,280.00M,-298.00M,,62.00M,28.00M,90.00M,,,0.00,-430.00M,0.00,,,,
1995-09,446.00M,,,,,,2.00M,2.00M,245.00M,,583.00M,-205.00M,,,,,,-283.00M,993.00M,,-4.00M,-4.00M,,-1.179B,10.00M,-1.173B,,0.00,,0.00,0.00,,0.00,,,,,,-87.00M,,254.00M,167.00M,,75.00M,-13.00M,62.00M,,,0.00,0.00,0.00,,,,
1995-06,519.00M,,,,,,-1.00M,-1.00M,-115.00M,,433.00M,-254.00M,,,,,,-349.00M,487.00M,,-44.00M,-44.00M,,-1.596B,-343.00M,-1.983B,,789.00M,,789.00M,784.00M,,784.00M,,,,,,-87.00M,,32.00M,1.518B,,52.00M,23.00M,75.00M,,,784.00M,791.00M,-2.00M,,,,
1995-03,542.00M,,,,,,,,-44.00M,,345.00M,-261.00M,,,,,,-336.00M,507.00M,,-31.00M,-31.00M,,-632.00M,233.00M,-430.00M,,,,,,,,,,,,,-88.00M,,8.00M,-80.00M,,56.00M,-4.00M,52.00M,,,,,,,,,
1994-12,163.00M,,,,,,5.00M,5.00M,-14.00M,,910.00M,-452.00M,,,-100.00M,,,-649.00M,415.00M,,-33.00M,-33.00M,,-898.00M,69.00M,-862.00M,,7.00M,,7.00M,,,,,,,,,-81.00M,,476.00M,402.00M,,113.00M,-45.00M,68.00M,,,,7.00M,,,,,
1994-09,194.00M,,,,,,15.00M,15.00M,-41.00M,,258.00M,279.00M,,,279.00M,,,494.00M,920.00M,,-36.00M,-36.00M,,-970.00M,51.00M,-955.00M,,5.00M,,5.00M,,,,,,,,,-81.00M,,139.00M,63.00M,,85.00M,28.00M,113.00M,,,,5.00M,,,,,
1994-06,402.00M,,,,,,16.00M,16.00M,-18.00M,,-13.00M,-21.00M,,,-21.00M,,,-104.00M,283.00M,,-35.00M,-35.00M,,-542.00M,6.00M,-571.00M,,7.00M,,7.00M,,,,,,,,,-81.00M,,312.00M,238.00M,,135.00M,-50.00M,85.00M,,,,7.00M,,,,,
1994-03,-275.00M,,,,,,16.00M,16.00M,-100.00M,,1.165B,-158.00M,,,-158.00M,,,-354.00M,452.00M,,-28.00M,-28.00M,,-315.00M,52.00M,-291.00M,,,,,,,,,,,,,-81.00M,,-26.00M,-107.00M,,81.00M,54.00M,135.00M,,,,,,,,,
1993-12,259.00M,,,,,,-13.00M,-13.00M,-34.00M,,557.00M,45.00M,,,-62.00M,,,-83.00M,686.00M,,-37.00M,-37.00M,,-432.00M,78.00M,-391.00M,,-1.80B,1.48B,530.00M,0.00,,0.00,,,,,,-81.00M,,-760.00M,-311.00M,,97.00M,-16.00M,81.00M,,,0.00,0.00,-1.80B,,,,
1993-09,326.00M,,,,,,-2.00M,-2.00M,-123.00M,,282.00M,202.00M,,,325.00M,,,519.00M,1.002B,,6.00M,6.00M,,-852.00M,-34.00M,-880.00M,,1.378B,-1.48B,-952.00M,0.00,,0.00,,,,,,-81.00M,,914.00M,-119.00M,,95.00M,2.00M,97.00M,,,0.00,0.00,1.378B,,,,
1993-06,397.00M,,,,,,22.00M,22.00M,15.00M,,81.00M,15.00M,,,56.00M,,,38.00M,553.00M,,-22.00M,-22.00M,,-1.612B,-45.00M,-1.679B,,-424.00M,,-424.00M,2.287B,,2.287B,,,,,,-200.00M,,-549.00M,1.114B,,105.00M,-10.00M,95.00M,,,2.287B,190.00M,-614.00M,,,,
1993-03,320.00M,,,,,,19.00M,19.00M,-1.00M,,-55.00M,41.00M,,,73.00M,,,101.00M,384.00M,,-23.00M,-23.00M,,-999.00M,-72.00M,-1.094B,,-104.00M,,-104.00M,,,,,,,,,,,794.00M,690.00M,,126.00M,-21.00M,105.00M,,,,660.00M,-764.00M,,,,
