,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-06,5.38M,5.38M,,,,42.81M,,48.19M,,,,,,,3.286B,-313.60M,2.972B,,11.85M,11.85M,,66.53M,,,,3.051B,3.153B,,105.56M,105.56M,105.56M,,,,,,,105.56M,1.507B,,1.507B,,250.58M,,1.507B,1.628B,,75.66M,-95.30M,1.412B,111.42M,75.00M,-5.577M,1.275B,,AOR,Restated
2004-03,43.54M,43.54M,,,,38.08M,,81.62M,,,,,,,3.071B,-299.13M,2.772B,,9.764M,9.764M,101.40M,70.18M,,,,2.953B,3.086B,,,,,,,,,,,,1.482B,,1.482B,,246.14M,,1.482B,1.569B,,75.66M,-88.15M,1.401B,111.41M,75.00M,-5.72M,1.272B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,2.881B,,10.20M,10.20M,,,,,,2.891B,3.098B,,,,,,,,,,,,1.453B,,1.453B,,254.72M,,1.453B,1.563B,,0.65M,-77.79M,1.394B,111.41M,,,1.281B,,AOR,Restated
2003-09,45.89M,45.89M,,,,42.39M,,88.28M,,,,,,,3.026B,-284.68M,2.741B,,,,133.32M,77.59M,,,,2.952B,3.096B,,,,,,,,,,,,1.478B,,1.478B,,267.12M,,1.478B,1.579B,,75.65M,-100.01M,1.386B,111.03M,75.00M,-1.677M,1.249B,,AOR,Restated
2003-06,45.93M,45.93M,,,,32.45M,,78.38M,,,,,,,3.043B,-273.19M,2.770B,,,,131.60M,11.40M,,,,2.913B,3.045B,,,,,,,,,,,,1.486B,,1.486B,,346.01M,,1.486B,1.570B,,75.65M,-98.81M,1.380B,228.25M,75.00M,,1.129B,,AOR,Restated
2003-03,28.27M,28.27M,34.78M,,,34.78M,,63.05M,,,,,,,3.043B,-261.25M,2.782B,,,,125.14M,30.88M,,,,2.938B,3.054B,,,,,,,,,,,,1.430B,,1.430B,,348.60M,,1.430B,1.497B,,0.6438M,-92.99M,1.378B,77.75M,,,1.208B,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,,2.726B,,,,,,,,,2.726B,3.069B,,,,,,,,,,,,1.334B,,1.334B,,420.86M,,1.334B,1.426B,,0.635M,-79.53M,1.368B,77.70M,,,1.222B,,AOR,Restated
2002-09,46.87M,46.87M,40.95M,,,40.95M,,87.82M,,,,,,,3.099B,-247.88M,2.851B,,,,103.17M,3.10M,,,,2.957B,3.099B,,,,,,,,,,,,1.396B,,1.396B,,409.96M,,1.396B,1.477B,,35.32M,-83.68M,1.333B,71.32M,34.70M,,1.213B,,AOR,
2002-06,69.22M,69.22M,,,,36.92M,,106.14M,,,,,,,3.069B,-234.97M,2.834B,,,,90.72M,22.21M,,,,2.947B,3.104B,,,,,,,,,,,,1.406B,,1.406B,,410.25M,,1.406B,1.485B,,35.32M,-80.58M,1.332B,71.32M,34.70M,,1.209B,,AOR,
2002-03,29.66M,29.66M,40.86M,,,40.86M,,70.52M,,,,,,,3.094B,-223.15M,2.870B,,,,87.13M,33.56M,,,,2.991B,3.113B,,,,,,,,,,,,1.427B,,1.427B,,410.74M,,1.427B,1.488B,,35.31M,-73.17M,1.330B,71.26M,34.70M,,1.213B,,AOR,
2001-12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.109B,,,,,,,,,,,,,,,,411.45M,,,1.067B,,,,,,,,1.219B,,AOR,Restated
2001-09,36.28M,36.28M,36.99M,,,36.99M,,73.27M,,,,,,,3.154B,-187.10M,2.967B,,,,66.12M,31.00M,,,,3.064B,2.991B,,60.88M,60.88M,60.88M,,,,,,,60.88M,1.290B,,1.290B,,411.35M,,1.290B,1.360B,,35.31M,-65.21M,1.326B,67.74M,34.70M,,1.219B,,AOR,
2001-06,13.13M,13.13M,30.95M,,,30.95M,,44.08M,,,,,,,3.067B,-175.05M,2.892B,,,,109.78M,55.84M,,,,3.058B,2.965B,,62.51M,62.51M,62.51M,,,,,,,62.51M,1.263B,,1.263B,,410.98M,,1.263B,1.334B,,35.31M,-62.54M,1.324B,67.69M,34.70M,,1.220B,,AOR,
2001-03,52.68M,52.68M,27.34M,,,27.34M,,80.01M,,,,,,,2.900B,-162.62M,2.737B,,,,77.98M,53.64M,,,,2.869B,2.982B,,,,,,,,221.00M,221.00M,,221.00M,1.273B,,1.273B,,412.56M,,1.273B,1.347B,,35.30M,-57.20M,1.321B,67.60M,34.70M,,1.222B,,AOR,
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.035B,,,,,,,,,,,,,,,,418.93M,,,1.391B,,,,,,,,1.225B,,AOR,Restated
2000-09,36.87M,36.87M,29.67M,,,29.67M,,66.54M,,,,,,,2.833B,-137.09M,2.696B,,,,66.16M,37.96M,,,,2.800B,2.893B,,,,,,,,,,,,1.200B,,1.200B,,417.08M,,1.200B,1.248B,,0.6020M,-47.30M,1.317B,65.86M,,,1.228B,,AOR,
2000-06,37.91M,37.91M,32.89M,,,32.89M,,70.79M,,,,,,,2.732B,-123.69M,2.608B,,,,37.16M,24.35M,,,,2.669B,2.762B,,,,,,,,,,,,1.079B,,1.079B,,398.63M,,1.079B,1.133B,,13.13M,-44.03M,1.315B,65.40M,12.53M,,1.230B,,AOR,
2000-03,27.81M,27.81M,28.63M,,,28.63M,,56.44M,,,,,,,2.609B,-117.45M,2.491B,,,,69.89M,19.51M,,,,2.581B,2.658B,,,,,,,,,,,,1.039B,,1.039B,,337.66M,,1.039B,1.087B,,0.5976M,-32.31M,1.306B,65.17M,,,1.233B,,AOR,
1999-12,54.12M,54.12M,33.50M,,0.0150M,33.52M,,87.63M,,,,,,,2.569B,-104.47M,2.465B,,,,66.94M,15.67M,,,,2.547B,2.655B,,,,,,,,,,,,1.012B,,1.012B,,338.88M,,1.012B,1.069B,,35.29M,-26.78M,1.304B,54.54M,34.70M,,1.247B,,AOR,Restated
1999-09,,,29.80M,,,29.80M,,29.80M,,,,,,,,,2.537B,,,,,,,,,2.537B,2.608B,,,,,,,,,,,,919.00M,,919.00M,,10.60M,,919.00M,1.013B,,,-25.60M,,,,,1.585B,,,
1999-06,,,29.70M,,,29.70M,,29.70M,,,,,,,,,2.462B,,,,,,,,,2.462B,2.524B,,,,,,,,,,,,1.031B,,1.031B,,11.10M,,1.031B,1.130B,,,-22.20M,,,,,1.383B,,,
1999-03,,,26.70M,,,26.70M,,26.70M,,,,,,,,,2.370B,,,,,,,,,2.370B,2.477B,,,,,,,,,,,,546.30M,,546.30M,,135.80M,,546.30M,1.029B,,,-19.10M,,,,,1.312B,,,
1998-12,19.92M,19.92M,16.80M,,-0.0411M,16.76M,,36.68M,,,,,,,1.220B,-58.98M,1.161B,,,,30.63M,0.00,,,,1.191B,1.240B,,,,,,,,,,,,548.13M,,548.13M,,118.19M,,548.13M,571.17M,,0.2799M,-19.40M,578.47M,0.00,,,550.74M,,AOR,Restated
1998-09,,,16.60M,,,16.60M,,16.60M,,,,,,,,,1.125B,,,,,,,,,1.125B,1.173B,,,,,,,,,,,,478.60M,,478.60M,,7.60M,,478.60M,534.50M,,,-17.00M,,,,,630.90M,,,
1998-06,,,10.70M,,,10.70M,,10.70M,,,,,,,,,1.058B,,,,,,,,,1.058B,1.093B,,,,,,,,,,,,407.50M,,407.50M,,7.50M,,407.50M,533.10M,,,-14.50M,,,,,552.50M,,,
1998-03,,,9.80M,,,9.80M,,9.80M,,,,,,,,,951.00M,,,,,,,,,951.00M,986.00M,,,,,,,,,,,,395.70M,,395.70M,,7.40M,,395.70M,438.40M,,,-13.00M,,,,,540.20M,,,
1997-12,,,9.50M,,,9.50M,,9.50M,,,,,,,,,793.60M,,,,,,,,,793.60M,826.80M,,,,,,,,,,,,278.10M,,278.10M,,7.50M,,278.10M,305.70M,,,-20.50M,,,,,513.60M,,AOR,
1997-09,,,5.20M,,,5.20M,,5.20M,,,,,,,,,751.60M,,,,,,,,,751.60M,778.60M,,,,,,,,,,,,240.10M,,240.10M,,22.30M,,240.10M,258.20M,,,-19.30M,,,,,498.10M,,,
1997-06,,,3.80M,,,3.80M,,3.80M,,,,,,,,,731.60M,,,,,,,,,731.60M,755.00M,,,,,,,,,,,,356.40M,,356.40M,,22.30M,,356.40M,373.70M,,,-17.50M,,,,,359.00M,,,
1997-03,,,2.60M,,,2.60M,,2.60M,,,,,,,,,625.10M,,,,,,,,,625.10M,649.70M,,,,,,,,,,,,304.90M,,304.90M,,,,304.90M,418.40M,,,-15.70M,,,,,231.30M,,,
1996-12,,,5.30M,,,5.30M,,5.30M,,,,,,,,,366.20M,,,,,,,,,366.20M,386.50M,,,,,,,,,,,,171.60M,,171.60M,,,,171.60M,179.80M,,,-14.00M,,,,,206.70M,,AOR,
1996-09,,,3.10M,,,3.10M,,3.10M,,,,,,,,,318.60M,,,,,,,,,318.60M,344.00M,,,,,,,,,,,,172.80M,,172.80M,,,,172.80M,182.50M,,,-11.10M,,,,,161.50M,,,
1996-06,,,2.00M,,,2.00M,,2.00M,,,,,,,,,277.40M,,,,,,,,,277.40M,290.80M,,,,,,,,,,,,138.10M,,138.10M,,,,138.10M,144.60M,,,-9.80M,,,,,146.20M,,,
1996-03,,,1.60M,,,1.60M,,1.60M,,,,,,,,,269.40M,,,,,,,,,269.40M,280.80M,,,,,,,,,,,,125.50M,,125.50M,,,,125.50M,133.30M,,,,,,,,147.50M,,,
1995-12,,,2.60M,,,2.60M,,2.60M,,,,,,,,,260.10M,,,,,,,,,260.10M,271.00M,,,,,,,,,,,,115.60M,,115.60M,,,,115.60M,124.00M,,,-8.10M,,,,,147.00M,,,
1995-09,,,1.80M,,,1.80M,,1.80M,,,,,,,,,214.30M,,,,,,,,,214.30M,226.70M,,,,,,,,,,,,122.60M,,122.60M,,,,122.60M,127.90M,,,,,,,,98.80M,,,
1995-06,,,1.70M,,,1.70M,,1.70M,,,,,,,,,216.40M,,,,,,,,,216.40M,227.30M,,,,,,,,,,,,122.50M,,122.50M,,,,122.50M,127.20M,,,,,,,,100.10M,,,
1995-03,,,1.50M,,,1.50M,,1.50M,,,,,,,,,214.20M,,,,,,,,,214.20M,225.80M,,,,,,,,,,,,120.60M,,120.60M,,,,120.60M,124.50M,,,,,,,,101.30M,,,
1994-12,,,2.60M,,,2.60M,,2.60M,,,,,,,,,203.60M,,,,,,,,,203.60M,214.10M,,,,,,,,,,,,108.00M,,108.00M,,,,108.00M,112.30M,,,,,,,,101.80M,,,
1994-09,,,1.90M,,,1.90M,,1.90M,,,,,,,,,200.80M,,,,,,,,,200.80M,212.50M,,,,,,,,,,,,104.30M,,104.30M,,,,104.30M,109.50M,,,-1.20M,,,,,103.00M,,,
1994-06,,,1.70M,,,1.70M,,1.70M,,,,,,,,,199.90M,,,,,,,,,199.90M,211.00M,,,,,,,,,,,,102.50M,,102.50M,,,,102.50M,106.90M,,,-0.10M,,,,,104.10M,,,
1994-03,,,1.70M,,,1.70M,,1.70M,,,,,,,,,176.10M,,,,,,,,,176.10M,185.80M,,,,,,,,,,,,85.50M,,85.50M,,,,85.50M,88.40M,,,2.30M,,,,,97.40M,,,
