,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,108.70M,,,5.40M,146.40M,-0.10M,146.30M,146.30M,6.40M,,,,40.30M,,-24.10M,,-27.40M,,-313.80M,15.70M,-349.60M,,2008-03,-241.50M,,-241.50M,,17.90M,,-223.60M,2008-03,,,172.20M,45.40M,-0.10M,45.30M,,,,-3.70M,213.80M,2008-03,349.30M,-52.30M,6.40M,,2008-03,45.40M,,,-0.10M,,,2008-03,,
2007-12,208.10M,,,-11.00M,139.90M,-0.10M,139.80M,139.80M,-22.10M,,,,36.50M,,111.90M,,-42.60M,,340.20M,46.80M,456.30M,,2007-12,-263.60M,,-263.60M,,-10.20M,,-273.80M,2007-12,,,-181.00M,21.60M,-311.30M,-289.70M,,,,3.00M,-467.70M,2007-12,281.30M,66.10M,1.90M,,2007-12,21.60M,,,-311.30M,,,2007-12,,
2007-09,158.50M,,,-3.519M,130.36M,0.049M,130.41M,130.41M,3.133M,,,,-8.979M,,-31.84M,,67.01M,,40.87M,-64.21M,11.84M,,2007-09,-308.22M,,-308.22M,0.126M,-11.08M,,-319.17M,2007-09,,,379.04M,40.33M,-325.81M,-285.48M,,,,37.52M,131.08M,2007-09,172.79M,103.29M,5.178M,,2007-09,40.33M,,,-325.81M,,,2007-09,,
2007-06,158.34M,,,-3.722M,125.40M,0.172M,125.57M,125.57M,-3.297M,,,,29.21M,,-77.29M,,29.55M,,41.20M,2.45M,-4.086M,,2007-06,-264.93M,,-264.93M,-6.115M,-20.40M,,-291.45M,2007-06,,,32.78M,28.40M,-107.85M,-79.45M,,,,5.687M,-40.98M,2007-06,200.18M,-30.41M,3.019M,,2007-06,28.40M,,,-107.85M,,,2007-06,,
2007-03,150.84M,,,-2.40M,119.36M,0.219M,119.58M,119.58M,-15.88M,,,,22.68M,,-30.74M,,3.743M,,-194.87M,6.466M,-215.40M,,2007-03,-236.66M,,-236.66M,0.00,12.09M,,-224.56M,2007-03,,,481.81M,42.67M,-447.85M,-405.18M,,,,16.73M,93.36M,2007-03,270.87M,-71.79M,1.098M,,2007-03,42.67M,,,-447.85M,,,2007-03,,
2006-12,204.95M,,,9.825M,116.12M,0.213M,116.34M,116.34M,-21.28M,,,,1.636M,,91.29M,,-64.24M,,301.03M,38.85M,366.94M,,2006-12,-270.55M,,-270.55M,-47.30M,-48.92M,,-366.77M,2006-12,,,-335.21M,65.53M,-115.29M,-49.76M,,,,29.62M,-355.35M,2006-12,312.61M,-43.71M,1.977M,,2006-12,65.53M,,,-115.29M,,,2006-12,,
2006-09,117.29M,,,-57.08M,109.42M,0.37M,109.78M,109.78M,-9.23M,,,,77.39M,,-78.86M,,77.42M,,39.77M,-80.63M,-42.30M,,2006-09,-248.88M,,-248.88M,-1.156M,125.76M,-39.20M,-163.47M,2006-09,,,499.66M,27.42M,-486.27M,-458.85M,,,,24.04M,64.85M,2006-09,215.74M,97.24M,-0.372M,,2006-09,27.42M,,,-486.27M,,,2006-09,,
2006-06,145.50M,,,-1.174M,104.58M,0.434M,105.01M,105.01M,-17.96M,,,,-1.704M,,-98.65M,,19.28M,,18.86M,4.619M,-55.89M,,2006-06,-212.02M,,-212.02M,-0.359M,10.19M,19.10M,-183.09M,2006-06,,,104.81M,40.21M,-163.58M,-123.38M,,,,38.46M,19.89M,2006-06,202.67M,10.58M,2.484M,,2006-06,40.21M,,,-163.58M,,,2006-06,,
2006-03,127.32M,,,4.366M,100.89M,0.664M,101.55M,101.55M,-30.84M,,,,-3.326M,,-1.373M,,16.45M,,-76.26M,15.24M,-45.94M,,2006-03,-163.01M,,-163.01M,-90.22M,70.83M,-19.10M,-201.50M,2006-03,,,-10.19M,47.21M,-69.88M,-22.68M,,,,31.15M,-1.717M,2006-03,251.44M,-50.09M,1.325M,,2006-03,47.21M,,,-69.88M,,,2006-03,,
2005-12,174.16M,,,-6.682M,97.74M,0.545M,98.29M,98.29M,-26.29M,,,,3.326M,,93.35M,,-8.18M,,261.32M,19.57M,366.06M,,2005-12,-147.32M,,-147.32M,,-145.66M,,-292.98M,2005-12,,,-172.19M,44.41M,-134.30M,-89.89M,,,,23.72M,-238.35M,2005-12,173.81M,77.53M,0.093M,,2005-12,44.41M,,,-134.30M,,,2005-12,,
2005-09,123.72M,,,-46.24M,95.41M,0.849M,96.26M,96.26M,6.231M,,,,45.40M,,-49.33M,,26.16M,,-1.581M,-37.04M,-61.79M,,2005-09,-173.38M,,-173.38M,-2.607M,104.48M,-7.915M,-79.42M,2005-09,,,276.82M,17.68M,-335.99M,-318.30M,,,,,-41.49M,2005-09,130.11M,42.68M,1.015M,,2005-09,17.68M,,,-335.99M,,,2005-09,,
2005-06,125.51M,,,-93.98M,91.94M,2.136M,94.07M,94.07M,-16.54M,,,,114.96M,,-91.19M,,3.91M,,38.11M,6.919M,-42.25M,,2005-06,-158.46M,,-158.46M,-7.694M,371.63M,-12.68M,192.80M,2005-06,,,-0.184M,24.34M,-442.91M,-418.57M,,,,,-418.76M,2005-06,177.14M,-44.18M,-2.849M,,2005-06,24.34M,,,-442.91M,,,2005-06,,
2005-03,100.42M,,,16.77M,94.52M,3.852M,98.38M,98.38M,-7.323M,,,,,,-27.59M,,21.21M,,-70.58M,32.60M,-44.37M,,2005-03,-149.32M,,-149.32M,0.00,142.70M,12.68M,6.052M,2005-03,,,-0.183M,30.11M,-334.75M,-304.64M,,,,,-304.82M,2005-03,314.52M,-134.88M,-2.493M,,2005-03,30.11M,,,-334.75M,,,2005-03,,
2004-12,144.71M,,,73.90M,85.33M,3.26M,88.59M,88.59M,-13.62M,,,,,,46.49M,,-41.56M,,124.48M,-9.325M,120.08M,,2004-12,-162.13M,,-162.13M,-11.28M,-166.63M,,-340.04M,2004-12,,,-0.183M,91.42M,,91.42M,,,,,91.24M,2004-12,145.05M,164.86M,4.61M,,2004-12,91.42M,,,,,,2004-12,,
2004-09,100.48M,,,-68.42M,87.12M,3.554M,90.68M,90.68M,0.769M,,,,,,-36.38M,,56.56M,,-9.652M,8.547M,19.08M,,2004-09,-195.81M,,-195.81M,,-44.53M,-64.75M,-312.60M,2004-09,,,-0.182M,34.24M,-121.21M,-86.96M,,,,,-87.15M,2004-09,383.37M,-137.49M,0.618M,,2004-09,34.24M,,,-121.21M,,,2004-09,,
2004-06,99.38M,,,8.129M,74.64M,3.408M,78.05M,78.05M,5.901M,,,,,,-78.18M,,-15.54M,,32.45M,-2.691M,-63.96M,,2004-06,-83.38M,,-83.38M,,100.22M,7.682M,24.52M,2004-06,,,-0.18M,30.23M,-41.48M,-11.25M,,,,,-11.43M,2004-06,141.60M,140.59M,-0.26M,,2004-06,30.23M,,,-41.48M,,,2004-06,,
2004-03,78.88M,,,18.52M,152.28M,4.641M,82.82M,82.82M,-3.416M,,,,,,-2.543M,,12.75M,,-102.25M,3.941M,-88.10M,,2004-03,-72.90M,,-72.90M,,-214.72M,-7.682M,-295.30M,2004-03,,,-0.18M,42.44M,-40.72M,1.719M,,,,,1.539M,2004-03,448.31M,-205.05M,-0.222M,,2004-03,42.44M,,,-40.72M,,,2004-03,,
2003-12,110.14M,,,10.07M,,,74.11M,74.11M,-7.024M,,,,,,39.45M,,-25.84M,,189.65M,-6.095M,197.17M,,2003-12,-64.83M,,-64.83M,,-105.69M,,-170.52M,2003-12,,,-0.18M,30.68M,,30.68M,,,,,30.50M,2003-12,200.91M,244.43M,2.975M,,2003-12,30.68M,,,,,,2003-12,,
2003-09,69.48M,,,2.599M,,,68.62M,68.62M,-18.78M,,,,,,-49.69M,6.995M,-15.26M,,30.01M,-15.10M,-43.05M,,2003-09,-98.10M,,-98.10M,,16.06M,-9.486M,-161.45M,2003-09,,,-0.185M,34.88M,-14.47M,20.42M,,,,,20.23M,2003-09,263.64M,-62.35M,-0.379M,,2003-09,34.88M,,,-14.47M,,,2003-09,,
2003-06,68.41M,,,12.79M,-124.76M,-2.648M,63.24M,63.24M,-8.236M,,,,,5.376M,-75.74M,-19.86M,33.25M,,52.42M,17.36M,12.82M,,2003-06,-77.17M,,-77.17M,,-44.21M,-5.91M,-127.29M,2003-06,,,-0.175M,20.16M,-31.10M,-10.94M,,,,,-11.11M,2003-06,250.40M,10.63M,2.61M,,2003-06,20.16M,,,-31.10M,,,2003-06,,
2003-03,52.09M,,,12.52M,63.20M,1.51M,64.71M,64.71M,5.848M,,,,,8.285M,7.248M,,19.44M,,-70.08M,4.745M,-30.37M,,2003-03,-88.26M,,-88.26M,,-50.48M,-7.633M,-146.37M,2003-03,,,-0.174M,40.35M,-0.208M,40.14M,,,,,39.97M,2003-03,251.46M,-1.608M,0.548M,,2003-03,40.35M,,,-0.208M,,,2003-03,,
2002-12,78.36M,,,-0.352M,61.56M,1.138M,62.70M,62.70M,-1.649M,,,,,-13.66M,53.41M,,-12.44M,,74.38M,-7.003M,94.69M,,2002-12,-93.75M,,-93.75M,,24.88M,4.736M,-64.14M,2002-12,,,-0.176M,11.79M,-29.94M,-18.15M,,,,,-18.32M,2002-12,99.68M,151.28M,0.499M,,2002-12,11.79M,,,-29.94M,,,2002-12,,
2002-09,58.47M,,,-0.969M,,,58.38M,58.38M,-16.40M,,,,,-4.529M,-44.35M,-1.608M,13.12M,-0.839M,46.70M,,8.495M,,2002-09,-106.36M,,-106.36M,,-25.16M,16.01M,-115.51M,2002-09,,,12.73M,7.356M,-50.42M,-43.06M,,,,3.023M,-27.31M,2002-09,209.14M,-34.85M,0.278M,,2002-09,7.356M,,,-50.42M,,,2002-09,,
2002-06,56.18M,,,25.65M,,,54.90M,54.90M,21.87M,,,,,-6.455M,-45.70M,-4.091M,19.99M,-1.283M,16.61M,,-20.93M,,2002-06,-85.51M,,-85.51M,,-54.90M,-1.271M,-141.68M,2002-06,,,12.99M,39.90M,0.00,39.90M,,,,-3.023M,49.86M,2002-06,161.84M,45.84M,1.461M,,2002-06,39.90M,,,0.00,,,2002-06,,
2002-03,32.08M,,,15.66M,,,53.84M,53.84M,-3.752M,,,,,3.67M,4.55M,-3.296M,15.31M,-0.903M,-31.75M,,-12.42M,,2002-03,-94.64M,,-94.64M,,-79.71M,-4.059M,-178.41M,2002-03,,,-13.34M,37.56M,0.00,37.56M,,,,,24.22M,2002-03,168.59M,-68.78M,0.042M,,2002-03,37.56M,,,0.00,,,2002-03,,
2001-12,68.36M,,,-4.626M,,,54.02M,54.02M,-7.805M,,,,,0.611M,44.12M,-3.465M,-42.96M,-2.674M,41.06M,,36.69M,,2001-12,-88.96M,,-88.96M,,42.92M,-3.685M,-49.73M,2001-12,,,-0.173M,22.65M,-1.829M,20.82M,,,,,20.65M,2001-12,51.25M,117.56M,-0.221M,,2001-12,22.65M,,,-1.829M,,,2001-12,,
2001-09,53.25M,,,-5.481M,,,48.97M,48.97M,0.267M,,,,,2.384M,-31.48M,-1.868M,32.46M,-0.432M,23.71M,,24.77M,,2001-09,-128.72M,,-128.72M,,14.85M,1.152M,-112.72M,2001-09,,,5.483M,6.241M,,-43.55M,,,,-9.66M,-47.72M,2001-09,151.99M,-38.66M,-0.089M,,2001-09,6.241M,,,,,,2001-09,,
2001-06,46.76M,,,-0.189M,,,45.39M,45.39M,-3.118M,,,,,-19.97M,-38.43M,-0.016M,9.081M,-0.578M,32.84M,,-17.07M,,2001-06,-93.80M,,-93.80M,,-69.59M,4.293M,-159.10M,2001-06,,,3.502M,10.97M,,10.97M,,,,9.66M,24.13M,2001-06,215.18M,-63.20M,0.009M,,2001-06,10.97M,,,,,,2001-06,,
2001-03,32.21M,,,17.92M,,,42.06M,42.06M,-3.17M,,,,,2.365M,16.98M,-9.035M,1.97M,1.38M,1.822M,,15.48M,,2001-03,-82.72M,,-82.72M,,8.029M,-10.36M,-85.06M,2001-03,,,-3.845M,24.16M,,24.16M,,,,-1.969M,18.35M,2001-03,177.44M,37.80M,-0.062M,,2001-03,24.16M,,,,,,2001-03,,
2000-12,49.00M,,,16.92M,,,40.66M,40.66M,-0.047M,,,,,-1.959M,33.22M,,10.61M,-4.402M,18.77M,,56.24M,,2000-12,-78.97M,,-78.97M,,2.959M,-0.164M,-76.18M,2000-12,,,-0.17M,18.27M,,18.27M,,,,1.969M,20.07M,2000-12,70.82M,106.66M,-0.032M,,2000-12,18.27M,,,,,,2000-12,,
2000-09,1.496M,,,86.27M,,,40.92M,40.92M,-19.96M,,,,,-13.16M,-19.28M,,-1.839M,0.618M,11.56M,,-22.10M,,2000-09,-92.68M,,-92.68M,-0.633M,-2.012M,4.698M,-90.63M,2000-09,,,-7.708M,23.04M,,23.04M,,,,-7.864M,7.468M,2000-09,67.44M,3.47M,-0.089M,,2000-09,23.04M,,,,,,2000-09,,
2000-06,34.91M,,,-15.26M,,,33.66M,33.66M,1.624M,,,,,-4.259M,-30.10M,0.638M,9.26M,-2.732M,22.47M,,-4.725M,,2000-06,-75.76M,,-75.76M,-12.89M,21.48M,-29.77M,-96.95M,2000-06,,,13.43M,7.808M,,7.808M,,,,7.864M,29.10M,2000-06,85.26M,-17.64M,-0.184M,,2000-06,7.808M,,,,,,2000-06,,
2000-03,23.41M,,,11.73M,,,35.62M,35.62M,2.284M,,,,-0.075M,-10.01M,5.182M,-0.638M,1.14M,-1.70M,1.105M,,-4.925M,,2000-03,-73.80M,,-73.80M,,-26.48M,7.328M,-92.95M,2000-03,,,-14.19M,31.17M,,31.17M,,,,16.00M,32.98M,2000-03,77.40M,8.063M,-0.224M,,2000-03,31.17M,,,,,,2000-03,,
1999-12,34.75M,,,-2.20M,,,31.98M,31.98M,-2.20M,,,,0.075M,-0.80M,24.70M,,7.00M,1.70M,18.70M,,51.30M,,1999-12,-74.20M,,-74.20M,,-3.50M,-15.00M,-92.70M,1999-12,,,-0.90M,6.70M,,6.70M,,,,-16.00M,-10.20M,1999-12,66.40M,10.80M,0.20M,,1999-12,6.70M,,,,,,1999-12,,
1999-09,32.40M,,,17.80M,,,29.20M,29.20M,-2.30M,,,,0.20M,-5.80M,-11.90M,,-8.00M,1.30M,8.20M,,-16.20M,,1999-09,-66.80M,-3.40M,-70.20M,,-1.30M,-8.20M,-95.40M,1999-09,,,28.30M,-12.00M,,-12.00M,,,,-6.00M,10.30M,1999-09,90.90M,-24.00M,-0.60M,,1999-09,-12.00M,,,,,,1999-09,,
1999-06,24.60M,,,0.30M,,,27.70M,27.70M,0.60M,,,,-0.20M,-4.40M,-36.00M,,11.20M,-4.40M,27.50M,,-6.10M,,1999-06,-75.60M,3.40M,-72.20M,,-11.40M,-11.10M,-94.70M,1999-06,,,0.10M,22.10M,,22.10M,,,,-10.20M,12.00M,1999-06,0.00,-35.80M,-0.80M,,1999-06,22.10M,,,,,,1999-06,,
1999-03,18.00M,,,0.30M,,,26.20M,26.20M,1.90M,,,,-0.10M,8.10M,-14.90M,,3.10M,-4.10M,-14.20M,,-22.00M,,1999-03,-63.70M,,-63.70M,,20.60M,-11.30M,-54.40M,1999-03,,,-3.30M,21.40M,,21.40M,,,,9.60M,27.70M,1999-03,128.40M,-2.40M,1.60M,,1999-03,21.40M,,,,,,1999-03,,
1998-12,26.70M,,,0.40M,,,24.40M,24.40M,0.60M,,,,0.20M,5.90M,26.40M,,-1.60M,-0.40M,14.70M,,45.00M,,1998-12,-51.80M,,-51.80M,,-42.00M,2.00M,-91.80M,1998-12,,,3.20M,11.70M,,11.70M,,,,6.60M,21.50M,1998-12,101.70M,27.00M,-0.30M,,1998-12,11.70M,,,,,,1998-12,,
1998-09,25.60M,,,9.50M,,,22.60M,22.60M,3.90M,,,,0.20M,-17.00M,8.60M,,-7.30M,-1.00M,7.00M,,-9.70M,,1998-09,-58.00M,,-58.00M,,11.60M,-1.40M,-47.80M,1998-09,,,2.80M,-3.50M,,-3.50M,,,,6.60M,5.90M,1998-09,0.00,10.20M,0.10M,,1998-09,-3.50M,,,,,,1998-09,,
1998-06,7.90M,,,8.00M,,,21.10M,21.10M,-2.50M,,,,-0.10M,1.30M,-22.60M,,-9.50M,-0.40M,15.40M,,-15.80M,,1998-06,-49.90M,,-49.90M,,10.50M,-5.10M,-44.50M,1998-06,,,7.10M,13.40M,,13.40M,,,,-10.90M,9.60M,1998-06,0.00,-16.30M,-0.20M,,1998-06,13.40M,,,,,,1998-06,,
