,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-12,805.34M,805.34M,627.84M,177.49M,,41.13M,19.95M,,,,79.48M,170.91M,6.585M,,,,19.95M,,108.50M,40.14M,68.36M,,,68.36M,55.79M,6.585M,,2001-12,0.0212,0.00,,2001-12,0.0212,0.00,0.0172,2001-12,3.046B,3.136B,2001-12,,
2001-09,689.54M,689.54M,533.66M,155.88M,,38.46M,7.971M,,,,-724.09M,-640.18M,796.05M,,,,7.971M,,84.52M,31.27M,53.25M,,,53.25M,48.23M,796.05M,,2001-09,0.0342,,,2001-09,-0.0225,0.00,-0.0257,2001-09,1.519B,1.578B,2001-09,,
2001-06,662.77M,662.77M,520.66M,142.11M,,35.65M,6.732M,,,,242.58M,320.11M,-178.00M,,,,6.732M,,74.22M,27.46M,46.76M,,,46.76M,42.52M,-178.00M,,2001-06,0.03,0.00,,2001-06,0.03,0.00,0.0273,2001-06,1.528B,1.578B,2001-06,,
2001-03,629.29M,629.29M,503.57M,125.72M,,42.43M,6.167M,,,,,81.03M,44.69M,,,,6.167M,,52.41M,20.20M,32.21M,,,32.21M,28.42M,44.69M,,2001-03,0.005,0.00,,2001-03,0.005,0.00,0.0044,2001-03,6.083B,6.083B,2001-03,,
2000-12,667.39M,667.39M,520.59M,146.79M,,34.88M,4.805M,,,,,75.54M,71.25M,,,,4.805M,,77.77M,28.78M,49.00M,,,49.00M,45.97M,71.25M,,2000-12,0.0325,0.00,,2000-12,0.0312,0.00,0.0293,2000-12,1.509B,1.575B,2000-12,,
2000-09,575.70M,575.70M,400.69M,175.02M,,27.38M,-90.65M,,,,,-487.98M,662.99M,,,,-90.65M,,11.21M,9.717M,1.496M,,,1.496M,55.88M,662.99M,,2000-09,0.0010,,,2000-09,0.0010,,0.0371,2000-09,1.506B,1.506B,2000-09,,
2000-06,557.52M,557.52M,446.24M,111.28M,,28.05M,4.339M,,,,198.84M,260.14M,-148.87M,,,,4.339M,,55.86M,20.95M,34.91M,,,34.91M,32.20M,-148.87M,,2000-06,0.0056,0.00,,2000-06,0.0056,0.00,0.0052,2000-06,5.969B,6.204B,2000-06,,
2000-03,506.67M,506.67M,414.71M,91.96M,,28.62M,3.821M,,,,,60.57M,31.39M,,,,3.821M,,37.45M,14.04M,23.41M,,,23.41M,21.02M,31.39M,,2000-03,0.0044,0.00,,2000-03,0.0038,0.00,0.0034,2000-03,5.913B,6.157B,2000-03,,
1999-12,529.33M,529.33M,419.97M,109.36M,,26.14M,3.395M,,,,,58.12M,51.24M,,,,3.395M,,56.05M,21.30M,34.75M,,,34.75M,32.64M,51.24M,,1999-12,0.0062,0.00,,1999-12,0.0056,0.00,0.0042,1999-12,1.470B,1.470B,1999-12,,
1999-09,474.85M,474.85M,369.60M,105.25M,,22.30M,-9.70M,,,,,51.50M,53.75M,,,,-9.70M,,52.20M,19.80M,32.40M,,,32.40M,38.42M,53.75M,,1999-09,0.0222,,,1999-09,0.0222,,0.0263,1999-09,1.462B,1.462B,1999-09,,
1999-06,423.79M,423.79M,333.30M,90.49M,,24.70M,2.00M,,,,,52.40M,38.09M,,,,2.00M,,39.70M,15.10M,24.60M,,,24.60M,23.36M,38.09M,,1999-06,0.0044,0.00,,1999-06,0.0044,0.00,0.0035,1999-06,1.456B,1.456B,1999-06,,
1999-03,375.80M,375.80M,300.70M,75.10M,,22.40M,2.40M,,,,,48.40M,26.70M,,,,2.40M,,29.00M,11.00M,18.00M,,,18.00M,16.51M,26.70M,,1999-03,0.0031,0.00,,1999-03,0.0031,0.00,0.0021,1999-03,1.460B,1.460B,1999-03,,
1998-12,405.60M,405.60M,319.70M,85.90M,,20.40M,,,,,,44.80M,41.10M,,,,,,43.10M,16.40M,26.70M,,,26.70M,26.70M,41.10M,,1998-12,0.0025,0.00,,1998-12,0.0025,0.00,0.0025,1998-12,1.447B,1.447B,1998-12,,
1998-09,357.70M,357.70M,276.60M,81.10M,,19.90M,-7.70M,,,,,42.50M,38.60M,,,,-7.70M,,39.20M,13.60M,25.60M,,,25.60M,30.63M,38.60M,,1998-09,0.0179,,,1998-09,0.0179,,0.0214,1998-09,1.434B,1.434B,1998-09,,
1998-06,334.40M,334.40M,266.10M,68.30M,,20.60M,-6.70M,,,,,42.40M,25.90M,,,,-6.70M,,19.00M,11.10M,7.90M,,,7.90M,11.92M,25.90M,,1998-06,0.0009,0.00,,1998-06,0.0009,0.00,0.0037,1998-06,1.431B,1.431B,1998-06,,
