,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,,45.57M,,45.57M,1.092B,1.092B,121.60M,799.04M,920.64M,105.14M,203.97M,2.368B,0.00,84.19M,578.63M,1.571B,,62.32M,2.296B,-1.391B,904.82M,1.000B,329.81M,1.330B,,563.34M,2.798B,5.166B,,874.16M,,874.16M,572.82M,1.447B,,,,945.00M,,945.00M,178.13M,2.570B,294.48M,,294.48M,,,,,635.66M,930.14M,3.500B,,443.28M,4.100B,939.50M,3.417B,216.75M,,-399.63M,1.666B,,,
2008-03,,20.12M,,20.12M,931.45M,931.45M,126.28M,827.19M,953.46M,104.70M,184.90M,2.195B,0.00,83.54M,568.62M,1.549B,,74.18M,2.275B,-1.367B,907.78M,1.002B,352.41M,1.354B,,553.94M,2.816B,5.011B,,781.37M,,781.37M,487.36M,1.269B,,,,1.055B,,1.055B,140.56M,2.464B,293.50M,,293.50M,,,,,633.78M,927.28M,3.391B,,483.10M,3.969B,913.24M,3.300B,257.05M,,-446.47M,1.620B,,,
2007-12,,27.32M,,27.32M,870.68M,870.68M,131.38M,756.09M,887.46M,104.60M,179.52M,2.070B,0.00,83.01M,561.79M,1.517B,,65.32M,2.227B,-1.327B,899.37M,996.61M,351.14M,1.348B,,138.08M,2.786B,4.855B,,740.80M,70.67M,811.47M,433.62M,1.245B,,,,671.99M,,671.99M,224.30M,2.141B,293.45M,,293.45M,,,262.72M,,372.05M,928.23M,3.070B,,550.31M,3.935B,897.66M,3.074B,324.73M,,-198.60M,1.786B,,,Restated
2007-09,,21.23M,,21.23M,1.097B,1.097B,125.00M,761.34M,886.34M,123.45M,191.94M,2.320B,,,,,,,2.185B,-1.304B,880.74M,1.002B,350.57M,1.352B,,554.56M,2.788B,5.108B,,837.93M,,837.93M,580.79M,1.419B,,,,666.72M,,666.72M,208.59M,2.294B,293.97M,,293.97M,,,,,675.09M,969.06M,3.263B,,577.84M,3.874B,865.59M,2.891B,352.46M,,-581.14M,1.845B,,,
2007-06,,57.54M,,57.54M,1.093B,1.093B,114.52M,783.53M,898.05M,122.65M,168.69M,2.340B,,,,,,,2.154B,-1.276B,878.24M,979.42M,322.95M,1.302B,,532.00M,2.713B,5.053B,,885.19M,,885.19M,550.54M,1.436B,,,,465.19M,,465.19M,198.02M,2.099B,292.06M,,292.06M,,,,,646.66M,938.72M,3.038B,,602.04M,3.714B,843.73M,2.521B,377.01M,,-623.54M,2.015B,,,
2007-03,,299.84M,,299.84M,922.20M,922.20M,115.87M,764.31M,880.18M,122.05M,162.60M,2.387B,,,,,,,2.084B,-1.245B,839.42M,916.31M,282.04M,1.198B,,519.36M,2.557B,4.944B,,784.71M,,784.71M,438.72M,1.223B,,,,742.52M,,742.52M,141.04M,2.107B,291.63M,,291.63M,,,,,631.24M,922.87M,3.030B,,625.62M,3.553B,826.54M,2.434B,400.83M,,-656.46M,1.914B,,,
2006-12,,469.17M,21.20M,490.37M,864.97M,864.97M,117.98M,707.20M,825.18M,120.10M,149.66M,2.450B,0.00,76.52M,513.49M,1.372B,,87.58M,2.050B,-1.221B,828.78M,916.46M,285.92M,1.202B,,513.64M,2.545B,4.995B,,779.37M,,779.37M,475.88M,1.255B,,,,582.63M,,582.63M,236.93M,2.075B,291.88M,,291.88M,,,,,636.04M,927.91M,3.003B,,656.20M,3.486B,748.52M,2.202B,433.22M,,-695.68M,1.992B,,,
2006-09,,400.36M,,400.36M,1.015B,1.015B,112.98M,742.42M,855.40M,110.20M,163.96M,2.545B,,,,,,,2.006B,-1.209B,796.80M,887.18M,280.35M,1.168B,,576.42M,2.541B,5.086B,,855.27M,,855.27M,570.97M,1.426B,,,,484.38M,,484.38M,201.49M,2.112B,298.76M,,298.76M,,,,,612.78M,911.54M,3.024B,,682.27M,3.420B,666.43M,2.041B,460.68M,,-666.19M,2.062B,,,
2006-06,,248.64M,,248.64M,1.041B,1.041B,102.99M,761.88M,864.87M,109.80M,153.09M,2.417B,,,,,,,1.963B,-1.184B,778.62M,886.57M,284.71M,1.171B,,568.27M,2.518B,4.935B,,849.93M,,849.93M,537.26M,1.387B,,,,488.08M,,488.08M,183.82M,2.059B,300.95M,,300.95M,,,,,605.29M,906.24M,2.965B,,220.82M,3.275B,633.86M,1.953B,,,-206.84M,1.970B,,,
2006-03,,494.25M,,494.25M,909.16M,909.16M,120.51M,781.72M,902.22M,107.76M,142.04M,2.555B,,,,,,,1.913B,-1.157B,755.78M,,1.173B,1.173B,,558.71M,2.487B,5.043B,,795.72M,,795.72M,457.69M,1.253B,,,,908.66M,,908.66M,137.42M,2.299B,302.58M,,302.58M,,,,,597.34M,899.92M,3.199B,,223.65M,3.124B,618.38M,1.911B,3.109M,,-211.75M,1.843B,,,
2005-12,,36.04M,,36.04M,809.28M,809.28M,121.63M,686.91M,808.54M,107.74M,132.78M,1.894B,0.00,73.75M,474.09M,1.277B,,55.72M,1.880B,-1.135B,745.15M,,1.178B,1.178B,,551.34M,2.475B,4.369B,,719.98M,,719.98M,475.46M,1.195B,,,,134.17M,,134.17M,224.76M,1.554B,487.00M,,487.00M,,,,,597.22M,1.084B,2.639B,,253.64M,3.045B,570.39M,1.890B,34.70M,,-248.24M,1.731B,,,
2005-09,,29.84M,,29.84M,956.11M,956.11M,110.31M,711.33M,821.64M,90.27M,150.56M,2.048B,,,,,,,1.849B,-1.112B,737.77M,,1.204B,1.204B,,585.31M,2.527B,4.575B,,722.25M,,722.25M,513.57M,1.236B,,,,293.12M,,293.12M,178.38M,1.707B,487.31M,,487.31M,,,,,627.74M,1.115B,2.822B,,283.04M,2.998B,528.39M,1.802B,64.39M,,-254.44M,1.753B,,,
2005-06,,12.52M,,12.52M,982.97M,982.97M,116.88M,747.36M,864.24M,89.41M,141.12M,2.090B,,,,,,,1.818B,-1.084B,733.69M,,1.213B,1.213B,,577.39M,2.524B,4.614B,,739.03M,,739.03M,455.31M,1.194B,,,,413.70M,,413.70M,167.19M,1.775B,487.60M,,487.60M,,,,4.645M,636.40M,1.124B,2.899B,,315.59M,2.874B,517.16M,1.698B,97.36M,,-298.51M,1.710B,,,
2005-03,,7.496M,,7.496M,838.88M,838.88M,122.91M,752.24M,875.15M,88.56M,152.73M,1.963B,,,,,,,1.781B,-1.059B,722.00M,,1.219B,1.219B,,576.82M,2.518B,4.481B,,719.25M,,719.25M,94.46M,813.71M,,,,508.62M,,508.62M,456.31M,1.779B,487.94M,,487.94M,,,,3.945M,616.51M,1.104B,2.883B,,349.32M,2.750B,493.31M,1.652B,131.90M,,-346.90M,1.594B,,,
2004-12,,45.93M,,45.93M,724.38M,724.38M,121.76M,651.10M,772.85M,88.98M,149.77M,1.782B,0.00,70.23M,462.96M,1.185B,,33.01M,1.752B,-1.031B,720.36M,,1.208B,1.208B,,563.52M,2.492B,4.274B,,650.98M,,650.98M,423.39M,1.074B,,,,250.03M,,250.03M,195.74M,1.520B,488.24M,,488.24M,,,,3.705M,614.82M,1.103B,2.623B,,388.22M,2.695B,474.59M,1.529B,171.82M,,-381.40M,1.647B,,,
2004-09,,97.22M,,97.22M,839.66M,839.66M,90.52M,646.91M,737.43M,86.73M,168.15M,1.929B,,,,,,,1.728B,-1.010B,718.64M,,1.222B,1.222B,,587.61M,2.528B,4.457B,,711.79M,,711.79M,531.27M,1.243B,,,,379.13M,,379.13M,179.57M,1.802B,498.42M,,498.42M,,,,3.112M,583.28M,1.082B,2.883B,,417.23M,2.637B,410.48M,1.465B,201.71M,,-428.71M,1.571B,,,
2004-06,,233.55M,,233.55M,775.29M,775.29M,96.68M,588.14M,684.82M,86.64M,148.04M,1.928B,,,,,,,1.639B,-984.01M,655.31M,,750.44M,750.44M,,576.64M,1.982B,3.911B,,705.64M,,705.64M,481.01M,1.187B,,,,11.29M,,11.29M,148.53M,1.346B,501.19M,,501.19M,,,,2.851M,556.88M,1.058B,2.405B,,214.73M,2.528B,392.70M,1.394B,,,-237.76M,1.503B,,,
2004-03,,103.57M,,103.57M,657.64M,657.64M,91.92M,593.63M,685.54M,86.70M,149.49M,1.683B,,,,,,,1.629B,-977.29M,652.12M,,747.82M,747.82M,,568.36M,1.968B,3.651B,,630.30M,,630.30M,381.00M,1.011B,,,,9.967M,,9.967M,113.30M,1.135B,503.51M,,503.51M,,,,,561.83M,1.065B,2.200B,,213.85M,2.426B,377.31M,1.336B,,,-230.10M,1.451B,,,
2003-12,,302.81M,,302.81M,544.07M,544.07M,85.58M,552.66M,638.24M,86.62M,143.41M,1.715B,0.00,58.51M,425.71M,1.091B,,36.35M,1.612B,-961.54M,650.25M,,750.73M,750.73M,,566.48M,1.967B,3.683B,,587.94M,,587.94M,,587.94M,,,,10.60M,,10.60M,555.64M,1.154B,502.99M,,502.99M,,,,,566.59M,1.070B,2.224B,,497.07M,2.399B,347.78M,1.271B,284.66M,,-513.92M,1.459B,,,
2003-09,,148.72M,,148.72M,657.17M,657.17M,91.83M,518.18M,610.00M,116.54M,135.15M,1.668B,,,,,,,1.635B,-962.17M,672.56M,,732.45M,732.45M,,566.48M,1.971B,3.639B,,552.34M,,552.34M,504.91M,1.057B,,,,11.60M,,11.60M,127.67M,1.197B,505.12M,,505.12M,,,,,505.46M,1.011B,2.207B,,211.20M,2.351B,286.84M,1.172B,,,-244.27M,1.432B,,,
2003-06,,20.02M,,20.02M,675.75M,675.75M,96.21M,556.20M,652.41M,116.53M,110.19M,1.575B,,,,,,,1.631B,-951.75M,679.47M,,736.17M,736.17M,,541.79M,1.957B,3.532B,,570.00M,,570.00M,456.08M,1.026B,,,,12.47M,,12.47M,121.28M,1.160B,505.52M,,505.52M,,,,,498.34M,1.004B,2.164B,,210.56M,2.253B,273.23M,1.128B,,,-239.78M,1.369B,,,
2003-03,,12.83M,,12.83M,553.82M,553.82M,78.70M,583.61M,662.31M,116.32M,112.39M,1.458B,,,,,,,1.602B,-930.79M,671.36M,,736.05M,736.05M,,542.76M,1.950B,3.408B,,530.15M,,530.15M,387.38M,917.53M,,,,112.73M,,112.73M,87.67M,1.118B,506.46M,,506.46M,,,,,503.74M,1.010B,2.128B,,210.33M,2.165B,267.90M,1.103B,,,-261.46M,1.280B,,,
2002-12,,164.01M,,164.01M,493.94M,493.94M,89.67M,534.98M,624.65M,116.23M,107.17M,1.506B,0.00,62.07M,436.21M,1.034B,,44.94M,1.578B,-912.90M,664.60M,,738.25M,738.25M,,523.47M,1.926B,3.432B,,522.34M,,522.34M,399.17M,921.51M,,,,15.00M,,15.00M,146.99M,1.083B,506.68M,,506.68M,,,,,500.24M,1.007B,2.090B,,209.84M,2.157B,265.64M,1.030B,,,-261.17M,1.342B,,,
2002-09,,49.86M,,49.86M,637.29M,637.29M,78.00M,517.80M,595.80M,107.75M,121.57M,1.512B,,,,,,,1.573B,-916.00M,656.79M,,750.61M,750.61M,,516.48M,1.924B,3.436B,,526.98M,,526.98M,,526.98M,,,,14.00M,,14.00M,609.44M,1.150B,508.02M,,508.02M,,,,,440.03M,948.05M,2.098B,,209.61M,2.123B,232.18M,988.09M,,,-238.97M,1.338B,,,
2002-06,,11.50M,,11.50M,687.26M,687.26M,83.11M,529.26M,612.37M,108.12M,131.68M,1.551B,,,,,,,1.555B,-904.40M,650.94M,555.80M,197.41M,753.21M,,515.64M,1.920B,3.471B,,530.77M,,530.77M,478.62M,1.009B,,,,65.48M,,65.48M,122.04M,1.197B,507.24M,,507.24M,,,,,449.57M,956.81M,2.154B,,314.94M,2.034B,231.05M,936.52M,105.35M,,-326.70M,1.317B,,,
2002-03,,19.33M,,19.33M,597.86M,597.86M,87.93M,564.80M,652.73M,109.27M,149.06M,1.528B,,,,,,,1.539B,-886.75M,652.27M,,750.91M,750.91M,,502.46M,1.906B,3.434B,,469.80M,,469.80M,405.35M,875.15M,,,,232.12M,,232.12M,91.16M,1.198B,503.53M,,503.53M,,,,,453.80M,957.33M,2.156B,,208.54M,1.950B,211.24M,884.97M,,,-206.37M,1.278B,,,
2001-12,,118.81M,,118.81M,523.28M,523.28M,101.85M,530.92M,632.76M,104.67M,127.42M,1.507B,0.00,64.45M,441.42M,1.025B,,34.07M,1.565B,-891.95M,672.69M,,919.89M,919.89M,,528.41M,2.121B,3.628B,,454.41M,,454.41M,433.45M,887.86M,,,,111.85M,,111.85M,141.64M,1.141B,503.52M,,503.52M,,,,,495.29M,998.81M,2.140B,,208.03M,2.121B,200.64M,837.28M,,,-204.55M,1.488B,,,
2001-09,,2.514M,,2.514M,673.60M,673.60M,83.62M,517.22M,600.84M,104.86M,144.24M,1.526B,,,,,,,1.553B,-863.65M,689.79M,,921.83M,921.83M,,554.45M,2.166B,3.692B,,443.23M,,443.23M,493.23M,936.46M,,,,205.12M,,205.12M,118.22M,1.260B,512.02M,,512.02M,,,,,463.33M,975.35M,2.235B,,207.42M,2.098B,164.24M,805.70M,,,-206.89M,1.457B,,,
2001-06,,13.38M,,13.38M,711.60M,711.60M,94.89M,552.28M,647.17M,104.96M,155.05M,1.632B,,,,,,,1.543B,-841.88M,701.12M,,934.79M,934.79M,,534.42M,2.170B,3.802B,,464.90M,,464.90M,434.10M,899.00M,,,,368.35M,,368.35M,118.86M,1.386B,507.39M,,507.39M,,,,,463.26M,970.65M,2.357B,,207.37M,2.030B,163.01M,764.65M,,,-190.35M,1.446B,,,
2001-03,,1.151M,,1.151M,637.30M,637.30M,99.53M,610.25M,709.78M,104.73M,174.05M,1.627B,,,,,,,1.536B,-825.13M,711.23M,,953.25M,953.25M,,529.08M,2.194B,3.821B,,462.13M,,462.13M,353.87M,816.00M,,,,475.84M,,475.84M,89.15M,1.381B,521.82M,,521.82M,,,,,467.68M,989.49M,2.370B,,207.38M,1.962B,163.67M,716.65M,,,-166.78M,1.450B,,,
2000-12,,2.896M,,2.896M,594.16M,594.16M,,,703.73M,,250.75M,1.552B,,,,,,,1.530B,-808.03M,722.38M,,964.63M,964.63M,,512.12M,2.199B,3.751B,,448.80M,,448.80M,,448.80M,,,,126.23M,,126.23M,540.21M,1.115B,623.59M,,623.59M,,,,,539.98M,1.164B,2.279B,,206.85M,1.949B,158.65M,678.78M,,,-163.61M,1.472B,,,
2000-09,,3.004M,,3.004M,,741.75M,,,671.17M,,288.63M,1.705B,,,,,,,1.529B,-798.00M,731.50M,,1.328B,1.328B,,502.65M,2.562B,4.267B,,459.94M,,459.94M,,459.94M,,,,241.56M,,241.56M,619.10M,1.321B,624.38M,,624.38M,,,,,531.52M,1.156B,2.476B,,206.64M,2.218B,156.02M,644.66M,,-145.75M,-145.75M,1.790B,,,
2000-06,,1.726M,,1.726M,,767.78M,,,719.62M,,342.02M,1.831B,,,,,,,1.516B,-779.70M,736.44M,,1.329B,1.329B,,464.83M,2.530B,4.361B,,503.13M,,503.13M,,503.13M,,,,292.76M,,292.76M,631.74M,1.428B,621.09M,,621.09M,,,,,534.19M,1.155B,2.583B,,206.49M,2.133B,153.93M,601.42M,,,-113.74M,1.778B,,,
2000-03,,3.633M,,3.633M,,708.21M,,,731.95M,,288.75M,1.733B,,,,,,,1.486B,-760.66M,725.49M,,1.311B,1.311B,,440.98M,2.477B,4.210B,,497.10M,,497.10M,,497.10M,,,,276.53M,,276.53M,580.78M,1.354B,624.23M,,624.23M,,,,,537.86M,1.162B,2.517B,,206.39M,2.039B,152.33M,572.13M,,,-132.95M,1.693B,,,
1999-12,,18.62M,,18.62M,,606.05M,,,703.39M,,250.04M,1.578B,,,,,,,1.448B,-736.25M,711.68M,,1.314B,1.314B,,428.56M,2.455B,4.033B,,458.92M,,458.92M,,458.92M,,,,122.27M,,122.27M,559.70M,1.141B,624.36M,,624.36M,,,,,569.03M,1.193B,2.334B,,206.31M,2.021B,150.89M,533.89M,,,-145.62M,1.699B,,,
1999-09,,5.00M,,5.00M,,735.60M,,,649.10M,,276.20M,1.666B,,,,,,,1.488B,-777.60M,710.00M,,1.329B,1.329B,,401.80M,2.441B,4.107B,,409.60M,,409.60M,,409.60M,,,,260.90M,,260.90M,638.70M,1.309B,624.50M,,624.50M,,,,,489.00M,1.114B,2.423B,,206.20M,1.985B,150.50M,516.40M,,,-141.20M,1.684B,,,
1999-06,,7.40M,,7.40M,,744.60M,,,676.20M,,272.30M,1.700B,,,,,,,1.476B,-760.10M,715.50M,,1.349B,1.349B,,396.80M,2.461B,4.161B,,475.90M,,475.90M,,475.90M,,,,236.20M,,236.20M,637.90M,1.35B,626.80M,,626.80M,,,,,498.50M,1.125B,2.475B,,,1.894B,,,,,,1.686B,,,
1999-03,,3.50M,,3.50M,,652.40M,,,684.40M,,274.80M,1.615B,,,,,,,1.444B,-737.80M,706.70M,,1.347B,1.347B,,388.50M,2.442B,4.057B,,415.40M,,415.40M,,415.40M,,,,321.40M,,321.40M,600.40M,1.337B,629.10M,,629.10M,,,,,496.90M,1.126B,2.463B,,,1.806B,,,,,,1.594B,,,
1998-12,,19.10M,,19.10M,,604.50M,,,682.50M,,241.20M,1.547B,,,,,,,1.440B,-721.40M,718.90M,,1.415B,1.415B,,384.50M,2.518B,4.066B,,408.10M,,408.10M,,408.10M,,,,118.20M,,118.20M,585.70M,1.112B,730.30M,,730.30M,,,,,507.30M,1.238B,2.350B,,,1.798B,,,,,,1.716B,,,
1998-09,,3.40M,,3.40M,,705.40M,,,688.60M,,265.70M,1.663B,,,,,,,1.407B,-688.70M,718.70M,,1.438B,1.438B,,371.60M,2.528B,4.192B,,398.40M,,398.40M,,398.40M,,,,211.00M,,211.00M,613.70M,1.223B,783.10M,,783.10M,,,,,471.60M,1.255B,2.478B,,,1.770B,,,,,,1.714B,,,
1998-06,,20.80M,,20.80M,,725.90M,,,723.40M,,269.90M,1.74B,,,,,,,1.420B,-705.00M,714.80M,,1.444B,1.444B,,362.00M,2.520B,4.260B,,452.40M,,452.40M,,452.40M,,,,331.20M,,331.20M,557.50M,1.341B,783.10M,,783.10M,,,,,478.70M,1.262B,2.603B,,,1.688B,,,,,,1.658B,,,
1998-03,,2.70M,,2.70M,,638.70M,,,768.20M,,269.70M,1.679B,,,,,,,1.390B,-686.90M,702.80M,,1.458B,1.458B,,354.10M,2.514B,4.194B,,454.80M,,454.80M,,454.80M,,,,334.80M,,334.80M,521.40M,1.311B,791.70M,,791.70M,,,,,481.90M,1.274B,2.585B,,,1.609B,,,,,,1.609B,,,
1997-12,,3.50M,,3.50M,,546.30M,,,721.70M,,260.80M,1.532B,,,,,,,1.358B,-665.60M,692.30M,,1.471B,1.471B,,339.90M,2.504B,4.036B,,424.20M,,424.20M,,424.20M,,,,160.80M,,160.80M,530.70M,1.116B,843.90M,,843.90M,,,,,484.00M,1.328B,2.444B,,,1.603B,,,,,,1.592B,,,
1997-09,,18.20M,,18.20M,,672.10M,,,714.90M,,248.00M,1.653B,,,,,,,1.319B,-638.30M,680.40M,,1.203B,1.203B,,649.80M,2.533B,4.186B,,430.50M,,430.50M,,430.50M,,,,340.50M,,340.50M,645.80M,1.417B,799.60M,,799.60M,,,,,408.20M,1.208B,2.625B,,,1.574B,,,,,,1.562B,,,
1997-06,,7.40M,,7.40M,,688.70M,,,751.70M,,240.30M,1.688B,,,,,,,1.285B,-628.10M,657.00M,,1.224B,1.224B,,650.60M,2.531B,4.219B,,462.80M,,462.80M,,462.80M,,,,438.40M,,438.40M,624.90M,1.526B,796.20M,,796.20M,,,,,413.90M,1.210B,2.736B,,,1.492B,,,,,,1.483B,,,
1997-03,,58.20M,,58.20M,,596.80M,,,755.20M,,240.10M,1.650B,,,,,,,1.246B,-604.00M,641.70M,,1.207B,1.207B,,662.60M,2.511B,4.161B,,399.50M,,399.50M,,399.50M,,,,551.70M,,551.70M,571.20M,1.522B,795.70M,,795.70M,,,,,441.30M,1.237B,2.759B,,,1.417B,,,,,,1.402B,,,
1996-12,,1.90M,,1.90M,,452.40M,,,642.70M,,319.20M,1.416B,,,,,,,1.134B,-584.50M,549.40M,,774.70M,774.70M,,254.30M,1.578B,2.995B,,385.90M,,385.90M,,385.90M,,,,170.20M,,170.20M,494.90M,1.051B,142.70M,,142.70M,,,,,399.70M,542.40M,1.593B,,,1.411B,,,,,,1.401B,,,
1996-09,,6.20M,,6.20M,,584.00M,,,580.50M,,223.30M,1.394B,,,,,,,1.155B,-601.60M,553.20M,,,,,994.90M,1.548B,2.942B,,367.50M,,367.50M,,367.50M,,,,221.30M,,221.30M,537.80M,1.127B,137.60M,,137.60M,,,,,310.20M,447.80M,1.574B,,,1.387B,,,,,,1.368B,,,
1996-06,,12.70M,,12.70M,,602.20M,,,583.30M,,258.30M,1.456B,,,,,,,1.113B,-573.50M,539.20M,,,,,954.10M,1.493B,2.950B,,390.80M,,390.80M,,390.80M,,,,323.30M,,323.30M,495.60M,1.210B,134.60M,,134.60M,,,,,311.70M,446.30M,1.656B,,,1.314B,,,,,,1.294B,,,
1996-03,,12.80M,,12.80M,,479.60M,,,597.00M,,244.20M,1.334B,,,,,,,1.071B,-548.50M,522.70M,,,,,876.00M,1.399B,2.732B,,326.10M,,326.10M,,326.10M,,,,315.10M,,315.10M,435.20M,1.076B,127.40M,,127.40M,,,,,308.00M,435.40M,1.512B,,,1.247B,,,,,,1.220B,,,
1995-12,,249.50M,,249.50M,,334.30M,,,463.10M,,192.00M,1.239B,,,,,,,987.50M,-531.10M,456.40M,,212.20M,212.20M,,233.60M,902.20M,2.141B,,276.90M,,276.90M,,276.90M,,,,,,,342.00M,618.90M,24.00M,,24.00M,,,,,286.10M,310.10M,929.00M,,,1.242B,,,,,,1.212B,,,
1995-09,,211.30M,,211.30M,,417.20M,,,465.50M,,188.90M,1.283B,,,,,,,964.30M,-521.70M,442.60M,,,,,384.00M,826.60M,2.110B,,262.60M,,262.60M,,262.60M,,,,,,,355.50M,618.10M,22.70M,,22.70M,,,,,290.00M,312.70M,930.80M,,,1.222B,,,,,,1.179B,,,
1995-06,,148.40M,,148.40M,,437.10M,,,517.20M,,177.00M,1.280B,,,,,,,935.10M,-508.50M,426.60M,,,,,378.00M,804.60M,2.084B,,300.10M,,300.10M,,300.10M,,,,,,,369.80M,669.90M,20.70M,,20.70M,,,,,270.70M,291.40M,961.30M,,,1.161B,,,,,,1.123B,,,
1995-03,,138.00M,,138.00M,,378.30M,,,519.10M,,173.30M,1.209B,,,,,,,913.30M,-498.70M,414.60M,,,,,379.60M,794.20M,2.003B,,301.10M,,301.10M,,301.10M,,,,,,,350.30M,651.40M,20.80M,,20.80M,,,,,269.10M,289.90M,941.30M,,,1.101B,,,,,,1.062B,,,
1994-12,,251.40M,,251.40M,,311.00M,,,459.20M,,167.00M,1.189B,,,,,,,892.60M,-483.40M,409.20M,,138.20M,138.20M,,226.00M,773.40M,1.962B,,258.90M,,258.90M,,258.90M,,,,,,,338.10M,597.00M,20.50M,,20.50M,,,,,291.20M,311.70M,908.70M,,,1.096B,,,,,,1.053B,,,
1994-09,,147.60M,,147.60M,,388.60M,,,443.20M,,170.10M,1.150B,,,,,,,881.00M,-476.30M,404.70M,,,,,369.70M,774.40M,1.924B,,241.10M,,241.10M,,241.10M,,,,,,,332.00M,573.10M,20.50M,,20.50M,,,,,273.80M,294.30M,867.40M,,,1.077B,,,,,,1.056B,,,
1994-06,,103.60M,,103.60M,,417.60M,,,480.30M,,171.10M,1.173B,,,,,,,871.10M,-468.10M,403.00M,,,,,373.50M,776.50M,1.949B,,307.10M,,307.10M,,307.10M,,,,,,,348.20M,655.30M,23.50M,,23.50M,,,,,275.50M,299.00M,954.30M,,,1.018B,,,,,,994.80M,,,
1994-03,,115.90M,,115.90M,,346.50M,,,475.20M,,185.30M,1.123B,,,,,,,855.50M,-457.60M,397.90M,,,,,375.50M,773.40M,1.896B,,248.90M,,248.90M,,248.90M,,,,,,,320.30M,569.20M,36.70M,,36.70M,,,,,274.80M,311.50M,880.70M,,,961.10M,,,,,,1.016B,,,
1993-12,,230.10M,,230.10M,,297.50M,,,428.90M,,194.60M,1.151B,,,,,,,838.80M,-444.70M,394.10M,,154.90M,154.90M,,214.60M,763.60M,1.915B,,255.00M,,255.00M,,255.00M,,,,1.70M,,1.70M,310.80M,567.50M,37.90M,,37.90M,17.60M,17.60M,,,258.50M,314.00M,881.50M,,,987.90M,,,,,,1.033B,,,
1993-09,,147.10M,,147.10M,,370.80M,,,425.70M,,172.40M,1.116B,,,,,,,825.30M,-433.80M,391.50M,,,,,361.30M,752.80M,1.869B,,243.30M,,243.30M,,243.30M,,,,,,,302.40M,545.70M,38.20M,,38.20M,,,,,266.40M,304.60M,850.30M,,,934.40M,,,,,,1.018B,,,
1993-06,,113.10M,,113.10M,,390.60M,,,437.70M,,183.80M,1.125B,,,,,,,813.60M,-421.50M,392.10M,,,,,358.70M,750.80M,1.876B,,283.90M,,283.90M,,283.90M,,,,,,,302.60M,586.50M,58.40M,,58.40M,,,,,266.40M,324.80M,911.30M,,,881.10M,,,,,,964.70M,,,
1993-03,,95.20M,,95.20M,,331.60M,,,455.70M,,135.90M,1.018B,,,,,,,798.50M,-411.30M,387.20M,,,,,358.70M,745.90M,1.764B,,245.80M,,245.80M,,245.80M,,,,,,,286.00M,531.80M,58.80M,,58.80M,,,,,259.40M,318.20M,850.00M,,,831.60M,,,,,,914.30M,,,
1992-12,,164.70M,,164.70M,,277.30M,,,407.80M,,138.40M,988.20M,,,,,,,786.90M,-399.00M,387.90M,,163.80M,163.80M,,190.00M,741.70M,1.730B,,231.50M,,231.50M,,231.50M,,,,13.30M,,13.30M,261.00M,505.80M,60.10M,,60.10M,15.80M,15.80M,,,242.40M,318.30M,824.10M,,,828.90M,,,,,,905.80M,,,
1992-09,,72.20M,,72.20M,,349.40M,,,401.90M,,127.60M,951.10M,,,,,,,776.60M,-386.40M,390.20M,,,,,358.80M,749.00M,1.700B,,216.40M,,216.40M,,216.40M,,,,,,,261.80M,478.20M,68.80M,,68.80M,,,,,180.90M,249.70M,727.90M,,,902.00M,,,,,,972.20M,,,
1992-06,,15.70M,,15.70M,,368.50M,,,448.70M,,121.50M,954.40M,,,,,,,765.50M,-376.80M,388.70M,,,,,354.20M,742.90M,1.697B,,257.90M,,257.90M,,257.90M,,,,,,,262.20M,520.10M,69.30M,,69.30M,,,,,185.80M,255.10M,775.20M,,,854.40M,,,,,,922.10M,,,
