,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-06,1.472B,1.472B,805.93M,665.75M,484.08M,,0.793M,,,,,484.08M,181.67M,,,,0.793M,,173.43M,63.30M,110.13M,,,,110.13M,109.63M,210.39M,28.72M,181.67M,,0.76,0.00,,0.7565,0.76,,0.75,0.00,,0.7466,0.75,,144.91M,146.84M,0.155,,,
2003-03,1.148B,1.148B,646.70M,501.76M,440.45M,,-4.206M,,,,,440.45M,61.31M,,,,-4.206M,,48.51M,17.70M,30.80M,,,,30.80M,33.47M,89.53M,28.22M,61.31M,,0.21,0.00,,0.2282,0.21,,0.21,0.00,,0.2282,0.21,,146.68M,146.68M,0.155,,,
2002-12,1.156B,1.156B,606.77M,549.38M,440.72M,,-12.10M,,,,,440.72M,108.66M,,,,-12.10M,,88.06M,31.00M,57.06M,,0.00,,57.06M,64.90M,138.70M,30.04M,108.66M,,0.39,-0.01,0.00,0.4422,0.38,,0.38,-0.01,0.0005,0.4322,0.38,,150.26M,150.26M,0.15,,,
2002-09,1.426B,1.426B,780.97M,645.29M,456.10M,,-1.772M,,,,,456.10M,189.19M,,,,-1.772M,,179.57M,68.24M,111.33M,,,,111.33M,112.43M,218.44M,29.25M,189.19M,,0.74,0.00,,0.7473,0.74,,0.73,0.00,,0.7372,0.73,,150.45M,152.51M,0.15,,,
2002-06,1.453B,1.453B,801.39M,651.81M,465.52M,,-3.688M,,,,,465.52M,186.29M,,,,-3.688M,,173.43M,65.90M,107.53M,,,,107.53M,109.81M,214.63M,28.33M,186.29M,,0.71,0.00,,0.7251,0.71,,0.70,0.00,,0.7149,0.70,,151.45M,153.61M,0.15,,,
2002-03,1.149B,1.149B,657.07M,492.10M,422.19M,,-3.91M,,,,,422.19M,69.92M,,,,-3.91M,,56.10M,21.32M,34.78M,,-183.14M,,-148.35M,37.21M,97.94M,28.02M,69.92M,,0.23,-1.21,-0.0000,0.2460,-0.98,,0.23,-1.21,-1.210,0.2460,-0.98,,151.38M,151.38M,0.15,,,
2001-12,1.133B,1.133B,612.32M,521.03M,420.65M,,-10.85M,,,,,420.65M,100.38M,,,,-10.85M,,78.85M,33.42M,45.43M,,,,45.43M,51.94M,138.28M,37.89M,100.38M,,0.30,0.00,,0.3426,0.30,,0.30,0.00,,0.3425,0.30,,152.95M,153.25M,0.145,,,
2001-09,1.367B,1.367B,765.73M,601.04M,443.17M,,-2.831M,,,,,443.17M,157.87M,,,,-2.831M,,143.37M,53.05M,90.32M,,,,90.32M,92.10M,194.56M,36.69M,157.87M,,0.58,0.00,,0.5915,0.58,,0.58,0.00,,0.5915,0.58,,155.73M,155.73M,0.145,,,
2001-06,1.408B,1.408B,798.98M,608.54M,444.38M,,-6.153M,,,,,444.38M,164.16M,,,,-6.153M,,143.62M,53.14M,90.48M,,,,90.48M,94.36M,201.35M,37.19M,164.16M,,0.58,0.00,,0.6048,0.58,,0.58,0.00,,0.6048,0.58,,156.00M,156.00M,0.145,,,
2001-03,1.158B,1.158B,669.35M,489.02M,421.66M,,5.046M,,,,,421.66M,67.36M,,,,5.046M,,58.61M,21.68M,36.92M,,,,36.92M,33.74M,103.69M,36.33M,67.36M,,0.23,0.00,,0.2102,0.23,,0.23,0.00,,0.2102,0.23,,160.54M,160.54M,0.145,,,
2000-12,1.149B,1.149B,584.06M,564.48M,431.65M,,-361.05M,,,,,472.32M,92.15M,,,,-361.05M,,-281.57M,-34.11M,-247.46M,,,,-247.46M,69.85M,132.83M,40.68M,92.15M,,-1.52,0.00,,0.5525,-1.52,,-1.52,0.00,,0.5525,-1.52,,153.10M,153.10M,0.135,,,
2000-09,1.412B,1.412B,745.82M,666.08M,437.95M,,-1.232M,,,,,477.94M,188.14M,,,,-1.232M,,172.13M,65.41M,106.72M,,,,106.72M,107.48M,228.12M,39.98M,188.14M,,0.66,0.00,,0.6647,0.66,,0.66,0.00,,0.6647,0.66,,161.70M,161.70M,0.135,,,
2000-06,1.429B,1.429B,747.20M,682.06M,434.85M,,-4.035M,,,,,475.44M,206.63M,,,,-4.035M,,186.84M,71.00M,115.84M,,,,115.84M,118.34M,247.22M,40.59M,206.63M,,0.71,0.00,,0.7253,0.71,,0.71,0.00,,0.7253,0.71,,163.16M,163.16M,0.135,,,
2000-03,1.222B,1.222B,666.89M,555.02M,435.92M,,-0.48M,,,,,474.70M,80.32M,,,,-0.48M,,66.00M,25.08M,40.92M,,,,40.92M,41.22M,119.10M,38.78M,80.32M,,0.25,0.00,,0.2518,0.25,,0.25,0.00,,0.2518,0.25,,163.69M,163.69M,0.135,,,
1999-12,1.146B,1.146B,557.30M,589.10M,420.20M,,-27.20M,,,,,458.10M,131.00M,,,,-27.20M,,90.40M,34.40M,56.00M,,,,56.00M,72.85M,168.90M,37.90M,131.00M,,0.34,0.00,,0.4417,0.34,,0.34,0.00,,0.4415,0.34,,165.68M,165.95M,0.12,,,
1999-09,1.346B,1.346B,693.60M,651.90M,417.50M,,0.70M,,,,,459.50M,192.40M,,,,0.70M,,179.80M,68.30M,111.50M,,,,111.50M,111.07M,234.40M,42.00M,192.40M,,0.67,0.00,,0.6674,0.67,,0.66,0.00,,0.6574,0.66,,166.42M,168.94M,0.12,,,
1999-06,1.384B,1.384B,735.20M,648.87M,424.10M,,3.20M,,,,,462.60M,186.27M,,,,3.20M,,173.50M,65.90M,107.60M,,,,107.60M,105.62M,224.86M,38.58M,186.27M,,0.64,0.00,,0.6282,0.64,,0.63,0.00,,0.6184,0.63,,168.12M,170.79M,0.12,,,
1999-03,1.128B,1.128B,613.47M,514.40M,411.61M,,-4.949M,,,,,448.93M,65.47M,,,,-4.949M,,46.45M,17.65M,28.80M,,,,28.80M,31.87M,102.79M,37.32M,65.47M,,0.17,0.00,,0.1881,0.17,,0.17,0.00,,0.1880,0.17,,169.65M,170.75M,0.12,,,
1998-12,1.111B,1.111B,584.50M,526.50M,380.70M,,-14.70M,,,,,419.70M,106.80M,,,,-14.70M,,76.60M,29.10M,47.50M,,,,47.50M,56.62M,145.80M,39.00M,106.80M,,0.27,0.00,,0.3222,0.27,,0.27,0.00,,0.3222,0.27,,174.70M,174.70M,0.1125,,,
1998-09,1.341B,1.341B,716.60M,624.80M,404.80M,,-2.30M,,,,,441.70M,183.10M,,,,-2.30M,,162.50M,61.80M,100.70M,,,,100.70M,102.13M,220.00M,36.90M,183.10M,,0.59,0.00,,0.5984,0.59,,0.58,0.00,,0.5882,0.58,,170.68M,173.62M,0.1125,,,
1998-06,1.378B,1.378B,741.90M,635.90M,418.60M,,-1.10M,,,,,455.00M,180.90M,,,,-1.10M,,160.50M,61.00M,99.50M,,,,99.50M,100.18M,217.30M,36.40M,180.90M,,0.58,0.00,,0.5840,0.58,,0.57,0.00,,0.5739,0.57,,171.55M,174.56M,0.1125,,,
1998-03,1.104B,1.104B,613.60M,490.50M,394.20M,,-1.40M,,,,,429.80M,60.70M,,,,-1.40M,,40.60M,15.40M,25.20M,,,,25.20M,26.07M,96.30M,35.60M,60.70M,,0.15,0.00,,0.1552,0.15,,0.14,0.00,,0.1448,0.14,,168.00M,180.00M,0.1125,,,
1997-12,1.091B,1.091B,583.30M,508.10M,368.50M,,-11.20M,,,,,404.50M,103.60M,,,,-11.20M,,74.00M,28.90M,45.10M,,,,45.10M,51.93M,139.60M,36.00M,103.60M,,0.26,0.00,,0.2994,0.26,,0.26,0.00,,0.2993,0.26,,173.13M,173.56M,0.10,,,
1997-09,1.346B,1.346B,726.30M,620.20M,398.10M,,-2.40M,,,,,434.90M,185.30M,,,,-2.40M,,162.60M,63.40M,99.20M,,,,99.20M,100.66M,222.10M,36.80M,185.30M,,0.58,0.00,,0.5886,0.58,,0.58,0.00,,0.5886,0.58,,171.03M,171.03M,0.10,,,
1997-06,1.373B,1.373B,745.70M,627.70M,419.00M,,-4.40M,,,,,449.10M,178.60M,,,,-4.40M,,152.80M,59.60M,93.20M,,,,93.20M,95.88M,208.70M,30.10M,178.60M,,0.54,0.00,,0.5556,0.54,,0.54,0.00,,0.5556,0.54,,172.59M,172.59M,0.10,,,
1997-03,1.070B,1.070B,589.90M,479.90M,387.90M,,3.00M,,,,,424.20M,55.70M,,,,3.00M,,37.90M,14.80M,23.10M,,,,23.10M,21.27M,92.00M,36.30M,55.70M,,0.13,0.00,,0.1197,0.13,,0.13,0.00,,0.1197,0.13,,177.69M,177.69M,0.10,,,
1996-12,958.90M,958.90M,503.10M,455.80M,340.70M,,-17.90M,,,,,368.50M,87.30M,,,,-17.90M,,63.90M,24.70M,39.20M,,,,39.20M,50.18M,115.10M,27.80M,87.30M,,0.23,0.00,,0.2943,0.23,,0.22,0.00,,0.2825,0.22,,170.67M,175.81M,0.0875,,,
1996-09,1.171B,1.171B,653.00M,518.00M,338.20M,,0.40M,,,,,364.00M,154.00M,,,,0.40M,,147.90M,59.30M,88.60M,,,,88.60M,88.36M,179.80M,25.80M,154.00M,,0.52,0.00,,0.5186,0.52,,0.52,0.00,,0.5186,0.52,,170.38M,170.38M,0.0875,,,
1996-06,1.145B,1.145B,649.60M,495.70M,330.50M,,-0.40M,,,,,356.20M,139.50M,,,,-0.40M,,132.10M,50.20M,81.90M,,,,81.90M,82.15M,165.20M,25.70M,139.50M,,0.48,0.00,,0.4815,0.48,,0.48,0.00,,0.4815,0.48,,170.62M,170.62M,0.0875,,,
1996-03,857.80M,857.80M,496.00M,361.80M,299.70M,,-0.80M,,,,,324.00M,37.80M,,,,-0.80M,,31.60M,12.00M,19.60M,,,,19.60M,20.10M,62.10M,24.30M,37.80M,,0.11,0.00,,0.1128,0.11,,0.11,0.00,,0.1128,0.11,,178.18M,178.18M,0.0875,,,
1995-12,740.90M,740.90M,393.50M,347.40M,265.80M,,-5.60M,,,,,287.50M,59.90M,,,,-5.60M,,53.60M,19.80M,33.80M,,,,33.80M,37.33M,81.60M,21.70M,59.90M,,0.19,0.00,,0.2102,0.19,,0.19,0.00,,0.2102,0.19,,175.24M,175.24M,0.08,,,
1995-09,911.30M,911.30M,502.20M,409.10M,274.00M,,3.00M,,,,,292.70M,116.40M,,,,3.00M,,118.90M,44.00M,74.90M,,,,74.90M,73.01M,135.70M,19.30M,116.40M,,0.44,0.00,,0.4289,0.44,,0.44,0.00,,0.4289,0.44,,170.23M,170.23M,0.08,,,
1995-06,904.70M,904.70M,498.30M,406.40M,271.00M,,-0.10M,,,,,289.50M,116.90M,,,,-0.10M,,116.20M,43.00M,73.20M,,,,73.20M,73.26M,135.40M,18.40M,116.90M,,0.43,0.00,,0.4304,0.43,,0.43,0.00,,0.4304,0.43,,170.23M,170.23M,0.08,,,
1995-03,716.80M,716.80M,405.70M,311.10M,264.60M,,2.50M,,,,,283.10M,28.00M,,,,2.50M,,29.70M,11.00M,18.70M,,,,18.70M,17.13M,46.50M,18.50M,28.00M,,0.11,0.00,,0.1007,0.11,,0.11,0.00,,0.1007,0.11,,170.00M,170.00M,0.08,,,
1994-12,703.70M,703.70M,377.50M,326.20M,253.40M,,-6.10M,,,,,270.40M,55.80M,,,,-6.10M,,49.10M,18.40M,30.70M,,,,30.70M,34.51M,72.80M,17.00M,55.80M,,0.18,0.00,,0.2022,0.18,,0.18,0.00,,0.2022,0.18,,171.44M,171.44M,0.07,,,
1994-09,876.70M,876.70M,484.20M,392.50M,261.60M,,-1.10M,,,,,276.60M,115.90M,,,,-1.10M,,113.90M,42.70M,71.20M,,,,71.20M,71.89M,130.90M,15.00M,115.90M,,0.42,0.00,,0.4241,0.42,,0.42,0.00,,0.4241,0.42,,169.52M,169.52M,0.07,,,
1994-06,880.50M,880.50M,487.40M,393.10M,265.70M,,-2.20M,,,,,280.10M,113.00M,,,,-2.20M,,110.30M,41.10M,69.20M,,,,69.20M,70.58M,127.40M,14.40M,113.00M,,0.40,0.00,,0.4080,0.40,,0.40,0.00,,0.4080,0.40,,173.00M,173.00M,0.07,,,
1994-03,639.20M,639.20M,363.20M,276.00M,237.90M,,2.20M,,,,,252.00M,24.00M,,,,2.20M,,25.20M,9.70M,15.50M,,,,15.50M,14.15M,38.10M,14.10M,24.00M,,0.09,0.00,,0.0821,0.09,,0.09,0.00,,0.0821,0.09,,172.22M,172.22M,0.07,,,
1993-12,668.00M,668.00M,356.80M,311.20M,255.40M,,1.90M,,,,,269.60M,41.60M,,,,1.90M,,42.20M,15.80M,26.40M,,,,26.40M,25.21M,55.80M,14.20M,41.60M,,0.15,0.00,,0.1433,0.15,,0.15,0.00,,0.1433,0.15,,176.69M,176.69M,0.0625,,,
1993-09,838.80M,838.80M,463.20M,375.60M,253.20M,,-2.60M,,,,,267.30M,108.30M,,,,-2.60M,,104.00M,39.60M,64.40M,,,,64.40M,66.01M,122.40M,14.10M,108.30M,,0.36,0.00,,0.369,0.36,,0.36,0.00,,0.369,0.36,,178.89M,178.89M,0.0625,,,
1993-06,824.20M,824.20M,466.30M,357.90M,244.10M,,-2.20M,,,,,257.70M,100.20M,,,,-2.20M,,96.20M,35.60M,60.60M,,,,60.60M,61.99M,113.80M,13.60M,100.20M,,0.34,0.00,,0.3478,0.34,,0.34,0.00,,0.3478,0.34,,178.24M,178.24M,0.0625,,,
1993-03,618.30M,618.30M,355.60M,262.70M,228.60M,,2.60M,,,,,241.80M,20.90M,,,,2.60M,,21.90M,8.10M,13.80M,,,,13.80M,12.16M,34.10M,13.20M,20.90M,,0.08,0.00,,0.0705,0.08,,0.08,0.00,,0.0705,0.08,,172.50M,172.50M,0.0625,,,
1992-12,607.90M,607.90M,299.30M,308.60M,234.70M,,-13.30M,,,,,263.50M,45.10M,,,,-13.30M,,30.10M,10.90M,19.20M,,,,-62.60M,27.68M,73.90M,28.80M,45.10M,,0.11,-0.46,,0.1605,-0.35,,0.11,-0.46,,0.1605,-0.35,,167.92M,167.92M,0.055,,,
1992-09,772.80M,772.80M,432.50M,340.30M,237.60M,,1.40M,,,,,250.30M,90.00M,,,,1.40M,,89.50M,32.20M,57.30M,,,,57.30M,56.40M,102.70M,12.70M,90.00M,,0.32,0.00,,0.3150,0.32,,0.32,0.00,,0.3150,0.32,,179.06M,179.06M,0.055,,,
1992-06,772.50M,772.50M,443.60M,328.90M,229.50M,,1.70M,,,,,242.10M,86.80M,,,,1.70M,,86.10M,31.00M,55.10M,,,,55.10M,54.01M,99.40M,12.60M,86.80M,,0.31,0.00,,0.3039,0.31,,0.31,0.00,,0.3039,0.31,,177.74M,177.74M,0.055,,,
1992-03,594.60M,594.60M,347.70M,246.90M,213.00M,,1.00M,,,,,225.20M,21.70M,,,,1.00M,,20.30M,7.30M,13.00M,,,,13.00M,12.36M,33.90M,12.20M,21.70M,,0.08,0.00,,0.0761,0.08,,0.08,0.00,,0.0761,0.08,,162.50M,162.50M,0.055,,,
1991-12,553.60M,553.60M,285.10M,268.50M,209.00M,,-9.30M,,,,,221.50M,47.00M,,,,-9.30M,,35.10M,12.50M,22.60M,,,,22.60M,28.59M,59.50M,12.50M,47.00M,,0.13,0.00,,0.1643,0.13,,0.13,0.00,,0.1643,0.13,,174.47M,174.47M,0.0525,,,
1991-09,736.80M,736.80M,426.40M,310.40M,217.80M,,1.10M,,,,,230.00M,80.40M,,,,1.10M,,78.80M,28.40M,50.40M,,,,50.40M,49.70M,92.60M,12.20M,80.40M,,0.29,0.00,,0.2860,0.29,,0.29,0.00,,0.2860,0.29,,173.79M,173.79M,0.0525,,,
1991-06,722.80M,722.80M,427.20M,295.60M,209.30M,,2.40M,,,,,221.10M,74.50M,,,,2.40M,,73.40M,25.70M,47.70M,,,,47.70M,46.14M,86.30M,11.80M,74.50M,,0.27,0.00,,0.2612,0.27,,0.27,0.00,,0.2612,0.27,,176.67M,176.67M,0.0525,,,
1991-03,528.10M,528.10M,313.60M,214.50M,189.80M,,1.60M,,,,,201.20M,13.30M,,,,1.60M,,11.50M,4.00M,7.50M,,,,7.50M,6.457M,24.70M,11.40M,13.30M,,0.05,0.00,,0.0430,0.05,,0.05,0.00,,0.0430,0.05,,150.00M,150.00M,0.0525,,,
1990-12,517.30M,517.30M,286.60M,230.70M,189.40M,,5.30M,,,,,200.90M,29.80M,,,,5.30M,,32.10M,11.10M,21.00M,,,,21.00M,17.53M,41.30M,11.50M,29.80M,,0.12,0.00,,0.1001,0.12,,0.12,0.00,,0.1001,0.12,,174.15M,174.15M,0.0475,,,
1990-09,638.50M,638.50M,364.10M,274.40M,191.90M,,3.40M,,,,,203.10M,71.30M,,,,3.40M,,72.00M,25.30M,46.70M,,,,46.70M,44.49M,82.50M,11.20M,71.30M,,0.27,0.00,,0.2572,0.27,,0.27,0.00,,0.2572,0.27,,172.96M,172.96M,0.0475,,,
1990-06,611.40M,611.40M,347.20M,264.20M,184.40M,,1.80M,,,,,195.40M,68.80M,,,,1.80M,,68.00M,23.10M,44.90M,,,,44.90M,43.71M,79.80M,11.00M,68.80M,,0.26,0.00,,0.2531,0.26,,0.26,0.00,,0.2531,0.26,,172.69M,172.69M,0.0475,,,
1990-03,499.50M,499.50M,295.50M,204.00M,179.90M,,4.60M,,,,,190.70M,13.30M,,,,4.60M,,15.10M,5.10M,10.00M,,,,10.00M,6.954M,24.10M,10.80M,13.30M,,0.06,0.00,,0.0417,0.06,,0.06,0.00,,0.0417,0.06,,166.67M,166.67M,0.0475,,,
1989-12,478.80M,478.80M,275.20M,203.60M,165.50M,,5.90M,,,,,175.30M,28.30M,,,,5.90M,,31.00M,11.20M,19.80M,,,,19.80M,16.03M,38.10M,9.80M,28.30M,,0.11,0.00,,0.0888,0.11,,0.11,0.00,,0.0888,0.11,,177.39M,177.39M,0.0438,,,
1989-09,596.00M,596.00M,343.50M,252.50M,178.00M,,6.10M,,,,,190.40M,62.10M,,,,6.10M,,65.00M,23.40M,41.60M,,,,41.60M,37.70M,74.50M,11.30M,62.10M,,0.24,0.00,,0.2175,0.24,,0.24,0.00,,0.2175,0.24,,173.33M,173.33M,0.0438,,,
1989-06,584.00M,584.00M,335.90M,248.10M,178.10M,,4.40M,,,,,188.60M,59.50M,,,,4.40M,,60.50M,21.80M,38.70M,,,,38.70M,35.89M,70.00M,10.50M,59.50M,,0.23,0.00,,0.2133,0.23,,0.23,0.00,,0.2133,0.23,,168.26M,168.26M,0.0438,,,
1989-03,464.80M,464.80M,,,,,,,,,,,464.80M,,,,,,,,8.80M,,,,8.80M,,464.80M,,464.80M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,172.16M,172.16M,0.0438,,,
1988-12,444.60M,444.60M,,,,,,,,,,,-1.371B,,,,,,,,18.70M,,,,18.70M,,-1.371B,,-1.371B,,,,,,,,,,,,,,172.16M,172.16M,0.04,,,
1988-09,548.00M,548.00M,,,,,,,,,,,548.00M,,,,,,,,37.80M,,,,37.80M,,548.00M,,548.00M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,174.89M,174.89M,0.04,,,
1988-06,544.50M,544.50M,,,,,,,,,,,544.50M,,,,,,,,36.10M,,,,36.10M,,544.50M,,544.50M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,174.89M,174.89M,0.04,,,
1988-03,413.40M,413.40M,,,,,,,,,,,413.40M,,,,,,,,8.40M,,,,8.40M,,413.40M,,413.40M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,174.89M,174.89M,0.04,,,
1987-12,408.30M,408.30M,,,,,,,,,,,-1.234B,,,,,,,,19.60M,0.70M,,,20.30M,,-1.234B,,-1.234B,,,0.0040,,,0.0040,,,0.0040,,,0.0040,,174.89M,174.89M,0.035,,,
1987-09,512.30M,512.30M,,,,,,,,,,,512.30M,,,,,,,,36.40M,0.70M,,,37.10M,,512.30M,,512.30M,,0.21,0.01,,0.21,0.22,,0.21,0.01,,0.21,0.22,,177.83M,177.83M,0.035,,,
1987-06,491.50M,491.50M,,,,,,,,,,,491.50M,,,,,,,,30.10M,0.70M,,,30.80M,,491.50M,,491.50M,,0.17,0.01,,0.17,0.18,,0.17,0.01,,0.17,0.18,,177.83M,177.83M,0.035,,,
1987-03,380.50M,380.50M,,,,,,,,,,,380.50M,,,,,,,,7.70M,0.70M,,,8.40M,,380.50M,,380.50M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,180.37M,180.37M,0.035,,,
1986-12,350.50M,350.50M,,,,,,,,,,,-1.060B,,,,,,,,26.30M,2.90M,,,29.20M,,-1.060B,,-1.060B,,,0.0164,,,0.0164,,,0.0164,,,0.0164,,176.32M,176.32M,0.0313,,,
1986-09,438.20M,438.20M,,,,,,,,,,,438.20M,,,,,,,,29.90M,2.40M,,,32.30M,,438.20M,,438.20M,,0.17,0.02,,0.17,0.19,,0.17,0.02,,0.17,0.19,,180.37M,180.37M,0.0313,,,
1986-06,432.00M,432.00M,,,,,,,,,,,432.00M,,,,,,,,27.40M,3.10M,,,30.50M,,432.00M,,432.00M,,0.15,0.02,,0.15,0.17,,0.15,0.02,,0.15,0.17,,180.37M,180.37M,0.0313,,,
1986-03,332.30M,332.30M,,,,,,,,,,,332.30M,,,,,,,,5.30M,1.60M,,,6.90M,,332.30M,,332.30M,,0.03,0.01,,0.03,0.04,,0.03,0.01,,0.03,0.04,,180.37M,180.37M,0.0313,,,
1985-12,517.40M,517.40M,,,,,,,,,,,-1.537B,,,,,,,,11.30M,,,,11.30M,,-1.537B,,-1.537B,,,,,,,,,,,,,,184.29M,184.29M,,,,
1985-09,578.80M,578.80M,,,,,,,,,,,578.80M,,,,,,,,29.10M,,,,29.10M,,578.80M,,578.80M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,183.52M,183.52M,,,,
1985-06,606.60M,606.60M,,,,,,,,,,,606.60M,,,,,,,,28.50M,,,,28.50M,,606.60M,,606.60M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,182.40M,182.40M,,,,
1985-03,492.10M,492.10M,,,,,,,,,,,492.10M,,,,,,,,5.70M,,,,5.70M,,492.10M,,492.10M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,180.17M,180.17M,,,,
1984-12,501.50M,501.50M,,,,,,,,,,,-1.450B,,,,,,,,9.10M,,,,9.10M,,-1.450B,,-1.450B,,,,,,,,,,,,,,181.06M,181.06M,,,,
1984-09,552.50M,552.50M,,,,,,,,,,,552.50M,,,,,,,,25.30M,,,,25.30M,,552.50M,,552.50M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,181.86M,181.86M,,,,
1984-06,557.30M,557.30M,,,,,,,,,,,557.30M,,,,,,,,25.60M,,,,25.60M,,557.30M,,557.30M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,181.86M,181.86M,,,,
1984-03,463.90M,463.90M,,,,,,,,,,,463.90M,,,,,,,,5.00M,,,,5.00M,,463.90M,,463.90M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,182.24M,182.24M,,,,
