,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-06,153.22M,,13.29M,29.37M,6.063M,35.43M,35.43M,,,9.307M,,,,,-13.65M,-13.65M,197.61M,,-39.23M,,-39.23M,-1.825M,-9.588M,4.613M,-46.03M,,,,-95.12M,23.14M,-43.28M,-20.15M,,-28.31M,,-3.45M,-147.03M,,7.496M,4.545M,0.479M,12.52M,,23.14M,,,-43.28M,,,,,
2005-03,83.29M,,3.273M,29.57M,6.063M,35.63M,35.63M,,,0.414M,,,,,-221.37M,-221.37M,-98.76M,,-30.26M,,-30.26M,-24.63M,-6.289M,-2.241M,-63.42M,,,,258.30M,17.57M,-121.97M,-104.40M,,-28.90M,,-0.468M,124.54M,,45.93M,-37.64M,-0.793M,7.496M,,17.57M,,,-121.97M,,,,,
2004-12,82.48M,,83.29M,30.29M,17.78M,48.07M,48.07M,,,2.274M,,,,,65.74M,-46.45M,186.90M,,-30.42M,,-29.82M,-2.413M,4.542M,-3.951M,-31.64M,,,,-139.32M,21.88M,-63.99M,-42.11M,,-24.04M,,-3.425M,-208.90M,,97.22M,-53.64M,2.349M,45.93M,,21.88M,,,-63.99M,,,,,
2004-09,132.86M,,3.024M,27.89M,3.916M,31.81M,31.81M,,,-3.001M,,,,,48.96M,48.96M,213.65M,,-23.42M,,-23.42M,-545.27M,-0.659M,3.471M,-565.87M,,,,297.25M,18.33M,-80.59M,-62.27M,,-23.99M,,5.569M,216.56M,,233.55M,-135.66M,-0.668M,97.22M,,18.33M,,,-80.59M,,,,,
2004-06,126.44M,,4.946M,25.55M,3.326M,28.87M,28.87M,,,-8.58M,,,,,95.56M,95.56M,247.24M,,-27.16M,,-27.16M,-6.799M,-16.62M,-0.559M,-51.14M,,,,0.519M,21.18M,-58.60M,-37.42M,,-24.34M,,-7.055M,-68.30M,,103.57M,127.81M,2.17M,233.55M,,21.18M,,,-58.60M,,,,,
2004-03,51.47M,,6.339M,25.33M,3.205M,28.53M,28.53M,,,-0.97M,,,,,-188.48M,-188.48M,-103.11M,,-25.83M,,-25.83M,,,-7.408M,-33.23M,,,,-0.894M,27.10M,-64.18M,-37.08M,,-24.54M,,-0.246M,-62.76M,,302.81M,-199.10M,-0.14M,103.57M,,27.10M,,,-64.18M,,,,,
2003-12,70.83M,,74.56M,26.91M,3.37M,30.28M,30.28M,,,8.045M,,,,,49.73M,58.24M,281.84M,,-28.64M,45.04M,16.40M,-47.53M,-21.94M,16.84M,-36.24M,,,,-3.494M,27.28M,-98.13M,-70.85M,,-22.53M,,0.384M,-96.49M,,148.72M,149.10M,4.99M,302.81M,,27.28M,,,-98.13M,,,,,
2003-09,120.30M,,-0.713M,26.43M,2.918M,29.35M,29.35M,,,-17.45M,,,,,74.07M,74.07M,205.55M,,-25.84M,2.809M,-23.04M,0.00,1.494M,-0.916M,-22.46M,,,,-1.043M,13.50M,-44.07M,-30.57M,,-22.59M,,0.129M,-54.07M,,20.02M,129.03M,-0.328M,148.72M,,13.50M,,,-44.07M,,,,,
2003-06,110.13M,,3.771M,26.10M,2.624M,28.72M,28.72M,,,2.95M,,,,,37.68M,37.68M,183.25M,,-29.06M,,-29.06M,-0.843M,-7.425M,4.64M,-32.69M,,,,-101.29M,4.689M,-23.32M,-18.63M,,-22.75M,,-1.732M,-144.41M,,12.83M,6.151M,1.031M,20.02M,,4.689M,,,-23.32M,,,,,
2003-03,30.80M,,3.832M,25.37M,2.849M,28.22M,28.22M,,,-9.056M,,,,,-165.50M,-165.50M,-111.71M,,-32.96M,,-32.96M,,,-11.71M,-44.67M,,,,97.73M,2.00M,-72.63M,-70.63M,,-22.82M,,-0.091M,4.195M,,164.01M,-152.18M,1.006M,12.83M,,2.00M,,,-72.63M,,,,,
2002-12,57.06M,,18.11M,27.09M,2.951M,30.04M,30.04M,,,34.64M,,,,,-18.43M,61.18M,220.77M,,-36.65M,-0.368M,-37.02M,-0.401M,-16.14M,5.429M,-48.14M,,,,-0.349M,4.681M,-39.51M,-34.83M,,-22.50M,,-2.129M,-59.81M,,49.86M,112.82M,1.331M,164.01M,,4.681M,,,-39.51M,,,,,
2002-09,111.33M,,2.033M,25.99M,3.257M,29.25M,29.25M,,,-16.29M,,,,,75.50M,75.50M,201.82M,,-36.06M,0.00,-36.06M,0.00,13.21M,-19.35M,-42.20M,,,,-47.45M,0.404M,-51.57M,-51.16M,,-22.64M,,0.147M,-121.10M,,11.50M,38.52M,-0.163M,49.86M,,0.404M,,,-51.57M,,,,,
2002-06,107.52M,,-5.663M,25.29M,3.042M,28.33M,28.33M,,,-11.21M,,,,,128.53M,128.53M,247.52M,,-35.45M,1.145M,-34.30M,1.157M,-0.284M,2.241M,-31.19M,,,,-168.72M,22.00M,-51.56M,-29.56M,,-22.98M,,-2.892M,-224.15M,,19.33M,-7.823M,-0.007M,11.50M,,22.00M,,,-51.56M,,,,,
2002-03,-148.35M,,188.34M,25.28M,2.739M,28.02M,28.02M,,,1.611M,,,,,-180.82M,-180.82M,-111.20M,,-18.36M,11.00M,-7.364M,-27.40M,-12.92M,-3.338M,-51.03M,,,,121.22M,10.43M,-47.68M,-37.25M,,-22.88M,,0.147M,61.22M,,118.81M,-101.00M,1.524M,19.33M,,10.43M,,,-47.68M,,,,,
2001-12,45.43M,,29.69M,28.67M,9.221M,37.89M,37.89M,,,108.07M,,,,,-76.17M,13.01M,249.77M,,-18.50M,-9.866M,-28.36M,-13.28M,-16.61M,57.28M,-0.981M,,,,-90.62M,11.17M,-31.06M,-19.89M,,-22.40M,,-0.183M,-133.10M,,2.514M,115.69M,0.606M,118.81M,,11.17M,,,-31.06M,,,,,
2001-09,90.32M,,-3.403M,26.76M,9.937M,36.69M,36.69M,,,-1.521M,,,,,129.13M,129.13M,251.22M,,-18.83M,0.00,-18.83M,-1.879M,10.35M,-30.23M,-40.59M,,,,-158.83M,0.905M,-41.05M,-40.14M,,-22.67M,,0.232M,-221.41M,,13.38M,-10.78M,-0.084M,2.514M,,0.905M,,,-41.05M,,,,,
2001-06,90.48M,,-3.126M,27.20M,9.981M,37.19M,37.19M,,,30.43M,,,,,73.15M,73.15M,228.12M,,-22.64M,0.00,-22.64M,,-0.766M,0.198M,-23.20M,,,,-121.93M,0.532M,-47.11M,-46.58M,,-22.72M,,-0.597M,-191.82M,,1.151M,13.10M,-0.869M,13.38M,,0.532M,,,-47.11M,,,,,
2001-03,36.92M,,-5.941M,26.56M,9.772M,36.33M,36.33M,,,-108.66M,,,,,-126.11M,-126.11M,-167.46M,,-22.61M,9.866M,-12.75M,,-9.58M,-3.791M,-26.12M,,,,248.32M,5.195M,-37.87M,-32.68M,,-23.20M,,-0.238M,192.20M,,2.896M,-1.38M,-0.365M,1.151M,,5.195M,,,-37.87M,,,,,
2000-12,-247.46M,,342.31M,,,40.68M,40.68M,,,33.66M,,,,,75.88M,69.80M,212.11M,,-35.12M,-6.537M,-41.66M,-1.184M,-51.16M,54.75M,-39.25M,,,,-120.46M,2.407M,-36.09M,-33.68M,,-21.71M,,3.378M,-172.47M,,3.004M,0.383M,-0.491M,2.896M,,2.407M,,,-36.09M,,,,,
2000-09,106.72M,,-5.748M,,,39.98M,39.98M,,,-8.084M,,,,,100.53M,100.53M,233.40M,,-19.00M,-1.133M,-20.13M,-15.71M,18.44M,-81.04M,-98.45M,,,,-70.35M,1.817M,-43.24M,-41.42M,,-21.95M,,0.041M,-133.68M,,1.726M,1.267M,0.011M,3.004M,,1.817M,,,-43.24M,,,,,
2000-06,115.84M,,-1.921M,,,40.59M,40.59M,,,-11.18M,,,,,-63.64M,-63.64M,79.70M,,-43.98M,1.133M,-42.84M,-43.21M,-18.44M,37.02M,-67.47M,,,,35.69M,1.422M,-29.29M,-27.87M,,-22.09M,,0.25M,-14.02M,,3.633M,-1.79M,-0.117M,1.726M,,1.422M,,,-29.29M,,,,,
2000-03,40.92M,,-3.681M,,,38.78M,38.78M,,,-2.461M,,,,,-135.42M,-135.42M,-61.86M,,-34.68M,6.537M,-28.14M,,,-19.72M,-47.86M,,,,154.12M,0.773M,-38.24M,-37.47M,,-22.37M,,0.229M,94.50M,,18.62M,-15.22M,0.231M,3.633M,,0.773M,,,-38.24M,,,,,
1999-12,56.00M,,25.60M,,,37.90M,37.90M,,,-5.90M,,,,,86.30M,100.20M,235.00M,,-35.10M,,-35.10M,,-12.30M,-1.50M,-48.90M,,,,-138.70M,0.70M,-17.50M,-16.80M,,-19.90M,,3.30M,-172.10M,,5.00M,14.00M,-0.50M,18.60M,,0.70M,,,-17.50M,,,,,
1999-09,111.50M,,1.60M,,,42.00M,42.00M,,,34.50M,,,,,-82.60M,-82.60M,107.00M,,-34.00M,,-34.00M,,-2.50M,3.60M,-32.90M,,,,22.30M,0.90M,-78.20M,-77.30M,,-20.30M,,0.50M,-74.80M,,7.40M,-0.70M,-1.60M,5.00M,,0.90M,,,-78.20M,,,,,
1999-06,107.60M,,-11.13M,,,38.58M,38.58M,,,-63.32M,,,,,82.10M,82.10M,153.84M,,-43.29M,,-43.29M,8.262M,-8.60M,14.69M,-28.93M,,,,-87.61M,2.636M,-18.28M,-15.64M,,-20.42M,,0.279M,-123.39M,,3.503M,1.509M,2.421M,7.40M,,2.636M,,,-18.28M,,,,,
1999-03,28.80M,,0.032M,,,37.32M,37.32M,,,5.216M,,,,,-82.10M,-82.10M,-10.74M,,-37.21M,,-37.21M,-8.262M,,-7.692M,-53.17M,,,,102.01M,2.864M,-33.42M,-30.56M,,-20.38M,,0.321M,51.39M,,19.13M,-12.51M,-3.121M,3.503M,,2.864M,,,-33.42M,,,,,
1998-12,47.50M,,6.40M,,,39.00M,39.00M,,,65.00M,,,,,56.40M,54.10M,242.60M,,-37.80M,,-37.80M,,-4.20M,0.80M,-41.20M,,,,-145.60M,0.80M,-29.30M,-28.50M,,-19.40M,,7.80M,-185.70M,,3.40M,15.70M,,0.00,,0.80M,,,-29.30M,,,,,
1998-09,100.80M,,-11.00M,,,36.90M,36.90M,,,127.90M,,,,,-56.40M,-56.40M,198.20M,,-30.40M,,-30.40M,,-8.10M,-18.30M,-56.80M,,,,-120.20M,2.50M,-21.30M,-18.80M,,-19.40M,,-0.40M,-158.80M,,0.00,-17.40M,,3.40M,,2.50M,,,-21.30M,,,,,
1998-06,99.40M,,-0.30M,,,36.40M,36.40M,,,-17.80M,,,,,,,117.70M,,-38.80M,,-38.80M,,1.50M,0.60M,-36.70M,,,,-12.90M,2.80M,-14.90M,-12.10M,,-39.00M,,1.10M,-62.90M,,0.00,18.10M,,0.00,,2.80M,,,-14.90M,,,,,
1998-03,25.20M,,1.20M,,,35.60M,35.60M,,,-142.00M,,,,,,,-80.00M,,-39.10M,,-39.10M,,-8.50M,13.60M,-34.00M,,,,121.70M,10.70M,-19.50M,-8.80M,,,,0.30M,113.20M,,3.50M,-0.80M,,0.00,,10.70M,,,-19.50M,,,,,
1997-12,45.10M,,0.60M,,,36.00M,36.00M,,,56.60M,,,,,,,181.30M,,-926.40M,,-926.40M,,6.70M,869.50M,-50.20M,,,,-121.10M,7.20M,,-1.20M,,-16.40M,,-7.10M,-145.80M,,0.00,-14.70M,,3.60M,,7.20M,,,,,,,,
1997-09,99.20M,,-4.30M,,,36.80M,36.80M,,,34.70M,,,,,,,166.40M,,-49.80M,,-49.80M,,2.70M,-1.40M,-48.50M,,,,-94.50M,4.80M,,4.80M,,-17.30M,,-0.10M,-107.10M,,0.00,10.80M,,0.00,,4.80M,,,,,,,,
1997-06,93.20M,,-61.10M,,,30.10M,30.10M,,,51.00M,,,,,,,113.20M,,-38.40M,,-38.40M,,1.00M,3.40M,-34.00M,,,,-113.10M,0.40M,,0.40M,,-18.10M,,0.80M,-130.00M,,0.00,-50.80M,,0.00,,0.40M,,,,,,,,
1997-03,23.10M,,57.10M,,,36.30M,36.30M,,,-137.90M,,,,,,,-21.40M,,-33.90M,,-33.90M,,-16.00M,-877.90M,-927.80M,,,,1.02B,2.40M,,2.40M,,-17.20M,,0.30M,1.006B,,1.90M,56.30M,,0.00,,2.40M,,,,,,,,
1996-12,39.20M,,27.50M,,,27.80M,27.80M,,,71.60M,,,,33.10M,,-12.70M,139.60M,,-707.50M,,-707.50M,,37.80M,583.20M,-86.50M,,,,-49.60M,4.60M,,1.50M,,-15.00M,,5.60M,-57.50M,,0.00,-4.40M,,0.00,,4.60M,,,,,,,,
1996-09,88.50M,,-3.30M,,,25.80M,25.80M,,,40.50M,,,,,,,151.50M,,-16.70M,,-16.70M,,-28.80M,0.10M,-45.40M,,,,-97.20M,1.00M,,1.00M,,-15.00M,,-1.30M,-112.50M,,0.00,-6.40M,,0.00,,1.00M,,,,,,,,
1996-06,81.90M,,-0.60M,,,25.70M,25.70M,,,-96.20M,,,,98.20M,,98.20M,109.00M,,-37.40M,,-37.40M,,28.80M,-103.40M,-112.00M,,,,13.80M,4.30M,,4.30M,,-15.00M,,-0.20M,2.90M,,0.00,-0.10M,,0.00,,4.30M,,,,,,,,
1996-03,19.60M,,-2.40M,,,24.30M,24.30M,,,-4.10M,,,,-98.20M,,-98.20M,-60.80M,,-31.90M,,-31.90M,,20.00M,-470.70M,-482.60M,,,,319.00M,2.90M,,2.90M,,-15.00M,,-0.20M,306.70M,,249.50M,-236.70M,,0.00,,2.90M,,,,,,,,
1995-12,33.80M,,16.90M,,,21.70M,21.70M,,,-3.20M,,,,94.20M,,95.80M,161.70M,,-33.40M,,-33.40M,,-15.00M,-57.50M,-105.90M,,,,0.00,3.30M,-7.50M,-4.20M,,-13.70M,,0.10M,-17.80M,,0.00,38.00M,,0.00,,3.30M,,,-7.50M,,,,,
1995-09,75.00M,,0.00,,,19.30M,19.30M,,,-5.60M,,,,45.80M,,45.80M,134.50M,,-25.70M,,-25.70M,,-5.00M,-23.20M,-53.90M,,,,0.00,1.20M,-7.10M,-5.90M,,-13.70M,,2.00M,-17.60M,,0.00,63.00M,,0.00,,1.20M,,,-7.10M,,,,,
1995-06,73.20M,,5.70M,,,18.40M,18.40M,,,-8.90M,,,,-41.20M,,-41.20M,47.20M,,-27.20M,,-27.20M,,,2.40M,-24.80M,,,,-0.80M,3.50M,-1.60M,1.90M,,-13.60M,,0.50M,-12.00M,,0.00,10.40M,,0.00,,3.50M,,,-1.60M,,,,,
1995-03,18.70M,,,,,18.50M,18.50M,,,1.60M,,,,-99.50M,,-99.50M,-60.70M,,-22.10M,,-22.10M,,,-19.10M,-41.20M,,,,,3.10M,-1.20M,1.90M,,-13.60M,,0.20M,-11.50M,,251.40M,-113.40M,,0.00,,3.10M,,,-1.20M,,,,,
1994-12,30.70M,,,,,17.00M,17.00M,,,23.60M,,,,137.40M,,101.00M,154.00M,,-31.00M,,-31.00M,,0.00,15.10M,-15.90M,,,,-0.40M,1.50M,-25.00M,-23.50M,,-12.00M,,1.70M,-34.20M,,0.00,103.90M,,0.00,,1.50M,,,-25.00M,,,,,
1994-09,71.20M,,,,,15.00M,15.00M,,,6.60M,,,,-12.70M,,-12.70M,80.10M,,-17.50M,,-17.50M,,0.00,-4.30M,-21.80M,,,,-4.80M,1.40M,-0.10M,1.30M,,-12.00M,,1.10M,-14.40M,,0.00,43.90M,,0.00,,1.40M,,,-0.10M,,,,,
1994-06,69.20M,,,,,14.40M,14.40M,,,5.10M,,,,2.90M,,2.90M,91.60M,,-21.40M,,-21.40M,,18.00M,3.00M,-0.40M,,,,-13.20M,1.50M,-79.90M,-78.40M,,-12.10M,,0.20M,-103.50M,,0.00,-12.30M,,0.00,,1.50M,,,-79.90M,,,,,
1994-03,15.50M,,,,,14.10M,14.10M,,,2.80M,,,,-107.60M,,-107.60M,-75.20M,,-18.00M,,-18.00M,,21.70M,-7.40M,-3.70M,,,,-1.20M,1.90M,-23.10M,-21.20M,,-12.30M,,-0.60M,-35.30M,,230.10M,-114.20M,,0.00,,1.90M,,,-23.10M,,,,,
1993-12,26.40M,,,,,14.20M,14.20M,,,14.90M,,,,121.50M,,105.90M,139.50M,,-21.80M,,-21.80M,,-8.00M,3.30M,-26.50M,,,,-10.30M,3.90M,-12.30M,-8.40M,,-11.10M,,-0.10M,-29.90M,,0.00,83.10M,,0.00,,3.90M,,,-12.30M,,,,,
1993-09,64.40M,,,,,14.10M,14.10M,,,-1.70M,,,,-5.20M,,-5.20M,71.60M,,-13.50M,,-13.50M,,11.30M,-4.50M,-6.70M,,,,-20.60M,2.40M,-1.60M,0.80M,,-11.10M,,-0.10M,-31.00M,,0.00,33.90M,,0.00,,2.40M,,,-1.60M,,,,,
1993-06,60.60M,,,,,13.60M,13.60M,,,4.20M,,,,6.90M,,6.90M,85.30M,,-18.90M,,-18.90M,,-40.00M,3.70M,-55.20M,,,,-1.20M,6.30M,-2.20M,4.10M,,-11.10M,,-4.00M,-12.20M,,0.00,17.90M,,0.00,,6.30M,,,-2.20M,,,,,
1993-03,13.80M,,,,,13.20M,13.20M,,,11.50M,,,,-80.60M,,-80.60M,-42.10M,,-12.00M,,-12.00M,,,-6.00M,-18.00M,,,,-1.60M,,,,,-11.10M,,3.30M,-9.40M,,164.70M,-69.50M,,0.00,,,,,,,,,,
1992-12,19.20M,,,,,28.80M,28.80M,,,-10.00M,72.30M,-5.50M,15.20M,8.70M,,90.70M,123.50M,,-18.40M,,-18.40M,,,4.40M,-17.00M,,,,-5.50M,7.50M,-0.80M,6.70M,,-9.70M,,-5.60M,-14.10M,,0.00,92.40M,,0.00,,7.50M,,,-0.80M,,,,,
1992-09,57.30M,,,,,12.70M,12.70M,,,11.70M,19.10M,46.70M,-41.50M,-22.50M,,1.80M,83.50M,,-14.50M,,-14.50M,,,-4.80M,-19.30M,,,,-0.10M,2.20M,0.00,2.20M,,-9.70M,,-0.10M,-7.70M,,0.00,56.50M,,0.00,,2.20M,,,0.00,,,,,
1992-06,55.10M,,,,,12.60M,12.60M,,,0.50M,-52.20M,2.50M,29.30M,11.30M,,-9.10M,59.10M,,-21.70M,,-21.70M,,,1.20M,-20.50M,,,,-21.90M,1.70M,-0.50M,1.20M,,-9.70M,,0.10M,-30.30M,,0.00,8.30M,,0.00,,1.70M,,,-0.50M,,,,,
1992-03,13.00M,,,,,12.20M,12.20M,,,7.60M,-69.40M,-28.30M,25.00M,-12.10M,,-84.80M,-52.00M,,-17.20M,,-17.20M,,,-1.10M,-18.30M,,,,-16.70M,6.30M,-3.00M,3.30M,,-9.70M,,0.10M,-23.00M,,100.80M,-93.30M,,0.00,,6.30M,,,-3.00M,,,,,
1991-12,22.60M,,,,,12.50M,12.50M,,,-5.70M,73.10M,-30.70M,-19.40M,3.10M,,26.10M,51.70M,,-28.90M,,-28.90M,,0.00,2.80M,-26.10M,,,,2.50M,,0.00,13.40M,,-9.20M,,-0.90M,5.80M,,0.00,31.40M,,0.00,,,,,0.00,,,,,
1991-09,50.40M,,,,,12.20M,12.20M,,,13.70M,21.30M,21.60M,-12.70M,7.80M,,38.00M,114.30M,,-12.10M,,-12.10M,,0.00,-3.60M,-15.70M,,,,-27.60M,,-0.10M,-0.10M,,-9.20M,,1.10M,-35.80M,,0.00,62.80M,,0.00,,,,,-0.10M,,,,,
1991-06,47.70M,,,,,11.80M,11.80M,,,-0.90M,-45.20M,1.10M,28.60M,24.90M,,9.40M,68.00M,,-36.20M,,-36.20M,,0.00,-1.90M,-38.10M,,,,-17.80M,,-0.10M,-0.10M,,-9.10M,,1.80M,-25.20M,,0.00,4.70M,,0.00,,,,,-0.10M,,,,,
1991-03,7.50M,,,,,11.40M,11.40M,,,6.00M,-62.50M,-34.30M,4.20M,-30.80M,,-123.40M,-98.50M,,-10.80M,,-10.80M,,3.00M,-0.80M,-8.60M,,,,17.60M,,-1.10M,-1.10M,,-9.20M,,5.70M,13.00M,,96.00M,-94.10M,,0.00,,,,,-1.10M,,,,,
1990-12,21.00M,,,,,11.50M,11.50M,,,-14.90M,48.30M,-7.90M,25.20M,1.50M,,67.10M,84.70M,,-84.00M,,-56.60M,,-3.00M,-3.40M,-63.00M,,,,33.00M,,-0.30M,-0.30M,,-8.20M,,-6.90M,17.60M,,0.00,39.30M,,0.00,,,,,-0.30M,,,,,
1990-09,46.80M,,,,,11.20M,11.20M,,,11.10M,-16.10M,27.90M,-17.60M,9.90M,,4.10M,73.20M,,-20.70M,,-20.70M,,1.80M,-0.30M,-19.20M,,,,-0.10M,,0.00,0.00,,-8.30M,,6.90M,-1.50M,,0.00,52.50M,,0.00,,,,,0.00,,,,,
1990-06,44.90M,,,,,11.00M,11.00M,,,-7.90M,-21.90M,-7.90M,19.60M,-9.10M,,-19.30M,28.70M,,-153.60M,,-153.60M,,17.80M,3.20M,-132.60M,,,,-0.20M,,-0.90M,-0.90M,,-8.20M,,4.50M,-4.80M,,0.00,-108.70M,,0.00,,,,,-0.90M,,,,,
1990-03,10.00M,,,,,10.80M,10.80M,,,8.00M,-40.90M,-19.50M,2.30M,-2.60M,,-60.70M,-31.90M,,-13.10M,,-13.10M,,50.30M,-1.60M,35.60M,,,,-17.30M,,-0.10M,-0.10M,,-8.20M,,2.50M,-23.10M,,132.20M,-19.40M,,0.00,,,,,-0.10M,,,,,
