,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2008-09,2.931B,0.00,2.931B,,,1.037B,283.00M,1.147B,91.00M,127.00M,354.00M,5.97B,,1.793B,10.53B,,12.32B,-1.658B,10.66B,0.00,2.726B,2.726B,92.00M,,,1.28B,14.76B,20.73B,821.00M,,4.00M,825.00M,900.00M,1.725B,,749.00M,749.00M,116.00M,865.00M,3.632B,3.632B,1.331B,7.553B,6.145B,1.049B,7.194B,660.00M,3.734B,4.394B,,1.852B,,0.00,1.02B,14.46B,22.01B,1.00M,-3.896B,2.536B,25.00M,102.00M,-1.282B
2008-06,2.899B,0.00,2.899B,,,1.345B,257.00M,1.238B,442.00M,0.00,,6.181B,,1.782B,10.71B,,12.49B,-1.548B,10.94B,0.00,2.741B,2.741B,101.00M,,,1.368B,15.16B,21.34B,893.00M,,6.00M,899.00M,905.00M,1.804B,,694.00M,694.00M,112.00M,806.00M,4.136B,4.136B,1.957B,8.703B,6.143B,1.047B,7.19B,529.00M,2.635B,3.164B,,1.848B,,75.00M,926.00M,13.20B,21.91B,1.00M,-3.116B,2.456B,25.00M,114.00M,-570.00M
2008-03,2.438B,486.00M,2.924B,,,1.118B,239.00M,1.193B,348.00M,67.00M,,5.889B,,1.751B,10.88B,,12.63B,-1.385B,11.25B,2.283B,2.848B,5.131B,109.00M,,,1.438B,17.92B,23.81B,849.00M,,6.00M,855.00M,938.00M,1.793B,,706.00M,706.00M,271.00M,977.00M,3.741B,3.741B,1.752B,8.263B,6.198B,1.079B,7.277B,627.00M,2.596B,3.223B,,1.832B,,74.00M,978.00M,13.38B,21.65B,1.00M,-387.00M,2.448B,25.00M,129.00M,2.166B
2007-12,1.259B,2.295B,3.554B,,,888.00M,242.00M,1.008B,325.00M,78.00M,,6.095B,,1.703B,10.89B,,12.59B,-1.23B,11.36B,2.28B,2.871B,5.151B,122.00M,,,1.493B,18.12B,24.22B,877.00M,,257.00M,1.134B,1.037B,2.171B,,678.00M,678.00M,250.00M,928.00M,3.186B,3.186B,1.694B,7.979B,6.415B,1.106B,7.521B,638.00M,2.569B,3.207B,,1.829B,,371.00M,895.00M,13.82B,21.80B,1.00M,152.00M,2.139B,15.00M,141.00M,2.418B
2007-09,1.263B,2.899B,4.162B,,,1.095B,230.00M,1.061B,,77.00M,341.00M,6.966B,,,,,12.40B,-1.069B,11.33B,2.695B,2.912B,5.607B,194.00M,,,1.513B,18.64B,25.61B,830.00M,,,830.00M,985.00M,1.815B,,654.00M,654.00M,319.00M,973.00M,,,5.071B,7.859B,7.027B,1.129B,8.156B,1.048B,,1.185B,,1.934B,,,3.834B,15.11B,22.97B,1.00M,467.00M,2.122B,15.00M,65.00M,2.64B
2007-06,1.667B,2.582B,4.249B,,,1.138B,210.00M,814.00M,,66.00M,439.00M,6.916B,,,,,12.14B,-903.00M,11.24B,2.697B,2.95B,5.647B,116.00M,,,1.744B,18.75B,25.66B,861.00M,,,861.00M,1.077B,1.938B,,601.00M,601.00M,101.00M,702.00M,,,5.621B,8.261B,7.21B,1.33B,8.54B,756.00M,,889.00M,,1.959B,,,3.705B,15.09B,23.35B,1.00M,132.00M,2.106B,15.00M,87.00M,2.311B
2007-03,3.176B,193.00M,3.369B,,,1.071B,205.00M,687.00M,,73.00M,356.00M,5.761B,,,,,12.10B,-739.00M,11.36B,2.69B,2.989B,5.679B,115.00M,,,1.828B,18.98B,24.74B,734.00M,,,734.00M,1.102B,1.836B,,565.00M,565.00M,98.00M,663.00M,,,5.319B,7.818B,7.275B,1.358B,8.633B,562.00M,,695.00M,,1.963B,,,3.597B,14.89B,22.71B,1.00M,-136.00M,2.094B,15.00M,89.00M,2.033B
2006-12,3.832B,312.00M,4.144B,,,820.00M,218.00M,628.00M,,122.00M,341.00M,6.273B,,,,,12.05B,-584.00M,11.46B,2.703B,3.028B,5.731B,113.00M,,,1.789B,19.10B,25.37B,667.00M,0.0,,667.00M,1.036B,1.703B,,1.687B,1.687B,110.00M,1.797B,,,4.445B,7.945B,7.453B,1.35B,8.803B,688.00M,,688.00M,,,,,5.785B,15.28B,23.22B,1.00M,16.00M,2.053B,4.00M,82.00M,2.148B
2006-09,4.081B,2.00M,4.083B,,,1.04B,,752.00M,340.00M,127.00M,210.00M,6.552B,,1.396B,10.56B,,11.96B,-423.00M,11.53B,2.803B,3.047B,5.85B,113.00M,,,1.815B,19.31B,25.86B,637.00M,,,637.00M,1.075B,1.712B,,665.00M,665.00M,101.00M,766.00M,3.036B,3.036B,1.748B,7.262B,8.567B,1.357B,9.924B,760.00M,2.509B,3.269B,,2.066B,,356.00M,897.00M,16.51B,23.77B,1.00M,82.00M,2.021B,,-15.00M,2.089B
2006-06,4.094B,59.00M,4.153B,,,1.079B,191.00M,793.00M,,132.00M,397.00M,6.745B,,,,,11.68B,-267.00M,11.41B,2.803B,3.09B,5.893B,111.00M,,,1.864B,19.28B,26.02B,750.00M,,,750.00M,1.006B,1.756B,,587.00M,587.00M,136.00M,723.00M,,,5.415B,7.894B,8.514B,1.371B,9.885B,706.00M,,838.00M,,2.143B,,,3.33B,16.20B,24.09B,1.00M,-104.00M,1.993B,0.00,42.00M,1.932B
2006-03,3.633B,4.00M,3.637B,1.01B,,1.01B,161.00M,794.00M,410.00M,101.00M,,6.113B,,,1.364B,,11.64B,-107.00M,11.54B,2.756B,3.136B,5.892B,112.00M,,,1.888B,19.44B,25.55B,739.00M,,,739.00M,,739.00M,,346.00M,346.00M,115.00M,461.00M,3.787B,3.787B,1.546B,7.395B,8.855B,1.392B,10.25B,677.00M,2.376B,3.053B,,2.125B,,,991.00M,16.42B,23.81B,1.00M,-223.00M,1.953B,0.00,8.00M,1.739B
2005-12,1.761B,77.00M,1.838B,839.00M,,839.00M,193.00M,746.00M,643.00M,0.00,,4.259B,,,3.921B,,20.07B,-6.845B,13.23B,17.00M,371.00M,388.00M,20.00M,,,1.38B,15.08B,19.34B,596.00M,,,596.00M,32.00M,628.00M,,13.00M,13.00M,20.00M,33.00M,2.935B,2.935B,794.00M,5.234B,1.298B,102.00M,1.40B,428.00M,242.00M,670.00M,,2.027B,,,35.57B,39.67B,44.90B,1.00M,-29.12B,5.064B,1.467B,-36.00M,-25.56B
2005-09,1.712B,75.00M,1.787B,,,1.124B,228.00M,966.00M,,117.00M,954.00M,5.176B,,,,,20.14B,-6.71B,13.43B,,,393.00M,23.00M,,,1.145B,14.99B,20.17B,559.00M,,,559.00M,831.00M,1.39B,,,1.196B,,1.196B,,,3.602B,6.188B,253.00M,,253.00M,497.00M,,601.00M,,,,,23.16B,24.01B,30.20B,1.00M,-12.22B,5.064B,1.467B,-1.412B,-10.03B
2005-06,1.677B,16.00M,1.693B,,,1.131B,233.00M,571.00M,,105.00M,968.00M,4.701B,,,,,20.18B,-6.522B,13.66B,,,395.00M,25.00M,,,1.426B,15.51B,20.21B,644.00M,,,644.00M,877.00M,1.521B,,,888.00M,,888.00M,,,3.675B,6.084B,255.00M,,255.00M,485.00M,,590.00M,,,,,21.55B,22.39B,28.48B,1.00M,-10.45B,5.064B,1.467B,-1.423B,-8.271B
2005-03,1.382B,58.00M,1.44B,,,1.158B,211.00M,620.00M,,100.00M,885.00M,4.414B,,,,,20.29B,-6.398B,13.89B,,,397.00M,22.00M,,,1.717B,16.03B,20.44B,655.00M,,,655.00M,1.666B,2.321B,,,902.00M,,902.00M,,,3.448B,6.671B,310.00M,,310.00M,394.00M,,1.289B,,,,,20.89B,22.49B,29.16B,1.00M,-9.016B,5.064B,1.467B,-3.296B,-8.714B
2004-12,1.223B,78.00M,1.301B,,,951.00M,234.00M,455.00M,,96.00M,877.00M,3.914B,,,,,20.45B,-6.279B,14.17B,,,399.00M,24.00M,,,2.194B,16.79B,20.70B,601.00M,,,601.00M,3.409B,4.01B,,875.00M,875.00M,28.00M,903.00M,,,1.548B,6.461B,154.00M,147.00M,301.00M,389.00M,,2.722B,,,,,18.90B,21.92B,28.38B,1.00M,-7.946B,5.064B,1.467B,-3.332B,-7.68B
2004-09,1.493B,41.00M,1.534B,,,1.134B,239.00M,490.00M,,13.00M,857.00M,4.267B,,,,,20.64B,-6.171B,14.46B,,,401.00M,63.00M,,,2.41B,17.34B,21.60B,515.00M,,,515.00M,2.149B,2.664B,,,891.00M,,891.00M,,,3.087B,6.642B,172.00M,151.00M,323.00M,296.00M,,4.874B,,,,,16.62B,21.82B,28.46B,1.00M,-7.205B,5.064B,1.468B,-3.248B,-6.856B
2004-06,1.377B,11.00M,1.388B,,,1.171B,222.00M,431.00M,,39.00M,838.00M,4.089B,,,,,26.63B,-6.003B,20.63B,,,402.00M,50.00M,,,-3.602B,17.48B,21.56B,572.00M,,,572.00M,1.928B,2.50B,,,460.00M,,460.00M,,,3.28B,6.24B,172.00M,154.00M,326.00M,302.00M,,4.988B,,,,,16.64B,21.95B,28.19B,1.00M,-6.931B,5.064B,1.468B,-3.29B,-6.624B
2004-03,1.859B,11.00M,1.87B,,,1.062B,207.00M,427.00M,,30.00M,683.00M,4.279B,,,,,20.72B,-5.858B,14.86B,,,405.00M,50.00M,,,2.256B,17.57B,21.85B,517.00M,,,517.00M,2.107B,2.624B,,,630.00M,,630.00M,,,3.06B,6.314B,,158.00M,158.00M,293.00M,,4.976B,,,,,16.78B,21.91B,28.22B,1.00M,-6.684B,5.064B,1.468B,-3.289B,-6.376B
2003-12,1.64B,78.00M,1.718B,,,929.00M,264.00M,412.00M,,22.00M,679.00M,4.024B,,,,,20.72B,-5.687B,15.04B,,,406.00M,53.00M,,,2.458B,17.96B,21.98B,501.00M,,,501.00M,3.592B,4.093B,,663.00M,663.00M,26.00M,689.00M,,,1.33B,6.112B,,163.00M,163.00M,285.00M,,4.747B,,,,,16.87B,21.78B,27.90B,1.00M,-6.225B,5.066B,1.469B,-3.288B,-5.916B
2003-09,1.619B,154.00M,1.773B,,,990.00M,303.00M,237.00M,,,646.00M,3.949B,,,,,20.58B,-5.539B,15.04B,,,407.00M,47.00M,,,2.931B,18.42B,22.37B,368.00M,,,368.00M,1.289B,1.657B,,,727.00M,,727.00M,,,2.657B,5.041B,,,,283.00M,,5.918B,,,,,17.19B,23.11B,28.15B,1.00M,-5.75B,5.072B,1.475B,-3.623B,-5.775B
2003-06,1.272B,295.00M,1.567B,,,1.00B,273.00M,254.00M,,,684.00M,3.778B,,,,,21.91B,-6.11B,15.80B,,,408.00M,49.00M,,,2.911B,19.17B,22.95B,471.00M,,,471.00M,1.276B,1.747B,,,240.00M,,240.00M,,,2.671B,4.658B,524.00M,,524.00M,264.00M,,5.797B,,,,,17.38B,23.70B,28.36B,1.00M,-5.383B,5.07B,1.473B,-3.623B,-5.409B
2003-03,637.00M,285.00M,922.00M,,,1.241B,294.00M,233.00M,,,504.00M,3.194B,,,,,22.14B,-5.968B,16.17B,,,410.00M,215.00M,,,3.135B,19.93B,23.12B,420.00M,,,420.00M,1.407B,1.827B,,,60.00M,,60.00M,,,2.409B,4.296B,732.00M,,732.00M,257.00M,,4.824B,,,,,17.09B,22.65B,26.94B,1.00M,-4.76B,5.072B,1.475B,-2.659B,-3.823B
2002-12,886.00M,388.00M,1.274B,,,1.114B,310.00M,219.00M,,0.00,462.00M,3.379B,,,,,22.16B,-5.80B,16.36B,,,412.00M,240.00M,,0.00,3.264B,20.28B,23.66B,284.00M,,,284.00M,2.686B,2.97B,,,,0.00,0.00,,,1.021B,3.991B,700.00M,0.00,700.00M,249.00M,0.00,4.661B,0.00,,,,16.79B,22.15B,26.14B,1.00M,-3.417B,5.07B,1.472B,-2.663B,-2.483B
2002-09,1.011B,612.00M,1.623B,,,1.485B,323.00M,285.00M,,0.00,344.00M,4.06B,,,,,22.20B,-5.666B,16.54B,,,414.00M,115.00M,,0.00,3.063B,20.13B,24.19B,617.00M,,,617.00M,1.502B,2.119B,,,1.331B,,1.331B,,,3.71B,7.16B,7.098B,1.844B,8.942B,,755.00M,2.25B,,,,97.00M,4.438B,15.73B,22.89B,1.00M,-1.946B,5.06B,1.475B,-335.00M,1.303B
2002-06,2.095B,609.00M,2.704B,,,1.443B,325.00M,345.00M,,280.00M,,5.097B,,,,,22.44B,-5.506B,16.93B,,,414.00M,121.00M,,0.00,3.114B,20.58B,25.68B,891.00M,,,891.00M,1.32B,2.211B,,,1.337B,,1.337B,,,4.025B,7.573B,7.241B,1.89B,9.131B,70.00M,769.00M,2.147B,,,,97.00M,4.564B,15.94B,23.51B,1.00M,-1.055B,5.054B,1.484B,-346.00M,2.167B
2002-03,2.275B,600.00M,2.875B,,,1.404B,323.00M,375.00M,,276.00M,,5.253B,,,,,22.36B,-5.319B,17.04B,,,416.00M,133.00M,,,2.47B,20.06B,25.31B,854.00M,,,854.00M,1.305B,2.159B,,,1.888B,,1.888B,,,4.245B,8.292B,6.62B,1.86B,8.48B,243.00M,800.00M,1.31B,,,,,4.657B,14.45B,22.74B,1.00M,-711.00M,5.042B,1.485B,-273.00M,2.571B
2001-12,1.688B,940.00M,2.628B,1.047B,,1.221B,329.00M,636.00M,,272.00M,,5.086B,,4.018B,17.98B,,22.00B,-5.188B,16.81B,,984.00M,984.00M,278.00M,,97.00M,1.57B,20.11B,25.20B,1.268B,,,1.268B,3.125B,4.393B,133.00M,1.217B,1.35B,237.00M,1.587B,1.183B,1.183B,903.00M,8.066B,6.622B,1.943B,8.565B,0.00,827.00M,2.068B,551.00M,1.69B,,175.00M,1.049B,14.10B,22.16B,1.00M,-199.00M,4.995B,1.485B,-275.00M,3.033B
2001-09,2.11B,633.00M,2.743B,,,1.484B,318.00M,873.00M,,226.00M,,5.644B,,,,,21.61B,-5.099B,16.51B,,,1.121B,464.00M,,,1.867B,19.96B,25.60B,1.36B,,,1.36B,1.941B,3.301B,,,969.00M,,969.00M,,,4.204B,8.474B,6.24B,2.051B,8.291B,199.00M,850.00M,1.38B,,,,98.00M,4.254B,14.02B,22.50B,1.00M,111.00M,4.666B,1.485B,-181.00M,3.107B
2001-06,798.00M,482.00M,1.28B,,,1.68B,390.00M,1.115B,,,,4.465B,,,,,23.65B,-6.474B,17.17B,,,655.00M,646.00M,,,1.974B,20.45B,24.91B,1.238B,,,1.238B,1.66B,2.898B,,,930.00M,,930.00M,,,4.294B,8.122B,4.521B,2.061B,6.582B,1.123B,867.00M,2.296B,,,,98.00M,3.10B,12.08B,20.20B,1.00M,1.273B,4.662B,1.485B,272.00M,4.716B
2001-03,1.25B,547.00M,1.797B,,,1.635B,450.00M,658.00M,,,,4.54B,,,,,23.05B,-6.309B,16.74B,,,663.00M,468.00M,,,2.311B,20.18B,24.72B,1.276B,,,1.276B,1.597B,2.873B,,,417.00M,,417.00M,,,4.051B,7.341B,4.86B,2.157B,7.017B,1.217B,888.00M,2.327B,,,,98.00M,2.971B,12.41B,19.75B,1.00M,1.647B,4.628B,1.485B,181.00M,4.966B
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36B,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.16B,,,,,,5.19B
2000-09,618.00M,556.00M,1.174B,,,1.931B,374.00M,379.00M,,208.00M,,4.066B,,,,,22.35B,-6.235B,16.11B,,,572.00M,293.00M,,,2.03B,19.01B,23.07B,1.201B,,,1.201B,,1.201B,,,360.00M,,360.00M,,,5.665B,7.226B,3.022B,2.159B,5.181B,,930.00M,930.00M,,,,99.00M,4.493B,10.70B,17.93B,1.00M,2.107B,4.406B,1.482B,120.00M,5.144B
2000-06,661.00M,503.00M,1.164B,,,1.688B,361.00M,392.00M,,221.00M,,3.826B,,,,,21.57B,-6.092B,15.48B,,,580.00M,379.00M,,,2.111B,18.55B,22.38B,1.15B,,,1.15B,,1.15B,,,314.00M,,314.00M,,,5.325B,6.789B,2.554B,2.202B,4.756B,,949.00M,1.075B,,,,,4.406B,10.24B,17.03B,1.00M,2.262B,4.395B,1.484B,182.00M,5.349B
2000-03,400.00M,393.00M,793.00M,,,1.494B,327.00M,493.00M,,215.00M,,3.322B,,,,,21.06B,-5.868B,15.19B,,,563.00M,431.00M,,,2.145B,18.33B,21.65B,1.026B,,,1.026B,,1.026B,,,382.00M,,382.00M,,,4.926B,6.334B,2.634B,2.257B,4.891B,,968.00M,1.083B,,,,99.00M,4.184B,10.26B,16.59B,1.00M,2.00B,4.34B,1.482B,257.00M,5.061B
1999-12,310.00M,379.00M,689.00M,,,1.316B,340.00M,368.00M,,222.00M,,2.935B,,,,,22.01B,-5.852B,16.16B,,,568.00M,750.00M,,,555.00M,18.03B,20.96B,967.00M,,,967.00M,2.689B,3.656B,,153.00M,153.00M,190.00M,343.00M,,,1.412B,5.411B,2.65B,2.337B,4.987B,1.147B,986.00M,2.203B,390.00M,,,100.00M,2.721B,10.40B,15.81B,1.00M,2.138B,4.099B,1.402B,352.00M,5.151B
1999-09,915.00M,483.00M,1.398B,,,1.50B,343.00M,,,227.00M,307.00M,3.775B,,,,,20.38B,-5.881B,14.50B,,538.00M,538.00M,,,,,17.43B,21.21B,1.015B,,,1.015B,,1.015B,,,260.00M,,260.00M,,,4.675B,5.95B,5.067B,,5.067B,,,,,1.555B,100.00M,,,6.622B,15.14B,1.00M,2.04B,4.165B,1.182B,,5.973B
1999-06,1.144B,231.00M,1.375B,,,1.36B,275.00M,,,252.00M,295.00M,3.557B,,,,,20.06B,-5.814B,14.25B,,669.00M,669.00M,,,,,17.49B,21.04B,1.054B,,,1.054B,,1.054B,,,277.00M,,277.00M,,,4.67B,6.001B,5.067B,,5.067B,,,,,1.735B,100.00M,,,6.802B,15.37B,1.00M,1.713B,3.86B,1.186B,,5.577B
1999-03,256.00M,383.00M,639.00M,,,1.134B,294.00M,,,255.00M,311.00M,2.633B,,,,,19.42B,-5.67B,13.75B,,672.00M,672.00M,,,,,16.44B,19.07B,1.018B,,,1.018B,,1.018B,,,458.00M,,458.00M,,,4.276B,5.752B,5.109B,,5.109B,,,,,1.625B,100.00M,,,6.734B,14.74B,1.00M,1.075B,3.677B,1.181B,,4.229B
1998-12,390.00M,425.00M,815.00M,,,1.138B,384.00M,315.00M,,256.00M,,2.908B,,,,,18.83B,-5.773B,13.05B,,,676.00M,304.00M,,,1.617B,15.65B,18.56B,1.151B,,,1.151B,2.63B,3.781B,,282.00M,282.00M,176.00M,458.00M,,,1.429B,5.668B,2.858B,2.113B,4.971B,398.00M,1.18B,1.667B,371.00M,,,100.00M,2.501B,9.61B,15.28B,1.00M,1.028B,3.517B,1.14B,-2.00M,3.281B
1998-09,447.00M,447.00M,894.00M,,,1.405B,364.00M,,,241.00M,287.00M,3.191B,,,,,18.62B,-5.772B,12.85B,,691.00M,691.00M,,,,,15.71B,18.90B,1.233B,,,1.233B,,1.233B,,,325.00M,,325.00M,,,4.35B,5.908B,4.767B,,4.767B,,,,,1.48B,101.00M,,,6.247B,14.78B,1.00M,1.00B,3.531B,,,4.017B
1998-06,588.00M,439.00M,1.027B,,,1.331B,425.00M,,,239.00M,326.00M,3.348B,,,,,17.89B,-5.781B,12.11B,,695.00M,695.00M,,,,,14.92B,18.27B,1.119B,,,1.119B,,1.119B,,,485.00M,,485.00M,,,4.253B,5.857B,4.635B,,4.635B,,,,,1.449B,101.00M,,,6.084B,14.50B,1.00M,601.00M,3.224B,,,3.672B
