,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-12,28.09M,,,,-12.81M,13.68M,13.68M,0.056M,,,,,-18.51M,-3.526M,,-2.72M,-1.278M,-0.687M,12.76M,-13.96M,,15.05M,,-11.54M,22.11M,10.57M,,-1.504M,1.504M,10.57M,,,-1.428M,4.393M,-24.93M,-20.54M,,-2.735M,,0.00,-24.70M,,46.38M,0.912M,-0.012M,44.65M,,4.393M,,,-24.93M,,,
2005-09,16.42M,,,,1.109M,14.54M,14.54M,0.188M,,,,-0.313M,10.29M,-9.391M,,4.893M,2.563M,2.288M,-2.315M,8.329M,2.635M,42.90M,,-14.59M,,-14.59M,,,-1.504M,-16.10M,,,-20.16M,4.389M,0.00,4.389M,,-2.727M,,0.00,-18.50M,,35.14M,8.31M,0.295M,46.38M,,4.389M,,,0.00,,,
2005-06,17.33M,,,,-0.385M,13.89M,13.89M,-0.341M,,,,0.313M,42.80M,-7.484M,,-12.90M,-2.563M,-6.621M,,13.24M,-2.635M,41.42M,,-8.144M,,-8.144M,,,,-8.144M,,,19.92M,1.603M,-39.39M,-37.79M,,-2.767M,,-0.217M,-20.85M,,23.55M,12.42M,-0.825M,35.14M,,1.603M,,,-39.39M,,,
2005-03,25.01M,,,,0.372M,13.70M,13.70M,7.893M,,,,,-27.34M,-0.143M,,11.74M,-0.558M,6.081M,,-10.21M,,49.81M,,-16.75M,,-16.75M,,,53.32M,-95.16M,,,0.799M,7.006M,0.00,7.006M,,,,,7.805M,,62.20M,-37.54M,-0.997M,23.55M,,7.006M,,,0.00,,,
2004-12,24.46M,,,,-8.286M,13.17M,13.17M,1.219M,,,,,16.52M,6.584M,,-11.39M,0.629M,-6.769M,1.542M,7.12M,,37.68M,,-13.26M,,-13.26M,,,-0.40M,-13.66M,,,-3.409M,6.992M,0.00,6.992M,,,,,3.583M,,32.78M,27.61M,1.805M,62.20M,,6.992M,,,0.00,,,
2004-09,18.89M,,,,3.397M,12.62M,12.62M,-0.166M,,,,,-24.01M,0.382M,,-0.844M,3.889M,6.519M,-1.542M,-15.61M,,19.13M,,-14.99M,,-14.99M,,,-52.92M,-67.91M,,,2.103M,4.943M,-5.719M,-0.776M,,,,,1.327M,,79.93M,-47.45M,0.311M,32.78M,,4.943M,,,-5.719M,,,
2004-06,17.62M,,,,1.817M,11.70M,11.70M,4.379M,,,,,17.97M,-3.623M,,-7.184M,-3.889M,3.453M,,6.727M,,42.24M,,-10.54M,,-10.54M,,,,-10.54M,,,-6.365M,2.646M,-28.15M,-25.50M,,,,,-31.87M,,80.41M,-0.171M,-0.311M,79.93M,,2.646M,,,-28.15M,,,
2004-03,30.31M,,,,8.086M,12.20M,12.20M,7.70M,,,,,-19.60M,19.55M,,17.30M,1.225M,-4.828M,,13.66M,,61.92M,,-18.27M,,-18.27M,-34.70M,,33.91M,-19.92M,,,0.934M,5.439M,0.00,5.439M,,,,-0.805M,5.568M,,38.85M,47.57M,-0.184M,80.30M,,5.439M,,,0.00,,,
2003-12,27.09M,,,,4.407M,12.58M,12.58M,0.171M,,,,,-9.716M,22.82M,,-6.953M,0.478M,-13.15M,,-6.527M,,37.73M,,-17.69M,,-17.69M,33.91M,,-36.81M,-20.59M,,,8.334M,1.941M,-2.47M,-0.529M,,,,-0.537M,7.268M,,12.34M,24.40M,2.113M,38.85M,,1.941M,,,-2.47M,,,
2003-09,20.37M,,,,3.746M,12.22M,12.22M,-0.422M,,,,,6.08M,-3.582M,,-4.208M,2.14M,-16.30M,,-15.88M,,20.04M,,-19.48M,,-19.48M,-33.91M,,36.81M,-16.58M,,,-13.51M,3.593M,0.00,3.593M,,,,,-9.913M,,18.90M,-6.454M,-0.104M,12.34M,,3.593M,,,0.00,,,
2003-06,16.47M,,,,-1.271M,11.68M,11.68M,0.395M,,,,,5.408M,-19.94M,,-19.78M,-1.70M,18.18M,,-17.83M,,9.448M,,-11.26M,,-11.26M,-2.90M,,-36.81M,-50.97M,,,47.04M,2.214M,-14.14M,-11.92M,,,,,35.11M,,25.94M,-6.407M,-0.638M,18.90M,,2.214M,,,-14.14M,,,
2003-03,26.71M,,,,2.491M,11.96M,11.96M,4.064M,,,,,-30.47M,-3.639M,,41.54M,-0.958M,,,6.474M,,51.70M,,-13.37M,,-13.37M,,,0.00,-13.37M,,,-26.02M,3.493M,0.00,3.493M,,,,,-22.53M,,10.78M,15.80M,-0.634M,25.94M,,3.493M,,,0.00,,,
2002-12,21.48M,,,,5.281M,10.99M,10.99M,0.032M,,,,,-4.054M,-3.813M,,-8.991M,-0.352M,,,-17.21M,,20.57M,,-14.83M,,-14.83M,,,0.00,-14.83M,,,-14.30M,2.583M,0.00,2.583M,,,,,-11.72M,,15.96M,-5.977M,0.793M,10.78M,,2.583M,,,0.00,,,
2002-09,18.41M,,,,1.904M,12.32M,12.32M,-0.038M,,,,,4.58M,2.671M,,0.324M,-0.794M,5.006M,,11.79M,,44.38M,,-19.97M,,-19.97M,,,0.00,-19.97M,,,-4.638M,2.705M,-16.07M,-13.36M,,,,,-18.00M,,10.27M,6.412M,-0.725M,15.96M,,2.705M,,,-16.07M,,,
2002-06,12.83M,,,,3.256M,11.25M,11.25M,-0.076M,,,,,15.83M,-7.432M,,-14.07M,0.06M,-5.006M,,-10.62M,,16.64M,,-10.42M,,-10.42M,,,-0.14M,-10.56M,,,-13.14M,2.563M,,2.563M,,,,,-10.58M,,12.42M,-4.502M,2.35M,10.27M,,2.563M,,,,,,
2002-03,18.60M,,,,-0.509M,11.53M,11.53M,,,,,,-17.61M,7.124M,,21.55M,-2.973M,,,8.087M,,50.57M,,-25.21M,0.00,-25.21M,5.006M,,,-25.30M,,,-30.62M,0.386M,,0.386M,,,,,-30.24M,,17.19M,-4.971M,0.202M,12.42M,,0.386M,,,,,,
2001-12,14.00M,,,,0.29M,11.62M,11.62M,,,,,,3.381M,2.885M,,11.02M,2.008M,,,19.30M,,45.21M,,-15.88M,2.164M,-13.72M,-5.006M,,,-18.73M,,,-22.02M,2.002M,,2.002M,,,,,-20.02M,,10.94M,6.467M,-0.216M,17.19M,,2.002M,,,,,,
2001-09,9.219M,,,,5.09M,11.85M,11.85M,,,,,,-3.785M,2.545M,,-5.202M,-1.291M,,,-7.733M,,18.42M,,-13.84M,,-13.84M,,,,-13.84M,,,-3.915M,3.03M,,3.03M,,,,,-0.885M,,7.209M,3.704M,0.029M,10.94M,,3.03M,,,,,,
2001-06,4.383M,,,,1.227M,11.88M,11.88M,,,,,,22.69M,-8.237M,,-4.649M,0.52M,,,10.32M,,27.82M,,-10.75M,,-10.75M,,,,-10.75M,,,-35.61M,1.318M,,1.318M,,,,,-34.30M,,24.71M,-17.22M,-0.276M,7.209M,,1.318M,,,,,,
2001-03,-16.63M,,,,15.28M,12.60M,12.60M,1.652M,,,,,2.623M,8.057M,,8.193M,1.995M,,,20.87M,,33.78M,,-13.69M,0.00,-13.69M,,,,-13.69M,,,-15.33M,-3.102M,,-3.102M,,,,,-18.43M,,21.50M,1.657M,1.553M,24.71M,,-3.102M,,,,,,
2000-12,10.39M,,,,-0.099M,11.77M,11.77M,,,,,,-0.28M,5.463M,,7.194M,-2.222M,,,10.16M,,32.22M,,-11.03M,0.00,-11.03M,,,,-11.03M,,,-35.50M,6.47M,,6.47M,,,,0.739M,-28.29M,,29.05M,-7.109M,-0.438M,21.50M,,6.47M,,,,,,
2000-09,6.724M,,,,0.357M,11.19M,11.19M,-1.973M,,,,,-7.964M,8.017M,,2.297M,-1.803M,,,0.547M,,16.84M,,-10.49M,0.09M,-10.40M,,,-0.044M,-10.45M,,,-1.116M,,0.424M,0.424M,,,,-0.739M,-1.431M,,25.85M,4.965M,-1.771M,29.05M,,,,,0.424M,,,
2000-06,0.828M,,,,0.168M,11.01M,11.01M,1.973M,,,,,13.76M,10.95M,,-18.85M,-0.34M,,,5.522M,,19.50M,,-15.80M,,-15.80M,,,0.044M,-15.76M,,,-13.00M,,-0.424M,-0.424M,,,,,-13.42M,,35.48M,-9.68M,0.057M,25.85M,,,,,-0.424M,,,
2000-03,-24.22M,,,,1.815M,9.572M,9.572M,,,,,,18.07M,22.45M,,-1.133M,2.494M,,,41.88M,,33.11M,,-27.33M,,-27.33M,,,-1.834M,-29.16M,,,2.816M,0.14M,-0.012M,0.128M,,,,,2.944M,,28.60M,6.886M,0.01M,35.48M,,0.14M,,,-0.012M,,,
1999-12,11.00M,,,,-0.30M,10.10M,10.10M,,,,,-0.10M,-5.00M,-5.60M,,4.70M,-1.40M,,,-7.30M,,13.40M,,-16.30M,,-16.30M,,,0.00,-16.30M,,,-0.60M,0.00,0.00,0.00,,,,,-0.60M,,32.30M,-3.50M,-0.20M,28.60M,,0.00,,,0.00,,,
1999-09,14.40M,,,,0.20M,10.10M,10.10M,,,,,0.20M,-8.00M,-2.60M,,11.80M,3.50M,,,4.70M,,29.60M,,-19.20M,,-19.20M,,,-6.30M,-25.50M,,,8.90M,0.80M,0.00,0.80M,,,,0.10M,9.80M,,17.60M,13.90M,0.80M,32.30M,,0.80M,,,0.00,,,
1999-06,9.30M,,,,-0.60M,9.90M,9.90M,,,,,-0.10M,19.50M,-22.70M,,-22.70M,2.40M,,,-23.50M,,-5.00M,,-14.30M,,-14.30M,,,,-14.30M,,,35.00M,7.40M,-28.70M,-21.30M,,,,-0.10M,13.60M,,23.70M,-5.70M,-0.40M,17.60M,,7.40M,,,-28.70M,,,
1999-03,28.80M,,,,-1.00M,10.40M,10.40M,21.40M,,,,,-21.70M,9.80M,,-20.10M,-1.70M,,,-33.70M,,25.90M,,-66.70M,,-66.70M,,48.50M,,-18.20M,,,9.80M,3.20M,-11.00M,-7.80M,,,,0.00,2.00M,,0.00,9.70M,-0.80M,0.00,,3.20M,,,-11.00M,,,
1998-12,23.00M,,,,1.50M,7.70M,7.70M,0.30M,,,,0.10M,-13.00M,-2.50M,,-3.90M,-1.40M,,,-20.80M,,11.80M,,-20.50M,,-20.50M,,-8.50M,,-29.00M,,,9.50M,1.40M,-4.20M,-2.80M,,,,-0.10M,6.60M,,0.00,-10.60M,0.50M,0.00,,1.40M,,,-4.20M,,,
1998-09,18.76M,,,,-1.848M,8.055M,8.055M,-7.755M,,,,-0.10M,-4.481M,-1.499M,,10.03M,-1.848M,-5.664M,,-3.459M,,13.65M,,-19.77M,,-19.77M,,-40.00M,,-59.77M,,,49.42M,3.642M,-2.50M,1.142M,,,,-1.961M,48.61M,,21.82M,2.485M,0.662M,0.00,,3.642M,,,-2.50M,,,
1998-06,14.34M,,,,0.048M,7.145M,7.145M,0.055M,,,,,16.48M,-18.80M,,-11.53M,-0.252M,5.664M,,-8.441M,,13.15M,,-11.73M,,-11.73M,,,,-11.73M,,,-0.025M,1.958M,,1.958M,,,,1.961M,3.894M,,17.17M,5.315M,-0.662M,21.82M,,1.958M,,,,,,
1998-03,20.27M,,,,-0.482M,7.669M,7.669M,6.334M,,,,,-8.772M,1.375M,,-9.729M,2.317M,-12.44M,,-27.24M,,6.551M,,-136.32M,0.016M,-136.31M,126.50M,0.906M,,-8.896M,,,-0.213M,4.655M,-0.049M,4.606M,,,,-1.143M,3.25M,,16.60M,0.905M,-0.33M,17.20M,,4.655M,,,-0.049M,,,
1997-12,18.13M,,,,-2.918M,6.431M,6.431M,0.566M,,,,-0.10M,-17.73M,-5.475M,,-2.371M,-2.017M,5.835M,,-21.76M,,0.349M,,-15.68M,43.08M,27.41M,-126.50M,126.59M,-35.60M,-8.104M,,,-4.187M,0.045M,-7.651M,-7.606M,,,,1.043M,-10.75M,,0.00,-18.50M,-0.67M,16.60M,,0.045M,,,-7.651M,,,
1997-09,15.35M,,,,-0.967M,5.507M,5.507M,0.50M,,,,0.10M,-13.38M,-3.086M,,-5.677M,-1.848M,-0.795M,,-24.79M,,-4.295M,,-6.701M,,-6.701M,,-126.46M,35.60M,-97.56M,,,109.94M,4.236M,-0.014M,4.222M,,,,-0.521M,113.64M,,24.43M,11.78M,-0.438M,0.00,,4.236M,,,-0.014M,,,
1997-06,11.75M,,,,-1.233M,4.593M,4.593M,,,,,,7.982M,-4.114M,,-12.32M,1.948M,0.795M,,-5.712M,,9.395M,,-6.999M,,-6.999M,,1.957M,,-5.042M,,,-0.037M,0.364M,-2.386M,-2.022M,,,,0.621M,-1.438M,,20.58M,2.915M,0.938M,24.43M,,0.364M,,,-2.386M,,,
1997-03,15.90M,,,,-1.50M,5.60M,5.60M,-12.30M,,,,0.20M,-16.40M,8.20M,,-4.30M,0.90M,12.90M,,1.30M,,9.20M,,-8.30M,,-8.30M,,3.20M,-0.10M,-5.20M,,,-6.80M,1.70M,,-9.70M,,,,1.70M,-14.80M,,0.00,-10.80M,-3.60M,20.60M,,1.70M,,,,,,
1996-12,13.60M,,,,-7.50M,3.70M,3.70M,0.50M,,,,-0.20M,-15.90M,2.00M,,3.00M,1.50M,2.10M,,-7.30M,,2.80M,,-5.60M,,-5.60M,,-0.10M,-75.00M,-80.70M,,,39.70M,12.50M,,12.50M,,,,3.40M,55.60M,,0.00,-22.30M,0.50M,0.00,,12.50M,,,,,,
1996-09,11.50M,,,,-0.20M,3.50M,3.50M,-0.30M,,,,0.20M,-5.20M,-1.00M,,-1.10M,-0.40M,-3.20M,,-10.90M,,3.80M,,-3.10M,,-3.10M,,0.00,1.00M,-2.10M,,,-99.60M,11.60M,,11.60M,,,,-0.10M,-88.10M,,0.00,-86.40M,0.30M,0.00,,11.60M,,,,,,
1996-06,-71.60M,,,,66.60M,3.70M,3.70M,-0.10M,,,,-0.10M,3.90M,-4.10M,,-1.70M,0.60M,3.30M,,2.00M,,0.50M,,-3.50M,,-3.50M,,3.10M,,-0.40M,,,-0.10M,2.00M,,2.00M,,,,0.10M,2.00M,,140.80M,2.10M,-0.10M,0.00,,2.00M,,,,,,
1996-03,31.90M,,,,,18.40M,18.40M,,,,,0.00,11.10M,9.10M,,-10.80M,-1.50M,0.60M,,8.50M,,67.90M,,-10.10M,,-10.10M,,4.20M,-5.80M,-11.70M,,,-0.50M,7.10M,,7.10M,,,,,19.10M,,0.00,75.30M,,0.00,,7.10M,,,,,,
1995-12,3.50M,,,,,0.50M,0.50M,,,,,0.10M,-3.50M,-3.20M,,2.50M,-1.00M,0.60M,,-4.60M,,-0.50M,,-1.60M,,-1.60M,,1.40M,-0.40M,-0.60M,,,0.00,0.10M,,0.10M,,,,,0.10M,,0.00,-1.00M,,0.00,,0.10M,,,,,,
1995-09,2.90M,,,,,0.40M,0.40M,,,,,0.10M,-3.50M,0.20M,,-0.50M,-0.20M,2.70M,,-1.30M,,2.10M,,-1.00M,,-1.00M,,-0.80M,-0.10M,-1.90M,,,-0.60M,0.60M,,0.60M,,,,,0.00,,0.00,0.20M,,0.00,,0.60M,,,,,,
1995-06,2.50M,,,,,0.40M,0.40M,,,,,-0.30M,,-0.30M,,-0.80M,0.10M,-1.30M,,-2.30M,,0.30M,,-2.40M,,-2.40M,,-0.80M,0.10M,-3.10M,,,,2.90M,,2.90M,,,,,2.90M,,1.60M,0.10M,,0.00,,2.90M,,,,,,
1995-03,-42.10M,,,,,17.70M,17.70M,,,,,0.20M,0.10M,7.50M,,44.40M,2.60M,4.20M,,58.80M,,67.50M,,-12.50M,,-12.50M,,13.40M,,-2.10M,,,-54.30M,5.90M,,5.90M,,,,1.20M,-47.20M,,0.00,18.20M,,0.00,,5.90M,,,,,,
1994-12,2.40M,,,,,0.30M,0.30M,,,,,-0.10M,-2.00M,-0.20M,,-0.40M,-0.10M,-0.60M,,-3.30M,,-0.70M,,-1.30M,,-1.30M,,2.90M,,1.60M,,,-1.50M,0.80M,,0.80M,,,,0.00,-0.70M,,0.00,0.20M,,0.00,,0.80M,,,,,,
1994-09,1.90M,,,,,0.30M,0.30M,,,,,,-2.60M,0.30M,,2.10M,-0.40M,-0.90M,,-1.50M,,0.70M,,-1.50M,,-1.50M,,-2.00M,,-3.50M,,,1.50M,0.00,,0.00,,,,0.00,1.50M,,0.00,-1.30M,,0.00,,0.00,,,,,,
1994-06,1.80M,,,,,0.20M,0.20M,,,,,,0.90M,-0.90M,,-1.50M,0.30M,0.30M,,-0.90M,,1.10M,,-4.20M,,-4.20M,,3.10M,,-1.10M,,,-0.20M,0.10M,,0.10M,,,,0.10M,0.00,,2.70M,,,0.00,,0.10M,,,,,,
1994-03,1.60M,,,,,0.30M,0.30M,,,,,-1.00M,-2.50M,-0.50M,,0.70M,-0.10M,0.40M,,-2.00M,,0.30M,,-0.80M,,-0.80M,,-17.60M,,-18.40M,,,-0.20M,0.90M,,0.90M,,,,,0.70M,,0.00,-17.40M,,0.00,,0.90M,,,,,,
1993-12,1.40M,,,,,0.10M,0.10M,,,,,0.00,-1.20M,-0.50M,,0.20M,0.80M,0.90M,,0.20M,,1.70M,,-0.70M,,-0.70M,,-0.90M,,-1.60M,,,-0.10M,0.00,,0.00,,,,,-0.10M,,0.00,0.00,,0.00,,0.00,,,,,,
1993-09,1.10M,,,,,0.20M,0.20M,,,,,-0.30M,-1.40M,0.00,,0.50M,-0.20M,0.20M,,-0.90M,,0.10M,,-0.90M,,-0.90M,,,,-0.90M,,,,0.20M,,0.20M,,,,,0.20M,,0.00,-0.60M,,0.00,,0.20M,,,,,,
1993-06,1.00M,,,,,0.10M,0.10M,,,,,1.40M,0.20M,-0.10M,,-0.50M,-1.30M,,,-1.70M,,0.80M,,-0.30M,,-0.30M,,,,-0.30M,,,,0.40M,,0.40M,,,,,0.40M,,19.90M,0.90M,,0.00,,0.40M,,,,,,
1993-03,1.10M,,,,,0.10M,0.10M,,,,,,-1.30M,0.10M,,0.70M,0.00,0.40M,,-0.10M,,1.10M,,-0.30M,,-0.30M,,,,-0.30M,,,,6.80M,,6.80M,,0.00,,,6.90M,,0.00,7.70M,,0.00,,6.80M,,,,,,
1992-12,0.80M,,,,,0.10M,0.10M,,,,,,-0.10M,0.10M,,-0.30M,0.00,-0.10M,,-0.40M,,0.50M,,-0.10M,,-0.10M,,,,-0.10M,,,,0.10M,,0.10M,,0.00,,,0.10M,,0.00,0.50M,,0.00,,0.10M,,,,,,
1992-09,0.40M,,,,,0.10M,0.10M,,,,,,-1.30M,0.00,,-1.00M,-0.10M,0.30M,,-2.10M,,-1.60M,,-0.30M,,-0.30M,,,,-0.30M,,,,0.00,,0.00,,0.00,,,0.00,,0.00,-1.90M,,0.00,,0.00,,,,,,
1992-06,0.20M,,,,,0.10M,0.10M,,,,,,-0.10M,-0.70M,,1.10M,,0.10M,,0.40M,,0.70M,,-0.30M,,-0.30M,,,,-0.30M,,,,13.80M,,13.80M,,-1.60M,,,12.20M,,1.00M,12.60M,,0.00,,13.80M,,,,,,
