,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,223.76M,,223.76M,214.36M,214.36M,35.69M,25.20M,67.26M,128.15M,22.59M,4.593M,,593.45M,0.00,26.22M,192.14M,541.87M,,22.70M,782.93M,-433.89M,349.04M,,,312.52M,,8.219M,669.78M,1.263B,,56.83M,,56.83M,121.47M,178.30M,,,,,,,,,178.30M,,210.00M,,210.00M,13.81M,13.81M,,,0.78M,60.35M,284.16M,462.46M,,0.00,859.09M,232.44M,307.19M,,,,15.66M,799.99M,,AOR,Restated
2009-06,176.07M,,176.07M,205.33M,205.33M,40.23M,26.26M,71.05M,137.53M,18.12M,6.928M,,543.98M,0.00,26.06M,190.94M,535.85M,,20.26M,773.11M,-422.94M,350.17M,,,312.99M,,8.05M,671.21M,1.215B,,51.51M,8.212M,59.73M,105.10M,164.82M,,,,,,,,,164.82M,,210.00M,,210.00M,13.95M,13.95M,,,0.779M,62.69M,286.63M,451.46M,,0.00,833.46M,231.57M,310.21M,,,,8.142M,762.96M,,AOR,Restated
2009-03,154.18M,,154.18M,238.44M,238.44M,37.27M,24.31M,68.63M,130.22M,23.10M,7.195M,,553.13M,0.00,25.80M,188.14M,525.50M,,17.67M,757.10M,-406.10M,351.00M,,,305.19M,,7.624M,663.81M,1.217B,,68.57M,,68.57M,133.45M,202.03M,,,,,,,,,202.03M,,210.00M,,210.00M,18.11M,18.11M,,,0.429M,68.64M,296.75M,498.77M,,0.00,814.36M,232.28M,313.10M,,,,-15.80M,717.74M,,AOR,Restated
2008-12,106.05M,,106.05M,215.88M,215.88M,41.62M,30.37M,76.12M,148.12M,23.79M,20.29M,,514.13M,0.00,26.29M,179.80M,518.62M,,34.16M,758.88M,-397.62M,361.26M,311.79M,,311.79M,,7.73M,680.78M,1.195B,,59.00M,,59.00M,123.81M,182.81M,,,0.30M,,0.30M,,,,183.11M,,210.00M,,210.00M,22.15M,22.15M,,,,64.79M,296.94M,480.06M,,0.00,791.22M,228.74M,309.87M,,,,4.766M,714.86M,,,Restated
2008-09,160.22M,,160.22M,211.00M,211.00M,43.55M,29.93M,87.82M,161.30M,21.25M,24.88M,,578.64M,0.00,26.18M,182.41M,518.37M,,37.75M,764.71M,-393.38M,371.33M,321.12M,,321.12M,,3.564M,696.01M,1.275B,,65.68M,,65.68M,40.97M,106.65M,,,0.80M,,0.80M,26.31M,26.31M,51.83M,185.59M,,250.00M,,250.00M,29.38M,29.38M,,,0.429M,64.50M,343.88M,529.47M,,0.00,767.35M,226.61M,279.61M,,,,30.40M,744.75M,,,Restated
2008-06,49.04M,,49.04M,214.30M,214.30M,47.55M,31.71M,89.59M,168.85M,37.46M,24.76M,,494.41M,0.00,26.65M,184.70M,393.90M,152.35M,38.29M,795.89M,-414.77M,381.12M,335.56M,,335.56M,,3.283M,719.96M,1.214B,,70.95M,,70.95M,133.80M,204.75M,,,0.80M,,0.80M,,,,205.55M,,177.46M,,177.46M,5.627M,5.627M,,,,112.07M,295.16M,500.70M,,0.00,743.32M,230.45M,292.73M,,,,32.62M,713.67M,,,Restated
2008-03,51.87M,,51.87M,249.81M,249.81M,44.20M,28.16M,74.86M,147.21M,35.45M,29.03M,,513.38M,0.00,26.70M,184.92M,547.12M,,38.06M,796.81M,-412.16M,384.64M,337.98M,,337.98M,,3.294M,725.92M,1.239B,,75.53M,,75.53M,48.23M,123.76M,,,0.70M,,0.70M,24.83M,24.83M,81.06M,230.36M,,179.28M,,179.28M,5.902M,5.902M,,,0.323M,117.28M,302.46M,532.82M,,0.00,721.33M,231.57M,279.84M,,47.57M,-14.48M,33.10M,706.15M,,,
2007-12,55.39M,,55.39M,201.21M,201.21M,46.22M,36.44M,81.78M,164.44M,33.90M,18.27M,,473.21M,0.00,26.28M,180.57M,551.84M,,40.63M,799.32M,-414.33M,384.99M,333.24M,,333.24M,,3.352M,721.58M,1.195B,,62.59M,,62.59M,136.00M,198.58M,,,0.70M,,0.70M,,,,199.28M,,132.22M,,132.22M,12.90M,12.90M,,,,96.44M,241.57M,440.85M,,0.00,698.92M,28.32M,,,,,26.70M,753.94M,,,
2007-09,61.56M,,61.56M,211.77M,211.77M,42.95M,35.09M,79.65M,157.69M,35.65M,14.69M,,481.36M,0.00,25.88M,184.44M,539.18M,,37.17M,786.67M,-401.72M,384.95M,334.38M,,334.38M,,3.335M,722.67M,1.204B,,61.60M,,61.60M,48.37M,109.98M,,,0.70M,,0.70M,25.01M,25.01M,54.02M,189.71M,,124.89M,,124.89M,24.15M,24.15M,,,0.305M,96.48M,245.52M,435.22M,,0.00,680.94M,65.17M,,,,,22.39M,768.50M,,,
2007-06,57.95M,,57.95M,207.65M,207.65M,42.55M,39.63M,71.04M,153.21M,33.02M,14.84M,,466.67M,0.00,25.72M,182.47M,534.71M,,32.58M,775.48M,-389.17M,386.31M,331.99M,,331.99M,,2.901M,721.21M,1.188B,,64.16M,,64.16M,69.55M,133.71M,,,0.777M,,0.777M,23.27M,23.27M,26.34M,184.10M,,109.78M,,109.78M,24.02M,24.02M,,,,97.32M,231.13M,415.22M,,0.00,668.78M,92.85M,,,,,11.02M,772.66M,,,
2007-03,52.30M,,52.30M,251.21M,251.21M,42.67M,30.44M,58.88M,132.00M,34.66M,14.56M,,484.72M,0.00,25.55M,180.67M,517.71M,,40.10M,764.04M,-375.14M,388.90M,332.95M,,332.95M,,2.604M,724.45M,1.209B,,76.18M,,76.18M,117.52M,193.70M,,,0.777M,,0.777M,22.92M,22.92M,,217.40M,,100.80M,,100.80M,17.83M,17.83M,,,,98.85M,217.48M,434.88M,,0.00,667.27M,102.47M,,,15.25M,-10.69M,4.559M,774.29M,,,
2006-12,39.01M,,39.01M,207.01M,207.01M,42.88M,31.57M,72.59M,147.04M,34.30M,13.19M,,440.55M,0.00,25.40M,179.55M,505.30M,,41.62M,751.87M,-360.95M,390.91M,333.90M,,333.90M,,1.571M,726.38M,1.167B,,61.18M,,61.18M,107.95M,169.13M,,,0.827M,,0.827M,20.63M,20.63M,,190.59M,,125.42M,,125.42M,28.81M,28.81M,,,,75.07M,229.30M,419.89M,,0.00,640.72M,99.23M,,,13.31M,-6.218M,7.096M,747.04M,,,
2006-09,44.91M,,44.91M,201.50M,201.50M,35.34M,31.32M,74.29M,140.96M,37.00M,13.23M,,437.59M,0.00,25.46M,181.58M,501.86M,,33.06M,741.96M,-348.64M,393.32M,333.07M,,333.07M,,0.529M,726.92M,1.165B,,66.56M,,66.56M,129.09M,195.65M,,,1.402M,,1.402M,,,,197.05M,,147.04M,,147.04M,28.63M,28.63M,,,,74.98M,250.65M,447.70M,,0.00,622.65M,90.31M,,,10.06M,-6.214M,3.844M,716.80M,,,
2006-06,79.56M,,79.56M,203.67M,203.67M,34.72M,32.19M,66.87M,133.78M,36.32M,13.25M,,466.58M,0.00,24.73M,180.71M,366.48M,126.13M,36.51M,734.55M,-335.46M,399.09M,330.05M,,330.05M,,0.603M,729.75M,1.196B,,68.33M,,68.33M,131.14M,199.47M,,,1.551M,,1.551M,,,,201.02M,,188.14M,,188.14M,28.44M,28.44M,,,,74.75M,291.33M,492.36M,,0.00,608.88M,94.04M,,,7.263M,-6.214M,1.049M,703.97M,,,
2006-03,72.73M,,72.73M,242.00M,242.00M,32.12M,29.01M,51.09M,112.22M,20.34M,13.02M,,460.32M,0.00,24.61M,179.26M,493.68M,,31.55M,729.11M,-327.57M,401.54M,326.53M,,326.53M,,0.593M,728.66M,1.189B,,87.06M,,87.06M,145.33M,232.39M,,,1.755M,,1.755M,,,,234.15M,,114.48M,,114.48M,35.14M,35.14M,,,,74.38M,224.00M,458.15M,,0.00,596.88M,141.72M,,,-1.56M,-6.214M,-7.774M,730.83M,,,
2005-12,44.65M,,44.65M,209.52M,209.52M,32.34M,28.17M,61.47M,121.98M,11.52M,6.428M,,394.10M,0.00,24.01M,197.94M,471.92M,,38.82M,732.70M,-326.35M,406.34M,,327.09M,327.09M,,1.797M,735.23M,1.129B,,55.77M,,55.77M,126.92M,182.69M,,,2.844M,,2.844M,,,,185.54M,,104.66M,,104.66M,,,,,,98.55M,203.21M,388.75M,,159.72M,591.13M,,,,,,-10.27M,740.58M,,,
2005-09,46.38M,,46.38M,228.14M,228.14M,31.02M,26.58M,57.12M,114.72M,12.70M,6.739M,,408.69M,0.00,23.90M,194.39M,469.26M,,41.17M,728.72M,-320.44M,408.28M,,337.94M,337.94M,,1.853M,748.08M,1.157B,,62.43M,,62.43M,139.40M,201.83M,,,3.053M,,3.053M,,,,204.88M,,105.67M,,105.67M,38.54M,38.54M,,,,66.28M,210.49M,415.38M,,179.43M,565.78M,,,,,,-3.818M,741.39M,,,
2005-06,37.45M,,37.45M,225.60M,225.60M,30.53M,27.26M,52.29M,110.07M,12.96M,6.80M,,392.89M,0.00,23.89M,193.09M,460.13M,,37.07M,714.18M,-307.75M,406.43M,,341.01M,341.01M,,1.868M,749.30M,1.142B,,56.31M,,56.31M,130.03M,186.34M,,,3.166M,,3.166M,,,,189.50M,,125.72M,,125.72M,38.69M,38.69M,,,,65.41M,229.82M,419.32M,,174.18M,552.09M,,,,,,-3.398M,722.87M,,,
2005-03,26.18M,,26.18M,281.40M,281.40M,26.77M,23.53M,45.90M,96.20M,9.929M,6.426M,,420.13M,0.00,23.52M,193.38M,441.32M,,35.54M,693.75M,-284.91M,408.85M,,350.11M,350.11M,,6.63M,765.59M,1.186B,,63.72M,,63.72M,130.02M,193.73M,,,4.889M,,4.889M,,,23.19M,221.82M,,104.27M,,104.27M,36.50M,36.50M,,,,67.49M,208.27M,430.08M,,0.00,537.53M,211.66M,,,12.43M,-5.974M,6.455M,755.64M,,,
2004-12,62.20M,,62.20M,249.00M,249.00M,28.45M,20.26M,54.94M,103.65M,9.955M,18.45M,,443.25M,,,,,,,636.77M,-247.65M,389.12M,,283.90M,283.90M,,2.482M,675.50M,1.119B,,52.92M,,52.92M,130.73M,183.65M,,,2.169M,,2.169M,,,,185.82M,,103.43M,,103.43M,35.11M,35.11M,,,,63.35M,201.89M,387.71M,,202.34M,512.51M,,,,,,16.19M,731.05M,,,
2004-09,32.78M,,32.78M,238.92M,238.92M,26.56M,18.95M,58.21M,103.71M,11.91M,18.55M,,405.89M,,,,,,,629.66M,-247.65M,382.02M,,278.95M,278.95M,,2.089M,663.05M,1.069B,,63.08M,,63.08M,101.77M,164.85M,,,2.186M,,2.186M,,,,167.04M,,106.77M,,106.77M,34.07M,34.07M,,,,61.75M,202.59M,369.63M,,201.37M,488.06M,,,,,,9.888M,699.31M,,,
2004-06,79.93M,,79.93M,236.69M,236.69M,28.18M,23.26M,50.02M,101.46M,14.22M,18.34M,,450.64M,,,,,,,620.46M,-247.65M,372.81M,,230.92M,230.92M,,2.085M,605.82M,1.056B,,60.70M,,60.70M,120.86M,181.56M,,,2.267M,,2.267M,,,,183.83M,,104.59M,,104.59M,34.04M,34.04M,,,,61.14M,199.76M,383.59M,,201.00M,469.16M,,,,7.276M,-4.582M,2.694M,672.86M,,,
2004-03,80.41M,,80.41M,253.80M,253.80M,27.92M,24.42M,45.91M,98.25M,10.34M,18.25M,,461.04M,0.00,23.12M,176.73M,383.53M,,38.36M,621.75M,-247.65M,374.10M,,230.99M,230.99M,,2.037M,607.13M,1.068B,,67.99M,,67.99M,116.75M,184.74M,,,4.049M,,4.049M,,,,188.79M,,109.09M,,109.09M,29.57M,29.57M,,,,60.02M,198.68M,387.47M,,225.00M,451.55M,,,,,,4.154M,680.70M,,,
2003-12,38.85M,,38.85M,218.49M,218.49M,32.58M,26.02M,55.11M,113.71M,12.23M,15.24M,,398.52M,,,,,,,577.11M,-209.08M,368.03M,,229.30M,229.30M,,1.892M,599.23M,997.75M,,52.88M,,52.88M,63.72M,116.60M,,,3.204M,,3.204M,,,47.81M,167.62M,,110.40M,,110.40M,18.26M,18.26M,,,,61.04M,189.70M,357.32M,,217.58M,421.24M,,,,8.889M,-7.281M,1.608M,640.43M,,,
2003-09,12.34M,,12.34M,210.66M,210.66M,34.43M,24.19M,61.08M,119.71M,10.63M,15.93M,,369.27M,,,,,,,568.58M,-209.08M,359.50M,,225.27M,225.27M,,5.01M,589.78M,959.05M,,57.26M,,57.26M,114.03M,171.28M,,,2.417M,,2.417M,,,,173.70M,,101.52M,,101.52M,18.26M,18.26M,,,,60.42M,180.20M,353.90M,,217.82M,394.14M,,,,0.464M,-7.281M,-6.817M,605.15M,,,
2003-06,18.90M,,18.90M,214.04M,214.04M,32.83M,20.73M,64.15M,117.70M,13.44M,14.89M,,378.97M,,,,,,,564.31M,-209.08M,355.23M,,223.16M,223.16M,,5.045M,583.43M,962.40M,,61.77M,,61.77M,125.52M,187.30M,,,1.973M,,1.973M,,,,189.27M,,115.26M,,115.26M,18.26M,18.26M,,,,59.56M,193.08M,382.34M,,212.96M,373.78M,,,,0.606M,-7.281M,-6.675M,580.06M,,,
2003-03,25.94M,,25.94M,211.69M,211.69M,26.77M,8.018M,55.34M,90.14M,11.76M,14.90M,,354.43M,0.00,21.36M,145.52M,359.65M,,28.17M,554.70M,-209.08M,345.62M,,192.42M,192.42M,,2.523M,540.56M,894.99M,,72.97M,,72.97M,116.12M,189.09M,,,1.959M,,1.959M,,,,191.05M,,59.70M,,59.70M,,,,,,74.71M,134.41M,325.46M,,224.36M,357.30M,,,,-4.847M,-7.281M,-12.13M,569.53M,,,
2002-12,10.78M,,10.78M,181.22M,181.22M,23.97M,19.90M,42.62M,86.50M,10.81M,20.09M,,309.39M,,,,,,,514.04M,-174.36M,339.68M,,193.98M,193.98M,,3.014M,536.68M,846.07M,,38.20M,,38.20M,109.41M,147.61M,,,1.802M,,1.802M,,,,149.41M,,85.88M,,85.88M,19.38M,19.38M,,,,51.96M,157.22M,306.63M,,219.69M,330.59M,,,,-9.813M,-1.038M,-10.85M,539.44M,,,
2002-09,15.96M,,15.96M,177.17M,177.17M,23.74M,38.08M,20.86M,82.68M,10.46M,20.12M,,306.39M,,,,,,,513.84M,-174.36M,339.49M,,193.60M,193.60M,,3.086M,536.18M,842.56M,,49.20M,,49.20M,107.40M,156.60M,,,1.663M,,1.663M,,,,158.26M,,100.32M,,100.32M,19.38M,19.38M,,,,51.32M,171.02M,329.28M,,215.93M,309.11M,,,,-10.72M,-1.038M,-11.76M,513.28M,,,
2002-06,10.27M,,10.27M,181.75M,181.75M,23.65M,37.06M,24.64M,85.35M,9.661M,20.09M,,307.12M,,,,,,,505.52M,-174.36M,331.16M,,193.54M,193.54M,,3.189M,527.89M,835.01M,,43.28M,,43.28M,107.99M,151.27M,,,2.172M,,2.172M,,,16.07M,169.51M,,104.45M,,104.45M,19.38M,19.38M,,,,50.90M,174.73M,344.24M,,211.17M,290.70M,,,,-10.06M,-1.038M,-11.10M,490.78M,,,
2002-03,12.42M,,12.42M,196.63M,196.63M,22.75M,26.50M,28.67M,77.92M,9.656M,20.01M,,316.64M,0.00,20.81M,125.83M,237.19M,74.83M,44.03M,502.68M,-174.36M,328.33M,,190.82M,190.82M,,5.777M,524.93M,841.57M,,56.73M,,56.73M,111.71M,168.45M,,,1.663M,,1.663M,,,,170.11M,,115.23M,,115.23M,19.38M,19.38M,,,,49.71M,184.32M,354.43M,,223.24M,277.87M,,,,-12.93M,-1.038M,-13.97M,487.14M,,,
2001-12,17.19M,,17.19M,179.02M,179.02M,23.77M,25.41M,35.86M,85.05M,6.683M,24.02M,,311.97M,,,,,,,483.00M,-169.17M,313.83M,,191.78M,191.78M,,2.057M,507.67M,819.63M,,40.61M,,40.61M,108.96M,149.57M,,,1.663M,,1.663M,,,,151.23M,,145.88M,,145.88M,10.53M,10.53M,,,,51.14M,207.54M,358.77M,,213.30M,259.27M,,,,-11.71M,,-11.71M,460.86M,,,
2001-09,10.94M,,10.94M,182.40M,182.40M,24.50M,23.45M,39.98M,87.93M,8.691M,24.02M,,313.99M,,,,,,,476.50M,-162.15M,314.36M,,186.22M,186.22M,,1.863M,502.44M,816.43M,,41.53M,,41.53M,101.67M,143.20M,,,1.263M,,1.263M,,,,144.46M,,166.30M,,166.30M,10.53M,10.53M,,,,50.47M,227.30M,371.76M,,210.73M,245.27M,,,,-11.32M,,-11.32M,444.67M,,,
2001-06,7.209M,,7.209M,178.62M,178.62M,21.64M,25.84M,43.00M,90.48M,7.40M,24.02M,,307.72M,,,,,,,467.25M,-152.95M,314.29M,,186.56M,186.56M,,2.325M,503.18M,810.90M,,45.54M,,45.54M,102.86M,148.40M,,,1.263M,,1.263M,,,,149.66M,,170.21M,,170.21M,10.53M,10.53M,,,,50.36M,231.10M,380.77M,,205.58M,236.05M,,,,-11.49M,,-11.49M,430.14M,,,
2001-03,24.71M,,24.71M,201.30M,201.30M,19.46M,22.81M,39.97M,82.24M,,24.02M,7.92M,340.20M,0.00,21.44M,132.24M,303.18M,,,456.86M,-142.72M,314.14M,,187.92M,187.92M,,2.715M,504.78M,844.98M,,48.49M,,48.49M,,48.49M,,,1.263M,,1.263M,,,104.43M,154.18M,,205.82M,,205.82M,10.66M,10.66M,,,,49.93M,266.41M,420.60M,,203.76M,231.66M,,,,-11.04M,,-11.04M,424.38M,,,
2000-12,21.50M,,21.50M,,203.93M,,,,80.20M,,,43.94M,349.56M,,,,,,,446.75M,-134.39M,312.36M,,199.57M,199.57M,,2.704M,514.63M,864.20M,,44.32M,,44.32M,,44.32M,,,0.70M,,0.70M,,,100.41M,145.43M,,220.20M,,220.20M,8.88M,8.88M,,,,49.18M,278.26M,423.69M,,201.87M,248.29M,,,,-9.659M,,-9.659M,440.50M,,,
2000-09,29.05M,,29.05M,,203.65M,,,,85.66M,,,41.71M,360.07M,,,,,,,467.40M,-155.82M,311.58M,,201.08M,201.08M,,5.416M,518.08M,878.15M,,37.33M,,37.33M,,37.33M,,,0.70M,,0.70M,,,100.20M,138.24M,,255.70M,,255.70M,8.88M,8.88M,,,,49.14M,313.72M,451.95M,,197.51M,237.90M,,,,-9.221M,,-9.221M,426.19M,,,
2000-06,25.85M,,25.85M,,195.68M,,,,93.68M,,,37.94M,353.15M,,,,,,,458.71M,-147.69M,311.02M,,202.73M,202.73M,,5.348M,519.10M,872.26M,,32.62M,,32.62M,,32.62M,,,1.816M,,1.816M,,,102.61M,137.06M,,255.70M,,255.70M,8.88M,8.88M,,,,49.07M,313.65M,450.70M,,197.83M,231.18M,,,,-7.45M,,-7.45M,421.56M,,,
2000-03,35.48M,,35.48M,,206.34M,,,,107.73M,,,39.57M,389.12M,,,,,,,443.61M,-138.60M,305.00M,,204.34M,204.34M,,5.111M,514.46M,903.57M,,51.37M,,51.37M,,51.37M,,,1.816M,,1.816M,,,102.71M,155.90M,,268.70M,,268.70M,8.88M,8.88M,,,,49.00M,326.58M,482.48M,,198.25M,230.35M,,,,-7.507M,,-7.507M,421.09M,,,
1999-12,28.60M,,28.60M,,224.40M,,,,130.20M,,,40.00M,423.20M,,,,,,,422.20M,-134.70M,287.50M,,205.70M,205.70M,,3.50M,496.70M,919.90M,,48.70M,,48.70M,,48.70M,,,1.80M,,1.80M,,,100.40M,150.90M,,265.90M,,265.90M,2.80M,2.80M,,,,49.00M,317.70M,468.60M,,204.30M,254.50M,,,,-7.50M,,-7.50M,451.30M,,,
1999-09,32.30M,,32.30M,,219.40M,,,,124.60M,,,38.70M,415.00M,,,,,,,408.00M,-127.70M,280.30M,,206.70M,206.70M,,3.40M,490.40M,905.40M,,39.70M,,39.70M,,39.70M,,,1.80M,,1.80M,,,104.70M,146.20M,,266.50M,,266.50M,2.80M,2.80M,,,,48.80M,318.10M,464.30M,,204.30M,243.60M,,,,-6.80M,,-6.80M,441.10M,,,
1999-06,17.60M,,17.60M,,210.80M,,,,122.00M,,,37.80M,388.20M,,,,,,,387.20M,-119.20M,268.00M,,206.50M,206.50M,,3.10M,477.60M,865.80M,,32.80M,,32.80M,,32.80M,,,2.20M,,2.20M,,,99.40M,134.40M,,256.50M,,256.50M,2.80M,2.80M,,,,48.60M,307.90M,442.30M,,,229.20M,,,,,,,423.50M,,,
1999-03,23.70M,,23.70M,,230.30M,,,,99.30M,,,40.10M,393.40M,,,,,,,372.40M,-111.10M,261.30M,,208.30M,208.30M,,3.00M,472.60M,866.00M,,47.40M,,47.40M,,47.40M,,,2.20M,,2.20M,,,107.50M,157.10M,,221.50M,,221.50M,2.80M,2.80M,,,,48.70M,273.00M,430.10M,,,219.90M,,,,,,,435.90M,,,
1998-12,15.00M,,15.00M,,208.70M,,,,113.30M,,,41.40M,378.40M,,,,,,,349.60M,-103.30M,246.30M,,213.20M,213.20M,,14.80M,474.30M,852.70M,,35.70M,,35.70M,,35.70M,,,2.20M,,2.20M,,,135.70M,173.60M,,211.70M,,211.70M,,,,,,51.50M,263.20M,436.80M,,,191.10M,,,,,,,415.90M,,,
1998-09,25.10M,,25.10M,,196.60M,,,,110.60M,,,40.70M,373.00M,,,,,,,322.40M,-97.60M,224.80M,,212.80M,212.80M,,14.40M,452.00M,825.00M,,37.50M,,37.50M,,37.50M,,,2.20M,,2.20M,,,136.50M,176.20M,,202.30M,,202.30M,,,,,,51.30M,253.60M,429.80M,,,168.10M,,,,,,,395.20M,,,
1998-06,21.82M,,21.82M,187.51M,187.51M,38.24M,21.53M,46.43M,106.21M,11.65M,23.54M,,350.74M,,,,,,,300.45M,-90.20M,210.25M,,173.55M,173.55M,5.722M,3.774M,393.30M,744.03M,,32.61M,,32.61M,128.92M,161.54M,,,2.20M,,2.20M,,,,163.74M,,152.85M,,152.85M,,,,,,50.89M,203.74M,367.48M,,234.40M,149.35M,,,,-7.196M,,-7.196M,376.55M,,,
1998-03,17.17M,,17.17M,203.99M,203.99M,33.01M,17.67M,36.73M,87.40M,12.15M,23.61M,,344.33M,,,,,,,289.66M,-84.37M,205.29M,,173.97M,173.97M,5.71M,3.019M,387.99M,732.32M,,37.21M,,37.21M,130.24M,167.45M,,,2.20M,,2.20M,,,,169.65M,,152.88M,,152.88M,,,,,,50.84M,203.72M,373.37M,,230.48M,135.01M,,,,-6.534M,,-6.534M,358.95M,,,
1997-12,16.60M,0.883M,17.48M,195.18M,195.18M,31.58M,18.50M,42.28M,92.36M,9.046M,24.58M,,338.64M,,,,,,,283.71M,-79.26M,204.44M,,179.82M,179.82M,5.772M,4.819M,394.85M,733.50M,,43.91M,,43.91M,149.02M,192.92M,,,2.10M,,2.10M,,,,195.02M,,153.20M,,153.20M,,,,,,49.76M,202.96M,397.99M,,227.02M,114.74M,,,,-6.245M,,-6.245M,335.51M,,,
1997-09,35.82M,0.933M,36.75M,177.40M,177.40M,30.98M,17.43M,38.49M,86.90M,8.667M,24.89M,,334.60M,,,,,,,280.86M,-81.50M,199.36M,,179.29M,179.29M,6.002M,4.299M,388.95M,723.55M,,39.49M,,39.49M,150.23M,189.72M,,,5.80M,,5.80M,,,,195.52M,,153.73M,,153.73M,,,,,,49.76M,203.49M,399.02M,,233.52M,96.57M,,,,-5.559M,,-5.559M,324.53M,,,
1997-06,24.43M,1.02M,25.45M,156.18M,156.18M,30.07M,17.31M,35.50M,82.88M,6.576M,24.89M,,295.97M,,,,,,,184.76M,-77.51M,107.24M,,118.48M,118.48M,14.86M,2.433M,243.02M,538.99M,,35.66M,,35.66M,111.49M,147.15M,,,,,,,,,147.15M,,35.85M,,35.85M,,,,,,49.99M,85.84M,232.99M,,229.88M,81.26M,,,,-5.137M,,-5.137M,306.00M,,,
1997-03,20.60M,,20.60M,164.20M,164.20M,,,,78.80M,,,36.40M,300.00M,,,,,,,177.20M,-74.30M,102.90M,,119.40M,119.40M,,17.20M,239.50M,539.50M,,39.30M,,39.30M,,39.30M,,,,,,,,119.40M,158.70M,,35.90M,,35.90M,,,,,,50.20M,86.10M,244.80M,,,69.50M,,,,,,,294.70M,,,
1996-12,34.80M,,34.80M,,147.90M,,,,88.80M,,,22.60M,294.10M,,,,,,,168.10M,-73.90M,94.20M,,132.10M,132.10M,,33.60M,259.90M,554.00M,,35.70M,,35.70M,,35.70M,,,1.40M,,1.40M,,,114.60M,151.70M,,43.10M,,43.10M,,,,,,69.70M,112.80M,264.50M,,,53.60M,,,,,,,289.50M,,,
1996-09,56.70M,,56.70M,,132.00M,,,,80.90M,,,23.20M,292.80M,,,,,,,141.60M,-63.50M,78.10M,,74.60M,74.60M,,34.40M,187.10M,479.90M,,33.80M,,33.80M,,33.80M,,,1.00M,,1.00M,,,116.10M,150.90M,,,,,,,,,,,68.60M,219.50M,,,40.10M,,,,,,,260.40M,,,
1996-06,142.80M,,142.80M,,126.60M,,,,77.80M,,,26.30M,373.50M,,,,,,,138.90M,-63.40M,75.50M,,71.70M,71.70M,,36.90M,184.10M,557.60M,,30.00M,,30.00M,,30.00M,,,100.30M,,100.30M,,,120.30M,250.60M,,,,,,,,,,,69.60M,320.20M,,,28.50M,,,,,,,237.40M,,,
1996-03,140.80M,,140.80M,,129.30M,,,,73.70M,,,23.90M,367.70M,,,,,,,159.00M,-65.30M,93.70M,,103.90M,103.90M,,27.40M,225.00M,592.70M,,31.70M,,31.70M,,31.70M,,,0.40M,,0.40M,,,103.60M,135.70M,,102.60M,,102.60M,,,,,,50.30M,152.90M,288.60M,,,100.10M,,,,,,,304.10M,,,
1995-12,0.90M,,0.90M,,23.80M,,,,6.90M,,,18.00M,49.60M,,,,,,,17.10M,-2.40M,14.70M,,,,,5.70M,20.40M,70.00M,,5.80M,,5.80M,,5.80M,,,,,,,,6.30M,12.10M,,,,,,,,,,,0.60M,12.70M,,,20.00M,,,,,,,57.30M,,,
1995-09,2.00M,,2.00M,,20.40M,,,,3.70M,,,17.60M,43.70M,,,,,,,15.90M,-2.40M,13.50M,,,,,6.00M,19.50M,63.20M,,3.40M,,3.40M,,3.40M,,,,,,,,5.50M,8.90M,,,,,,,,,,,0.70M,9.60M,,,16.60M,,,,,,,53.60M,,,
1995-06,1.60M,,1.60M,,16.90M,,,,3.90M,,,16.40M,38.80M,,,,,,,15.50M,-2.40M,13.10M,,,,,6.20M,19.30M,58.10M,,3.80M,,3.80M,,3.80M,,,,,,,,3.40M,7.20M,,,,,,,,,,,0.70M,7.90M,,,13.60M,,,,,,,50.20M,,,
