,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-09,300.00M,,453.00M,267.00M,267.00M,267.00M,148.00M,,-425.00M,-26.00M,10.00M,8.00M,3.00M,-24.00M,,-29.00M,714.00M,-437.00M,-42.00M,821.00M,,77.00M,-402.00M,-541.00M,,-541.00M,19.00M,,19.00M,,-58.00M,,-4.00M,-584.00M,495.00M,-272.00M,223.00M,19.00M,,-541.00M,,-23.00M,-310.00M
2003-06,275.00M,,24.00M,253.00M,253.00M,253.00M,131.00M,,13.00M,-35.00M,9.00M,74.00M,-20.00M,13.00M,,41.00M,737.00M,-451.00M,22.00M,-429.00M,,167.00M,-262.00M,-650.00M,,-650.00M,29.00M,,29.00M,,-59.00M,,395.00M,-285.00M,305.00M,190.00M,495.00M,29.00M,,-650.00M,,-10.00M,137.00M
2003-03,422.00M,,-477.00M,275.00M,275.00M,275.00M,67.00M,,7.00M,78.00M,-11.00M,43.00M,-36.00M,-48.00M,,26.00M,320.00M,-412.00M,20.00M,-392.00M,,-70.00M,-462.00M,-207.00M,,-207.00M,10.00M,,10.00M,,-58.00M,,335.00M,80.00M,367.00M,-62.00M,305.00M,10.00M,,-207.00M,,33.00M,173.00M
2002-12,302.00M,,282.00M,2.005B,2.005B,2.005B,141.00M,,-2.214B,48.00M,-23.00M,-119.00M,6.00M,-46.00M,,-134.00M,382.00M,-393.00M,118.00M,1.419B,,-3.00M,-278.00M,-164.00M,,-164.00M,-121.00M,,-121.00M,,-50.00M,,1.00M,-184.00M,447.00M,-80.00M,367.00M,-121.00M,,-164.00M,,-98.00M,-515.00M
2002-09,437.00M,,-152.00M,-1.457B,-1.457B,-1.457B,242.00M,,1.716B,-42.00M,-14.00M,-41.00M,-18.00M,42.00M,,-73.00M,713.00M,-329.00M,291.00M,-38.00M,,-104.00M,-142.00M,-335.00M,,-335.00M,121.00M,,121.00M,,-51.00M,,-230.00M,-495.00M,381.00M,76.00M,447.00M,121.00M,-877.00M,542.00M,,2.00M,175.00M
2002-06,304.00M,,-110.00M,898.00M,898.00M,898.00M,123.00M,,-598.00M,-91.00M,15.00M,79.00M,-41.00M,-66.00M,246.00M,142.00M,759.00M,-613.00M,,-613.00M,,182.00M,-431.00M,-396.00M,,-396.00M,,,,,-50.00M,,389.00M,-57.00M,110.00M,271.00M,381.00M,,877.00M,-1.273B,,49.00M,151.00M
2002-03,222.00M,,-20.00M,-299.00M,-299.00M,-299.00M,90.00M,,598.00M,,,,,,-246.00M,-246.00M,345.00M,-359.00M,,-359.00M,,-126.00M,-485.00M,-301.00M,,-301.00M,,,,,-50.00M,,488.00M,137.00M,113.00M,-3.00M,110.00M,,,-301.00M,,47.00M,189.00M
2001-12,243.00M,,313.00M,249.00M,249.00M,249.00M,75.00M,,,69.00M,17.00M,-27.00M,58.00M,-74.00M,10.00M,53.00M,503.00M,-218.00M,236.00M,1.59B,,-126.00M,-108.00M,-427.00M,10.00M,-417.00M,,,,,-50.00M,,4.00M,-411.00M,120.00M,-16.00M,103.00M,,-867.00M,440.00M,,-10.00M,-563.00M
2001-09,267.00M,,-197.00M,292.00M,292.00M,292.00M,141.00M,,,-50.00M,29.00M,-21.00M,-29.00M,90.00M,-3.00M,16.00M,519.00M,-562.00M,80.00M,-482.00M,,111.00M,-371.00M,-353.00M,-3.00M,-356.00M,,,,,-49.00M,,247.00M,-158.00M,130.00M,-10.00M,120.00M,,244.00M,-597.00M,,9.00M,192.00M
2001-06,243.00M,,-32.00M,293.00M,293.00M,293.00M,126.00M,,,-9.00M,31.00M,70.00M,-22.00M,-59.00M,-3.00M,8.00M,638.00M,-431.00M,,-431.00M,,22.00M,-409.00M,-225.00M,-3.00M,-228.00M,,,,,-50.00M,,106.00M,-172.00M,73.00M,57.00M,130.00M,,623.00M,-848.00M,,1.00M,174.00M
2001-03,181.00M,,-84.00M,292.00M,292.00M,292.00M,77.00M,,,-34.00M,20.00M,-137.00M,-35.00M,-71.00M,-4.00M,-261.00M,205.00M,-361.00M,,-361.00M,,-133.00M,-494.00M,-214.00M,-4.00M,-218.00M,,,,,-49.00M,,524.00M,257.00M,105.00M,-32.00M,73.00M,,,-214.00M,,,197.00M
2000-12,157.00M,,279.00M,290.00M,290.00M,290.00M,88.00M,,-398.00M,48.00M,-27.00M,59.00M,-38.00M,158.00M,4.00M,204.00M,620.00M,-380.00M,,1.614B,,-178.00M,-347.00M,-145.00M,4.00M,-141.00M,,,,,-49.00M,,-36.00M,-223.00M,55.00M,50.00M,105.00M,,,-145.00M,,-10.00M,-588.00M
2000-09,256.00M,,-107.00M,1.415B,1.415B,1.415B,159.00M,,-1.13B,-76.00M,-9.00M,-42.00M,22.00M,-47.00M,-4.00M,-156.00M,437.00M,-586.00M,,-586.00M,,230.00M,-356.00M,-112.00M,-4.00M,-116.00M,,,,,-49.00M,,67.00M,-98.00M,72.00M,-17.00M,55.00M,,,-112.00M,,10.00M,588.00M
2000-06,244.00M,,-111.00M,-847.00M,-847.00M,-847.00M,109.00M,,1.13B,49.00M,0.00,81.00M,20.00M,-23.00M,-11.00M,116.00M,641.00M,-457.00M,,-457.00M,,-123.00M,-580.00M,-371.00M,-11.00M,-382.00M,,,,,-49.00M,,382.00M,-49.00M,60.00M,12.00M,72.00M,,,-371.00M,,,
2000-03,185.00M,,-61.00M,282.00M,282.00M,282.00M,91.00M,,,-37.00M,13.00M,-25.00M,-28.00M,-76.00M,11.00M,-142.00M,355.00M,-360.00M,,-360.00M,,6.00M,-354.00M,-168.00M,11.00M,-157.00M,,,,,-52.00M,,93.00M,-116.00M,175.00M,-115.00M,60.00M,,,-168.00M,,,
1999-12,215.00M,,383.00M,1.892B,1.892B,1.892B,130.00M,,-2.297B,45.00M,-2.00M,-55.00M,-88.00M,51.00M,128.00M,79.00M,402.00M,1.35B,,1.35B,,177.00M,-307.00M,-101.00M,,-101.00M,,,,,-50.00M,,33.00M,-118.00M,198.00M,-23.00M,175.00M,,,-101.00M,,-119.00M,-577.00M
1999-09,245.00M,,-209.00M,-271.00M,-271.00M,-271.00M,238.00M,,643.00M,-65.00M,6.00M,-40.00M,129.00M,-59.00M,-128.00M,-157.00M,489.00M,-526.00M,,-526.00M,,60.00M,-466.00M,-63.00M,,-63.00M,,,,,-50.00M,,-43.00M,-156.00M,331.00M,-133.00M,198.00M,,,-63.00M,,119.00M,577.00M
1999-06,194.00M,,-124.00M,-268.00M,-268.00M,-268.00M,101.00M,,536.00M,71.00M,9.00M,48.00M,-3.00M,1.00M,,126.00M,565.00M,-452.00M,,-452.00M,,73.00M,-379.00M,-159.00M,,-159.00M,,,,,-49.00M,,246.00M,38.00M,107.00M,224.00M,331.00M,,,-159.00M,,,
1999-03,129.00M,,-50.00M,-270.00M,-270.00M,-270.00M,60.00M,,540.00M,11.00M,-7.00M,58.00M,-7.00M,-51.00M,,4.00M,413.00M,-372.00M,,-372.00M,,-90.00M,-462.00M,-369.00M,,-369.00M,,,,,-49.00M,,398.00M,-20.00M,176.00M,-69.00M,107.00M,,,-369.00M,,,
1998-12,-189.00M,,147.00M,1.87B,1.87B,1.87B,51.00M,,-1.891B,16.00M,-29.00M,-24.00M,-63.00M,-79.00M,,-179.00M,356.00M,-313.00M,,1.798B,,109.00M,-204.00M,-3.991B,,-3.991B,,,,,-50.00M,,3.508B,-533.00M,557.00M,-381.00M,176.00M,,-3.956B,-35.00M,,,
1998-09,34.00M,,-369.00M,-269.00M,-269.00M,-269.00M,16.00M,,800.00M,-22.00M,9.00M,-83.00M,18.00M,-8.00M,,-86.00M,126.00M,-532.00M,,-532.00M,,61.00M,-471.00M,644.00M,,644.00M,,,,,-50.00M,,8.00M,602.00M,,467.00M,557.00M,,600.00M,44.00M,,,
1998-06,-416.00M,,204.00M,-268.00M,-268.00M,-268.00M,-112.00M,,536.00M,90.00M,-27.00M,-76.00M,410.00M,-141.00M,,256.00M,200.00M,-1.266B,,-1.266B,531.00M,65.00M,-670.00M,680.00M,,680.00M,,,,,-49.00M,,-52.00M,579.00M,,,,,1.59B,-910.00M,,,
