,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-03,97.27M,92.45M,,,5.883M,5.883M,-7.966M,,-48.81M,,,,72.18M,48.81M,43.64M,,,,-3.983M,,,,21.06M,1.757M,5.515M,1.397M,22.82M,23.45M,63.99M,20.34M,43.64M,0.33,0.03,,0.3702,0.36,0.32,0.03,,0.359,0.35,59.50M,61.20M,0.53
2003-12,316.57M,53.24M,,,,7.791M,,,,,,,82.80M,37.26M,15.98M,,,,,,,,28.84M,25.86M,,1.418M,54.71M,28.84M,35.82M,19.84M,15.98M,0.4446,0.4288,,0.4446,0.8735,0.4446,0.33,,0.4446,0.8735,59.13M,60.05M,0.52
2003-09,1.561M,90.32M,,,,6.138M,-11.80M,,,,,,22.54M,46.79M,43.53M,,,,-11.80M,,,,26.14M,5.031M,-7.999M,1.397M,31.17M,33.21M,62.05M,18.52M,43.53M,0.43,0.09,,0.5536,0.52,0.43,0.08,,0.5513,0.51,57.25M,58.37M,0.52
2003-06,99.01M,91.20M,,,6.166M,6.166M,-14.85M,,-47.44M,,,,70.66M,47.44M,43.76M,,,,-7.427M,,,,22.97M,4.025M,7.404M,1.36M,26.99M,27.42M,62.66M,18.90M,43.76M,0.36,0.07,,0.4348,0.43,0.36,0.06,,0.433,0.42,59.61M,61.03M,0.52
2003-03,1.561M,91.46M,,,,4.135M,38.79M,,,,,,23.06M,45.20M,46.26M,,,,38.79M,,,,16.80M,1.126M,,,17.92M,-6.475M,65.12M,18.86M,46.26M,0.28,0.02,,-0.1095,0.3,0.28,0.02,,-0.1095,0.3,59.75M,59.75M,0.52
2002-12,107.56M,49.70M,,,6.982M,6.982M,,,-54.90M,,,,,282.71M,-233.01M,,,,3.830M,,,,26.89M,7.914M,9.170M,0.5821M,34.81M,24.60M,-212.79M,20.22M,-233.01M,0.4261,0.1217,,0.3871,0.5478,0.09,0.1217,,0.051,0.5478,58.89M,58.89M,0.51
2002-09,99.90M,99.90M,,,6.075M,6.075M,,,-46.81M,,,,,-40.74M,140.64M,,,,,,,,21.83M,5.619M,9.042M,0.7586M,27.45M,21.83M,159.45M,18.81M,140.64M,0.36,0.1,,0.36,0.46,0.36,0.1,,0.36,0.46,58.34M,60.17M,0.51
2002-06,92.14M,92.14M,,,5.222M,5.222M,,,-46.24M,,,,,-41.01M,133.15M,,,,,,,,15.25M,7.737M,8.881M,0.7586M,22.99M,15.25M,151.19M,18.04M,133.15M,0.25,0.13,,0.25,0.38,0.25,0.13,,0.25,0.38,58.12M,60.10M,0.51
2002-03,95.43M,94.59M,,,3.990M,3.990M,1.494M,,-44.20M,,,,68.82M,45.70M,48.89M,,,,2.560M,,,,22.10M,3.176M,9.129M,0.7586M,25.28M,20.56M,66.20M,17.31M,48.89M,0.37,0.05,,0.3437,0.42,0.37,0.05,,0.3437,0.42,58.38M,58.38M,0.51
2001-12,14.99M,14.99M,,,,,,,,,,,,265.46M,-250.48M,,,,,,,,-1.827M,28.35M,,,26.52M,-1.827M,-232.72M,17.76M,-250.48M,-0.0446,0.4907,,-0.0446,0.4461,-0.05,0.49,,-0.05,0.44,57.38M,58.47M,0.5
2001-09,94.26M,94.26M,,,4.470M,4.470M,-0.1369M,,-42.91M,,,,,-38.44M,132.70M,,,,-0.1369M,,,,24.44M,2.414M,9.108M,0.7438M,26.85M,24.52M,149.67M,16.97M,132.70M,0.41,0.04,,0.4114,0.45,0.41,0.04,,0.4114,0.45,57.59M,57.59M,0.5
2001-06,93.65M,93.65M,,,4.603M,4.603M,,,-43.42M,,,,,-38.81M,132.46M,,,,1.030M,,,,22.31M,1.839M,9.229M,0.7438M,24.15M,21.69M,149.34M,16.87M,132.46M,0.38,0.03,,0.3693,0.41,0.38,0.03,,0.3696,0.41,57.50M,59.27M,0.5
2001-03,95.04M,92.99M,,,4.315M,4.315M,,,-43.54M,,,,66.86M,43.54M,49.46M,,,,0.0687M,,,,22.41M,,9.019M,0.7338M,23.15M,23.10M,65.35M,15.90M,49.46M,0.39,0.0,,0.3893,0.39,0.39,0.0,,0.3893,0.39,57.47M,57.47M,0.5
2000-12,28.23M,31.05M,,,,,,,,,,,,34.85M,-3.800M,,,,,,,,3.557M,,,,24.59M,1.458M,12.47M,16.27M,-3.800M,0.0137,0.4066,,0.0137,0.4203,0.01,0.4066,,0.01,0.01,56.93M,56.93M,0.48
2000-09,93.80M,92.64M,,,4.997M,4.997M,,,-41.60M,,,,63.43M,41.60M,51.04M,,,,,,,,23.88M,,8.827M,0.6995M,24.58M,24.58M,65.81M,14.78M,51.04M,0.42,0.0,,0.42,0.42,0.42,0.0,,0.42,0.42,56.86M,56.86M,0.48
2000-06,87.08M,86.26M,,,3.761M,3.761M,-6.891M,,-38.20M,,,,51.12M,31.31M,54.96M,,,,-6.891M,,,,15.42M,,7.676M,0.6995M,16.12M,20.25M,69.58M,14.63M,54.96M,0.27,0.0,,0.3424,0.27,0.27,0.0,,0.3424,0.27,57.10M,57.10M,0.48
2000-03,82.04M,81.20M,,,4.496M,4.496M,,,-36.79M,,,,55.32M,36.79M,44.41M,,,,,,,,21.62M,,7.244M,0.6995M,22.32M,22.32M,58.17M,13.76M,44.41M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,56.90M,56.90M,0.48
1999-12,92.00M,90.09M,,,5.674M,5.674M,,,-39.20M,,,,,218.82M,-128.73M,,,,,,,,26.50M,,9.70M,0.6446M,26.55M,26.55M,-115.02M,13.71M,-128.73M,0.45,0.0,,0.45,0.45,0.45,0.0,,0.45,0.45,58.07M,58.07M,0.46
1999-09,79.80M,79.80M,,,4.80M,4.80M,,,-36.50M,,,,,-31.70M,111.50M,,,,,,,,24.60M,,3.00M,0.70M,24.60M,24.60M,133.50M,22.00M,111.50M,0.4,0.0,,0.4,0.4,0.4,0.0,,0.4,0.4,59.75M,59.75M,0.46
1999-06,80.32M,80.32M,,,5.10M,5.10M,,,-35.10M,,,,,-30.00M,110.32M,,,,,,,,25.00M,,2.90M,0.70M,25.00M,25.00M,113.82M,3.50M,110.32M,0.41,0.0,,0.41,0.41,0.41,0.0,,0.41,0.41,59.27M,59.27M,0.46
1999-03,51.90M,51.90M,,,3.80M,3.80M,,,-25.00M,,,,,-21.20M,73.10M,,,,,,,,13.70M,,2.50M,0.20M,13.70M,13.70M,82.50M,9.40M,73.10M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,57.83M,57.83M,0.46
1998-12,40.60M,27.90M,,,4.264M,4.264M,,,-20.20M,,,,,111.45M,-83.56M,,,,,,,,10.20M,,2.10M,,10.19M,10.19M,-77.33M,6.224M,-83.56M,0.35,0.0,,0.35,0.35,0.33,0.0,,0.33,0.33,28.84M,30.28M,0.44
1998-09,37.60M,37.60M,,,3.30M,3.30M,,,-17.80M,,,,,-14.50M,52.10M,,,,,,,,10.10M,,2.40M,,10.10M,10.10M,58.70M,6.60M,52.10M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,29.71M,29.71M,0.44
1998-06,36.30M,36.30M,,,3.50M,3.50M,,,-17.10M,,,,,-13.60M,49.90M,,,,0.50M,,,,10.80M,,0.40M,,10.80M,10.50M,55.60M,5.70M,49.90M,0.38,0.0,,0.3694,0.38,0.36,0.0,,0.35,0.36,28.42M,30.00M,0.44
