,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-09,44.31M,,,,,,,,22.25M,22.25M,,,,,,-2.248M,3.593M,,2.146M,-11.82M,2.162M,-5.979M,-9.896M,54.42M,-146.06M,,-146.06M,,,86.76M,,-59.30M,-5.54M,59.00M,53.46M,0.169M,,0.169M,,,,-39.98M,0.00,-39.98M,,-6.994M,6.65M,36.59M,1.766M,38.36M,0.169M,,-5.54M,,,
2006-06,37.05M,,,,,,,,21.75M,21.75M,,,,,,7.992M,-6.286M,,19.67M,-8.834M,-10.03M,17.72M,12.24M,79.03M,-101.57M,,-101.57M,,,27.49M,,-74.08M,-6.06M,-59.00M,-65.06M,0.985M,,0.985M,,,,-39.81M,-5.85M,-45.66M,,53.32M,-56.41M,88.06M,-51.46M,36.59M,0.985M,,-6.06M,,,
2006-03,70.78M,,,,,,,,21.15M,21.15M,,,,,,-30.59M,4.844M,,-29.97M,,,-6.457M,-31.59M,29.75M,-77.15M,,-77.15M,,,204.26M,,127.12M,-12.95M,,-12.95M,1.637M,,1.637M,,,,-39.60M,-5.85M,-45.45M,,-54.51M,-111.26M,42.46M,45.60M,88.06M,1.637M,,-12.95M,,,
2005-12,48.36M,,,,,,,,20.84M,20.84M,,,,,,-7.902M,-4.278M,,7.791M,-8.166M,8.439M,-4.239M,-0.453M,60.84M,-110.04M,,-110.04M,,,78.41M,,-40.08M,-6.83M,,-6.83M,-51.73M,54.00M,2.268M,-0.062M,0.00,-0.062M,-34.58M,-5.85M,-40.43M,,35.52M,-9.527M,31.23M,11.22M,42.46M,-51.79M,0.668M,-7.498M,54.00M,,
2005-09,32.06M,,,,,,,,20.72M,20.72M,,,,,,-2.433M,-0.179M,,2.585M,-6.433M,1.959M,-1.929M,-3.997M,46.35M,-99.93M,,-99.93M,,,65.48M,,-34.45M,-13.10M,,-13.10M,253.78M,-54.00M,199.78M,126.78M,-54.00M,72.78M,-37.04M,-6.053M,-43.09M,,-223.28M,-6.918M,26.25M,4.981M,31.23M,380.56M,-330.00M,316.90M,-108.00M,,
2005-06,43.88M,,,,,,,,20.63M,20.63M,,,,,,0.003M,-7.589M,,24.20M,-10.06M,24.27M,-17.09M,13.73M,78.24M,-60.00M,,-60.00M,,,-353.83M,,-413.83M,-16.23M,,-16.23M,0.426M,,0.426M,,,,-34.74M,-5.776M,-40.51M,,364.56M,308.25M,53.59M,-27.34M,26.25M,0.426M,340.00M,-356.23M,,,
2005-03,38.35M,,,,,,,,22.27M,22.27M,,,,,,-8.376M,10.86M,,-35.40M,3.221M,-35.49M,24.54M,-32.27M,19.97M,-56.69M,,-56.69M,,,60.28M,,3.592M,-1.836M,,-1.836M,3.128M,,3.128M,,,,-34.65M,-5.774M,-40.43M,,-26.16M,-65.29M,95.32M,-41.73M,53.59M,3.128M,,-1.836M,,,
2004-12,49.31M,,,,,,,,23.86M,23.86M,,,,,,-11.59M,-15.37M,,-4.654M,-11.34M,-4.884M,6.481M,-29.76M,31.81M,-67.47M,,-67.47M,,,73.03M,51.02M,56.58M,-24.24M,,-24.24M,-122.34M,125.00M,2.66M,-125.12M,125.00M,-0.119M,96.25M,19.36M,-38.85M,,17.30M,-43.25M,50.18M,45.14M,95.32M,-247.46M,183.02M,-207.26M,250.00M,,
2004-09,37.75M,,,,,,,,20.51M,20.51M,,,,,,-5.924M,-7.531M,,-4.006M,-10.51M,-4.013M,11.54M,-14.52M,37.81M,-67.17M,,-67.17M,,23.42M,86.90M,-23.42M,19.74M,47.49M,,47.49M,181.67M,-114.17M,67.50M,120.83M,-125.00M,-4.169M,-32.26M,-6.399M,-38.66M,,-84.90M,-12.74M,5.38M,44.80M,50.18M,302.50M,49.00M,-1.512M,-239.17M,,
2004-06,26.46M,,,,,,,,19.92M,19.92M,,,,,,3.277M,-4.721M,,33.87M,-5.61M,33.95M,-29.15M,28.34M,77.99M,-142.24M,,-142.24M,,43.87M,42.64M,-44.47M,-100.20M,-32.77M,,-32.77M,3.787M,-3.047M,0.74M,,,,-32.21M,-6.479M,-38.69M,,54.77M,-15.95M,43.54M,-38.16M,5.38M,3.787M,-29.15M,-3.623M,-3.047M,,
2004-03,22.82M,,,,,,,,20.34M,20.34M,,,,,,1.893M,17.02M,,-28.16M,16.86M,-28.00M,11.13M,-11.14M,33.91M,-63.34M,,-63.34M,,-67.29M,48.30M,67.89M,-14.43M,33.50M,,33.50M,18.54M,-7.784M,10.76M,,,,-31.78M,-6.478M,-38.25M,,-11.82M,-5.813M,29.87M,13.67M,43.54M,18.54M,35.00M,-1.497M,-7.784M,,
2003-12,54.71M,,,,,,,,19.84M,19.84M,,,,,,-31.29M,-21.96M,,19.91M,-16.37M,12.24M,7.358M,1.188M,44.44M,146.08M,,146.08M,,-328.92M,41.77M,144.54M,3.48M,99.68M,,99.68M,2.355M,0.00,2.355M,-157.54M,155.75M,-1.794M,93.81M,23.63M,-11.62M,,-152.56M,-63.94M,45.89M,-16.02M,29.87M,-155.19M,115.00M,-15.32M,155.75M,,
2003-09,31.17M,,,,,,,,18.52M,18.52M,,,,,,-0.998M,-9.124M,,15.41M,-12.70M,22.30M,-15.71M,0.169M,48.85M,-94.54M,,-94.54M,,22.48M,93.59M,-67.71M,-46.18M,24.35M,,24.35M,124.10M,0.00,124.10M,-0.10M,-155.75M,-155.85M,-30.97M,-7.454M,-38.43M,,43.11M,-2.712M,45.93M,-0.039M,45.89M,124.00M,30.82M,-6.475M,-155.75M,,
2003-06,26.99M,,,,,,,,18.90M,18.90M,,,,,,-0.822M,1.84M,,-23.07M,12.70M,-22.30M,39.06M,8.228M,53.30M,-51.33M,,-51.33M,,-22.48M,69.51M,41.95M,37.66M,-3.10M,,-3.10M,-0.001M,-150.50M,-150.50M,72.40M,,72.40M,-31.46M,-8.066M,-39.52M,,47.42M,-73.31M,28.27M,17.65M,45.93M,72.39M,0.00,-3.10M,-150.50M,,
2003-03,17.92M,,,,,,,,18.86M,18.86M,,,,,,15.09M,12.88M,,,,,-30.70M,-17.83M,34.05M,-101.88M,,-101.88M,,,32.16M,25.75M,-43.97M,-2.039M,,-2.039M,0.969M,,0.969M,,,,-31.38M,-8.11M,-39.49M,,22.30M,-18.26M,56.45M,-28.17M,28.27M,0.969M,,-2.039M,,,
2002-12,34.81M,,,,,,,,20.22M,20.22M,,,,,,12.86M,-12.85M,,-0.2492M,-12.85M,-0.2492M,,-26.21M,41.69M,-6.520M,,-6.520M,,-301.81M,,373.31M,64.98M,-57.10M,,-57.10M,-0.0001M,0.00,-0.0001M,,,,,,-30.66M,,-9.330M,-97.09M,46.87M,9.577M,56.45M,-0.0001M,7.082M,-64.18M,0.00,,
2002-09,27.45M,,,,,,,,18.81M,18.81M,,,,,,23.21M,-7.328M,,-6.475M,-7.328M,-6.475M,,-27.61M,41.86M,-3.948M,,-3.948M,,122.94M,,-98.93M,20.07M,-50.80M,,-50.80M,6.432M,0.0832M,6.515M,,,,,,-12.22M,,-27.78M,-84.28M,69.22M,-22.35M,46.87M,6.432M,0.00,-50.80M,0.0832M,,
2002-06,22.99M,,,,,,,,18.04M,18.04M,,,,,,18.73M,-3.213M,,17.40M,-2.798M,17.40M,-24.36M,4.424M,64.18M,94.07M,-2.388M,38.78M,,-73.70M,-37.36M,59.14M,39.75M,-208.62M,,-208.62M,0.00,-0.0832M,-0.0832M,0.0832M,,0.0832M,29.46M,9.127M,-40.37M,,184.62M,-64.37M,29.66M,39.56M,69.22M,0.0832M,0.00,-208.62M,-0.0832M,,
2002-03,25.28M,,,,,,,,17.31M,17.31M,,,,,,7.502M,1.407M,,-25.77M,0.9915M,-25.77M,24.36M,-24.78M,25.31M,-102.13M,2.388M,-46.85M,,-49.24M,37.36M,97.42M,-14.20M,215.29M,,215.29M,3.500M,-2.725M,0.7755M,-0.0832M,,-0.0832M,-29.46M,-9.127M,-38.59M,,-186.69M,-9.295M,27.85M,1.811M,29.66M,3.417M,249.62M,-34.34M,-2.725M,,
2001-12,26.52M,,,,,,,,17.76M,17.76M,,,,,,-8.556M,-3.758M,,13.50M,-19.66M,13.80M,10.08M,13.95M,49.68M,-567.44M,,-73.91M,,-332.70M,36.42M,595.33M,-123.41M,-99.20M,,-99.20M,0.0121M,-0.1173M,-0.1052M,,,,-114.86M,-36.44M,-63.01M,,227.63M,65.31M,36.28M,-8.425M,27.85M,0.0080M,24.15M,-123.35M,-0.1173M,,
2001-09,26.85M,,,,,,,,16.97M,16.97M,,,,,,23.54M,-10.63M,,-2.091M,-10.63M,-2.091M,,-25.44M,41.92M,-106.90M,,-106.90M,,128.58M,,-20.20M,1.481M,219.01M,,219.01M,0.0149M,0.00,0.0149M,,,,,,-29.52M,,-209.75M,-20.25M,13.13M,23.15M,36.28M,0.0149M,-4.325M,223.33M,0.00,,
2001-06,24.15M,,,,,,,,16.87M,16.87M,,,,,,17.45M,-6.873M,,-1.285M,-9.827M,-1.285M,1.063M,-18.21M,40.27M,53.79M,,22.05M,,-98.75M,4.477M,18.83M,-21.65M,-7.388M,244.97M,237.58M,0.0383M,-0.0381M,0.0002M,,,,28.55M,9.103M,-21.12M,,-274.63M,-58.16M,52.68M,-39.55M,13.13M,0.0383M,4.276M,-11.66M,-0.0381M,,
2001-03,23.15M,,,,,,,,15.90M,15.90M,,,,,,9.130M,11.96M,,-10.89M,14.91M,-10.89M,-1.063M,4.018M,52.19M,-60.69M,,-28.96M,,-27.41M,-4.477M,73.86M,-18.72M,-38.26M,-244.97M,-283.23M,,0.00,0.00,,,,-28.55M,-9.103M,-37.65M,,239.10M,-81.78M,100.99M,-48.31M,52.68M,,215.48M,-253.74M,0.00,,
2000-12,24.59M,,,,,,,,16.27M,16.27M,,,,,,13.48M,-9.720M,,14.58M,-18.07M,14.58M,-4.860M,-3.493M,50.85M,-137.68M,,-65.73M,,-305.63M,-21.88M,409.08M,-56.10M,66.92M,,66.92M,0.0028M,0.00,0.0028M,-0.0305M,,-0.0305M,-27.64M,-9.088M,-36.73M,,39.20M,69.37M,36.87M,64.12M,100.99M,-0.0277M,181.03M,-114.11M,0.00,,
2000-09,24.58M,,,,,,,,14.78M,14.78M,,,,,,7.501M,3.214M,,-6.623M,0.7570M,-6.623M,3.410M,-5.866M,40.99M,-213.04M,,-103.36M,,135.13M,-26.20M,-31.77M,-135.87M,111.33M,,111.33M,-0.0002M,-0.4537M,-0.4539M,23.38M,,23.38M,-27.15M,-8.677M,-35.83M,,-4.584M,93.84M,37.91M,-1.037M,36.87M,23.38M,71.90M,39.43M,-0.4537M,,
2000-06,16.12M,,,,,,,,14.63M,14.63M,,,,,,16.29M,-2.551M,,5.463M,-6.168M,5.463M,-1.697M,0.5102M,47.54M,-211.44M,,-103.95M,,-103.95M,-22.13M,240.05M,-97.47M,92.99M,,92.99M,-10.62M,0.00,-10.62M,68.24M,,68.24M,-27.14M,-7.641M,-34.78M,,-55.80M,60.03M,27.81M,10.10M,37.91M,57.62M,129.88M,-36.89M,0.00,,
2000-03,22.32M,,,,,,,,13.76M,13.76M,,,,,,8.131M,4.887M,,-7.975M,4.126M,-7.975M,1.873M,-5.064M,39.15M,-65.43M,,-31.18M,,-31.18M,-2.589M,53.37M,-45.82M,6.563M,,6.563M,10.65M,-10.63M,0.0122M,,,,-27.15M,-7.012M,-34.17M,,7.951M,-19.64M,54.12M,-26.31M,27.81M,10.65M,13.89M,-7.329M,-10.63M,,
1999-12,26.55M,,,,,,,,13.71M,13.71M,,,,,,4.035M,-0.9424M,,7.40M,-5.90M,7.40M,,6.810M,51.10M,-179.08M,,3.828M,,,-30.75M,181.52M,-28.31M,99.22M,,99.22M,0.1234M,,-54.41M,-0.2837M,,-0.2837M,,,-31.10M,,-5.616M,7.807M,23.60M,30.60M,54.12M,-0.1604M,-2.109M,101.33M,,,
1999-09,24.60M,,,,,,,,22.00M,22.00M,,,,,,-1.80M,-1.90M,,-2.50M,-1.90M,-2.50M,,-8.80M,36.00M,-73.50M,,-73.50M,,,,-13.60M,-87.10M,-110.90M,,-110.90M,0.00,,0.00,205.30M,,205.30M,,,-32.50M,,-2.10M,59.80M,14.80M,8.70M,23.60M,205.30M,2.60M,-113.50M,,,
1999-06,25.00M,,,,,,,,3.50M,3.50M,,,,,,12.00M,-4.30M,,2.80M,-4.30M,2.80M,,-3.00M,37.50M,-66.50M,,-66.50M,,,-0.70M,6.20M,-61.00M,38.10M,,38.10M,0.10M,,0.10M,,,,,,-32.80M,,0.60M,6.00M,,-5.10M,14.80M,0.10M,197.70M,-159.60M,,,
1999-03,13.70M,,,,,,,,9.40M,9.40M,,,,,,2.40M,-5.20M,,5.80M,-5.20M,5.80M,,1.20M,26.70M,-25.20M,,-25.20M,,,0.70M,-15.70M,-40.20M,43.20M,,43.20M,,,,,,,,,-13.20M,,-4.10M,25.90M,19.90M,,,,52.10M,-8.90M,,,
1998-12,10.19M,,,,,,,,6.224M,6.224M,,,,,,7.999M,9.456M,,-12.70M,3.10M,-12.70M,,-13.01M,11.40M,-287.32M,,-49.65M,,,-59.38M,279.21M,-67.49M,-62.76M,,-62.76M,0.5255M,,0.5255M,0.00,,0.00,,,-12.35M,,132.20M,57.62M,18.40M,1.534M,19.92M,0.5255M,-62.36M,-0.40M,,,
1998-09,10.00M,,,,,,,,6.60M,6.60M,,,,,,-3.90M,-7.80M,,11.90M,-7.80M,11.90M,,8.20M,20.90M,-55.30M,,-55.30M,,,30.70M,-29.30M,-53.90M,54.10M,,54.10M,0.00,,0.00,0.00,,0.00,,,-15.10M,,-0.40M,38.60M,,1.80M,18.40M,0.00,58.20M,-4.10M,,,
1998-06,10.80M,,,,,,,,5.70M,5.70M,,,,,,2.30M,-4.80M,,3.70M,-4.80M,3.70M,,-2.20M,16.60M,-59.80M,,-59.80M,,,,-9.00M,-68.80M,-27.30M,,-27.30M,9.70M,,9.70M,78.80M,,78.80M,,,-13.00M,,0.20M,48.40M,,,,88.50M,5.00M,-32.30M,,,
