,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-06,2.32M,467.53M,,,9.338M,9.338M,132.77M,,,,,,,,191.43M,333.54M,134.00M,,,,,,,,28.81M,131.35M,,-2.33M,10.07M,160.16M,28.81M,284.90M,150.90M,134.00M,,0.07,0.45,,,0.07,0.52,,0.06,0.45,,,0.06,0.51,,289.46M,314.70M,0.4425,,AOR,Restated
2006-03,464.91M,462.46M,,,13.04M,13.04M,128.68M,,,-0.566M,-335.66M,,,,529.60M,335.66M,126.80M,,,,-0.467M,,,,17.56M,360.26M,,-3.837M,10.10M,377.82M,17.84M,273.82M,147.02M,126.80M,,0.03,1.24,,,0.0310,1.27,,0.03,1.22,,,0.0309,1.25,,288.88M,314.05M,0.4425,,AOR,Restated
2005-12,,,,,,,,,,,,,,,,,,,,,,,,,-31.01M,256.89M,,,,225.89M,-31.01M,,,,,-0.14,0.89,,,-0.14,0.75,,-0.14,0.88,,,-0.14,0.74,,287.05M,312.51M,0.4425,,AOR,Restated
2005-09,433.08M,430.76M,,,14.44M,14.44M,111.37M,,,,-321.68M,,,,517.55M,321.68M,109.08M,,,,,,,,14.83M,252.69M,,-2.626M,12.96M,267.52M,14.83M,241.24M,132.17M,109.08M,,-0.01,0.88,,,-0.01,0.87,,-0.01,0.88,,,-0.01,0.87,,286.18M,286.18M,0.4325,,AOR,Restated
2005-06,417.86M,415.23M,,,13.76M,13.76M,107.83M,,,,-300.53M,,,,477.91M,298.97M,116.26M,,,,-0.157M,,,,28.16M,116.96M,,-3.779M,13.02M,141.34M,24.48M,246.70M,130.44M,116.26M,,0.04,0.41,,,0.0403,0.45,,0.04,0.40,,,0.0403,0.44,,285.28M,309.98M,0.4325,,AOR,Restated
2005-03,513.85M,443.96M,,,18.07M,18.07M,115.23M,,,,-327.50M,,,,520.03M,325.83M,118.14M,,,,10.43M,,,,96.83M,8.642M,,-9.565M,13.02M,227.04M,212.14M,247.44M,129.30M,118.14M,,0.26,0.49,,,0.2380,0.75,,0.26,0.48,,,0.2397,0.74,,284.51M,308.58M,0.4325,,AOR,Restated
2004-12,,,,,,,,,,,,,,,,,,,,,,,,,-67.68M,218.31M,,,,150.63M,-67.68M,,,,,-0.14,0.63,,,-0.14,0.49,,-0.14,0.63,,,-0.14,0.49,,282.35M,282.35M,0.4325,,AOR,Restated
2004-09,459.55M,456.56M,,,11.96M,11.96M,116.17M,,,,-341.23M,,,,554.33M,341.23M,115.33M,,,,0.002M,,,,23.83M,63.68M,,-10.85M,13.35M,87.51M,23.83M,241.63M,126.30M,115.33M,,0.05,0.21,,,0.0500,0.26,,0.05,0.21,,,0.0500,0.26,,280.17M,304.03M,0.4325,,AOR,Restated
2004-06,464.28M,460.19M,,,12.88M,12.88M,115.88M,,,,-328.53M,,,,526.72M,326.94M,133.25M,,,,1.58M,,,,40.12M,82.08M,,-12.74M,13.65M,122.21M,39.18M,258.29M,125.04M,133.25M,,0.12,0.27,,,0.1166,0.39,,0.11,0.27,,,0.1069,0.39,,278.95M,302.20M,0.4325,,AOR,Restated
2004-03,435.95M,438.95M,,,10.14M,10.14M,110.11M,,,,-308.84M,,,,496.14M,307.55M,131.40M,,,,-4.972M,,,,35.35M,76.63M,,-12.87M,13.67M,111.98M,38.33M,248.71M,117.31M,131.40M,,0.10,0.25,,,0.1108,0.35,,0.10,0.25,,,0.1099,0.35,,277.50M,301.78M,0.4325,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,-81.87M,211.57M,,,,129.70M,-81.87M,,,,,-0.51,0.84,,,-0.51,0.33,,-0.51,0.84,,,-0.51,0.33,,274.48M,274.48M,0.4325,,AOR,Restated
2003-09,445.38M,438.77M,,,9.133M,9.133M,106.15M,,,-0.291M,-303.27M,,,,489.41M,301.42M,137.35M,,,,-0.293M,,,,44.68M,87.46M,,-14.12M,19.56M,132.14M,44.85M,255.41M,118.06M,137.35M,,0.12,0.29,,,0.1206,0.41,,0.12,0.29,,,0.1206,0.41,,272.79M,297.94M,0.4325,,AOR,Restated
2003-06,445.52M,440.12M,,,8.97M,8.97M,105.93M,,,-0.29M,-298.04M,,,,479.60M,296.46M,143.66M,,,,1.322M,,,,54.66M,81.73M,,-9.299M,24.24M,136.39M,53.87M,262.14M,118.47M,143.66M,,0.13,0.28,,,0.1271,0.41,,0.13,0.28,,,0.1273,0.41,,271.38M,296.08M,0.4325,,AOR,Restated
2003-03,2.488M,438.29M,,,,11.18M,105.78M,,,,,,,,184.19M,301.14M,137.15M,,,,,,,,51.82M,83.52M,,-9.225M,24.18M,135.35M,51.82M,256.06M,118.92M,137.15M,,0.13,0.28,,,0.13,0.41,,0.13,0.28,,,0.13,0.41,,270.68M,294.51M,0.4325,,AOR,Restated
2002-12,426.13M,-112.70M,,,13.49M,13.49M,,,,,-213.27M,,,,,-199.78M,87.08M,,,,19.35M,,,,-11.26M,109.20M,,166.11M,3.646M,97.94M,-11.26M,208.55M,121.46M,87.08M,,-0.39,0.74,,,-0.39,0.35,,-0.39,0.74,,,-0.39,0.34,,269.68M,295.81M,0.4325,,AOR,Restated
2002-09,471.26M,471.26M,,,10.67M,10.67M,,,,-17.41M,-319.06M,,,,,-308.38M,779.64M,,,,-17.41M,,,,44.76M,43.90M,,5.542M,24.19M,88.66M,55.21M,899.14M,119.50M,779.64M,,0.09,0.15,,,0.1283,0.24,,0.08,0.14,,,0.1149,0.22,,272.94M,299.06M,0.4325,,AOR,
2002-06,483.81M,483.81M,,,11.53M,11.53M,,,,,-310.86M,,,,,-299.33M,783.14M,,,,-0.411M,,,,76.94M,36.36M,,7.862M,24.26M,113.30M,77.18M,902.65M,119.50M,783.14M,,0.20,0.13,,,0.2009,0.33,,0.20,0.13,,,0.2008,0.33,,273.15M,299.49M,0.4325,,AOR,
2002-03,496.84M,496.84M,,,10.80M,10.80M,,,,-0.291M,-316.88M,,,,,-306.08M,802.92M,,,,5.366M,,,,88.10M,12.78M,,7.247M,24.52M,100.88M,84.88M,920.65M,117.73M,802.92M,,0.22,0.06,,,0.2081,0.28,,0.22,0.06,,,0.2092,0.28,,271.09M,297.23M,0.4325,,AOR,
2001-12,487.91M,33.76M,,,11.81M,11.81M,,,,-13.99M,-298.30M,,,,,-286.49M,320.26M,,,,-13.60M,,,,-79.61M,61.66M,0.00,10.89M,24.36M,123.35M,69.62M,440.96M,120.70M,320.26M,,0.1846,0.227,0.00,0.0017,0.2155,0.4134,,0.1846,0.227,0.00,0.0017,0.2155,0.4134,,271.62M,271.62M,0.4325,,AOR,Restated
2001-09,525.95M,525.95M,,,9.525M,9.525M,,,,0.925M,-333.52M,,,,,-323.99M,849.94M,,,,0.925M,,,,96.67M,-2.69M,,7.477M,24.34M,93.85M,96.11M,970.57M,120.63M,849.94M,,0.26,0.00,,-0.0005,0.2579,0.26,,0.26,0.00,,-0.0005,0.2581,0.26,,268.25M,296.39M,0.4325,,AOR,
2001-06,555.75M,544.41M,,,7.325M,7.325M,113.35M,0.991M,,,-350.70M,,,,578.32M,349.28M,195.13M,,,,4.787M,,,,103.14M,,-0.205M,-6.811M,28.89M,102.93M,100.47M,311.15M,116.02M,195.13M,,0.28,0.00,0.00,-0.0008,0.2692,0.28,,0.275,0.00,-0.0008,-0.0008,0.2652,0.275,,266.36M,293.94M,0.4075,,AOR,
2001-03,522.24M,522.24M,,,6.754M,6.754M,,,,,-328.13M,,,,,-321.37M,843.62M,,,,,,,,94.32M,41.92M,-1.27M,9.901M,28.53M,135.28M,94.32M,960.32M,116.71M,843.62M,,0.26,0.14,0.00,0.0012,0.26,0.40,,0.26,0.14,-0.0048,0.0010,0.26,0.40,,265.20M,297.18M,0.4075,,AOR,
2000-12,1.925B,91.47M,,,6.946M,6.946M,,,,-1.00M,,,,,,-2.111B,2.202B,,,,,,,,-168.38M,,,77.31M,28.34M,78.59M,-148.70M,2.319B,116.96M,2.202B,,0.235,0.00,,,0.2373,0.235,,0.23,0.00,,,0.2317,0.23,,259.45M,362.31M,0.4075,,AOR,Restated
2000-09,1.876M,537.25M,,,6.223M,6.223M,111.33M,0.767M,,0.00,,,,,216.77M,335.09M,202.16M,,,,,,105.73M,-0.518M,178.03M,,,-16.70M,27.94M,205.98M,205.98M,314.26M,110.30M,202.16M,,0.675,0.00,,,0.675,0.675,,0.665,0.00,,,0.665,0.665,,262.82M,267.72M,0.4075,,AOR,
2000-06,560.77M,560.77M,,,6.518M,6.518M,,,,,-301.03M,,,,,-294.51M,855.28M,,,,67.65M,,,,152.66M,,,11.92M,27.27M,152.66M,112.07M,968.74M,113.46M,855.28M,,0.485,0.00,,,0.3166,0.485,,0.48,0.00,,,0.3116,0.48,,241.12M,241.12M,0.38,,AOR,
2000-03,505.41M,505.41M,,,6.698M,6.698M,,,,,-300.77M,,,,,-294.07M,799.48M,,,,20.00M,,,,101.14M,,,7.051M,28.39M,101.14M,89.14M,912.33M,112.85M,799.48M,,0.285,0.00,,,0.2381,0.285,,0.285,0.00,,,0.2424,0.285,,255.60M,281.37M,0.38,,AOR,
1999-12,508.70M,170.75M,,,6.60M,6.60M,,,,0.00,-296.10M,,,,,-289.50M,460.25M,,,,29.20M,,,,-61.61M,,,7.90M,28.00M,108.28M,90.26M,571.25M,111.00M,460.25M,,-0.315,0.63,,,-0.3831,0.315,,-0.315,0.62,,,-0.3635,0.31,,257.40M,360.90M,0.38,,AOR,Restated
1999-09,453.70M,453.70M,,,5.00M,5.00M,,,,,-266.60M,,,,,-261.60M,715.30M,,,,18.50M,,,,95.90M,,,7.00M,28.00M,95.90M,84.80M,816.46M,101.16M,715.30M,,0.28,0.00,,,0.2342,0.28,,0.275,0.00,,,0.2300,0.275,,242.50M,246.91M,0.38,,,
1999-06,446.61M,446.61M,,,5.00M,5.00M,,,,,-262.10M,,,,,-257.10M,703.71M,,,,24.40M,,,,97.10M,,,7.40M,27.70M,96.60M,82.46M,804.45M,100.74M,703.71M,,0.285,0.00,,-0.0021,0.2244,0.285,,0.285,0.00,,-0.0021,0.2244,0.285,,241.75M,241.75M,0.355,,,
1999-03,437.55M,437.55M,,,5.90M,5.90M,,,,,-256.90M,,,,,-251.00M,688.55M,,,,21.40M,,,,93.60M,,,7.10M,29.40M,93.60M,80.76M,785.95M,97.40M,688.55M,,0.27,0.00,,,0.216,0.27,,0.27,0.00,,,0.216,0.27,,237.78M,237.78M,0.355,,,
1998-12,414.00M,388.69M,,,7.20M,7.20M,,,,,-254.70M,,,,,-247.50M,636.19M,,,,9.00M,,,,76.30M,,,5.70M,27.80M,76.31M,70.91M,727.39M,91.20M,636.19M,,0.22,0.00,,,0.1964,0.22,,0.215,0.00,,,0.1982,0.215,,228.53M,321.45M,0.355,,AOR,Restated
1998-09,340.80M,340.80M,,,4.70M,4.70M,,,,,-214.70M,,,,,-210.00M,550.80M,,,,1.60M,,,,56.60M,,,4.50M,21.70M,56.60M,55.64M,627.20M,76.40M,550.80M,,0.18,0.00,,,0.1750,0.18,,0.18,0.00,,,0.1750,0.18,,193.89M,193.89M,0.335,,,
1998-06,316.20M,316.20M,,,5.40M,5.40M,,,,,-187.90M,,,,,-182.50M,498.70M,,,,9.20M,,,,67.70M,,,4.60M,21.70M,67.70M,62.18M,565.90M,67.20M,498.70M,,0.235,0.00,,,0.2068,0.235,,0.235,0.00,,,0.2068,0.235,,195.74M,195.74M,0.335,,,
1998-03,288.30M,288.30M,,,4.90M,4.90M,,,,,-176.10M,,,,,-171.20M,459.50M,,,,,,,,57.60M,,,3.70M,21.70M,57.60M,57.60M,524.40M,64.90M,459.50M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,188.95M,188.95M,0.335,,,
1997-12,247.60M,247.60M,,,5.10M,5.10M,,,,,-146.30M,,,,,-141.20M,388.80M,,,,,,,,60.70M,,,3.90M,21.70M,60.70M,60.70M,439.20M,50.40M,388.80M,,0.255,0.00,,,0.255,0.255,,0.25,0.00,,,0.25,0.25,,157.15M,160.26M,0.335,,AOR,
1997-09,203.70M,203.70M,,,3.80M,3.80M,,,,,-120.90M,,,,,-117.10M,320.80M,,,,,,,,47.20M,,,3.10M,16.30M,47.20M,47.20M,362.80M,42.00M,320.80M,,0.21,0.00,,,0.21,0.21,,0.205,0.00,,,0.205,0.205,,147.14M,150.73M,0.3125,,,
1997-06,164.90M,164.90M,,,3.20M,3.20M,,,,,-98.10M,,,,,-94.90M,259.80M,,,,,,,,35.70M,,,2.90M,11.90M,35.70M,35.70M,294.30M,34.50M,259.80M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,119.00M,119.00M,0.3125,,,
1997-03,145.00M,145.00M,,,3.00M,3.00M,,,,,-84.70M,,,,,-81.70M,226.70M,,,,,,,,33.00M,,,3.40M,9.10M,33.00M,33.00M,255.50M,28.80M,226.70M,,0.23,0.00,,,0.23,0.23,,0.225,0.00,,,0.225,0.225,,103.91M,106.22M,0.3125,,,
1996-12,150.80M,131.98M,,,3.157M,3.157M,,,,,-81.90M,,,,,507.26M,-375.27M,,,,,,,,61.14M,,,-22.70M,9.015M,43.32M,46.84M,-351.92M,23.35M,-375.27M,,0.375,0.00,,,0.375,0.375,,0.375,0.00,,,0.375,0.375,,98.79M,98.79M,0.3125,,AOR,
1996-09,124.50M,124.50M,,,2.30M,2.30M,,,,,-79.80M,,,,,-77.50M,202.00M,,,,,,,,19.60M,,,2.50M,7.10M,19.60M,19.60M,226.90M,24.90M,202.00M,,0.145,0.00,,,0.145,0.145,,0.14,0.00,,,0.14,0.14,,86.21M,89.29M,0.295,,,
1996-06,114.30M,114.30M,,,2.00M,2.00M,,,,,-71.20M,,,,,-69.20M,183.50M,,,,,,,,20.30M,,,3.00M,6.40M,20.30M,20.30M,206.90M,23.40M,183.50M,,0.17,0.00,,,0.17,0.17,,0.165,0.00,,,0.165,0.165,,81.76M,84.24M,0.295,,,
1996-03,107.60M,107.60M,,,2.10M,2.10M,,,,,-67.20M,,,,,-65.10M,172.70M,,,,,,,,18.40M,,,2.90M,,18.40M,18.40M,194.30M,21.60M,172.70M,,0.16,0.00,,,0.16,0.16,,0.155,0.00,,,0.155,0.155,,79.12M,79.12M,0.295,,,
1995-12,125.30M,125.30M,,,2.00M,2.00M,,,,,-70.40M,,,,,-68.40M,193.70M,,,,,,,,30.40M,,,6.60M,5.30M,30.40M,30.40M,215.10M,21.40M,193.70M,,0.365,0.00,,,0.365,0.365,,0.36,0.00,,,0.36,0.36,,69.02M,70.66M,0.295,,,
1995-09,100.60M,100.60M,,,2.00M,2.00M,,,,,-63.20M,,,,,-61.20M,161.80M,,,,,,,,14.50M,,,3.10M,3.60M,14.50M,14.50M,176.70M,14.90M,161.80M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,68.12M,68.12M,0.265,,,
1995-06,94.80M,94.80M,,,1.90M,1.90M,,,,,-58.90M,,,,,-57.00M,151.80M,,,,,,,,12.50M,,,3.10M,1.20M,12.50M,12.50M,174.20M,22.40M,151.80M,,0.165,0.00,,,0.165,0.165,,0.165,0.00,,,0.165,0.165,,68.48M,68.48M,0.265,,,
1995-03,91.70M,91.70M,,,2.20M,2.20M,,,,,-58.10M,,,,,-55.90M,147.60M,,,,,,,,10.30M,,,2.90M,,10.30M,10.30M,165.00M,17.40M,147.60M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,68.67M,68.67M,0.265,,,
1994-12,78.10M,78.10M,,,2.10M,2.10M,,,,,-51.40M,,,,,-49.30M,127.40M,,,,,,,,10.40M,,,2.70M,,10.40M,10.40M,141.70M,14.30M,127.40M,,0.145,0.00,,,0.145,0.145,,0.145,0.00,,,0.145,0.145,,68.23M,68.23M,0.26,,,
1994-09,61.50M,61.50M,,,1.20M,1.20M,,,,,-39.30M,,,,,-38.10M,99.60M,,,,,,,,9.50M,,,2.80M,,9.50M,9.50M,109.80M,10.20M,99.60M,,0.165,0.00,,,0.165,0.165,,0.165,0.00,,,0.165,0.165,,57.58M,57.58M,0.255,,,
1994-06,50.20M,50.20M,,,1.30M,1.30M,,,,,-31.40M,,,,,-30.10M,80.30M,,,,,,,,7.50M,,,2.90M,,7.50M,7.50M,88.70M,8.40M,80.30M,,0.175,0.00,,,0.175,0.175,,0.175,0.00,,,0.175,0.175,,42.86M,42.86M,0.2475,,,
1994-03,41.30M,41.30M,,,2.40M,2.40M,,,,,-25.90M,,,,,-23.50M,64.80M,,,,,,,,7.00M,,,3.10M,,7.00M,7.00M,71.20M,6.40M,64.80M,,-0.185,0.00,,,-0.185,-0.185,,-0.185,0.00,,,-0.185,-0.185,,29.20M,37.84M,0.24,,,
1993-12,37.70M,37.70M,,,2.70M,2.70M,,,,,-25.20M,,,,,-22.50M,60.20M,,,,,,,,4.30M,,,,,3.90M,4.30M,66.70M,6.50M,60.20M,,0.135,0.00,,,0.135,0.135,,0.135,0.00,,,0.135,0.135,,28.19M,28.19M,0.235,,,
1993-09,29.50M,29.50M,,,0.80M,0.80M,,,,,-21.80M,,,,,-21.00M,50.50M,,,,,,,,1.60M,,,,,2.10M,1.60M,50.50M,,50.50M,,0.075,0.00,,0.0179,0.075,0.075,,0.075,0.00,,0.0179,0.075,0.075,,28.00M,28.00M,0.105,,,
1993-06,23.40M,23.40M,,,,,,,,,,,,,,,23.40M,,,,,,,,,,,,,,,23.40M,,23.40M,,,,,,,,,,,,,,,,29.20M,29.20M,,,,
1993-03,23.40M,23.40M,,,,,,,,,,,,,,,23.40M,,,,,,,,,,,,,,,23.40M,,23.40M,,,,,,,,,,,,,,,,29.20M,29.20M,,,,
