,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-06,143.25M,,143.25M,,2.002M,,,,,145.25M,,,,,,14.51B,-2.425B,12.08B,30.00M,,30.00M,12.41M,,,12.12B,12.55B,,237.75M,,,237.75M,63.37M,301.12M,,,,,,301.12M,6.377B,,6.377B,,584.12M,,,6.377B,6.930B,,672.02M,-623.65M,5.003B,669.22M,-13.03M,5.037B,,AOR,Restated
2004-03,71.53M,,71.53M,,2.584M,,,,,74.11M,,,,,,14.36B,-2.338B,12.02B,30.00M,,30.00M,13.50M,,,12.06B,12.46B,,231.44M,,,231.44M,71.91M,303.35M,,,,,,303.35M,6.298B,,6.298B,,588.13M,,,6.298B,6.847B,,672.55M,-610.86M,4.992B,669.75M,-29.41M,5.022B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,11.48B,,,,,,,,,,,,,,,,,,600.93M,,,,5.862B,,,,,,,5.015B,,AOR,Restated
2003-09,372.59M,,372.59M,,1.038M,,,,,373.62M,,,,,,12.88B,-2.303B,10.58B,30.00M,,30.00M,521.75M,,,11.13B,11.99B,,234.76M,,,234.76M,71.77M,306.53M,,,,,,306.53M,5.567B,,5.567B,,604.65M,,,5.567B,6.096B,,997.41M,-559.45M,4.886B,994.66M,-29.26M,5.289B,,AOR,Restated
2003-06,243.84M,,243.84M,,2.119M,,,,,245.96M,,,,,,13.00B,-2.247B,10.75B,30.00M,,30.00M,509.94M,,,11.29B,12.04B,,213.75M,,,213.75M,64.37M,278.12M,,,,,,278.12M,5.705B,,5.705B,,608.07M,,,5.705B,6.193B,,998.32M,-547.69M,4.838B,995.59M,-38.45M,5.243B,,AOR,Restated
2003-03,310.31M,,310.31M,,1.41M,,,217.81M,,529.53M,,,,,,13.04B,-2.194B,10.84B,30.00M,,30.00M,515.74M,,,11.39B,12.03B,,207.65M,,,207.65M,64.99M,272.63M,,,,,,272.63M,5.755B,,5.755B,,607.22M,,,5.755B,6.241B,,948.80M,-541.72M,4.828B,946.08M,-42.23M,5.183B,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,10.93B,,10.93B,,30.00M,30.00M,,,,10.96B,11.81B,,,,,,,,,,,,,,5.524B,,5.524B,,611.30M,,,5.524B,6.002B,,2.711M,-535.06M,4.839B,,,5.197B,,AOR,Restated
2002-09,21.76M,,21.76M,,2.951M,,,,,24.71M,,,,,,13.21B,-2.026B,11.18B,30.00M,,30.00M,435.70M,,,11.65B,12.00B,,282.28M,,,282.28M,67.72M,350.00M,,,35.00M,35.00M,,385.00M,5.571B,,5.571B,,621.14M,,,5.571B,6.038B,,949.30M,-512.09M,4.977B,946.54M,-45.03M,5.339B,,AOR,
2002-06,88.94M,,88.94M,,2.627M,,,,,91.57M,,,,,,13.16B,-1.929B,11.23B,47.12M,,47.12M,423.53M,,,11.70B,12.11B,,262.07M,,,262.07M,62.68M,324.75M,,,,,,324.75M,5.649B,,5.649B,,627.58M,,,5.649B,6.087B,,953.11M,-457.26M,4.968B,950.36M,-30.66M,5.398B,,AOR,
2002-03,249.76M,,249.76M,,1.355M,,,,,251.12M,,,,,,13.09B,-1.831B,11.26B,47.12M,,47.12M,396.73M,,,11.70B,12.33B,,245.10M,,,245.10M,72.32M,317.42M,,,,,,317.42M,5.835B,,5.835B,,634.17M,,,5.835B,6.288B,,968.48M,-427.19M,4.932B,965.74M,-25.66M,5.406B,,AOR,
2001-12,,,,,,,,,,,,,,,,11.30B,,11.30B,,47.29M,47.29M,,,,11.35B,12.24B,,,,,,,,,,,,,,5.743B,,5.743B,,635.82M,,,5.743B,6.186B,,2.716M,-385.32M,4.893B,,,5.414B,,AOR,Restated
2001-09,110.81M,,110.81M,,4.07M,,,,,114.88M,,,,,,12.93B,-1.622B,11.31B,48.22M,,48.22M,351.95M,,,11.71B,12.19B,,279.69M,,,279.69M,77.77M,357.46M,,,,,,357.46M,5.688B,,5.688B,,634.76M,,,5.688B,6.165B,,969.09M,-385.16M,4.841B,967.74M,-25.39M,5.395B,,AOR,
2001-06,26.61M,,26.61M,,2.497M,,,,,29.11M,,,,,,12.67B,-1.535B,11.13B,75.29M,,75.29M,402.00M,,,11.61B,12.08B,,244.93M,,,244.93M,63.50M,308.43M,,,,,,308.43M,5.591B,,5.591B,,640.56M,,,5.591B,6.015B,,970.84M,-337.72M,4.802B,969.50M,-8.504M,5.422B,,AOR,
2001-03,104.83M,,104.83M,,1.98M,,,,,106.81M,,,,,,12.65B,-1.433B,11.22B,70.36M,,70.36M,407.52M,,,11.70B,12.25B,,238.88M,,,238.88M,71.63M,310.50M,,,,,,310.50M,5.516B,,5.516B,,637.29M,,,5.516B,5.981B,,1.183B,-302.36M,4.767B,1.182B,-17.03M,5.627B,,AOR,
2000-12,,,,,,,,,,,,,,,,11.24B,,11.24B,,67.59M,67.59M,,,,11.31B,12.26B,,,,,,,,,,355.46M,355.46M,,355.46M,5.351B,,5.351B,,612.62M,,,5.351B,6.032B,,1.326M,-300.35M,4.740B,,,5.620B,,AOR,Restated
2000-09,56.24M,,56.24M,,1.611M,,,,,57.85M,,,,,,12.16B,-1.273B,10.89B,,70.84M,70.84M,423.27M,,,11.38B,11.82B,,288.71M,,,288.71M,70.00M,358.71M,,,,,,358.71M,5.172B,,5.172B,,592.52M,,,5.172B,5.649B,,1.191B,-201.09M,4.594B,1.190B,,5.579B,,AOR,
2000-06,237.07M,,237.07M,,1.408M,,,,,238.47M,,,,,,12.08B,-1.208B,10.87B,,,,81.78M,,,10.96B,11.75B,,246.81M,,,246.81M,47.18M,293.99M,,,,,,293.99M,5.278B,,5.278B,,536.88M,,,5.278B,5.682B,,1.194B,-324.56M,4.662B,1.193B,,5.528B,,AOR,
2000-03,72.51M,,72.51M,,1.226M,,,,,73.74M,,,,,,12.28B,-1.167B,11.11B,,,,83.29M,,,11.19B,11.78B,,230.27M,,,230.27M,62.70M,292.97M,,,,,,292.97M,5.366B,,5.366B,,516.77M,,,5.366B,5.774B,,1.308B,-350.33M,4.540B,1.307B,,5.493B,,AOR,
1999-12,,,,,,,,,,,,,,,,11.17B,,11.17B,,,,,,,11.17B,11.72B,,,,,,,,,,300.00M,300.00M,,300.00M,5.174B,,5.174B,,456.98M,,,5.174B,5.754B,,1.30M,-325.90M,4.524B,,,5.505B,,AOR,Restated
1999-09,,,,,,,,,,,,,,,,10.47B,,10.47B,,,,,,,10.47B,11.05B,,,,,,62.60M,62.60M,,,90.00M,90.00M,,152.60M,4.756B,,4.756B,,460.50M,,,4.756B,5.254B,,1.20M,-309.00M,4.311B,,,5.334B,,,
1999-06,,,,,,,,,,,,,,,,10.26B,,10.26B,,,,,,,10.26B,10.84B,,,,,,45.00M,45.00M,,,85.00M,85.00M,,130.00M,4.623B,,4.623B,,419.30M,,,4.623B,5.068B,,,-283.90M,,,,5.354B,,,
1999-03,,,,,,,,,,,,,,,,10.27B,,10.27B,,,,,,,10.27B,10.70B,,,,,,60.70M,60.70M,,,165.00M,165.00M,,225.70M,4.403B,,4.403B,,434.40M,,,4.403B,4.930B,,,-266.00M,,,,5.337B,,,
1998-12,,,,,,,,,,,,,,,,10.25B,,10.25B,,,,,,,10.25B,10.70B,,,,,,,,,,290.00M,290.00M,,290.00M,4.390B,,4.390B,,431.37M,,,4.390B,4.938B,,1.20M,-245.50M,4.169B,,,5.330B,,AOR,Restated
1998-09,,,,,,,,,,,,,,,,8.112B,,8.112B,,,,,,,8.112B,8.633B,,,,,,48.50M,48.50M,,,310.00M,310.00M,,358.50M,3.632B,,3.632B,,384.80M,,,3.632B,4.268B,,,-210.30M,,,,3.980B,,,
1998-06,,,,,,,,,,,,,,,,7.395B,,7.395B,,,,,,,7.395B,8.00B,,,,,,35.00M,35.00M,,,175.00M,175.00M,,210.00M,3.204B,,3.204B,,290.80M,,,3.204B,3.658B,,,-181.00M,,,,4.051B,,,
1998-03,,,,,,,,,,,,,,,,6.854B,,6.854B,,,,,,,6.854B,7.329B,,,,,,35.50M,35.50M,,,,,,35.50M,2.786B,,2.786B,,282.20M,,,2.786B,3.048B,,,-161.50M,,,,3.999B,,,
1997-12,,,,,,,,,,,,,,,,6.677B,,6.677B,,,,,,,6.677B,7.095B,,,,,,,,,,235.00M,235.00M,,235.00M,2.713B,,2.713B,,273.40M,,,2.713B,3.131B,,,-133.10M,,,,3.69B,,AOR,
1997-09,,,,,,,,,,,,,,,,4.422B,,4.422B,,,,,,,4.422B,5.034B,,,,,,20.50M,20.50M,,,,,,20.50M,1.718B,,1.718B,,181.90M,,,1.718B,1.913B,,,-124.00M,,,,2.939B,,,
1997-06,,,,,,,,,,,,,,,,4.125B,,4.125B,,,,,,,4.125B,4.739B,,,,,,22.20M,22.20M,,,,,,22.20M,1.715B,,1.715B,,179.20M,,,1.715B,1.897B,,,-108.50M,,,,2.663B,,,
1997-03,,,,,,,,,,,,,,,,2.873B,,2.873B,,,,,,,2.873B,3.113B,,,,,,15.40M,15.40M,,,,,,15.40M,1.295B,,1.295B,,144.30M,,,1.295B,1.423B,,,-86.30M,,,,1.546B,,,
1996-12,147.27M,,147.27M,,1.45M,,,,,148.72M,,,,,,2.984B,-301.51M,2.682B,,,,102.03M,,,2.784B,2.986B,,79.09M,,,79.09M,12.70M,91.79M,,,,,,91.79M,1.255B,,1.255B,,150.64M,,,1.255B,1.377B,,393.51M,-76.64M,1.147B,393.00M,,1.459B,,AOR,
1996-09,,,,,,,,,,,,,,,,2.474B,,2.474B,,,,,,,2.474B,2.785B,,,,,,14.70M,14.70M,,,,,,14.70M,1.238B,,1.238B,,154.80M,,,1.238B,1.358B,,,-78.90M,,,,1.272B,,,
1996-06,,,,,,,,,,,,,,,,2.227B,,2.227B,,,,,,,2.227B,2.394B,,,,,,8.00M,8.00M,,,,,,8.00M,1.036B,,1.036B,,155.00M,,,1.036B,1.137B,,,-64.40M,,,,1.102B,,,
1996-03,,,,,,,,,,,,,,,,2.071B,,2.071B,,,,,,,2.071B,2.218B,,,,,,12.80M,12.80M,,,,,,12.80M,964.00M,,964.00M,,151.70M,,,964.00M,1.059B,,,-52.70M,,,,1.007B,,,
1995-12,,,,,,,,,,,,,,,,1.970B,,1.970B,,,,,,,1.970B,2.141B,,,,,,8.40M,8.40M,,,,,,8.40M,1.004B,,1.004B,,169.00M,,,1.004B,1.088B,,,-41.30M,,,,884.50M,,,
1995-09,,,,,,,,,,,,,,,,1.968B,,1.968B,,,,,,,1.968B,2.114B,,,,,,13.90M,13.90M,,,,,,13.90M,1.099B,,1.099B,,176.00M,,,1.099B,1.189B,,,-45.70M,,,,749.20M,,,
1995-06,,,,,,,,,,,,,,,,1.806B,,1.806B,,,,,,,1.806B,1.910B,,,,,,7.50M,7.50M,,,,,,7.50M,920.40M,,920.40M,,167.90M,,,920.40M,993.90M,,,-38.40M,,,,748.60M,,,
1995-03,,,,,,,,,,,,,,,,1.812B,,1.812B,,,,,,,1.812B,1.876B,,,,,,9.50M,9.50M,,,,,,9.50M,1.029B,,1.029B,,170.20M,,,1.029B,1.098B,,,-35.80M,,,,607.80M,,,
1994-12,,,,,,,,,,,,,,,,1.771B,,1.771B,,,,,,,1.771B,1.848B,,,,,,5.70M,5.70M,,,,,,5.70M,998.60M,,998.60M,,177.40M,,,998.60M,1.060B,,,-23.60M,,,,609.90M,,,
1994-09,,,,,,,,,,,,,,,,1.197B,,1.197B,,,,,,,1.197B,1.298B,,,,,,5.90M,5.90M,,,,,,5.90M,551.80M,,551.80M,,146.40M,,,551.80M,609.30M,,,-26.20M,,,,542.00M,,,
1994-06,,,,,,,,,,,,,,,,880.80M,,880.80M,,,,,,,880.80M,972.80M,,,,,,3.20M,3.20M,,,,,,3.20M,503.60M,,503.60M,,117.30M,,,503.60M,546.60M,,,-10.70M,,,,308.90M,,,
1994-03,,,,25.00M,25.00M,,,,,25.00M,,,,,,707.50M,,707.50M,,,,,,,707.50M,760.00M,,,,,,1.70M,1.70M,,,,,,1.70M,341.50M,,341.50M,,111.30M,,,341.50M,376.60M,,,-6.60M,,,,272.10M,,,
1993-12,,,,,,,,,,,,,,,,,,,,,,,,,,535.90M,,,,,,1.30M,1.30M,,,,,,1.30M,278.80M,,278.80M,,83.20M,,,278.80M,306.20M,,,-3.80M,,,,146.50M,,,
1993-09,,,,,,,,,,,,,,,,397.40M,,397.40M,,,,,,,397.40M,515.00M,,,,,,1.80M,1.80M,,,,,,1.80M,259.30M,,259.30M,,84.70M,,,259.30M,281.10M,,,,,,,149.20M,,,
