,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,18.86M,18.86M,,,,,,,,,,,13.03M,7.222M,11.64M,,,,,,,6.972M,8.203M,,,2.872M,15.18M,6.972M,24.29M,12.66M,11.64M,0.09,0.22,,,0.09,0.3,0.09,0.21,,,0.09,0.3,39.72M,39.85M,0.585
2002-09,40.15M,40.15M,,,,2.496M,9.222M,,0.25M,,,,0.599M,12.57M,27.58M,,,,,,,18.02M,1.738M,,,2.878M,19.76M,18.02M,38.85M,11.27M,27.58M,0.4,0.04,,,0.4,0.44,0.39,0.04,,,0.39,0.43,38.63M,39.32M,0.585
2002-06,39.38M,39.38M,,,,2.285M,9.261M,,0.25M,,,,1.533M,13.33M,26.06M,,,,,,,16.03M,0.802M,,,3.341M,16.83M,16.03M,36.73M,10.68M,26.06M,0.36,0.02,,,0.36,0.38,0.35,0.02,,,0.35,0.37,35.45M,36.22M,0.585
2002-03,36.08M,36.08M,,,2.261M,2.261M,8.293M,,0.25M,-11.38M,,,11.96M,11.38M,24.70M,,,,,,,15.22M,0.665M,,,3.377M,15.89M,15.22M,34.38M,9.677M,24.70M,0.36,0.02,,,0.36,0.38,0.35,0.02,,,0.35,0.37,32.95M,33.69M,0.585
2001-12,33.28M,11.68M,,,2.122M,2.122M,,,0.25M,-11.46M,,,,53.50M,-41.82M,,,,,,,5.437M,7.608M,,,3.377M,13.26M,5.65M,-31.70M,10.12M,-41.82M,0.04,0.25,,0.0001,0.04,0.3,0.04,0.24,,0.0001,0.04,0.3,32.30M,33.03M,0.585
2001-09,33.41M,33.41M,,,2.07M,2.07M,,,0.25M,-9.736M,,,,-7.416M,40.83M,,,,,,,16.32M,0.856M,,,3.376M,16.97M,16.32M,48.91M,8.079M,40.83M,0.4,0.03,,-0.0066,0.4,0.42,0.39,0.03,,-0.0066,0.39,0.41,32.20M,32.76M,0.585
2001-06,32.70M,32.70M,,,2.034M,2.034M,6.982M,,0.25M,-9.655M,,,10.04M,9.655M,23.04M,,,,,,,15.08M,0.048M,0.00,,3.376M,15.12M,15.08M,30.78M,7.733M,23.04M,0.41,0.0,0.0,,0.41,0.41,0.4,0.0,0.0,,0.4,0.4,28.98M,29.40M,0.585
2001-03,32.58M,32.58M,,,,1.851M,6.786M,,0.25M,,,,0.375M,9.262M,23.32M,,,,,,,15.20M,,,,3.376M,15.20M,15.20M,30.83M,7.513M,23.32M,0.41,0.0,,,0.41,0.41,0.41,0.0,,,0.41,0.41,28.62M,28.87M,0.585
2000-12,27.37M,14.99M,,,,1.751M,,-3.072M,0.25M,,,,,-46.19M,61.18M,,,-3.072M,,,,5.274M,,,,-23.60M,14.81M,7.117M,67.91M,6.728M,61.18M,0.06,0.34,,,0.1251,0.4,0.06,0.33,,,0.1241,0.4,28.29M,28.76M,0.585
2000-09,33.35M,33.35M,,,,1.823M,5.985M,0.555M,0.25M,,,,0.276M,8.334M,25.02M,,,0.555M,,,,17.16M,,0.00,,3.376M,17.16M,16.83M,31.57M,6.557M,25.02M,0.48,0.0,0.0,,0.4683,0.48,0.48,0.0,0.0,,0.4684,0.48,28.51M,28.65M,0.585
2000-06,33.93M,33.93M,,,,1.93M,5.311M,0.394M,0.25M,,,,0.286M,7.777M,26.15M,,,0.394M,,,,17.96M,,,,3.376M,17.96M,17.73M,31.96M,5.814M,26.15M,0.51,0.0,,,0.5017,0.51,0.51,0.0,,,0.5017,0.51,28.38M,28.61M,0.585
2000-03,34.83M,34.83M,,,,1.90M,5.263M,0.123M,0.25M,,,,0.317M,7.73M,27.10M,,,0.123M,,,,18.12M,,,,3.362M,18.12M,18.05M,33.21M,6.117M,27.10M,0.52,0.0,,,0.5174,0.52,0.52,0.0,,,0.5174,0.52,28.32M,28.55M,0.58
1999-12,33.90M,33.90M,,,2.00M,2.00M,,,0.10M,-7.70M,,,,-5.60M,39.50M,,,0.00,,,,17.90M,,,,3.30M,17.90M,17.90M,45.40M,5.90M,39.50M,0.52,0.0,,,0.52,0.52,0.51,0.0,,,0.51,0.51,28.08M,28.61M,0.575
1999-09,34.10M,34.10M,,,1.90M,1.90M,,,0.20M,-6.90M,,,,-4.80M,38.90M,,,,,,,19.50M,,,,3.40M,19.50M,19.50M,44.00M,5.10M,38.90M,0.57,0.0,,,0.57,0.57,0.57,0.0,,,0.57,0.57,28.25M,28.25M,0.57
1999-06,32.60M,32.60M,,,1.90M,1.90M,,,0.20M,-6.90M,,,,-4.80M,37.40M,,,,,,,19.10M,,,,3.40M,19.10M,19.10M,42.40M,5.00M,37.40M,0.56,0.0,,,0.56,0.56,0.56,0.0,,,0.56,0.56,28.04M,28.04M,0.565
1999-03,28.70M,28.70M,,,1.70M,1.70M,,,0.20M,-5.60M,,,,-3.70M,32.40M,,,0.60M,,,,19.00M,,,,2.80M,19.00M,18.64M,36.50M,4.10M,32.40M,0.58,0.0,,,0.5671,0.58,0.57,0.0,,,0.5573,0.57,27.93M,28.42M,0.56
1998-12,27.70M,27.70M,,,1.70M,1.70M,,,0.10M,-5.10M,,,,-3.30M,31.00M,,,,,,,18.10M,,,,1.70M,18.10M,18.10M,34.50M,3.50M,31.00M,0.6,0.0,,,0.6,0.6,0.59,0.0,,,0.59,0.59,27.47M,27.93M,0.555
1998-09,25.80M,25.80M,,,1.60M,1.60M,,,0.20M,-5.00M,,,,-3.20M,29.00M,,,,,,,16.00M,,,,1.70M,16.00M,16.00M,32.30M,3.30M,29.00M,0.57,0.0,,,0.57,0.57,0.56,0.0,,,0.56,0.56,25.09M,25.54M,0.55
1998-06,23.10M,23.10M,,,1.30M,1.30M,,,0.20M,-4.00M,,,,-2.50M,25.60M,,,,,,,14.70M,,,,0.80M,14.70M,14.70M,28.10M,2.50M,25.60M,0.55,0.0,,,0.55,0.55,0.54,0.0,,,0.54,0.54,25.27M,25.74M,0.545
