,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,6.306B,6.306B,5.489B,817.80M,575.20M,-4.20M,,,,-84.40M,490.80M,327.00M,,,,12.10M,,231.70M,65.50M,147.50M,10.20M,-18.70M,,157.70M,150.51M,472.60M,145.60M,327.00M,,3.267,0.2094,3.333,3.476,,3.225,0.2094,3.291,3.435,,45.36M,45.92M,0.9424,,,
2003-12,6.293B,6.293B,5.447B,845.60M,592.10M,-24.60M,,,,,592.10M,253.50M,,,,-6.80M,,221.40M,46.70M,159.20M,5.30M,-15.50M,,164.50M,178.61M,398.50M,145.00M,253.50M,,3.644,0.1257,4.506,3.770,,3.476,0.1257,4.339,3.602,,22.51M,22.51M,1.885,,,
2003-09,6.000B,6.000B,5.127B,872.90M,512.80M,-26.30M,,,,,512.80M,360.10M,,,,-8.90M,,325.50M,100.90M,267.10M,,-4.30M,5.50M,220.30M,238.45M,514.30M,144.60M,369.70M,,9.979,,10.82,9.979,,9.979,,10.82,9.979,,21.52M,21.52M,1.508,,AOR,Restated
2003-06,5.960B,5.960B,5.124B,835.70M,519.40M,-11.70M,,,,,519.40M,316.30M,,,,2.90M,,295.80M,91.70M,190.00M,,-14.10M,,190.00M,198.07M,459.50M,143.20M,316.30M,,4.398,0.00,4.775,4.398,,4.188,0.00,4.548,4.188,,21.42M,22.46M,1.508,,,
2003-03,5.503B,5.503B,4.741B,762.20M,524.90M,-15.10M,,,,,524.90M,237.30M,,,,-0.50M,,209.50M,64.80M,132.20M,,-12.50M,,132.20M,142.63M,374.00M,136.70M,237.30M,,6.115,0.00,6.598,6.115,,5.864,0.00,6.326,5.864,,21.62M,22.54M,1.508,,,
2002-12,5.183B,5.183B,4.434B,749.40M,501.50M,-2.40M,,,,,501.50M,247.90M,,,,5.90M,,226.70M,70.40M,140.40M,,-15.90M,1.70M,140.40M,142.05M,381.40M,133.50M,247.90M,,0.2720,0.00,0.2752,0.2720,,0.2580,0.00,0.2611,0.2580,,509.91M,541.45M,1.508,,,
2002-09,5.218B,5.218B,4.440B,778.50M,434.10M,-17.00M,,,,,434.10M,344.40M,,,,-4.80M,,354.70M,106.30M,248.40M,,-15.80M,1.90M,190.50M,202.41M,489.00M,138.30M,350.70M,,8.921,0.00,9.483,8.921,,8.461,0.00,8.978,8.461,,21.21M,23.00M,1.382,,AOR,Restated
2002-06,5.257B,5.257B,4.509B,748.00M,427.60M,,,,,,427.60M,320.40M,,,,11.30M,,277.30M,102.00M,175.30M,,-15.80M,1.90M,175.30M,175.30M,447.90M,127.50M,320.40M,,8.209,0.00,8.209,8.209,,7.749,0.00,7.749,7.749,,21.12M,22.38M,1.382,,,
2002-03,4.810B,4.810B,4.166B,644.10M,425.40M,-11.80M,,,,,425.40M,218.70M,,,,-1.50M,,178.60M,63.80M,114.80M,,-11.40M,1.90M,114.80M,122.38M,345.10M,126.40M,218.70M,,5.319,0.00,5.677,5.319,,5.068,0.00,5.409,5.068,,21.22M,22.28M,1.382,,,
2001-12,4.818B,4.818B,4.141B,676.30M,437.80M,-3.40M,,,,,437.80M,238.50M,,,,0.70M,,195.40M,75.50M,119.90M,,-14.90M,2.10M,119.90M,121.99M,363.10M,124.60M,238.50M,,5.654,0.00,5.755,5.654,,5.319,0.00,5.414,5.319,,20.83M,22.15M,1.382,,,
2001-09,4.649B,4.649B,3.982B,666.70M,375.70M,-24.20M,,,,,375.70M,291.00M,,,,7.60M,,315.40M,105.80M,209.60M,,-11.40M,2.10M,156.30M,172.38M,461.50M,135.10M,326.40M,,7.414,0.00,8.185,7.414,,6.995,0.00,7.689,6.995,,20.85M,23.17M,1.298,,,Restated
2001-06,4.722B,4.722B,4.046B,676.10M,405.80M,5.40M,,,,,405.80M,270.30M,,,,5.40M,,232.50M,96.00M,136.50M,,-15.80M,2.10M,136.50M,133.26M,398.20M,127.90M,270.30M,,6.450,0.00,6.295,6.450,,6.073,0.00,5.927,6.073,,20.84M,22.13M,1.298,,,
2001-03,4.602B,4.602B,3.980B,621.20M,430.60M,-1.60M,,,,,430.60M,190.60M,,,,-1.60M,,144.60M,61.60M,83.00M,,-14.30M,2.10M,83.00M,83.96M,321.10M,130.50M,190.60M,,3.937,0.00,3.984,3.937,,3.728,0.00,3.772,3.728,,20.55M,21.70M,1.298,,,
2000-12,4.454B,4.454B,3.814B,640.00M,430.80M,4.60M,,,,,430.80M,209.20M,,,,4.60M,,174.60M,72.10M,102.50M,,-11.80M,2.50M,102.50M,99.74M,331.60M,122.40M,209.20M,,4.859,0.00,4.725,4.859,,4.607,0.00,4.480,4.607,,20.58M,21.70M,1.298,,,
2000-09,4.089B,4.089B,3.293B,795.80M,390.60M,2.10M,,,,,505.20M,290.60M,,,,2.10M,,256.40M,105.20M,151.20M,,-9.10M,2.50M,151.20M,149.94M,405.20M,114.60M,290.60M,,7.246,0.00,7.185,7.246,,6.827,0.00,6.769,6.827,,20.55M,21.81M,1.173,,,
2000-06,4.389B,4.389B,3.600B,789.40M,409.20M,-0.50M,,,,,522.40M,267.00M,,,,-0.50M,,228.80M,95.40M,133.40M,,-12.20M,2.50M,133.40M,133.70M,380.20M,113.20M,267.00M,,6.408,0.00,6.423,6.408,,6.073,0.00,6.087,6.073,,20.43M,21.55M,1.173,,,
2000-03,4.358B,4.358B,3.630B,728.50M,419.60M,2.60M,,,,,536.10M,192.40M,,,,2.60M,,154.50M,65.70M,88.80M,,-11.40M,2.40M,88.80M,87.24M,308.90M,116.50M,192.40M,,4.230,0.00,4.154,4.230,,3.979,0.00,3.907,3.979,,20.42M,21.71M,1.173,,,
1999-12,4.318B,4.318B,3.576B,742.60M,410.10M,-1.90M,,,,,527.60M,215.00M,,,,-1.90M,,171.60M,72.60M,99.00M,,-11.70M,,99.00M,100.14M,332.50M,117.50M,215.00M,,4.733,0.00,4.787,4.733,,4.440,0.00,4.491,4.440,,20.92M,22.30M,1.173,,,
1999-09,4.195B,4.195B,3.430B,765.20M,378.30M,-1.40M,,,,,492.10M,273.10M,,,,-1.40M,,227.60M,97.10M,130.50M,,-12.40M,2.50M,130.50M,131.34M,386.90M,113.80M,273.10M,,0.2563,0.00,0.2580,0.2563,,0.2406,0.00,0.2422,0.2406,,488.11M,528.26M,1.047,,,
1999-06,4.191B,4.191B,3.472B,718.50M,377.20M,-3.50M,,,,,479.60M,238.90M,,,,-3.50M,,194.30M,83.20M,111.10M,,-11.30M,2.50M,111.10M,113.20M,341.30M,102.40M,238.90M,,0.2214,0.00,0.2257,0.2214,,0.2075,0.00,0.2114,0.2075,,489.26M,529.98M,1.047,,,
1999-03,3.880B,3.880B,3.238B,642.10M,368.20M,57.10M,,,,,482.40M,159.70M,,,,57.10M,,171.40M,73.10M,98.30M,,-8.90M,2.40M,98.30M,64.04M,273.90M,114.20M,159.70M,,0.1970,0.00,0.1268,0.1970,,0.1831,0.00,0.1183,0.1831,,488.11M,528.83M,1.047,,,
1998-12,3.873B,3.873B,3.229B,643.70M,345.30M,-1.20M,,,,,460.50M,183.20M,,,,-1.20M,,138.00M,58.30M,79.70M,,-6.00M,2.40M,79.70M,80.42M,298.40M,115.20M,183.20M,,0.1587,0.00,0.1941,0.1587,,0.1499,0.00,0.1854,0.1499,,20.29M,20.29M,1.047,,,
1998-09,3.334B,3.334B,2.739B,594.90M,281.90M,69.80M,,,,,387.10M,207.80M,,,,69.80M,,236.60M,100.60M,136.00M,,-5.70M,2.40M,136.00M,94.12M,313.00M,105.20M,207.80M,,6.600,,4.531,6.600,,6.600,,4.531,6.600,,20.24M,20.24M,0.9634,,,
1998-06,3.190B,3.190B,2.626B,564.00M,289.30M,0.90M,,,,,382.90M,181.10M,,,,0.90M,,147.30M,63.40M,83.90M,,-5.50M,2.40M,83.90M,83.36M,274.70M,93.60M,181.10M,,0.1691,0.00,0.1680,0.1691,,0.1569,0.00,0.1559,0.1569,,485.82M,528.26M,0.9634,,,
1998-03,3.007B,3.007B,2.498B,508.80M,289.60M,1.60M,,,,,382.10M,126.70M,,,,1.60M,,93.70M,41.20M,52.50M,,-5.70M,2.40M,52.50M,51.54M,219.20M,92.50M,126.70M,,0.1029,0.00,0.1009,0.1029,,0.0976,0.00,0.0958,0.0976,,482.38M,523.10M,0.9634,,,
1997-12,3.056B,3.056B,2.529B,527.10M,285.80M,1.70M,,,,,378.70M,148.40M,,,,1.70M,,116.10M,50.80M,65.30M,,-6.20M,2.30M,65.30M,64.28M,241.30M,92.90M,148.40M,,0.1308,0.00,0.1286,0.1308,,0.1220,0.00,0.1201,0.1220,,482.38M,523.10M,0.9634,,,
1997-09,2.761B,2.761B,2.225B,535.90M,250.90M,0.00,,,,,342.40M,193.50M,,,,0.00,,164.90M,72.00M,92.90M,0.00,-4.20M,2.40M,92.90M,92.90M,285.00M,91.50M,193.50M,,4.503,0.00,4.503,4.503,,4.503,0.00,4.503,4.503,,20.10M,20.10M,0.9005,,,
1997-06,2.879B,2.879B,2.361B,518.50M,271.00M,5.40M,,,,,356.10M,162.40M,,,,5.40M,,134.60M,60.20M,74.40M,,-7.20M,2.30M,74.40M,71.16M,247.50M,85.10M,162.40M,,0.1499,0.00,0.1433,0.1499,,0.1412,0.00,0.1350,0.1412,,486.96M,521.38M,0.9005,,,
1997-03,2.744B,2.744B,2.277B,466.80M,264.00M,-69.70M,,,,,355.50M,111.30M,,,,-69.70M,,2.50M,4.10M,-1.60M,69.70M,-7.20M,2.50M,68.10M,40.22M,202.80M,91.50M,111.30M,,-0.0105,0.1464,0.0754,0.1360,,-0.0105,0.1342,0.0698,0.1290,,486.96M,520.80M,0.9005,,,
1996-12,2.761B,2.761B,2.268B,493.50M,276.80M,5.60M,,,,,363.60M,129.90M,,,,5.60M,,99.50M,44.60M,54.90M,-1.80M,-5.50M,2.30M,53.10M,51.54M,216.70M,86.80M,129.90M,,0.1116,-0.0035,0.1046,0.1081,,0.1029,-0.0035,0.0964,0.0994,,480.65M,517.36M,0.9005,,,
1996-09,1.878B,1.878B,1.534B,344.20M,191.20M,-0.40M,,,,,200.40M,143.80M,,,,-0.40M,,121.90M,51.90M,70.00M,,-7.00M,2.40M,82.00M,70.24M,153.00M,9.20M,143.80M,,0.1447,0.0244,0.1452,0.1691,,0.1325,0.0227,0.1330,0.1552,,479.51M,520.80M,0.8586,,,
1996-06,2.706B,2.706B,2.252B,454.10M,234.80M,7.00M,,,,,315.80M,138.30M,,,,7.00M,,121.50M,52.20M,69.30M,,-6.00M,2.40M,69.30M,65.10M,219.30M,81.00M,138.30M,,0.1395,0.00,0.1307,0.1395,,0.1325,0.00,0.1244,0.1325,,480.65M,516.22M,0.8586,,,
1996-03,2.440B,2.440B,2.036B,404.50M,216.90M,0.10M,,,,,311.20M,93.30M,,,,0.10M,,65.90M,29.50M,36.40M,,-8.20M,2.30M,36.40M,36.34M,187.60M,94.30M,93.30M,,0.0715,0.00,0.0714,0.0715,,0.0680,0.00,0.0679,0.0680,,479.51M,516.22M,0.8586,,,
1995-12,2.186B,2.186B,1.795B,391.40M,209.90M,1.40M,,,,,287.90M,103.50M,,,,1.40M,,85.20M,38.20M,47.00M,,-5.80M,2.40M,47.00M,46.16M,181.50M,78.00M,103.50M,,0.0941,0.00,0.0924,0.0941,,0.0889,0.00,0.0873,0.0889,,476.07M,512.77M,0.8586,,,
1995-09,2.241B,2.241B,1.804B,436.80M,221.10M,-5.30M,,,,,285.00M,151.80M,,,,-5.30M,,123.30M,56.30M,67.00M,,-10.70M,2.30M,67.00M,70.18M,215.70M,63.90M,151.80M,,9.229,0.00,9.236,9.229,,8.697,0.00,8.703,8.697,,471.48M,509.33M,0.8168,,,
1995-06,2.181B,2.181B,1.780B,400.70M,197.90M,-1.80M,,,,,279.60M,121.10M,,,,-1.80M,,99.70M,44.40M,55.30M,,-5.90M,2.40M,55.30M,56.38M,202.80M,81.70M,121.10M,,0.1116,0.00,0.1139,0.1116,,0.1064,0.00,0.1085,0.1064,,472.62M,509.33M,0.8168,,,
1995-03,2.050B,2.050B,1.692B,358.00M,205.20M,-2.20M,,,,,274.70M,83.30M,,,,-2.20M,,59.70M,27.40M,32.30M,,-7.50M,2.30M,32.30M,33.62M,152.80M,69.50M,83.30M,,0.0645,0.00,0.0673,0.0645,,0.0610,0.00,0.0636,0.0610,,470.33M,507.04M,0.8168,,,
1994-12,1.858B,1.858B,1.507B,350.70M,184.70M,-0.40M,,,,,258.10M,92.60M,,,,-0.40M,,76.10M,34.90M,41.20M,,-5.00M,2.40M,41.20M,41.44M,166.00M,73.40M,92.60M,,0.0837,0.00,0.0842,0.0837,,0.0785,0.00,0.0789,0.0785,,470.33M,507.04M,0.8168,,,
1994-09,1.846B,1.846B,1.443B,402.80M,213.80M,-5.20M,,,,,280.00M,122.80M,,,,-5.20M,,102.20M,46.20M,56.00M,,-5.40M,2.40M,56.00M,59.12M,189.00M,66.20M,122.80M,,0.0523,0.0645,0.0592,0.1168,,0.0471,0.0593,0.0532,0.1064,,454.68M,507.87M,0.7539,,,
1994-06,1.758B,1.758B,1.416B,341.30M,180.50M,5.40M,,,,,243.50M,97.80M,,,,5.40M,,85.90M,40.30M,45.60M,,-7.70M,2.30M,45.60M,42.36M,160.80M,63.00M,97.80M,,0.0924,0.00,0.0855,0.0924,,0.0872,0.00,0.0806,0.0872,,468.60M,496.71M,0.7539,,,
1994-03,1.682B,1.682B,1.372B,309.70M,178.00M,-0.60M,,,,,246.90M,62.80M,,,,-0.60M,,47.80M,22.30M,25.50M,,-4.10M,2.30M,25.50M,25.86M,131.70M,68.70M,62.80M,,0.0488,0.00,0.0496,0.0488,,0.0471,0.00,0.0478,0.0471,,475.25M,492.85M,0.7539,,,
1993-12,1.585B,1.585B,1.272B,313.00M,171.00M,2.30M,,,,,231.40M,81.60M,,,,2.30M,,69.60M,31.50M,38.10M,,-3.70M,2.30M,38.10M,36.72M,142.00M,60.40M,81.60M,,0.0767,0.00,0.0738,0.0767,,0.0732,0.00,0.0704,0.0732,,466.68M,488.90M,0.7539,,,
1993-09,1.632B,1.632B,1.343B,288.30M,177.00M,2.40M,,,,,205.30M,83.00M,,,,2.40M,,69.00M,29.20M,39.80M,,,3.10M,-82.20M,38.36M,111.30M,28.30M,83.00M,,0.0785,-0.2615,0.0758,-0.1831,,0.0715,-0.2615,0.0689,-0.1831,,547.69M,547.69M,0.7112,,,
1993-06,1.594B,1.594B,1.287B,306.60M,160.60M,4.80M,,,,,221.80M,84.80M,,,,4.80M,,78.10M,35.90M,42.20M,,,2.00M,42.20M,39.32M,146.00M,61.10M,84.80M,,0.0854,0.00,0.0793,0.0854,,0.0819,0.00,0.0761,0.0819,,470.56M,490.59M,0.7112,,,
1993-03,1.445B,1.445B,1.169B,276.10M,152.90M,-0.40M,,,,,224.00M,52.10M,,,,-0.40M,,39.60M,18.30M,21.30M,,,2.00M,21.30M,21.54M,123.20M,71.10M,52.10M,,0.0418,0.00,0.0424,0.0418,,0.0401,0.00,0.0406,0.0401,,461.25M,481.30M,0.7112,,,
1992-12,1.511B,1.511B,1.237B,274.60M,144.60M,-1.00M,,,,,196.20M,78.40M,,,,-1.00M,,64.00M,29.40M,34.60M,,,2.10M,34.60M,35.20M,130.00M,51.60M,78.40M,,0.0697,0.00,0.0710,0.0697,,0.0663,0.00,0.0675,0.0663,,466.03M,490.56M,0.7112,,,
1992-09,1.451B,1.451B,1.156B,295.10M,149.30M,-2.90M,,,,,203.10M,92.00M,,,,-2.90M,,77.20M,35.50M,41.70M,,,1.80M,41.70M,43.44M,145.80M,53.80M,92.00M,,0.0854,0.00,0.0891,0.0854,,0.0819,0.00,0.0855,0.0819,,470.54M,490.26M,0.6685,,,
1992-06,1.307B,1.307B,1.055B,252.30M,132.60M,5.90M,,,,,179.50M,72.80M,,,,5.90M,,67.30M,30.90M,36.40M,,,2.10M,36.40M,32.86M,119.70M,46.90M,72.80M,,0.0750,0.00,0.0672,0.0750,,0.0715,0.00,0.0641,0.0715,,457.52M,479.84M,0.6685,,,
1992-03,1.184B,1.184B,978.90M,204.60M,123.70M,4.40M,,,,,167.10M,37.50M,,,,4.40M,,30.50M,14.00M,16.50M,,,2.10M,16.50M,13.86M,80.90M,43.40M,37.50M,,0.0314,0.00,0.0256,0.0314,,0.0314,0.00,0.0256,0.0314,,458.86M,458.86M,0.6685,,,
1991-12,1.215B,1.215B,988.00M,227.40M,119.50M,3.00M,,,,,164.20M,63.20M,,,,3.00M,,52.70M,24.30M,28.40M,,,2.10M,28.40M,26.60M,107.90M,44.70M,63.20M,,0.0575,0.00,0.0536,0.0575,,0.0558,0.00,0.0520,0.0558,,457.12M,471.41M,0.6685,,,
1991-09,1.199B,1.199B,948.20M,251.20M,130.90M,-4.70M,,,,,174.10M,77.10M,,,,-4.70M,,57.80M,26.50M,31.30M,,,1.90M,31.30M,34.12M,120.30M,43.20M,77.10M,,0.0645,0.00,0.0707,0.0645,,0.0610,0.00,0.0668,0.0610,,457.13M,487.35M,0.6484,,,
1991-06,1.138B,1.138B,921.20M,216.60M,114.10M,7.40M,,,,,156.00M,60.60M,,,,7.40M,,54.30M,25.00M,29.30M,,,2.10M,29.30M,24.86M,102.50M,41.90M,60.60M,,0.0610,0.00,0.0511,0.0610,,0.0575,0.00,0.0481,0.0575,,445.75M,472.76M,0.6484,,,
1991-03,1.074B,1.074B,875.40M,198.10M,120.50M,-0.40M,,,,,164.50M,33.60M,,,,-0.40M,,18.60M,8.60M,10.00M,,,2.10M,10.00M,10.24M,77.60M,44.00M,33.60M,,0.0174,0.00,0.0180,0.0174,,0.0174,0.00,0.0180,0.0174,,453.12M,453.12M,0.6484,,,
1990-12,1.148B,1.148B,940.10M,208.20M,110.80M,2.40M,,,,,150.70M,57.50M,,,,2.40M,,45.30M,20.80M,24.50M,,,2.10M,24.50M,23.06M,97.40M,39.90M,57.50M,,0.0506,0.00,0.0473,0.0506,,0.0488,0.00,0.0457,0.0488,,443.04M,458.86M,0.6484,,,
1990-09,1.176B,1.176B,947.90M,228.50M,115.20M,-4.90M,,,,,155.60M,72.90M,,,,-4.90M,,54.30M,25.30M,29.00M,,,1.90M,29.00M,31.94M,113.30M,40.40M,72.90M,,0.0593,0.00,0.0657,0.0593,,0.0575,0.00,0.0638,0.0575,,459.48M,471.91M,0.6283,,,
1990-06,1.172B,1.172B,966.70M,205.70M,106.70M,0.70M,,,,,140.80M,64.90M,,,,0.70M,,51.70M,24.70M,27.00M,,,2.10M,27.00M,26.58M,99.00M,34.10M,64.90M,,0.0558,0.00,0.0548,0.0558,,0.0523,0.00,0.0514,0.0523,,446.31M,476.07M,0.6283,,,
1990-03,1.084B,1.084B,902.80M,181.60M,108.40M,-6.10M,,,,,147.80M,33.80M,,,,-6.10M,,14.90M,6.80M,8.10M,,,2.10M,8.10M,11.76M,73.20M,39.40M,33.80M,,0.0139,0.00,0.0225,0.0139,,0.0139,0.00,0.0225,0.0139,,430.18M,430.18M,0.6283,,,
1989-12,1.071B,1.071B,873.20M,197.60M,103.20M,6.10M,,,,,141.20M,56.40M,,,,6.10M,,51.90M,23.60M,28.30M,,,2.10M,28.30M,24.64M,94.40M,38.00M,56.40M,,0.0593,0.00,0.0510,0.0593,,0.0558,0.00,0.0480,0.0558,,441.99M,469.61M,0.6283,,,
1989-09,1.049B,1.049B,,,,,,,,,,-2.430B,,,,,,,,23.80M,,,,23.80M,,-2.430B,,-2.430B,,,,,,,,,,,,421.84M,421.84M,0.6057,,,
1989-06,910.60M,910.60M,,,,,,,,,,910.60M,,,,,,,,23.50M,,,,23.50M,,910.60M,,910.60M,,0.0540,0.00,0.0540,0.0540,,0.0506,0.00,0.0506,0.0506,,419.11M,419.11M,0.6057,,,
1989-03,863.70M,863.70M,,,,,,,,,,863.70M,,,,,,,,19.40M,,,,19.40M,,863.70M,,863.70M,,0.0471,0.00,0.0471,0.0471,,0.0453,0.00,0.0453,0.0453,,419.11M,419.11M,0.6057,,,
1988-12,860.40M,860.40M,,,,,,,,,,860.40M,,,,,,,,30.80M,,,,30.80M,,860.40M,,860.40M,,0.0732,0.00,0.0732,0.0732,,0.0697,0.00,0.0697,0.0697,,423.33M,423.33M,0.6057,,,
1988-09,828.50M,828.50M,,,,,,,,,,-2.061B,,,,,,,,30.40M,,,,30.40M,,-2.061B,,-2.061B,,,,,,,,,,,,423.33M,423.33M,0.5755,,,
1988-06,792.90M,792.90M,,,,,,,,,,792.90M,,,,,,,,24.30M,,,,24.30M,,792.90M,,792.90M,,0.0593,0.00,0.0593,0.0593,,0.0558,0.00,0.0558,0.0558,,423.33M,423.33M,0.5755,,,
1988-03,745.40M,745.40M,,,,,,,,,,745.40M,,,,,,,,19.10M,,,,19.10M,,745.40M,,745.40M,,0.0453,0.00,0.0453,0.0453,,0.0436,0.00,0.0436,0.0436,,423.33M,423.33M,0.5755,,,
1987-12,732.80M,732.80M,,,,,,,,,,732.80M,,,,,,,,29.70M,,,,29.70M,,732.80M,,732.80M,,0.0715,0.00,0.0715,0.0715,,0.0680,0.00,0.0680,0.0680,,423.33M,423.33M,0.5755,,,
1987-09,818.10M,818.10M,,,,,,,,,,-1.681B,,,,,,,,37.20M,,,,37.20M,,-1.681B,,-1.681B,,,,,,,,,,,,433.67M,433.67M,0.5554,,,
1987-06,653.00M,653.00M,,,,,,,,,,653.00M,,,,,,,,17.50M,,,,17.50M,,653.00M,,653.00M,,0.0366,0.00,0.0366,0.0366,,0.0366,0.00,0.0366,0.0366,,433.67M,433.67M,0.5554,,,
1987-03,603.00M,603.00M,,,,,,,,,,603.00M,,,,,,,,12.20M,,,,12.20M,,603.00M,,603.00M,,0.0244,0.00,0.0244,0.0244,,0.0244,0.00,0.0244,0.0244,,433.67M,433.67M,0.5554,,,
1986-12,602.80M,602.80M,,,,,,,,,,602.80M,,,,,,,,22.70M,,,,22.70M,,602.80M,,602.80M,,0.0488,0.00,0.0488,0.0488,,0.0488,0.00,0.0488,0.0488,,433.67M,433.67M,0.5554,,,
1986-09,703.50M,703.50M,,,,,,,,,,-1.752B,,,,,,,,39.00M,,,,39.00M,,-1.752B,,-1.752B,,,,,,,,,,,,433.67M,433.67M,0.5227,,,
1986-06,602.60M,602.60M,,,,,,,,,,602.60M,,,,,,,,13.50M,,,,13.50M,,602.60M,,602.60M,,0.0279,0.00,0.0279,0.0279,,0.0279,0.00,0.0279,0.0279,,433.78M,433.78M,0.5227,,,
1986-03,626.30M,626.30M,,,,,,,,,,626.30M,,,,,,,,9.50M,,,,9.50M,,626.30M,,626.30M,,0.0192,0.00,0.0192,0.0192,,0.0192,0.00,0.0192,0.0192,,432.29M,432.29M,0.5227,,,
1985-12,707.00M,707.00M,,,,,,,,,,707.00M,,,,,,,,33.90M,,,,33.90M,,707.00M,,707.00M,,0.0750,0.00,0.0750,0.0750,,0.0750,0.00,0.0750,0.0750,,428.60M,428.60M,0.5227,,,
1985-09,610.80M,610.80M,,,,,,,,,,-1.044B,,,,,,,,35.00M,,,,35.00M,,-1.044B,,-1.044B,,,,,,,,,,,,17.89M,17.89M,,,,
1985-06,461.90M,461.90M,,,,,,,,,,461.90M,,,,,,,,10.60M,,,,10.60M,,461.90M,,461.90M,,0.6276,0.00,0.6276,0.6276,,0.6276,0.00,0.6276,0.6276,,18.31M,18.31M,,,,
1985-03,325.50M,325.50M,,,,,,,,,,325.50M,,,,,,,,8.90M,,,,8.90M,,325.50M,,325.50M,,0.6695,0.00,0.6695,0.6695,,0.6695,0.00,0.6695,0.6695,,13.49M,13.49M,,,,
1984-12,388.80M,388.80M,,,,,,,,,,388.80M,,,,,,,,23.80M,,,,23.80M,,388.80M,,388.80M,,1.757,0.00,1.757,1.757,,1.757,0.00,1.757,1.757,,13.48M,13.48M,,,,
1984-09,459.60M,459.60M,,,,,,,,,,-852.80M,,,,,,,,25.60M,,,,25.60M,,-852.80M,,-852.80M,,,,,,,,,,,,13.48M,13.48M,,,,
1984-06,318.10M,318.10M,,,,,,,,,,318.10M,,,,,,,,9.80M,,,,9.80M,,318.10M,,318.10M,,0.7532,0.00,0.7532,0.7532,,0.7532,0.00,0.7532,0.7532,,13.48M,13.48M,,,,
1984-03,303.50M,303.50M,,,,,,,,,,303.50M,,,,,,,,8.10M,,,,8.10M,,303.50M,,303.50M,,0.6276,0.00,0.6276,0.6276,,0.6276,0.00,0.6276,0.6276,,13.48M,13.48M,,,,
