,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,232.00M,,24.00M,122.00M,51.00M,173.00M,173.00M,,,,23.00M,-1.474B,-146.00M,14.00M,21.00M,,1.417B,,-168.00M,-21.00M,263.00M,-131.00M,60.00M,-71.00M,,,23.00M,15.00M,-33.00M,,,86.00M,38.00M,-164.00M,-126.00M,,-72.00M,,,-115.00M,342.00M,115.00M,457.00M,38.00M,,,-164.00M
2003-12,183.00M,,55.00M,109.00M,49.00M,158.00M,158.00M,683.00M,,,70.00M,-1.039B,-105.00M,10.00M,5.438B,,-4.649B,,-345.00M,-31.00M,773.00M,-235.00M,220.00M,-15.00M,,0.00,,-10.00M,-26.00M,,,-517.00M,17.00M,-193.00M,-176.00M,,-73.00M,,0.00,-775.00M,359.00M,-28.00M,294.00M,17.00M,,,-193.00M
2003-09,194.00M,,26.00M,126.00M,47.00M,173.00M,173.00M,154.00M,,,1.00M,-1.285B,87.00M,-10.00M,-248.00M,,1.292B,,-164.00M,16.00M,400.00M,-173.00M,163.00M,-10.00M,,-23.00M,,-45.00M,-79.00M,,,-168.00M,9.00M,-7.00M,2.00M,,-73.00M,,0.00,-230.00M,268.00M,91.00M,359.00M,9.00M,,,-7.00M
2003-06,128.00M,,14.00M,104.00M,27.00M,131.00M,131.00M,185.00M,,,-21.00M,-1.43B,-61.00M,0.00,231.00M,,1.56B,,300.00M,0.00,737.00M,-140.00M,3.317B,3.177B,,-20.00M,,-3.311B,-156.00M,,,-524.00M,2.00M,,2.00M,,-80.00M,,-117.00M,-721.00M,408.00M,-140.00M,268.00M,2.00M,,,
2003-03,253.00M,,9.00M,116.00M,57.00M,173.00M,173.00M,,,,3.00M,-1.631B,26.00M,5.00M,-457.00M,,463.00M,,-1.594B,44.00M,-1.112B,-89.00M,,-89.00M,,-23.00M,,3.31B,3.131B,,,-2.608B,5.00M,,5.00M,,-79.00M,,,-3.023B,1.412B,-1.004B,408.00M,5.00M,,,
2002-12,224.00M,,42.00M,86.00M,41.00M,127.00M,127.00M,-998.00M,,,124.00M,2.606B,45.00M,52.00M,-131.00M,,-1.341B,,1.231B,7.00M,757.00M,-239.00M,152.00M,-87.00M,,169.00M,,142.00M,243.00M,,,-31.00M,2.00M,,2.00M,,-51.00M,,,-87.00M,462.00M,913.00M,1.375B,2.00M,,,
2002-09,-491.00M,,665.00M,71.00M,34.00M,105.00M,105.00M,-198.00M,,,4.00M,-867.00M,-195.00M,-4.00M,228.00M,,1.219B,,381.00M,-7.00M,459.00M,91.00M,13.00M,104.00M,,-169.00M,,39.00M,-26.00M,,,-124.00M,9.00M,,9.00M,,-52.00M,,,-167.00M,196.00M,266.00M,462.00M,9.00M,,,
2002-06,182.00M,,17.00M,119.00M,34.00M,153.00M,153.00M,-142.00M,,,24.00M,-1.189B,106.00M,32.00M,-95.00M,,1.484B,,338.00M,,572.00M,-308.00M,13.00M,-295.00M,,161.00M,,-4.00M,-138.00M,,,-316.00M,14.00M,,14.00M,,-51.00M,,,-353.00M,115.00M,81.00M,196.00M,14.00M,,,
2002-03,149.00M,,23.00M,85.00M,55.00M,140.00M,140.00M,-175.00M,,,,-1.321B,-167.00M,-42.00M,-267.00M,,1.561B,,-236.00M,,-99.00M,-72.00M,2.00M,-70.00M,,-161.00M,,-3.00M,-234.00M,,,-16.00M,51.00M,,51.00M,,-51.00M,,,-16.00M,464.00M,-349.00M,115.00M,51.00M,,,
2001-12,131.00M,,-31.00M,75.00M,101.00M,176.00M,176.00M,-91.00M,,,-97.00M,1.652B,333.00M,36.00M,-22.00M,,-1.469B,,530.00M,7.00M,625.00M,-169.00M,40.00M,-129.00M,,-745.00M,,-23.00M,-897.00M,,,-317.00M,791.00M,,791.00M,,-48.00M,,0.00,426.00M,310.00M,154.00M,464.00M,791.00M,,,
2001-09,79.00M,,-48.00M,78.00M,125.00M,203.00M,203.00M,75.00M,,,17.00M,3.00M,-31.00M,-11.00M,-302.00M,,228.00M,,-113.00M,-7.00M,206.00M,-92.00M,12.00M,-80.00M,,-13.00M,,153.00M,60.00M,,,-154.00M,15.00M,,15.00M,,-41.00M,,-1.00M,-181.00M,225.00M,85.00M,310.00M,15.00M,,,
2001-06,114.00M,,-86.00M,71.00M,96.00M,167.00M,167.00M,139.00M,,,18.00M,-82.00M,-78.00M,17.00M,-268.00M,,78.00M,,-333.00M,,19.00M,-89.00M,52.00M,-37.00M,,-2.303B,,16.00M,-2.324B,,,919.00M,15.00M,,15.00M,,-41.00M,,1.00M,894.00M,1.636B,-1.411B,225.00M,15.00M,,,
2001-03,103.00M,,-46.00M,42.00M,57.00M,99.00M,99.00M,51.00M,,,,-275.00M,-188.00M,-23.00M,-122.00M,,368.00M,,-240.00M,,-33.00M,-43.00M,,-43.00M,,,,,-43.00M,,,1.481B,4.00M,,4.00M,,-28.00M,,-64.00M,1.393B,319.00M,1.317B,1.636B,4.00M,,,
2000-12,125.00M,,-64.00M,,,100.00M,100.00M,15.00M,,,7.00M,-233.00M,262.00M,,176.00M,13.00M,13.00M,,231.00M,,414.00M,-122.00M,21.00M,-101.00M,,-468.00M,,0.00,-569.00M,,,-255.00M,6.00M,,6.00M,,-30.00M,,,-279.00M,753.00M,-434.00M,319.00M,6.00M,,,
2000-09,132.00M,,-108.00M,,,87.00M,87.00M,154.00M,,,-3.00M,-159.00M,-5.00M,,-87.00M,-478.00M,662.00M,,-67.00M,,195.00M,-25.00M,685.00M,660.00M,,-42.00M,,5.00M,623.00M,,,-142.00M,8.00M,,8.00M,,-28.00M,,,-162.00M,97.00M,656.00M,753.00M,8.00M,,,
2000-06,178.00M,,-117.00M,-45.00M,-50.00M,99.00M,99.00M,92.00M,,,8.00M,-234.00M,-53.00M,,-3.00M,452.00M,-112.00M,,50.00M,,310.00M,-91.00M,-1.00M,-92.00M,,3.00M,,-8.00M,-97.00M,,,-133.00M,4.00M,,4.00M,,-28.00M,,,-157.00M,41.00M,56.00M,97.00M,4.00M,,,
2000-03,173.00M,,-126.00M,45.00M,50.00M,95.00M,95.00M,84.00M,,,,-53.00M,-127.00M,,1.00M,-15.00M,59.00M,,-135.00M,,91.00M,-36.00M,7.00M,-29.00M,,-3.00M,,-3.00M,-35.00M,,,-130.00M,1.00M,,1.00M,,-28.00M,,,-157.00M,142.00M,-101.00M,41.00M,1.00M,,,
1999-12,138.00M,,-70.00M,,,101.00M,101.00M,46.00M,,,24.00M,-7.00M,259.00M,,141.00M,4.00M,-62.00M,,335.00M,,574.00M,-73.00M,12.00M,-61.00M,,,,1.00M,-60.00M,,,-380.00M,-1.00M,,-1.00M,,-28.00M,,,-409.00M,37.00M,105.00M,142.00M,-1.00M,,,
1999-09,130.00M,,-43.00M,,,95.00M,95.00M,184.00M,,,-6.00M,259.00M,-30.00M,,-116.00M,29.00M,-247.00M,,-105.00M,,255.00M,-191.00M,12.00M,-179.00M,,,,,-179.00M,,,-102.00M,4.00M,,4.00M,,-28.00M,,,-126.00M,87.00M,-50.00M,37.00M,4.00M,,,
1999-06,111.00M,,-72.00M,,,103.00M,103.00M,-43.00M,,,18.00M,-32.00M,65.00M,,-37.00M,-8.00M,130.00M,,118.00M,,235.00M,-127.00M,7.00M,-120.00M,,,,-4.00M,-124.00M,,,-27.00M,1.00M,,1.00M,,-27.00M,,,-53.00M,29.00M,58.00M,87.00M,1.00M,,,
1999-03,104.00M,,-57.00M,,,90.00M,90.00M,43.00M,,,-16.00M,-50.00M,-122.00M,,10.00M,20.00M,121.00M,,-21.00M,,143.00M,-42.00M,9.00M,-33.00M,,,,4.00M,-29.00M,,,-103.00M,2.00M,,2.00M,,-28.00M,,,-129.00M,44.00M,-15.00M,29.00M,2.00M,,,
1998-12,-3.00M,,22.00M,,,104.00M,104.00M,16.00M,,,-5.00M,927.00M,243.00M,,1.00M,-20.00M,-1.113B,,38.00M,,172.00M,-65.00M,13.00M,-52.00M,,,,-30.00M,-82.00M,,,-105.00M,1.00M,,1.00M,,-27.00M,,,-126.00M,80.00M,-36.00M,44.00M,1.00M,,,
1998-09,116.00M,,-48.00M,,,102.00M,102.00M,80.00M,,,29.00M,546.00M,0.00,,-468.00M,18.00M,-275.00M,,-179.00M,,100.00M,-110.00M,37.00M,-73.00M,,,1.00M,-7.00M,-79.00M,,,44.00M,3.00M,,3.00M,,-28.00M,,,19.00M,0.00,40.00M,80.00M,3.00M,,,
1998-06,93.00M,,-48.00M,,,95.00M,95.00M,15.00M,,,4.00M,-65.00M,-191.00M,,375.00M,-7.00M,-262.00M,,-150.00M,,9.00M,-46.00M,10.00M,-36.00M,,,-1.00M,-1.00M,-38.00M,,,56.00M,16.00M,,16.00M,,-27.00M,,,45.00M,0.00,16.00M,0.00,16.00M,,,
