,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-09,266.99M,,-0.202M,,90.46M,90.46M,155.16M,,15.19M,-2.783M,12.41M,-144.18M,-138.24M,6.027M,-63.93M,,,-0.007M,-340.33M,191.77M,,-131.54M,1.071M,-130.47M,-25.75M,,2.174M,-154.05M,,-0.109M,194.12M,194.01M,52.84M,-189.48M,-136.64M,-116.34M,-116.34M,,2.783M,-56.19M,,207.87M,-18.47M,0.751M,190.15M,,52.84M,0.771M,-0.88M,-189.48M,19.83M,35.16M,,AOR,
2007-06,303.39M,,-0.488M,,92.32M,92.32M,140.74M,,,,31.60M,35.99M,-9.21M,-54.84M,-16.28M,,-60.82M,-11.65M,-116.81M,450.76M,,-146.07M,1.889M,-144.18M,-10.79M,,-0.824M,-155.79M,,,,30.66M,36.79M,-221.52M,-184.74M,,-117.39M,,1.778M,-269.68M,,180.94M,25.28M,1.644M,207.87M,,36.79M,,,-221.52M,,,,,
2007-03,221.00M,,-0.465M,,91.36M,91.36M,133.76M,,-53.65M,4.564M,36.64M,-88.77M,26.56M,2.899M,312.23M,,-298.23M,-9.576M,-54.89M,411.98M,,-142.68M,2.564M,-140.11M,-3.916M,,11.35M,-132.68M,,2.594M,-112.17M,-122.75M,57.43M,-104.16M,-46.74M,210.53M,-117.50M,,2.461M,-284.52M,,185.86M,-5.221M,0.302M,180.94M,,57.43M,-3.603M,6.197M,-104.16M,-220.41M,-54.09M,,,
2006-12,246.54M,,0.126M,,88.81M,88.81M,137.61M,,22.17M,-1.788M,20.38M,69.94M,-8.941M,4.756M,-177.73M,,,-21.00M,-132.97M,367.00M,,-198.62M,1.303M,-197.32M,-1.175M,,-0.78M,-199.27M,,-1.273M,21.62M,20.35M,82.34M,-159.90M,-77.56M,-105.30M,-105.30M,,1.788M,-160.72M,,180.72M,7.012M,-1.871M,185.86M,,82.34M,2.772M,-4.045M,-159.90M,204.75M,21.28M,,,Restated
2006-09,230.15M,,-5.452M,,90.06M,90.06M,133.87M,,31.48M,-2.776M,28.70M,-151.32M,-104.34M,-15.59M,-32.80M,,,-9.017M,-313.06M,173.18M,,-115.88M,10.25M,-105.63M,-43.44M,,-11.90M,-160.97M,,-1.321M,90.54M,89.22M,45.19M,-65.28M,-20.10M,-105.23M,-105.23M,,2.776M,-33.33M,,201.90M,-21.12M,-0.061M,180.72M,,45.19M,0.831M,-2.152M,-65.28M,15.66M,32.82M,,,Restated
2006-06,254.11M,,-10.19M,,93.11M,93.11M,116.56M,,,,37.00M,-3.808M,-0.857M,13.07M,38.32M,,-81.88M,29.19M,-5.96M,484.62M,,-150.84M,9.208M,-141.63M,-4.955M,,-0.673M,-147.26M,,,,-245.65M,23.27M,-16.52M,6.758M,,-104.00M,,1.085M,-341.81M,,205.60M,-4.45M,0.742M,201.90M,,23.27M,,,-16.52M,,,,,
2006-03,188.54M,,0.528M,,82.40M,82.40M,103.78M,,,,31.23M,-101.15M,75.04M,-6.617M,20.20M,,-92.49M,26.20M,-78.81M,327.66M,,-131.35M,1.282M,-130.07M,-54.65M,,-0.578M,-185.29M,,,,-62.04M,28.57M,-54.44M,-25.87M,,-105.38M,,2.361M,-190.92M,,253.94M,-48.56M,0.225M,205.60M,,28.57M,,,-54.44M,,,,,
2005-12,204.18M,,0.02M,,84.50M,84.50M,149.76M,,,,41.00M,55.13M,-100.01M,2.305M,-6.283M,,-278.29M,-41.10M,-368.25M,111.21M,,-138.53M,2.557M,-135.97M,-26.42M,,-0.545M,-162.94M,,,,374.35M,23.86M,-177.76M,-153.90M,,-93.60M,,0.641M,127.49M,,177.92M,75.76M,0.255M,253.94M,,23.86M,,,-177.76M,,,,,
2005-09,208.50M,,0.36M,,85.06M,85.06M,112.01M,,,,37.46M,-112.76M,-93.57M,-7.021M,-2.47M,,-63.80M,36.59M,-243.04M,200.34M,,-94.03M,9.654M,-84.37M,-28.36M,,-0.447M,-113.18M,,,,260.96M,52.36M,-295.42M,-243.07M,,-94.56M,,-22.71M,-99.38M,,191.68M,-12.21M,-1.547M,177.92M,,52.36M,,,-295.42M,,,,,
2005-06,284.68M,,-21.87M,,85.78M,85.78M,171.00M,,,,20.59M,-23.88M,34.56M,4.022M,20.11M,,-110.15M,-93.96M,-169.29M,370.89M,,-85.80M,8.423M,-77.38M,-66.15M,,83.50M,-60.03M,,,,-38.75M,57.54M,-243.58M,-186.04M,,-95.32M,,-0.32M,-320.44M,,199.52M,-9.577M,1.737M,191.68M,,57.54M,,,-243.58M,,,,,
2005-03,218.22M,,6.854M,,80.67M,80.67M,118.56M,,,,17.74M,-81.56M,53.93M,1.298M,86.30M,,-39.92M,-2.556M,17.50M,459.55M,,-98.82M,9.728M,-89.09M,-16.05M,,-0.25M,-105.38M,,,,-65.98M,47.30M,-199.22M,-151.92M,,-95.74M,,5.316M,-308.32M,,152.93M,45.84M,0.749M,199.52M,,47.30M,,,-199.22M,,,,,
2004-12,232.64M,,-0.485M,,76.23M,76.23M,117.29M,,,,,89.73M,-76.08M,1.434M,-38.76M,,-199.32M,38.29M,-184.70M,240.98M,,-105.68M,3.835M,-101.84M,-33.39M,,-16.22M,-151.45M,,,,27.26M,37.69M,-105.95M,-68.25M,,-83.17M,,,-124.16M,,189.60M,-34.64M,-2.036M,152.93M,,37.69M,,,-105.95M,,,,,
2004-09,225.91M,,15.50M,,74.06M,74.06M,148.00M,,,,,-57.11M,-47.44M,-10.81M,-39.57M,,-141.82M,-45.98M,-342.74M,120.75M,,-99.90M,3.496M,-96.41M,-0.052M,,-0.113M,-96.57M,,,,34.83M,65.47M,-48.91M,16.56M,,-83.06M,,,-31.67M,,199.71M,-7.495M,-2.608M,189.60M,,65.47M,,,-48.91M,,,,,
2004-06,280.60M,,-23.61M,,74.54M,74.54M,200.01M,,,,,-91.86M,-27.75M,2.518M,18.72M,18.98M,-21.20M,,-159.39M,434.38M,,-150.70M,2.497M,-148.20M,-45.16M,,-0.106M,-193.46M,,,,-61.95M,31.84M,-99.54M,-67.71M,,-83.27M,,-1.494M,-214.42M,,172.70M,26.50M,0.51M,199.71M,,31.84M,,,-99.54M,,,,,
2004-03,195.82M,,8.718M,,70.38M,70.38M,143.09M,,,,,-11.77M,-14.54M,3.054M,73.25M,5.662M,-81.81M,,-26.15M,391.86M,,-130.69M,3.539M,-127.15M,-0.388M,,-0.223M,-127.76M,,,,-0.588M,49.48M,-290.81M,-241.34M,,-83.77M,,1.305M,-324.39M,,232.60M,-60.30M,0.397M,172.70M,,49.48M,,,-290.81M,,,,,
2003-12,221.98M,,7.563M,,69.00M,69.00M,136.13M,,,,,36.86M,-42.53M,3.301M,-35.40M,-10.63M,-207.53M,,-255.93M,178.74M,,-145.64M,8.532M,-137.11M,-2.063M,,-45.00M,-184.17M,,,,236.69M,30.91M,-178.38M,-147.48M,,-71.24M,,,17.97M,,221.54M,12.54M,-1.486M,232.60M,,30.91M,,,-178.38M,,,,,
2003-09,208.81M,,7.332M,,69.68M,69.68M,128.92M,,,,,-110.28M,-77.68M,-11.06M,39.31M,-14.02M,-54.98M,,-228.71M,186.04M,,-103.06M,1.283M,-101.77M,-31.64M,,-45.00M,-178.41M,,,,-66.92M,55.43M,-39.76M,15.66M,,-71.26M,,,-122.51M,,337.45M,-114.88M,-1.022M,221.54M,,55.43M,,,-39.76M,,,,,
2003-06,242.74M,,2.689M,,68.99M,68.99M,160.86M,,,,,-42.89M,46.60M,9.231M,84.75M,11.30M,-95.93M,,13.07M,488.34M,,-125.24M,5.101M,-120.14M,-39.52M,,0.249M,-159.41M,,,,-34.48M,19.34M,-105.66M,-86.32M,,-71.52M,,,-176.96M,,186.96M,151.97M,,337.45M,,19.34M,,,-105.66M,,,,,
2003-03,168.41M,,8.536M,,70.72M,70.72M,106.98M,,,,,-77.04M,14.21M,2.511M,114.20M,-12.51M,31.95M,,73.31M,427.96M,,-92.59M,1.552M,-91.04M,-1.248M,,0.00,-92.29M,,,,-95.24M,19.32M,-129.43M,-110.11M,,-71.94M,,,-277.29M,,128.57M,58.38M,,186.96M,,19.32M,,,-129.43M,,,,,
2002-12,184.57M,,8.362M,,67.64M,67.64M,107.88M,,,,,17.62M,-21.75M,9.813M,-32.54M,-14.60M,2.303M,,-39.15M,329.30M,,-129.77M,3.194M,-126.58M,-168.20M,,-27.06M,-321.83M,,,,129.84M,20.71M,-133.48M,-112.77M,,-59.16M,,,-42.08M,,163.19M,-34.62M,,128.57M,,20.71M,,,-133.48M,,,,,
2002-09,182.57M,,7.546M,,65.80M,65.80M,105.61M,,,,,-115.85M,-109.02M,-31.06M,70.95M,7.433M,-56.74M,,-234.29M,127.24M,,-88.02M,4.782M,-83.24M,-0.048M,,-25.00M,-108.29M,,,,73.01M,41.94M,-109.90M,-67.96M,,-59.24M,,,-54.20M,,198.44M,-35.25M,,163.19M,,41.94M,,,-109.90M,,,,,
2002-06,205.92M,,0.257M,,74.77M,74.77M,121.26M,,,,,-35.61M,25.89M,10.97M,-32.04M,-6.114M,-24.63M,,-61.54M,340.66M,,-107.05M,12.69M,-94.36M,-222.42M,,,-316.78M,,,,96.22M,14.72M,-190.65M,-175.94M,,-59.81M,,,-139.52M,,346.08M,-115.64M,,230.44M,,14.72M,,,-190.65M,,,,,
2002-03,151.38M,,8.93M,,68.24M,68.24M,82.96M,,,,,-16.88M,-16.38M,2.516M,67.87M,3.981M,30.08M,,71.20M,382.71M,,-94.16M,3.778M,-90.38M,-0.001M,,,-90.38M,,,,40.84M,21.15M,-64.25M,-43.10M,,-59.83M,,,-62.09M,,115.84M,230.24M,,346.08M,,21.15M,,,-64.25M,,,,,
2001-12,158.53M,,9.346M,,68.62M,68.62M,71.35M,,,,,57.95M,46.99M,10.79M,-55.70M,-8.966M,-38.01M,,13.06M,320.91M,,-126.88M,2.53M,-124.35M,-0.965M,,,-125.32M,,,,-93.85M,14.84M,-77.68M,-62.83M,,-46.65M,,,-203.34M,,123.59M,-7.743M,,115.84M,,14.84M,,,-77.68M,,,,,
2001-09,163.95M,,7.371M,,66.62M,66.62M,-12.08M,,,,,-37.82M,-74.30M,-24.95M,19.52M,4.985M,-72.59M,,-185.17M,40.69M,,-88.30M,1.716M,-86.58M,-11.23M,,,-97.82M,,,,197.31M,35.62M,-140.98M,-105.36M,,-46.99M,,,44.97M,,135.74M,-12.16M,,123.59M,,35.62M,,,-140.98M,,,,,
2001-06,174.16M,,-23.98M,,66.00M,66.00M,35.32M,,,,,-17.60M,10.68M,4.678M,188.70M,12.63M,-111.87M,,74.87M,348.12M,,-95.54M,5.30M,-90.24M,-1.018M,,,-91.26M,,,,-85.54M,14.15M,-116.62M,-102.47M,,-47.19M,,,-235.19M,,114.08M,21.66M,,135.74M,,14.15M,,,-116.62M,,,,AOR,
2001-03,139.36M,,7.506M,,63.29M,63.29M,-17.10M,,,,,-8.997M,13.52M,-0.214M,32.59M,-5.086M,69.06M,,100.86M,293.92M,,-86.24M,4.901M,-81.34M,-5.209M,,,-86.54M,,,,-66.32M,13.95M,-111.97M,-98.01M,,-46.47M,,,-210.80M,,117.51M,-3.426M,,114.08M,,13.95M,,,-111.97M,,,,,
2000-12,139.42M,,8.277M,,59.24M,59.24M,-6.703M,,,,,27.54M,-19.07M,2.065M,-56.83M,-4.412M,-22.58M,,-73.29M,126.94M,,-88.61M,2.076M,-86.53M,-2.713M,,,-89.24M,,,,161.20M,11.86M,-170.78M,-158.91M,,-40.06M,,,-37.77M,,117.58M,-0.069M,,117.51M,,11.86M,,,-170.78M,,,,,
2000-09,143.96M,,8.195M,,59.71M,59.71M,-5.313M,,,,,-84.88M,-59.24M,0.018M,61.55M,-3.134M,65.39M,,-20.30M,186.24M,,-70.75M,0.473M,-70.28M,-1.423M,,,-71.70M,,,,-122.82M,35.54M,-28.84M,6.708M,,-39.98M,,,-156.10M,,159.13M,-41.55M,,117.58M,,35.54M,,,-28.84M,,,,,
2000-06,136.02M,,-31.89M,,58.68M,58.68M,-4.299M,,,,16.08M,-8.407M,19.74M,,124.59M,39.51M,-101.75M,,31.87M,233.54M,,-74.57M,8.04M,-66.53M,-12.69M,,,-79.22M,,,,-66.27M,11.89M,-12.62M,-0.726M,,-39.95M,,,-106.95M,,111.76M,47.37M,,159.13M,,11.89M,,,-12.62M,,,,,Restated
2000-03,101.97M,,18.79M,,55.08M,55.08M,-6.729M,,,,-8.041M,-16.67M,19.02M,,94.63M,-8.813M,20.35M,,108.51M,269.58M,,3.66M,4.182M,7.842M,-199.21M,,,-191.37M,,,,-28.76M,9.153M,-3.181M,5.972M,,-39.57M,,,-62.36M,,95.90M,15.85M,,111.76M,,9.153M,,,-3.181M,,,,,
1999-12,101.90M,,7.10M,,54.00M,54.00M,-12.90M,,,,0.10M,1.40M,-49.80M,,-31.40M,2.90M,36.50M,,-40.40M,109.80M,,-75.80M,1.30M,-74.50M,,,,-74.50M,,,,-46.90M,10.20M,-13.50M,-3.30M,,-32.90M,,-0.10M,-83.20M,,143.80M,-47.90M,,95.90M,,10.20M,,,-13.50M,,,,,
1999-09,105.70M,,6.00M,,52.90M,52.90M,-1.60M,,,,-0.10M,-94.90M,-45.90M,,62.40M,-33.60M,44.90M,,-67.10M,95.80M,,-119.70M,5.40M,-114.30M,,,,-114.30M,,,,181.80M,21.10M,-157.00M,-135.90M,,-33.00M,,0.10M,13.00M,,149.30M,-5.50M,,143.80M,,21.10M,,,-157.00M,,,,,
1999-06,116.87M,,-20.00M,,54.00M,54.00M,11.36M,,,,,-32.87M,7.536M,,50.34M,4.20M,16.50M,,11.56M,200.00M,,-75.49M,7.952M,-67.54M,,,-0.10M,-67.64M,,,,-7.789M,8.785M,-63.46M,-54.67M,,-33.09M,,,-95.55M,,112.50M,36.82M,,149.30M,,8.785M,,,-63.46M,,,,,Restated
1999-03,72.60M,,8.10M,,52.90M,52.90M,-0.40M,,,,-0.10M,-4.80M,28.60M,,24.20M,18.20M,16.10M,,82.30M,215.40M,,-63.60M,6.50M,-57.10M,,,0.00,-57.10M,,,,-62.30M,7.80M,-67.30M,-59.50M,,-33.40M,,0.10M,-155.10M,,0.00,3.20M,,112.50M,,7.80M,,,-67.30M,,,,,
1998-12,86.40M,,6.20M,,50.10M,50.10M,-1.90M,,,,0.00,-3.40M,-35.00M,,-2.50M,-5.40M,-46.50M,,-92.80M,48.00M,,-89.60M,5.60M,-84.00M,,,0.10M,-83.90M,,,,99.50M,7.20M,-39.60M,-32.40M,,-30.00M,,-0.20M,36.90M,,108.30M,1.00M,,0.00,,7.20M,,,-39.60M,,,,,
1998-09,86.40M,,5.70M,,48.00M,48.00M,-3.40M,,,,0.10M,-103.90M,-62.60M,,154.70M,-17.00M,13.90M,,-14.90M,121.90M,,-58.00M,4.90M,-53.10M,,,,-53.10M,,,,-22.10M,15.00M,-33.60M,-18.60M,,-30.20M,,0.10M,-70.80M,,110.30M,-2.00M,,108.30M,,15.00M,,,-33.60M,,,,,
1998-06,97.50M,,6.20M,,47.70M,47.70M,12.90M,,,,0.30M,-32.20M,-4.60M,,-46.80M,0.60M,19.30M,,-63.70M,100.90M,,-164.80M,3.50M,-161.30M,,,,-161.30M,,,,188.40M,5.80M,-87.90M,-82.10M,,-30.40M,,-0.10M,75.80M,,0.00,15.40M,,0.00,,5.80M,,,-87.90M,,,,,
1998-03,63.60M,,7.10M,,45.90M,45.90M,-8.20M,,,,-0.30M,10.60M,32.50M,,-11.90M,-2.70M,36.50M,,65.00M,173.10M,,-58.00M,1.30M,-56.70M,,,0.10M,-56.60M,,,,-33.80M,7.20M,-65.90M,-58.70M,,-29.00M,,0.20M,-121.30M,,0.00,-4.80M,,0.00,,7.20M,,,-65.90M,,,,,
1997-12,83.60M,,5.00M,,44.30M,44.30M,-23.10M,,,,0.20M,4.70M,-16.60M,,-8.00M,11.80M,-49.90M,,-58.00M,52.00M,,-64.30M,2.70M,-61.60M,,,-0.20M,-61.80M,,,,87.20M,8.30M,-48.80M,-40.50M,,-25.60M,,-0.10M,21.00M,,0.00,11.20M,,0.00,,8.30M,,,-48.80M,,,,,
1997-09,80.10M,,4.70M,,43.30M,43.30M,3.30M,,,,,-145.40M,-59.80M,,80.80M,-14.60M,39.40M,,-99.60M,31.80M,,-56.70M,0.80M,-55.90M,,,0.10M,-55.80M,,,,69.00M,12.60M,-60.80M,-48.20M,,-25.90M,,,-5.10M,,117.70M,-29.10M,,0.00,,12.60M,,,-60.80M,,,,,
1997-06,91.00M,,3.10M,,41.40M,41.40M,18.70M,,,,-0.10M,7.40M,11.60M,,0.20M,-1.00M,-16.80M,,1.40M,155.50M,,-61.80M,0.90M,-60.90M,,,,-60.90M,,,,67.40M,5.50M,-107.80M,-102.30M,,-26.30M,,,-61.10M,,0.00,33.50M,,117.70M,,5.50M,,,-107.80M,,,,,
1997-03,61.70M,,4.90M,,40.40M,40.40M,8.80M,,,,0.00,13.90M,20.90M,,20.60M,-2.90M,28.60M,,81.10M,196.90M,,-47.30M,1.00M,-46.30M,,,,-46.30M,,,,-62.10M,6.30M,-71.70M,-65.40M,,-26.60M,,,-154.10M,,0.00,-3.50M,,0.00,,6.30M,,,-71.70M,,,,,
1996-12,76.40M,,8.20M,,39.60M,39.60M,-15.50M,,,,0.10M,29.90M,-5.10M,,-55.60M,-7.20M,-26.00M,,-64.00M,44.80M,,-59.60M,0.30M,-59.30M,,,,-59.30M,,,,62.40M,4.70M,-69.70M,-65.00M,,-23.20M,,,-25.80M,,0.00,-40.30M,,0.00,,4.70M,,,-69.70M,,,,,
1996-09,73.40M,,5.40M,,38.90M,38.90M,-0.90M,,,,,-91.40M,-34.30M,,77.90M,-4.20M,36.10M,,-15.90M,100.90M,,-47.50M,0.60M,-46.90M,,,,-46.90M,,,,34.20M,11.60M,-56.10M,-44.50M,,-23.50M,,,-33.80M,,107.80M,20.20M,,0.00,,11.60M,,,-56.10M,,,,,
1996-06,83.70M,,3.50M,,38.70M,38.70M,-10.30M,,,,0.20M,6.80M,12.10M,,-29.80M,2.50M,27.40M,,19.00M,134.80M,,-39.60M,7.30M,-32.30M,,,,-32.30M,,,,6.70M,4.80M,-168.00M,-163.20M,,87.40M,,,-69.10M,,0.00,33.40M,,0.00,,4.80M,,,-168.00M,,,,,
1996-03,56.30M,,4.10M,,37.30M,37.30M,14.30M,,,,0.10M,-36.00M,5.90M,,42.10M,-15.00M,22.40M,,19.40M,131.50M,,-56.80M,1.50M,-55.30M,,,0.10M,-55.20M,,,,-31.20M,4.70M,42.20M,46.90M,,-134.90M,,,-119.20M,,0.00,-42.90M,,0.00,,4.70M,,,42.20M,,,,,
1995-12,70.70M,,4.20M,,34.80M,34.80M,12.30M,,,,0.70M,15.50M,-11.40M,,-40.10M,6.10M,-42.60M,,-72.50M,50.20M,,-78.00M,1.90M,-76.10M,,,-0.10M,-76.20M,,,,153.10M,4.50M,-84.70M,-80.20M,,-20.10M,,0.10M,52.90M,,0.00,26.90M,,0.00,,4.50M,,,-84.70M,,,,,
1995-09,66.20M,,4.60M,,33.90M,33.90M,-0.20M,,,,1.40M,-110.00M,-62.70M,,98.50M,-10.20M,12.40M,,-72.00M,33.90M,,-61.50M,0.30M,-61.20M,,,,-61.20M,,,,14.10M,11.40M,-21.60M,-10.20M,,-20.10M,,-0.10M,-16.30M,,133.90M,-43.60M,,0.00,,11.40M,,,-21.60M,,,,,
1995-06,77.10M,,1.80M,,33.60M,33.60M,-1.60M,,,,1.60M,0.10M,9.40M,,5.80M,-2.30M,25.00M,,38.00M,150.50M,,-52.10M,1.30M,-50.80M,,,,-50.80M,,,,-24.90M,3.70M,-2.70M,1.00M,,-20.10M,,0.00,-44.00M,,0.00,55.70M,,0.00,,3.70M,,,-2.70M,,,,,
1995-03,52.80M,,1.00M,,32.90M,32.90M,5.70M,,,,4.50M,-19.10M,26.00M,,14.00M,-3.80M,20.30M,,37.40M,134.30M,,-67.40M,1.80M,-65.60M,,,-0.10M,-65.70M,,,,-46.00M,3.60M,-12.40M,-8.80M,,-20.10M,,0.20M,-74.70M,,0.00,-6.10M,,0.00,,3.60M,,,-12.40M,,,,,
1994-12,63.50M,,6.60M,,32.50M,32.50M,15.10M,,,,0.20M,11.20M,-30.90M,,-16.90M,-10.00M,-34.40M,,-81.00M,36.90M,,-44.10M,1.30M,-42.80M,,,0.10M,-42.70M,,,,52.30M,3.80M,-24.80M,-21.00M,,-16.50M,,-0.20M,14.60M,,0.00,8.80M,,0.00,,3.80M,,,-24.80M,,,,,
1994-09,58.40M,,6.60M,,31.80M,31.80M,4.20M,,,,-0.20M,-84.30M,-70.40M,,73.10M,-16.50M,12.50M,,-85.60M,15.20M,,-38.00M,0.70M,-37.30M,,,,-37.30M,,,,27.80M,12.70M,-13.30M,-0.60M,,-16.50M,,0.10M,10.80M,,86.70M,-11.30M,,0.00,,12.70M,,,-13.30M,,,,,
1994-06,67.50M,,5.00M,,31.00M,31.00M,9.50M,,,,,-0.70M,10.50M,,-15.10M,-12.40M,12.00M,,-5.70M,107.30M,,-44.00M,0.70M,-43.30M,,,-3.70M,-47.00M,,,,0.10M,4.10M,-25.40M,-21.30M,,-16.60M,,0.10M,-37.70M,,0.00,22.60M,,0.00,,4.10M,,,-25.40M,,,,,
1994-03,45.70M,,6.40M,,30.60M,30.60M,2.50M,,,,,-35.30M,27.70M,,78.90M,-9.50M,28.50M,,90.30M,175.50M,,-39.60M,0.90M,-38.70M,,,-0.10M,-38.80M,,,,-83.90M,4.40M,-27.10M,-22.70M,,-16.60M,,-0.20M,-123.40M,,0.00,13.30M,,0.00,,4.40M,,,-27.10M,,,,,
1993-12,55.50M,,6.00M,,29.90M,29.90M,3.10M,,,,0.10M,20.80M,-42.20M,,-61.20M,-4.50M,-30.90M,,-118.00M,-23.40M,,-39.60M,0.20M,-39.40M,,,1.00M,-38.40M,,,,75.00M,4.30M,-15.60M,-11.30M,,-13.00M,,0.10M,50.80M,,0.00,-11.00M,,0.00,,4.30M,,,-15.60M,,,,,
1993-09,48.10M,,6.20M,,28.50M,28.50M,8.20M,,,,-0.10M,-71.30M,-54.30M,,71.20M,-21.60M,8.20M,,-67.80M,23.10M,,-38.30M,0.90M,-37.40M,,,-12.80M,-50.20M,,,,34.40M,10.70M,-12.00M,-1.30M,,-12.90M,,,20.20M,,68.80M,-6.90M,,0.00,,10.70M,,,-12.00M,,,,,
1993-06,65.80M,,3.40M,,27.90M,27.90M,4.10M,,,,33.70M,-26.80M,13.10M,,-7.80M,,14.10M,,-42.10M,92.80M,,-25.00M,0.50M,-24.50M,,,0.40M,-24.10M,,,,22.10M,17.40M,-94.10M,-76.70M,,-13.10M,,-0.10M,-67.80M,,0.00,0.90M,,0.00,,17.40M,,,-94.10M,,,,,
1993-03,42.80M,,4.20M,,27.30M,27.30M,2.90M,,,,-8.90M,-0.10M,8.20M,,10.50M,,24.40M,,43.00M,111.30M,,-31.60M,0.70M,-30.90M,,,-5.40M,-36.30M,,,,7.90M,,-61.00M,-61.00M,,-13.30M,,,-66.40M,,0.00,8.60M,,0.00,,,,,-61.00M,,,,,
1992-12,48.30M,,7.70M,,26.70M,26.70M,3.00M,,,,-6.90M,4.50M,-10.10M,,-31.50M,,-33.50M,,-70.60M,8.20M,,-35.30M,2.90M,-32.40M,,,-5.30M,-37.70M,,,,39.30M,-0.50M,-7.10M,-7.60M,,-11.20M,,-0.10M,20.40M,,0.00,-9.10M,,0.00,,-0.50M,,,-7.10M,,,,,
1992-09,44.90M,,7.00M,,25.80M,25.80M,3.30M,,,,-17.90M,-80.80M,-49.30M,,82.90M,,29.00M,,-18.20M,44.90M,,-36.00M,1.00M,-35.00M,,,10.80M,-24.20M,,,,2.10M,0.50M,-18.10M,-17.60M,,-11.20M,,0.10M,-26.60M,,74.40M,-5.90M,,0.00,,0.50M,,,-18.10M,,,,,
1992-06,50.30M,,5.30M,,25.40M,25.40M,-2.60M,,,,-3.50M,-0.90M,10.70M,,-22.20M,,25.70M,,13.30M,88.20M,,-41.50M,6.90M,-34.60M,,,-12.60M,-47.20M,,,,0.80M,2.90M,,-16.90M,,-9.30M,,-0.10M,-25.50M,,0.00,15.50M,,0.00,,2.90M,,,,,,,,
1992-03,36.10M,,7.20M,,25.00M,25.00M,5.50M,,,,0.40M,-12.30M,3.40M,,41.00M,,9.40M,,41.50M,115.70M,,-22.30M,0.30M,-22.00M,,,0.10M,-21.90M,,,,-81.80M,3.70M,,3.70M,,-9.30M,,0.10M,-87.30M,,0.00,6.50M,,0.00,,3.70M,,,,,,,,
1991-12,43.80M,,6.20M,,24.80M,24.80M,5.50M,,,,-11.30M,3.60M,0.70M,,-39.30M,,-29.30M,,-64.30M,4.70M,,-32.60M,4.00M,-28.60M,,,,-28.60M,,,,24.60M,2.50M,,2.50M,,-6.50M,,,20.60M,,0.00,-3.30M,,0.00,,2.50M,,,,,,,,
1991-09,42.00M,,6.30M,,24.30M,24.30M,5.50M,,,,-7.50M,-59.60M,-42.00M,,60.90M,,-4.50M,,-45.20M,25.40M,,-37.90M,5.20M,-32.70M,,,,-32.70M,,,,-9.10M,8.30M,,8.30M,,-6.50M,,,-7.30M,,70.20M,-14.60M,,0.00,,8.30M,,,,,,,,
1991-06,44.40M,,5.50M,,24.60M,24.60M,7.50M,,,,4.20M,0.90M,8.50M,,-22.70M,,8.80M,,-4.50M,81.70M,,-33.60M,1.80M,-31.80M,,,-45.20M,-77.00M,,,,17.00M,1.90M,,1.90M,,-6.50M,,,12.50M,,0.00,17.20M,,0.00,,1.90M,,,,,,,,
1991-03,31.40M,,8.50M,,22.70M,22.70M,5.00M,,,,-0.50M,20.70M,20.50M,,1.20M,,6.00M,,48.40M,115.50M,,-31.30M,0.50M,-30.80M,,,-0.10M,-30.90M,,,,-83.10M,3.90M,,3.90M,,-6.50M,,,-85.70M,,0.00,-1.10M,,0.00,,3.90M,,,,,,,,
1990-12,40.40M,,7.10M,,22.40M,22.40M,5.00M,,,,2.70M,-5.60M,-8.30M,,-23.60M,,-15.30M,,-52.80M,24.80M,,-40.20M,1.30M,-38.90M,,,0.10M,-38.80M,,,,10.10M,3.20M,,3.20M,,-4.60M,,,8.70M,,0.00,-5.30M,,0.00,,3.20M,,,,,,,,
1990-09,37.60M,,5.90M,,22.50M,22.50M,5.00M,,,,-14.80M,-73.00M,-41.80M,,72.40M,,12.40M,,-30.00M,26.20M,,-29.80M,0.30M,-29.50M,,,,-29.50M,,,,4.20M,7.10M,,7.10M,,-4.60M,,,6.70M,,56.00M,3.40M,,0.00,,7.10M,,,,,,,,
