,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-06,5.789B,5.789B,4.821B,968.72M,,,,,667.26M,301.46M,,,-1.567M,,282.05M,107.88M,174.16M,,174.16M,174.16M,367.36M,66.00M,301.36M,,0.26,,,,0.26,0.26,,0.26,,,,0.26,0.26,,667.96M,681.81M,0.07,,AOR,
2001-03,5.344B,5.344B,4.238B,1.107B,800.16M,0.879M,,,863.44M,243.31M,,,0.879M,,225.69M,86.33M,139.36M,,139.36M,138.82M,306.60M,63.29M,243.31M,,0.21,0.00,,,0.2092,0.21,,0.21,0.00,,,0.2092,0.21,,666.11M,677.73M,0.07,,,
2000-12,5.291B,5.291B,4.192B,1.099B,795.67M,-0.046M,,,854.91M,243.87M,,,-0.046M,,225.79M,86.36M,139.42M,,139.42M,139.45M,303.11M,59.24M,243.87M,,0.21,0.00,,,0.2100,0.21,,0.21,0.00,,,0.2100,0.21,,664.09M,675.76M,0.07,,,
2000-09,5.360B,5.360B,4.263B,1.097B,787.50M,0.633M,,,847.21M,249.89M,,,0.633M,,233.12M,89.17M,143.96M,,143.96M,143.56M,309.60M,59.71M,249.89M,,0.215,0.00,,,0.2144,0.215,,0.215,0.00,,,0.2144,0.215,,664.05M,674.19M,0.06,,,
2000-06,5.272B,5.272B,4.417B,854.58M,,,,,602.61M,251.96M,,,0.131M,,234.24M,90.18M,144.06M,,152.10M,144.06M,309.12M,58.68M,250.44M,,0.21,,,,0.21,0.22,,0.20,,,,0.20,0.21,,663.30M,675.48M,0.06,,,Restated
2000-03,4.723B,4.723B,3.774B,948.87M,709.50M,-0.088M,,,764.58M,184.29M,,,-0.088M,,165.85M,63.85M,102.00M,,102.00M,102.05M,239.37M,55.08M,184.29M,,0.16,0.00,,,0.1601,0.16,,0.16,0.00,,,0.1601,0.16,,658.61M,667.33M,0.06,,,
1999-12,4.652B,4.652B,3.718B,933.50M,695.40M,-1.80M,,,749.40M,184.10M,,,-1.80M,,165.70M,63.80M,101.90M,,101.90M,103.01M,238.10M,54.00M,184.10M,,0.155,0.00,,,0.1567,0.155,,0.155,0.00,,,0.1567,0.155,,656.96M,667.09M,0.06,,,
1999-09,4.657B,4.657B,3.740B,916.70M,674.20M,0.20M,,,727.10M,189.60M,,,0.20M,,171.90M,66.20M,105.70M,,97.70M,105.58M,242.50M,52.90M,189.60M,,0.16,-0.01,,-0.0123,0.1598,0.15,,0.16,-0.01,,-0.0123,0.1598,0.15,,651.33M,651.33M,0.05,,,
1999-06,4.819B,4.819B,4.061B,757.77M,,,,,546.47M,211.31M,,,-0.663M,,191.59M,74.72M,116.87M,,116.87M,116.87M,264.35M,54.00M,210.34M,,0.17,,,,0.17,0.17,,0.17,,,,0.17,0.17,,673.58M,704.64M,0.05,,,Restated
1999-03,4.165B,4.165B,3.350B,815.30M,625.10M,-0.10M,,,678.00M,137.30M,,,-0.10M,,119.00M,46.40M,72.60M,,72.60M,72.66M,190.20M,52.90M,137.30M,,0.11,0.00,,,0.1101,0.11,,0.11,0.00,,,0.1101,0.11,,660.00M,660.00M,0.05,,,
1998-12,4.247B,4.247B,3.419B,827.30M,616.90M,-0.20M,,,667.00M,160.30M,,,-0.20M,,141.60M,55.20M,86.40M,,86.40M,86.52M,210.40M,50.10M,160.30M,,0.13,0.00,,,0.1302,0.13,,0.13,0.00,,,0.1302,0.13,,664.62M,664.62M,0.05,,,
1998-09,4.193B,4.193B,3.378B,814.50M,607.80M,-0.20M,,,655.80M,158.70M,,,-0.20M,,141.70M,55.30M,86.40M,,86.40M,86.52M,206.70M,48.00M,158.70M,,0.13,0.00,,,0.1302,0.13,,0.13,0.00,,,0.1302,0.13,,664.62M,664.62M,0.045,,,
1998-06,4.001B,4.001B,3.203B,798.30M,574.80M,-0.30M,,,622.50M,175.80M,,,-0.30M,,159.90M,62.40M,97.50M,0.00,97.50M,97.68M,223.50M,47.70M,175.80M,,0.135,0.00,0.00,,0.1352,0.135,,0.135,-0.005,0.0011,,0.1352,0.135,,736.28M,736.28M,0.045,,,
1998-03,3.712B,3.712B,2.989B,722.60M,557.10M,-0.20M,,,603.00M,119.60M,,,-0.20M,,104.20M,40.60M,63.60M,,63.60M,63.72M,165.50M,45.90M,119.60M,,0.10,0.00,,,0.1002,0.10,,0.10,0.00,,,0.1002,0.10,,636.00M,636.00M,0.045,,,
1997-12,3.786B,3.786B,3.039B,747.50M,551.90M,0.30M,,,596.20M,151.30M,,,0.30M,,137.10M,53.50M,83.60M,,55.50M,83.42M,195.60M,44.30M,151.30M,,0.13,-0.04,,-0.0456,0.1297,0.09,,0.12,-0.04,,-0.0456,0.1197,0.08,,616.67M,693.75M,0.0425,,,
1997-09,3.828B,3.828B,3.088B,740.60M,553.00M,0.10M,,,596.30M,144.30M,,,0.10M,,131.30M,51.20M,80.10M,,80.10M,80.04M,187.60M,43.30M,144.30M,,0.12,0.00,,,0.1199,0.12,,0.12,0.00,,,0.1199,0.12,,667.50M,667.50M,0.0375,,,
1997-06,3.695B,3.695B,2.967B,727.90M,525.30M,,,,566.70M,161.20M,,,,,149.20M,58.20M,91.00M,,91.00M,91.00M,202.60M,41.40M,161.20M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,767.18M,767.18M,0.0375,,,
1997-03,3.470B,3.470B,2.804B,665.80M,512.60M,-0.30M,,,553.00M,112.80M,,,-0.30M,,101.00M,39.40M,61.60M,,61.60M,61.78M,153.20M,40.40M,112.80M,,0.09,0.00,,,0.0903,0.09,,0.09,0.00,,,0.0903,0.09,,684.44M,684.44M,0.0375,,,
1996-12,3.610B,3.610B,2.915B,695.40M,518.70M,,,,558.30M,137.10M,,,,,125.30M,48.90M,76.40M,,76.40M,76.40M,176.70M,39.60M,137.10M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,694.55M,694.55M,0.0375,,,
1996-09,3.679B,3.679B,2.990B,689.60M,519.70M,0.20M,,,558.60M,131.00M,,,0.20M,,120.30M,46.90M,73.40M,,73.40M,73.28M,169.90M,38.90M,131.00M,,0.11,0.00,,,0.1098,0.11,,0.10,0.00,,,0.0998,0.10,,667.27M,734.00M,0.0325,,,
1996-06,3.544B,3.544B,2.859B,685.70M,498.50M,-0.20M,,,537.20M,148.50M,,,-0.20M,,137.20M,53.50M,83.70M,,83.70M,83.82M,187.20M,38.70M,148.50M,,0.11,0.00,,,0.1102,0.11,,0.11,0.00,,,0.1102,0.11,,768.07M,768.07M,0.0325,,,
1996-03,3.257B,3.257B,2.638B,618.60M,479.10M,0.40M,,,516.40M,102.20M,,,0.40M,,92.30M,36.00M,56.30M,,56.30M,56.06M,139.50M,37.30M,102.20M,,0.08,0.00,,,0.0797,0.08,,0.08,0.00,,,0.0797,0.08,,703.75M,703.75M,0.065,,,
1995-12,3.302B,3.302B,2.671B,630.60M,469.90M,0.40M,,,504.70M,125.90M,,,0.40M,,115.90M,45.20M,70.70M,,70.70M,70.46M,160.70M,34.80M,125.90M,,0.10,0.00,,,0.0997,0.10,,0.10,0.00,,,0.0997,0.10,,707.00M,707.00M,0.0275,,,
1995-09,3.292B,3.292B,2.671B,621.10M,469.80M,0.40M,,,503.70M,117.40M,,,0.40M,,108.50M,42.30M,66.20M,,66.20M,65.96M,151.30M,33.90M,117.40M,,0.09,0.00,,,0.0897,0.09,,0.09,0.00,,,0.0897,0.09,,735.56M,735.56M,0.0275,,,
1995-06,3.162B,3.162B,2.549B,613.10M,442.30M,0.50M,,,475.90M,137.20M,,,0.50M,,127.80M,50.70M,77.10M,,77.10M,76.80M,170.80M,33.60M,137.20M,,0.105,0.00,,,0.1046,0.105,,0.105,0.00,,,0.1046,0.105,,735.67M,735.67M,0.0275,,,
1995-03,2.966B,2.966B,2.400B,566.10M,436.40M,0.60M,,,468.80M,97.30M,,,0.60M,,87.60M,34.80M,52.80M,,52.80M,52.44M,130.20M,32.90M,97.30M,,0.08,0.00,,,0.0795,0.08,,0.08,0.00,,,0.0795,0.08,,660.00M,660.00M,0.0275,,,
1994-12,3.007B,3.007B,2.431B,575.60M,428.30M,0.50M,,,460.80M,114.80M,,,0.50M,,105.30M,41.80M,63.50M,,63.50M,63.20M,147.30M,32.50M,114.80M,,0.09,0.00,,,0.0896,0.09,,0.09,0.00,,,0.0896,0.09,,705.56M,705.56M,0.0225,,,
1994-09,2.983B,2.983B,2.417B,566.10M,429.60M,0.50M,,,461.40M,104.70M,,,0.50M,,96.80M,38.40M,58.40M,,58.40M,58.10M,136.50M,31.80M,104.70M,,0.08,0.00,,,0.0796,0.08,,0.08,0.00,,,0.0796,0.08,,730.00M,730.00M,0.0225,,,
1994-06,2.882B,2.882B,2.327B,554.50M,403.40M,0.20M,,,434.40M,120.10M,,,0.20M,,111.90M,44.40M,67.50M,,67.50M,67.38M,151.10M,31.00M,120.10M,,0.085,0.00,,,0.0848,0.085,,0.085,0.00,,,0.0848,0.085,,806.80M,806.80M,0.0225,,,
1994-03,2.685B,2.685B,2.179B,505.70M,391.80M,0.50M,,,422.40M,83.30M,,,0.50M,,75.80M,30.10M,45.70M,,45.70M,45.40M,113.90M,30.60M,83.30M,,0.07,0.00,,,0.0695,0.07,,0.07,0.00,,,0.0695,0.07,,652.86M,652.86M,0.0225,,,
1993-12,2.666B,2.666B,2.149B,516.60M,384.30M,0.20M,,,414.20M,102.40M,,,0.20M,,92.20M,36.60M,55.60M,,55.60M,55.48M,132.30M,29.90M,102.40M,,0.08,0.00,,,0.0798,0.08,,0.08,0.00,,,0.0798,0.08,,695.00M,695.00M,0.0175,,,
1993-09,2.710B,2.710B,2.196B,514.20M,389.20M,1.00M,,,417.70M,96.50M,,,1.00M,,87.90M,39.80M,48.10M,,48.10M,47.50M,125.00M,28.50M,96.50M,,0.07,0.00,,,0.0691,0.07,,0.07,0.00,,,0.0691,0.07,,687.14M,687.14M,0.0175,,,
1993-06,2.814B,2.814B,2.279B,534.60M,388.20M,0.80M,,,416.10M,118.50M,,,0.80M,,109.10M,43.30M,65.80M,,65.80M,65.32M,146.40M,27.90M,118.50M,,0.08,0.00,,,0.0794,0.08,,0.08,0.00,,,0.0794,0.08,,842.26M,842.26M,0.0175,,,
1993-03,2.399B,2.399B,1.941B,457.90M,351.80M,0.70M,,,379.00M,78.90M,,,0.70M,,70.20M,27.40M,42.80M,,42.80M,42.37M,106.20M,27.30M,78.90M,,0.06,0.00,,,0.0594,0.06,,0.06,0.00,,,0.0594,0.06,,713.33M,713.33M,0.0175,,,
1992-12,2.392B,2.392B,1.935B,457.60M,341.80M,-0.10M,,,368.60M,89.00M,,,-0.10M,,79.30M,30.90M,48.40M,,48.40M,48.46M,115.80M,26.70M,89.00M,,0.07,0.00,,,0.0701,0.07,,0.07,0.00,,,0.0701,0.07,,691.43M,691.43M,0.015,,,
1992-09,2.416B,2.416B,1.962B,453.80M,345.60M,0.80M,,,371.40M,82.40M,,,0.80M,,73.60M,28.70M,44.90M,,44.90M,44.41M,108.20M,25.80M,82.40M,,0.06,0.00,,,0.0593,0.06,,0.06,0.00,,,0.0593,0.06,,748.33M,748.33M,0.015,,,
1992-06,2.348B,2.348B,1.900B,448.30M,331.70M,1.60M,,,357.10M,91.20M,,,1.60M,,82.40M,32.10M,50.30M,,50.30M,49.32M,116.60M,25.40M,91.20M,,0.07,0.00,,,0.0686,0.07,,0.07,0.00,,,0.0686,0.07,,718.82M,718.82M,0.0125,,,
1992-03,2.186B,2.186B,1.774B,412.40M,318.00M,0.50M,,,342.90M,69.50M,,,0.50M,,59.20M,23.10M,36.10M,,36.10M,35.80M,94.50M,25.00M,69.50M,,0.05,0.00,,,0.0496,0.05,,0.05,0.00,,,0.0496,0.05,,722.00M,722.00M,0.0125,,,
1991-12,2.181B,2.181B,1.765B,416.00M,310.30M,2.30M,,,335.20M,80.80M,,,2.30M,,71.40M,27.60M,43.80M,,43.80M,42.39M,105.70M,24.80M,80.80M,,0.06,0.00,,,0.0581,0.06,,0.06,0.00,,,0.0581,0.06,,730.00M,730.00M,0.0088,,,
1991-09,2.177B,2.177B,1.766B,411.90M,310.30M,2.00M,,,334.60M,77.30M,,,2.00M,,68.50M,26.50M,42.00M,,42.00M,40.77M,101.60M,24.30M,77.30M,,0.06,0.00,,,0.0582,0.06,,0.06,0.00,,,0.0582,0.06,,700.00M,700.00M,0.0088,,,
1991-06,2.148B,2.148B,1.738B,411.00M,304.20M,1.80M,,,328.80M,82.20M,,,1.80M,,72.30M,27.90M,44.40M,,44.40M,43.29M,106.80M,24.60M,82.20M,,0.06,0.00,,,0.0585,0.06,,0.06,0.00,,,0.0585,0.06,,741.52M,741.52M,0.0088,,,
1991-03,1.962B,1.962B,1.591B,370.90M,287.60M,2.80M,,,310.30M,60.60M,,,2.80M,,51.20M,19.80M,31.40M,,31.40M,29.68M,83.30M,22.70M,60.60M,,0.05,0.00,,,0.0473,0.05,,0.05,0.00,,,0.0473,0.05,,628.00M,628.00M,0.0088,,,
1990-12,2.013B,2.013B,1.627B,386.40M,286.70M,1.70M,,,309.10M,77.30M,,,1.70M,,66.00M,25.50M,40.50M,,40.50M,39.46M,99.70M,22.40M,77.30M,,0.06,0.00,,,0.0585,0.06,,0.06,0.00,,,0.0585,0.06,,675.00M,675.00M,0.0063,,,
1990-09,2.026B,2.026B,1.646B,379.80M,285.00M,1.20M,,,307.50M,72.30M,,,1.20M,,61.30M,23.70M,37.60M,,37.60M,36.86M,94.80M,22.50M,72.30M,,0.06,0.00,,,0.0588,0.06,,0.06,0.00,,,0.0588,0.06,,626.67M,626.67M,0.0063,,,
1990-06,1.959B,1.959B,1.584B,374.60M,276.40M,0.80M,,,299.30M,75.30M,,,0.80M,,62.30M,23.60M,38.70M,,38.70M,38.20M,98.20M,22.90M,75.30M,,0.06,0.00,,,0.0592,0.06,,0.06,0.00,,,0.0592,0.06,,624.86M,624.86M,0.0063,,,
1990-03,1.865B,1.865B,1.518B,347.80M,270.40M,3.70M,,,291.20M,56.60M,,,3.70M,,46.70M,18.20M,28.50M,,28.50M,26.24M,77.50M,20.90M,56.60M,,0.04,0.00,,,0.0368,0.04,,0.04,0.00,,,0.0368,0.04,,712.50M,712.50M,0.0063,,,
1989-12,1.888B,1.888B,1.532B,356.50M,268.00M,1.60M,,,288.40M,68.10M,,,1.60M,,55.30M,21.60M,33.70M,,33.70M,32.72M,88.50M,20.40M,68.10M,,0.05,0.00,,,0.0486,0.05,,0.05,0.00,,,0.0486,0.05,,674.00M,674.00M,0.0063,,,
1989-09,1.878B,1.878B,1.528B,349.70M,264.00M,1.10M,,,284.20M,65.50M,,,1.10M,,51.80M,20.20M,31.60M,,31.60M,30.93M,85.70M,20.20M,65.50M,,0.05,0.00,,,0.0489,0.05,,0.05,0.00,,,0.0489,0.05,,632.00M,632.00M,0.0057,,,
1989-06,1.842B,1.842B,,,,,,,,-4.78B,,,,,,,31.80M,,31.80M,,-4.78B,,-4.78B,,,,,,,,,,,,,,,,727.04M,727.04M,0.0057,,,
1989-03,1.718B,1.718B,,,,,,,,1.718B,,,,,,,22.50M,,22.50M,,1.718B,,1.718B,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,725.76M,725.76M,0.0057,,,
1988-12,1.734B,1.734B,,,,,,,,1.734B,,,,,,,27.50M,,27.50M,,1.734B,,1.734B,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,721.81M,721.81M,0.005,,,
1988-09,1.558B,1.558B,,,,,,,,1.558B,,,,,,,26.10M,,26.10M,,1.558B,,1.558B,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,722.21M,722.21M,0.005,,,
1988-06,1.224B,1.224B,,,,,,,,-3.017B,,,,,,,25.50M,,25.50M,,-3.017B,,-3.017B,,,,,,,,,,,,,,,,721.94M,721.94M,0.005,,,
1988-03,1.045B,1.045B,,,,,,,,1.045B,,,,,,,17.80M,,17.80M,,1.045B,,1.045B,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,721.14M,721.14M,0.005,,,
1987-12,1.071B,1.071B,,,,,,,,1.071B,,,,,,,21.60M,,21.60M,,1.071B,,1.071B,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,720.94M,720.94M,0.0044,,,
1987-09,1.044B,1.044B,,,,,,,,1.044B,,,,,,,15.40M,,15.40M,,1.044B,,1.044B,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,714.98M,714.98M,0.0044,,,
1987-06,979.80M,979.80M,,,,,,,,-2.554B,,,,,,,16.40M,,16.40M,,-2.554B,,-2.554B,,,,,,,,,,,,,,,,715.31M,715.31M,0.0044,,,
1987-03,895.60M,895.60M,,,,,,,,895.60M,,,,,,,13.80M,,13.80M,,895.60M,,895.60M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,712.70M,712.70M,0.0044,,,
1986-12,902.40M,902.40M,,,,,,,,902.40M,,,,,,,15.40M,,15.40M,,902.40M,,902.40M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,710.69M,710.69M,0.0038,,,
1986-09,878.00M,878.00M,,,,,,,,878.00M,,,,,,,16.20M,,16.20M,,878.00M,,878.00M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,702.08M,702.08M,0.0038,,,
1986-06,841.90M,841.90M,,,,,,,,-2.224B,,,,,,,16.10M,,16.10M,,-2.224B,,-2.224B,,,,,,,,,,,,,,,,706.64M,706.64M,0.0038,,,
1986-03,792.90M,792.90M,,,,,,,,792.90M,,,,,,,12.60M,,12.60M,,792.90M,,792.90M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,701.63M,701.63M,0.0035,,,
1985-12,802.80M,802.80M,,,,,,,,802.80M,,,,,,,15.50M,,15.50M,,802.80M,,802.80M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,699.78M,699.78M,,,,
1985-09,734.70M,734.70M,,,,,,,,734.70M,,,,,,,14.20M,,14.20M,,734.70M,,734.70M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,690.18M,690.18M,,,,
1985-06,691.30M,691.30M,,,,,,,,-1.846B,,,,,,,13.70M,,13.70M,,-1.846B,,-1.846B,,,,,,,,,,,,,,,,690.24M,690.24M,,,,
1985-03,648.30M,648.30M,,,,,,,,648.30M,,,,,,,11.40M,,11.40M,,648.30M,,648.30M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,689.47M,689.47M,,,,
1984-12,655.20M,655.20M,,,,,,,,655.20M,,,,,,,12.80M,,12.80M,,655.20M,,655.20M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,688.70M,688.70M,,,,
1984-09,633.00M,633.00M,,,,,,,,633.00M,,,,,,,12.30M,,12.30M,,633.00M,,633.00M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,685.50M,685.50M,,,,
1984-06,619.40M,619.40M,,,,,,,,-1.614B,,,,,,,12.30M,,12.30M,,-1.614B,,-1.614B,,,,,,,,,,,,,,,,685.50M,685.50M,,,,
1984-03,584.90M,584.90M,,,,,,,,584.90M,,,,,,,10.80M,,10.80M,,584.90M,,584.90M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,685.50M,685.50M,,,,
