,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-09,509.09M,509.09M,415.78M,93.31M,,,,,,-409.43M,,,,,415.32M,-322.01M,,,,-409.43M,,-334.03M,-64.88M,-269.02M,,0.132M,,-269.02M,60.89M,-322.01M,-111.98M,-322.01M,,-0.3353,0.00,,0.0749,-0.3353,,-0.3353,0.00,,0.0739,-0.3353,,804.26M,806.18M,0.0897,,,
2004-06,524.98M,524.98M,385.74M,139.24M,,,,69.88M,,,,,,-0.001M,69.88M,69.37M,,,,,,53.03M,43.04M,9.988M,,,,9.988M,9.988M,158.31M,88.94M,69.37M,,0.0127,0.00,,0.0127,0.0127,,0.0127,0.00,,0.0127,0.0127,,804.42M,812.04M,0.00,,,
2004-03,531.28M,531.28M,392.46M,138.82M,,,,69.26M,,11.80M,,,,0.001M,69.27M,69.56M,,,,11.80M,,63.32M,46.40M,16.76M,,-0.155M,,16.76M,9.677M,159.81M,90.25M,69.56M,,0.0202,0.00,,0.0114,0.0202,,0.0202,0.00,,0.0115,0.0202,,802.35M,811.46M,0.2325,,,
2003-12,640.53M,640.53M,454.10M,186.42M,,,,79.57M,,-42.25M,,,,48.24M,127.81M,58.62M,,,,-42.25M,,41.46M,37.29M,4.165M,,,,4.165M,29.52M,140.54M,81.93M,58.62M,,0.6632,0.00,,0.6948,0.6632,,0.6532,0.00,,0.6847,0.6532,,803.54M,806.53M,0.00,,,
2003-09,505.92M,505.92M,360.58M,145.34M,,,,61.68M,,2.00M,,,,,61.68M,83.66M,,,,2.00M,,66.68M,39.16M,27.52M,,,,27.52M,26.32M,176.43M,92.77M,83.66M,,0.0349,0.00,,0.0334,0.0349,,0.0332,0.00,,0.0318,0.0332,,802.94M,813.13M,0.161,,,
2003-06,466.40M,466.40M,342.84M,123.56M,,,,62.05M,,-99.44M,,,,20.24M,82.30M,41.26M,,,,-99.44M,,-61.48M,-5.374M,-56.11M,,,,-56.11M,34.65M,137.06M,95.80M,41.26M,,-0.0695,0.00,,0.0435,-0.0695,,-0.0695,0.00,,0.0431,-0.0695,,803.12M,805.87M,0.00,,,
2003-03,427.97M,427.97M,334.38M,93.59M,,,,59.02M,,2.352M,,,,-0.001M,59.02M,34.56M,,,,2.352M,,17.62M,23.45M,-5.832M,,,,-5.832M,-7.243M,120.64M,86.07M,34.56M,,-0.0079,0.00,,-0.0097,-0.0079,,-0.0079,0.00,,-0.0096,-0.0079,,804.58M,809.00M,0.2127,,,
2002-12,515.49M,515.49M,388.32M,127.16M,,,,67.59M,,-81.27M,,,,80.14M,147.73M,-20.57M,,,,-81.27M,,-43.12M,20.50M,-63.62M,,,,-63.62M,-14.86M,72.83M,93.39M,-20.57M,,-0.0791,0.00,,-0.0277,-0.0791,,-0.0791,0.00,,-0.0277,-0.0791,,947.98M,947.98M,0.00,,,
2002-09,481.97M,481.97M,351.66M,130.32M,,,,57.68M,,1.025M,,,,-0.001M,57.68M,72.63M,,,,1.025M,,53.08M,33.89M,19.19M,,,,19.19M,18.57M,157.04M,84.40M,72.63M,,0.0235,0.00,,0.0227,0.0235,,0.0235,0.00,,0.0227,0.0235,,809.58M,812.72M,0.1533,,,
2002-06,564.95M,564.95M,399.40M,165.56M,,,,56.43M,,-30.49M,,,,30.73M,87.16M,78.40M,,,,-30.49M,,58.42M,35.59M,22.83M,,,,22.83M,41.12M,163.69M,85.30M,78.40M,,0.0276,0.00,,0.0501,0.0276,,0.0276,0.00,,0.0497,0.0276,,812.53M,824.32M,0.00,,,
2002-03,538.41M,538.41M,388.97M,149.44M,,,,52.50M,,9.483M,,,,,52.50M,96.94M,,,,9.483M,,86.41M,42.51M,43.90M,,,,43.90M,38.21M,171.69M,74.75M,96.94M,,0.0542,0.00,,0.0471,0.0542,,0.0528,0.00,,0.0459,0.0528,,811.89M,829.72M,0.1848,,,
2001-12,531.05M,531.05M,382.55M,148.50M,,,,52.03M,,5.291M,,,,87.37M,139.40M,9.093M,,,,5.291M,,-4.243M,4.603M,78.52M,,,,38.83M,75.35M,83.12M,74.03M,9.093M,,-0.0151,0.0589,-0.0479,-0.0188,0.0438,,-0.0151,0.0589,-0.0479,-0.0188,0.0438,,847.79M,847.79M,0.00,,,
2001-09,570.74M,570.74M,389.48M,181.27M,,,,52.38M,,1.264M,,,,,52.38M,128.89M,,,,1.264M,,109.81M,51.63M,58.18M,,,,35.29M,57.42M,212.17M,83.28M,128.89M,,0.0722,-0.0280,-0.0283,0.0712,0.0442,,0.0707,-0.0280,-0.0283,0.0698,0.0428,,808.79M,829.34M,0.13,,,
2001-06,602.58M,602.58M,394.33M,208.25M,,,,46.97M,,4.049M,,,,-0.001M,46.97M,161.28M,,,,4.049M,,144.85M,60.58M,84.27M,,,,66.42M,81.84M,233.60M,72.31M,161.28M,,0.1046,-0.0226,-0.0222,0.1016,0.082,,0.1018,-0.0226,-0.0222,0.0989,0.0806,,805.45M,838.81M,0.00,,,
2001-03,605.62M,605.62M,398.31M,207.31M,,,,45.09M,,4.254M,,,,,45.09M,162.22M,,,,4.254M,,146.20M,61.21M,84.98M,,,,79.02M,82.43M,231.91M,69.69M,162.22M,,0.1063,-0.0708,-0.0075,0.1031,0.0354,,0.1020,-0.0708,-0.0075,0.0990,0.0312,,798.66M,836.52M,0.1734,,,
2000-12,665.70M,665.70M,405.70M,260.00M,,,,,,5.924M,,,,,57.39M,202.61M,,,,5.924M,,185.03M,68.68M,116.35M,,,,89.70M,112.63M,260.00M,57.39M,202.61M,,0.1073,0.035,-0.0408,0.1015,0.1423,,0.1024,0.035,-0.0408,0.0966,0.1324,,645.61M,645.61M,0.00,,,
2000-09,657.48M,657.48M,388.43M,269.05M,,,,,,8.771M,,,,,43.93M,225.12M,,,,8.771M,,209.94M,75.21M,134.73M,,,,112.58M,129.10M,269.05M,43.93M,225.12M,,0.20,-0.035,-0.0336,0.1915,0.165,,0.185,-0.035,-0.0336,0.1770,0.155,,659.94M,701.97M,0.1164,,,
2000-06,583.38M,583.38M,359.74M,223.63M,,,,,,5.982M,,,,,30.54M,193.09M,,,,5.982M,,184.75M,63.52M,121.23M,,,,121.23M,117.30M,223.63M,30.54M,193.09M,,0.185,0.00,,0.1790,0.185,,0.18,0.00,,0.1742,0.18,,650.09M,679.64M,0.00,,,
2000-03,588.79M,588.79M,360.83M,227.96M,,,,,,5.542M,,,,,32.64M,195.31M,,,,5.542M,,183.80M,63.56M,120.24M,,,,120.24M,116.62M,227.96M,32.64M,195.31M,,0.185,0.00,,0.1794,0.185,,0.175,0.00,,0.1697,0.175,,648.68M,677.85M,0.1941,,,
1999-12,454.00M,454.00M,279.97M,174.03M,,,,,,-7.01M,,,,,43.70M,130.33M,,,,-7.01M,,121.04M,40.83M,80.21M,,,,80.21M,84.86M,174.03M,43.70M,130.33M,,0.1261,0.00,,0.1334,0.1261,,0.1168,0.00,,0.1237,0.1168,,633.50M,666.84M,0.00,,,
1999-09,455.30M,455.30M,220.80M,234.50M,,,,,,3.80M,,,,,94.50M,140.00M,,,,3.80M,,126.20M,46.10M,80.10M,,,,80.10M,77.69M,234.50M,94.50M,140.00M,,0.125,0.00,,0.1212,0.125,,0.12,0.00,,0.1164,0.12,,633.50M,666.84M,0.1244,,,
1999-06,408.88M,408.88M,274.40M,134.48M,,,,,,3.70M,,,,,14.20M,120.28M,,,,3.70M,,106.00M,39.10M,66.90M,,,,66.90M,64.56M,134.48M,14.20M,120.28M,,0.105,0.00,,0.1013,0.105,,0.10,0.00,,0.0965,0.10,,637.14M,669.00M,0.00,,,
1999-03,388.48M,388.48M,261.50M,126.98M,,,,,,4.50M,,,,,14.70M,112.28M,,,,4.50M,,97.50M,36.50M,61.00M,,,,61.00M,58.18M,126.98M,14.70M,112.28M,,0.19,0.00,,0.1883,0.19,,0.18,0.00,,0.1783,0.18,,1.675B,1.675B,0.173,,,
1998-12,345.50M,345.50M,201.40M,144.10M,,,,,,74.90M,,,,,59.30M,84.80M,,,,74.90M,,140.10M,24.30M,115.80M,,,,48.10M,53.89M,144.10M,59.30M,84.80M,,0.0287,,,-0.0082,0.0287,,0.0287,,,-0.0082,0.0287,,1.675B,1.675B,0.00,,,
1998-09,384.50M,384.50M,268.10M,116.40M,,,,,,1.90M,,,,,14.60M,101.80M,,,,1.90M,,82.80M,32.40M,50.40M,,,,50.40M,49.24M,116.40M,14.60M,101.80M,,0.08,0.00,,0.0782,0.08,,0.08,0.00,,0.0782,0.08,,630.00M,630.00M,0.1012,,,
1998-06,319.10M,319.10M,212.90M,106.20M,,,,,,-59.80M,,,,,-59.80M,106.20M,,,,-59.80M,,29.90M,34.90M,-5.00M,,,,-5.00M,30.88M,106.20M,,106.20M,,-0.01,0.00,,0.0618,-0.01,,-0.01,0.00,,0.0482,-0.01,,500.00M,616.00M,0.00,,,
1998-03,270.70M,270.70M,175.70M,95.00M,,,,,,4.20M,,,,,4.20M,95.00M,,,,4.20M,,93.30M,31.70M,61.60M,,,,61.60M,58.83M,95.00M,,95.00M,,0.11,0.00,,0.1050,0.11,,0.10,0.00,,0.0955,0.10,,560.00M,616.00M,0.1473,,,
1997-12,223.80M,223.80M,,,,,,,,,,,,,,-345.40M,,,,,,,,49.20M,,,,49.20M,49.20M,-345.40M,,-345.40M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,545.79M,545.79M,0.00,,,
1997-09,217.60M,217.60M,,,,,,,,,,,,,,217.60M,,,,,,,,48.00M,,,,48.00M,48.00M,217.60M,,217.60M,,0.095,0.00,,0.095,0.095,,0.085,0.00,,0.085,0.085,,518.92M,564.71M,0.0806,,,
1997-06,217.60M,217.60M,,,,,,,,,,,,,,217.60M,,,,,,,,48.00M,,,,48.00M,48.00M,217.60M,,217.60M,,0.095,0.00,,0.095,0.095,,0.085,0.00,,0.085,0.085,,734.20M,734.20M,0.00,,,
1997-03,217.60M,217.60M,,,,,,,,,,,,,,217.60M,,,,,,,,48.00M,,,,48.00M,48.00M,217.60M,,217.60M,,0.095,0.00,,0.095,0.095,,0.085,0.00,,0.085,0.085,,734.20M,734.20M,0.133,,,
