,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-06,133.01M,,,,-89.26M,42.17M,21.10M,21.10M,,,41.51M,,,,67.16M,67.16M,173.53M,,-6.31M,,-6.31M,,-2.357M,-3.574M,,-12.24M,,,,-205.48M,0.744M,,0.744M,,,-74.98M,,106.73M,-172.98M,,458.45M,-11.70M,-18.64M,436.50M,,0.744M,,,,,,,,
2005-03,130.07M,,,,,,21.07M,21.07M,,,-41.51M,,,,-85.17M,-85.17M,24.45M,,-12.75M,,-12.75M,,,,,-12.75M,,,,,,,,,,,,-106.73M,-106.73M,,538.55M,-95.04M,14.94M,458.45M,,,,,,,,,,
2004-12,17.97M,,,,-11.00M,55.29M,55.29M,55.29M,,,125.21M,,,,-415.67M,-285.57M,-98.11M,,-16.70M,1.00M,-15.70M,,-2.802M,-3.607M,,-22.11M,,,,172.82M,,,,,,-39.08M,,45.45M,91.58M,,571.73M,-28.63M,18.10M,546.90M,,,,,,,,,,
2004-09,-192.14M,,,,,-111.98M,-111.98M,-111.98M,,,-33.23M,,,,560.22M,560.22M,222.86M,,-17.31M,,-17.31M,,0.152M,3.625M,-0.001M,-13.54M,,,,-57.99M,,,,,,0.288M,,-45.45M,-103.15M,,457.39M,106.18M,9.879M,571.73M,,,,,,,,,,
2004-06,68.41M,,,,46.25M,179.19M,88.94M,88.94M,,,-59.45M,,,,-5.719M,-5.719M,138.44M,,-3.051M,-2.162M,-5.213M,,0.713M,-2.518M,0.001M,-7.017M,,,,-27.34M,,,,,,-96.90M,,,-124.24M,,463.06M,7.178M,-4.787M,457.39M,,,,,,,,,,
2004-03,69.56M,,,,-46.25M,,90.25M,90.25M,,,-32.53M,,,,-138.83M,-138.83M,-57.80M,,-14.54M,2.162M,-12.38M,,-51.96M,,,-64.34M,,,,9.108M,,,,,,,,,9.108M,,587.39M,-113.03M,-11.29M,463.06M,,,,,,,,,,
2003-12,58.62M,,,,28.92M,,81.93M,81.93M,,,-74.72M,,,,5.681M,-2.329M,92.42M,,-28.85M,5.432M,-23.42M,,-32.32M,,,-55.74M,,,,110.70M,,,,,,-78.42M,,,103.83M,,482.02M,140.51M,-3.435M,568.39M,,,,,,,,,,
2003-09,83.64M,,,,,,92.77M,92.77M,,,-79.71M,,,,-23.99M,-23.99M,72.71M,,-9.934M,-6.829M,-16.76M,,-0.082M,,,-16.84M,,,,-88.62M,,,,,,-0.408M,,,-89.03M,,508.20M,-33.16M,4.246M,482.02M,,,,,,,,,,
2003-06,-39.63M,,,,80.96M,,95.80M,95.80M,,,-136.09M,,,,137.99M,137.99M,139.02M,,-17.66M,7.759M,-9.898M,,-1.322M,,,-11.22M,,,,-160.14M,,,,,,-87.68M,,,-247.83M,,619.15M,-120.02M,-17.45M,508.20M,,,,,,,,,,
2003-03,34.56M,,,,-80.96M,,86.07M,86.07M,,,,,,,-73.89M,-73.89M,-34.21M,,-8.801M,1.599M,-7.202M,,-16.28M,,,-23.48M,,,,98.98M,,,,,,,,,98.98M,,561.22M,41.29M,16.64M,619.15M,,,,,,,,,,
2002-12,-17.51M,,,,,,93.39M,93.39M,,,-186.62M,,,,-138.77M,-155.78M,-164.02M,,-34.58M,,-34.58M,,,35.88M,,1.301M,,,,67.61M,,,,,,-67.53M,,-46.81M,-21.17M,,734.18M,-183.89M,,572.26M,,,,,,,,,,
2002-09,74.70M,,,,,,84.40M,84.40M,,,112.03M,,,,113.09M,113.09M,384.23M,,-32.06M,,-32.06M,,,3.372M,,-28.69M,,,,-154.76M,,,,,,0.482M,,-9.966M,-164.25M,,530.19M,191.29M,,734.18M,,,,,,,,,,
2002-06,86.00M,,,,,,85.30M,85.30M,,,-125.83M,,,,51.33M,51.33M,96.79M,,-15.04M,,-15.04M,,,-90.62M,,-105.65M,,,,111.81M,,,,,,-83.68M,,-10.13M,18.01M,,483.84M,9.146M,,530.19M,,,,,,,,,,
2002-03,95.73M,,,,,,74.75M,74.75M,,,-36.66M,,,,-0.567M,-0.567M,133.26M,,-6.283M,,-6.283M,,,-8.781M,,-15.06M,,,,-137.73M,,,,,,,,3.123M,-134.60M,,500.25M,-16.41M,,483.84M,,,,,,,,,,
2001-12,80.04M,,,,,,74.03M,74.03M,,,-76.62M,,,,-63.66M,-138.29M,-37.07M,,-16.20M,,-16.20M,,12.37M,10.07M,,6.245M,,,,41.66M,,,,,,-52.14M,,142.83M,149.33M,,324.26M,118.51M,12.47M,511.09M,,,,,,,,,,
2001-09,104.92M,,,,,,83.28M,83.28M,,,-19.76M,,,,149.47M,149.47M,317.92M,,-26.24M,,-26.24M,,-315.87M,-43.35M,0.001M,-385.46M,,,,84.22M,,,,,,-2.879M,,0.001M,81.34M,,321.12M,13.80M,-30.88M,324.26M,,,,,,,,,,
2001-06,131.11M,,,,,,72.31M,72.31M,,,-135.65M,,,,0.618M,0.618M,68.39M,,-32.26M,,-32.26M,,-97.82M,11.64M,0.00,-118.44M,,,,139.54M,,,,,,-67.83M,,-0.001M,71.71M,,290.19M,21.67M,10.56M,321.12M,,,,,,,,,,
2001-03,156.26M,,,,,,69.69M,69.69M,,,-54.54M,,,,-33.22M,-33.22M,138.18M,,-24.35M,,-24.35M,,-52.20M,-3.217M,-0.001M,-79.77M,,,,-260.93M,,,,,,,,,-260.93M,,484.85M,-202.51M,7.851M,290.19M,,,,,,,,,,
2000-12,116.35M,,,,97.30M,,57.39M,57.39M,,,-46.20M,,,,-352.69M,-400.01M,-175.16M,,-36.49M,,-36.49M,,-125.66M,,20.39M,-141.76M,,,,197.33M,,,,,,-41.31M,,-257.71M,-77.08M,,652.85M,-394.00M,-39.20M,511.47M,,,,,,,,,,
2000-09,128.20M,,,,46.86M,,43.93M,43.93M,,,-36.84M,,,,383.67M,383.67M,565.83M,,-17.74M,,-17.74M,,-226.19M,,-9.498M,-253.43M,,,,71.18M,,,,,,1.53M,,0.001M,72.71M,,243.89M,385.11M,31.82M,652.85M,,,,,,,,,,
2000-06,115.41M,,,,68.23M,,30.54M,30.54M,,,-119.15M,,,,-64.58M,-64.58M,30.46M,,-24.50M,,-24.50M,,,,-8.034M,-32.54M,,,,-18.03M,,,,,,-55.25M,,-0.001M,-73.29M,,326.96M,-75.37M,6.931M,243.89M,,,,,,,,,,
2000-03,120.24M,,,,75.07M,,32.64M,32.64M,,,-11.98M,,,,17.40M,17.40M,233.37M,,-13.96M,,-13.96M,,,,-21.05M,-35.01M,,,,-174.18M,,,,,,,,,-174.18M,,302.32M,24.19M,0.451M,326.96M,,,,,,,,,,
