,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,779.00M,131.60M,910.60M,1.538B,,1.538B,,,,1.708B,4.156B,,,,,,,565.20M,-405.20M,160.00M,5.015B,191.80M,5.207B,,,204.90M,220.80M,5.792B,9.949B,,1.765B,,,1.765B,,1.765B,,,,,2.049B,3.814B,1.294B,,1.294B,,,5.70M,,463.50M,1.758B,5.572B,,83.80M,1.234B,263.10M,,,,,2.790B,4.371B,,,
2006-12,834.30M,187.80M,1.022B,438.00M,561.60M,999.60M,,68.50M,25.70M,1.593B,3.709B,0.00,85.70M,484.00M,228.40M,,,798.10M,-599.40M,198.70M,6.361B,165.90M,6.527B,,,118.50M,1.676B,8.520B,12.23B,,168.50M,,,168.50M,582.30M,750.80M,,300.00M,300.00M,,2.315B,3.365B,979.00M,,979.00M,,,1.505B,,215.50M,1.194B,4.560B,,460.60M,700.70M,4.966B,577.90M,,636.80M,-22.30M,614.50M,6.164B,,,
2006-09,664.20M,117.00M,781.20M,1.161B,,1.161B,,,,1.510B,3.452B,,,,,,,565.92M,-402.72M,163.20M,4.724B,187.40M,4.911B,,,197.30M,209.70M,5.481B,8.933B,,1.524B,,,1.524B,,1.524B,,312.20M,312.20M,,1.688B,3.524B,957.50M,,957.50M,44.20M,44.20M,4.80M,,318.10M,1.320B,4.844B,,82.80M,933.90M,161.30M,,,,,2.906B,4.084B,,,
2006-06,487.14M,85.32M,572.46M,993.95M,,993.95M,,,,1.329B,2.895B,,,,,,,578.78M,-402.72M,176.07M,4.345B,92.21M,4.437B,,,152.17M,256.11M,5.022B,7.917B,,1.263B,,,1.263B,,1.263B,,309.74M,309.74M,,1.378B,2.951B,977.30M,,977.30M,23.51M,23.51M,4.50M,,157.15M,1.158B,4.109B,,82.43M,797.45M,135.71M,,,,,2.788B,3.803B,,,
2006-03,493.53M,1.360B,1.854B,1.266B,,1.266B,,,,,3.120B,,,,,,,,,177.87M,,4.313B,4.313B,,,155.60M,-2.886B,1.761B,4.881B,,2.921B,,,2.921B,,2.921B,,,,,378.98M,3.300B,873.04M,,873.04M,36.14M,36.14M,4.115M,,-293.69M,615.50M,3.915B,,82.17M,772.16M,106.85M,,,,,,961.18M,,,
2005-12,715.70M,31.30M,747.00M,805.30M,,805.30M,,,,1.171B,2.723B,,,,,,,582.72M,-402.72M,180.00M,4.214B,99.00M,4.313B,,,140.40M,228.30M,4.861B,7.584B,,516.30M,,,516.30M,289.00M,805.30M,,10.00M,10.00M,,1.758B,2.573B,1.212B,,1.212B,,,3.30M,,182.50M,1.395B,3.968B,,81.80M,638.70M,85.00M,,,,,2.808B,3.613B,,,
2005-09,717.86M,1.180B,1.898B,1.038B,,1.038B,,,,0.001M,2.935B,,,,,,,749.38M,-559.71M,189.67M,,4.327B,4.327B,,,125.19M,173.45M,4.816B,7.751B,,2.671B,,,2.671B,,2.671B,,,,,,2.671B,1.153B,,1.153B,33.39M,33.39M,3.165M,,229.72M,1.416B,4.087B,,357.97M,688.60M,1.250B,,,,,1.364B,3.660B,,,
2005-06,428.66M,1.055B,1.484B,1.030B,,1.030B,,,,,2.514B,,,,,,,761.12M,-559.71M,201.41M,,4.267B,4.267B,,,,162.70M,4.631B,7.145B,,2.262B,,,2.262B,,2.262B,,,,,,2.262B,1.164B,,1.164B,,,2.821M,,218.70M,1.383B,3.644B,,362.96M,608.19M,1.266B,,,,,1.261B,3.498B,,,
2005-03,458.45M,144.85M,603.30M,2.030B,,2.030B,,,,0.001M,2.633B,,,,,,,777.63M,-559.71M,217.92M,,4.469B,4.469B,,,,171.67M,4.858B,7.491B,,2.277B,,,2.277B,,2.277B,,80.26M,80.26M,,-0.001M,2.357B,1.217B,,1.217B,,,2.621M,,230.00M,1.447B,3.804B,,383.23M,583.94M,1.327B,,,,,1.390B,3.684B,,,
2004-12,546.93M,958.52M,1.505B,213.09M,510.92M,724.01M,,85.69M,,34.66M,2.350B,0.00,105.42M,515.70M,,,,621.12M,-394.13M,226.99M,4.317B,129.87M,4.447B,,,150.11M,245.46M,5.070B,7.420B,,2.219B,,,2.219B,,2.219B,,79.48M,79.48M,,28.45M,2.327B,1.302B,,1.302B,36.66M,36.66M,2.521M,,211.05M,1.550B,3.877B,,388.95M,571.57M,1.345B,,,,,1.235B,3.540B,,,
2004-09,571.73M,148.61M,720.34M,1.710B,,1.710B,,,,,2.430B,,,,,,,765.42M,-484.68M,280.75M,,4.253B,4.253B,,,,160.52M,4.695B,7.125B,,,,,,,,,402.04M,402.04M,,2.422B,2.824B,816.40M,,816.40M,,,,,119.90M,936.30M,3.760B,,367.22M,557.56M,1.269B,,,,,1.171B,3.365B,,,
2004-06,457.39M,124.87M,582.26M,1.678B,,1.678B,,,,,2.261B,,,,,,,773.98M,-484.68M,289.31M,,4.335B,4.335B,,,,158.33M,4.783B,7.044B,,,,,,,,,399.12M,399.12M,,1.883B,2.282B,856.40M,,856.40M,,,,,126.10M,982.51M,3.264B,,368.28M,936.12M,1.273B,,,,,1.202B,3.779B,,,
2004-03,463.06M,138.84M,601.90M,1.772B,,1.772B,,,,-0.001M,2.374B,,,,,,,792.77M,-484.68M,308.09M,,4.465B,4.465B,,,,420.66M,5.194B,7.567B,,,,,,,,,,,,,1.935B,1.310B,,1.310B,,,,,138.23M,1.448B,3.383B,,372.90M,935.29M,1.277B,,,,,1.599B,4.184B,,,
2003-12,568.39M,133.13M,701.53M,197.39M,1.089B,1.287B,,31.51M,155.33M,138.61M,2.314B,0.00,98.02M,690.90M,,,,788.92M,-484.68M,304.24M,,4.301B,4.301B,,,,411.20M,5.017B,7.330B,,95.60M,,,95.60M,517.62M,613.22M,,,,,1.296B,1.909B,1.302B,,1.302B,,,,,138.39M,1.440B,3.349B,,357.15M,888.83M,1.205B,,,,,1.530B,3.981B,,,
2003-09,482.02M,118.46M,600.48M,1.663B,,1.663B,,,,-0.001M,2.264B,,,,,,,749.47M,-452.92M,296.54M,,4.037B,4.037B,,,,403.11M,4.737B,7.001B,,1.925B,,,1.925B,,1.925B,,11.31M,11.31M,,,1.936B,1.167B,,1.167B,,,,,155.88M,1.323B,3.259B,,330.71M,910.26M,1.034B,,,,,1.466B,3.742B,,,
2003-06,508.20M,121.25M,629.45M,1.515B,,1.515B,,,,,2.144B,,,,,,,760.10M,-452.92M,307.17M,,4.080B,4.080B,,,,394.58M,4.781B,6.925B,,1.815B,,,1.815B,,1.815B,,119.81M,119.81M,,,1.934B,1.139B,,1.139B,,,,,157.12M,1.296B,3.230B,,328.79M,878.65M,1.025B,,,,,1.462B,3.695B,,,
2003-03,619.15M,111.54M,730.69M,1.403B,,1.403B,,,,,2.134B,,,,,,,755.99M,-452.92M,303.06M,,3.976B,3.976B,,,,394.29M,4.674B,6.807B,,,,,,,,,361.93M,361.93M,,1.595B,1.957B,1.067B,,1.067B,,,,,190.43M,1.257B,3.214B,,313.89M,957.10M,978.78M,,,,,1.343B,3.593B,,,
2002-12,572.26M,111.51M,683.77M,142.59M,677.77M,820.36M,,37.82M,124.82M,186.22M,1.853B,0.00,88.95M,681.54M,-0.001M,,,770.48M,-452.92M,317.56M,,4.097B,4.097B,,,,400.31M,4.815B,6.668B,,36.46M,,,36.46M,477.01M,513.47M,,357.90M,357.90M,,964.63M,1.836B,959.81M,,959.81M,,,,,192.15M,1.152B,2.988B,,320.07M,981.88M,997.92M,,,,,1.380B,3.680B,,,
2002-09,734.18M,148.12M,882.30M,831.55M,496.63M,1.328B,,,,,2.210B,,,,,,,549.72M,-251.70M,298.02M,,4.043B,4.043B,,,,361.20M,4.703B,6.913B,,,,,,,,,350.28M,350.28M,,1.765B,2.116B,891.11M,,891.11M,,,,,212.47M,1.104B,3.219B,,309.73M,1.102B,2.592B,,,,,-309.48M,3.694B,,,
2002-06,530.19M,212.02M,742.21M,1.102B,474.58M,1.576B,,,,,2.318B,,,,,,,518.29M,-251.70M,266.59M,,4.013B,4.013B,,,,363.80M,4.643B,6.962B,,,,,,,,,,,,,2.048B,1.156B,,1.156B,,,,,220.09M,1.376B,3.425B,,302.24M,1.055B,2.521B,,,,,-341.79M,3.537B,,,
2002-03,483.84M,185.40M,669.24M,1.004B,457.84M,1.462B,,,,-8.788M,2.122B,,,,,,,515.56M,-251.70M,263.86M,,3.787B,3.787B,,,,222.32M,4.273B,6.396B,,,,,,,,,,,,,1.795B,1.083B,,1.083B,,,,,248.65M,1.332B,3.127B,,280.43M,1.021B,2.326B,,,,,-359.36M,3.269B,,,
2001-12,511.09M,118.67M,629.77M,172.38M,698.43M,870.81M,,42.24M,125.00M,247.07M,1.915B,0.00,80.95M,577.72M,0.001M,,,658.67M,-347.66M,311.01M,,3.926B,3.926B,,,,326.60M,4.564B,6.478B,,55.36M,,,55.36M,368.62M,423.98M,,183.23M,183.23M,,1.069B,1.676B,1.229B,,1.229B,,,,,250.43M,1.480B,3.156B,,285.47M,998.78M,804.58M,,,,,1.233B,3.322B,,,
2001-09,324.26M,,324.26M,949.75M,,949.75M,,,,153.29M,1.427B,,,,,,,510.48M,-194.56M,315.93M,,4.025B,4.025B,,,,261.36M,4.603B,6.030B,,,,,,,,,,,,,1.089B,1.352B,,1.352B,,,,,236.29M,1.589B,2.677B,,288.22M,1.009B,2.369B,,,,,-314.39M,3.352B,,,
2001-06,321.12M,,321.12M,901.11M,,901.11M,,,,167.37M,1.390B,,,,,,,498.84M,-194.56M,304.28M,,3.603B,3.603B,,,,212.99M,4.120B,5.510B,,,,,,,,,,,,,895.42M,1.265B,,1.265B,,,,,194.73M,1.460B,2.356B,,276.51M,932.42M,2.270B,,,,,-324.29M,3.154B,,,
2001-03,290.19M,,290.19M,1.001B,,1.001B,,,,151.01M,1.443B,,,,,,,486.74M,-194.56M,292.19M,,3.381B,3.381B,,,,234.31M,3.907B,5.350B,,,,,,,,,,,,,1.096B,1.112B,,1.112B,,,,,91.59M,1.204B,2.300B,,275.03M,920.14M,2.161B,,,,,-306.32M,3.050B,,,
2000-12,511.47M,,511.47M,1.026B,,1.026B,,,,185.87M,1.723B,,,,,,,498.59M,-194.56M,304.04M,,3.552B,3.552B,,,,228.05M,4.084B,5.807B,,74.76M,,,74.76M,,74.76M,,22.86M,22.86M,,1.045B,1.142B,1.435B,,1.435B,,,,,84.81M,1.520B,2.663B,,288.21M,887.28M,2.226B,,,,,-257.22M,3.145B,,,
2000-09,652.85M,,652.85M,,,1.425B,,,,116.32M,2.195B,,,,,,,315.01M,-118.05M,196.96M,,2.353B,2.353B,,,,298.95M,2.849B,5.044B,,,,,,,,,,,,,1.902B,1.285B,,1.285B,,,,,35.60M,1.320B,3.222B,,272.98M,861.69M,1.662B,,,,,-975.50M,1.821B,,,
2000-06,243.89M,,243.89M,,,1.265B,,,,98.94M,1.607B,,,,,,,293.24M,-118.05M,175.19M,,979.64M,979.64M,,,,240.95M,1.396B,3.003B,,,,,,,,,,,,,1.290B,856.91M,,856.91M,,,,,35.95M,892.86M,2.183B,,256.64M,770.46M,734.34M,,,,,-941.13M,820.30M,,,
2000-03,326.96M,,326.96M,,,1.566B,,,,120.64M,2.014B,,,,,,,288.93M,-118.05M,170.89M,,1.044B,1.044B,,,,219.58M,1.434B,3.448B,,,,,,,,,,,,,1.722B,887.28M,,887.28M,,,,,39.13M,926.40M,2.649B,,269.40M,726.88M,769.16M,,,,,-965.86M,799.57M,,,
1999-12,306.57M,,306.57M,,,889.24M,,,,97.17M,1.293B,,,,,,,292.59M,-118.05M,174.54M,,1.073B,1.073B,,,,208.31M,1.456B,2.749B,,54.37M,,,54.37M,,54.37M,,,,,877.06M,931.42M,1.065B,,1.065B,,,,,46.95M,1.112B,2.043B,,272.45M,615.16M,773.74M,,,,,-955.80M,705.56M,,,
1999-09,267.00M,,267.00M,,,1.011B,,,,102.50M,1.380B,,,,,,,229.80M,-66.20M,163.60M,,1.109B,1.109B,,,,226.50M,1.499B,2.879B,,1.098B,,,1.098B,,1.098B,,,,,,1.098B,1.023B,,1.023B,,,,,50.10M,1.073B,2.171B,,1.064B,599.60M,,,,,,-955.60M,707.90M,,,
1999-06,214.20M,,214.20M,,,1.043B,,,,115.30M,1.372B,,,,,,,218.70M,-66.20M,152.50M,,1.078B,1.078B,,,,211.00M,1.441B,2.814B,,1.083B,,,1.083B,,1.083B,,,,,,1.083B,1.092B,,1.092B,,,,,59.10M,1.151B,2.234B,,1.016B,498.50M,,,,,,-934.40M,579.50M,,,
1999-03,293.90M,,293.90M,,,990.10M,143.00M,,,,1.427B,,,,,,,214.30M,-66.20M,148.10M,,1.128B,1.128B,,,,202.10M,1.478B,2.905B,,1.099B,,,1.099B,,1.099B,,,,,,1.099B,1.146B,,1.146B,,,,,74.60M,1.221B,2.320B,,1.035B,476.70M,,,,,,-926.60M,584.90M,,,
1998-12,198.60M,,198.60M,,,795.50M,,,,131.90M,1.126B,,,,,,,213.50M,-66.20M,147.30M,,1.181B,1.181B,,,,218.65M,1.547B,2.673B,,903.50M,,,903.50M,,903.50M,,,,,,903.50M,1.138B,,1.138B,,,,,82.05M,1.220B,2.124B,,1.057B,428.00M,,,,,,-935.70M,549.20M,,,
1998-09,283.70M,,283.70M,,,,,,,957.90M,1.242B,,,,,,,197.90M,-66.20M,131.70M,,1.165B,1.165B,,,,211.60M,1.509B,2.750B,,,,,,,,,237.70M,237.70M,,363.50M,601.20M,1.122B,,1.122B,,,,,499.60M,1.621B,2.222B,,,-512.40M,,,,,,,527.80M,,,
1998-06,410.40M,,410.40M,,,,,,,962.50M,1.373B,,,,,,,178.10M,-66.20M,111.90M,,1.168B,1.168B,,,,175.50M,1.455B,2.828B,,,,,,,,,948.30M,948.30M,,,948.30M,1.271B,,1.271B,,,,,128.40M,1.399B,2.347B,,,-529.50M,,,,,,,481.00M,,,
1998-03,,,,,,,,,,,548.00M,,,,,,,148.20M,-66.20M,82.00M,,,,,,,138.50M,220.50M,768.50M,,,,,,,,,395.90M,395.90M,,,395.90M,329.10M,,329.10M,,,,,,329.10M,725.00M,,,-921.10M,,,,,,,43.50M,,,
1997-12,116.80M,,116.80M,,,314.10M,18.20M,,,25.60M,474.70M,,,,,,,143.50M,-66.20M,77.30M,,,,,,,143.20M,220.50M,695.20M,,138.70M,,,138.70M,,138.70M,,47.20M,47.20M,,167.60M,353.50M,,,,,,,,,377.20M,730.70M,,,-911.00M,,,,,,,-35.50M,,,
