,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-09,772.00M,,772.00M,1.898B,,1.898B,494.00M,181.00M,633.00M,1.308B,323.00M,,,4.301B,,,,,,3.663B,-1.345B,2.318B,4.211B,303.00M,4.514B,,,,675.00M,7.507B,11.81B,923.00M,,,923.00M,1.315B,2.238B,1.491B,1.491B,,1.491B,,,,3.729B,2.477B,,2.477B,910.00M,910.00M,,,3.387B,7.116B,386.00M,3.834B,,,,,472.00M,4.692B
2006-06,606.00M,,606.00M,2.023B,,2.023B,493.00M,181.00M,639.00M,1.313B,319.00M,,,4.261B,,,,,,3.629B,-1.345B,2.284B,4.196B,303.00M,4.499B,,,,723.00M,7.506B,11.77B,979.00M,,,979.00M,1.263B,2.242B,1.184B,1.184B,,1.184B,,,,3.426B,2.81B,,2.81B,899.00M,899.00M,,,3.709B,7.135B,392.00M,3.812B,,,,,428.00M,4.632B
2006-03,682.00M,,682.00M,1.965B,,1.965B,463.00M,176.00M,617.00M,1.256B,316.00M,,,4.219B,,,,,,3.573B,-1.345B,2.228B,4.189B,304.00M,4.493B,,,,815.00M,7.536B,11.76B,945.00M,,,945.00M,1.242B,2.187B,1.179B,1.179B,,1.179B,,,,3.366B,2.78B,,2.78B,927.00M,927.00M,,,3.707B,7.073B,400.00M,3.932B,,,,,350.00M,4.682B
2005-12,1.964B,,1.964B,1.716B,,1.716B,427.00M,175.00M,525.00M,1.127B,316.00M,,,5.123B,0.0,188.00M,974.00M,2.356B,,3.518B,-1.345B,2.173B,4.171B,307.00M,4.478B,,,,785.00M,7.436B,12.56B,837.00M,,,837.00M,1.225B,2.062B,832.00M,832.00M,,832.00M,,,,2.894B,3.915B,,3.915B,902.00M,902.00M,,,4.817B,7.711B,419.00M,4.286B,,,419.00M,-276.00M,143.00M,4.848B
2005-09,1.56B,,1.56B,1.982B,,1.982B,449.00M,164.00M,564.00M,1.177B,280.00M,,,4.999B,,,,,,3.471B,-1.263B,2.208B,,4.607B,4.607B,,,,790.00M,7.605B,12.60B,911.00M,,,911.00M,1.183B,2.094B,824.00M,824.00M,,824.00M,,,,2.918B,3.90B,,3.90B,789.00M,789.00M,,,4.689B,7.607B,426.00M,4.375B,,,,,196.00M,4.997B
2005-06,1.538B,,1.538B,,1.956B,1.956B,434.00M,172.00M,618.00M,1.224B,269.00M,,,4.987B,,,,,,3.468B,-1.263B,2.205B,,4.624B,4.624B,,,,835.00M,7.664B,12.65B,951.00M,,,951.00M,1.206B,2.157B,875.00M,875.00M,,875.00M,,,,3.032B,3.876B,,3.876B,764.00M,764.00M,,,4.64B,7.672B,431.00M,4.217B,133.00M,,,,198.00M,4.979B
2005-03,940.00M,,940.00M,1.902B,,1.902B,427.00M,174.00M,590.00M,1.191B,269.00M,,,4.302B,,,,,,3.506B,-1.263B,2.243B,,4.685B,4.685B,,,,905.00M,7.833B,12.14B,892.00M,,,892.00M,1.202B,2.094B,882.00M,882.00M,,882.00M,,,,2.976B,3.407B,,3.407B,744.00M,744.00M,,,4.151B,7.127B,435.00M,4.029B,252.00M,,,,292.00M,5.008B
2004-12,1.256B,,1.256B,1.732B,,1.732B,406.00M,149.00M,577.00M,1.132B,282.00M,,,4.402B,0.0,191.00M,980.00M,2.364B,,3.535B,-1.263B,2.272B,,4.734B,4.734B,,,,1.133B,8.139B,12.54B,837.00M,,,837.00M,1.23B,2.067B,80.00M,80.00M,,80.00M,,,,2.147B,4.187B,,4.187B,740.00M,740.00M,,44.00M,4.971B,7.118B,447.00M,3.88B,642.00M,,,,454.00M,5.423B
2004-09,969.00M,,969.00M,1.908B,,1.908B,386.00M,153.00M,587.00M,1.126B,276.00M,,,4.279B,,,,,,3.423B,-1.258B,2.165B,,4.775B,4.775B,,,,1.17B,8.11B,12.39B,852.00M,,,852.00M,1.13B,1.982B,44.00M,44.00M,,44.00M,,,,2.026B,4.21B,,4.21B,851.00M,851.00M,,60.00M,5.121B,7.147B,449.00M,3.856B,724.00M,,,,213.00M,5.242B
2004-06,527.00M,,527.00M,1.929B,,1.929B,396.00M,146.00M,592.00M,1.134B,277.00M,,,3.867B,,,,,,3.423B,-1.258B,2.165B,,4.777B,4.777B,,,,1.468B,8.41B,12.28B,869.00M,,,869.00M,1.045B,1.914B,136.00M,136.00M,,136.00M,,,,2.05B,4.297B,,4.297B,812.00M,812.00M,,98.00M,5.207B,7.257B,434.00M,3.583B,818.00M,,,,185.00M,5.02B
2004-03,624.00M,,624.00M,1.82B,,1.82B,371.00M,134.00M,528.00M,1.033B,270.00M,,,3.747B,,,,,,3.411B,-1.258B,2.153B,,4.755B,4.755B,,,,1.594B,8.502B,12.25B,808.00M,,,808.00M,986.00M,1.794B,313.00M,313.00M,,313.00M,,,,2.107B,4.197B,,4.197B,719.00M,719.00M,,99.00M,5.015B,7.122B,443.00M,3.394B,1.051B,,,,239.00M,5.127B
2003-12,795.00M,,795.00M,1.674B,,1.674B,405.00M,142.00M,472.00M,1.019B,316.00M,,,3.804B,0.0,197.00M,979.00M,2.421B,,3.597B,-1.258B,2.339B,,4.835B,4.835B,,,,1.195B,8.369B,12.17B,715.00M,,,715.00M,1.148B,1.863B,334.00M,334.00M,,334.00M,,,,2.197B,3.848B,,3.848B,672.00M,672.00M,,,4.52B,6.717B,458.00M,3.299B,1.443B,,,,256.00M,5.456B
2003-09,907.71M,,907.71M,1.830B,,1.830B,374.71M,139.31M,511.88M,1.026B,262.75M,,,4.027B,,,,,,3.441B,-1.146B,2.295B,,4.854B,4.854B,,,,1.025B,8.174B,12.20B,706.32M,,,706.32M,1.096B,1.803B,500.04M,500.04M,,500.04M,,,,2.303B,3.836B,,3.836B,657.15M,657.15M,,,4.493B,6.796B,464.56M,3.283B,1.656B,0.02M,,,0.93M,5.405B
2003-06,785.44M,,785.44M,1.776B,,1.776B,436.51M,161.13M,564.21M,1.162B,263.13M,,,3.986B,,,,,,3.570B,-1.146B,2.425B,,4.856B,4.856B,,,,1.013B,8.294B,12.28B,676.52M,,,676.52M,1.153B,1.829B,809.05M,809.05M,,809.05M,,,,2.638B,3.817B,,3.817B,517.54M,517.54M,,,4.334B,6.972B,470.46M,3.041B,1.804B,0.02M,,,-7.85M,5.308B
2003-03,748.45M,,748.45M,1.684B,,1.684B,425.52M,160.74M,536.94M,1.123B,272.55M,,,3.828B,,,,,,3.510B,-1.146B,2.365B,,4.698B,4.698B,,,,1.079B,8.142B,11.97B,657.15M,,,657.15M,988.60M,1.646B,301.05M,301.05M,,301.05M,,,,1.947B,4.322B,,4.322B,502.63M,502.63M,,,4.824B,6.771B,478.61M,2.880B,2.030B,0.02M,,,-189.62M,5.199B
2002-12,1.067B,,1.067B,1.546B,,1.546B,410.00M,149.00M,497.00M,1.056B,281.00M,,,3.95B,0.0,180.00M,929.00M,2.351B,1.00M,3.461B,-1.146B,2.315B,,4.651B,4.651B,,,,1.134B,8.10B,12.05B,542.00M,,,542.00M,1.07B,1.612B,321.00M,321.00M,,321.00M,,,-1.00M,1.932B,4.316B,,4.316B,508.00M,508.00M,,,4.824B,6.756B,489.00M,2.783B,2.207B,,,,-186.00M,5.294B
2002-09,600.09M,,600.09M,1.715B,,1.715B,391.60M,148.98M,454.00M,994.58M,187.77M,,,3.498B,,,,,,3.134B,-1.013B,2.121B,4.138B,354.83M,4.493B,,,,1.323B,7.936B,11.43B,565.03M,,,565.03M,1.011B,1.576B,311.65M,311.65M,,311.65M,,,,1.887B,3.964B,,3.964B,246.76M,246.76M,,,4.211B,6.098B,493.26M,2.659B,2.281B,0.02M,,,-98.41M,5.336B
2002-06,628.75M,,628.75M,1.521B,,1.521B,400.41M,148.54M,440.18M,989.13M,176.10M,,,3.315B,,,,,,3.109B,-1.013B,2.096B,3.427B,301.32M,3.728B,,,,1.279B,7.103B,10.42B,469.13M,,,469.13M,925.12M,1.394B,134.51M,134.51M,,134.51M,,,,1.529B,3.635B,,3.635B,172.06M,172.06M,,,3.808B,5.336B,484.51M,2.608B,2.030B,0.02M,,,-41.15M,5.082B
2002-03,238.16M,,238.16M,1.377B,,1.377B,369.68M,145.99M,381.58M,897.25M,171.00M,,,2.684B,,,,,,3.023B,-1.013B,2.010B,,3.580B,3.580B,,,,1.070B,6.659B,9.343B,402.54M,,,402.54M,782.72M,1.185B,130.69M,130.69M,,130.69M,,,,1.316B,3.576B,,3.576B,217.76M,217.76M,,,3.794B,5.110B,460.54M,2.554B,1.409B,0.02M,,,-190.24M,4.233B
2001-12,311.99M,,311.99M,1.204B,,1.204B,392.82M,163.92M,356.36M,913.10M,197.62M,,,2.627B,0.0,143.95M,817.73M,2.068B,,3.030B,-1.013B,2.017B,,3.523B,3.523B,,,,1.017B,6.556B,9.183B,322.28M,,,322.28M,784.42M,1.107B,129.86M,129.86M,,129.86M,,,,1.237B,3.628B,,3.628B,199.31M,199.31M,,,3.827B,5.064B,459.07M,2.468B,1.381B,0.02M,-175.50M,-12.79M,-188.29M,4.120B
2001-09,146.31M,,146.31M,1.319B,,1.319B,391.94M,184.42M,425.19M,1.002B,149.66M,,,2.617B,,,,,,2.933B,-926.45M,2.006B,,3.517B,3.517B,,,,1.073B,6.596B,9.213B,286.45M,,,286.45M,683.26M,969.71M,194.94M,194.94M,,194.94M,,,,1.165B,3.823B,,3.823B,118.83M,118.83M,,,3.942B,5.107B,458.84M,2.469B,1.352B,0.02M,,,-173.02M,4.107B
2001-06,106.49M,,106.49M,1.337B,,1.337B,394.96M,186.37M,441.84M,1.023B,150.43M,,,2.617B,,,,,,2.876B,-926.45M,1.950B,,2.745B,2.745B,,,,1.513B,6.208B,8.825B,313.34M,,,313.34M,662.12M,975.46M,208.95M,208.95M,,208.95M,,,,1.184B,3.686B,,3.686B,226.29M,226.29M,,,3.912B,5.096B,459.86M,2.652B,863.27M,,,,-247.03M,3.729B
2001-03,89.43M,,89.43M,1.288B,,1.288B,382.22M,189.77M,416.57M,988.56M,143.03M,,,2.509B,,,,,,2.851B,-926.45M,1.925B,,2.666B,2.666B,,,,1.474B,6.065B,8.574B,279.33M,,,279.33M,603.69M,883.02M,216.61M,216.61M,,216.61M,,,,1.100B,3.605B,,3.605B,193.81M,193.81M,,,3.799B,4.898B,459.81M,2.573B,868.44M,,,,-226.04M,3.675B
2000-12,169.43M,,169.43M,1.099B,,1.099B,,,,912.96M,,,126.62M,2.308B,,,,,,2.833B,-926.45M,1.907B,,2.191B,2.191B,,,,1.338B,5.436B,7.744B,250.46M,,,250.46M,,250.46M,,210.95M,,210.95M,,,616.64M,1.078B,3.018B,,3.018B,221.65M,221.65M,,,3.240B,4.318B,444.75M,2.520B,631.12M,,,,-169.75M,3.426B
2000-09,181.23M,,181.23M,1.182B,,1.182B,,,,912.46M,,,130.30M,2.406B,,,,,,2.642B,-814.70M,1.827B,,2.149B,2.149B,,,,1.503B,5.479B,7.885B,254.33M,,,254.33M,,254.33M,,888.52M,,888.52M,,,715.17M,1.858B,2.277B,,2.277B,233.45M,233.45M,,,2.510B,4.369B,453.17M,2.529B,764.84M,,,,-230.62M,3.517B
2000-06,122.82M,,122.82M,1.193B,,1.193B,,,,938.54M,,,114.81M,2.369B,,,,,,2.613B,-814.70M,1.798B,,2.173B,2.173B,,,,1.411B,5.382B,7.751B,269.84M,,,269.84M,,269.84M,,890.22M,,890.22M,,,621.46M,1.782B,2.347B,,2.347B,230.71M,230.71M,,,2.577B,4.359B,448.66M,2.403B,690.04M,,,,-150.38M,3.392B
2000-03,74.22M,,74.22M,,,1.167B,,,,884.00M,,,113.46M,2.239B,,,,,,2.565B,-814.70M,1.750B,,1.877B,1.877B,,,,1.342B,4.969B,7.208B,272.44M,,,272.44M,,272.44M,,363.24M,,363.24M,,,593.63M,1.229B,2.432B,,2.432B,228.63M,228.63M,,,2.660B,3.890B,447.55M,2.272B,678.38M,,,,-79.67M,3.318B
1999-12,230.80M,,230.80M,1.003B,,1.003B,,,,769.90M,,,106.50M,2.110B,,,,,,2.439B,-814.70M,1.624B,,1.743B,1.743B,,,,1.158B,4.525B,6.635B,243.80M,,,243.80M,,243.80M,,62.30M,,62.30M,,,540.30M,846.40M,2.431B,,2.431B,220.70M,220.70M,,,2.652B,3.498B,443.50M,2.152B,602.00M,,,,-60.50M,3.136B
1999-09,145.50M,,145.50M,,,1.125B,,,,777.60M,,,112.30M,2.160B,,,,,,2.228B,-647.50M,1.58B,,1.735B,1.735B,,,,1.173B,4.487B,6.648B,255.40M,,,255.40M,,255.40M,,147.40M,,147.40M,,,567.50M,970.30M,2.420B,,2.420B,213.90M,213.90M,,,2.634B,3.605B,443.20M,2.038B,595.20M,,,,-33.90M,3.043B
1999-06,78.40M,,78.40M,,,845.40M,,,,626.80M,,,71.40M,1.622B,,,,,,1.901B,-647.50M,1.254B,,1.342B,1.342B,,,,1.178B,3.774B,5.396B,186.60M,,,186.60M,,186.60M,,253.00M,,253.00M,,,479.40M,919.00M,1.507B,,1.507B,204.60M,204.60M,,,1.711B,2.630B,,2.300B,,,,,,2.766B
1999-03,328.20M,,328.20M,,,786.20M,,,,572.20M,,,61.00M,1.748B,,,,,,1.831B,-647.50M,1.183B,,1.066B,1.066B,,,,1.148B,3.397B,5.145B,157.50M,,,157.50M,,157.50M,,257.40M,,257.40M,,,442.60M,857.50M,1.350B,,1.350B,191.40M,191.40M,,,1.542B,2.399B,,2.199B,,,,,,2.746B
1998-12,553.20M,,553.20M,,,800.30M,,,,646.90M,,,81.60M,2.082B,,,,,,2.005B,-647.50M,1.358B,,1.056B,1.056B,,,,1.123B,3.537B,5.619B,196.90M,,,196.90M,,196.90M,,309.30M,,309.30M,,,470.10M,976.30M,1.638B,,1.638B,230.20M,230.20M,,0.10M,1.869B,2.845B,443.30M,1.763B,584.50M,,,,-16.60M,2.774B
1998-09,442.90M,,442.90M,,,734.70M,,,,550.70M,,,111.30M,1.840B,,,,,,1.708B,-588.10M,1.120B,,974.60M,974.60M,,,,1.082B,3.177B,5.016B,155.20M,,,155.20M,,155.20M,,261.10M,,261.10M,,,456.90M,873.20M,1.293B,,1.293B,186.20M,186.20M,,-0.10M,1.479B,2.352B,,2.026B,,,,,,2.664B
1998-06,416.60M,,416.60M,,,674.90M,,,,560.90M,,,143.60M,1.796B,,,,,,1.559B,-485.70M,1.073B,,918.30M,918.30M,,,,979.40M,2.971B,4.767B,156.80M,,,156.80M,,156.80M,,24.50M,,24.50M,,,384.60M,565.90M,1.418B,,1.418B,180.80M,180.80M,,-0.10M,1.599B,2.164B,,1.976B,,,,,,2.602B
1998-03,174.90M,,174.90M,,,679.40M,,,,543.90M,,,119.30M,1.518B,,,,,,1.662B,-588.10M,1.074B,,856.40M,856.40M,,,,934.10M,2.864B,4.382B,157.40M,,,157.40M,,157.40M,,25.80M,,25.80M,,,366.70M,549.90M,1.162B,,1.162B,181.20M,181.20M,,,1.343B,1.893B,,1.859B,,,,,,2.489B
