,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-05,74.50M,-1.40M,,,-2.40M,-3.70M,23.20M,3.70M,26.90M,26.90M,10.80M,,,,13.70M,23.60M,-42.40M,67.50M,11.40M,59.00M,,,,95.50M,241.30M,,-21.00M,,-21.00M,-7.50M,,-5.30M,-33.80M,,-248.80M,,-248.80M,,0.00,0.00,,,36.50M,7.70M,-204.60M,,9.20M,2.90M,1.30M,13.40M,,,168.50M,-417.30M,0.00,,AOR,Restated
2011-02,279.80M,-165.10M,,,-23.40M,-129.30M,27.30M,-5.50M,21.80M,21.80M,-1.30M,,16.70M,,6.20M,93.50M,258.30M,138.30M,-15.50M,-427.30M,,,,-46.20M,250.30M,,-19.00M,,-19.00M,191.60M,29.70M,10.90M,213.20M,,-500.40M,,-500.40M,-2.10M,0.00,-2.10M,,,29.50M,0.30M,-472.70M,,16.00M,-9.20M,2.40M,9.20M,,-2.10M,0.00,-500.40M,0.00,,AOR,Restated
2010-11,139.30M,0.00,,,-36.90M,-40.50M,30.90M,3.70M,34.60M,34.60M,21.60M,,6.90M,,14.10M,2.30M,-139.80M,-104.70M,2.60M,126.90M,,,,-115.00M,63.30M,,-26.90M,,-26.90M,0.00,0.00,12.70M,-14.20M,,-69.20M,,-69.20M,0.00,0.00,0.00,,,17.80M,2.40M,-49.00M,,13.90M,0.10M,2.00M,16.00M,,0.00,,-69.20M,0.00,,AOR,Restated
2010-08,91.30M,0.00,,,13.40M,19.60M,30.10M,3.60M,33.70M,33.70M,15.30M,,,,14.70M,-16.90M,-71.20M,96.20M,-1.70M,65.00M,,,,88.30M,246.00M,,-17.60M,,-17.60M,0.00,-0.10M,2.20M,-15.50M,,-241.90M,,-241.90M,2.10M,0.00,2.10M,,,1.30M,0.10M,-238.40M,,20.90M,-7.90M,0.90M,13.90M,,2.10M,-194.60M,-47.30M,0.00,,AOR,Restated
2010-05,49.10M,0.00,,,23.10M,21.70M,30.90M,3.70M,34.60M,34.60M,35.30M,,,,11.00M,-3.90M,-133.30M,61.00M,7.00M,-22.40M,,,,-87.70M,60.10M,,-25.60M,,-25.60M,-1.60M,-29.60M,61.40M,4.60M,,193.30M,,193.30M,,-300.00M,-300.00M,,,16.70M,4.00M,-86.00M,,43.50M,-21.30M,-1.30M,20.90M,,,194.60M,-1.30M,-300.00M,,AOR,Restated
2010-02,-51.00M,-11.20M,,-34.30M,-40.10M,-35.60M,32.30M,3.20M,35.50M,35.50M,-7.80M,,103.20M,,17.10M,7.80M,369.20M,83.30M,-4.70M,-303.10M,,,,144.70M,213.90M,,-18.50M,,-18.50M,73.20M,-0.30M,-1.70M,52.70M,,-258.60M,,-258.60M,2.20M,0.00,2.20M,,,1.60M,-11.40M,-266.20M,,50.30M,0.40M,-7.20M,43.50M,,2.20M,-7.10M,-251.50M,0.00,,AOR,Restated
2009-11,44.10M,0.00,,34.30M,39.30M,75.70M,34.40M,2.90M,37.30M,37.30M,5.90M,,0.00,,13.80M,17.70M,-102.80M,-123.60M,6.30M,116.90M,,,,-103.20M,91.30M,,-24.10M,,-24.10M,0.00,-0.10M,1.60M,-22.60M,,-74.00M,,-74.00M,0.00,0.00,0.00,,,10.70M,24.50M,-38.80M,,19.70M,29.90M,0.70M,50.30M,,0.00,124.20M,-198.20M,0.00,,AOR,Restated
2009-08,99.70M,0.00,,,11.30M,9.50M,43.00M,2.90M,45.90M,45.90M,-1.60M,,,,13.20M,22.40M,-71.70M,56.80M,-3.90M,-18.10M,,,,-36.90M,152.20M,,-18.00M,,-18.00M,6.20M,-0.50M,14.50M,2.20M,,-160.70M,,-160.70M,2.30M,0.00,2.30M,,,,6.60M,-151.80M,,16.80M,2.60M,0.30M,19.70M,,2.30M,-98.60M,-62.10M,0.00,,AOR,Restated
2009-05,6.50M,0.80M,,,-23.60M,-22.40M,34.10M,3.10M,37.20M,37.20M,-27.10M,,,,12.20M,-0.80M,-132.80M,34.50M,4.90M,33.00M,,,,-60.40M,-54.80M,,-47.10M,,-47.10M,270.20M,,1.20M,224.30M,,-170.90M,,-170.90M,,0.00,0.00,,,,4.60M,-166.30M,,13.10M,3.20M,0.50M,16.80M,,,98.60M,-269.50M,0.00,,AOR,Restated
2009-02,-406.80M,15.70M,,,81.70M,113.00M,34.40M,3.40M,37.80M,37.80M,-7.30M,,306.50M,,12.00M,25.90M,274.80M,90.60M,-7.00M,-263.50M,,,,94.90M,176.00M,,-33.00M,,-33.00M,-0.10M,-2.20M,-14.20M,-28.70M,,-324.70M,,-324.70M,2.70M,,2.70M,,,,-25.30M,-320.20M,,181.30M,-172.90M,4.70M,13.10M,,2.70M,,-324.70M,,,AOR,Restated
