,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2002-12,,1.089B,,1.089B,,1.630B,,,,,,,,393.63M,,,812.95M,19.13B,279.59M,-92.66M,18.76B,3.636B,24.94B,26.57B,,,,,,15.55M,15.55M,15.55M,1.900B,,1.602B,,1.602B,20.13B,22.68M,21.73B,24.17B,,1.035B,1.293B,,,,46.21M,2.374B,,,
2002-09,,1.027B,,1.027B,,2.224B,,,,,,,,386.73M,,,806.50M,18.42B,265.41M,-94.54M,18.06B,3.427B,24.07B,26.29B,,,,,,512.79M,512.79M,512.79M,2.152B,,1.642B,,1.642B,19.48B,23.03M,21.12B,23.91B,,1.049B,1.223B,,,,85.36M,2.358B,,,
2002-06,,1.027B,,1.027B,,1.344B,,,,,,,,366.17M,,,836.53M,18.55B,264.43M,-99.28M,18.19B,3.609B,24.39B,25.73B,,,,,,772.42M,772.42M,772.42M,2.793B,,1.343B,,1.343B,18.79B,22.78M,20.13B,23.37B,,1.072B,1.202B,,,,62.98M,2.337B,,,
2002-03,,911.85M,,911.85M,,1.238B,,,,,,,,370.47M,,,873.96M,17.96B,264.11M,-103.26M,17.59B,3.504B,23.60B,24.84B,,,,,,437.47M,437.47M,437.47M,2.712B,,1.338B,,1.338B,18.00B,20.77M,19.34B,22.50B,,1.093B,1.171B,,,,51.70M,2.315B,,,
2001-12,,981.39M,,981.39M,,1.261B,,,,,,,,368.08M,,,879.91M,17.41B,260.48M,-102.61M,17.05B,3.466B,23.04B,24.30B,,,,,,181.27M,181.27M,181.27M,2.406B,,1.331B,,1.331B,17.84B,16.32M,19.17B,22.01B,,1.111B,1.110B,,,,59.95M,2.281B,,,
2001-09,,912.63M,,912.63M,,1.545B,,,,,,,,354.64M,,,744.03M,16.88B,245.86M,-102.58M,16.53B,3.681B,22.71B,24.26B,,,,,,249.78M,249.78M,249.78M,2.580B,,1.252B,,1.252B,17.43B,13.61M,18.69B,22.01B,,1.104B,1.056B,,,,74.62M,2.235B,,,
2001-06,,982.92M,,982.92M,,1.361B,,,,,,,,350.72M,,,826.02M,16.57B,229.86M,-90.42M,16.25B,3.307B,22.13B,23.49B,,,,,,265.28M,265.28M,265.28M,2.382B,,1.212B,,1.212B,17.17B,16.07M,18.38B,21.27B,,1.121B,1.002B,,,,74.80M,2.198B,,,
2001-03,,1.062B,,1.062B,,2.097B,,,,,,,,338.05M,,,763.39M,15.57B,221.24M,-83.79M,15.27B,3.752B,21.45B,23.55B,,,,,,898.04M,898.04M,898.04M,3.406B,,448.84M,,448.84M,16.84B,53.61M,17.29B,21.38B,,1.111B,946.87M,,,,57.98M,2.116B,,,
2000-12,,1.068B,,1.068B,,1.575B,,,,,,,,324.51M,,,641.44M,14.46B,195.54M,-80.12M,14.18B,4.188B,20.36B,21.94B,,,,,,1.291B,1.291B,1.291B,3.979B,,761.56M,,761.56M,15.07B,39.86M,15.83B,20.12B,,907.60M,874.88M,,,,-3.644M,1.779B,,,
2000-09,,962.56M,,962.56M,,1.715B,,,,,,,,307.90M,,,638.26M,14.14B,200.40M,-75.00M,13.87B,4.262B,20.21B,21.92B,,,,,,1.381B,1.381B,1.381B,3.737B,,825.51M,,825.51M,15.17B,39.58M,15.99B,20.17B,,901.57M,826.31M,,,,-12.18M,1.716B,,,
2000-06,,900.64M,,900.64M,,1.610B,,,,,,,,294.63M,,,647.56M,13.85B,197.43M,-70.00M,13.58B,4.328B,19.85B,21.46B,,,,,,2.055B,2.055B,2.055B,4.384B,,565.81M,,565.81M,14.51B,40.43M,15.08B,19.78B,,889.42M,764.88M,,,,-20.32M,1.634B,,,
2000-03,,947.78M,,947.78M,,1.716B,,,,,,,,290.75M,,,656.93M,13.18B,200.06M,-58.95M,12.92B,4.333B,19.28B,21.00B,,,,,,801.57M,801.57M,801.57M,3.494B,,893.47M,,893.47M,14.58B,40.08M,15.48B,19.37B,,888.72M,722.44M,,,,-25.50M,1.586B,,,
1999-12,,915.70M,,915.70M,,1.424B,,,,,,,,287.40M,,,666.20M,12.85B,204.10M,-62.50M,12.59B,4.437B,18.86B,20.28B,,,,,,1.038B,1.038B,1.038B,3.468B,,804.80M,,804.80M,14.06B,39.20M,14.87B,18.58B,,888.20M,775.80M,,,,-4.20M,1.660B,,,
1999-09,,759.30M,,759.30M,,1.406B,,,,,,,,263.10M,,,258.40M,11.47B,198.60M,-52.40M,11.22B,4.470B,17.19B,18.60B,,,,,,1.141B,1.141B,1.141B,3.281B,,570.50M,,570.50M,13.01B,38.50M,13.58B,17.44B,,,794.20M,,,,,1.113B,,,
1999-06,,900.60M,,900.60M,,1.283B,,,,,,,,249.60M,,,261.80M,11.10B,204.80M,-49.70M,10.84B,4.107B,16.32B,17.61B,,,,,,666.10M,666.10M,666.10M,2.563B,,513.50M,,513.50M,13.07B,37.50M,13.58B,16.48B,,,762.30M,,,,,1.091B,,,
1999-03,,826.80M,,826.80M,,1.196B,,,,,,,,236.30M,,,264.70M,10.95B,198.90M,-43.30M,10.71B,3.725B,15.89B,17.08B,,,,,,399.50M,399.50M,399.50M,1.835B,,504.40M,,504.40M,13.20B,37.80M,13.71B,15.99B,,,732.40M,,,,,1.060B,,,
1998-12,,953.20M,,953.20M,,1.582B,,,,,,,,249.90M,,,663.60M,11.27B,212.60M,-50.10M,11.01B,3.997B,16.47B,18.05B,,,,,,100.80M,100.80M,100.80M,1.460B,,559.70M,,559.70M,14.22B,34.70M,14.78B,16.56B,,796.50M,659.50M,,,,-3.40M,1.453B,,,
1998-09,,644.30M,,644.30M,,1.885B,,,,,,,,182.90M,,,168.90M,6.807B,100.40M,-43.60M,6.663B,2.966B,10.50B,12.39B,,,,,,26.20M,26.20M,26.20M,1.472B,,572.60M,,572.60M,8.932B,,9.505B,11.41B,,,660.90M,,,,,977.30M,,,
1998-06,,738.60M,,738.60M,,1.923B,,,,,,,,169.90M,,,171.00M,6.167B,96.00M,-42.20M,6.029B,3.128B,9.857B,11.78B,,,,,,20.40M,20.40M,20.40M,1.665B,,504.30M,,504.30M,8.312B,,8.816B,10.86B,,,612.20M,,,,,924.60M,,,
1998-03,,650.80M,,650.80M,,1.74B,,,,,,,,157.40M,,,170.00M,5.691B,91.90M,-41.50M,5.558B,2.622B,8.872B,10.61B,,,,,,86.30M,86.30M,86.30M,1.502B,,397.80M,,397.80M,7.799B,,8.197B,9.888B,,,575.00M,,,,,723.80M,,,
1997-12,,772.20M,,772.20M,,1.564B,,,,,,,,161.40M,,,174.40M,5.713B,91.60M,-44.10M,5.577B,3.090B,9.306B,10.87B,,,,,,68.90M,68.90M,68.90M,1.461B,,491.30M,,491.30M,7.956B,,8.448B,10.13B,,,550.10M,,,,,742.10M,,,
1997-09,,569.50M,,569.50M,,1.917B,,,,,,,,121.10M,,,128.40M,4.229B,70.30M,-38.60M,4.120B,2.584B,7.142B,9.060B,,,,,,68.80M,68.80M,68.80M,2.256B,,449.00M,,449.00M,5.666B,,6.115B,8.479B,,,492.90M,,,,-0.30M,581.10M,,,
1997-06,,468.20M,,468.20M,,1.248B,,,,,,,,109.80M,,,101.90M,3.961B,71.50M,-37.20M,3.852B,2.550B,6.802B,8.05B,,,,,,39.80M,39.80M,39.80M,1.843B,,361.30M,,361.30M,5.160B,,5.521B,7.461B,,,470.60M,,,,0.80M,589.20M,,,
1997-03,,412.60M,,412.60M,,1.379B,,,,,,,,97.70M,,,,3.740B,69.30M,-37.50M,3.633B,1.929B,5.861B,7.241B,,,,,,14.90M,14.90M,14.90M,1.651B,,320.70M,,320.70M,4.672B,,4.992B,6.737B,,,44.90M,,,,-2.40M,503.60M,,,
1996-12,,501.70M,,501.70M,,761.70M,,,,,,,,102.70M,,,,3.878B,76.80M,-40.50M,3.760B,2.289B,6.355B,7.116B,,,,,,14.30M,14.30M,14.30M,1.018B,,333.50M,,333.50M,5.120B,,5.453B,6.562B,,,436.60M,,,,-1.80M,554.60M,,,
1996-09,,424.20M,,424.20M,,1.373B,,,,,,,,90.60M,,,,3.351B,69.30M,-37.40M,3.245B,1.887B,5.411B,6.783B,,,,,,15.70M,15.70M,15.70M,1.510B,,131.00M,,131.00M,4.573B,,4.704B,6.293B,,,409.10M,,,,-2.40M,490.50M,,,
1996-06,,379.60M,,379.60M,,725.00M,,,,,,,,88.60M,,,,3.248B,69.30M,-35.30M,3.143B,1.942B,5.363B,6.088B,,,,,,17.90M,17.90M,17.90M,1.071B,,134.40M,,134.40M,4.340B,,4.475B,5.614B,,,389.90M,,,,-1.00M,473.50M,,,
1996-03,,431.50M,,431.50M,,1.432B,,,,,,,,83.60M,,,,3.004B,67.60M,-33.10M,2.903B,1.621B,4.770B,6.203B,,,,,,18.40M,18.40M,18.40M,1.375B,,138.30M,,138.30M,4.171B,,4.309B,5.764B,,,370.90M,,,,0.20M,438.60M,,,
1995-12,,452.70M,,452.70M,,1.105B,,,,,,,,82.60M,,,,2.838B,67.60M,-31.00M,2.739B,1.540B,4.515B,5.621B,,,,,,14.90M,14.90M,14.90M,880.20M,,142.40M,,142.40M,4.097B,,4.240B,5.192B,,,353.20M,,,,1.90M,428.50M,,,
1995-09,,372.50M,,372.50M,,1.102B,,,,,,,,82.10M,,,,2.708B,68.30M,-29.00M,2.611B,1.716B,4.566B,5.668B,,,,,,15.50M,15.50M,15.50M,938.20M,,147.60M,,147.60M,4.095B,,4.243B,5.258B,,,336.60M,,,,-0.10M,410.00M,,,
1995-06,,351.90M,,351.90M,,1.253B,,,,,,,,80.20M,,,,2.678B,67.80M,-26.30M,2.584B,1.594B,4.411B,5.664B,,,,,,27.80M,27.80M,27.80M,1.160B,,152.00M,,152.00M,3.890B,,4.042B,5.272B,,,319.50M,,,,-1.50M,392.30M,,,
1995-03,,301.00M,,301.00M,,918.40M,,,,,,,,76.80M,,,,2.499B,67.40M,-24.60M,2.407B,1.556B,4.187B,5.106B,,,,,,16.90M,16.90M,16.90M,712.50M,,155.30M,,155.30M,3.786B,,3.942B,4.725B,,,304.10M,,,,-3.10M,381.00M,,,
1994-12,,336.60M,,336.60M,,720.30M,,,,,,,,76.20M,,,,2.416B,67.00M,-24.80M,2.324B,1.663B,4.214B,4.934B,,,,,,25.70M,25.70M,25.70M,631.70M,,159.80M,,159.80M,3.706B,,3.866B,4.568B,,,292.40M,,,,-5.90M,365.80M,,,
1994-09,,326.40M,,326.40M,,976.20M,,,,,,,,76.20M,,,,2.594B,66.80M,-19.80M,2.508B,1.533B,4.252B,5.228B,,,,,,26.80M,26.80M,26.80M,1.018B,,162.60M,,162.60M,3.628B,,3.791B,4.874B,,,279.50M,,,,-4.20M,354.30M,,,
1994-06,,290.20M,,290.20M,,1.096B,,,,,,,,75.50M,,,,2.685B,69.00M,-19.60M,2.596B,1.552B,4.356B,5.452B,,,,,,27.10M,27.10M,27.10M,1.285B,,164.50M,,164.50M,3.599B,,3.764B,5.111B,,,266.20M,,,,-3.40M,341.80M,,,
1994-03,,295.60M,,295.60M,,947.80M,,,,,,,,74.80M,,,,2.553B,68.00M,-20.90M,2.464B,1.626B,4.284B,5.232B,,,,,,25.40M,25.40M,25.40M,1.138B,,214.40M,,214.40M,3.494B,,3.708B,4.914B,,,253.90M,,,,-1.60M,318.70M,,,
1993-12,,328.80M,,328.80M,,882.60M,,,,,,,,65.10M,,,,2.250B,65.30M,-19.80M,2.165B,1.145B,3.483B,4.366B,,,,,,136.10M,136.10M,136.10M,777.90M,,207.70M,,207.70M,3.024B,,3.232B,4.075B,,,233.30M,,,,0.40M,290.40M,,,
1993-09,,274.00M,,274.00M,104.30M,711.30M,,,,,,,,63.00M,,,,2.161B,64.60M,-20.00M,2.076B,1.125B,3.357B,4.068B,,109.20M,109.20M,,,56.00M,56.00M,56.00M,626.50M,,208.90M,,208.90M,2.894B,,3.103B,3.796B,,,218.70M,,,,,272.10M,,,
1993-06,,479.40M,,479.40M,,890.50M,,,,,,,,62.50M,,,,1.976B,63.90M,-22.50M,1.889B,1.039B,3.045B,3.935B,,,,,,120.10M,120.10M,120.10M,509.20M,,212.80M,,212.80M,2.894B,,3.106B,3.673B,,,208.80M,,,,,261.80M,,,
1993-03,,416.00M,,416.00M,,895.60M,,,,,,,,65.30M,,,,1.902B,57.60M,-23.30M,1.821B,1.067B,3.000B,3.896B,,,,,,74.70M,74.70M,74.70M,697.30M,,152.40M,,152.40M,2.739B,,2.892B,3.646B,,,196.60M,,,,,249.40M,,,
1992-12,,526.20M,,526.20M,,884.20M,,,,,,,,64.30M,,,,1.964B,57.10M,-23.70M,1.884B,906.00M,2.895B,3.779B,,,,,,153.50M,153.50M,153.50M,576.40M,,150.90M,,150.90M,2.765B,,2.916B,3.537B,,,190.00M,,,,,242.50M,,,
1992-09,,394.00M,,394.00M,,623.50M,,,,,,,,52.30M,,,,2.068B,58.90M,-26.30M,1.983B,871.90M,2.956B,3.580B,,,,,,81.50M,81.50M,81.50M,479.00M,,127.50M,,127.50M,2.694B,,2.821B,3.349B,,,178.20M,,,,,230.50M,,,
1992-06,,483.40M,,483.40M,,730.70M,,,,,,,,52.30M,,,,2.026B,58.30M,-26.30M,1.942B,859.30M,2.902B,3.633B,,,,,,129.80M,129.80M,129.80M,620.60M,,75.20M,,75.20M,2.677B,,2.752B,3.413B,,,168.40M,,,,,220.60M,,,
1992-03,,468.10M,,468.10M,,716.30M,,,,,,,,51.20M,,,,1.948B,55.20M,-27.10M,1.865B,808.40M,2.777B,3.493B,,,,,,127.60M,127.60M,127.60M,482.30M,,75.70M,,75.70M,2.672B,,2.748B,3.280B,,,161.30M,,,,,212.90M,,,
1991-12,,580.70M,,580.70M,,801.80M,,,,,,,,50.30M,,,,1.915B,56.30M,-28.50M,1.830B,788.20M,2.844B,3.646B,,,,,,203.70M,203.70M,203.70M,646.30M,,81.10M,,81.10M,2.658B,,2.740B,3.439B,,,155.80M,,,,,206.60M,,,
1991-09,,516.00M,,516.00M,,805.70M,,,,,,,,51.40M,,,,1.850B,60.50M,-29.40M,1.760B,688.00M,2.602B,3.408B,,,,,,126.30M,126.30M,126.30M,482.40M,,85.10M,,85.10M,2.594B,,2.679B,3.208B,,,150.00M,,,,,200.00M,,,
1991-06,,508.90M,,508.90M,,781.30M,,,,,,,,51.60M,,,,1.814B,57.40M,-28.10M,1.729B,608.50M,2.492B,3.273B,,,,,,76.70M,76.70M,76.70M,436.00M,,85.40M,,85.40M,2.511B,,2.596B,3.079B,,,145.00M,,,,,194.00M,,,
1991-03,,442.10M,,442.10M,,816.30M,,,,,,,,51.90M,,,,1.778B,59.80M,-28.40M,1.690B,611.00M,2.457B,3.274B,,,,,,156.00M,156.00M,156.00M,485.90M,,90.20M,,90.20M,2.462B,,2.552B,3.085B,,,140.00M,,,,,188.20M,,,
1990-12,,496.00M,,496.00M,,1.066B,,,,,,,,51.70M,,,,1.828B,59.00M,-28.30M,1.740B,595.20M,2.493B,3.559B,,,,,,290.00M,290.00M,290.00M,695.40M,,92.80M,,92.80M,2.537B,,2.630B,3.376B,,,135.40M,,,,,183.50M,,,
1990-09,,345.10M,,345.10M,,736.20M,,,,,,,,51.80M,,,,1.838B,58.10M,-24.90M,1.755B,497.60M,2.375B,3.111B,,,,,,29.90M,29.90M,29.90M,314.70M,,95.10M,,95.10M,2.475B,,2.570B,2.934B,,,129.80M,,,,,177.90M,,,
1990-06,,320.90M,,320.90M,,758.40M,,,,,,,,50.80M,,,,1.795B,59.30M,-25.40M,1.710B,488.50M,2.326B,3.085B,,,,,,31.80M,31.80M,31.80M,285.60M,,95.40M,,95.40M,2.482B,,2.578B,2.912B,,,125.20M,,,,,173.00M,,,
1990-03,,286.50M,,286.50M,,730.60M,,,,,,,,51.40M,,,,1.676B,60.00M,-21.60M,1.594B,455.70M,2.208B,2.939B,,,,,,0.70M,0.70M,0.70M,274.20M,,95.60M,,95.60M,2.319B,,2.415B,2.770B,,,121.20M,,,,,168.50M,,,
1989-12,,445.30M,,445.30M,,716.00M,,,,,,,,51.80M,,,,1.696B,60.30M,-20.10M,1.616B,466.90M,2.259B,2.975B,,,,,,1.40M,1.40M,1.40M,299.00M,,95.70M,,95.70M,2.326B,,2.422B,2.811B,,,117.40M,,,,,164.30M,,,
1989-09,,311.40M,,311.40M,,667.50M,,,,,,,,52.20M,,,,1.710B,62.00M,-19.30M,1.629B,449.30M,2.251B,2.918B,,,,,,10.30M,10.30M,10.30M,297.00M,,98.10M,,98.10M,2.276B,,2.374B,2.758B,,,113.20M,,,,,159.90M,,,
1989-06,,369.00M,,369.00M,,632.10M,,,,,,,,51.90M,,,,1.736B,60.90M,-18.30M,1.657B,409.00M,2.237B,2.869B,,,,,,60.10M,60.10M,60.10M,321.40M,,98.40M,,98.40M,2.203B,,2.302B,2.713B,,,110.00M,,,,,156.30M,,,
