,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,145.31M,,-3.392M,,-11.64M,,,32.34M,32.34M,8.905M,,,,,117.35M,,-58.74M,,,12.06M,-46.68M,245.59M,,-28.42M,,-28.42M,-1.691M,142.10M,-1.791B,-1.679B,,-4.749M,1.263B,1.258B,,,13.13M,,,,,-38.32M,7.863M,1.622B,,1.585B,188.97M,1.774B,,,250.00M,-254.75M,,,,,,
2006-03,137.63M,,-0.801M,,-9.679M,,,32.01M,32.01M,-8.81M,,,,,-85.51M,,74.10M,,,73.13M,147.24M,212.88M,,-21.41M,,-21.41M,,93.98M,-804.68M,-732.12M,,-100.44M,259.63M,159.19M,,,40.97M,,,,,-38.14M,5.182M,397.50M,,1.707B,-121.73M,1.585B,,,0.15M,-100.60M,,,,,,
2005-12,128.11M,,-2.187M,,-13.54M,,,29.39M,29.39M,-3.532M,,,,,314.42M,,-10.75M,,,-50.18M,-60.93M,393.92M,,-51.11M,,-51.11M,-189.52M,670.68M,-1.242B,-811.79M,,597.82M,-430.15M,167.68M,,,19.88M,,,,,-32.66M,,1.015B,,1.109B,597.39M,1.707B,,,,-0.598M,,,,,,
2005-09,122.97M,,-1.365M,,-18.84M,,,24.78M,24.78M,-9.155M,,,,,-49.53M,,32.10M,,,-116.77M,-84.67M,-14.45M,,15.86M,,15.86M,-0.20M,-632.58M,48.64M,-568.28M,,-0.557M,-516.76M,-517.31M,,,8.058M,,,,,-32.55M,,459.41M,,1.233B,-123.32M,1.109B,,,,-0.557M,,,,,,
2005-06,118.81M,,3.965M,,-5.875M,,,23.95M,23.95M,-10.52M,,,,,20.80M,,-69.58M,,,35.82M,-33.76M,113.40M,,-19.34M,,-19.34M,,22.84M,-866.54M,-863.03M,,-0.556M,399.94M,399.39M,,,-13.49M,,,,,-32.52M,,896.68M,,1.085B,147.04M,1.233B,,,,-0.556M,,,,,,
2005-03,110.23M,,0.054M,,-11.47M,,,22.55M,22.55M,-9.15M,,,,,0.422M,,63.85M,,,84.89M,148.74M,261.32M,,-13.41M,,-13.41M,,177.12M,-352.15M,-188.44M,,-0.557M,-386.23M,-386.79M,,,-5.86M,,,,,-32.57M,,161.61M,,851.00M,234.48M,1.085B,,,,-0.557M,,,,,,
2004-12,104.98M,,147.85M,,137.23M,,,10.82M,10.82M,,,,,,-30.84M,,-11.91M,,,-69.99M,-81.90M,118.37M,,-22.64M,,-22.64M,-1.076M,45.25M,-1.118B,-1.096B,,-2.608M,661.34M,658.73M,,,3.473M,,,,,-28.85M,1.804M,762.28M,,1.067B,-215.52M,851.00M,,,-2.025M,-0.583M,,,,,,
2004-09,102.50M,,97.68M,,83.07M,,,34.73M,34.73M,,,,,,91.57M,,25.92M,,,119.46M,145.37M,457.23M,,-20.82M,,-20.82M,1.076M,-206.49M,-143.76M,-369.99M,,-66.40M,-848.47M,-914.87M,,,-10.65M,,,,,-28.80M,-0.116M,-145.56M,,1.125B,-58.32M,1.067B,,,0.00,-66.40M,,,,,,
2004-06,98.84M,,3.082M,,-9.961M,,,24.90M,24.90M,,,,,,-5.063M,,-82.99M,,,-61.70M,-144.68M,-35.97M,,-13.47M,,-13.47M,,261.63M,-926.80M,-678.64M,,174.35M,-346.75M,-172.40M,,,-1.035M,,,,,-28.78M,-1.688M,780.71M,,1.059B,66.10M,1.125B,,,300.00M,-125.65M,,,,,,
2004-03,99.67M,,4.114M,,-10.93M,,,24.34M,24.34M,,,,,,-4.624M,,64.69M,,,-50.40M,14.29M,122.74M,,-15.36M,,-15.36M,,-287.85M,-728.13M,-1.031B,,-50.67M,301.21M,250.54M,,,-14.42M,,,,,-28.17M,,847.99M,,1.119B,-60.62M,1.059B,,,,-50.67M,,,,,,
2003-12,95.61M,,14.20M,,-0.568M,,,23.27M,23.27M,,,,,,49.64M,,-45.89M,,,-45.92M,-26.04M,141.92M,,-21.90M,,-21.90M,,-567.33M,-520.22M,-1.109B,,98.18M,832.92M,931.09M,,,-8.528M,,,,,-27.00M,0.14M,918.28M,,1.169B,-49.26M,1.119B,,,150.00M,-51.82M,,,,,,
2003-09,62.08M,,-138.61M,,-166.60M,,,25.74M,25.74M,,,,,,190.58M,,27.12M,,,69.31M,30.66M,142.46M,,-18.18M,,-18.18M,,-42.81M,81.19M,20.20M,,367.55M,-783.12M,-415.56M,,,3.122M,,,,,-26.94M,-28.37M,-219.37M,,1.225B,-56.70M,1.169B,,,573.61M,-206.06M,,,,,,
2003-06,92.42M,,6.241M,,-7.174M,,,24.43M,24.43M,,,,,,-35.98M,,-41.89M,,,-71.42M,-113.30M,-39.60M,,-19.64M,,-19.64M,,66.42M,-308.23M,-261.45M,,12.24M,629.09M,641.32M,,,-26.07M,,,,,-18.92M,,438.46M,,1.088B,137.41M,1.225B,,,123.03M,-110.79M,,,,,,
2003-03,87.70M,,5.769M,,-5.052M,,,21.10M,21.10M,,,,,,74.79M,,14.77M,,,2.103M,16.88M,195.41M,,-23.56M,,-23.56M,,-623.93M,-144.17M,-791.66M,,42.18M,-54.17M,-11.99M,,,-22.68M,,,,,-19.03M,,596.86M,,1.087B,0.614M,1.088B,,,49.90M,-7.721M,,,,,,
2002-12,87.50M,,-228.64M,,-203.04M,,,12.80M,12.80M,,,,,,251.84M,,27.56M,,,-42.17M,-79.42M,69.67M,,-23.22M,,-23.22M,,406.69M,-614.11M,-220.95M,,-0.122M,-300.03M,-300.15M,,,-31.50M,,,,,-18.19M,,213.12M,,1.025B,61.85M,1.087B,,,49.39M,-49.51M,,,,,,
2002-09,39.45M,,26.12M,,13.27M,,,22.79M,22.79M,,,,,,-91.66M,,-5.817M,,,111.19M,170.19M,154.03M,,-40.99M,,-40.99M,,-618.98M,215.52M,-444.44M,,280.45M,-640.21M,-359.76M,,,-23.46M,,,,,-18.30M,,291.08M,,1.025B,0.669M,1.025B,,,283.50M,-3.046M,,,,,,
2002-06,82.08M,,-0.58M,,-14.01M,,,31.11M,31.11M,,,,,,28.91M,,-31.10M,,,-53.88M,-84.98M,43.11M,,-14.94M,,-14.94M,,-59.29M,-684.94M,-759.17M,,-18.16M,104.43M,86.27M,,,-21.78M,,,,,-18.35M,,834.23M,,906.61M,118.17M,1.025B,,,0.00,-18.16M,,,,,,
2002-03,47.26M,,-0.664M,,0.032M,,,20.39M,20.39M,,,,,,-38.04M,,36.92M,,,-57.31M,-20.40M,9.256M,,-18.67M,,-18.67M,,103.46M,-682.66M,-597.87M,,0.592M,312.49M,313.09M,,,-19.56M,,,,,-18.40M,,516.61M,,978.61M,-72.00M,906.61M,,,1.50M,-0.908M,,,,,,
2001-12,71.89M,,3.539M,,49.35M,,,17.01M,17.01M,,,,,,566.60M,,20.91M,,,-13.80M,-243.47M,461.39M,,-19.84M,,-19.84M,209.51M,-41.73M,-503.87M,-355.92M,,-203.54M,-294.34M,-497.87M,,,-45.10M,,,,,-18.45M,431.20M,-37.32M,,910.46M,68.14M,978.61M,,,-51.91M,-151.62M,,,,,,
2001-09,72.80M,,-50.22M,,-39.73M,,,43.56M,43.56M,,,,,,-130.78M,,,,,,349.13M,294.98M,,-23.76M,,-23.76M,,-502.67M,-294.84M,-821.27M,,-36.77M,275.00M,238.23M,,,2.762M,,,,,-18.46M,-28.99M,457.91M,,978.84M,-68.37M,910.46M,,,0.00,-36.77M,,,,,,
2001-06,73.60M,,61.80M,,18.54M,,,34.14M,34.14M,,,,,,-84.22M,,-16.22M,,,5.42M,-109.36M,-67.30M,,-26.51M,,-26.51M,-92.33M,835.68M,-271.44M,445.40M,,246.31M,-507.97M,-261.66M,,,8.799M,,,,,-18.53M,-66.04M,-460.38M,,1.061B,-82.29M,978.84M,,,300.00M,-53.69M,,,,,,
2001-03,64.74M,,-33.41M,,-46.46M,,,24.90M,24.90M,,,,,,100.33M,,16.22M,,,-5.42M,10.80M,154.30M,,-21.81M,,-21.81M,92.33M,665.70M,-390.45M,345.77M,,0.891M,-984.42M,-983.52M,,,2.876M,,,,,-18.46M,,-486.20M,,1.047B,13.87M,1.061B,,,1.914M,-1.023M,,,,,,
2000-12,65.97M,,78.16M,,87.38M,,,42.93M,42.93M,,,,,,73.39M,,-7.621M,,,1.261M,-6.36M,263.32M,,-34.18M,,-34.18M,,180.21M,-379.84M,-221.92M,,-16.00M,194.00M,178.00M,,,0.599M,,,,,-17.40M,,63.51M,,942.34M,104.91M,1.047B,,,250.00M,-266.00M,,,,,,
2000-09,64.64M,,-80.74M,,-183.42M,,,72.04M,72.04M,-15.53M,,,,,29.78M,,-9.69M,,,-17.72M,-27.41M,-59.90M,,-13.12M,,-13.12M,,188.00M,-81.90M,92.99M,,13.51M,-401.21M,-387.70M,,,-2.012M,,,,,-17.39M,3.836M,27.19M,,882.06M,60.28M,942.34M,,,150.00M,-136.49M,,,,,,
2000-06,59.58M,,57.83M,,151.29M,,,-19.92M,-19.92M,15.53M,,,,,-111.24M,,25.46M,,,7.669M,33.12M,128.37M,,-18.45M,,-18.45M,,14.42M,-647.78M,-651.81M,,-22.04M,585.19M,563.16M,,,4.356M,,,,,-17.14M,-3.836M,475.74M,,929.76M,-47.70M,882.06M,,,100.00M,-122.04M,,,,,,
2000-03,-28.49M,,-70.06M,,-70.06M,,,19.92M,19.92M,,,,,,88.41M,,21.93M,,,-14.31M,7.619M,17.40M,,-16.54M,,-16.54M,,-227.88M,-353.94M,-598.36M,,21.76M,92.78M,114.54M,,,-0.125M,,,,,-24.83M,,612.42M,,898.30M,31.46M,929.76M,,,100.00M,-78.24M,,,,,,
1999-12,42.58M,,206.86M,,205.52M,,,17.38M,17.38M,,,,,,-194.06M,,-39.62M,,,-42.32M,-81.95M,-10.52M,,-17.52M,,-17.52M,,382.09M,-480.99M,-116.41M,,-5.038M,319.07M,314.03M,,,4.208M,,,,,0.043M,,228.84M,,796.35M,101.91M,898.30M,,,0.00,-5.038M,,,,,,
1999-09,53.78M,,-115.58M,,-115.33M,,,27.05M,27.05M,,,,,,132.05M,,13.89M,,,35.12M,49.00M,146.54M,,-34.86M,,-34.86M,,-529.39M,-431.45M,-995.70M,,57.00M,757.52M,814.53M,,,-3.941M,,,,,-22.95M,0.966M,704.70M,,940.81M,-144.46M,796.35M,,,350.00M,-293.00M,,,,,,
1999-06,50.83M,,-196.31M,,-195.22M,,,20.34M,20.34M,,,,,,-40.88M,,8.58M,,,5.006M,13.59M,-151.34M,,-27.06M,,-27.06M,,-177.54M,-158.31M,-362.90M,,9.113M,728.94M,738.05M,,,1.431M,,,,,-22.93M,-0.966M,603.93M,,851.12M,89.69M,940.81M,,,15.00M,-5.887M,,,,,,
1999-03,46.90M,,-27.97M,,-27.97M,,,25.83M,25.83M,,,,,,-36.91M,,21.96M,,,-13.10M,8.859M,16.71M,,-14.37M,,-14.37M,,-26.66M,-338.36M,-379.39M,,-6.179M,387.67M,381.49M,,,1.402M,,,,,-11.06M,,291.14M,,922.65M,-71.54M,851.12M,,,,-6.179M,,,,,,
1998-12,28.70M,,-109.80M,,-109.80M,,,45.50M,45.50M,,,,,,-0.60M,,9.20M,,,163.40M,172.60M,136.40M,,-38.90M,,-38.90M,,527.40M,-378.70M,109.80M,,13.80M,-327.10M,-313.30M,,,2.30M,,,,,-11.00M,0.10M,67.00M,,0.00,313.20M,922.70M,,,89.70M,-75.90M,,,,,,
1998-09,42.70M,,316.00M,,319.00M,,,12.40M,12.40M,,,,,,-257.50M,,6.00M,,,-168.30M,-162.30M,-45.70M,,-14.00M,,-14.00M,,90.20M,-284.00M,-207.80M,,-21.00M,15.50M,-5.50M,,,-11.20M,,,,,-10.90M,0.10M,175.00M,,0.00,-78.60M,0.00,,,-9.00M,-12.00M,,,,,,
1998-06,33.00M,,-124.90M,,-127.90M,,,12.80M,12.80M,,,,,,251.30M,,-9.10M,,,1.30M,-7.80M,161.40M,,-11.10M,,-11.10M,,68.50M,-552.30M,-494.90M,,115.00M,165.20M,280.20M,,,132.70M,,,,,-10.70M,-0.10M,399.20M,,0.00,65.80M,0.00,,,119.00M,-4.00M,,,,,,
1998-03,39.00M,,-193.30M,,-193.30M,,,9.70M,9.70M,,,,,,-142.10M,,16.80M,,,6.20M,23.00M,-263.70M,,-11.50M,,-11.50M,,194.20M,-128.90M,53.80M,,-96.60M,55.10M,-41.50M,,,-12.10M,,,,,-9.00M,,131.20M,,710.20M,-78.70M,0.00,,,,-96.60M,,,,,,
1997-12,28.90M,,-49.90M,,-49.90M,,,9.70M,9.70M,,,,,,155.30M,,-1.90M,,,0.80M,-1.10M,142.90M,,-13.20M,,-13.20M,,-348.70M,837.60M,475.70M,,4.90M,-901.80M,-896.90M,,,-24.80M,,,,,-6.50M,-0.10M,-532.90M,,0.00,85.70M,701.00M,,,26.00M,-21.10M,,,,,,
1997-09,47.80M,,-0.60M,,-0.10M,,,12.10M,12.10M,,,,,,195.60M,,-0.30M,,,12.30M,12.00M,267.40M,,-14.70M,,-14.70M,,-92.00M,-1.214B,-1.321B,,95.50M,469.00M,564.50M,,,-38.40M,,,,,-8.90M,0.10M,1.180B,,0.00,126.90M,0.00,,,114.00M,-18.50M,,,,,,
1997-06,24.10M,,123.90M,,123.40M,,,5.80M,5.80M,,,,,,-394.40M,,-12.70M,,,-6.20M,-18.90M,-260.00M,,-6.10M,,-6.10M,,-42.10M,127.50M,79.30M,,36.30M,165.60M,201.90M,,,-29.10M,,,,,-6.80M,-0.10M,224.60M,,0.00,43.90M,0.00,,,32.50M,3.80M,,,,,,
1997-03,30.60M,,-123.90M,,-123.90M,,,6.70M,6.70M,,,,,,-25.70M,,15.60M,,,-23.50M,-7.90M,-120.20M,,-8.00M,,-8.00M,,-420.20M,-269.70M,-697.90M,,-5.30M,654.50M,649.20M,,,-25.30M,,,,,-6.80M,0.10M,786.70M,,486.70M,-31.40M,0.00,,,7.50M,-12.80M,,,,,,
1996-12,45.90M,,,,,,,14.90M,14.90M,,,,,,96.10M,,-2.60M,,,3.60M,1.00M,158.30M,,-18.40M,,-18.40M,,295.70M,-312.70M,-35.40M,,195.90M,-470.60M,-274.70M,,,-5.70M,,,,,-7.70M,-0.20M,-54.50M,,0.00,68.50M,0.00,,,206.50M,-10.60M,,,,,,
1996-09,25.80M,,,,,,,1.00M,1.00M,,,,,,43.00M,,4.20M,,,7.80M,12.00M,81.80M,,-5.30M,,-5.30M,,-579.70M,-116.10M,-701.10M,,-3.10M,438.70M,435.60M,,,-1.00M,,,,,-6.50M,0.30M,660.60M,,0.00,41.30M,0.00,,,1.70M,-4.80M,,,,,,
1996-06,25.00M,,,,,,,5.70M,5.70M,,,,,,-99.10M,,-9.00M,,,-9.60M,-18.60M,-87.00M,,-4.90M,,-4.90M,,380.40M,-76.70M,298.80M,,-4.60M,-303.00M,-307.60M,,,-9.20M,,,,,-6.00M,-0.20M,-267.70M,,0.00,-55.90M,0.00,,,,-4.60M,,,,,,
1996-03,23.70M,,,,,,,5.30M,5.30M,,,,,,-47.70M,,12.10M,,,-11.70M,0.40M,-18.30M,,-4.20M,,-4.20M,,-348.20M,-205.60M,-558.00M,,-4.10M,495.10M,491.00M,,,-6.20M,,,,,-6.00M,,552.70M,,418.10M,-23.60M,0.00,,,,-4.10M,,,,,,
1995-12,23.60M,,,,,,,5.20M,5.20M,,,,,,94.80M,,-8.50M,,,3.60M,-4.90M,118.70M,,-4.10M,,-4.10M,,-241.10M,270.10M,24.90M,,-5.60M,-55.80M,-61.40M,,,0.00,,,,,-6.00M,0.10M,-72.90M,,0.00,70.70M,0.00,,,,-5.60M,,,,,,
1995-09,22.30M,,,,,,,4.60M,4.60M,,,,,,-101.10M,,1.40M,,,0.80M,2.20M,-72.00M,,-4.40M,,-4.40M,,15.80M,103.70M,115.10M,,-4.40M,-220.40M,-224.80M,,,-1.00M,,,,,-5.10M,0.00,-26.10M,,0.00,17.10M,0.00,,,,-4.40M,,,,,,
1995-06,20.50M,,,,,,,5.50M,5.50M,,,,,,2.10M,,-5.30M,,,3.50M,-1.80M,26.30M,,-5.80M,,-5.80M,,209.10M,-677.00M,-473.70M,,-4.80M,447.20M,442.40M,,,-16.20M,,,,,-5.10M,0.00,493.70M,,0.00,46.20M,0.00,,,-0.50M,-4.30M,,,,,,
1995-03,16.00M,,,,,,,3.30M,3.30M,,,,,,118.70M,,5.20M,,,-5.50M,-0.30M,137.70M,,-3.70M,,-3.70M,,-247.60M,-77.20M,-328.50M,,-4.00M,81.10M,77.10M,,,,,,,,-4.40M,-0.10M,153.10M,,316.90M,-37.70M,0.00,,,0.50M,-4.50M,,,,,,
1994-12,17.30M,,,,,,,4.10M,4.10M,,,,,,-42.60M,,3.00M,,,-10.90M,-7.90M,-29.10M,,-3.20M,,-3.20M,,-195.80M,551.00M,352.00M,,-2.80M,-385.60M,-388.40M,,,0.00,,,,,-4.40M,,-315.10M,,0.00,7.80M,0.00,,,2.30M,-5.10M,,,,,,
1994-09,17.60M,,,,,,,4.90M,4.90M,,,,,,100.00M,,-1.40M,,,-13.20M,-1.10M,121.40M,,-3.40M,,-3.40M,,361.40M,-193.40M,164.60M,,-1.90M,-265.60M,-267.50M,,,0.10M,,,,,-4.30M,-0.20M,-242.80M,,0.00,43.30M,0.00,,,2.30M,-4.20M,,,,,,
1994-06,16.50M,,,,,,,4.10M,4.10M,,,,,,133.80M,,-4.90M,,,11.30M,-7.10M,147.30M,,-2.60M,,-2.60M,,-6.30M,-237.10M,-246.00M,,-49.90M,137.90M,88.00M,,,0.10M,,,,,-4.10M,0.10M,94.00M,,0.00,-4.90M,0.00,,,4.30M,-54.20M,,,,,,
1994-03,12.40M,,,,,,,4.60M,4.60M,,,,,,-302.80M,,4.90M,,,-11.30M,-6.40M,-292.20M,,-3.20M,,-3.20M,,-116.40M,-76.10M,-195.70M,,2.70M,360.00M,362.70M,,,0.10M,,,,,-4.50M,0.10M,419.60M,,339.00M,-68.20M,0.00,,,6.80M,-4.10M,,,,,,
1993-12,15.70M,,,,,,,4.70M,4.70M,,,,,,-85.90M,,-1.30M,,,-1.70M,-3.00M,-68.50M,,-3.40M,,-3.40M,,208.90M,-364.50M,-159.00M,,-1.20M,262.80M,261.60M,,,0.00,,,,,-3.60M,-0.10M,327.00M,,0.00,99.20M,0.00,,,99.90M,-101.10M,,,,,,
1993-09,13.40M,,,,,,,4.40M,4.40M,,,,,,129.70M,,2.00M,,,-21.10M,-19.10M,128.40M,,-3.00M,,-3.00M,,701.70M,-294.70M,404.00M,,-4.10M,-617.60M,-621.70M,,,0.40M,,,,,-3.40M,0.10M,-624.30M,,0.00,-91.70M,0.00,,,0.00,-4.10M,,,,,,
1993-06,14.80M,,,,,,,4.20M,4.20M,,,,,,-50.50M,,-3.00M,,,-1.90M,-4.90M,-36.40M,,-4.30M,,-4.30M,,96.70M,28.10M,120.50M,,60.70M,-187.40M,-126.70M,,,0.20M,,,,,-2.60M,-0.10M,25.10M,,0.00,109.00M,0.00,,,103.00M,-42.30M,,,,,,
1993-03,7.50M,,,,,,,3.70M,3.70M,,,,,,80.80M,,4.20M,,,2.80M,7.00M,99.00M,,-3.00M,,-3.00M,,-250.90M,-23.90M,-277.80M,,1.40M,122.20M,123.60M,,,0.30M,,,,,-2.60M,,95.90M,,270.00M,-82.80M,0.00,,,1.70M,-0.30M,,,,,,
1992-12,14.40M,,-10.80M,,-10.80M,,,11.60M,11.60M,,,,,,-59.90M,,-0.90M,,,0.00,-0.90M,-45.60M,,-3.50M,,-3.50M,,-215.40M,142.00M,-76.90M,,23.50M,98.10M,121.60M,,,0.30M,,,,,-2.60M,-0.10M,190.20M,,0.00,67.60M,0.00,,,50.00M,-26.50M,,,,,,
1992-09,12.00M,,10.80M,,10.80M,,,1.40M,1.40M,,,,,,53.10M,,2.70M,,,-15.40M,-12.70M,64.60M,,-1.40M,,-1.40M,,240.10M,-230.10M,8.60M,,1.50M,-90.60M,-89.10M,,,0.10M,,,,,-2.20M,0.10M,-74.50M,,0.00,-1.20M,0.00,,,1.70M,-0.20M,,,,,,
1992-06,9.40M,,-1.80M,,-1.80M,,,1.40M,1.40M,,,,,,-18.20M,,-2.20M,,,-1.70M,-3.90M,-13.10M,,-2.60M,,-2.60M,,-230.30M,106.60M,-126.30M,,-0.40M,138.90M,138.50M,,,0.50M,,,,,-2.20M,0.10M,142.30M,,0.00,3.00M,0.00,,,,-0.40M,,,,,,
1992-03,7.60M,,1.50M,,1.50M,,,1.40M,1.40M,,,,,,-48.00M,,6.80M,,,2.80M,9.60M,-27.90M,,-2.20M,,-2.20M,,156.70M,-4.80M,149.70M,,-5.50M,-163.20M,-168.70M,,,0.80M,,,,,-2.20M,-0.10M,-156.90M,,235.70M,-35.20M,0.00,,,,-5.50M,,,,,,
1991-12,8.00M,,-0.30M,,-0.30M,,,1.30M,1.30M,,,,,,-8.40M,,1.30M,,,6.40M,7.70M,8.30M,,-0.90M,,-0.90M,,46.50M,-265.70M,-220.10M,,-2.60M,161.20M,158.60M,,,0.80M,,,,,-2.20M,-0.10M,222.00M,,0.00,10.30M,0.00,,,,-2.60M,,,,,,
1991-09,7.10M,,0.00,,0.00,,,1.40M,1.40M,,,,,,12.30M,,-0.30M,,,1.40M,1.10M,21.90M,,-1.80M,,-1.80M,,-83.00M,-57.60M,-142.40M,,-0.40M,46.50M,46.10M,,,1.00M,,,,,-2.20M,0.10M,128.00M,,0.00,7.40M,0.00,,,,-0.40M,,,,,,
1991-06,7.20M,,0.00,,0.00,,,1.30M,1.30M,,,,,,10.90M,,-4.80M,,,7.50M,2.70M,22.10M,,-1.10M,,-1.10M,,-3.20M,12.80M,8.50M,,-4.70M,-49.30M,-54.00M,,,0.80M,,,,,-2.10M,-0.30M,-6.70M,,0.00,23.90M,0.00,,,,-4.70M,,,,,,
1991-03,6.80M,,-0.10M,,-0.10M,,,1.30M,1.30M,,,,,,-12.90M,,3.00M,,,-4.10M,-1.10M,-6.00M,,-1.50M,,-1.50M,,3.30M,198.70M,200.50M,,-2.60M,-207.90M,-210.50M,,,0.10M,,,,,-2.20M,-0.50M,-288.70M,,288.30M,-94.20M,0.00,,,,-2.60M,,,,,,
1990-12,7.70M,,0.80M,,0.80M,,,1.40M,1.40M,,,,,,12.20M,,2.20M,,,2.20M,4.40M,26.50M,,-1.90M,,-1.90M,,-103.00M,-296.10M,-401.00M,,-2.30M,381.40M,379.10M,,,0.10M,,,,,-2.10M,-0.60M,438.70M,,0.00,64.10M,0.00,,,,-2.30M,,,,,,
1990-09,6.80M,,0.10M,,0.10M,,,1.30M,1.30M,,,,,,0.90M,,-2.20M,,,-1.60M,-3.80M,5.30M,,-2.50M,,-2.50M,,-9.60M,-62.00M,-74.10M,,-0.30M,33.60M,33.30M,,,0.30M,,,,,-2.20M,-0.40M,74.40M,,0.00,5.50M,0.00,,,,-0.30M,,,,,,
1990-06,6.10M,,,,,,,1.40M,1.40M,,,,,,23.70M,,-3.50M,,,3.60M,0.10M,31.30M,,-1.00M,,-1.00M,,-19.80M,-125.60M,-146.40M,,-0.10M,-15.80M,-15.90M,,,0.50M,,,,,-2.20M,-0.80M,144.70M,,0.00,29.70M,0.00,,,,-0.10M,,,,,,
1990-03,6.00M,,,,,,,1.30M,1.30M,,,,,,4.20M,,-2.20M,,,7.00M,4.80M,16.30M,,-1.00M,,-1.00M,,13.60M,-128.20M,-115.60M,,-0.20M,-24.80M,-25.00M,,,0.30M,,,,,-2.10M,-0.70M,-34.50M,,322.80M,-133.80M,0.00,,,,-0.20M,,,,,,
