,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-12,265.99M,265.99M,4.687M,86.98M,91.67M,,,91.67M,,191.52M,69.14M,26.55M,42.58M,,,-2.238M,,42.58M,42.58M,17.38M,240.97M,,0.49,0.00,,,0.49,0.49,,0.49,0.00,,,0.49,0.49,,90.26M,90.26M,0.00,,,
1999-09,251.41M,251.41M,4.571M,86.99M,91.56M,,,91.56M,-0.246M,187.82M,83.05M,29.27M,53.78M,,,-0.802M,,53.78M,53.78M,27.05M,239.52M,,0.69,0.00,,,0.69,0.69,,0.69,0.00,,,0.69,0.69,,77.94M,77.94M,0.29,,,
1999-06,248.31M,248.31M,6.09M,86.45M,92.54M,,,92.54M,0.215M,185.30M,77.78M,26.94M,50.83M,,,-0.504M,,50.83M,50.83M,20.34M,226.00M,,0.60,0.00,,,0.60,0.60,,0.59,0.00,,,0.59,0.59,,84.40M,85.60M,0.29,,,
1999-03,242.34M,242.34M,3.152M,86.28M,89.43M,,,89.43M,-1.304M,176.86M,73.63M,26.73M,46.90M,,,-1.356M,,46.90M,46.90M,25.83M,214.95M,,0.56,0.00,,,0.56,0.56,,0.55,0.00,,,0.55,0.55,,85.49M,85.49M,0.14,,,
1998-12,272.90M,272.90M,4.70M,93.90M,98.60M,,,98.60M,,204.90M,42.10M,13.40M,28.70M,,,,,28.70M,51.81M,45.50M,202.20M,,0.24,0.00,,,0.4649,0.24,,0.24,0.00,,,0.4649,0.24,,102.77M,102.77M,0.14,,,
1998-09,180.30M,180.30M,2.80M,60.30M,63.10M,,,63.10M,0.60M,130.70M,65.00M,22.30M,42.70M,,,,,42.70M,33.11M,12.40M,168.80M,,0.55,0.00,,,0.4265,0.55,,0.54,0.00,,,0.4187,0.54,,77.64M,79.07M,0.14,,,
1998-06,169.50M,169.50M,2.50M,54.30M,56.80M,,,56.80M,2.20M,121.70M,48.80M,15.80M,33.00M,,,,,33.00M,33.00M,12.80M,146.00M,,0.44,0.00,,,0.44,0.44,,0.44,0.00,,,0.44,0.44,,75.00M,75.00M,0.14,,,
1998-03,161.70M,161.70M,2.60M,53.00M,55.60M,,,55.60M,0.80M,116.60M,57.10M,18.10M,39.00M,,,,,39.00M,39.00M,9.70M,155.00M,,0.54,0.00,,,0.54,0.54,,0.52,0.00,,,0.52,0.52,,72.22M,75.00M,0.12,,,
1997-12,108.80M,108.80M,1.40M,31.80M,33.20M,,,33.20M,,70.90M,40.70M,11.80M,28.90M,,,,,28.90M,49.35M,9.70M,119.40M,,0.44,0.00,,,0.7032,0.44,,0.44,0.00,,,0.7032,0.44,,77.71M,77.71M,0.24,,,
1997-09,147.50M,147.50M,1.70M,48.50M,50.20M,,,50.20M,2.20M,107.50M,54.90M,19.20M,35.70M,,,,,35.70M,29.39M,12.10M,150.70M,,0.50,0.00,,,0.4117,0.50,,0.49,0.00,,,0.4034,0.49,,71.40M,72.86M,0.12,,,
1997-06,108.20M,108.20M,1.90M,34.50M,36.40M,,,36.40M,0.40M,76.00M,43.30M,15.30M,28.00M,,,,,28.00M,28.00M,5.80M,122.90M,,0.47,0.00,,,0.47,0.47,,0.47,0.00,,,0.47,0.47,,59.57M,59.57M,0.11,,,
1997-03,117.00M,117.00M,1.90M,37.90M,39.80M,,,39.80M,,82.90M,47.00M,16.40M,30.60M,,,,,30.60M,30.60M,6.70M,124.20M,,0.45,0.00,,,0.45,0.45,,0.45,0.00,,,0.45,0.45,,68.00M,68.00M,0.11,,,
1996-12,188.90M,188.90M,2.00M,64.50M,66.50M,,,66.50M,,148.50M,67.10M,21.20M,45.90M,,,,,45.90M,45.90M,14.90M,161.60M,,0.44,0.00,,,0.44,0.44,,0.44,,,,0.44,0.44,,77.77M,77.77M,0.11,,,
1996-09,94.80M,94.80M,1.10M,30.50M,31.60M,,,31.60M,,65.80M,39.60M,13.80M,25.80M,,,,,25.80M,25.80M,1.00M,95.90M,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,60.00M,60.00M,0.00,,,
1996-06,90.00M,90.00M,1.50M,28.40M,29.90M,,,29.90M,0.10M,63.50M,37.90M,12.80M,25.10M,,,,,25.10M,25.10M,5.70M,90.50M,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,58.37M,58.37M,0.1025,,,
1996-03,86.00M,86.00M,1.50M,27.00M,28.50M,,,28.50M,,59.90M,35.70M,12.00M,23.70M,,,,,23.70M,23.70M,5.30M,89.30M,,0.40,0.00,,,0.40,0.40,,0.40,0.00,,,0.40,0.40,,59.25M,59.25M,0.1025,,,
1995-12,93.20M,93.20M,,30.60M,35.90M,,,35.90M,,66.50M,35.10M,11.50M,23.60M,,,,,23.60M,23.60M,5.20M,91.30M,,0.39,0.00,,,0.39,0.39,,0.37,0.00,,,0.37,0.37,,60.72M,64.18M,0.1025,,,
1995-09,81.80M,81.80M,,26.60M,26.60M,,,26.60M,0.50M,57.90M,34.10M,11.80M,22.30M,,,,,22.30M,22.30M,4.60M,89.80M,,0.38,0.00,,,0.38,0.38,,0.38,0.00,,,0.38,0.38,,58.68M,58.68M,0.0875,,,
1995-06,78.00M,78.00M,,24.90M,24.90M,,,24.90M,0.10M,55.90M,31.20M,10.70M,20.50M,,,,,20.50M,20.50M,5.50M,80.70M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,58.57M,58.57M,0.0875,,,
1995-03,69.20M,69.20M,,23.50M,23.50M,,,23.50M,-0.10M,53.20M,23.80M,7.80M,16.00M,,,,,16.00M,16.00M,3.30M,68.40M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,59.26M,59.26M,0.075,,,
1994-12,71.40M,71.40M,,24.60M,24.60M,,,24.60M,0.00,53.20M,24.80M,7.50M,17.30M,,,,,17.30M,17.30M,4.10M,66.70M,,0.2925,0.00,,,0.2925,0.2925,,0.2925,0.00,,,0.2925,0.2925,,59.24M,59.24M,0.075,,,
1994-09,72.00M,72.00M,,22.90M,22.90M,,,22.90M,0.10M,51.90M,26.80M,9.10M,17.70M,,,,,17.70M,17.70M,4.90M,69.90M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,59.00M,59.00M,0.075,,,
1994-06,67.20M,67.20M,,22.80M,22.80M,,,22.80M,-0.20M,48.70M,24.70M,8.30M,16.40M,,,,,16.40M,16.40M,4.10M,62.80M,,0.28,0.00,,,0.28,0.28,,0.28,0.00,,,0.28,0.28,,58.57M,58.57M,0.07,,,
1994-03,61.20M,61.20M,,23.00M,23.00M,,,23.00M,-0.20M,44.80M,18.40M,6.00M,12.40M,,,,,12.40M,12.40M,4.60M,50.80M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,56.36M,56.36M,0.07,,,
1993-12,65.80M,65.80M,,22.00M,22.00M,,,22.00M,,43.60M,23.40M,7.70M,15.70M,,0.00,,,15.70M,15.70M,4.70M,56.20M,,0.31,0.00,0.00,,0.31,0.31,,0.30,0.00,-0.0005,,0.30,0.30,,50.80M,52.70M,0.07,,,
1993-09,59.90M,59.90M,,21.00M,21.00M,,,21.00M,0.10M,37.90M,19.70M,6.30M,13.40M,,,,,13.40M,13.40M,4.40M,49.50M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,49.63M,49.63M,0.07,,,
1993-06,57.90M,57.90M,,18.90M,18.90M,,,18.90M,,39.20M,21.90M,7.10M,14.80M,,,,,14.80M,14.80M,4.20M,45.90M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,49.33M,49.33M,0.0525,,,
1993-03,51.30M,51.30M,,17.30M,17.30M,,,17.30M,,36.10M,11.10M,3.60M,7.50M,,1.60M,,,9.10M,7.50M,3.70M,35.50M,,0.15,0.03,0.00,,0.15,0.18,,0.15,0.03,0.0316,,0.15,0.18,,50.56M,50.56M,0.0525,,,
1992-12,57.40M,57.40M,,18.00M,18.00M,,,18.00M,0.10M,39.20M,21.40M,7.00M,14.40M,,,,,14.40M,14.40M,11.60M,47.60M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,49.82M,49.82M,0.0525,,,
1992-09,52.30M,52.30M,,16.40M,16.40M,,,16.40M,-0.10M,37.20M,18.20M,6.20M,12.00M,,,,,12.00M,12.00M,1.40M,45.00M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,50.00M,50.00M,0.045,,,
1992-06,48.50M,48.50M,,16.10M,16.10M,,,16.10M,0.30M,35.00M,14.70M,5.30M,9.40M,,,,,9.40M,9.40M,1.40M,44.90M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,49.47M,49.47M,0.045,,,
1992-03,49.90M,49.90M,,15.50M,15.50M,,,15.50M,,32.10M,10.30M,2.70M,7.60M,,,,,7.60M,7.60M,1.40M,41.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,47.50M,47.50M,0.045,,,
1991-12,50.30M,50.30M,,15.20M,15.20M,,,15.20M,0.30M,33.80M,9.70M,1.70M,8.00M,,,,,8.00M,8.00M,1.30M,46.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,50.14M,50.14M,0.045,,,
1991-09,47.90M,47.90M,,14.50M,14.50M,,,14.50M,,33.40M,10.90M,3.80M,7.10M,,,,,7.10M,7.10M,1.40M,49.00M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,47.33M,47.33M,0.045,,,
1991-06,46.40M,46.40M,,14.50M,14.50M,,,14.50M,,31.70M,11.10M,3.90M,7.20M,,,,,7.20M,7.20M,1.30M,48.70M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,48.00M,48.00M,0.045,,,
1991-03,45.80M,45.80M,,14.30M,14.30M,,,14.30M,0.10M,32.60M,10.40M,3.60M,6.80M,,,,,6.80M,6.80M,1.30M,52.30M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,48.57M,48.57M,0.045,,,
1990-12,47.80M,47.80M,,15.20M,15.20M,,,15.20M,-0.80M,25.70M,12.10M,4.40M,7.70M,,,,,7.70M,7.70M,1.40M,55.10M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,48.25M,48.25M,0.045,,,
1990-09,44.90M,44.90M,,13.90M,13.90M,,,13.90M,-0.10M,34.00M,9.90M,3.10M,6.80M,,,,,6.80M,6.80M,1.30M,51.90M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,48.57M,48.57M,0.045,,,
1990-06,44.60M,44.60M,,14.00M,14.00M,,,14.00M,,32.20M,8.20M,2.10M,6.10M,,,,,6.10M,6.10M,1.40M,50.00M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,46.92M,46.92M,0.045,,,
1990-03,41.00M,41.00M,,13.20M,13.20M,,,13.20M,,29.30M,8.00M,2.00M,6.00M,,,,,6.00M,6.00M,1.30M,47.40M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,46.15M,46.15M,0.045,,,
1989-12,41.50M,41.50M,,13.70M,13.70M,,,13.70M,,30.70M,6.90M,2.40M,4.50M,,,,,6.30M,4.50M,1.40M,48.10M,,0.10,0.04,,0.0395,0.10,0.14,,0.10,0.04,,0.0395,0.10,0.14,,43.82M,43.82M,0.045,,,
1989-09,40.60M,40.60M,,12.20M,12.20M,,,12.20M,-0.10M,30.70M,5.70M,1.50M,4.20M,,,,,5.40M,4.20M,1.30M,46.10M,,0.09,0.03,,0.0267,0.09,0.12,,0.09,0.03,,0.0267,0.09,0.12,,45.00M,45.00M,0.045,,,
1989-06,40.20M,40.20M,,12.00M,12.00M,,,12.00M,0.30M,30.10M,4.30M,1.00M,3.30M,,,,,4.10M,3.30M,,45.40M,,0.07,0.02,,0.0176,0.07,0.09,,0.07,0.02,,0.0176,0.07,0.09,,45.56M,45.56M,0.045,,,
1989-03,,,,,,,,,,,,,1.90M,,,,,1.90M,,,,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,47.05M,47.05M,0.045,,,
1988-12,,,,,,,,,,,,,-12.30M,,,,,-12.30M,,,-12.30M,,,,,,,,,,,,,,,,47.04M,47.04M,0.045,,,
1988-09,,,,,,,,,,,,,-8.40M,,,,,-8.40M,,,-8.40M,,-0.18,0.00,,,-0.18,-0.18,,-0.18,0.00,,,-0.18,-0.18,,47.06M,47.06M,0.045,,,
1988-06,,,,,,,,,,,,,-0.40M,,,,,-0.40M,,,-0.40M,,-0.01,0.00,,,-0.01,-0.01,,-0.01,0.00,,,-0.01,-0.01,,47.06M,47.06M,,,,
1988-03,,,,,,,,,,,,,3.20M,,,,,3.20M,,,,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,47.04M,47.04M,0.045,,,
1987-12,,,,,,,,,,,,,-6.70M,,,,,-6.70M,,,-6.70M,,,,,,,,,,,,,,,,47.04M,47.04M,0.045,,,
1987-09,,,,,,,,,,,,,4.20M,,,,,4.20M,,,,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,45.74M,45.74M,0.045,,,
1987-06,,,,,,,,,,,,,-16.40M,,,,,-16.40M,,,-16.40M,,-0.36,0.00,,,-0.36,-0.36,,-0.36,0.00,,,-0.36,-0.36,,45.74M,45.74M,,,,
1987-03,,,,,,,,,,,,,4.50M,,,,,4.50M,,,,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,45.62M,45.62M,0.045,,,
1986-12,,,,,,,,,,,,,3.60M,,,,,3.60M,,,,,,,,,,,,,,,,,,,45.62M,45.62M,0.045,,,
1986-09,,,,,,,,,,,,,5.20M,,,,,5.20M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,45.62M,45.62M,0.045,,,
1986-06,,,,,,,,,,,,,5.30M,,,,,5.30M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,45.68M,45.68M,,,,
1986-03,,,,,,,,,,,,,6.60M,,,,,6.60M,,,,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,45.68M,45.68M,0.0425,,,
1985-12,,,,,,,,,,,,,7.40M,,,,,7.40M,,,,,,,,,,,,,,,,,,,45.45M,45.45M,0.0425,,,
1985-09,,,,,,,,,,,,,7.00M,,,,,7.00M,,,,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,45.42M,45.42M,0.0425,,,
1985-06,,,,,,,,,,,,,7.30M,,,,,7.30M,,,,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,45.42M,45.42M,,,,
1985-03,,,,,,,,,,,,,6.40M,,,,,6.40M,,,,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,45.35M,45.35M,0.0388,,,
1984-12,,,,,,,,,,,,,7.10M,,,,,7.10M,,,,,,,,,,,,,,,,,,,45.30M,45.30M,0.0388,,,
1984-09,,,,,,,,,,,,,5.80M,,,,,5.80M,,,,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,45.26M,45.26M,,,,
1984-06,,,,,,,,,,,,,5.70M,,,,,5.70M,,,,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,45.26M,45.26M,,,,
1984-03,,,,,,,,,,,,,6.10M,,,,,6.10M,,,,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,45.26M,45.26M,,,,
