,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,159.67M,159.67M,72.99M,86.67M,21.86M,21.74M,,0.711M,,,,0.00,43.60M,43.07M,,,,0.711M,,44.35M,11.31M,33.04M,,0.00,,33.04M,32.51M,71.26M,28.18M,43.07M,0.16,0.01,0.0,0.1574,0.17,0.15,0.01,0.0001,0.1475,0.16,203.48M,211.13M,0.02
2002-12,167.47M,167.47M,74.58M,92.89M,22.43M,22.32M,,-0.027M,,,,,44.75M,48.14M,,,,-0.027M,,48.68M,12.30M,36.38M,,,,36.38M,36.40M,75.97M,27.82M,48.14M,0.17,0.0,,0.1701,0.17,0.17,0.0,,0.1701,0.17,203.11M,210.93M,0.02
2002-09,169.75M,169.75M,78.24M,91.51M,23.13M,22.34M,,-41.30M,,,,41.50M,86.96M,4.545M,,,,-41.30M,,5.698M,-4.565M,10.26M,,,,10.26M,35.04M,32.39M,27.84M,4.545M,0.05,0.0,,0.1726,0.05,0.05,0.0,,0.1682,0.05,202.05M,209.64M,
2002-06,157.54M,157.54M,75.18M,82.37M,21.94M,21.56M,,-9.316M,,,,,43.50M,38.87M,,,,-9.316M,,30.82M,10.06M,20.76M,,11.44M,,32.20M,27.03M,66.09M,27.23M,38.87M,0.1,-0.05,0.0,0.1312,0.05,0.1,-0.06,0.0541,0.1297,0.04,201.29M,211.53M,
2002-03,148.84M,148.84M,73.52M,75.32M,21.14M,20.54M,,-0.073M,,,,,41.68M,33.64M,,,,-0.073M,,34.63M,8.31M,26.32M,,,,26.32M,26.37M,60.10M,26.45M,33.64M,0.1333,0.0,,0.1336,0.1333,0.1233,0.0,,0.1236,0.1233,200.09M,211.26M,
2001-12,141.86M,141.86M,70.72M,71.14M,19.87M,21.41M,,0.086M,,,,,41.28M,29.86M,,,,0.086M,,31.02M,7.446M,23.58M,,,,23.58M,23.51M,57.83M,27.97M,29.86M,0.12,0.0,,0.1197,0.12,0.1133,0.0,,0.113,0.1133,200.27M,209.81M,
2001-09,141.66M,141.66M,70.79M,70.87M,20.16M,20.17M,,0.02M,,,,,40.33M,30.54M,,,,0.02M,,31.72M,8.567M,23.15M,,,,23.15M,23.13M,57.61M,27.07M,30.54M,0.1133,0.0,,0.1133,0.1133,0.1133,0.0,,0.1133,0.1133,199.21M,208.59M,
2001-06,138.89M,138.89M,69.49M,69.41M,21.44M,19.53M,,0.343M,,,,,40.98M,28.43M,,,,0.343M,,29.83M,8.054M,21.77M,,,,21.77M,21.52M,55.97M,27.54M,28.43M,0.1133,0.0,,0.1121,0.1133,0.1067,0.0,,0.1055,0.1067,197.10M,206.38M,
2001-03,153.37M,153.37M,76.80M,76.56M,23.14M,20.50M,,-18.92M,,,,,61.00M,15.56M,,,,-18.29M,,16.74M,4.52M,12.22M,,,,12.22M,26.03M,42.66M,27.10M,15.56M,0.0597,0.0,,0.1292,0.0597,0.0597,0.0,,0.1261,0.0597,198.58M,207.87M,
2000-12,190.13M,190.13M,88.51M,101.62M,26.22M,21.14M,,1.117M,,,,,47.36M,54.26M,,,,0.904M,,58.30M,16.06M,42.25M,,,,42.25M,41.44M,81.28M,27.02M,54.26M,0.2201,0.0,,0.2159,0.2201,0.2068,0.0,,0.2028,0.2068,193.95M,204.72M,
2000-09,194.48M,194.48M,87.80M,106.68M,27.25M,19.51M,,0.004M,,,,,46.76M,59.92M,,,,0.004M,,63.44M,17.20M,46.24M,,,,46.24M,46.23M,86.83M,26.90M,59.92M,0.2401,0.0,,0.2401,0.2401,0.2268,0.0,,0.2268,0.2268,192.70M,206.04M,
2000-06,177.75M,177.75M,81.90M,95.85M,26.02M,17.43M,,1.345M,,,,,43.45M,52.40M,,,,1.345M,,57.72M,15.58M,42.13M,,,,42.13M,41.15M,75.69M,23.30M,52.40M,0.2201,0.0,,0.215,0.2201,0.1401,0.0,,0.1353,0.1401,191.87M,205.61M,
2000-03,198.13M,198.13M,27.96M,170.17M,31.27M,19.28M,,5.808M,,,,,122.65M,47.52M,,,,5.808M,,56.70M,13.01M,43.70M,,,,43.70M,39.22M,70.92M,23.40M,47.52M,0.2089,0.0,,0.1884,0.2089,0.1956,0.0,,0.1765,0.1956,218.49M,234.78M,
1999-12,129.19M,129.19M,61.75M,67.43M,19.53M,12.13M,,0.04M,,,,,31.66M,35.77M,,,,0.04M,,36.22M,9.778M,26.44M,,,,26.44M,26.41M,52.24M,16.47M,35.77M,0.1556,0.0,,0.1554,0.1556,0.1422,0.0,,0.1421,0.1422,171.96M,183.41M,
1999-09,118.02M,118.02M,41.60M,76.42M,19.10M,10.70M,,0.40M,,,,,45.40M,31.02M,,,,0.40M,,31.60M,8.50M,23.10M,,,,23.10M,22.81M,46.62M,15.60M,31.02M,0.1334,0.0,,0.1317,0.1334,0.1267,0.0,,0.1251,0.1267,173.16M,182.28M,
1999-06,107.71M,107.71M,37.30M,70.41M,16.90M,10.30M,,0.10M,,,,,42.90M,27.51M,,,,0.10M,,27.70M,7.50M,20.20M,,,,20.20M,20.13M,43.21M,15.70M,27.51M,0.1201,0.0,,0.1196,0.1201,0.1134,0.0,,0.113,0.1134,168.25M,178.15M,
1999-03,157.32M,157.32M,67.17M,90.15M,25.00M,15.28M,,-29.43M,,,,,61.18M,28.98M,,,,-29.43M,,0.022M,1.681M,-1.659M,,,,-1.659M,16.00M,50.17M,21.20M,28.98M,-0.0268,0.0,,0.0517,-0.0268,-0.0268,0.0,,0.0495,-0.0268,224.83M,231.31M,
1998-12,100.20M,100.20M,32.80M,67.40M,15.40M,10.10M,,,,,,,42.20M,25.20M,,,,,,24.50M,6.60M,17.90M,,,,17.90M,17.90M,41.91M,16.71M,25.20M,0.1,0.0,,0.1,0.1,0.1,0.0,,0.1,0.1,178.91M,178.91M,
1998-09,103.78M,103.78M,52.31M,51.47M,16.24M,10.57M,,0.229M,,,,,26.81M,24.66M,,,,0.229M,,24.06M,6.496M,17.56M,,,,17.56M,17.40M,41.32M,16.65M,24.66M,0.1,0.0,,0.0991,0.1,0.1,0.0,,0.0991,0.1,171.74M,179.81M,
1998-06,99.49M,99.49M,50.23M,49.26M,16.05M,10.22M,,-5.17M,,,,5.50M,31.77M,17.49M,,,,-5.17M,,17.50M,4.725M,12.77M,,,,12.77M,16.55M,33.32M,15.83M,17.49M,0.0734,0.0,,0.0948,0.0734,0.0667,0.0,,0.0873,0.0667,175.75M,183.61M,
