,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-06,76.60M,76.60M,1.151B,,1.151B,234.80M,143.80M,287.60M,640.60M,,269.80M,,2.138B,,,,,,3.082B,-1.504B,1.578B,1.568B,352.00M,1.920B,,527.60M,4.026B,6.164B,708.20M,,708.20M,,708.20M,1.894B,1.894B,,,615.60M,3.218B,506.70M,506.70M,,,,615.50M,1.122B,4.340B,124.10M,2.222B,900.90M,858.20M,182.40M,-748.40M,-566.00M,1.823B
2007-03,57.90M,57.90M,912.00M,,912.00M,163.00M,131.80M,224.80M,494.60M,,212.40M,,1.677B,,,,,,2.789B,-1.477B,1.312B,718.80M,93.40M,812.20M,,529.10M,2.653B,4.330B,598.10M,,598.10M,,598.10M,620.10M,620.10M,,,453.20M,1.671B,501.60M,501.60M,,,,436.50M,938.10M,2.610B,124.10M,2.179B,857.10M,853.90M,150.80M,-737.10M,-586.30M,1.720B
2006-12,58.50M,58.50M,910.20M,,910.20M,170.50M,127.50M,243.20M,496.90M,,101.40M,119.70M,1.687B,0.0,54.80M,626.80M,1.960B,134.30M,2.776B,-1.466B,1.309B,715.90M,95.50M,811.40M,42.70M,474.70M,2.638B,4.325B,630.10M,,630.10M,322.20M,952.30M,466.40M,466.40M,48.40M,48.40M,231.70M,1.699B,501.60M,501.60M,94.10M,94.10M,,334.20M,929.90M,2.629B,124.10M,2.156B,881.50M,806.70M,137.60M,-795.90M,-658.30M,1.696B
2006-09,50.80M,50.80M,887.10M,,887.10M,161.00M,122.00M,226.90M,489.90M,,159.50M,,1.587B,,,,,,2.740B,-1.457B,1.283B,703.50M,96.90M,800.40M,,586.20M,2.670B,4.257B,619.00M,,619.00M,,619.00M,357.00M,357.00M,,,548.20M,1.524B,550.70M,550.70M,434.90M,434.90M,,,985.60M,2.510B,124.10M,2.082B,802.60M,637.80M,,,-624.20M,1.747B
2006-06,49.10M,49.10M,898.20M,,898.20M,161.40M,107.50M,229.50M,479.70M,,161.90M,,1.589B,,,,,,2.705B,-1.425B,1.280B,684.60M,96.10M,780.70M,,588.10M,2.648B,4.237B,605.40M,,605.40M,,605.40M,326.50M,326.50M,,,507.70M,1.440B,721.10M,721.10M,411.80M,411.80M,,,1.133B,2.572B,124.10M,2.040B,775.90M,638.00M,,,-637.50M,1.665B
2006-03,39.10M,39.10M,836.70M,,836.70M,155.90M,108.50M,212.80M,460.50M,,169.80M,,1.506B,,,,,,2.655B,-1.374B,1.281B,676.60M,96.80M,773.40M,,582.10M,2.636B,4.142B,606.20M,,606.20M,,606.20M,376.40M,376.40M,,,454.10M,1.437B,720.80M,720.80M,,,,420.50M,1.141B,2.578B,124.10M,1.971B,772.70M,638.20M,,,-665.30M,1.564B
2005-12,98.50M,98.50M,863.20M,,863.20M,132.80M,101.60M,220.90M,439.70M,,156.90M,,1.558B,0.0,56.00M,623.20M,1.885B,113.50M,2.678B,-1.382B,1.296B,673.10M,98.70M,771.80M,,578.10M,2.646B,4.204B,577.90M,,577.90M,,577.90M,364.70M,364.70M,,,583.00M,1.526B,723.00M,723.00M,,,,443.40M,1.166B,2.692B,124.10M,1.945B,729.50M,638.20M,,,-648.80M,1.512B
2005-09,75.50M,75.50M,878.80M,,878.80M,135.20M,94.70M,227.10M,439.90M,103.80M,16.80M,,1.515B,,,,,,2.675B,-1.378B,1.297B,,855.40M,855.40M,,567.60M,2.720B,4.235B,567.60M,,567.60M,,567.60M,124.70M,124.70M,,,511.10M,1.203B,973.80M,973.80M,453.50M,453.50M,,,1.427B,2.631B,124.10M,1.995B,696.90M,597.30M,,,-614.40M,1.604B
2005-06,31.00M,31.00M,899.60M,,899.60M,149.90M,98.70M,241.40M,473.40M,100.20M,31.90M,,1.536B,,,,,,2.661B,-1.351B,1.310B,,860.60M,860.60M,,564.80M,2.735B,4.271B,616.10M,,616.10M,,616.10M,182.40M,182.40M,,,506.20M,1.305B,976.60M,976.60M,,,,438.50M,1.415B,2.720B,124.10M,1.951B,697.40M,597.30M,,,-623.80M,1.551B
2005-03,53.00M,53.00M,833.40M,,833.40M,143.20M,105.70M,241.10M,474.50M,109.60M,31.90M,,1.502B,,,,,,2.697B,-1.351B,1.346B,,879.90M,879.90M,,567.90M,2.794B,4.296B,601.10M,,601.10M,,601.10M,231.90M,231.90M,,,470.00M,1.303B,995.00M,995.00M,460.70M,460.70M,,,1.456B,2.759B,124.10M,1.903B,788.80M,597.60M,,,-681.20M,1.538B
2004-12,84.80M,84.80M,887.40M,,887.40M,140.30M,95.10M,212.70M,433.20M,105.10M,31.90M,,1.542B,0.0,61.70M,631.50M,1.867B,138.70M,2.699B,-1.324B,1.374B,,826.40M,826.40M,,656.10M,2.857B,4.399B,619.20M,,619.20M,,619.20M,204.50M,204.50M,,,563.60M,1.387B,1.007B,1.007B,83.10M,83.10M,,373.00M,1.463B,2.851B,124.10M,1.888B,766.10M,597.60M,,,-631.50M,1.549B
2004-09,69.90M,69.90M,860.60M,,860.60M,130.90M,104.70M,212.40M,430.10M,,29.30M,101.00M,1.491B,,,,,,2.551B,-1.274B,1.277B,,863.10M,863.10M,,513.00M,2.654B,4.144B,539.80M,,539.80M,542.60M,1.082B,197.10M,197.10M,,,,1.280B,1.054B,1.054B,,,,392.00M,1.446B,2.726B,124.10M,1.846B,802.90M,597.40M,,,-757.00M,1.419B
2004-06,28.00M,28.00M,868.30M,,868.30M,128.10M,104.70M,237.00M,452.70M,,27.00M,111.50M,1.488B,,,,,,2.525B,-1.250B,1.274B,,852.80M,852.80M,,512.00M,2.639B,4.126B,578.50M,,578.50M,,578.50M,445.00M,445.00M,,,498.60M,1.522B,813.50M,813.50M,413.30M,413.30M,,,1.227B,2.749B,124.10M,1.812B,802.40M,597.20M,,,-763.60M,1.378B
2004-03,31.30M,31.30M,816.00M,,816.00M,123.40M,100.80M,216.20M,424.10M,,28.70M,116.40M,1.416B,,,,,,2.522B,-1.230B,1.291B,,864.00M,864.00M,,505.50M,2.661B,4.077B,548.10M,,548.10M,,548.10M,410.50M,410.50M,,,474.40M,1.433B,887.10M,887.10M,405.90M,405.90M,,,1.293B,2.726B,124.10M,1.784B,776.20M,597.20M,,,-736.20M,1.351B
2003-12,29.50M,29.50M,833.20M,,833.20M,124.80M,92.70M,204.60M,406.10M,,34.60M,142.60M,1.446B,0.0,57.10M,579.30M,1.714B,149.60M,2.500B,-1.206B,1.294B,,867.90M,867.90M,,510.20M,2.672B,4.118B,548.50M,,548.50M,569.90M,1.118B,292.60M,292.60M,,,91.10M,1.502B,887.70M,887.70M,74.10M,74.10M,,335.50M,1.297B,2.799B,124.10M,1.772B,703.70M,597.00M,,,-684.60M,1.319B
2003-09,31.60M,31.60M,774.60M,,774.60M,115.30M,94.40M,198.20M,391.40M,,31.70M,121.70M,1.351B,,,,,,2.428B,-1.173B,1.254B,,834.60M,834.60M,,519.50M,2.608B,3.959B,485.30M,,485.30M,,485.30M,325.60M,325.60M,,,599.60M,1.410B,891.30M,891.30M,395.80M,395.80M,,,1.287B,2.698B,124.10M,1.754B,643.90M,596.80M,,,-663.50M,1.262B
2003-06,42.90M,42.90M,799.60M,,799.60M,116.20M,91.40M,215.10M,405.90M,,38.40M,113.50M,1.400B,,,,,,2.406B,-1.146B,1.259B,,854.20M,854.20M,,502.30M,2.616B,4.016B,514.50M,,514.50M,,514.50M,326.90M,326.90M,,,602.70M,1.444B,932.00M,932.00M,395.70M,395.70M,,,1.328B,2.772B,124.10M,1.727B,628.90M,596.80M,,,-639.20M,1.244B
2003-03,33.20M,33.20M,759.50M,,759.50M,107.50M,88.20M,186.60M,365.80M,,32.10M,88.90M,1.280B,,,,,,2.333B,-1.116B,1.216B,,786.00M,786.00M,,472.40M,2.475B,3.754B,451.90M,,451.90M,,451.90M,313.10M,313.10M,,,551.50M,1.316B,936.40M,936.40M,378.90M,378.90M,,,1.315B,2.632B,124.10M,1.696B,747.80M,597.00M,,,-848.30M,1.122B
2002-12,22.80M,22.80M,733.40M,,733.40M,101.90M,81.50M,176.90M,343.60M,,25.70M,90.00M,1.216B,0.0,54.90M,537.90M,1.575B,122.80M,2.290B,-1.091B,1.199B,,776.60M,776.60M,,461.10M,2.437B,3.652B,441.00M,,441.00M,477.20M,918.20M,307.00M,307.00M,,,70.90M,1.296B,837.20M,837.20M,74.00M,74.00M,,388.70M,1.300B,2.596B,124.10M,1.665B,740.20M,596.90M,,,-875.80M,1.056B
2002-09,28.90M,28.90M,742.00M,,742.00M,100.10M,81.50M,175.60M,341.00M,,53.30M,76.30M,1.242B,,,,,,2.205B,-1.071B,1.134B,,575.30M,575.30M,,351.70M,2.061B,3.302B,388.60M,,388.60M,,388.60M,268.90M,268.90M,,,559.40M,1.217B,768.70M,768.70M,215.20M,215.20M,,81.10M,1.065B,2.282B,124.10M,1.649B,740.20M,638.40M,,,-854.70M,1.020B
2002-06,25.90M,25.90M,753.60M,,753.60M,103.50M,83.60M,185.30M,355.60M,,55.70M,69.30M,1.260B,,,,2.193B,,2.193B,-1.043B,1.151B,464.70M,130.90M,595.60M,,356.80M,2.103B,3.363B,409.50M,,409.50M,,409.50M,441.70M,441.70M,,,490.70M,1.342B,668.30M,668.30M,233.00M,233.00M,,80.20M,981.50M,2.323B,124.10M,1.622B,777.90M,636.40M,,,-847.90M,1.040B
2002-03,16.00M,16.00M,586.30M,,586.30M,87.60M,70.00M,149.10M,289.70M,,59.60M,59.60M,1.011B,,,,2.046B,,2.046B,-997.20M,1.049B,,412.30M,412.30M,,353.50M,1.814B,2.826B,317.80M,,317.80M,,317.80M,218.80M,218.80M,,,379.20M,915.80M,657.80M,657.80M,228.70M,228.70M,,72.40M,958.90M,1.875B,124.10M,1.585B,760.80M,635.40M,,,-883.20M,950.90M
2001-12,19.10M,19.10M,579.20M,,579.20M,82.90M,67.60M,134.60M,267.40M,,58.80M,65.80M,990.30M,0.0,45.70M,469.40M,1.458B,84.80M,2.058B,-982.90M,1.075B,,413.20M,413.20M,,431.50M,1.919B,2.910B,316.40M,,316.40M,330.90M,647.30M,223.00M,223.00M,,,88.80M,959.10M,626.70M,626.70M,83.60M,83.60M,,310.80M,1.021B,1.980B,124.10M,1.556B,707.20M,633.40M,,,-824.60M,929.40M
2001-09,17.50M,17.50M,616.40M,37.10M,653.50M,100.00M,70.00M,142.50M,292.40M,28.00M,64.20M,,1.056B,,,,,,2.055B,-977.80M,1.077B,,426.10M,426.10M,,296.00M,1.800B,2.855B,350.00M,,350.00M,,350.00M,187.90M,187.90M,,,394.50M,932.40M,701.70M,701.70M,215.30M,215.30M,,75.40M,992.40M,1.925B,124.10M,1.534B,601.00M,633.40M,,,-695.70M,930.30M
2001-06,10.30M,10.30M,626.80M,31.90M,658.70M,96.80M,73.90M,160.30M,309.50M,25.10M,66.50M,,1.070B,,,,,,2.028B,-953.80M,1.074B,,416.90M,416.90M,,281.00M,1.772B,2.842B,357.30M,,357.30M,,357.30M,228.30M,228.30M,,,378.90M,964.50M,702.50M,702.50M,218.10M,218.10M,,70.70M,991.30M,1.956B,124.10M,1.506B,641.40M,623.70M,,,-760.80M,886.60M
2001-03,20.50M,20.50M,592.20M,,592.20M,,,,294.40M,29.20M,64.30M,27.20M,1.028B,,,,,,2.031B,-942.40M,1.088B,,424.60M,424.60M,,272.90M,1.786B,2.814B,349.10M,,349.10M,,349.10M,206.50M,206.50M,,,377.80M,933.40M,725.60M,725.60M,224.80M,224.80M,,73.40M,1.024B,1.957B,124.10M,1.479B,656.60M,615.80M,,,-787.10M,856.60M
2000-12,11.40M,11.40M,580.50M,,580.50M,,,,271.50M,,64.50M,54.50M,982.40M,,,,,,2.012B,-932.80M,1.079B,,394.30M,394.30M,,243.40M,1.717B,2.699B,326.40M,,326.40M,,326.40M,54.30M,54.30M,,,420.00M,800.70M,772.90M,772.90M,94.00M,94.00M,,203.40M,1.070B,1.871B,124.10M,1.448B,692.00M,615.70M,,,-820.60M,828.10M
2000-09,7.70M,7.70M,,,616.40M,,,,291.90M,,,122.50M,1.038B,,,,,,1.969B,-919.10M,1.050B,,401.00M,401.00M,,224.90M,1.676B,2.714B,359.10M,,359.10M,,359.10M,60.40M,60.40M,,,433.90M,853.40M,754.50M,754.50M,240.40M,240.40M,,72.60M,1.068B,1.921B,124.10M,1.414B,586.30M,602.10M,,,-728.60M,793.60M
2000-06,6.40M,6.40M,,,610.80M,,,,308.00M,,,129.00M,1.054B,,,,,,1.970B,-913.50M,1.057B,,415.40M,415.40M,,205.60M,1.678B,2.732B,363.00M,,363.00M,,363.00M,43.90M,43.90M,,,429.40M,836.30M,739.10M,739.10M,241.00M,241.00M,,77.40M,1.058B,1.894B,124.10M,1.371B,857.80M,534.00M,,,-980.50M,838.30M
2000-03,9.80M,9.80M,,,577.80M,,,,294.20M,,,130.30M,1.012B,,,,,,1.953B,-901.50M,1.051B,,434.80M,434.80M,,200.00M,1.686B,2.698B,339.60M,,339.60M,,339.60M,70.10M,70.10M,,,414.90M,824.60M,726.60M,726.60M,239.80M,239.80M,,80.20M,1.047B,1.871B,124.10M,1.328B,783.50M,510.40M,,,-898.60M,826.90M
1999-12,6.90M,6.90M,,,542.40M,,,,279.80M,,,126.90M,956.00M,,,,,,1.935B,-891.20M,1.044B,,397.00M,397.00M,,196.00M,1.636B,2.592B,316.80M,,316.80M,,316.80M,68.20M,68.20M,,,465.40M,850.40M,617.50M,617.50M,231.40M,231.40M,,83.30M,932.20M,1.783B,124.10M,1.288B,962.30M,481.30M,,,-1.084B,809.90M
1999-09,5.80M,5.80M,,,573.20M,,,,260.20M,,,123.40M,962.60M,,,,,,1.924B,-905.30M,1.019B,,368.10M,368.10M,,169.50M,1.556B,2.519B,294.20M,,294.20M,,294.20M,27.50M,27.50M,,,464.60M,786.30M,738.00M,738.00M,203.00M,203.00M,,,941.00M,1.727B,124.10M,1.251B,673.50M,464.80M,,,-792.50M,791.50M
1999-06,6.30M,6.30M,,,540.70M,,,,251.50M,,,114.20M,912.70M,,,,,,1.894B,-896.80M,997.20M,,252.40M,252.40M,,163.80M,1.413B,2.326B,278.70M,,278.70M,,278.70M,23.40M,23.40M,,,451.90M,754.00M,516.50M,516.50M,184.30M,184.30M,,85.80M,786.60M,1.541B,,1.212B,,,,,,785.50M
1999-03,10.50M,10.50M,,,504.80M,,,,252.60M,,,120.90M,888.80M,,,,,,1.893B,-887.20M,1.006B,,258.50M,258.50M,,161.00M,1.426B,2.314B,278.30M,,278.30M,,278.30M,43.50M,43.50M,,,421.10M,742.90M,548.60M,548.60M,175.70M,175.70M,,88.60M,812.90M,1.556B,,1.176B,,,,,,758.50M
1998-12,18.50M,18.50M,,,478.80M,,,,230.60M,,,74.10M,802.00M,,,,,,1.933B,-897.00M,1.036B,,145.10M,145.10M,,159.90M,1.341B,2.143B,269.80M,,269.80M,,269.80M,71.30M,71.30M,,,323.20M,664.30M,465.90M,465.90M,63.60M,63.60M,,115.50M,645.00M,1.309B,124.10M,1.185B,587.50M,359.40M,,,-704.00M,833.30M
1998-09,4.90M,4.90M,,,515.30M,,,,231.90M,,,103.60M,855.70M,,,,,,1.869B,-868.30M,1.001B,,134.20M,134.20M,,144.00M,1.279B,2.135B,252.40M,,252.40M,,252.40M,39.10M,39.10M,,,327.40M,618.90M,471.10M,471.10M,183.70M,183.70M,,,654.80M,1.274B,,1.157B,,,,,,861.00M
1998-06,3.70M,3.70M,,,485.30M,,,,243.90M,,,98.80M,831.70M,,,,,,1.837B,-843.00M,993.70M,,134.40M,134.40M,,140.50M,1.269B,2.100B,265.90M,,265.90M,,265.90M,61.50M,61.50M,,,313.50M,640.90M,449.80M,449.80M,172.00M,172.00M,,,621.80M,1.263B,,1.126B,,,,,,837.60M
