,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-06,960.80M,960.80M,649.00M,311.80M,,208.40M,,,,,208.40M,103.40M,,,,,89.90M,30.10M,59.80M,,,59.80M,59.80M,142.50M,39.10M,103.40M,0.61,0.0,,0.61,0.61,0.61,0.0,,0.61,0.61,97.80M,98.70M,0.3
2001-03,963.20M,963.20M,644.20M,319.00M,,209.20M,,,,,209.20M,109.80M,,,,,96.00M,32.20M,63.80M,,-0.20M,63.60M,63.80M,149.00M,39.20M,109.80M,0.65,0.0,0.0,0.65,0.65,0.65,0.0,-0.002,0.65,0.65,97.60M,98.50M,0.3
2000-12,933.10M,933.10M,579.70M,353.40M,,202.60M,,,,,241.90M,111.50M,,,,,98.00M,30.50M,67.50M,,,67.50M,67.50M,150.80M,39.30M,111.50M,0.62,0.07,,0.62,0.69,0.61,0.07,,0.61,0.68,97.70M,98.60M,0.3
2000-09,1.002B,1.002B,622.40M,379.30M,,215.80M,,,,,254.80M,124.50M,,,,,110.30M,37.30M,73.00M,,,73.00M,73.00M,163.50M,39.00M,124.50M,0.74,0.0,,0.74,0.74,0.73,0.0,,0.73,0.73,98.10M,99.40M,0.27
2000-06,993.40M,993.40M,610.50M,382.90M,,218.70M,,,,,257.90M,125.00M,,,,,110.40M,37.60M,72.80M,,,72.80M,72.80M,164.20M,39.20M,125.00M,0.74,0.0,,0.74,0.74,0.73,0.0,,0.73,0.73,98.70M,100.40M,0.27
2000-03,965.30M,965.30M,591.80M,373.50M,,214.20M,,,,,253.60M,119.90M,,,,,107.60M,37.40M,70.20M,,,70.20M,70.20M,159.30M,39.40M,119.90M,0.7,0.0,,0.7,0.7,0.7,0.0,,0.7,0.7,98.80M,100.80M,0.27
1999-12,944.80M,944.80M,576.90M,367.90M,,212.30M,,0.00,,,252.40M,115.50M,,,0.00,,103.30M,36.00M,67.30M,,,67.30M,67.30M,155.60M,40.10M,115.50M,0.68,0.0,,0.68,0.68,0.67,0.0,,0.67,0.67,98.61M,100.88M,0.27
1999-09,961.00M,961.00M,595.60M,365.40M,,214.70M,,,,,252.60M,112.80M,,,,,101.20M,35.20M,66.00M,,,66.00M,66.00M,150.70M,37.90M,112.80M,0.66,0.0,,0.66,0.66,0.65,0.0,,0.65,0.65,100.00M,101.54M,0.24
1999-06,928.50M,928.50M,578.40M,350.10M,,207.30M,,,,,243.20M,106.90M,,,,,97.70M,34.00M,63.70M,,,63.70M,63.70M,142.80M,35.90M,106.90M,0.64,0.0,,0.64,0.64,0.63,0.0,,0.63,0.63,99.40M,101.70M,0.24
1999-03,933.90M,933.90M,585.50M,348.40M,,208.30M,,-65.00M,,,244.80M,103.60M,,,-65.00M,,28.20M,9.80M,18.40M,,,18.40M,60.81M,140.10M,36.50M,103.60M,0.19,0.0,,0.6279,0.19,0.18,0.0,,0.5949,0.18,96.84M,102.22M,0.24
1998-12,884.60M,884.60M,558.90M,325.70M,,198.20M,,,,,232.10M,93.60M,,,,,84.30M,28.40M,55.90M,,,55.90M,55.90M,127.50M,33.90M,93.60M,0.56,0.0,,0.56,0.56,0.55,0.0,,0.55,0.55,99.78M,102.52M,0.24
1998-09,860.20M,860.20M,547.30M,312.90M,,188.90M,,,,,220.90M,92.00M,,,,,83.30M,27.50M,55.80M,,,55.80M,55.80M,124.00M,32.00M,92.00M,0.55,0.0,,0.55,0.55,0.54,0.0,,0.54,0.54,101.45M,103.33M,0.21
1998-06,871.50M,871.50M,548.90M,322.60M,,196.00M,,,,,227.30M,95.30M,,,,,86.80M,29.40M,57.40M,,,57.40M,57.40M,126.60M,31.30M,95.30M,0.56,0.0,,0.56,0.56,0.55,0.0,,0.55,0.55,102.50M,104.36M,0.21
