,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2002-06,22.73M,22.73M,2.809M,19.92M,7.951M,4.938M,0.568M,0.323M,,,,,13.46M,6.468M,,,,0.323M,,6.791M,2.071M,4.72M,4.72M,4.496M,7.631M,1.163M,6.468M,,0.08,0.00,,0.0762,0.08,,0.075,0.00,,0.0715,0.075,,58.68M,63.32M,,,
2002-03,21.26M,21.26M,2.851M,18.41M,7.491M,4.819M,0.599M,0.171M,,,,,12.91M,5.505M,,,,0.171M,,5.676M,1.788M,3.888M,3.888M,3.771M,6.651M,1.146M,5.505M,,0.0675,0.00,,0.0655,0.0675,,0.0625,0.00,,0.0607,0.0625,,58.35M,63.37M,,,
2001-12,25.07M,25.07M,3.033M,22.04M,8.709M,4.322M,1.347M,-0.16M,,,,,60.68M,-38.64M,,,,-0.16M,,7.502M,2.404M,5.098M,5.098M,5.207M,-36.70M,1.936M,-38.64M,,0.0875,0.00,,0.0894,0.0875,,0.0825,0.00,,0.0842,0.0825,,57.71M,62.29M,,,
2001-09,20.61M,20.61M,2.711M,17.90M,8.893M,4.358M,1.281M,0.483M,,,,,14.53M,3.367M,,,,0.483M,,3.85M,1.196M,2.654M,2.654M,2.321M,5.198M,1.831M,3.367M,,0.045,0.00,,0.0393,0.045,,0.0425,0.00,,0.0372,0.0425,,58.13M,62.31M,,,
2001-06,20.93M,20.93M,2.946M,17.98M,7.664M,4.298M,1.318M,0.467M,,,,,13.28M,4.705M,,,,0.467M,,5.172M,1.603M,3.569M,3.569M,3.247M,6.605M,1.90M,4.705M,,0.0625,0.00,,0.0569,0.0625,,0.06,0.00,,0.0547,0.06,,57.37M,60.68M,,,
2001-03,18.22M,18.22M,2.663M,15.56M,7.505M,3.915M,1.325M,0.644M,,,,,12.74M,2.814M,,,,0.644M,,3.458M,1.087M,2.371M,2.371M,1.929M,4.778M,1.964M,2.814M,,0.04,0.00,,0.0326,0.04,,0.0375,0.00,,0.0304,0.0375,,59.66M,61.97M,,,
2000-12,24.15M,24.15M,2.233M,21.92M,9.851M,4.431M,,0.81M,,,,,16.17M,5.751M,,,,0.81M,,6.561M,2.102M,4.459M,4.459M,3.909M,7.637M,1.886M,5.751M,,0.07,0.00,,0.0612,0.07,,0.0675,0.00,,0.0589,0.0675,,62.62M,64.19M,,,
2000-09,16.68M,16.68M,1.629M,15.05M,6.816M,3.457M,,0.877M,,,,,11.25M,3.805M,,,,0.877M,,4.682M,1.41M,3.272M,3.272M,2.659M,4.78M,0.975M,3.805M,,0.0525,0.00,,0.0426,0.0525,,0.0525,0.00,,0.0429,0.0525,,61.98M,63.89M,,,
2000-06,16.25M,16.25M,1.263M,14.99M,6.276M,3.203M,,0.895M,,,,,10.20M,4.789M,,,,0.895M,,5.684M,1.592M,4.092M,4.092M,3.448M,5.511M,0.722M,4.789M,,0.065,0.00,,0.0548,0.065,,0.0625,0.00,,0.0526,0.0625,,63.26M,65.09M,,,
2000-03,17.38M,17.38M,1.461M,15.92M,6.524M,3.411M,,0.997M,,,,,10.68M,5.234M,,,,0.997M,,6.231M,1.744M,4.487M,4.487M,3.769M,5.984M,0.75M,5.234M,,0.07,0.00,,0.0590,0.07,,0.0675,0.00,,0.0568,0.0675,,65.01M,67.38M,,,
1999-12,17.64M,17.64M,1.211M,16.43M,6.948M,3.775M,,0.826M,,,,,11.48M,4.943M,,,,0.826M,,5.669M,1.518M,4.151M,4.151M,3.546M,5.705M,0.762M,4.943M,,0.0625,0.00,,0.0534,0.0625,,0.0625,0.00,,0.0534,0.0625,,66.16M,66.16M,,,
1999-09,14.30M,14.30M,1.20M,13.10M,5.50M,3.10M,,0.70M,,,,,9.20M,3.90M,,,,0.70M,,4.60M,1.20M,3.40M,3.40M,2.883M,4.50M,0.60M,3.90M,,0.05,0.00,,0.0424,0.05,,0.05,0.00,,0.0424,0.05,,68.00M,68.00M,,,
1999-06,15.39M,15.39M,1.10M,14.29M,6.50M,3.20M,,0.60M,,,,,10.40M,3.894M,,,,0.60M,,4.40M,0.90M,3.50M,3.50M,3.023M,4.594M,0.70M,3.894M,,0.055,0.00,,0.0475,0.055,,0.0525,0.00,,0.0453,0.0525,,63.64M,66.67M,,,
1999-03,15.87M,15.87M,1.10M,14.77M,6.00M,3.40M,,0.60M,,,,,10.10M,4.668M,,,,0.60M,,5.10M,1.40M,3.70M,3.70M,3.265M,5.368M,0.70M,4.668M,,0.0575,0.00,,0.0507,0.0575,,0.055,0.00,,0.0485,0.055,,64.35M,67.27M,,,
1998-12,15.30M,15.30M,1.10M,14.20M,6.30M,2.90M,,0.50M,,,,,9.90M,4.30M,,,,0.50M,,4.70M,1.60M,3.10M,3.10M,2.770M,5.00M,0.70M,4.30M,,0.05,0.00,,0.0447,0.05,,0.0475,0.00,,0.0424,0.0475,,61.71M,65.07M,,,
1998-09,13.50M,13.50M,1.00M,12.50M,5.50M,2.70M,,0.50M,,,,,8.90M,3.60M,,,,0.50M,,4.10M,1.40M,2.70M,2.70M,2.371M,4.30M,0.70M,3.60M,,0.0425,0.00,,0.0373,0.0425,,0.04,0.00,,0.0351,0.04,,63.53M,67.50M,,,
1998-06,13.60M,13.60M,1.10M,12.50M,5.40M,2.90M,,0.50M,,,,,8.90M,3.60M,,,,0.50M,,4.00M,1.30M,2.70M,2.70M,2.362M,4.20M,0.60M,3.60M,,0.0425,0.00,,0.0372,0.0425,,0.04,0.00,,0.035,0.04,,63.53M,67.50M,,,
1998-03,14.20M,14.20M,1.10M,13.10M,5.50M,3.10M,,0.40M,,,,,9.30M,3.80M,,,,0.40M,,4.20M,1.40M,2.80M,2.80M,2.533M,4.50M,0.70M,3.80M,,0.0425,0.00,,0.0385,0.0425,,0.0425,0.00,,0.0385,0.0425,,65.88M,65.88M,,,
1997-12,14.40M,14.40M,1.00M,13.40M,6.20M,2.70M,,0.30M,,,,,9.50M,3.90M,,,,0.30M,,4.20M,1.50M,2.70M,2.70M,2.507M,4.50M,0.60M,3.90M,,0.0425,0.00,,0.0395,0.0425,,0.0425,0.00,,0.0395,0.0425,,63.91M,63.91M,,,
1997-09,11.50M,11.50M,0.90M,10.60M,5.00M,2.50M,,0.20M,,,,,8.00M,2.60M,,,,0.20M,,2.70M,1.00M,1.70M,1.70M,1.574M,3.10M,0.50M,2.60M,,0.0275,0.00,,0.0255,0.0275,,0.025,0.00,,0.0231,0.025,,61.82M,68.00M,,,
1997-06,12.60M,12.60M,1.00M,11.60M,4.70M,3.00M,,0.30M,,,,,8.20M,3.40M,,,,0.30M,,3.60M,1.30M,2.30M,2.30M,2.108M,3.90M,0.50M,3.40M,,0.0375,0.00,,0.0344,0.0375,,0.035,0.00,,0.0321,0.035,,61.33M,65.71M,,,
1997-03,12.00M,12.00M,0.90M,11.10M,4.90M,2.80M,,0.10M,,,,,10.30M,0.80M,,,,0.10M,,1.10M,0.40M,0.70M,0.70M,0.6364M,3.40M,2.60M,0.80M,,0.01,0.00,,0.0091,0.01,,0.01,0.00,,0.0091,0.01,,70.00M,70.00M,,,
1996-12,12.40M,12.40M,1.00M,11.40M,4.60M,2.60M,,0.00,,,,,10.20M,1.20M,,,,0.00,,1.30M,0.50M,0.80M,0.80M,0.80M,4.20M,3.00M,1.20M,,0.0124,,0.00,0.0124,0.0124,,0.0124,,0.00,0.0124,0.0124,,64.63M,64.63M,,,
1996-09,12.70M,12.70M,1.40M,11.30M,4.70M,2.60M,,0.40M,,,,,10.00M,1.30M,,,,0.40M,,1.70M,0.60M,1.10M,1.10M,0.8412M,4.30M,3.00M,1.30M,,0.0175,0.00,,0.0134,0.0175,,0.0175,0.00,,0.0134,0.0175,,62.86M,62.86M,,,
1996-06,11.30M,11.30M,0.70M,10.60M,4.10M,2.30M,,0.10M,,,,,9.90M,0.70M,,,,0.10M,,,,0.00,-0.30M,-0.06M,4.20M,3.50M,0.70M,,-0.0025,-0.0075,-0.0055,-0.0036,-0.01,,-0.0025,-0.0075,-0.0055,-0.0036,-0.01,,54.86M,54.86M,,,
1996-03,10.70M,10.70M,,,,,,,,,,,,10.70M,,,,,,,,-0.20M,-0.20M,-0.20M,10.70M,,10.70M,,-0.0075,-0.005,,-0.0075,-0.0125,,-0.0075,-0.005,,-0.0075,-0.0125,,54.86M,54.86M,,,
