,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2002-09,4.082M,0.151M,,,1.102M,1.102M,-0.428M,,,,0.668M,0.797M,2.464M,-2.519M,,1.41M,6.317M,,-0.306M,-0.306M,1.686M,-2.006M,-1.686M,-2.312M,,,,0.365M,-1.768M,-1.403M,,,-1.403M,,22.80M,2.602M,0.024M,25.43M,,0.365M,,-1.768M,,,,,
2002-06,4.72M,0.11M,,,1.163M,1.163M,0.291M,,,,-0.576M,1.147M,0.703M,-0.774M,,0.50M,6.784M,,-0.479M,-0.479M,-0.841M,4.01M,-0.241M,2.449M,,,,1.703M,-6.834M,-5.131M,,,-5.131M,,18.46M,4.102M,0.244M,22.80M,,1.703M,,-6.834M,,,,,
2002-03,3.888M,0.049M,,,1.146M,1.146M,0.072M,,,,2.246M,-5.967M,0.065M,1.39M,,-2.266M,2.889M,,-0.645M,-0.645M,-3.436M,-7.541M,,-11.62M,,,,2.197M,-3.317M,-1.12M,,,-1.12M,,28.54M,-9.853M,-0.235M,18.46M,,2.197M,,-3.317M,,,,,
2001-12,5.098M,0.587M,,,1.936M,1.936M,-0.131M,,,,-6.259M,3.107M,0.708M,3.742M,,1.298M,8.788M,,-0.253M,-0.253M,-3.981M,4.872M,-0.341M,0.297M,,,-3.728M,5.295M,-0.305M,4.99M,,,1.262M,,18.00M,10.35M,0.203M,28.54M,,5.295M,,-0.305M,,,,,
2001-09,2.654M,0.011M,,,1.831M,1.831M,-0.796M,,,,-1.258M,2.066M,-1.155M,-1.643M,,-1.99M,1.71M,,-0.268M,-0.268M,0.00,-0.397M,-0.019M,-0.684M,,,3.728M,-2.402M,-4.211M,-6.613M,,,-2.885M,,19.79M,-1.859M,0.068M,18.00M,,-2.402M,,-4.211M,,,,,
2001-06,3.569M,0.27M,,,1.90M,1.90M,0.042M,,,,-1.075M,0.744M,0.10M,1.244M,,1.013M,6.794M,,-0.827M,-0.827M,0.00,-5.198M,-0.097M,-6.122M,,,,1.865M,0.00,1.865M,,,1.865M,,17.29M,2.537M,-0.045M,19.79M,,1.865M,,0.00,,,,,
2001-03,2.371M,,,,1.964M,1.964M,0.085M,,,,3.507M,-3.908M,0.347M,1.98M,,1.926M,6.346M,,-0.722M,-0.722M,-0.333M,16.55M,,15.49M,,,,0.537M,-11.20M,-10.66M,,,-10.66M,,6.313M,11.18M,-0.195M,17.29M,,0.537M,,-11.20M,,,,,
2000-12,4.459M,0.616M,,,1.886M,1.886M,-0.313M,,,,-6.074M,2.932M,-0.036M,1.456M,,-1.722M,4.926M,,-0.676M,-0.676M,-0.40M,-2.56M,0.648M,-2.988M,,,,0.127M,-7.242M,-7.115M,,,-7.115M,,11.44M,-5.177M,,6.313M,,0.127M,,-7.242M,,,,,
2000-09,3.272M,0.024M,,,0.975M,0.975M,0.136M,,,,1.174M,0.50M,0.235M,-0.76M,,1.149M,5.556M,,-0.558M,-0.558M,-7.281M,-4.462M,-1.852M,-14.15M,,,,0.656M,-4.495M,-3.839M,,,-3.839M,,23.87M,-12.44M,,11.44M,,0.656M,,-4.495M,,,,,
2000-06,4.092M,0.229M,,,0.722M,0.722M,0.09M,,,,-0.057M,-1.276M,-0.589M,0.112M,,-1.81M,3.323M,,-1.257M,-1.257M,-0.10M,15.44M,-0.375M,13.70M,,,,0.428M,-6.642M,-6.214M,,,-6.214M,,13.06M,10.81M,,23.87M,,0.428M,,-6.642M,,,,,
2000-03,4.487M,-0.13M,,,0.75M,0.75M,0.018M,,,,0.966M,0.123M,0.39M,2.441M,,3.92M,9.045M,,-0.682M,-0.682M,-0.10M,-3.412M,0.25M,-3.944M,,,,0.766M,-3.209M,-2.443M,,,-2.443M,,10.40M,2.658M,,13.06M,,0.766M,,-3.209M,,,,,
1999-12,4.151M,0.264M,,,0.762M,0.762M,-0.045M,,,,-5.255M,2.335M,1.10M,1.529M,,-0.291M,4.841M,,-0.158M,-0.158M,,1.407M,-0.091M,1.058M,,,,0.231M,,-2.319M,,,-2.319M,,6.70M,3.58M,,10.40M,,0.231M,,,,,,,
1999-09,3.30M,0.10M,,,0.60M,0.60M,0.30M,,,,0.40M,-0.50M,0.60M,-1.00M,,-0.50M,3.80M,,-0.40M,-0.40M,,-14.40M,-0.20M,-15.00M,,,,0.30M,,0.30M,,,0.30M,,17.70M,-10.90M,,6.70M,,0.30M,,,,,,,
1999-06,3.60M,0.00,,,0.70M,0.70M,0.40M,,,,0.00,-0.40M,-1.40M,0.40M,,-1.40M,3.30M,,-0.40M,-0.40M,,6.50M,0.00,6.10M,,,,0.30M,,0.30M,,,0.30M,,8.00M,9.70M,,17.70M,,0.30M,,,,,,,
1999-03,3.70M,0.10M,,,0.70M,0.70M,0.20M,,,,0.60M,-0.70M,-0.30M,2.10M,,1.70M,6.40M,,-0.80M,-0.80M,,-4.10M,-0.30M,-5.20M,,,,0.20M,,0.20M,,,0.20M,,6.60M,1.40M,,8.00M,,0.20M,,,,,,,
1998-12,3.10M,2.20M,,,0.70M,0.70M,-0.60M,,,,-2.40M,0.20M,-0.20M,-0.20M,,-2.60M,2.80M,,-0.20M,-0.20M,,-0.80M,0.00,-1.00M,,,,0.10M,,0.10M,,,0.10M,,0.00,1.90M,,6.60M,,0.10M,,,,,,,
1998-09,2.70M,0.20M,,,0.70M,0.70M,0.20M,,,,-1.50M,0.60M,0.70M,-0.30M,,-0.50M,3.30M,,-0.10M,-0.10M,,-3.80M,-0.40M,-4.30M,,,,0.10M,,0.10M,,,0.10M,,0.00,-0.90M,,0.00,,0.10M,,,,,,,
1998-06,2.70M,0.10M,,,0.60M,0.60M,0.20M,,,,0.80M,0.80M,-0.50M,-0.70M,,0.40M,4.00M,,-0.40M,-0.40M,,-12.30M,0.10M,-12.60M,,,,0.20M,,0.20M,,,0.20M,,0.00,-8.40M,,0.00,,0.20M,,,,,,,
1998-03,2.80M,0.20M,,,0.70M,0.70M,0.20M,,,,0.90M,-1.30M,0.10M,1.90M,,1.60M,5.50M,,-0.20M,-0.20M,,-5.40M,,-5.60M,,,,0.10M,,0.10M,,,0.10M,,14.00M,,,0.00,,0.10M,,,,,,,
1997-12,2.70M,0.40M,,,0.60M,0.60M,0.50M,,,0.30M,-3.00M,0.50M,0.70M,0.30M,,-1.50M,3.00M,,-0.20M,-0.20M,,-3.50M,0.20M,-3.50M,,,,0.00,,0.00,,-0.10M,-0.10M,,0.00,-0.60M,,14.00M,,0.00,,,,,,,
1997-09,1.80M,0.40M,,,0.50M,0.50M,0.20M,,,-0.30M,0.00,-0.60M,0.70M,0.50M,,0.60M,3.20M,,-0.30M,-0.30M,,-6.30M,-0.20M,-6.80M,,,,0.10M,,0.10M,,0.10M,0.20M,,0.00,-3.40M,,0.00,,0.10M,,,,,,,
1997-06,2.20M,0.10M,,,0.50M,0.50M,,,,0.20M,-0.20M,0.50M,-1.80M,1.10M,,-0.40M,2.60M,,-0.40M,-0.40M,,-4.10M,-0.10M,-4.60M,,,,0.00,,0.00,,,0.00,,0.00,-2.00M,,0.00,,0.00,,,,,,,
1997-03,0.70M,0.20M,,,2.60M,2.60M,,,,-0.10M,0.30M,-1.30M,-0.20M,1.70M,,0.50M,3.90M,,-1.20M,-1.20M,,,,-1.20M,,,,0.20M,,0.20M,,,0.20M,,17.10M,2.90M,,0.00,,0.20M,,,,,,,
