,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-06,,137.78M,0.187M,137.97M,41.08M,55.27M,96.35M,,18.75M,,253.07M,,,,,,,,54.22M,-25.76M,28.46M,431.62M,190.84M,622.46M,,2.805M,653.72M,906.79M,,3.491M,,3.491M,49.77M,53.26M,11.75M,,11.75M,124.66M,124.66M,,,189.67M,86.71M,,86.71M,43.24M,43.24M,,7.773M,137.72M,327.40M,,0.783M,226.15M,351.87M,10.46M,,11.05M,579.40M,,,
2007-03,,117.37M,0.169M,117.54M,43.55M,61.11M,104.66M,,23.30M,,245.50M,,,,,,,,51.90M,-25.76M,26.14M,430.51M,198.30M,628.81M,,2.951M,657.90M,903.40M,,3.979M,,3.979M,56.60M,60.58M,13.29M,,13.29M,120.51M,120.51M,,,194.38M,101.51M,,101.51M,45.90M,45.90M,,7.601M,155.01M,349.39M,,0.392M,207.90M,349.00M,11.97M,,8.695M,554.02M,,,
2006-12,,104.32M,0.171M,104.49M,37.34M,53.14M,90.48M,,20.98M,,215.94M,0.00,1.523M,13.51M,26.99M,9.264M,,,51.29M,-25.76M,25.53M,452.82M,205.38M,658.20M,,3.017M,686.75M,902.70M,,3.599M,,3.599M,60.79M,64.38M,13.93M,,13.93M,101.23M,101.23M,,,179.54M,109.39M,,109.39M,71.44M,71.44M,,7.53M,188.36M,367.90M,,0.783M,193.33M,344.62M,11.65M,,7.718M,534.79M,,,
2006-09,,101.62M,0.15M,101.77M,27.82M,41.67M,69.48M,,12.93M,,184.18M,,,,,,,,44.65M,-20.22M,24.43M,431.05M,212.05M,643.10M,,2.842M,670.38M,854.55M,,3.026M,,3.026M,45.23M,48.26M,19.81M,,19.81M,89.74M,89.74M,,,157.80M,128.72M,,128.72M,49.05M,49.05M,,1.375M,179.14M,336.95M,,0.392M,181.06M,342.43M,12.70M,,6.416M,517.61M,,,
2006-06,,102.65M,0.461M,103.11M,29.94M,46.15M,76.09M,,12.25M,,191.45M,,,,,,,,44.47M,-20.22M,24.25M,430.82M,219.31M,650.14M,,3.059M,677.45M,868.89M,,2.514M,,2.514M,44.35M,46.86M,24.36M,,24.36M,95.39M,95.39M,,,166.62M,146.19M,,146.19M,51.41M,51.41M,,1.375M,198.97M,365.59M,,0.392M,172.69M,338.67M,15.25M,,6.801M,503.30M,,,
2006-03,,197.16M,6.071M,203.23M,22.49M,28.01M,50.50M,,4.179M,,257.91M,,,,26.48M,3.864M,,,30.35M,-20.22M,10.13M,44.58M,9.44M,54.02M,2.95M,0.528M,67.63M,325.54M,,1.385M,,1.385M,21.21M,22.60M,,,,57.72M,57.72M,,,80.32M,,,,,,,,1.375M,81.70M,,0.332M,192.08M,62.91M,16.03M,,4.546M,243.85M,,,
2005-12,,176.17M,18.07M,194.23M,19.13M,25.06M,44.20M,,4.055M,,242.49M,0.00,,2.335M,16.50M,7.747M,,,26.58M,-20.22M,6.362M,,53.87M,53.87M,2.153M,0.642M,63.02M,305.51M,,1.33M,,1.33M,26.91M,28.24M,,,,48.23M,48.23M,,,76.47M,,,,,,,,4.062M,80.53M,,0.332M,179.17M,59.54M,18.34M,,4.271M,224.98M,,,
2005-09,,164.43M,10.04M,174.47M,16.45M,21.08M,37.53M,,3.315M,,215.32M,,,,,,,,24.08M,-17.85M,6.234M,,48.64M,48.64M,2.06M,0.767M,57.70M,273.02M,,0.947M,,0.947M,16.96M,17.90M,,,,46.08M,46.08M,,,63.98M,,,,,,,,,63.98M,,0.332M,165.90M,58.03M,20.05M,,4.824M,209.04M,,,
2005-06,,153.32M,10.05M,163.37M,15.36M,,15.36M,,3.426M,21.50M,203.65M,,,,,,,,24.24M,-17.85M,6.391M,,49.86M,49.86M,1.237M,0.872M,58.36M,262.01M,,0.904M,,0.904M,15.07M,15.98M,,,,49.46M,49.46M,,,65.44M,,,,,,,,,65.44M,,0.332M,154.73M,54.66M,17.64M,,4.492M,196.57M,,,
2005-03,,69.91M,79.84M,149.74M,17.59M,,17.59M,,3.571M,24.45M,195.36M,,,,,,,,24.02M,-17.85M,6.168M,,51.84M,51.84M,0.854M,0.754M,59.62M,254.98M,,1.214M,,1.214M,14.45M,15.66M,,,,51.34M,51.34M,,,67.00M,,,,,,,,,67.00M,,0.332M,144.95M,53.32M,16.56M,,5.928M,187.98M,,,
2004-12,,83.55M,54.90M,138.45M,18.79M,23.61M,42.40M,,3.404M,,184.25M,0.00,,1.037M,15.04M,7.326M,,,23.40M,-17.85M,5.551M,,48.38M,48.38M,0.558M,0.898M,55.39M,239.65M,,1.10M,,1.10M,19.17M,20.27M,,,,43.91M,43.91M,,,64.18M,,,,,,,,,64.18M,,0.332M,135.27M,50.87M,17.70M,,6.701M,175.47M,,,
2004-09,,114.28M,9.98M,124.26M,14.72M,,14.72M,,3.035M,15.83M,157.84M,,,,,,,,20.21M,-14.38M,5.827M,,47.60M,47.60M,0.747M,0.864M,55.04M,212.88M,,0.774M,,0.774M,14.73M,15.50M,,,,38.73M,38.73M,,,54.23M,,,,,,,,,54.23M,,0.332M,123.02M,49.44M,18.85M,,4.713M,158.65M,,,
2004-06,,89.27M,20.10M,109.37M,16.65M,,16.65M,,3.281M,17.46M,146.76M,,,,,,,,20.54M,-14.38M,6.159M,,48.00M,48.00M,0.873M,0.877M,55.91M,202.68M,,0.719M,,0.719M,13.36M,14.08M,,,,41.76M,41.76M,,,55.84M,,,,,,,,,55.84M,,0.166M,115.42M,47.68M,20.47M,,4.048M,146.84M,,,
2004-03,,91.30M,4.988M,96.28M,18.65M,,18.65M,,3.452M,18.87M,137.26M,,,,,,,,20.31M,-14.38M,5.923M,,49.25M,49.25M,,1.026M,56.20M,193.46M,,1.555M,,1.555M,10.42M,11.98M,,,,43.79M,43.79M,,,55.77M,,,,0.609M,0.609M,,,0.609M,56.38M,,0.166M,107.84M,46.38M,21.83M,,4.527M,137.08M,,,
2003-12,,78.04M,4.976M,83.01M,20.03M,,20.03M,,3.311M,16.21M,122.56M,0.00,,0.899M,12.91M,6.376M,,,20.19M,-14.38M,5.801M,,50.03M,50.03M,1.213M,0.959M,58.00M,180.56M,,0.988M,,0.988M,14.62M,15.61M,,,,37.87M,37.87M,,,53.48M,,,,,,,,,53.48M,,0.332M,100.70M,44.37M,22.77M,,4.44M,127.07M,,,
2003-09,,67.28M,4.989M,72.27M,16.03M,,16.03M,,3.668M,14.69M,106.66M,,,,,,,,17.80M,-12.32M,5.482M,,49.09M,49.09M,0.137M,1.076M,55.79M,162.44M,,1.279M,,1.279M,9.972M,11.25M,,,,33.99M,33.99M,,,45.24M,,,,,,,,,45.24M,,0.166M,93.50M,44.21M,23.48M,,2.808M,117.20M,,,
2003-06,,47.85M,14.98M,62.83M,16.04M,,16.04M,,3.318M,15.23M,97.41M,,,,,,,,18.20M,-12.32M,5.877M,,47.00M,47.00M,3.713M,1.683M,58.27M,155.68M,,0.93M,,0.93M,10.00M,10.93M,,,,36.24M,36.24M,,,47.18M,,,,,,,,,47.18M,,0.166M,88.14M,43.66M,25.89M,,2.428M,108.50M,,,
2003-03,,36.85M,14.94M,51.79M,18.88M,,18.88M,,2.57M,15.75M,88.99M,,,,,,,,18.27M,-12.32M,5.953M,,46.38M,46.38M,4.572M,1.435M,58.34M,147.33M,,1.133M,,1.133M,12.09M,13.22M,,,,36.67M,36.67M,,,49.89M,,,,,,,,,49.89M,,0.166M,83.67M,41.45M,29.00M,,1.152M,97.44M,,,
2002-12,,46.20M,14.93M,61.13M,15.88M,13.74M,29.61M,,1.747M,,92.49M,0.00,,0.885M,11.44M,4.296M,,,16.62M,-12.32M,4.302M,18.62M,5.098M,23.71M,5.038M,1.457M,34.51M,127.00M,,0.627M,,0.627M,8.586M,9.213M,,,,26.40M,26.40M,,,35.61M,,,,,,,,,35.61M,,0.166M,79.39M,41.42M,30.34M,,0.76M,91.39M,,,
2002-09,,25.43M,29.84M,55.27M,12.78M,,12.78M,,2.03M,11.78M,81.86M,,,,,,,,15.00M,-10.34M,4.667M,,22.97M,22.97M,5.051M,1.727M,34.42M,116.27M,,0.578M,,0.578M,8.567M,9.145M,,,,23.22M,23.22M,,,32.36M,,,,,,,,,32.36M,,0.166M,73.12M,41.15M,30.57M,,0.039M,83.91M,,,
2002-06,,22.80M,27.83M,50.64M,13.52M,,13.52M,,1.905M,12.20M,78.26M,,,,,,,,4.916M,,4.916M,,23.40M,23.40M,4.747M,1.91M,34.98M,113.24M,,0.666M,,0.666M,7.684M,8.35M,,,,25.74M,25.74M,,,34.09M,,,,,,,,,34.09M,,0.166M,69.04M,39.02M,29.08M,,0.002M,79.15M,,,
2002-03,,18.46M,31.84M,50.30M,13.06M,,13.06M,,1.842M,12.74M,77.94M,,,,,,,,15.33M,-10.34M,4.995M,,24.45M,24.45M,4.577M,1.793M,35.81M,113.75M,,0.406M,,0.406M,7.637M,8.043M,,,,26.51M,26.51M,,,34.55M,,,,,,,,,34.55M,,0.166M,64.32M,39.08M,24.01M,-0.366M,-0.366M,79.20M,,,
2001-12,,28.54M,24.90M,53.45M,15.35M,12.80M,28.16M,,1.799M,,83.40M,0.00,,0.873M,10.10M,4.275M,,,15.25M,-10.34M,4.915M,16.94M,6.499M,23.44M,4.692M,1.317M,34.36M,117.76M,,0.624M,,0.624M,17.62M,18.25M,,,,25.12M,25.12M,,,43.37M,,,,,,,,,43.37M,,0.166M,60.43M,37.82M,23.95M,,-0.071M,74.39M,,,
2001-09,,18.00M,29.78M,47.77M,12.95M,,12.95M,,1.725M,3.455M,65.90M,,,,,,,,13.40M,-8.237M,5.16M,,15.08M,15.08M,4.534M,1.448M,26.22M,92.12M,,0.572M,,0.572M,3.913M,4.485M,,,,14.68M,14.68M,,6.174M,25.34M,,,,,,,,,25.34M,,0.166M,55.33M,36.98M,25.62M,,-0.086M,66.77M,,,
2001-06,,19.79M,29.88M,49.66M,11.70M,,11.70M,,0.844M,1.822M,64.03M,,,,,,,,13.68M,-8.237M,5.446M,,16.29M,16.29M,4.619M,0.992M,27.35M,91.38M,,0.231M,,0.231M,7.885M,8.116M,,,,16.33M,16.33M,,,24.44M,,,,,,,,,24.44M,,0.166M,52.68M,37.25M,23.00M,,-0.154M,66.93M,,,
2001-03,,17.29M,24.68M,41.97M,10.90M,,10.90M,,0.753M,1.922M,55.54M,,,,,,,,13.47M,-8.237M,5.233M,,17.50M,17.50M,4.752M,0.971M,28.46M,84.00M,,0.234M,,0.234M,7.615M,7.849M,,,,15.08M,15.08M,,,22.93M,,,,,,,,,22.93M,,0.166M,49.11M,37.24M,25.45M,,,61.07M,,,
2000-12,,6.313M,41.23M,47.54M,14.40M,9.164M,23.57M,,0.695M,,71.80M,0.00,,0.845M,8.988M,3.556M,,,13.39M,-8.237M,5.152M,12.53M,5.668M,18.20M,4.895M,1.074M,29.32M,101.12M,,0.459M,,0.459M,11.50M,11.96M,,,,19.80M,19.80M,,,31.76M,,,,,,,,,31.76M,,0.166M,46.74M,37.59M,15.13M,,,69.36M,,,
2000-09,,11.44M,39.17M,50.60M,,,10.36M,,,3.637M,64.60M,,,,,,,,12.17M,-6.891M,5.281M,,19.24M,19.24M,,5.622M,30.14M,94.75M,,0.237M,,0.237M,,0.237M,,,,,,,22.86M,23.09M,,,,,,,,,23.09M,,0.166M,42.28M,37.28M,8.074M,,,71.66M,,,
2000-06,,23.87M,34.71M,58.58M,,,9.51M,,,3.605M,71.69M,,,,,,,,11.28M,-6.891M,4.39M,,1.927M,1.927M,,7.332M,13.65M,85.34M,,0.089M,,0.089M,,0.089M,,,,,,,19.57M,19.66M,,,,,,,,,19.66M,,0.166M,39.01M,37.46M,10.95M,,,65.68M,,,
2000-03,,13.06M,50.29M,63.35M,,,9.531M,,,2.945M,75.83M,,,,,,,,10.56M,-6.891M,3.666M,,1.933M,1.933M,,7.203M,12.80M,88.63M,,0.295M,,0.295M,,0.295M,,,,,,,20.53M,20.82M,,,,,,,,,20.82M,,0.166M,34.92M,37.45M,4.723M,,,67.81M,,,
1999-12,,57.13M,,57.13M,10.52M,,10.52M,,,3.265M,70.92M,,,,,,,,10.42M,-6.891M,3.529M,,1.946M,1.946M,,7.501M,12.98M,83.89M,,0.222M,,0.222M,,0.222M,,,,,,,18.04M,18.26M,,,,,,,,,18.26M,,0.166M,30.43M,37.54M,2.375M,,-0.13M,65.63M,,,
1999-09,,6.70M,48.20M,54.90M,,,7.80M,,,3.10M,65.80M,,,,,,,,8.90M,-5.10M,3.80M,,2.10M,2.10M,,7.60M,13.50M,79.30M,,0.10M,,0.10M,,0.10M,,,,,,,15.40M,15.50M,,,,,,,,0.10M,15.60M,,0.20M,26.30M,37.40M,,,-0.10M,63.70M,,,
1999-06,,17.70M,,17.70M,,,8.20M,,,37.40M,63.30M,,,,,,,,9.00M,-5.10M,3.90M,,2.10M,2.10M,,7.80M,13.80M,77.10M,,0.10M,,0.10M,,0.10M,,,,,,,16.90M,17.00M,,,,,,,,,17.00M,,,22.90M,,,,,60.10M,,,
1999-03,,8.00M,,8.00M,,,8.30M,,,42.60M,58.90M,,,,,,,,9.10M,-5.10M,4.00M,,2.20M,2.20M,,8.20M,14.40M,73.30M,,0.60M,,0.60M,,0.60M,,,,,,,16.40M,17.00M,,,,,,,,0.10M,17.10M,,,19.40M,,,,,56.20M,,,
1998-12,,6.60M,,6.60M,,,8.90M,,,38.20M,53.70M,,,,,,,,8.80M,-5.10M,3.70M,,2.30M,2.30M,,8.30M,14.30M,68.00M,,0.20M,,0.20M,,0.20M,,,,,,,15.40M,15.60M,,,,,,,,,15.60M,,0.20M,15.70M,36.70M,,,-0.20M,52.40M,,,
1998-09,,4.80M,,4.80M,,,7.30M,,,36.20M,48.30M,,,,,,,,7.00M,-3.10M,3.90M,,2.50M,2.50M,,8.70M,15.10M,63.40M,,0.20M,,0.20M,,0.20M,,,,,,,14.20M,14.40M,,,,,,,,,14.40M,,,12.50M,,,,,49.00M,,,
1998-06,,5.60M,,5.60M,,,6.10M,,,32.70M,44.40M,,,,,,,,7.40M,-3.10M,4.30M,,2.30M,2.30M,,9.00M,15.60M,60.00M,,0.20M,,0.20M,,0.20M,,,,,,,13.60M,13.80M,,,,,,,,,13.80M,,,9.80M,,,,,46.20M,,,
1998-03,,14.00M,,14.00M,,,6.90M,,,20.20M,41.10M,,,,,,,,7.50M,-3.10M,4.40M,,2.20M,2.20M,,9.50M,16.10M,57.20M,,0.30M,,0.30M,,0.30M,,,,,,,13.50M,13.80M,,,,,,,,,13.80M,,,7.10M,,,,,43.40M,,,
1997-12,,14.00M,,14.00M,,,8.00M,,,15.90M,37.90M,,,,,,,,7.90M,-3.10M,4.80M,,2.60M,2.60M,,9.30M,16.70M,54.60M,,0.20M,,0.20M,,0.20M,,,,,,,14.00M,14.20M,,,,,,,,,14.20M,,,4.30M,,,,,40.40M,,,
1997-09,,14.50M,,14.50M,,,6.60M,,,12.50M,33.60M,,,,,,,,7.30M,-2.20M,5.10M,,1.50M,1.50M,,9.90M,16.50M,50.10M,,0.20M,,0.20M,,0.20M,,,,,,,12.10M,12.30M,,,,,,,,,12.30M,,,1.60M,,,,,37.80M,,,
1997-06,,18.00M,,18.00M,,,6.90M,,,6.10M,31.00M,,,,,,,,,,5.20M,,1.60M,1.60M,,9.90M,16.70M,47.70M,,0.40M,,0.40M,,0.40M,,,,,,,11.40M,11.80M,,,,,,,,,11.80M,,,-0.10M,,,,,35.90M,,,
1997-03,,19.90M,,19.90M,,,6.80M,,,1.00M,27.70M,,,,,,,,,,5.10M,,,,,11.80M,16.90M,44.60M,,0.10M,,0.10M,,0.10M,,,,,,,10.70M,10.80M,,,,,,,,,10.80M,,,-2.40M,,,,,33.80M,,,
1996-12,,17.10M,,17.10M,,,7.30M,,,0.70M,25.10M,,,,,,,,6.50M,-2.20M,4.30M,,2.20M,2.20M,,11.80M,18.30M,43.40M,,0.50M,,0.50M,,0.50M,,,,,,,10.00M,10.50M,,,,,,,,-0.10M,10.40M,,,-3.10M,,,,,33.00M,,,
1996-09,,9.30M,,9.30M,,,11.80M,,,0.80M,21.90M,,,,,,,,4.60M,-0.90M,3.70M,,4.10M,4.10M,,12.30M,20.10M,42.00M,,0.10M,,0.10M,,0.10M,,,,,,,9.60M,9.70M,,,,,,,,,9.70M,,,-3.90M,,,,,32.30M,,,
1996-06,,8.70M,,8.70M,,,8.10M,,,4.00M,20.80M,,,,,,,,4.00M,-0.90M,3.10M,,5.40M,5.40M,,12.00M,20.50M,41.30M,,0.10M,,0.10M,,0.10M,,,,,,,10.60M,10.70M,,,,,,,,-0.10M,10.60M,,,-5.00M,,,,,30.70M,,,
