,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2002-09,,428.26M,,428.26M,182.30M,2.585B,2.767B,3.500B,,,,,,,789.73M,,,,28.10B,1.595B,26.51B,4.290B,33.41B,36.91B,214.22M,214.22M,214.22M,6.639B,6.639B,6.639B,6.853B,5.561B,,5.561B,16.89B,,22.45B,32.57B,2.227M,2.733B,1.637B,34.95M,,,,-1.733M,4.336B
2002-06,,693.22M,,693.22M,151.83M,2.418B,2.570B,3.695B,,,,,,,808.97M,,,,24.97B,1.237B,23.73B,4.538B,30.14B,33.83B,235.11M,235.11M,235.11M,4.591B,4.591B,4.591B,4.826B,6.070B,,6.070B,16.01B,,22.08B,29.82B,2.222M,2.480B,1.600B,34.95M,,,,-34.22M,4.014B
2002-03,,455.80M,,455.80M,148.55M,2.218B,2.367B,2.836B,,,,,,,789.57M,,,,24.43B,990.00M,23.44B,3.175B,28.43B,31.26B,173.66M,173.66M,173.66M,4.879B,4.879B,4.879B,5.053B,5.423B,,5.423B,14.63B,,20.06B,27.59B,2.214M,2.273B,1.532B,34.95M,,,,-92.71M,3.680B
2001-12,,687.44M,,687.44M,105.46M,2.453B,2.558B,3.265B,,,,,,,759.68M,,,,20.92B,840.00M,20.08B,3.116B,24.92B,28.18B,188.16M,188.16M,188.16M,3.996B,3.996B,3.996B,4.184B,5.335B,,5.335B,12.84B,,18.17B,24.86B,2.177M,2.091B,1.350B,34.97M,,,,-84.60M,3.323B
2001-09,,166.98M,,166.98M,108.87M,1.949B,2.058B,2.591B,,,,,,,740.14M,,,,17.48B,727.00M,16.75B,2.708B,20.92B,23.51B,148.93M,148.93M,148.93M,1.810B,1.810B,1.810B,1.959B,5.462B,,5.462B,11.08B,,16.54B,20.53B,2.121M,1.873B,1.154B,45.56M,,,,,2.983B
2001-06,,196.97M,,196.97M,79.09M,1.708B,1.787B,2.024B,,,,,,,729.52M,,,,16.33B,647.00M,15.68B,2.555B,19.64B,21.66B,151.43M,151.43M,151.43M,2.321B,2.321B,2.321B,2.472B,4.757B,,4.757B,10.03B,,14.79B,18.92B,2.118M,1.759B,1.090B,45.63M,,,,-63.62M,2.742B
2001-03,,542.23M,,542.23M,108.94M,1.493B,1.602B,2.392B,,,,,,,709.21M,,,,15.57B,597.00M,14.97B,2.112B,18.41B,20.80B,135.86M,135.86M,135.86M,1.846B,1.846B,1.846B,1.981B,5.041B,,5.041B,9.391B,,14.43B,18.35B,2.086M,1.609B,974.50M,47.20M,,,,-89.41M,2.449B
2000-12,,176.11M,,176.11M,82.68M,1.144B,1.227B,1.463B,,,,,,,664.46M,,,,15.11B,527.00M,14.59B,1.697B,17.43B,18.89B,122.66M,122.66M,122.66M,2.926B,2.926B,2.926B,3.049B,4.051B,,4.051B,8.379B,,12.43B,16.93B,1.997M,1.471B,575.18M,88.69M,,,,2.918M,1.963B
2000-09,,209.78M,,209.78M,93.82M,1.403B,1.497B,1.720B,,,,,,,560.97M,,,,12.33B,457.00M,11.87B,1.652B,14.66B,16.38B,109.84M,109.84M,109.84M,2.821B,2.821B,2.821B,2.930B,4.119B,,4.119B,6.324B,,10.44B,14.60B,1.997M,1.348B,559.60M,108.95M,,,,-25.34M,1.775B
2000-06,,179.22M,,179.22M,51.80M,1.302B,1.354B,1.543B,,,,,,,545.26M,,,,11.38B,407.00M,10.98B,1.508B,13.58B,15.13B,96.49M,96.49M,96.49M,2.773B,2.773B,2.773B,2.870B,4.176B,,4.176B,5.289B,,9.465B,13.48B,1.997M,1.231B,578.92M,132.71M,,,,-33.82M,1.646B
2000-03,,198.58M,,198.58M,81.97M,666.97M,748.94M,947.51M,,,,,,,501.24M,,,,9.449B,372.00M,9.077B,1.519B,11.58B,12.53B,88.44M,88.44M,88.44M,1.956B,1.956B,1.956B,2.044B,3.819B,,3.819B,4.096B,,7.915B,10.97B,1.997M,1.124B,598.01M,140.95M,,,,-31.80M,1.551B
1999-12,,246.50M,,246.50M,64.60M,661.90M,726.50M,973.00M,,,,,,,470.70M,,,,9.914B,342.00M,9.572B,1.856B,12.36B,13.34B,116.40M,116.40M,116.40M,3.083B,3.083B,3.083B,3.200B,3.878B,,3.878B,3.784B,,7.661B,11.82B,2.00M,1.022B,613.60M,91.00M,,,,-31.30M,1.516B
1999-09,,113.40M,,113.40M,65.40M,615.00M,680.40M,793.80M,,,,,,,429.50M,,,,8.286B,306.00M,7.980B,1.709B,10.58B,11.37B,87.70M,87.70M,87.70M,1.017B,1.017B,1.017B,1.105B,4.426B,,4.426B,3.576B,,8.003B,9.936B,,929.60M,,,,,,,1.437B
1999-06,,98.20M,,98.20M,60.90M,886.70M,947.60M,1.046B,,,,,,,347.20M,,,,7.427B,266.00M,7.161B,1.615B,9.535B,10.58B,101.20M,101.20M,101.20M,1.356B,1.356B,1.356B,1.458B,4.638B,,4.638B,2.415B,,7.053B,9.178B,,839.40M,,,,,,,1.403B
1999-03,,47.30M,,47.30M,66.20M,637.60M,703.80M,751.10M,,,,,,,283.20M,,,,7.246B,251.00M,6.995B,1.770B,9.400B,10.15B,87.50M,87.50M,87.50M,1.171B,1.171B,1.171B,1.259B,4.708B,,4.708B,2.204B,,6.912B,8.832B,,757.10M,,,,,,,1.319B
1998-12,,300.20M,,300.20M,52.90M,833.10M,886.00M,1.186B,,,,,,,242.10M,,,,6.157B,231.00M,5.926B,1.797B,8.233B,9.419B,91.60M,91.60M,91.60M,1.644B,1.644B,1.644B,1.736B,3.837B,,3.837B,2.00B,,5.837B,8.149B,,679.80M,,,,,,,1.270B
1998-09,,413.00M,,413.00M,49.90M,921.60M,971.50M,1.384B,,,,,,,228.60M,,,,5.667B,231.00M,5.436B,1.297B,7.196B,8.581B,80.40M,80.40M,80.40M,1.440B,1.440B,1.440B,1.520B,3.729B,,3.729B,1.598B,97.90M,5.328B,7.314B,,612.30M,,,,,,,1.169B
1998-06,,39.40M,,39.40M,45.90M,,45.90M,85.30M,,,,,,,188.70M,,,,5.140B,213.00M,4.927B,1.431B,6.730B,7.651B,83.20M,83.20M,83.20M,959.50M,959.50M,959.50M,1.043B,3.809B,,3.809B,1.287B,97.80M,5.097B,6.484B,,547.50M,,,,,,,1.069B
