,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,280.32M,0.42M,-2.773M,119.10M,119.10M,,,,427.94M,,,,,,1.045B,,1.870B,-90.77M,-90.77M,921.26M,-496.54M,-5.321B,-4.988B,1.504B,,1.504B,,,26.62M,,,,,,-7.099M,,,2.586B,4.603B,-531.34M,4.071B,,1.504B,0.00,,,
2005-09,491.15M,0.994M,-3.282M,110.02M,110.02M,,,,419.16M,,,,,,-666.69M,,350.35M,-37.65M,-37.65M,0.00,-15.03M,-599.66M,-652.33M,1.920B,,1.920B,,,143.03M,,,,,,-7.082M,,,2.318B,2.586B,2.017B,4.603B,,1.419B,501.39M,,,
2005-06,531.12M,0.136M,5.962M,106.66M,106.66M,,,,323.93M,,,,,,643.27M,,1.611B,-30.41M,-30.41M,-470.69M,49.66M,-530.66M,-982.10M,-748.39M,,-748.39M,,,794.38M,,,,,,-6.717M,,,736.94M,1.220B,1.366B,2.586B,,613.07M,-1.361B,,,
2005-03,506.56M,5.267M,5.267M,89.86M,89.86M,,,,285.38M,,,,,,-1.054B,,-167.32M,-0.995M,-0.995M,,-307.07M,11.83M,-296.24M,-16.37M,,-16.37M,,,78.41M,,,,,,-6.606M,,,272.65M,1.411B,-190.90M,1.220B,,648.97M,-665.34M,,,
2004-12,195.13M,-0.074M,-0.206M,91.47M,91.47M,,,,516.00M,,,,,,955.59M,,1.758B,-75.41M,-75.41M,,188.80M,-3.422B,-3.309B,1.046B,,1.046B,,,184.20M,,,,,,-6.639M,,,1.519B,1.443B,-31.66M,1.411B,,1.146B,-100.59M,,,
2004-09,490.16M,2.182M,-9.336M,92.98M,92.98M,,,,316.25M,,,,,,-888.90M,,1.15M,-14.44M,-14.44M,,-418.90M,-909.16M,-1.343B,-159.82M,,-159.82M,,,54.62M,,,,,,-6.301M,,,1.064B,1.720B,-277.29M,1.443B,,605.23M,-765.05M,,,
2004-06,407.39M,20.77M,9.667M,101.12M,101.12M,,,,310.64M,,,,,,215.58M,,1.044B,-60.83M,-60.83M,,-84.33M,-1.694B,-1.839B,129.59M,,129.59M,,,54.18M,,,,,,-6.34M,,,745.33M,1.769B,-49.09M,1.720B,,129.59M,0.00,,,
2004-03,450.81M,0.173M,-13.13M,96.28M,96.28M,,,,274.91M,,,,,,876.91M,,1.686B,-58.30M,-58.30M,,-3.237B,-662.87M,-3.958B,662.20M,,662.20M,,,210.68M,,,,,,-6.338M,,,2.061B,1.980B,-211.03M,1.769B,,957.20M,-295.00M,,,
2003-12,263.68M,18.34M,-101.84M,100.89M,100.89M,,,,407.49M,,,,,,571.85M,,1.242B,-69.14M,-69.14M,,-488.81M,-2.487B,-3.045B,1.922B,-976.25M,946.00M,,,61.15M,,,,,,-6.164M,,,2.481B,1.303B,677.64M,1.980B,,2.047B,-125.00M,,,
2003-09,277.53M,0.585M,93.64M,96.96M,96.96M,,,,399.80M,,,,,,-1.025B,,-157.11M,-65.14M,-65.14M,,-31.44M,-4.254B,-4.350B,347.26M,1.104B,1.451B,,,54.57M,,,,,,-6.057M,,,2.614B,3.196B,-1.893B,1.303B,,603.51M,-256.25M,,,
2003-06,285.52M,0.141M,-34.98M,93.25M,93.25M,,,,397.94M,,,,,,-623.35M,,118.38M,-56.71M,-56.71M,,-562.85M,381.64M,-237.92M,201.72M,325.26M,526.97M,,,21.41M,,,,,,-6.038M,,,1.875B,1.440B,1.755B,3.196B,,880.41M,-678.69M,,,
2003-03,309.10M,-9.705M,-13.89M,92.92M,92.92M,,,,385.58M,,,,,,50.80M,,824.51M,-61.41M,-61.41M,,-403.94M,-755.74M,-1.221B,211.74M,-453.04M,-241.30M,,,2.099M,,,,,,-6.023M,,,918.20M,918.78M,521.61M,1.440B,,211.74M,,,,
2002-12,239.68M,-77.52M,-132.70M,219.55M,219.55M,,,,598.48M,,,,,,-494.49M,,430.51M,-45.69M,-45.69M,,-272.07M,-149.94M,-467.70M,-725.08M,-273.55M,-998.62M,,,62.02M,,,,,,-5.96M,,,222.92M,733.04M,185.74M,918.78M,,-725.08M,0.00,,,
2002-09,258.84M,10.86M,10.86M,53.67M,53.67M,,,,640.78M,,,,,,-669.96M,,294.17M,-50.37M,-50.37M,,393.07M,-3.466B,-3.124B,-486.45M,2.048B,1.561B,,,10.70M,,,,,,-5.967M,,,2.437B,1.125B,-392.30M,733.04M,,0.00,-486.45M,,,
2002-06,213.12M,-10.86M,-10.86M,16.87M,16.87M,,,,590.61M,,,,,,244.03M,,1.054B,-86.22M,-86.22M,,-1.194B,-884.97M,-2.166B,658.73M,-288.78M,369.95M,,,23.41M,,,,,,-5.803M,,,1.768B,469.06M,656.28M,1.125B,,725.08M,-66.34M,,,
2002-03,188.02M,,,93.44M,93.44M,,,,347.21M,,,,,,99.90M,,728.57M,-93.16M,-93.16M,,-89.21M,-3.714B,-3.896B,86.74M,883.84M,970.58M,,,169.84M,,,,,,-5.727M,,,2.930B,707.24M,-238.18M,469.06M,,300.00M,-213.26M,,,
2001-12,177.68M,,,95.95M,95.95M,,,,327.92M,,,,,,-179.91M,,408.15M,-79.74M,-79.74M,,-476.06M,-2.970B,-3.526B,-129.89M,1.631B,1.501B,,,33.64M,,,,,,-5.796M,,,3.292B,532.63M,174.61M,707.24M,,-1.906M,-127.98M,,,
2001-09,165.34M,,,160.15M,160.15M,,,,327.30M,,,,,,31.32M,,684.12M,-125.11M,-125.11M,,-89.88M,-1.419B,-1.634B,704.54M,-510.64M,193.90M,,,11.23M,,,,,,-5.557M,,,1.245B,236.74M,295.89M,532.63M,,747.74M,-43.20M,,,
2001-06,155.33M,,,5.347M,5.347M,,,,202.90M,,,,,,-409.39M,,-45.82M,-22.21M,-22.21M,,-458.44M,-908.27M,-1.389B,-283.24M,475.22M,191.98M,,,55.88M,,,,,,-5.499M,,,881.58M,789.91M,-553.17M,236.74M,,0.87M,-284.11M,,,
2001-03,143.61M,,,76.12M,76.12M,,,,251.20M,,,,,,-132.50M,,338.43M,-99.53M,-99.53M,,-392.28M,-648.42M,-1.140B,989.51M,-1.080B,-90.98M,,,439.94M,,,,,,-5.458M,,,1.355B,236.71M,553.20M,789.91M,,1.241B,-251.62M,,,
2000-12,128.28M,,,70.25M,70.25M,,,,344.42M,,,,,,637.13M,,1.180B,-155.56M,-155.56M,,-20.99M,-3.062B,-3.238B,-68.90M,105.34M,36.44M,,,-14.02M,,,,,,-5.252M,,,2.072B,222.47M,14.24M,236.71M,,0.00,-68.90M,,,
2000-09,122.12M,,,118.73M,118.73M,,,,203.80M,,,,,,-84.58M,,360.07M,-103.38M,-103.38M,,-129.90M,-1.107B,-1.340B,-57.75M,47.29M,-10.46M,,,-6.258M,,,,,,-5.235M,,,1.013B,189.22M,33.24M,222.47M,,0.00,-57.75M,,,
2000-06,112.52M,,,2.409M,2.409M,,,,153.55M,,,,,,-548.56M,,-280.08M,-45.44M,-45.44M,,17.64M,-2.050B,-2.077B,357.30M,817.07M,1.174B,,,-13.68M,,,,,,-5.155M,,,2.348B,198.58M,-9.35M,189.22M,,994.18M,-636.87M,,,
2000-03,106.71M,,,53.43M,53.43M,,,,129.07M,,,,,,-11.49M,,277.72M,-69.64M,-69.64M,,330.77M,360.58M,621.71M,-361.77M,-824.49M,-1.186B,,,-68.35M,,,,,,-5.182M,,,-947.36M,246.50M,-47.92M,198.58M,,,-361.77M,,,
1999-12,97.88M,,,50.10M,50.10M,,,,122.12M,,,,,,116.80M,,386.90M,-77.50M,-77.50M,,-1.875B,-3.50M,-1.956B,-147.80M,1.665B,1.518B,,,-17.60M,,,,,,-5.20M,,,1.702B,113.40M,133.00M,246.50M,,0.00,-147.80M,,,
1999-09,95.32M,,,46.20M,46.20M,,,,114.88M,,,,,,316.80M,,573.20M,-115.80M,-115.80M,,1.618B,-2.654B,-1.151B,-211.80M,-339.50M,-551.30M,,,-11.60M,,,,,,-5.20M,,0.20M,593.50M,98.20M,15.30M,113.40M,,333.00M,-544.80M,,,
1999-06,87.50M,,,40.40M,40.40M,,,,99.40M,,,,,,-279.60M,,-52.30M,-92.10M,-92.10M,,135.50M,-246.30M,-202.90M,-70.40M,184.90M,114.50M,,,-14.00M,,,,,,-5.10M,,-0.20M,306.00M,47.30M,50.90M,98.20M,,224.60M,-295.00M,,,
1999-03,82.40M,,,35.90M,35.90M,,,,95.80M,,,,,,150.40M,,364.50M,-65.60M,-65.60M,,12.20M,-1.149B,-1.202B,870.50M,-472.80M,397.70M,,,-11.80M,,,,,,-5.20M,,,584.90M,300.20M,-252.90M,47.30M,,895.50M,-25.00M,,,
1998-12,72.60M,,,38.40M,38.40M,,,,61.60M,,,,,,219.10M,,391.70M,-34.50M,-34.50M,,-510.20M,-549.20M,-1.094B,10.00M,204.60M,214.60M,,,-21.50M,,,,,,-5.10M,,-0.10M,589.50M,0.00,-112.80M,0.00,,65.00M,-55.00M,,,
1998-09,70.00M,,,34.20M,34.20M,,,,74.30M,,,,,,71.90M,,250.40M,-57.00M,-57.00M,,157.80M,-517.20M,-416.40M,-80.30M,367.30M,287.00M,,,-53.20M,,,,,,-5.20M,,0.00,539.60M,0.00,373.50M,0.00,,249.20M,-329.50M,,,
1998-06,66.90M,,,19.30M,19.30M,,,,83.00M,,,,,,-259.00M,,-89.80M,-42.70M,-42.70M,,84.70M,-451.20M,-409.20M,44.40M,235.90M,280.30M,,,-5.40M,,,,,,-5.10M,,0.00,396.30M,0.00,-102.60M,0.00,,504.40M,-460.00M,,,
