,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-03,2.351B,2.351B,679.00M,1.672B,,,58.00M,,,,62.00M,78.00M,,,,,715.00M,957.00M,,,,62.00M,,913.00M,350.00M,563.00M,,,,2.00M,563.00M,524.77M,1.536B,579.00M,957.00M,,1.17,0.00,,1.090,1.17,,1.14,0.00,,1.063,1.14,,480.00M,496.00M,0.075,,,
2004-12,2.362B,2.362B,1.659B,703.00M,,,-910.00M,,,,-75.00M,73.00M,,,,,-308.00M,1.011B,,,,-75.00M,,911.00M,243.00M,668.00M,,,,3.00M,673.00M,722.99M,1.544B,533.00M,1.011B,,1.37,0.01,,1.484,1.38,,1.33,0.01,,1.440,1.34,,482.00M,502.00M,0.05,,,
2004-09,2.267B,2.267B,323.00M,1.944B,,,389.00M,,,,-9.00M,48.00M,,,,,1.009B,935.00M,,,,-9.00M,,817.00M,300.00M,517.00M,,,,2.00M,517.00M,522.70M,1.507B,571.00M,935.00M,,1.06,0.00,,1.072,1.06,,1.03,0.00,,1.041,1.03,,485.00M,500.00M,0.05,,,
2004-06,2.219B,2.219B,306.00M,1.913B,,,379.00M,,,,-5.00M,71.00M,,,,,1.002B,911.00M,,,,-5.00M,,772.00M,270.00M,502.00M,,,,3.00M,502.00M,505.25M,1.463B,549.00M,911.00M,,1.04,0.00,,1.047,1.04,,1.01,0.00,,1.017,1.01,,482.00M,498.00M,0.05,,,
2004-03,2.238B,2.238B,310.00M,1.928B,,,409.00M,,,,9.00M,62.00M,,,,,1.043B,885.00M,,,,9.00M,,776.00M,282.00M,494.00M,,,,2.00M,494.00M,488.27M,1.457B,572.00M,885.00M,,1.03,0.00,,1.018,1.03,,1.00,0.00,,0.9884,1.00,,478.00M,493.00M,0.05,,,
2003-12,1.92B,1.92B,303.00M,1.617B,,,359.00M,,,,-75.00M,52.00M,,,,,974.00M,643.00M,,,,-75.00M,,418.00M,-125.00M,543.00M,,0.00,,3.00M,543.00M,588.00M,1.205B,562.00M,643.00M,,1.145,0.03,0.00,1.241,1.175,,1.125,0.03,-0.0016,1.219,1.16,,468.00M,478.00M,0.025,,,
2003-09,1.948B,1.948B,295.00M,1.653B,,,347.00M,,,,-16.00M,54.00M,,,,,909.00M,744.00M,,,,-16.00M,,618.00M,206.00M,412.00M,,,,2.00M,412.00M,422.67M,1.252B,508.00M,744.00M,,0.88,0.00,,0.9030,0.88,,0.855,0.00,,0.8771,0.855,,464.00M,482.00M,0.025,,,
2003-06,1.813B,1.813B,274.00M,1.539B,,,370.00M,,,,19.00M,51.00M,,,,,848.00M,691.00M,,,,19.00M,,589.00M,233.00M,356.00M,,,,3.00M,356.00M,344.52M,1.118B,427.00M,691.00M,,0.835,0.00,,0.8079,0.835,,0.81,0.00,,0.7840,0.81,,424.00M,442.00M,0.025,,,
2003-03,1.671B,1.671B,206.00M,1.465B,,,405.00M,,,,48.00M,47.00M,,,,22.00M,770.00M,695.00M,,,,48.00M,,620.00M,200.00M,420.00M,,16.00M,,2.00M,436.00M,387.48M,991.00M,296.00M,695.00M,,1.33,0.00,0.00,1.226,1.38,,1.285,0.00,0.0491,1.185,1.335,,314.00M,326.00M,0.025,,,
2002-12,1.233B,1.233B,192.00M,1.041B,,,317.00M,,,,-369.00M,31.00M,,,,,643.00M,398.00M,,,,-369.00M,,74.00M,-21.00M,95.00M,-11.00M,,,3.00M,84.00M,316.40M,693.00M,269.00M,398.00M,,0.30,-0.035,,1.001,0.265,,0.30,-0.035,,0.9833,0.265,,316.00M,324.00M,0.025,,,
2002-09,1.031B,1.031B,191.00M,840.00M,,,259.00M,,,,6.00M,25.00M,,,,,566.00M,274.00M,,,,6.00M,,150.00M,38.00M,112.00M,-48.00M,,,2.00M,64.00M,107.52M,582.00M,308.00M,274.00M,,0.35,-0.16,,0.3356,0.19,,0.34,-0.16,,0.3258,0.185,,312.00M,316.00M,0.025,,,
2002-06,1.149B,1.149B,200.00M,949.00M,,,276.00M,,,,-1.254B,33.00M,,,,,632.00M,317.00M,,,,-1.254B,,-434.00M,-228.00M,-206.00M,102.00M,,,3.00M,-104.00M,546.40M,640.00M,323.00M,317.00M,,-0.665,0.325,,1.731,-0.34,,-0.665,0.325,,1.643,-0.34,,314.00M,326.00M,0.025,,,
2002-03,903.00M,903.00M,192.00M,711.00M,,,175.00M,,,,-4.00M,22.00M,,,,-1.00M,507.00M,204.00M,,,,-4.00M,,76.00M,18.00M,58.00M,4.00M,,,2.00M,62.00M,61.05M,515.00M,311.00M,204.00M,,0.19,0.015,,0.2003,0.205,,0.185,0.015,,0.1952,0.20,,296.00M,300.00M,0.025,,,
2001-12,663.00M,663.00M,176.00M,487.00M,,,52.00M,287.00M,9.00M,,-1.762B,22.00M,,,,,370.00M,117.00M,,,,-1.762B,,-855.00M,-350.00M,-505.00M,-13.00M,0.00,,3.00M,-518.00M,552.20M,413.00M,278.00M,117.00M,,-1.985,-0.05,0.00,2.171,-2.03,,-1.985,-0.05,0.0004,2.171,-2.03,,254.36M,254.36M,0.025,,,
2001-09,536.00M,536.00M,127.00M,409.00M,,,31.00M,195.00M,8.00M,,-13.00M,21.00M,,,,,255.00M,154.00M,,,,-13.00M,,115.00M,45.00M,70.00M,15.00M,,,2.00M,85.00M,77.91M,357.00M,198.46M,154.00M,,0.265,0.06,,0.2963,0.325,,0.265,0.055,,0.2951,0.32,,252.67M,263.15M,0.025,,,
2001-06,725.16M,725.16M,133.87M,591.29M,,,24.63M,184.70M,8.461M,,-146.42M,29.55M,,,,,247.34M,343.95M,,,,-146.42M,,240.06M,103.67M,136.39M,,,,2.434M,136.39M,224.24M,539.49M,195.54M,343.95M,,0.515,0.00,,0.8542,0.515,,0.4947,0.00,,0.8191,0.4947,,258.98M,270.81M,0.025,,,
2001-03,1.031B,1.031B,140.00M,891.00M,,,38.00M,183.00M,8.00M,,-6.00M,45.00M,,,,,274.00M,617.00M,,,,-6.00M,,577.00M,226.00M,351.00M,,49.00M,,2.00M,400.00M,354.65M,810.00M,193.00M,617.00M,,1.35,0.19,0.00,1.364,1.54,,1.295,0.185,0.1810,1.308,1.48,,258.06M,270.72M,0.025,,,
2000-12,652.96M,652.96M,75.64M,577.32M,,,49.82M,154.35M,9.943M,,90.87M,33.36M,,,,,247.47M,329.85M,,,,90.87M,,332.89M,95.32M,237.57M,,,,2.699M,306.57M,172.71M,494.14M,163.65M,329.85M,,0.93,0.265,,0.6743,1.195,,0.885,0.265,,0.6468,1.15,,253.61M,272.23M,0.025,,,
2000-09,725.14M,725.14M,122.81M,602.33M,,,25.30M,170.15M,10.36M,,-114.47M,27.77M,,,,,233.59M,368.74M,,,,-114.47M,,271.06M,106.15M,164.91M,,,,2.433M,164.91M,234.55M,551.84M,183.10M,368.74M,,0.635,0.00,,0.9073,0.635,,0.61,0.00,,0.8691,0.61,,255.71M,268.79M,0.025,,,
2000-06,648.48M,648.48M,124.03M,524.45M,,,24.02M,172.25M,10.36M,,,22.47M,,,,,229.11M,295.34M,,,,,,254.47M,101.14M,153.33M,,,,2.434M,153.33M,153.33M,533.73M,238.39M,295.34M,,0.595,0.00,,0.595,0.595,,0.585,0.00,,0.585,0.585,,253.99M,258.91M,0.025,,,
2000-03,560.42M,560.42M,118.52M,441.90M,,,24.85M,165.25M,10.33M,,-2.408M,19.40M,,,,,219.83M,222.06M,,,,-2.408M,,179.58M,74.39M,105.19M,,,,2.434M,105.19M,106.63M,397.65M,117.86M,222.06M,,0.405,0.00,,0.4134,0.405,,0.40,0.00,,0.4083,0.40,,172.42M,174.07M,0.025,,,
1999-12,528.67M,528.67M,133.33M,395.34M,,,27.19M,,,,-7.876M,19.63M,,,,,214.02M,181.31M,,,,-7.876M,,128.06M,53.20M,74.86M,,,0.288M,2.783M,79.06M,79.58M,348.52M,167.20M,181.31M,,0.53,0.005,,0.5489,0.535,,0.53,0.005,,0.5485,0.535,,250.45M,255.44M,0.025,,,
1999-09,376.55M,376.55M,82.85M,293.70M,,,26.04M,,,,0.33M,13.15M,,,,,175.17M,118.54M,,,,0.33M,,82.08M,31.23M,50.85M,,,-2.429M,1.217M,50.85M,50.65M,305.04M,186.50M,118.54M,,0.25,0.00,,0.2490,0.25,,0.24,0.00,,0.2390,0.24,,198.36M,211.19M,0.025,,,
1999-06,104.30M,104.30M,27.10M,77.20M,,,7.00M,,,,5.60M,3.40M,,,,,46.20M,31.00M,,,,5.60M,,27.10M,10.90M,16.20M,,,-2.40M,,16.20M,12.84M,66.80M,35.70M,31.00M,,0.165,0.00,,0.1308,0.165,,0.165,0.00,,0.1308,0.165,,98.18M,98.18M,0.00,,,
1999-03,87.30M,87.30M,27.40M,59.90M,,,6.20M,,,,3.20M,3.00M,,,,,42.80M,17.10M,,,,3.20M,,11.20M,5.20M,6.00M,,,-2.40M,,6.00M,4.08M,50.70M,33.60M,17.10M,,0.06,0.00,,0.0402,0.06,,0.06,0.00,,0.0402,0.06,,96.94M,96.94M,0.025,,,
1998-12,408.10M,408.10M,163.90M,244.20M,,,27.80M,,,,-182.60M,14.10M,,,,,192.10M,52.10M,,,,-182.60M,,-286.90M,-107.80M,-179.10M,,,-2.40M,,-179.10M,-65.11M,202.30M,150.20M,52.10M,,-1.07,0.00,,0.6991,-1.07,,-1.07,0.00,,0.6991,-1.07,,64.43M,64.43M,0.025,,,
1998-09,92.90M,92.90M,28.10M,64.80M,,,5.90M,,,,-264.70M,3.60M,,,,,41.30M,23.50M,,,,-264.70M,,-119.80M,-36.60M,-83.20M,,,,,-83.20M,100.63M,55.30M,31.70M,23.50M,,-0.86,0.00,,1.980,-0.86,,-0.86,0.00,,1.980,-0.86,,64.73M,64.73M,0.025,,,
1998-06,104.80M,104.80M,28.30M,76.50M,,,6.10M,,,,-6.90M,3.90M,,,,,41.20M,35.30M,,,,-6.90M,,20.60M,8.40M,12.20M,,,-2.40M,,12.20M,16.34M,66.50M,31.20M,35.30M,,0.125,0.00,,0.1885,0.125,,0.125,0.00,,0.1885,0.125,,65.16M,65.16M,0.025,,,
1998-03,100.40M,100.40M,29.40M,71.00M,,,5.60M,,,,,3.40M,,,,,39.00M,32.00M,,,,,,24.10M,9.90M,14.20M,,,-2.40M,,14.20M,14.20M,62.00M,30.00M,32.00M,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,64.64M,64.64M,0.025,,,
1997-12,221.70M,221.70M,54.70M,167.00M,,,15.20M,,,,,6.00M,,,,,129.90M,37.10M,,,,,,-567.80M,-211.40M,-356.40M,,,,,-356.40M,-356.40M,145.80M,108.70M,37.10M,,-4.065,0.00,,-4.065,-4.065,,-4.065,0.00,,-4.065,-4.065,,64.46M,69.63M,0.025,,,
1997-09,72.90M,72.90M,15.80M,57.10M,,,3.00M,,,,,4.10M,,,,,27.30M,29.80M,,,,,,27.20M,10.90M,16.30M,,,,,16.30M,16.30M,50.10M,20.30M,29.80M,,0.255,0.00,,0.255,0.255,,0.235,0.00,,0.235,0.235,,63.92M,69.36M,0.025,,,
1997-06,69.70M,69.70M,14.50M,55.20M,,,3.60M,,,,,3.70M,,,,,27.90M,27.30M,,,,,,24.70M,9.90M,14.80M,,,,,14.80M,14.80M,47.90M,20.60M,27.30M,,0.23,0.00,,0.23,0.23,,0.22,0.00,,0.22,0.22,,64.35M,67.27M,0.025,,,
1997-03,87.90M,87.90M,15.80M,72.10M,,,2.60M,,,,,5.30M,,,,,27.40M,44.70M,,,,,,42.00M,16.80M,25.20M,,,,,25.20M,25.20M,64.20M,19.50M,44.70M,,0.39,0.00,,0.39,0.39,,0.355,0.00,,0.355,0.355,,64.62M,70.99M,0.025,,,
1996-12,145.90M,145.90M,35.90M,110.00M,,,8.40M,,,,,3.80M,,,,,50.90M,59.10M,,,,,,83.60M,36.00M,47.60M,,,,,47.60M,47.60M,97.80M,38.70M,59.10M,,0.575,0.00,,0.575,0.575,,0.54,0.00,,0.54,0.54,,43.96M,43.96M,0.025,,,
1996-09,39.50M,39.50M,7.60M,31.90M,,,2.10M,,,,,2.60M,,,,,15.70M,16.20M,,,,,,13.50M,5.80M,7.70M,,,,,7.70M,7.70M,27.20M,11.00M,16.20M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,44.00M,44.00M,0.015,,,
1996-06,37.30M,37.30M,7.80M,29.50M,,,2.40M,,,,,2.30M,,,,,15.20M,14.30M,,,,,,11.90M,5.10M,6.80M,,,,,6.80M,6.80M,24.80M,10.50M,14.30M,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,43.87M,43.87M,0.015,,,
1996-03,34.00M,34.00M,7.40M,26.60M,,,2.10M,,,,,2.10M,,,,,14.30M,12.30M,,,,,,9.80M,4.20M,5.60M,,,,,5.60M,5.60M,22.40M,10.10M,12.30M,,0.125,0.00,,0.125,0.125,,0.125,0.00,,0.125,0.125,,44.80M,44.80M,0.015,,,
1995-12,30.10M,30.10M,2.00M,28.10M,,,2.10M,,,,,,,,,,18.50M,9.60M,,,,,,7.90M,3.50M,4.40M,,,,,4.40M,4.40M,19.20M,9.60M,9.60M,,0.10,0.00,,0.10,0.10,,0.095,0.00,,0.095,0.095,,44.02M,46.72M,0.015,,,
1995-09,33.80M,33.80M,8.80M,25.00M,,,1.90M,,,,,,,,,,11.40M,13.60M,,,,,,11.80M,5.20M,6.60M,,,,,6.60M,6.60M,23.10M,9.40M,13.60M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,44.00M,44.00M,0.015,,,
1995-06,25.70M,25.70M,8.10M,17.60M,,,2.10M,,,,,,,,,,11.70M,5.90M,,,,,,4.10M,1.70M,2.40M,,,,,2.40M,2.40M,15.50M,9.60M,5.90M,,0.055,0.00,,0.055,0.055,,0.055,0.00,,0.055,0.055,,43.64M,43.64M,0.015,,,
1995-03,23.80M,23.80M,8.40M,15.40M,,,2.30M,,,,,,,,,,11.80M,3.60M,,,,,,1.70M,0.70M,1.00M,,,,,1.00M,1.00M,13.10M,9.50M,3.60M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,40.00M,40.00M,0.015,,,
1994-12,23.80M,23.80M,8.00M,15.80M,,,2.30M,,,,,,,,,,10.90M,4.90M,,,,,,3.10M,1.40M,1.70M,,,,,1.70M,1.70M,13.50M,8.60M,4.90M,,0.04,0.00,,0.04,0.04,,0.035,0.00,,0.035,0.035,,42.68M,45.40M,0.015,,,
1994-09,25.30M,25.30M,8.30M,17.00M,,,1.80M,,,,,,,,,,11.00M,6.00M,,,,,,4.60M,1.50M,3.10M,,,,,3.10M,3.10M,15.20M,9.20M,6.00M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,44.29M,44.29M,0.015,,,
1994-06,25.50M,25.50M,7.60M,17.90M,,,2.20M,,,,,,,,,,10.40M,7.50M,,,,,,6.20M,2.10M,4.10M,,,,,4.10M,4.10M,15.70M,8.20M,7.50M,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,43.16M,43.16M,0.015,,,
1994-03,26.10M,26.10M,7.60M,18.50M,,,2.10M,,,,,,,,,,10.20M,8.30M,,,,,,7.40M,2.50M,4.90M,,,,,4.90M,4.90M,16.40M,8.10M,8.30M,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,42.61M,42.61M,0.015,,,
1993-12,26.50M,26.50M,7.90M,18.60M,,,2.10M,,,,,,,,,,9.70M,8.90M,,,,,,7.90M,1.70M,6.20M,,0.00,,,6.20M,6.20M,16.50M,7.60M,8.90M,,0.18,0.00,0.00,0.18,0.18,,0.18,0.00,0.0021,0.18,0.18,,31.52M,31.52M,0.015,,,
1993-09,23.50M,23.50M,7.90M,15.60M,,,1.60M,,,,,,,,,,9.00M,6.60M,,,,,,5.60M,1.80M,3.80M,,,,,3.80M,3.80M,14.00M,7.40M,6.60M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,42.22M,42.22M,0.015,,,
1993-06,24.60M,24.60M,8.80M,15.80M,,,2.00M,,,,0.30M,,,,,,8.10M,7.70M,,,,0.30M,,7.30M,2.10M,5.20M,,,,,5.20M,4.986M,13.80M,6.10M,7.70M,,0.125,0.00,,0.1199,0.125,,0.125,0.00,,0.1199,0.125,,41.60M,41.60M,0.015,,,
1993-03,23.80M,23.80M,8.70M,15.10M,,,1.80M,,,,0.10M,,,,,,9.10M,6.00M,,,,0.10M,,5.20M,1.30M,3.90M,,1.30M,,,5.20M,3.825M,13.30M,7.30M,6.00M,,0.095,0.03,0.00,0.0932,0.125,,0.095,0.03,0.0312,0.0932,0.125,,41.60M,41.60M,,,,
1992-12,28.30M,28.30M,8.80M,19.50M,,,2.10M,,,,-0.20M,,,,,,9.10M,10.40M,,,,-0.20M,,9.40M,2.10M,7.30M,,,,,7.30M,7.455M,17.40M,7.00M,10.40M,,0.23,0.00,,0.2351,0.23,,0.21,0.00,,0.2151,0.21,,30.42M,30.42M,,,,
1992-09,23.80M,23.80M,8.40M,15.40M,,,1.70M,,,,1.90M,,,,,,9.10M,6.30M,,,,1.90M,,7.20M,2.00M,5.20M,,,,,5.20M,3.828M,13.70M,7.40M,6.30M,,0.13,0.00,,0.0957,0.13,,0.125,0.00,,0.0920,0.125,,40.00M,41.60M,,,,
1992-06,9.20M,9.20M,2.80M,6.40M,,,1.30M,,,,0.20M,,,,,,4.30M,2.10M,,,,0.20M,,1.80M,0.50M,1.30M,,,,,1.30M,1.156M,5.20M,3.10M,2.10M,,0.04,0.00,,0.0356,0.04,,0.04,0.00,,0.0356,0.04,,32.50M,32.50M,,,,
1992-03,7.30M,7.30M,3.00M,4.30M,,,1.30M,,,,1.00M,,,,,,3.70M,0.60M,,,,1.00M,,1.10M,0.30M,0.80M,,,,,0.80M,0.0727M,3.00M,2.40M,0.60M,,0.015,0.00,,-0.0268,0.015,,0.015,0.00,,-0.0268,0.015,,17.39M,17.39M,,,,
1991-12,8.40M,8.40M,3.00M,5.40M,,,1.80M,,,,0.10M,,,,,,4.00M,1.40M,,,,0.10M,,1.10M,0.00,1.10M,,,,,1.10M,1.00M,3.60M,2.20M,1.40M,,0.03,0.00,,0.0255,0.03,,0.03,0.00,,0.0255,0.03,,22.43M,22.43M,,,,
1991-09,6.00M,6.00M,2.20M,3.80M,,,1.40M,,,,0.20M,,,,,,3.30M,0.50M,,,,0.20M,,,,0.10M,,,,,0.10M,-0.02M,2.40M,1.90M,0.50M,,-0.025,0.00,,-0.0324,-0.025,,-0.025,0.00,,-0.0324,-0.025,,16.20M,16.20M,,,,
1991-06,6.50M,6.50M,2.60M,3.90M,,,1.30M,,,,1.00M,,,,,,2.80M,1.10M,,,,1.00M,,,,1.60M,,,,,1.60M,1.00M,2.60M,1.50M,1.10M,,0.06,0.00,,0.0243,0.06,,0.06,0.00,,0.0243,0.06,,16.79M,16.79M,,,,
1991-03,7.60M,7.60M,2.80M,4.80M,,,26.30M,,,,0.40M,,,,,,28.50M,-23.70M,,,,0.40M,,-23.90M,-6.10M,-17.80M,,,,,-17.80M,-18.10M,-21.50M,2.20M,-23.70M,,-1.06,0.00,,-1.078,-1.06,,-1.06,0.00,,-1.078,-1.06,,16.79M,16.79M,,,,
1990-12,9.60M,9.60M,3.30M,6.30M,,,1.70M,,,,0.80M,,,,,,4.20M,2.10M,,,,0.80M,,2.40M,0.90M,1.50M,,,,,1.50M,1.00M,4.60M,2.50M,2.10M,,0.0864,,,0.0576,0.0864,,0.0864,,,0.0576,0.0864,,17.36M,17.36M,,,,
1990-09,7.60M,7.60M,3.00M,4.60M,,,1.00M,,,,0.40M,,,,,,3.10M,1.50M,,,,0.40M,,1.20M,0.40M,0.80M,,,,,0.80M,0.5333M,3.60M,2.10M,1.50M,,0.01,0.00,,-0.0054,0.01,,0.01,0.00,,-0.0054,0.01,,17.31M,17.31M,,,,
1990-06,5.50M,5.50M,2.50M,3.00M,,,1.00M,,,,0.20M,,,,,,2.60M,0.40M,,,,0.20M,,,,0.10M,,,,,0.10M,-0.02M,2.00M,1.60M,0.40M,,-0.03,0.00,,-0.0370,-0.03,,-0.03,0.00,,-0.0370,-0.03,,17.26M,17.26M,,,,
1990-03,6.80M,6.80M,3.10M,3.70M,,,1.20M,,,,,,,,,,3.00M,0.70M,,,,,,0.50M,0.20M,0.30M,,,,,0.30M,0.30M,2.50M,1.80M,0.70M,,-0.02,0.00,,-0.02,-0.02,,-0.02,0.00,,-0.02,-0.02,,17.26M,17.26M,,,,
1989-12,4.60M,4.60M,2.80M,1.80M,,,1.70M,,,,,,,,,,2.30M,-0.50M,,,,,,1.70M,0.60M,1.10M,,,,,1.10M,1.10M,0.10M,0.60M,-0.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,20.00M,20.00M,,,,
1989-09,7.00M,7.00M,3.10M,3.90M,,,1.30M,,,,,,,,,,3.40M,0.50M,,,,,,,,0.10M,,,,,0.10M,0.10M,2.60M,2.10M,0.50M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,20.00M,20.00M,,,,
1989-06,7.50M,7.50M,2.90M,4.60M,,,1.70M,,,,,,,,,,4.00M,0.60M,,,,,,-0.20M,-0.10M,-0.10M,,,,,-0.10M,-0.10M,2.90M,2.30M,0.60M,,-0.005,0.00,,-0.005,-0.005,,-0.005,0.00,,-0.005,-0.005,,20.00M,20.00M,,,,
1989-03,7.20M,7.20M,,,,,,,,,,,,,,,,7.20M,,,,,,,,-0.20M,,,,,-0.20M,,7.20M,,7.20M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,17.17M,17.17M,,,,
1988-12,5.90M,5.90M,,,,,,,,,,,,,,,,-13.80M,,,,,,,,0.00,,,,,0.00,,-13.80M,,-13.80M,,,,,,,,,,,,,,17.17M,17.17M,,,,
1988-09,4.60M,4.60M,,,,,,,,,,,,,,,,4.60M,,,,,,,,-0.50M,,,,,-0.50M,,4.60M,,4.60M,,-0.045,0.00,,-0.045,-0.045,,-0.045,0.00,,-0.045,-0.045,,17.17M,17.17M,,,,
1988-06,3.90M,3.90M,,,,,,,,,,,,,,,,3.90M,,,,,,,,,,,,,,,3.90M,,3.90M,,,,,,,,,,,,,,17.17M,17.17M,,,,
1988-03,3.90M,3.90M,,,,,,,,,,,,,,,,3.90M,,,,,,,,-0.10M,,,,,-0.10M,,3.90M,,3.90M,,,,,,,,,,,,,,17.17M,17.17M,,,,
1987-12,3.50M,3.50M,,,,,,,,,,,,,,,,-13.40M,,,,,,,,-0.30M,,,,,-0.30M,,-13.40M,,-13.40M,,,,,,,,,,,,,,12.33M,12.33M,,,,
1987-09,3.80M,3.80M,,,,,,,,,,,,,,,,3.80M,,,,,,,,-0.20M,,,,,-0.20M,,3.80M,,3.80M,,-0.015,0.00,,-0.015,-0.015,,-0.015,0.00,,-0.015,-0.015,,12.33M,12.33M,,,,
1987-06,4.00M,4.00M,,,,,,,,,,,,,,,,4.00M,,,,,,,,-0.30M,,,,,-0.30M,,4.00M,,4.00M,,-0.025,0.00,,-0.025,-0.025,,-0.025,0.00,,-0.025,-0.025,,12.33M,12.33M,,,,
1987-03,3.90M,3.90M,,,,,,,,,,,,,,,,3.90M,,,,,,,,-0.30M,,,,,-0.30M,,3.90M,,3.90M,,-0.02,0.00,,-0.02,-0.02,,-0.02,0.00,,-0.02,-0.02,,12.33M,12.33M,,,,
