,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2002-03,6.781B,6.781B,3.301B,3.48B,,1.072B,982.00M,111.00M,,-7.00M,,,,2.165B,1.315B,,,,-53.00M,,1.317B,381.00M,936.00M,936.00M,940.97M,1.315B,,2002-03,0.14,0.00,,2002-03,0.14,0.00,0.1407,2002-03,6.684B,6.861B,2002-03,,
2001-12,6.983B,6.983B,3.402B,3.581B,,1.071B,952.00M,550.00M,,-473.00M,,,,2.573B,1.008B,,,,-294.00M,,794.00M,290.00M,504.00M,504.00M,804.24M,1.008B,,2001-12,0.07,0.00,,2001-12,0.07,0.00,0.1128,2001-12,7.016B,7.016B,2001-12,,
2001-09,6.545B,6.545B,3.553B,2.992B,,1.064B,930.00M,609.00M,,-180.00M,,,,2.603B,389.00M,,,,-362.00M,,137.00M,31.00M,106.00M,106.00M,245.27M,389.00M,,2001-09,0.02,0.00,,2001-09,0.02,0.00,0.0403,2001-09,6.718B,6.876B,2001-09,,
2001-06,6.334B,6.334B,3.307B,3.027B,,1.174B,919.00M,594.00M,,-144.00M,,,,2.687B,340.00M,,,,-141.00M,,346.00M,150.00M,196.00M,196.00M,282.40M,340.00M,,2001-06,0.03,0.00,,2001-06,0.03,0.00,0.0425,2001-06,6.725B,6.889B,2001-06,,
2001-03,6.677B,6.677B,3.225B,3.452B,,1.155B,995.00M,585.00M,,-32.00M,,,,2.735B,717.00M,,,,-32.00M,,906.00M,421.00M,485.00M,485.00M,504.20M,717.00M,,2001-03,0.07,0.00,,2001-03,0.07,0.00,0.0728,2001-03,6.721B,6.899B,2001-03,,
2000-12,8.702B,8.702B,3.23B,5.472B,,1.421B,998.00M,459.00M,,-3.217B,,,,2.878B,2.594B,,,,542.00M,,3.375B,1.182B,2.193B,2.193B,4.283B,2.594B,,2000-12,0.33,0.00,,2000-12,0.32,0.00,0.6213,2000-12,6.729B,6.938B,2000-12,,
2000-09,8.731B,8.731B,3.148B,5.583B,,1.321B,977.00M,420.00M,,696.00M,,,,2.718B,2.865B,,,,696.00M,,3.823B,1.314B,2.509B,2.509B,2.052B,2.865B,,2000-09,0.37,0.00,,2000-09,0.36,0.00,0.2948,2000-09,6.719B,7.007B,2000-09,,
2000-06,8.30B,8.30B,3.283B,5.017B,,1.223B,971.00M,394.00M,,2.131B,,,,2.588B,2.429B,,,,2.131B,,4.749B,1.612B,3.137B,3.137B,1.729B,2.429B,,2000-06,0.47,0.00,,2000-06,0.45,0.00,0.2490,2000-06,6.71B,7.005B,2000-06,,
2000-03,7.993B,7.993B,2.989B,5.004B,,1.124B,951.00M,313.00M,,384.00M,,,,2.388B,2.616B,,,,384.00M,,3.194B,498.00M,2.696B,2.696B,2.372B,2.616B,,2000-03,0.40,0.00,,2000-03,0.39,0.00,0.3437,2000-03,6.682B,6.994B,2000-03,,
1999-12,8.212B,8.212B,3.176B,5.036B,,1.105B,877.00M,241.00M,,295.00M,,,,2.223B,2.813B,,,,295.00M,,3.262B,1.154B,2.108B,2.108B,1.917B,2.813B,,1999-12,0.31,0.00,,1999-12,0.30,0.00,0.2726,1999-12,6.675B,6.97B,1999-12,,
1999-09,7.328B,7.328B,3.026B,4.302B,,952.00M,840.00M,121.00M,,-161.00M,,,,1.913B,2.389B,,,,-161.00M,,2.372B,914.00M,1.458B,1.458B,1.557B,2.389B,,1999-09,0.22,0.00,,1999-09,0.21,0.00,0.2243,1999-09,6.65B,6.943B,1999-09,,
1999-06,6.746B,6.746B,2.74B,4.006B,,924.00M,731.00M,31.00M,,,,,,1.686B,2.32B,,,,,,2.61B,861.00M,1.749B,1.749B,1.749B,2.32B,,1999-06,0.26,0.00,,1999-06,0.26,0.00,0.26,1999-06,6.62B,6.892B,1999-06,,
1999-03,7.103B,7.103B,2.894B,4.209B,,891.00M,663.00M,18.00M,,,,,,1.572B,2.637B,,,,,,2.984B,985.00M,1.999B,1.999B,1.999B,2.637B,,1999-03,0.30,0.00,,1999-03,0.29,0.00,0.29,1999-03,6.648B,6.956B,1999-03,,
1998-12,7.614B,7.614B,3.16B,4.454B,,928.00M,674.00M,16.00M,,185.00M,,,,1.618B,2.836B,,,,185.00M,,3.08B,1.016B,2.064B,2.064B,1.940B,2.836B,,1998-12,0.31,0.00,,1998-12,0.295,0.00,0.2772,1998-12,6.654B,6.956B,1998-12,,
1998-09,6.731B,6.731B,3.176B,3.555B,,766.00M,617.00M,16.00M,,,,,,1.399B,2.156B,,,,,,2.326B,767.00M,1.559B,1.559B,1.559B,2.156B,,1998-09,0.24,0.00,,1998-09,0.23,0.00,0.23,1998-09,6.71B,7.01B,1998-09,,
1998-06,5.927B,5.927B,3.027B,2.90B,,671.00M,623.00M,,,,,,,1.294B,1.606B,,,,,,1.75B,578.00M,1.172B,1.172B,1.172B,1.606B,,1998-06,0.18,0.00,,1998-06,0.17,0.00,0.17,1998-06,6.764B,7.074B,1998-06,,
