,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,2.271B,,,,19.00M,1.108B,63.00M,1.171B,1.171B,-186.00M,,,,417.00M,294.00M,-44.00M,,22.00M,-339.00M,-51.00M,1.16B,4.734B,,2007-12,-1.273B,-1.273B,,-2.00M,-1.055B,168.00M,,2007-12,,,130.00M,806.00M,-1.501B,-695.00M,,-658.00M,,114.00M,,2007-12,5.844B,1.463B,7.307B,,2007-12,806.00M,,,-1.501B,,,2007-12,,
2007-09,1.791B,,,,-169.00M,1.098B,65.00M,1.163B,1.163B,-44.00M,,,,333.00M,-329.00M,582.00M,,157.00M,-489.00M,170.00M,757.00M,3.922B,,2007-09,-1.088B,-1.088B,,-42.00M,-1.115B,77.00M,,2007-09,,,-84.00M,884.00M,-787.00M,97.00M,,-658.00M,,26.00M,,2007-09,4.709B,1.135B,5.844B,,2007-09,884.00M,,,-787.00M,,,2007-09,,
2007-06,1.278B,,,,1.00M,1.153B,60.00M,1.213B,1.213B,-63.00M,,,,301.00M,334.00M,227.00M,,-94.00M,-400.00M,356.00M,-736.00M,2.417B,,2007-06,-1.278B,-1.278B,,,-1.126B,24.00M,,2007-06,,,82.00M,776.00M,-100.00M,676.00M,,-652.00M,,94.00M,,2007-06,4.472B,237.00M,4.709B,,2007-06,776.00M,,,-100.00M,,,2007-06,,
2007-03,1.636B,,,,-29.00M,1.187B,64.00M,1.251B,1.251B,-150.00M,,,,347.00M,17.00M,-65.00M,,17.00M,-201.00M,-723.00M,-548.00M,1.552B,,2007-03,-1.361B,-1.361B,,,-1.88B,25.00M,,2007-03,,,-42.00M,586.00M,-400.00M,186.00M,,-650.00M,,44.00M,,2007-03,6.598B,-2.126B,4.472B,,2007-03,586.00M,,,-400.00M,,,2007-03,,
2006-12,1.501B,,,,-490.00M,1.166B,61.00M,1.227B,1.227B,18.00M,,,,803.00M,618.00M,147.00M,,-145.00M,-38.00M,551.00M,-21.00M,4.171B,,2006-12,-1.067B,-1.067B,,,-1.119B,-150.00M,,2006-12,,,-2.00M,279.00M,-150.00M,129.00M,,-576.00M,,-9.00M,,2006-12,4.469B,2.129B,6.598B,,2006-12,279.00M,,,-150.00M,,,2006-12,,
2006-09,1.301B,,,,-297.00M,1.193B,63.00M,1.256B,1.256B,20.00M,,,,436.00M,-147.00M,-167.00M,,-77.00M,126.00M,883.00M,-523.00M,2.811B,,2006-09,-1.188B,-1.188B,,,369.00M,219.00M,,2006-09,,,-382.00M,273.00M,-500.00M,-227.00M,,-577.00M,,8.00M,,2006-09,3.436B,1.033B,4.469B,,2006-09,273.00M,,,-500.00M,,,2006-09,,
2006-06,885.00M,,,,-389.00M,1.156B,59.00M,1.215B,1.215B,-364.00M,,,,648.00M,744.00M,-737.00M,,67.00M,43.00M,-524.00M,-46.00M,1.542B,,2006-06,-1.766B,-1.766B,,,672.00M,668.00M,,2006-06,,,-227.00M,118.00M,-1.00B,-882.00M,,-582.00M,,63.00M,,2006-06,3.948B,-512.00M,3.436B,,2006-06,118.00M,,,-1.00B,,,2006-06,,
2006-03,1.357B,,,,350.00M,1.139B,75.00M,1.214B,1.214B,1.00M,,,,,2.00M,-359.00M,,162.00M,193.00M,-970.00M,146.00M,2.096B,,2006-03,-1.758B,-1.758B,,,231.00M,-770.00M,,2006-03,,,-84.00M,376.00M,-2.943B,-2.567B,,-585.00M,,61.00M,,2006-03,7.324B,-3.376B,3.948B,,2006-03,376.00M,,,-2.943B,,,2006-03,,
2005-12,2.453B,,,,109.00M,1.05B,58.00M,1.108B,1.108B,-243.00M,,,,,1.44B,-307.00M,,172.00M,-1.129B,460.00M,-334.00M,3.729B,,2005-12,-1.359B,-1.359B,,-88.00M,-2.055B,-70.00M,,2005-12,,,1.785B,144.00M,-3.137B,-2.993B,,-482.00M,,,,2005-12,8.857B,-1.533B,7.324B,,2005-12,144.00M,,,-3.137B,,,2005-12,,
2005-09,1.995B,,,,111.00M,1.055B,59.00M,1.114B,1.114B,-42.00M,,,,,-300.00M,-76.00M,,84.00M,242.00M,836.00M,402.00M,4.366B,,2005-09,-1.282B,-1.282B,,-22.00M,-265.00M,-220.00M,,2005-09,,,-65.00M,356.00M,-2.50B,-2.144B,,-486.00M,,,,2005-09,8.975B,-118.00M,8.857B,,2005-09,356.00M,,,-2.50B,,,2005-09,,
2005-06,2.038B,,,,133.00M,1.051B,66.00M,1.117B,1.117B,-133.00M,,,,,-221.00M,70.00M,,-91.00M,219.00M,-310.00M,150.00M,2.972B,,2005-06,-1.389B,-1.389B,,-81.00M,827.00M,-27.00M,,2005-06,,,95.00M,292.00M,-2.50B,-2.208B,,-493.00M,,,,2005-06,9.279B,-304.00M,8.975B,,2005-06,292.00M,,,-2.50B,,,2005-06,,
2005-03,2.178B,,,,117.00M,1.189B,67.00M,1.256B,1.256B,5.00M,,,,,-227.00M,-187.00M,,138.00M,668.00M,107.00M,-299.00M,3.756B,,2005-03,-1.788B,-1.788B,,,1.451B,6.00M,,2005-03,,,34.00M,410.00M,-2.50B,-2.09B,,-497.00M,,,,2005-03,8.407B,872.00M,9.279B,,2005-03,410.00M,,,-2.50B,,,2005-03,,
2004-12,2.123B,,,,88.00M,1.144B,67.00M,1.211B,1.211B,76.00M,,,,,267.00M,559.00M,,426.00M,-532.00M,-188.00M,85.00M,4.115B,,2004-12,-1.031B,-1.031B,,0.00,1.088B,-117.00M,,2004-12,,,-30.00M,101.00M,-2.00B,-1.899B,,-252.00M,,,,2004-12,6.533B,1.874B,8.407B,,2004-12,101.00M,,,-2.00B,,,2004-12,,
2004-09,1.906B,,,,108.00M,1.155B,65.00M,1.22B,1.22B,-324.00M,,,,,-83.00M,43.00M,,-5.00M,190.00M,114.00M,1.00M,3.17B,,2004-09,-1.106B,-1.106B,,-20.00M,-131.00M,-19.00M,,2004-09,,,-2.00M,241.00M,-2.50B,-2.259B,,-253.00M,,,,2004-09,7.153B,-620.00M,6.533B,,2004-09,241.00M,,,-2.50B,,,2004-09,,
2004-06,1.757B,,,,132.00M,1.151B,74.00M,1.225B,1.225B,-78.00M,,,,,191.00M,-426.00M,,283.00M,-147.00M,1.273B,-145.00M,4.065B,,2004-06,-1.026B,-1.026B,,-33.00M,-1.702B,-6.00M,,2004-06,,,-81.00M,166.00M,-1.511B,-1.345B,,-258.00M,,,,2004-06,7.539B,-386.00M,7.153B,,2004-06,166.00M,,,-1.511B,,,2004-06,,
2004-03,1.73B,,,,109.00M,1.14B,93.00M,1.233B,1.233B,119.00M,,,,,-414.00M,-277.00M,,-43.00M,21.00M,-904.00M,195.00M,1.769B,,2004-03,-680.00M,-680.00M,,,-240.00M,-9.00M,,2004-03,,,106.00M,386.00M,-1.505B,-1.119B,,-259.00M,,,,2004-03,7.971B,-432.00M,7.539B,,2004-03,386.00M,,,-1.505B,,,2004-03,,
2003-12,2.173B,,,,785.00M,1.177B,93.00M,1.27B,1.27B,94.00M,,,,,330.00M,-295.00M,,3.00M,-85.00M,-465.00M,158.00M,3.968B,,2003-12,-707.00M,-707.00M,,-40.00M,-2.58B,-115.00M,,2003-12,,,-82.00M,255.00M,-2.003B,-1.748B,,-131.00M,,,,2003-12,9.406B,-1.435B,7.971B,,2003-12,255.00M,,,-2.003B,,,2003-12,,
2003-09,1.657B,,,,159.00M,1.167B,94.00M,1.261B,1.261B,181.00M,,,,,-481.00M,-73.00M,,53.00M,44.00M,281.00M,106.00M,3.188B,,2003-09,-1.072B,-1.072B,,-21.00M,-1.203B,-73.00M,,2003-09,,,-23.00M,359.00M,0.00,359.00M,,-131.00M,,,,2003-09,8.382B,1.024B,9.406B,,2003-09,359.00M,,,0.00,,,2003-09,,
2003-06,896.00M,,,,161.00M,1.162B,113.00M,1.275B,1.275B,70.00M,,,,,112.00M,11.00M,,-28.00M,-378.00M,424.00M,106.00M,2.649B,,2003-06,-923.00M,-923.00M,,,589.00M,-18.00M,,2003-06,,,-32.00M,120.00M,-1.006B,-886.00M,,-131.00M,,,,2003-06,7.134B,1.248B,8.382B,,2003-06,120.00M,,,-1.006B,,,2003-06,,
2003-03,915.00M,,,,233.00M,1.145B,119.00M,1.264B,1.264B,46.00M,,,,,-391.00M,112.00M,,88.00M,-92.00M,-325.00M,-140.00M,1.71B,,2003-03,-954.00M,-954.00M,,,20.00M,7.00M,,2003-03,,,-152.00M,233.00M,-1.003B,-770.00M,,-131.00M,,,,2003-03,7.404B,-270.00M,7.134B,,2003-03,233.00M,,,-1.003B,,,2003-03,,
2002-12,1.049B,,,,259.00M,1.244B,142.00M,1.386B,1.386B,-114.00M,,,,,512.00M,202.00M,,-78.00M,-109.00M,475.00M,-61.00M,3.521B,,2002-12,-1.203B,-1.203B,,0.00,-439.00M,-165.00M,,2002-12,,,84.00M,66.00M,-1.006B,-940.00M,,-132.00M,,,,2002-12,6.678B,726.00M,7.404B,,2002-12,66.00M,,,-1.006B,,,2002-12,,
2002-09,686.00M,,,,202.00M,1.136B,132.00M,1.268B,1.268B,-5.00M,,,,,-182.00M,24.00M,,-37.00M,-110.00M,422.00M,123.00M,2.391B,,2002-09,-955.00M,-955.00M,,-7.00M,246.00M,14.00M,,2002-09,,,-149.00M,204.00M,-1.001B,-797.00M,,-133.00M,,,,2002-09,6.068B,610.00M,6.678B,,2002-09,204.00M,,,-1.001B,,,2002-09,,
2002-06,446.00M,,,,309.00M,1.135B,259.00M,1.394B,1.394B,249.00M,,,,,-24.00M,-25.00M,,-267.00M,-19.00M,-151.00M,-223.00M,1.689B,,2002-06,-1.115B,-1.115B,,-50.00M,44.00M,-14.00M,,2002-06,,,4.00M,122.00M,-1.002B,-880.00M,,-134.00M,,,,2002-06,6.524B,-456.00M,6.068B,,2002-06,122.00M,,,-1.002B,,,2002-06,,
2002-03,936.00M,,,,193.00M,1.161B,135.00M,1.296B,1.296B,-20.00M,,,,,-276.00M,-227.00M,,156.00M,-206.00M,-464.00M,140.00M,1.528B,,2002-03,-1.43B,-1.43B,,,-526.00M,-165.00M,,2002-03,,,-3.00M,289.00M,-1.005B,-716.00M,,-134.00M,,,,2002-03,7.97B,-1.446B,6.524B,,2002-03,289.00M,,,-1.005B,,,2002-03,,
2001-12,504.00M,,,,790.00M,1.093B,639.00M,1.732B,1.732B,-266.00M,,,,,437.00M,92.00M,,-23.00M,657.00M,540.00M,-1.033B,3.43B,,2001-12,-1.136B,-1.136B,,-4.00M,1.791B,-80.00M,,2001-12,,,133.00M,109.00M,-1.003B,-894.00M,,-134.00M,,,,2001-12,4.864B,3.106B,7.97B,,2001-12,109.00M,,,-1.003B,,,2001-12,,
2001-09,106.00M,,,,349.00M,1.054B,609.00M,1.663B,1.663B,-113.00M,,,,,-139.00M,475.00M,,-238.00M,71.00M,-145.00M,30.00M,2.059B,,2001-09,-1.365B,-1.365B,,0.00,2.024B,-66.00M,,2001-09,,,1.904B,243.00M,-3.005B,-2.762B,,-135.00M,,,,2001-09,3.205B,1.659B,4.864B,,2001-09,243.00M,,,-3.005B,,,2001-09,,
2001-06,196.00M,,,,179.00M,1.05B,594.00M,1.644B,1.644B,-120.00M,,,,,529.00M,-169.00M,,-344.00M,101.00M,167.00M,-64.00M,2.119B,,2001-06,-2.144B,-2.144B,,-381.00M,1.659B,-82.00M,,2001-06,,,-1.816B,123.00M,1.001B,1.124B,,-135.00M,,,,2001-06,2.861B,344.00M,3.205B,,2001-06,123.00M,,,1.001B,,,2001-06,,
2001-03,485.00M,,,,96.00M,934.00M,585.00M,1.519B,1.519B,-20.00M,,,,,734.00M,-374.00M,,-68.00M,69.00M,-1.356B,96.00M,1.181B,,2001-03,-2.664B,-2.664B,,-498.00M,2.783B,-167.00M,,2001-03,,,98.00M,287.00M,-1.001B,-714.00M,,-134.00M,,,,2001-03,2.976B,-115.00M,2.861B,,2001-03,287.00M,,,-1.001B,,,2001-03,,
2000-12,2.193B,,,,378.00M,786.00M,459.00M,1.245B,1.245B,-22.00M,,,,-2.00M,455.00M,-294.00M,,22.00M,-814.00M,262.00M,-45.00M,3.378B,,2000-12,-2.423B,-2.423B,,-215.00M,-2.762B,-458.00M,,2000-12,,,98.00M,60.00M,-1.001B,-941.00M,,-135.00M,,,,2000-12,6.434B,-3.458B,2.976B,,2000-12,60.00M,,,-1.001B,,,2000-12,,
2000-09,2.509B,,,,-672.00M,802.00M,420.00M,1.222B,1.222B,-20.00M,,,,2.00M,-232.00M,-328.00M,,384.00M,207.00M,-60.00M,0.00,3.012B,,2000-09,-1.925B,-1.925B,,-179.00M,-649.00M,-189.00M,,2000-09,,,-49.00M,245.00M,-1.005B,-760.00M,,-135.00M,,,,2000-09,7.308B,-874.00M,6.434B,,2000-09,245.00M,,,-1.005B,,,2000-09,,
2000-06,3.137B,,,,-2.075B,764.00M,394.00M,1.158B,1.158B,27.00M,,,,,-647.00M,-65.00M,,202.00M,645.00M,512.00M,262.00M,3.156B,,2000-06,-1.252B,-1.252B,,-517.00M,674.00M,-40.00M,,2000-06,,,23.00M,161.00M,-1.001B,-840.00M,,-100.00M,,,,2000-06,6.204B,1.104B,7.308B,,2000-06,161.00M,,,-1.001B,,,2000-06,,
2000-03,2.696B,,,,-372.00M,897.00M,313.00M,1.21B,1.21B,-115.00M,,,,,40.00M,-44.00M,,370.00M,,-845.00M,341.00M,3.281B,,2000-03,-1.074B,-1.074B,,-1.406B,2.673B,-293.00M,,2000-03,,,97.00M,331.00M,-1.00B,-669.00M,,-100.00M,,,,2000-03,3.695B,2.509B,6.204B,,2000-03,331.00M,,,-1.00B,,,2000-03,,
1999-12,2.108B,,,,-236.00M,848.00M,241.00M,1.089B,1.089B,-3.00M,,,,,-38.00M,152.00M,,-209.00M,,792.00M,32.00M,3.687B,,1999-12,-980.00M,-980.00M,,-1.94B,475.00M,-262.00M,,1999-12,,,156.00M,50.00M,-903.00M,-853.00M,,-100.00M,,,,1999-12,3.512B,183.00M,3.695B,,1999-12,50.00M,,,-903.00M,,,1999-12,,
1999-09,1.458B,,,,211.00M,804.00M,121.00M,925.00M,925.00M,-77.00M,,,,,-152.00M,187.00M,,181.00M,,710.00M,494.00M,3.937B,,1999-09,-982.00M,-982.00M,,-907.00M,-1.178B,-202.00M,,1999-09,,,28.00M,227.00M,-911.00M,-684.00M,,-99.00M,,,,1999-09,3.599B,-87.00M,3.512B,,1999-09,227.00M,,,-911.00M,,,1999-09,,
1999-06,1.749B,,,,-88.00M,760.00M,31.00M,791.00M,791.00M,-58.00M,,,,,96.00M,-55.00M,,-95.00M,,-615.00M,-116.00M,1.609B,,1999-06,-766.00M,-766.00M,,0.00,1.989B,-167.00M,,1999-06,,,-47.00M,79.00M,-1.501B,-1.422B,,-100.00M,,,,1999-06,2.503B,1.096B,3.599B,,1999-06,79.00M,,,-1.501B,,,1999-06,,
1999-03,1.999B,,,,-185.00M,774.00M,18.00M,792.00M,792.00M,-81.00M,,,,,247.00M,-115.00M,,202.00M,,-34.00M,76.00M,2.901B,,1999-03,-675.00M,-675.00M,,-132.00M,-354.00M,-168.00M,,1999-03,,,50.00M,207.00M,-1.297B,-1.09B,,-67.00M,,,,1999-03,2.038B,465.00M,2.503B,,1999-03,207.00M,,,-1.297B,,,1999-03,,
1998-12,2.064B,,,,-7.00M,809.00M,16.00M,825.00M,825.00M,10.00M,,,,,135.00M,-4.00M,,39.00M,,411.00M,513.00M,3.986B,,1998-12,317.00M,317.00M,,,-2.579B,,,1998-12,,,94.00M,126.00M,-1.537B,-1.411B,,-67.00M,,-40.00M,,1998-12,2.90B,-862.00M,2.038B,,1998-12,126.00M,,,-1.537B,,,1998-12,,
1998-09,1.559B,,,,15.00M,1.998B,40.00M,734.00M,734.00M,-38.00M,,,,,-510.00M,125.00M,,113.00M,,1.081B,-91.00M,2.988B,,1998-09,-722.00M,-722.00M,,,301.00M,,,1998-09,,,38.00M,135.00M,-1.717B,-1.582B,,-50.00M,,40.00M,,1998-09,1.887B,1.013B,2.90B,,1998-09,135.00M,,,-1.717B,,,1998-09,,
1998-06,1.172B,,,,61.00M,,,674.00M,674.00M,69.00M,,,,,-27.00M,157.00M,,-232.00M,,-1.47B,,404.00M,,1998-06,-1.702B,-1.702B,,,-83.00M,,,1998-06,,,-102.00M,87.00M,-1.739B,-1.652B,,-51.00M,,,,1998-06,5.073B,-3.186B,1.887B,,1998-06,87.00M,,,-1.739B,,,1998-06,,
