,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-12,332.00M,-82.00M,69.00M,-13.00M,,,57.00M,57.00M,50.00M,,,,36.00M,36.00M,9.00M,81.00M,-42.00M,352.00M,167.00M,160.00M,622.00M,,6.00M,,,,3.074B,17.00M,3.304B,,-335.00M,0.00,-335.00M,,-373.00M,-373.00M,-93.00M,-93.00M,83.00M,-4.163B,-4.881B,,3.325B,-955.00M,1.00M,2.371B,,,0.00,-335.00M,-373.00M,43.00M,233.00M,,AOR,Restated
2012-09,151.00M,70.00M,34.00M,104.00M,,,58.00M,58.00M,-5.00M,,,,32.00M,32.00M,-100.00M,161.00M,-135.00M,276.00M,13.00M,75.00M,415.00M,,-44.00M,,,,939.00M,-2.00M,940.00M,,-88.00M,2.00M,-86.00M,,-342.00M,-342.00M,-73.00M,-73.00M,32.00M,-289.00M,-758.00M,,2.721B,597.00M,7.00M,3.325B,,,92.00M,-180.00M,-342.00M,43.00M,38.00M,,AOR,Restated
2012-06,170.00M,6.00M,74.00M,80.00M,,,54.00M,54.00M,61.00M,,,,34.00M,34.00M,-32.00M,94.00M,-65.00M,559.00M,-183.00M,-106.00M,293.00M,,-38.00M,,,,385.00M,-8.00M,407.00M,,-25.00M,-7.00M,-32.00M,,-374.00M,-374.00M,-77.00M,-77.00M,81.00M,116.00M,-286.00M,,2.312B,414.00M,-5.00M,2.721B,,,79.00M,-104.00M,-374.00M,131.00M,58.00M,,AOR,Restated
2012-03,248.00M,5.00M,-4.00M,1.00M,,,56.00M,56.00M,-56.00M,,,,32.00M,32.00M,-7.00M,-165.00M,-12.00M,-526.00M,347.00M,-106.00M,175.00M,,-61.00M,,,,-134.00M,1.00M,-234.00M,,-86.00M,0.00,-86.00M,,-292.00M,-292.00M,-62.00M,-62.00M,-36.00M,59.00M,-417.00M,,2.781B,-476.00M,7.00M,2.312B,,,4.00M,-90.00M,-292.00M,,37.00M,,AOR,Restated
2011-12,281.00M,-131.00M,119.00M,-12.00M,,,49.00M,49.00M,-68.00M,,-29.00M,-2.00M,44.00M,13.00M,-121.00M,31.00M,-290.00M,161.00M,-752.00M,464.00M,727.00M,,-101.00M,,149.00M,2.692B,-2.544B,-6.00M,-87.00M,,-216.00M,0.00,-216.00M,,-262.00M,-262.00M,,-54.00M,16.00M,-36.00M,-552.00M,,2.693B,88.00M,0.00,2.781B,,,0.00,-216.00M,-262.00M,15.00M,59.00M,,AOR,Restated
2011-09,219.00M,111.00M,26.00M,137.00M,,,-6.00M,-6.00M,103.00M,,5.00M,1.00M,21.00M,27.00M,18.00M,-36.00M,166.00M,30.00M,129.00M,313.00M,793.00M,,-60.00M,,-60.00M,-757.00M,424.00M,-3.00M,-463.00M,,-54.00M,-1.00M,-55.00M,,-438.00M,-438.00M,,-55.00M,1.00M,362.00M,-185.00M,,2.553B,145.00M,-5.00M,2.693B,,,42.00M,-96.00M,-438.00M,132.00M,38.00M,,AOR,Restated
2011-06,287.00M,31.00M,12.00M,43.00M,,,37.00M,37.00M,67.00M,,20.00M,1.00M,38.00M,487.00M,-92.00M,181.00M,-90.00M,36.00M,-225.00M,-232.00M,643.00M,,-42.00M,,-42.00M,-1.156B,782.00M,-4.00M,-523.00M,,-109.00M,8.00M,-101.00M,,-402.00M,-402.00M,,-57.00M,10.00M,523.00M,-27.00M,,2.46B,93.00M,0.00,2.553B,,,106.00M,-215.00M,-402.00M,213.00M,63.00M,,AOR,Restated
2011-03,223.00M,-1.00M,,-1.00M,,,30.00M,30.00M,-19.00M,,4.00M,,42.00M,-382.00M,-65.00M,-256.00M,3.00M,12.00M,374.00M,118.00M,15.00M,,-47.00M,,-47.00M,-629.00M,662.00M,4.00M,-73.00M,,-81.00M,100.00M,19.00M,,-393.00M,-393.00M,,-46.00M,39.00M,34.00M,-347.00M,,2.861B,-405.00M,4.00M,2.46B,,,15.00M,-96.00M,-393.00M,10.00M,41.00M,,AOR,Restated
2010-12,254.00M,-17.00M,,-17.00M,,,31.00M,31.00M,-60.00M,,5.00M,,47.00M,-199.00M,-215.00M,89.00M,-29.00M,195.00M,-483.00M,-37.00M,24.00M,,-43.00M,,-43.00M,-444.00M,814.00M,-89.00M,288.00M,,-525.00M,-472.00M,-997.00M,,-193.00M,-193.00M,,-45.00M,60.00M,40.00M,-1.135B,,3.685B,-823.00M,-1.00M,2.861B,,,7.00M,-532.00M,-193.00M,5.00M,74.00M,,AOR,Restated
2010-09,312.00M,-4.00M,,-4.00M,,,31.00M,31.00M,147.00M,-324.00M,7.00M,,41.00M,337.00M,93.00M,23.00M,-177.00M,66.00M,348.00M,-122.00M,425.00M,,-34.00M,,-34.00M,-483.00M,-225.00M,-94.00M,-833.00M,,61.00M,385.00M,446.00M,,-183.00M,-183.00M,,-47.00M,8.00M,35.00M,259.00M,,3.827B,-149.00M,7.00M,3.685B,,,98.00M,-37.00M,-183.00M,3.00M,96.00M,,AOR,Restated
