,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,2.586B,2.586B,3.339B,5.925B,11.28B,11.28B,2.695B,352.00M,1.908B,,4.955B,294.00M,1.348B,23.80B,,,,,,,34.00B,-19.26B,14.74B,14.41B,4.673B,19.08B,3.652B,,1.978B,39.45B,63.25B,,7.815B,420.00M,1.361B,,9.596B,,9.596B,,,2.858B,2.858B,,,,,12.45B,9.098B,9.098B,1.45B,1.45B,2.031B,,139.00M,1.17B,13.75B,26.20B,,12.02B,35.41B,,6.605B,,,-3.92B,36.91B,,AOR,Restated
2013-03,2.129B,2.129B,3.432B,5.561B,11.50B,11.50B,2.648B,383.00M,1.942B,,4.973B,306.00M,1.385B,23.73B,,,,,,,33.69B,-18.88B,14.80B,14.58B,4.734B,19.31B,1.886B,,1.696B,37.70B,61.43B,,7.842B,419.00M,1.548B,,9.809B,,9.809B,,,2.962B,2.962B,,,,,12.77B,8.138B,8.138B,1.506B,1.506B,2.056B,,121.00M,1.176B,12.88B,25.65B,,11.95B,33.73B,,6.139B,,,-3.876B,35.66B,,AOR,Restated
2012-12,1.905B,1.905B,4.369B,6.274B,11.35B,11.35B,2.519B,349.00M,1.917B,,4.785B,343.00M,1.403B,24.16B,0.00,366.00M,3.209B,29.59B,,,33.17B,-18.39B,14.78B,14.58B,4.802B,19.39B,1.747B,,1.477B,37.39B,61.55B,,3.55B,368.00M,1.426B,,5.344B,4.903B,10.25B,,,2.121B,2.121B,,,,,12.37B,9.509B,9.509B,1.493B,1.493B,2.169B,,107.00M,1.15B,14.32B,26.69B,,11.91B,32.89B,,6.16B,,,-3.888B,34.75B,,AOR,Restated
2012-09,1.852B,1.852B,2.908B,4.76B,11.45B,11.45B,2.597B,363.00M,1.961B,,4.921B,345.00M,1.475B,22.95B,,,,,,,32.07B,-17.96B,14.10B,14.52B,4.858B,19.38B,1.597B,,1.407B,36.49B,59.44B,,7.913B,368.00M,1.459B,,9.74B,,9.74B,,,1.792B,1.792B,,,,,11.53B,9.397B,9.397B,1.642B,1.642B,1.398B,,107.00M,1.161B,13.60B,25.13B,,11.84B,31.89B,,6.20B,,,-3.325B,34.20B,,AOR,Restated
2012-06,1.521B,1.521B,1.972B,3.493B,10.80B,10.80B,2.492B,384.00M,1.886B,,4.762B,458.00M,1.525B,21.04B,,,,,,,31.02B,-17.34B,13.69B,14.54B,4.98B,19.52B,1.525B,,1.239B,35.97B,57.01B,,7.422B,369.00M,1.214B,,9.005B,,9.005B,,,2.521B,2.521B,,,,,11.53B,7.953B,7.953B,1.80B,1.80B,1.49B,,157.00M,1.277B,12.52B,24.05B,,11.76B,30.83B,,6.209B,,,-3.572B,32.81B,,AOR,Restated
2012-03,1.346B,1.346B,2.739B,4.085B,10.40B,10.40B,2.30B,368.00M,2.45B,,5.118B,487.00M,1.201B,21.29B,,,,,,,30.39B,-17.08B,13.31B,14.20B,4.805B,19.00B,1.584B,,1.172B,35.07B,56.37B,,7.294B,369.00M,1.411B,,9.074B,,9.074B,,,1.728B,1.728B,,,,,10.80B,8.439B,8.439B,1.749B,1.749B,1.717B,,141.00M,1.171B,13.08B,23.88B,,11.68B,29.79B,,5.767B,,,-3.365B,32.35B,,AOR,Restated
2011-12,1.705B,1.705B,3.122B,4.827B,9.50B,9.50B,2.066B,364.00M,2.27B,,4.70B,456.00M,1.056B,20.54B,0.00,362.00M,2.912B,26.28B,,,29.55B,-16.56B,12.99B,14.15B,4.882B,19.04B,1.522B,,1.111B,34.66B,55.20B,,3.389B,337.00M,1.245B,,4.971B,4.19B,9.161B,,,1.377B,1.377B,,,,,10.54B,8.556B,8.556B,1.731B,1.731B,1.732B,,129.00M,1.252B,13.27B,23.81B,,11.64B,28.86B,,5.679B,,,-3.557B,31.26B,,,Restated
2011-09,1.732B,1.732B,4.332B,6.064B,9.493B,9.493B,1.971B,355.00M,2.143B,,4.469B,148.00M,1.086B,21.26B,,,,,,,28.96B,-16.38B,12.58B,14.12B,4.927B,19.04B,1.477B,,1.216B,34.32B,55.58B,,7.023B,334.00M,1.207B,,8.564B,,8.564B,,,2.743B,2.743B,,,,,11.31B,8.74B,8.74B,1.662B,1.662B,1.034B,,123.00M,1.215B,12.65B,23.96B,,11.61B,27.78B,,5.088B,,,-2.798B,31.50B,,AOR,Restated
2011-06,1.378B,1.378B,3.555B,4.933B,9.356B,9.356B,1.93B,346.00M,2.03B,,4.306B,190.00M,1.157B,19.94B,,,,,,,28.30B,-15.98B,12.32B,13.94B,4.996B,18.93B,1.535B,,1.296B,34.08B,54.02B,,7.013B,336.00M,1.21B,,8.559B,,8.559B,,,3.817B,3.817B,,,,,12.38B,5.745B,5.745B,1.488B,1.488B,1.244B,,214.00M,1.104B,9.581B,21.96B,,12.04B,26.82B,,4.417B,,,-2.594B,31.85B,,AOR,Restated
2011-03,1.475B,1.475B,2.688B,4.163B,8.891B,8.891B,1.757B,335.00M,2.00B,,4.092B,14.00M,1.051B,18.21B,,,,,,,27.33B,-15.11B,12.22B,13.98B,5.079B,19.06B,1.656B,,1.23B,34.16B,52.37B,,6.328B,338.00M,1.544B,,8.21B,,8.21B,,,2.189B,2.189B,,,,,10.40B,6.422B,6.422B,1.702B,1.702B,1.253B,,212.00M,970.00M,10.35B,20.75B,,11.98B,25.81B,,3.74B,,,-2.643B,31.41B,,AOR,Restated
