,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-12,380.90M,,,2.10M,74.50M,74.50M,,,,-282.60M,-231.00M,97.40M,82.90M,59.90M,70.20M,-203.20M,,254.30M,-86.30M,2.70M,-83.60M,-484.10M,,,-567.70M,,,-156.00M,34.70M,0.00,34.70M,,-13.00M,,,-134.30M,992.00M,-447.70M,,544.30M,34.70M,,,0.00
2003-09,330.40M,,,-4.80M,68.70M,68.70M,,,,-205.70M,-630.30M,866.90M,-60.90M,,-70.20M,-100.20M,,294.10M,-77.80M,2.50M,-75.30M,-15.00M,,,-90.30M,,,32.30M,45.30M,-1.00B,-954.70M,,-13.40M,,,-935.80M,1.724B,-732.00M,,992.00M,45.30M,,,-1.00B
2003-06,340.50M,,,6.40M,70.60M,70.60M,,,,60.60M,1.169B,-1.174B,46.10M,,148.10M,249.50M,,882.20M,-159.10M,16.00M,-143.10M,-23.60M,,,-125.90M,,,361.70M,72.00M,0.00,72.00M,,-11.20M,,,422.50M,545.20M,1.179B,,1.724B,72.00M,,,0.00
2003-03,384.90M,,,5.30M,68.70M,68.70M,,,,-146.50M,-434.40M,305.60M,-74.50M,,47.80M,-302.00M,,156.90M,-91.80M,7.90M,-83.90M,4.60M,,,-71.50M,,,-27.10M,48.30M,-549.00M,-500.70M,,-11.30M,,,-539.10M,998.90M,-453.70M,,545.20M,48.30M,,,-549.00M
2002-12,367.50M,,,4.90M,64.30M,64.30M,,,,-62.90M,-1.063B,794.70M,134.70M,,132.90M,-63.70M,,373.00M,-101.80M,17.50M,-84.30M,-2.40M,,,-86.70M,,,-6.20M,34.30M,-250.00M,-215.70M,,-11.10M,,,-233.00M,945.60M,53.30M,,998.90M,34.30M,,,-250.00M
2002-09,288.30M,,,5.60M,62.20M,62.20M,,,,-264.90M,110.80M,-204.70M,1.50M,,-12.90M,-370.20M,,-14.10M,-70.50M,16.30M,-54.20M,-5.40M,,,-59.60M,,,-1.50M,42.70M,-392.70M,-350.00M,,-11.20M,,,-362.70M,1.382B,-436.40M,,945.60M,42.70M,,,-392.70M
2002-06,310.80M,,,5.70M,62.00M,62.00M,,,-203.20M,307.10M,543.30M,233.30M,-62.70M,,-9.30M,1.012B,,1.427B,-99.30M,0.70M,-98.60M,-372.90M,,,-471.50M,,,-266.00M,27.80M,-192.60M,-164.80M,,-11.30M,,-0.30M,-442.40M,869.20M,512.80M,,1.382B,27.80M,,,-192.60M
2002-03,300.30M,,,22.10M,58.40M,58.40M,,,203.20M,5.30M,353.20M,-346.00M,-27.60M,,-64.70M,-79.80M,,504.20M,-64.80M,0.70M,-64.10M,-8.10M,,,-72.20M,,,3.70M,47.10M,0.00,47.10M,,-11.20M,,-1.30M,38.30M,398.90M,470.30M,,869.20M,47.10M,,,0.00
2001-12,283.30M,,,5.50M,61.90M,61.90M,,,,-321.40M,-551.40M,-51.60M,-24.50M,,131.90M,-817.00M,,-466.30M,-63.00M,7.30M,-55.70M,-2.80M,,,-58.50M,,,167.40M,11.80M,-115.70M,-103.90M,,-11.30M,,-0.50M,51.70M,872.00M,-473.10M,,398.90M,11.80M,,,-115.70M
2001-09,246.40M,,,9.30M,61.20M,61.20M,,,,151.70M,-1.411B,342.90M,186.00M,,-67.20M,-797.60M,,-480.70M,-58.30M,9.60M,-48.70M,,,,-48.70M,,,427.90M,53.30M,,53.30M,,-11.20M,,-2.70M,467.30M,934.10M,-62.10M,,872.00M,53.30M,,,
2001-06,253.30M,,,25.20M,71.60M,71.60M,,,77.30M,428.60M,-158.20M,178.10M,-62.00M,,-127.20M,259.30M,,835.80M,-106.40M,54.30M,-52.10M,-41.00M,,,-93.10M,,,-308.30M,65.20M,-0.60M,64.60M,,-10.10M,,1.40M,-252.40M,396.20M,490.30M,,934.10M,65.20M,,,-0.60M
2001-03,221.70M,,,8.20M,78.30M,78.30M,,,-77.30M,-1.60M,-122.50M,-116.60M,-26.90M,,195.10M,-72.50M,,158.40M,-105.80M,14.20M,-91.60M,-61.00M,,,-152.60M,,,-153.10M,102.80M,-0.70M,102.10M,,-9.80M,,0.10M,-60.70M,416.20M,-54.90M,,396.20M,102.80M,,,-0.70M
2000-12,209.20M,,,4.60M,66.70M,66.70M,,,,-316.20M,-732.80M,910.40M,-41.00M,,41.60M,-138.00M,,142.50M,-81.20M,1.80M,-79.40M,-22.40M,,,-101.80M,,,14.40M,17.80M,-138.10M,-120.30M,,-8.40M,,-1.30M,-115.60M,491.10M,-74.90M,,416.20M,17.80M,,,-138.10M
2000-09,173.20M,,,3.40M,64.00M,64.00M,,,,-142.20M,-504.30M,341.90M,-11.90M,,-189.10M,-505.60M,,-265.00M,-47.80M,1.80M,-46.00M,-239.90M,,,-285.90M,,,479.60M,66.30M,,66.30M,,-8.30M,,-0.20M,537.40M,504.60M,-13.50M,,491.10M,66.30M,,,
2000-06,206.00M,,,20.50M,57.50M,57.50M,,,,63.40M,333.20M,71.80M,-50.90M,,-62.90M,354.60M,,767.10M,-105.60M,16.90M,-88.70M,-2.10M,0.00,,-90.80M,,,-541.00M,42.10M,0.00,42.10M,,-7.40M,,0.50M,-505.80M,369.00M,170.50M,,539.50M,42.10M,,,0.00
2000-03,216.30M,,,3.00M,74.20M,74.20M,,,,-139.30M,-302.50M,152.10M,-42.80M,,58.60M,-273.90M,,19.60M,-13.60M,28.80M,15.20M,-67.50M,48.40M,-48.30M,-52.20M,,,360.70M,34.80M,-341.40M,-306.60M,,-8.50M,,22.50M,68.10M,290.50M,35.50M,,369.00M,34.80M,,,-341.40M
1999-12,173.50M,,,4.40M,63.60M,63.60M,,,,-143.60M,-474.40M,232.90M,-50.30M,13.30M,76.50M,-345.60M,,-104.10M,-82.00M,11.90M,-70.10M,,,-0.10M,-70.20M,,,276.00M,10.70M,,10.70M,,-7.00M,,-0.30M,279.40M,185.40M,105.10M,,290.50M,10.70M,,,
1999-09,122.00M,,,9.60M,61.70M,61.70M,,,,-157.80M,-627.90M,442.60M,-15.50M,-13.30M,,-371.90M,,-178.60M,-129.90M,2.60M,-127.30M,,,48.40M,-78.90M,,,277.00M,9.90M,,9.90M,,-7.10M,,-22.30M,257.50M,185.40M,,,185.40M,9.90M,,,
1999-06,155.60M,,,19.80M,65.90M,65.90M,,,,24.50M,213.00M,67.90M,-82.60M,-152.40M,81.30M,151.70M,,525.40M,-90.10M,51.30M,-38.80M,-69.30M,,1.50M,-108.70M,,,-401.90M,7.10M,-0.80M,6.30M,,-43.20M,,1.30M,-437.50M,206.20M,-20.80M,,185.40M,7.10M,,,-0.80M
1999-03,89.20M,,,4.80M,57.90M,57.90M,,,,-99.50M,-78.70M,-75.90M,-48.00M,152.40M,-67.30M,-217.00M,,-65.10M,8.20M,4.00M,12.20M,-78.20M,,-0.60M,-66.60M,,,15.10M,20.30M,-47.00M,-26.70M,,-12.40M,,44.20M,20.20M,317.70M,-111.50M,,206.20M,20.30M,,,-47.00M
1998-12,141.50M,,,2.60M,54.70M,54.70M,,,,-46.50M,-341.30M,203.70M,-87.50M,0.50M,67.30M,-203.80M,,-5.00M,-171.30M,-28.40M,-199.70M,,,1.40M,-198.30M,,,132.40M,18.60M,,18.60M,,-11.20M,,-1.90M,137.90M,383.10M,-65.40M,,317.70M,18.60M,,,
1998-09,94.70M,,,2.50M,59.70M,59.70M,,,,-93.00M,-110.90M,34.00M,-64.20M,-0.50M,,-234.60M,,-77.70M,-72.80M,31.00M,-41.80M,,,-2.30M,-44.10M,,,152.20M,16.10M,,16.10M,,-8.90M,,-43.60M,115.80M,389.10M,-6.00M,,383.10M,16.10M,,,
1998-06,141.70M,,,13.80M,56.40M,56.40M,,,,-43.90M,247.40M,11.70M,-40.70M,-92.60M,,141.90M,,443.90M,-37.80M,4.70M,-33.10M,,,3.20M,-79.30M,,,-57.70M,24.50M,-96.60M,-72.10M,,-21.20M,,10.80M,-140.20M,0.00,224.40M,1.20M,389.10M,24.50M,,,-96.60M
