,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,96.86M,96.86M,7.763M,89.10M,,5.516M,,,,,,,,23.74M,65.36M,,,,,,,,41.48M,8.124M,,-2.038M,4.147M,49.61M,41.48M,83.58M,17.86M,65.36M,0.24,0.07,,,0.24,0.31,0.24,0.06,,,0.24,0.3,126.31M,127.86M,0.415
2003-06,92.42M,92.42M,7.415M,85.00M,,5.662M,,,,,,,,24.05M,60.95M,,,,,,,,36.28M,0.639M,,-2.264M,4.848M,36.91M,36.28M,79.34M,18.29M,60.95M,0.16,0.01,,,0.16,0.17,0.16,0.01,,,0.16,0.17,121.46M,122.44M,0.415
2003-03,85.91M,85.91M,,,5.242M,5.242M,,,-30.88M,,,,81.28M,73.96M,11.94M,,,,,,,,31.49M,-3.824M,,-1.995M,6.225M,27.66M,31.49M,30.26M,18.32M,11.94M,0.21,-0.03,,,0.21,0.18,0.21,-0.03,,,0.21,0.18,119.16M,120.04M,0.415
2002-12,70.51M,15.81M,,,5.949M,5.949M,,,-22.52M,,,,,-160.50M,198.96M,,,,,,,,26.98M,2.391M,,14.67M,6.225M,29.37M,26.98M,226.91M,27.94M,198.96M,-0.18,0.38,,,-0.18,0.2,-0.18,0.37,,,-0.18,0.19,114.55M,121.73M,0.415
2002-09,89.43M,89.43M,8.337M,81.09M,4.102M,4.102M,18.86M,,-31.30M,,,,31.30M,22.96M,58.12M,,,,,,,,35.71M,1.533M,,-2.049M,6.225M,37.24M,35.71M,76.99M,18.71M,58.12M,0.25,0.015,,,0.25,0.265,0.25,0.015,,,0.25,0.265,116.41M,116.83M,0.41
2002-06,87.61M,87.61M,7.23M,80.38M,,4.393M,18.21M,,,,,,,22.60M,57.78M,,,,,,,,37.33M,3.025M,,-2.23M,6.225M,40.36M,37.33M,75.99M,16.17M,57.78M,0.275,0.025,,,0.275,0.3,0.27,0.025,,,0.27,0.295,114.64M,115.25M,0.405
2002-03,79.70M,79.70M,,,4.145M,4.145M,,,-28.98M,,,,,-24.84M,104.54M,,,,,,,,31.25M,-0.842M,,1.999M,6.225M,30.41M,31.25M,123.98M,19.44M,104.54M,0.1075,0.0,,,0.1075,0.1075,0.105,0.0,,,0.105,0.105,226.95M,228.10M,0.4
2001-12,74.34M,49.50M,,,,,,1.20M,-25.82M,,,,,-170.60M,241.78M,,,,1.20M,,,,18.67M,7.006M,,11.22M,6.225M,36.17M,28.44M,273.46M,31.68M,241.78M,0.1976,0.031,,,0.1909,0.2286,0.1976,0.031,,,0.1909,0.2286,106.36M,106.78M,0.395
2001-09,83.38M,83.38M,7.386M,76.00M,3.221M,3.221M,17.47M,-5.19M,-28.08M,,,,28.08M,20.69M,55.31M,,,,-5.19M,,,,29.56M,-5.484M,,-1.689M,6.225M,24.07M,32.67M,73.06M,17.75M,55.31M,0.16,0.0,,,0.1881,0.16,0.16,0.0,,,0.188,0.16,110.72M,111.25M,0.39
2001-06,83.41M,83.41M,7.193M,76.22M,3.509M,3.509M,17.23M,,-28.50M,,,,29.07M,21.31M,54.91M,,,,,,,,33.76M,1.139M,,-1.598M,6.225M,34.90M,33.76M,72.14M,15.93M,54.91M,0.27,0.0,,,0.27,0.27,0.27,0.0,,,0.27,0.27,106.32M,106.78M,0.385
2001-03,76.59M,76.59M,,,,,,,-29.02M,,,,,-29.02M,105.61M,,,,,,,,25.24M,0.785M,,1.337M,6.225M,26.02M,25.24M,124.35M,18.74M,105.61M,0.0975,0.0,,,0.0975,0.0975,0.0975,0.0,,,0.0975,0.0975,203.85M,204.77M,0.38
2000-12,79.05M,41.66M,,,,,,,,,,,,-176.14M,238.46M,,,,,,,,2.973M,,,10.13M,6.225M,36.92M,22.24M,258.99M,20.54M,238.46M,0.1579,0.1444,,,0.1579,0.305,0.1579,0.1444,,,0.1579,0.305,102.21M,102.28M,0.375
2000-09,83.69M,83.69M,7.201M,76.49M,,3.27M,,,,,,,2.00M,22.73M,53.76M,,,,,,,,30.84M,,0.065M,-1.326M,6.225M,30.91M,30.84M,71.22M,17.46M,53.76M,0.245,0.0,0.0,,0.245,0.245,0.24,0.0,0.0006,,0.24,0.24,101.92M,102.05M,0.37
2000-06,84.09M,84.09M,6.753M,77.34M,,3.22M,,,,,,,,20.67M,56.67M,,,,,,,,36.50M,,0.00,-1.664M,6.225M,36.50M,36.50M,74.12M,17.45M,56.67M,0.295,0.0,0.0,,0.295,0.295,0.295,0.0,0.0,,0.295,0.295,102.14M,102.19M,0.365
2000-03,82.25M,82.25M,,,,,,0.684M,-27.36M,,,,,-27.36M,109.62M,,,,0.684M,,,,32.94M,,0.209M,1.413M,6.225M,33.15M,32.53M,109.62M,,109.62M,0.1325,0.0,0.0,,0.1305,0.1325,0.13,0.0,0.001,,0.128,0.13,205.14M,205.20M,0.36
1999-12,81.45M,71.14M,6.206M,64.94M,,2.796M,,,,,,,,17.90M,47.03M,,,,,,,,27.00M,,0.00,-1.638M,5.447M,27.00M,27.00M,62.14M,15.11M,47.03M,0.225,0.0,0.0,,0.225,0.225,0.225,0.0,0.0,,0.225,0.225,88.80M,88.80M,0.355
1999-09,52.22M,52.22M,4.206M,48.01M,,3.01M,,,,,,,,13.21M,34.81M,,,,,,,,30.17M,,0.00,-0.853M,4.109M,30.17M,30.17M,45.00M,10.20M,34.81M,0.405,0.0,0.0,,0.405,0.405,0.4,0.0,0.0,,0.4,0.4,64.09M,70.91M,0.35
1999-06,52.06M,51.81M,4.077M,47.74M,,2.988M,,,-17.40M,,,,17.40M,13.09M,34.65M,,,,0.20M,,,,19.68M,,0.00,-1.544M,4.11M,19.68M,19.56M,44.75M,10.09M,34.65M,0.245,0.0,0.0,,0.2431,0.245,0.245,0.0,0.0,,0.2431,0.245,63.36M,63.58M,0.345
1999-03,49.60M,49.60M,,,,,,,-16.40M,,,,,-16.40M,66.00M,,,,,,,,19.40M,,,1.40M,4.10M,19.40M,19.40M,75.40M,9.40M,66.00M,0.1225,0.0,,,0.1225,0.1225,0.1225,0.0,,,0.1225,0.1225,62.08M,62.08M,0.34
1998-12,52.50M,38.35M,,,,,,,-12.20M,,,,,74.39M,-41.09M,,,,7.40M,,,,27.10M,,,-8.64M,4.132M,27.07M,22.63M,-32.92M,8.177M,-41.09M,0.3701,,,,0.2984,0.3701,0.3701,,,,0.2984,0.3701,61.98M,61.98M,0.335
1998-09,48.40M,48.40M,,,,,,,-12.30M,,,,,-12.30M,60.70M,,,,6.20M,,,,24.90M,,,0.90M,2.10M,24.90M,21.18M,68.20M,7.50M,60.70M,0.185,0.0,,,0.125,0.185,0.18,0.0,,,0.12,0.18,61.97M,61.97M,0.33
1998-06,38.40M,38.40M,,,,,,,-10.80M,,,,,-10.80M,49.20M,,,,0.50M,,,,17.70M,,,1.10M,1.20M,17.70M,17.40M,56.50M,7.30M,49.20M,0.135,0.0,,,0.1302,0.135,0.1325,0.0,,,0.1277,0.1325,61.93M,61.93M,0.325
