,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-03,5.399B,5.399B,4.24B,1.159B,703.00M,3.00M,,,,,703.00M,456.00M,,,,1.00M,,373.00M,99.00M,274.00M,,-20.00M,,254.00M,271.80M,598.00M,142.00M,456.00M,,0.32,-0.02,0.00,0.3174,0.30,,0.32,-0.02,-0.0236,0.3174,0.30,,846.67M,846.67M,0.1875,,,
2002-12,5.855B,5.855B,4.832B,1.023B,782.00M,-2.59B,,,,,782.00M,241.00M,,,,-2.565B,,-2.347B,-880.00M,-1.467B,,,,-1.467B,151.89M,402.00M,161.00M,241.00M,,-1.777,,,0.1958,-1.777,,-1.83,0.00,,0.0646,-1.83,,820.39M,854.49M,0.1875,,,
2002-09,5.569B,5.569B,4.236B,1.333B,698.00M,4.00M,,,,,698.00M,635.00M,,,,11.00M,,560.00M,148.00M,412.00M,,,,412.00M,409.06M,805.00M,170.00M,635.00M,,0.50,0.00,,0.4964,0.50,,0.50,0.00,,0.4964,0.50,,824.00M,824.00M,0.1875,,,
2002-06,5.651B,5.651B,4.431B,1.22B,660.00M,-160.00M,,,,,660.00M,560.00M,,,,-157.00M,,315.00M,-144.00M,459.00M,,,,459.00M,555.00M,724.00M,164.00M,560.00M,,0.56,0.00,,0.6771,0.56,,0.56,0.00,,0.6771,0.56,,819.64M,819.64M,0.1875,,,
2002-03,5.199B,5.199B,4.116B,1.083B,617.00M,141.00M,,,,,617.00M,466.00M,,,,148.00M,,527.00M,151.00M,376.00M,,,,376.00M,275.40M,642.00M,176.00M,466.00M,,0.46,0.00,,0.3369,0.46,,0.46,0.00,,0.3369,0.46,,817.39M,817.39M,0.1875,,,
2001-12,5.853B,5.853B,5.021B,832.00M,656.00M,-27.00M,,,,,656.00M,176.00M,,,,-15.00M,,95.00M,-23.00M,118.00M,,,,118.00M,134.20M,403.00M,227.00M,176.00M,,0.15,0.00,,0.1682,0.15,,0.15,0.00,,0.1682,0.15,,888.89M,888.89M,0.1875,,,
2001-09,5.789B,5.789B,5.368B,421.00M,803.00M,,,,,,803.00M,-382.00M,,,,-17.00M,,-498.00M,-190.00M,-308.00M,,,,-308.00M,-308.00M,-160.00M,222.00M,-382.00M,,-0.38,0.00,,-0.38,-0.38,,-0.38,0.00,,-0.38,-0.38,,810.53M,810.53M,0.1875,,,
2001-06,6.066B,6.066B,5.067B,999.00M,837.00M,14.00M,,,,,837.00M,162.00M,,,,-71.00M,,-12.00M,-62.00M,50.00M,,,,50.00M,41.60M,400.00M,238.00M,162.00M,,0.06,0.00,,0.0499,0.06,,0.06,0.00,,0.0499,0.06,,833.33M,833.33M,0.1875,,,
2001-03,5.944B,5.944B,4.973B,971.00M,768.00M,4.00M,,,,,768.00M,203.00M,,,,-99.00M,,-7.00M,-48.00M,41.00M,,,,41.00M,38.60M,442.00M,239.00M,203.00M,,0.05,0.00,,0.0471,0.05,,0.05,0.00,,0.0471,0.05,,820.00M,820.00M,0.1875,,,
2000-12,6.454B,6.454B,5.124B,1.33B,822.00M,-36.00M,,,,,822.00M,508.00M,,,,-75.00M,,362.00M,108.00M,254.00M,,,,254.00M,279.26M,736.00M,228.00M,508.00M,,0.31,0.00,,0.3412,0.31,,0.31,0.00,,0.3410,0.31,,810.91M,814.66M,0.1875,,,
2000-09,6.216B,6.216B,4.845B,1.371B,791.00M,35.00M,,,,,791.00M,580.00M,,,,-33.00M,,422.00M,140.00M,282.00M,,,,282.00M,258.61M,818.00M,238.00M,580.00M,,0.35,0.00,,0.3210,0.35,,0.35,0.00,,0.3210,0.35,,805.71M,805.71M,0.1875,,,
2000-06,6.309B,6.309B,4.671B,1.638B,763.00M,115.00M,,,,,763.00M,875.00M,,,,129.00M,,875.00M,258.00M,617.00M,,,,617.00M,535.91M,1.142B,267.00M,875.00M,,0.77,0.00,,0.6688,0.77,,0.76,0.00,,0.6601,0.76,,801.30M,811.84M,0.1875,,,
2000-03,6.044B,6.044B,4.45B,1.594B,758.00M,10.00M,,,,,758.00M,836.00M,,,,14.00M,,739.00M,233.00M,506.00M,,,,506.00M,499.15M,1.098B,262.00M,836.00M,,0.64,0.00,,0.6313,0.64,,0.63,0.00,,0.6215,0.63,,790.62M,803.17M,0.1875,,,
1999-12,6.159B,6.159B,5.104B,1.055B,1.073B,-18.00M,,,,,1.073B,-18.00M,,,,44.00M,,-17.00M,-24.00M,7.00M,,,,7.00M,17.80M,198.00M,216.00M,-18.00M,,0.0088,,,0.0224,0.0088,,0.0088,,,0.0224,0.0088,,795.13M,795.13M,0.17,,,
1999-09,6.036B,6.036B,4.574B,1.462B,699.00M,104.00M,,,,,699.00M,763.00M,,,,120.00M,,823.00M,269.00M,554.00M,,,,554.00M,483.99M,987.00M,224.00M,763.00M,,0.70,0.00,,0.5737,0.70,,0.68,0.00,,0.5564,0.68,,554.20M,566.60M,0.17,,,
1999-06,5.958B,5.958B,4.625B,1.333B,745.00M,279.00M,,,,,745.00M,588.00M,,,,267.00M,,796.00M,256.00M,540.00M,,,,540.00M,350.73M,808.00M,220.00M,588.00M,,0.68,0.00,,0.3400,0.68,,0.67,0.00,,0.3365,0.67,,556.60M,567.50M,0.17,,,
1999-03,5.582B,5.582B,4.192B,1.39B,699.00M,18.00M,,,,,699.00M,691.00M,,,,28.00M,,646.00M,206.00M,440.00M,,,,440.00M,427.74M,912.00M,221.00M,691.00M,,0.55,0.00,,0.5345,0.55,,0.55,0.00,,0.5348,0.55,,793.10M,806.60M,0.17,,,
1998-12,12.30B,12.30B,9.093B,3.206B,1.808B,16.00M,,,,,1.808B,1.398B,,,,96.00M,,1.343B,419.00M,924.00M,,,,924.00M,912.99M,1.842B,444.00M,1.398B,,0.64,0.00,,0.6204,0.64,,0.64,0.00,,0.6209,0.64,,562.50M,575.70M,0.15,,,
1998-09,3.741B,3.741B,2.838B,903.00M,396.00M,-8.00M,,,,,396.00M,507.00M,,,,11.00M,,480.00M,151.00M,329.00M,,,,329.00M,334.48M,658.00M,151.00M,507.00M,,0.59,0.00,,0.5998,0.59,,0.58,0.00,,0.5896,0.58,,560.00M,571.50M,0.15,,,
1998-06,3.869B,3.869B,2.949B,920.00M,406.00M,,,,,,406.00M,514.00M,,,,29.00M,,511.00M,161.00M,350.00M,,,,350.00M,350.00M,663.00M,149.00M,514.00M,,0.62,0.00,,0.62,0.62,,0.61,0.00,,0.61,0.61,,563.20M,577.10M,0.15,,,
1998-03,3.646B,3.646B,2.809B,837.00M,398.00M,-1.00M,,,,,398.00M,439.00M,,,,33.00M,,438.00M,138.00M,300.00M,,,,300.00M,300.68M,592.00M,153.00M,439.00M,,0.53,0.00,,0.5312,0.53,,0.52,0.00,,0.5212,0.52,,564.30M,578.40M,0.15,,,
1997-12,11.94B,11.94B,9.235B,2.702B,1.795B,268.00M,,,,,1.795B,907.00M,,,,319.00M,,1.14B,355.00M,785.00M,,,,785.00M,600.46M,1.339B,432.00M,907.00M,,0.53,0.00,,0.2037,0.53,,0.53,0.00,,0.2126,0.53,,565.60M,581.40M,0.13,,,
1997-09,3.657B,3.657B,2.84B,817.00M,394.00M,14.00M,,,,,394.00M,423.00M,,,,58.00M,,431.00M,139.00M,292.00M,,,,292.00M,282.52M,574.00M,151.00M,423.00M,,0.52,0.00,,0.5032,0.52,,0.50,0.00,,0.4837,0.50,,564.50M,581.10M,0.13,,,
1997-06,3.578B,3.578B,2.764B,814.00M,386.00M,14.00M,,,,,386.00M,428.00M,,,,69.00M,,458.00M,153.00M,305.00M,,,,305.00M,295.68M,583.00M,155.00M,428.00M,,0.54,0.00,,0.5235,0.54,,0.52,0.00,,0.5039,0.52,,565.40M,580.30M,0.13,,,
1997-03,3.327B,3.327B,2.605B,722.00M,365.00M,34.00M,,,,,365.00M,357.00M,,,,75.00M,,390.00M,131.00M,259.00M,,,,259.00M,236.42M,507.00M,150.00M,357.00M,,0.46,0.00,,0.4202,0.46,,0.45,0.00,,0.4112,0.45,,567.00M,582.40M,0.13,,,
1996-12,3.498B,3.498B,2.761B,737.00M,365.00M,-48.00M,,,,0.00,365.00M,372.00M,,,,-9.00M,,397.00M,127.00M,270.00M,,,,270.00M,302.64M,501.00M,129.00M,372.00M,,0.445,0.00,,0.4987,0.445,,0.405,0.00,,0.4544,0.405,,608.14M,661.44M,0.1125,,,
1996-09,3.348B,3.348B,2.598B,750.00M,379.00M,26.00M,,,,,379.00M,371.00M,,,,57.00M,,381.00M,128.00M,253.00M,,,,253.00M,235.73M,521.00M,150.00M,371.00M,,0.45,0.00,,0.4195,0.45,,0.45,0.00,,0.4195,0.45,,565.70M,565.70M,0.1125,,,
1996-06,3.347B,3.347B,3.235B,112.00M,366.00M,688.00M,,,,-655.00M,-289.00M,401.00M,,,,734.00M,,433.00M,161.00M,272.00M,,,,272.00M,-160.18M,556.00M,155.00M,401.00M,,0.48,0.00,,-0.2842,0.48,,0.48,0.00,,-0.2842,0.48,,565.54M,565.54M,0.1125,,,
1996-03,3.778B,3.778B,3.012B,766.00M,401.00M,,,,,,401.00M,365.00M,,,,27.00M,,342.00M,117.00M,225.00M,,,,225.00M,225.00M,533.00M,168.00M,365.00M,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,565.70M,565.70M,0.1125,,,
1995-12,3.798B,3.798B,3.09B,708.00M,402.00M,-44.00M,,,,,446.00M,262.00M,,,,24.00M,,291.00M,58.00M,233.00M,,,,233.00M,268.23M,414.00M,152.00M,262.00M,,0.415,0.00,,0.4775,0.415,,0.415,0.00,,0.4771,0.415,,563.75M,567.21M,0.0975,,,
1995-09,3.499B,3.499B,2.80B,699.00M,369.00M,-3.00M,,,,,369.00M,330.00M,,,,35.00M,,322.00M,105.00M,217.00M,,,,217.00M,219.02M,483.00M,153.00M,330.00M,,0.385,0.00,,0.3886,0.385,,0.385,0.00,,0.3886,0.385,,566.21M,566.21M,0.0975,,,
1995-06,3.63B,3.63B,2.902B,728.00M,374.00M,1.00M,,,,,374.00M,354.00M,,,,37.00M,,345.00M,118.00M,227.00M,,,,227.00M,226.34M,509.00M,155.00M,354.00M,,0.40,0.00,,0.3988,0.40,,0.40,0.00,,0.3988,0.40,,567.89M,567.89M,0.0975,,,
1995-03,3.419B,3.419B,2.747B,672.00M,358.00M,-19.00M,,,,,358.00M,314.00M,,,,30.00M,,303.00M,105.00M,198.00M,,,,198.00M,210.42M,466.00M,152.00M,314.00M,,0.35,0.00,,0.3719,0.35,,0.35,0.00,,0.3719,0.35,,567.53M,567.53M,0.0975,,,
1994-12,3.534B,3.534B,2.853B,681.00M,381.00M,-7.00M,,,,,381.00M,300.00M,,,,31.00M,,296.00M,91.00M,205.00M,,,,205.00M,209.85M,446.00M,146.00M,300.00M,,0.365,0.00,,0.3736,0.365,,0.365,0.00,,0.3735,0.365,,564.22M,567.15M,0.0838,,,
1994-09,3.11B,3.11B,2.503B,607.00M,325.00M,-3.00M,,,,,325.00M,282.00M,,,,28.00M,,276.00M,87.00M,189.00M,,,,189.00M,191.05M,418.00M,136.00M,282.00M,,0.335,0.00,,0.3386,0.335,,0.335,0.00,,0.3386,0.335,,566.04M,566.04M,0.0838,,,
1994-06,3.187B,3.187B,2.541B,646.00M,346.00M,-3.00M,,,,,346.00M,300.00M,,,,27.00M,,289.00M,93.00M,196.00M,,,,196.00M,198.03M,443.00M,143.00M,300.00M,,0.345,0.00,,0.3486,0.345,,0.345,0.00,,0.3486,0.345,,566.53M,566.53M,0.0838,,,
1994-03,2.986B,2.986B,2.402B,584.00M,314.00M,-13.00M,,,,,314.00M,270.00M,,,,17.00M,,250.00M,81.00M,169.00M,,,,169.00M,177.79M,405.00M,135.00M,270.00M,,0.30,0.00,,0.3154,0.30,,0.30,0.00,,0.3154,0.30,,568.91M,568.91M,0.0725,,,
1993-12,3.049B,3.049B,2.872B,177.00M,370.00M,-88.00M,,,,,-52.00M,229.00M,,,,34.00M,,248.00M,79.00M,169.00M,,,,-76.00M,228.97M,370.00M,141.00M,229.00M,,-0.13,0.00,,-0.0216,-0.13,,-0.13,0.00,,-0.0241,-0.13,,553.22M,566.28M,0.0725,,,
1993-09,2.822B,2.822B,2.136B,686.00M,325.00M,23.00M,,,,,456.00M,230.00M,,,,23.00M,,217.00M,49.00M,168.00M,,,,168.00M,150.19M,361.00M,131.00M,230.00M,,0.30,0.00,,0.2682,0.30,,0.30,0.00,,0.2682,0.30,,560.00M,560.00M,0.0725,,,
1993-06,3.055B,3.055B,2.325B,730.00M,332.00M,22.00M,,,,,472.00M,258.00M,,,,22.00M,,237.00M,67.00M,170.00M,,,,170.00M,154.22M,398.00M,140.00M,258.00M,,0.31,0.00,,0.2812,0.31,,0.31,0.00,,0.2812,0.31,,548.39M,548.39M,0.0725,,,
1993-03,2.901B,2.901B,2.218B,683.00M,311.00M,-29.00M,,,,,446.00M,237.00M,,,,-29.00M,,208.00M,59.00M,149.00M,,,,149.00M,169.77M,372.00M,135.00M,237.00M,,0.27,0.00,,0.3076,0.27,,0.27,0.00,,0.3076,0.27,,551.85M,551.85M,0.0725,,,
1992-12,3.052B,3.052B,2.413B,639.00M,720.00M,406.00M,,,,,860.00M,-221.00M,,,,406.00M,,134.00M,11.00M,123.00M,,,,-1.124B,-249.67M,-81.00M,140.00M,-221.00M,,0.21,-2.21,,-0.4216,-2.00,,0.21,-2.21,,-0.4216,-2.00,,590.05M,590.05M,0.0625,,,
1992-09,2.936B,2.936B,2.27B,666.00M,320.00M,26.00M,,,,,449.00M,217.00M,,,,26.00M,,190.00M,50.00M,140.00M,,,,140.00M,120.84M,346.00M,129.00M,217.00M,,0.25,0.00,,0.2158,0.25,,0.25,0.00,,0.2158,0.25,,560.00M,560.00M,0.0625,,,
1992-06,3.075B,3.075B,2.383B,692.00M,337.00M,33.00M,,,,,469.00M,223.00M,,,,33.00M,,204.00M,59.00M,145.00M,,,,145.00M,121.54M,355.00M,132.00M,223.00M,,0.26,0.00,,0.2179,0.26,,0.26,0.00,,0.2179,0.26,,557.69M,557.69M,0.0625,,,
1992-03,2.979B,2.979B,2.328B,651.00M,327.00M,42.00M,,,,,455.00M,196.00M,,,,42.00M,,174.00M,47.00M,127.00M,,,,127.00M,96.34M,324.00M,128.00M,196.00M,,0.23,0.00,,0.1745,0.23,,0.23,0.00,,0.1745,0.23,,552.17M,552.17M,0.0625,,,
1991-12,3.004B,3.004B,2.36B,644.00M,345.00M,27.00M,,,,,473.00M,171.00M,,,,27.00M,,140.00M,25.00M,115.00M,,,,115.00M,92.82M,299.00M,128.00M,171.00M,,0.22,0.00,,0.1809,0.22,,0.22,0.00,,0.1809,0.22,,567.33M,567.33M,0.0625,,,
1991-09,2.877B,2.877B,2.275B,602.00M,1.154B,-25.00M,,,,,1.274B,-672.00M,,,,-25.00M,,-759.00M,-219.00M,-540.00M,,,,-540.00M,-522.21M,-552.00M,120.00M,-672.00M,,-0.99,0.00,,-0.9574,-0.99,,-0.99,0.00,,-0.9574,-0.99,,545.45M,545.45M,0.1125,,,
1991-06,3.047B,3.047B,2.426B,621.00M,372.00M,91.00M,,,,,498.00M,123.00M,,,,91.00M,,148.00M,59.00M,89.00M,,,,89.00M,34.28M,249.00M,126.00M,123.00M,,0.17,0.00,,0.0655,0.17,,0.17,0.00,,0.0655,0.17,,523.53M,523.53M,0.1125,,,
1991-03,2.903B,2.903B,2.347B,556.00M,339.00M,65.00M,,,,,469.00M,87.00M,,,,65.00M,,81.00M,18.00M,63.00M,,,,63.00M,12.44M,217.00M,130.00M,87.00M,,0.12,0.00,,0.0237,0.12,,0.12,0.00,,0.0237,0.12,,525.00M,525.00M,0.1125,,,
1990-12,3.143B,3.143B,2.537B,606.00M,364.00M,49.00M,,,,,477.00M,129.00M,,,,49.00M,,109.00M,2.00M,107.00M,,,,107.00M,58.90M,242.00M,113.00M,129.00M,,0.20,0.00,,0.1102,0.20,,0.20,0.00,,0.1102,0.20,,535.94M,535.94M,0.1125,,,
1990-09,2.961B,2.961B,2.348B,613.00M,333.00M,33.00M,,,,,449.00M,164.00M,,,,33.00M,,128.00M,23.00M,105.00M,,,,105.00M,77.93M,280.00M,116.00M,164.00M,,0.19,0.00,,0.1410,0.19,,0.19,0.00,,0.1410,0.19,,552.63M,552.63M,0.1125,,,
1990-06,3.184B,3.184B,2.509B,675.00M,346.00M,31.00M,,,,,462.00M,213.00M,,,,31.00M,,174.00M,53.00M,121.00M,,,,121.00M,99.44M,329.00M,116.00M,213.00M,,0.22,0.00,,0.1808,0.22,,0.22,0.00,,0.1808,0.22,,550.00M,550.00M,0.1125,,,
1990-03,3.055B,3.055B,2.372B,683.00M,344.00M,37.00M,,,,,459.00M,224.00M,,,,37.00M,,191.00M,62.00M,129.00M,,,,129.00M,104.01M,339.00M,115.00M,224.00M,,0.23,0.00,,0.1854,0.23,,0.23,0.00,,0.1854,0.23,,560.87M,560.87M,0.1125,,,
1989-12,3.058B,3.058B,2.394B,664.00M,336.00M,8.00M,,,,,442.00M,222.00M,,,,8.00M,,161.00M,46.00M,115.00M,,,,115.00M,109.29M,328.00M,106.00M,222.00M,,0.19,0.00,,0.1805,0.19,,0.19,0.00,,0.1805,0.19,,603.03M,603.03M,0.1125,,,
1989-09,2.827B,2.827B,2.167B,660.00M,324.00M,29.00M,,,,,429.00M,231.00M,,,,29.00M,,177.00M,56.00M,121.00M,,,,121.00M,101.18M,336.00M,105.00M,231.00M,,0.21,0.00,,0.1756,0.21,,0.21,0.00,,0.1756,0.21,,576.19M,576.19M,0.1125,,,
1989-06,3.115B,3.115B,,,,,,,,,,3.115B,,,,,,,,166.00M,,,,166.00M,,3.115B,,3.115B,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,591.84M,591.84M,0.1125,,,
1989-03,2.942B,2.942B,,,,,,,,,,2.942B,,,,,,,,126.00M,,,,126.00M,,2.942B,,2.942B,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,593.38M,593.38M,0.1125,,,
1988-12,3.007B,3.007B,,,,,,,,,,-8.199B,,,,,,,,104.00M,,,,104.00M,,-8.199B,,-8.199B,,,,,,,,,,,,,,591.84M,591.84M,0.1125,,,
1988-09,2.864B,2.864B,,,,,,,,,,2.864B,,,,,,,,119.00M,,,,119.00M,,2.864B,,2.864B,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,599.80M,599.80M,0.1125,,,
1988-06,3.096B,3.096B,,,,,,,,,,3.096B,,,,,,,,128.00M,,,,128.00M,,3.096B,,3.096B,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,599.80M,599.80M,0.1125,,,
1988-03,2.942B,2.942B,,,,,,,,,,2.942B,,,,,,,,112.00M,,,,112.00M,,2.942B,,2.942B,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,599.80M,599.80M,0.1125,,,
1987-12,2.954B,2.954B,,,,,,,,,,-7.412B,,,,,,,,77.00M,0.00,,,77.00M,,-7.412B,,-7.412B,,,0.00,,,0.00,,,0.00,,,0.00,,599.80M,599.80M,0.1125,,,
1987-09,2.679B,2.679B,,,,,,,,,,2.679B,,,,,,,,174.00M,,,,174.00M,,2.679B,,2.679B,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,686.66M,686.66M,0.1125,,,
1987-06,2.846B,2.846B,,,,,,,,,,2.846B,,,,,,,,111.00M,,,,111.00M,,2.846B,,2.846B,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,693.71M,693.71M,0.1125,,,
1987-03,2.637B,2.637B,,,,,,,,,,2.637B,,,,,,,,153.00M,3.00M,,,156.00M,,2.637B,,2.637B,,0.22,0.01,,0.22,0.23,,0.22,0.01,,0.22,0.23,,697.41M,697.41M,0.1125,,,
1986-12,3.035B,3.035B,,,,,,,,,,-7.707B,,,,,,,,69.00M,,,,69.00M,,-7.707B,,-7.707B,,,,,,,,,,,,,,697.41M,697.41M,0.1125,,,
1986-09,2.907B,2.907B,,,,,,,,,,2.907B,,,,,,,,164.00M,,,,164.00M,,2.907B,,2.907B,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,700.13M,700.13M,0.1125,,,
1986-06,2.943B,2.943B,,,,,,,,,,2.943B,,,,,,,,186.00M,,,,186.00M,,2.943B,,2.943B,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,705.28M,705.28M,0.1125,,,
1986-03,2.909B,2.909B,,,,,,,,,,2.909B,,,,,,,,186.00M,,,,186.00M,,2.909B,,2.909B,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,700.78M,700.78M,0.1125,,,
1985-12,2.615B,2.615B,,,,,,,,,,-5.605B,,,,,,,,-660.00M,,,,-660.00M,,-5.605B,,-5.605B,,,,,,,,,,,,,,700.78M,700.78M,,,,
1985-09,1.631B,1.631B,,,,,,,,,,1.631B,,,,,,,,95.00M,,,,95.00M,,1.631B,,1.631B,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,700.78M,700.78M,,,,
1985-06,2.41B,2.41B,,,,,,,,,,2.41B,,,,,,,,152.00M,,,,152.00M,,2.41B,,2.41B,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,700.78M,700.78M,,,,
1985-03,2.459B,2.459B,,,,,,,,,,2.459B,,,,,,,,134.00M,,,,134.00M,,2.459B,,2.459B,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,700.78M,700.78M,,,,
1984-12,2.303B,2.303B,,,,,,,,,,-5.818B,,,,,,,,98.00M,0.00,,,98.00M,,-5.818B,,-5.818B,,,0.00,,,0.00,,,0.00,,,0.00,,332.12M,332.12M,,,,
1984-09,2.275B,2.275B,,,,,,,,,,2.275B,,,,,,,,126.00M,,,,126.00M,,2.275B,,2.275B,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,332.12M,332.12M,,,,
1984-06,2.43B,2.43B,,,,,,,,,,2.43B,,,,,,,,130.00M,,,,130.00M,,2.43B,,2.43B,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,332.12M,332.12M,,,,
1984-03,2.454B,2.454B,,,,,,,,,,2.454B,,,,,,,,133.00M,,,,133.00M,,2.454B,,2.454B,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,332.12M,332.12M,,,,
