,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-09,1.801B,,1.801B,1.725B,,1.725B,585.00M,846.00M,806.00M,83.00M,2.041B,,581.00M,6.148B,,,,,,8.826B,-4.729B,4.097B,1.383B,,1.383B,,,,1.304B,6.784B,12.93B,,1.103B,,1.103B,1.905B,3.008B,,,,904.00M,,904.00M,,,,3.912B,,1.317B,,1.317B,595.00M,,595.00M,,,,3.081B,4.993B,8.905B,,358.00M,2.974B,2.532B,1.883B,,23.00M,23.00M,46.00M,4.027B,,,
1996-06,1.714B,,1.714B,1.947B,,1.947B,622.00M,820.00M,765.00M,84.00M,1.998B,,604.00M,6.263B,,,,,,8.758B,-4.712B,4.046B,1.395B,,1.395B,,,,1.251B,6.692B,12.96B,,1.111B,,1.111B,2.141B,3.252B,,,,908.00M,,908.00M,,,,4.16B,,1.33B,,1.33B,504.00M,,504.00M,,,,3.114B,4.948B,9.108B,,358.00M,2.744B,2.517B,1.801B,,,,29.00M,3.847B,,,
1996-03,558.00M,,558.00M,1.832B,,1.832B,649.00M,836.00M,814.00M,96.00M,2.123B,,608.00M,5.121B,,,,,,9.876B,-5.187B,4.689B,1.556B,,1.556B,,,,1.256B,7.501B,12.62B,,1.40B,,1.40B,1.781B,3.181B,,,,798.00M,,798.00M,,,,3.979B,,1.344B,,1.344B,520.00M,,520.00M,,,,3.088B,4.952B,8.931B,,358.00M,2.516B,2.508B,1.754B,,36.00M,27.00M,63.00M,3.691B,,,
1995-12,540.00M,,540.00M,1.751B,,1.751B,650.00M,769.00M,747.00M,98.00M,1.991B,,608.00M,4.89B,0.00,370.00M,1.545B,7.482B,388.00M,9.785B,-5.043B,4.742B,1.572B,,1.572B,,,,1.261B,7.575B,12.46B,,1.385B,,1.385B,1.775B,3.16B,,,,644.00M,,644.00M,,,,3.804B,,1.366B,,1.366B,551.00M,,551.00M,,,,3.152B,5.069B,8.873B,,358.00M,2.315B,2.489B,1.658B,,61.00M,27.00M,88.00M,3.592B,,,
1995-09,545.00M,,545.00M,1.78B,,1.78B,645.00M,855.00M,711.00M,77.00M,1.997B,,663.00M,4.985B,,,,,,9.408B,-4.945B,4.463B,1.387B,,1.387B,,,,1.226B,7.076B,12.06B,,1.193B,,1.193B,1.674B,2.867B,,,,763.00M,,763.00M,,,,3.63B,,1.377B,,1.377B,541.00M,,541.00M,,,,3.076B,4.994B,8.624B,,358.00M,2.114B,2.483B,1.614B,,68.00M,28.00M,96.00M,3.437B,,,
1995-06,575.00M,,575.00M,1.847B,,1.847B,588.00M,862.00M,720.00M,76.00M,1.921B,,679.00M,5.022B,,,,,,9.285B,-4.851B,4.434B,1.398B,,1.398B,,,,1.191B,7.023B,12.04B,,1.255B,,1.255B,1.87B,3.125B,,,,705.00M,,705.00M,,,,3.83B,,1.304B,,1.304B,462.00M,,462.00M,,,,3.104B,4.87B,8.70B,,358.00M,1.941B,2.472B,1.561B,,102.00M,33.00M,135.00M,3.345B,,,
1995-03,512.00M,,512.00M,1.861B,,1.861B,550.00M,824.00M,743.00M,69.00M,1.877B,,653.00M,4.903B,,,,,,9.01B,-4.718B,4.292B,1.347B,,1.347B,,,,1.175B,6.814B,11.72B,,1.291B,,1.291B,1.953B,3.244B,,,,411.00M,,411.00M,,,,3.655B,,1.317B,,1.317B,428.00M,,428.00M,,,,3.114B,4.859B,8.514B,,358.00M,1.762B,2.464B,1.488B,,70.00M,37.00M,107.00M,3.203B,,,
1994-12,508.00M,,508.00M,1.697B,,1.697B,488.00M,706.00M,766.00M,70.00M,1.743B,,637.00M,4.585B,0.00,333.00M,1.371B,6.709B,379.00M,8.792B,-4.532B,4.26B,1.349B,,1.349B,,,,1.127B,6.736B,11.32B,,1.296B,,1.296B,1.832B,3.128B,,,,263.00M,,263.00M,,,,3.391B,,1.424B,,1.424B,406.00M,,406.00M,,,,3.118B,4.948B,8.339B,,358.00M,1.613B,2.458B,1.505B,,18.00M,40.00M,58.00M,2.982B,,,
1994-09,790.00M,,790.00M,1.539B,,1.539B,471.00M,689.00M,777.00M,53.00M,1.693B,,610.00M,4.632B,,,,,,8.502B,-4.398B,4.104B,1.114B,,1.114B,,,,1.054B,6.272B,10.90B,,1.273B,,1.273B,1.722B,2.995B,,,,233.00M,,233.00M,,,,3.228B,,1.446B,,1.446B,441.00M,,441.00M,,,,2.991B,4.878B,8.106B,,358.00M,1.453B,2.457B,1.507B,,37.00M,,37.00M,2.798B,,,
1994-06,688.00M,,688.00M,1.531B,,1.531B,467.00M,683.00M,780.00M,53.00M,1.694B,,616.00M,4.529B,,,,,,8.342B,-4.273B,4.069B,1.108B,,1.108B,,,,1.082B,6.259B,10.79B,,1.233B,,1.233B,1.789B,3.022B,,,,226.00M,,226.00M,,,,3.248B,,1.531B,,1.531B,386.00M,,386.00M,,,,2.996B,4.913B,8.161B,,358.00M,1.309B,2.455B,1.505B,,10.00M,,10.00M,2.627B,,,
1994-03,811.00M,,811.00M,1.451B,,1.451B,494.00M,657.00M,822.00M,52.00M,1.744B,,588.00M,4.594B,,,,,,8.274B,-4.187B,4.087B,1.084B,,1.084B,,,,1.085B,6.256B,10.85B,,1.20B,,1.20B,1.84B,3.04B,,,,393.00M,,393.00M,,,,3.433B,,1.552B,,1.552B,359.00M,,359.00M,,,,2.977B,4.888B,8.321B,,358.00M,1.157B,2.453B,1.44B,,1.00M,,1.00M,2.529B,,,
1993-12,892.00M,,892.00M,1.343B,,1.343B,504.00M,635.00M,824.00M,51.00M,1.745B,,587.00M,4.567B,0.00,321.00M,1.241B,6.075B,531.00M,8.168B,-4.074B,4.094B,1.087B,,1.087B,,,,1.081B,6.262B,10.83B,,1.207B,,1.207B,1.924B,3.131B,,,,358.00M,,358.00M,,,,3.489B,,1.602B,,1.602B,339.00M,,339.00M,,,,3.009B,4.95B,8.439B,,358.00M,1.023B,2.453B,1.437B,,-7.00M,,-7.00M,2.39B,,,
1993-09,802.00M,,802.00M,,,1.349B,,,,,1.846B,,581.00M,4.578B,,,,,,7.903B,-3.994B,3.909B,,1.035B,1.035B,,,,960.00M,5.904B,10.48B,,1.037B,,1.037B,,1.037B,,,,465.00M,,465.00M,,,1.69B,3.192B,,1.573B,,1.573B,455.00M,,455.00M,,,,2.755B,4.783B,7.975B,,,1.135B,,,,,,,2.507B,,,
1993-06,877.00M,,877.00M,,,1.512B,,,,,1.85B,,591.00M,4.83B,,,,,,7.817B,-3.907B,3.91B,,1.033B,1.033B,,,,930.00M,5.873B,10.70B,,1.117B,,1.117B,,1.117B,,,,582.00M,,582.00M,,,1.773B,3.472B,,1.571B,,1.571B,463.00M,,463.00M,,,,2.811B,4.845B,8.317B,,,1.001B,,,,,,,2.386B,,,
1993-03,802.00M,,802.00M,,,1.532B,,,,,1.859B,,592.00M,4.785B,,,,,,7.705B,-3.833B,3.872B,,1.045B,1.045B,,,,918.00M,5.835B,10.62B,,1.09B,,1.09B,,1.09B,,,,440.00M,,440.00M,,,1.949B,3.479B,,1.577B,,1.577B,427.00M,,427.00M,,,,2.835B,4.839B,8.318B,,,864.00M,,,,,,,2.302B,,,
1992-12,931.00M,,931.00M,,,1.529B,,,,,1.871B,,588.00M,4.919B,,,,,,7.629B,-3.732B,3.897B,,1.048B,1.048B,,,,892.00M,5.837B,10.76B,,1.221B,,1.221B,,1.221B,,,,336.00M,,336.00M,,,1.948B,3.505B,,1.777B,,1.777B,412.00M,,412.00M,,,,2.811B,5.00B,8.505B,,,747.00M,,,,,,,2.251B,,,
1992-09,539.00M,,539.00M,,,1.629B,,,,,1.953B,,706.00M,4.827B,,,,,,7.324B,-3.595B,3.729B,,1.087B,1.087B,,,,749.00M,5.565B,10.39B,,1.111B,,1.111B,,1.111B,,,,591.00M,,591.00M,,,1.699B,3.401B,,1.811B,,1.811B,599.00M,,599.00M,,,,1.094B,3.504B,6.905B,,,1.913B,,,,,,,3.487B,,,
1992-06,400.00M,,400.00M,,,1.652B,,,,,1.899B,,418.00M,4.369B,,,,,,7.042B,-3.411B,3.631B,,1.084B,1.084B,,,,1.425B,6.14B,10.51B,,1.077B,,1.077B,,1.077B,,,,858.00M,,858.00M,,,1.751B,3.686B,,1.755B,,1.755B,593.00M,,593.00M,,,,1.167B,3.515B,7.201B,,,1.796B,,,,,,,3.308B,,,
1992-03,316.00M,,316.00M,,,1.559B,,,,,1.975B,,433.00M,4.283B,,,,,,6.928B,-3.315B,3.613B,,1.09B,1.09B,,,,1.464B,6.167B,10.45B,,1.042B,,1.042B,,1.042B,,,,1.022B,,1.022B,,,1.696B,3.76B,,1.716B,,1.716B,606.00M,,606.00M,,,,1.217B,3.539B,7.299B,,,1.677B,,,,,,,3.151B,,,
1991-12,238.00M,,238.00M,,,1.445B,,,,,1.996B,,450.00M,4.129B,,,,,,6.862B,-3.224B,3.638B,,1.099B,1.099B,,,,1.516B,6.253B,10.38B,,1.073B,,1.073B,,1.073B,,,,881.00M,,881.00M,,,1.649B,3.603B,,1.914B,,1.914B,593.00M,,593.00M,,,,1.289B,3.796B,7.399B,,,1.594B,,,,,,,2.983B,,,
1991-09,335.00M,,335.00M,,,1.456B,,,,,2.015B,,405.00M,4.211B,,,,,,6.619B,-3.099B,3.52B,,1.107B,1.107B,,,,1.486B,6.113B,10.32B,,1.002B,,1.002B,,1.002B,,,,814.00M,,814.00M,,,1.78B,3.596B,,2.108B,,2.108B,404.00M,,404.00M,,,,1.379B,3.891B,7.487B,,,1.514B,,,,,,,2.837B,,,
1991-06,286.00M,,286.00M,,,1.558B,,,,,2.093B,,317.00M,4.254B,,,,,,6.574B,-3.004B,3.57B,,1.114B,1.114B,,,,1.526B,6.21B,10.46B,,1.033B,,1.033B,,1.033B,,,,880.00M,,880.00M,,,1.495B,3.408B,,2.068B,,2.068B,643.00M,,643.00M,,,,930.00M,3.641B,7.049B,,,2.12B,,,,,,,3.415B,,,
1991-03,270.00M,,270.00M,,,1.542B,,,,,2.187B,,299.00M,4.298B,,,,,,6.546B,-2.945B,3.601B,,1.129B,1.129B,,,,1.492B,6.222B,10.52B,,1.062B,,1.062B,,1.062B,,,,1.066B,,1.066B,,,1.361B,3.489B,,2.046B,,2.046B,637.00M,,637.00M,,,,918.00M,3.601B,7.09B,,,2.101B,,,,,,,3.43B,,,
1990-12,382.00M,,382.00M,,,1.452B,,,,,2.168B,,314.00M,4.316B,,,,,,6.435B,-2.851B,3.584B,,1.107B,1.107B,,,,1.449B,6.14B,10.46B,,1.256B,,1.256B,,1.256B,,,,697.00M,,697.00M,,,1.471B,3.424B,,2.051B,,2.051B,673.00M,,673.00M,,,,928.00M,3.652B,7.076B,,,2.113B,,,,,,,3.38B,,,
1990-09,276.00M,,276.00M,,,1.60B,,,,,2.194B,,111.00M,4.181B,,,,,,6.085B,-2.683B,3.402B,,1.309B,1.309B,,,,1.546B,6.257B,10.44B,,1.031B,,1.031B,,1.031B,,,,1.02B,,1.02B,,,1.591B,3.642B,,1.809B,,1.809B,739.00M,,739.00M,,,,934.00M,3.482B,7.124B,,,2.08B,,,,,,,3.314B,,,
1990-06,292.00M,,292.00M,,,1.613B,,,,,2.201B,,110.00M,4.216B,,,,,,6.086B,-2.687B,3.399B,,1.316B,1.316B,,,,1.482B,6.197B,10.41B,,1.064B,,1.064B,,1.064B,,,,1.00B,,1.00B,,,1.658B,3.722B,,1.747B,,1.747B,747.00M,,747.00M,,,,870.00M,3.364B,7.086B,,,2.042B,,,,,,,3.327B,,,
1990-03,335.00M,,335.00M,,,1.558B,,,,,2.18B,,101.00M,4.174B,,,,,,5.966B,-2.591B,3.375B,,1.325B,1.325B,,,,1.334B,6.034B,10.21B,,1.055B,,1.055B,,1.055B,,,,632.00M,,632.00M,,,1.675B,3.362B,,1.888B,,1.888B,739.00M,,739.00M,,,,881.00M,3.508B,6.87B,,,1.985B,,,,,,,3.338B,,,
1989-12,525.00M,,525.00M,,,1.443B,,,,,2.063B,,110.00M,4.141B,,,,,,5.803B,-2.482B,3.321B,,1.318B,1.318B,,,,1.352B,5.991B,10.13B,,1.132B,,1.132B,,1.132B,,,,479.00M,,479.00M,,,1.616B,3.227B,,1.903B,,1.903B,722.00M,,722.00M,,,,868.00M,3.493B,6.72B,,,1.923B,,,,,,,3.412B,,,
1989-09,512.00M,,512.00M,,,1.401B,,,,,2.086B,,125.00M,4.124B,,,,,,5.576B,-2.351B,3.225B,,1.335B,1.335B,,,,1.344B,5.904B,10.03B,,950.00M,,950.00M,,950.00M,,,,166.00M,,166.00M,,,1.691B,2.807B,,2.095B,,2.095B,745.00M,,745.00M,,,,843.00M,3.683B,6.49B,,,1.876B,,,,,,,3.538B,,,
1988-12,397.00M,,397.00M,,,1.492B,,,,,2.061B,,167.00M,4.117B,,,,,,5.34B,-2.126B,3.214B,,1.378B,1.378B,,,,1.296B,5.888B,10.00B,,,,,,,,,,260.00M,,260.00M,,,2.942B,3.202B,,2.044B,,2.044B,717.00M,,717.00M,,,,774.00M,3.535B,6.737B,,,1.671B,,,,,,,3.268B,,,
1987-12,349.00M,,349.00M,,,1.493B,,,,,2.06B,,182.00M,4.084B,,,,,,5.226B,-1.896B,3.33B,,1.547B,1.547B,,,,1.265B,6.142B,10.23B,,,,,,,,,,497.00M,,497.00M,,,2.965B,3.462B,,2.017B,,2.017B,706.00M,,706.00M,,,,912.00M,3.635B,7.097B,,,1.503B,,,,,,,3.129B,,,
1986-12,193.00M,,193.00M,,,1.501B,,,,,2.451B,,461.00M,4.606B,,,,,,5.146B,-1.632B,3.514B,,1.99B,1.99B,,,,1.158B,6.662B,11.27B,,,,,,,,,,853.00M,,853.00M,,,2.802B,3.655B,,2.127B,,2.127B,569.00M,,569.00M,,,,1.247B,3.943B,7.598B,,,1.155B,,,,,,,3.67B,,,
1985-12,1.125B,,1.125B,,,1.407B,,,,,2.125B,,303.00M,4.96B,,,,,,4.397B,-1.244B,3.153B,,1.416B,1.416B,,,,3.742B,8.311B,13.27B,,,,,,,,,,487.00M,,487.00M,,,2.531B,3.018B,,2.086B,,2.086B,377.00M,,377.00M,,,,1.957B,4.42B,7.438B,,,938.00M,,,,,,,5.833B,,,
1984-12,136.00M,,136.00M,,,1.02B,,,,,1.172B,,227.00M,2.555B,,,,,,5.78B,-2.43B,3.35B,,533.00M,533.00M,,,,1.507B,5.39B,7.945B,,,,,,,,,,325.00M,,325.00M,,,1.949B,2.274B,,1.53B,,1.53B,126.00M,,126.00M,,,,1.268B,2.924B,5.198B,,,153.50M,,,,,,,2.747B,,,
