,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-06,810.00M,-2.00M,,-54.00M,-56.00M,,,236.00M,236.00M,90.00M,42.00M,-17.00M,28.00M,-365.00M,-59.00M,438.00M,-9.00M,,,5.00M,1.138B,,-165.00M,2.00M,-163.00M,-3.00M,49.00M,27.00M,-90.00M,,1.00M,57.00M,58.00M,99.00M,-504.00M,-405.00M,264.00M,-266.00M,17.00M,-596.00M,,3.076B,452.00M,20.00M,3.548B,,99.00M,3.00M,-2.00M,-504.00M,,AOR,Restated
2011-03,705.00M,-44.00M,,-996.00M,-1.04B,,,242.00M,242.00M,68.00M,49.00M,-13.00M,132.00M,-172.00M,-330.00M,-70.00M,-14.00M,,,-586.00M,-443.00M,,-124.00M,1.00M,-123.00M,210.00M,-102.00M,31.00M,16.00M,,944.00M,-8.00M,936.00M,101.00M,,101.00M,-264.00M,-264.00M,13.00M,786.00M,,2.65B,359.00M,67.00M,3.076B,,101.00M,1.381B,-437.00M,,,AOR,Restated
2010-12,369.00M,0.00,,-25.00M,-25.00M,,,271.00M,271.00M,190.00M,41.00M,-8.00M,-117.00M,-119.00M,56.00M,367.00M,20.00M,,,324.00M,1.045B,,-300.00M,6.00M,-294.00M,22.00M,0.00,-17.00M,-289.00M,,-2.00M,-596.00M,-598.00M,84.00M,0.00,84.00M,-944.00M,-240.00M,8.00M,-746.00M,,2.64B,10.00M,0.00,2.65B,,84.00M,0.00,-2.00M,0.00,,AOR,Restated
2010-09,598.00M,0.00,,22.00M,22.00M,,,242.00M,242.00M,201.00M,37.00M,-1.00M,301.00M,-381.00M,-225.00M,574.00M,-43.00M,,,-75.00M,1.325B,,-166.00M,6.00M,-160.00M,-322.00M,-40.00M,34.00M,-488.00M,,-329.00M,-245.00M,-574.00M,56.00M,0.00,56.00M,,-240.00M,1.00M,-757.00M,,2.451B,80.00M,109.00M,2.64B,,56.00M,0.00,-329.00M,0.00,,AOR,Restated
2010-06,566.00M,0.00,,6.00M,6.00M,,,241.00M,241.00M,415.00M,36.00M,-2.00M,-72.00M,-278.00M,-9.00M,162.00M,25.00M,,,-100.00M,1.09B,,-115.00M,1.00M,-114.00M,-996.00M,-5.00M,4.00M,-1.111B,,0.00,-87.00M,-87.00M,23.00M,0.00,23.00M,231.00M,-233.00M,2.00M,-295.00M,,2.851B,-316.00M,-84.00M,2.451B,,23.00M,-950.00M,1.00M,0.00,,AOR,Restated
2010-03,489.00M,0.00,,-3.00M,-3.00M,,,233.00M,233.00M,72.00M,50.00M,-2.00M,-73.00M,90.00M,-122.00M,37.00M,-28.00M,,,-23.00M,743.00M,,-70.00M,1.00M,-69.00M,0.00,-296.00M,-16.00M,-381.00M,,-1.001B,949.00M,-52.00M,32.00M,,32.00M,-231.00M,-231.00M,2.00M,-249.00M,,2.801B,113.00M,-63.00M,2.851B,,32.00M,950.00M,-1.002B,,,AOR,Restated
2009-12,93.00M,-72.00M,,929.00M,857.00M,,,246.00M,246.00M,-385.00M,23.00M,-1.00M,-115.00M,142.00M,129.00M,324.00M,18.00M,,,613.00M,1.331B,,-257.00M,10.00M,-247.00M,0.00,-24.00M,-12.00M,-283.00M,,-2.00M,-606.00M,-608.00M,17.00M,,17.00M,-234.00M,-234.00M,,-824.00M,,2.604B,224.00M,-27.00M,2.801B,,17.00M,0.00,-2.00M,,,AOR,Restated
2009-09,608.00M,-15.00M,,3.00M,27.00M,,,242.00M,242.00M,87.00M,18.00M,0.00,-90.00M,-140.00M,96.00M,357.00M,-57.00M,,,256.00M,1.148B,,-126.00M,4.00M,-122.00M,-439.00M,0.00,-5.00M,-566.00M,,-611.00M,178.00M,-433.00M,11.00M,,11.00M,-684.00M,-232.00M,,-654.00M,,2.606B,-72.00M,70.00M,2.604B,,11.00M,0.00,615.00M,,,AOR,Restated
2009-06,450.00M,,,-107.00M,-109.00M,,,235.00M,235.00M,73.00M,35.00M,0.00,428.00M,-119.00M,205.00M,-111.00M,39.00M,,,14.00M,1.126B,,-117.00M,9.00M,-108.00M,-8.00M,0.00,-42.00M,-158.00M,,0.00,-301.00M,-301.00M,5.00M,,5.00M,,-228.00M,,-524.00M,,2.052B,444.00M,110.00M,2.606B,,5.00M,-6.00M,-295.00M,,,AOR,Restated
2009-03,397.00M,,,8.00M,-29.00M,,,234.00M,234.00M,272.00M,42.00M,0.00,-142.00M,461.00M,49.00M,-912.00M,-31.00M,,,-433.00M,341.00M,,-109.00M,8.00M,-101.00M,-20.00M,1.00M,-6.00M,-126.00M,,995.00M,-925.00M,70.00M,4.00M,,4.00M,,-224.00M,,-150.00M,,2.065B,65.00M,-78.00M,2.052B,,4.00M,1.494B,-1.424B,,,AOR,Restated
