,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2001-09,40.00M,,,-23.00M,88.00M,24.00M,112.00M,112.00M,,,-43.00M,,108.00M,108.00M,,194.00M,-64.00M,90.00M,26.00M,-8.00M,-10.00M,8.00M,16.00M,,,-178.00M,,-9.00M,-9.00M,,-30.00M,,2.00M,-215.00M,105.00M,-5.00M,,100.00M,,,,-9.00M
2001-06,49.00M,,,0.00,89.00M,23.00M,112.00M,112.00M,,,-14.00M,,45.00M,45.00M,,192.00M,-76.00M,36.00M,-40.00M,-3.00M,152.00M,2.00M,111.00M,,,-302.00M,,0.00,0.00,,-30.00M,,14.00M,-318.00M,120.00M,-15.00M,,105.00M,,,,0.00
2001-03,50.00M,,,-38.00M,90.00M,25.00M,115.00M,115.00M,,,-11.00M,,-7.00M,-7.00M,,109.00M,-63.00M,277.00M,214.00M,-22.00M,-212.00M,3.00M,-17.00M,,,-31.00M,,-4.00M,-4.00M,,-30.00M,,11.00M,-54.00M,82.00M,38.00M,,120.00M,,,,-4.00M
2000-12,148.00M,,,-90.00M,-268.00M,-71.00M,123.00M,123.00M,,,-17.00M,,244.00M,-33.00M,-8.00M,167.00M,-157.00M,49.00M,-108.00M,-5.00M,-31.00M,28.00M,-116.00M,,,163.00M,,-128.00M,-128.00M,,-31.00M,,3.00M,7.00M,24.00M,58.00M,,82.00M,,,,-128.00M
2000-09,69.00M,,,0.00,89.00M,23.00M,112.00M,112.00M,,,-52.00M,,25.00M,25.00M,-75.00M,79.00M,-81.00M,3.00M,-78.00M,-82.00M,-21.00M,342.00M,161.00M,,,-67.00M,,-193.00M,-193.00M,,-32.00M,,2.00M,-290.00M,74.00M,-50.00M,,24.00M,,,,-193.00M
2000-06,123.00M,,,-12.00M,86.00M,24.00M,110.00M,110.00M,,,50.00M,,-29.00M,-29.00M,-16.00M,226.00M,-83.00M,22.00M,-61.00M,-1.00M,3.00M,-17.00M,-76.00M,,,-113.00M,,0.00,0.00,,-32.00M,,4.00M,-141.00M,65.00M,9.00M,,74.00M,,,,0.00
2000-03,113.00M,,,-10.00M,93.00M,24.00M,117.00M,117.00M,,,-32.00M,,-240.00M,-240.00M,-5.00M,-57.00M,-65.00M,48.00M,-17.00M,-27.00M,49.00M,2.00M,7.00M,,,162.00M,,-96.00M,-96.00M,,-32.00M,,2.00M,36.00M,79.00M,-14.00M,,65.00M,,,,-96.00M
1999-12,224.00M,,,-221.00M,,,98.00M,98.00M,,,-58.00M,,168.00M,160.00M,,212.00M,-167.00M,372.00M,205.00M,-1.00M,,-65.00M,139.00M,,,-270.00M,0.00,,-5.00M,,-32.00M,,3.00M,-304.00M,35.00M,47.00M,,79.00M,0.00,,,
1999-09,184.00M,,,-133.00M,,,122.00M,122.00M,,,-22.00M,,151.00M,151.00M,,302.00M,-130.00M,172.00M,42.00M,-8.00M,,-10.00M,24.00M,,,-442.00M,147.00M,,147.00M,,-33.00M,,11.00M,-317.00M,26.00M,9.00M,,35.00M,147.00M,,,
1999-06,125.00M,,,,,,115.00M,115.00M,,,43.00M,,-125.00M,-125.00M,,158.00M,-106.00M,,-106.00M,-1.582B,,-14.00M,-1.702B,,,1.563B,,,,,-31.00M,,18.00M,1.55B,20.00M,6.00M,,26.00M,,,,
1999-03,84.00M,,,,,,86.00M,86.00M,,,17.00M,,-194.00M,-194.00M,,-7.00M,-77.00M,,-77.00M,-11.00M,,6.00M,-82.00M,,,68.00M,,,,,-32.00M,,-7.00M,29.00M,80.00M,-60.00M,,20.00M,,,,
1998-12,72.00M,,,81.00M,,,67.00M,67.00M,,,-17.00M,,157.00M,18.00M,,329.00M,-197.00M,8.00M,-189.00M,-10.00M,6.00M,-3.00M,-196.00M,,,-70.00M,-17.00M,0.00,-17.00M,,-32.00M,,17.00M,-102.00M,47.00M,31.00M,,77.00M,-17.00M,,,0.00
1998-09,58.00M,,,0.00,,,82.00M,82.00M,,,-22.00M,,106.00M,106.00M,,224.00M,-121.00M,8.00M,-113.00M,-28.00M,-6.00M,-57.00M,-204.00M,,,15.00M,17.00M,-2.00M,15.00M,,-31.00M,,-16.00M,-17.00M,44.00M,3.00M,,47.00M,17.00M,,,-2.00M
1998-06,114.00M,,,0.00,,,82.00M,82.00M,,,0.00,,-125.00M,-125.00M,,71.00M,-92.00M,64.00M,-28.00M,-2.00M,,2.00M,-28.00M,,,-9.00M,-12.00M,-9.00M,-21.00M,,-31.00M,,16.00M,-45.00M,46.00M,-2.00M,,44.00M,-12.00M,,,-9.00M
