,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-12,-15.29M,,1.175M,,-1.822M,3.444M,3.444M,-16.69M,,,,,,54.34M,,,-4.485M,,-9.126M,-13.61M,10.37M,-1.932M,,-1.932M,,,-57.12M,-76.93M,-135.98M,56.32M,-9.333M,46.98M,,,7.862M,,,,-34.74M,214.66M,705.95M,89.05M,795.00M,,47.69M,8.631M,,,
2003-09,17.43M,,-1.317M,,-2.835M,1.714M,1.714M,7.615M,,,,,,-18.29M,,,9.40M,,-30.55M,-21.15M,-15.51M,-1.165M,,-1.165M,,,146.30M,58.10M,203.23M,-8.631M,,-8.631M,,,2.934M,,,,-3.829M,-25.58M,543.81M,162.14M,705.95M,,0.00,-8.631M,,,
2003-06,-0.576M,,3.839M,,2.788M,1.954M,1.954M,-6.222M,,,,,,23.66M,,,-5.84M,,48.26M,42.42M,64.02M,-1.316M,,-1.316M,,,-377.15M,104.46M,-274.00M,123.35M,-0.069M,123.28M,,,-145.08M,,,,39.31M,254.81M,498.99M,44.82M,543.81M,,123.35M,,,,
2003-03,10.42M,,4.705M,,2.743M,1.973M,1.973M,-1.393M,,,,,,2.475M,,,-0.553M,,2.592M,2.039M,18.26M,-0.31M,,-0.31M,,,237.24M,10.95M,247.88M,0.141M,0.069M,0.21M,,,0.553M,,,,-25.47M,-209.74M,442.59M,56.40M,498.99M,,0.141M,,,,
2002-12,11.92M,,3.164M,,1.503M,2.573M,2.573M,1.687M,,,,,,0.962M,,,17.14M,,8.869M,4.397M,23.04M,-1.079M,,-1.079M,,,-217.52M,-203.98M,-422.58M,8.429M,-9.855M,-1.426M,,,-44.13M,,,,12.92M,308.10M,534.03M,-91.44M,442.59M,,,8.429M,,,
2002-09,13.10M,,2.063M,,2.87M,1.765M,1.765M,,,,,,,-7.257M,,,,,,7.951M,18.42M,-0.65M,,-0.65M,,,140.96M,-22.29M,118.02M,-8.429M,-32.14M,-40.57M,,,-54.38M,,,,4.212M,11.47M,386.12M,147.92M,534.03M,,,-8.429M,,,
2002-06,14.98M,,2.001M,,1.32M,1.746M,1.746M,0.945M,,,,,,3.103M,,,-8.363M,,-2.748M,2.551M,24.65M,-0.857M,,-0.857M,,,324.32M,-115.09M,208.38M,-0.21M,-0.266M,-0.476M,,,-3.145M,,,,5.518M,-186.44M,339.53M,46.59M,386.12M,,-0.21M,,,,
2002-03,13.36M,,2.597M,,2.471M,1.766M,1.766M,-0.945M,,,,,,4.427M,,,8.363M,,2.748M,11.11M,32.19M,-1.431M,,-1.431M,,,48.48M,16.71M,63.76M,0.21M,0.266M,0.476M,,,2.036M,,,,,-196.95M,440.53M,-101.01M,339.53M,,0.21M,,,,
2001-12,12.08M,,8.424M,,-0.076M,0.085M,0.085M,,,,,,,1.088M,,,,,,-9.04M,2.183M,0.628M,,0.628M,,0.00,-7.473M,-42.88M,-49.73M,,,,,,-45.62M,,,,2.224M,28.50M,459.58M,-19.04M,440.53M,,,,,,
2001-09,18.60M,,2.365M,,8.87M,2.782M,2.782M,,,,,,,-0.52M,,,,,,12.09M,41.82M,-2.195M,,-2.195M,,-30.00M,24.97M,-8.751M,-15.97M,,,,,,-19.20M,,,,2.054M,-358.34M,792.07M,-332.49M,459.58M,,,,,,
2001-06,24.13M,,1.248M,,-1.179M,1.502M,1.502M,,,,,,,6.008M,,,,,,4.091M,34.55M,-2.956M,,-2.956M,,,-134.65M,-3.689M,-141.29M,,,,,,-28.87M,,,,0.426M,-420.38M,1.319B,-527.11M,792.07M,,,,,,
2001-03,33.34M,,0.336M,,-3.742M,1.348M,1.348M,,,,,,,2.428M,,,,,,0.625M,34.00M,-4.23M,,-4.23M,,,396.29M,-16.84M,375.22M,,,,,,7.20M,,,,0.449M,-812.40M,1.722B,-403.19M,1.319B,,,,,,
2000-12,35.74M,,-1.115M,,-87.44M,1.219M,1.219M,,,,,,,98.04M,,,,,,4.78M,47.22M,-7.967M,,-7.967M,,,-73.15M,-126.98M,-208.09M,,,,,,2.075M,,,,13.56M,78.00M,1.805B,-82.87M,1.722B,,,,,,
2000-09,34.94M,,-3.817M,,-3.817M,0.959M,0.959M,,,,,,,-11.72M,,,,,,-8.939M,11.42M,-2.696M,,-2.696M,,,198.87M,-18.59M,177.58M,,,,,,94.11M,,,,17.56M,66.35M,1.550B,255.35M,1.805B,,,,,,
2000-06,33.74M,,-2.245M,,37.11M,0.915M,0.915M,,,,,,,-45.22M,,,,,,-28.73M,-2.189M,-0.653M,,-0.653M,,,-265.86M,21.28M,-245.23M,,,,,,4.10M,,,,,333.47M,1.464B,86.05M,1.550B,,,,,,
2000-03,54.66M,,-29.89M,,-69.24M,0.923M,0.923M,,,,,,,17.63M,,,,,,40.55M,44.52M,-0.451M,,-0.451M,,,-156.37M,-21.69M,-178.52M,,,,,,15.29M,,,,,421.73M,1.176B,287.74M,1.464B,,,,,,
1999-12,24.90M,,-1.30M,,-34.30M,0.90M,0.90M,,,,,,,45.10M,,,,,,4.90M,29.50M,-0.60M,,-0.60M,,,69.40M,27.10M,95.90M,,,,,,57.00M,,,,,761.70M,289.00M,887.10M,1.176B,,,,,,
1999-09,10.50M,,0.00,,0.00,0.80M,0.80M,,,,,,,15.20M,,,,,,-0.60M,25.90M,-0.10M,,-0.10M,,,-142.80M,-92.10M,-235.00M,,,,,,0.40M,,,,,-385.80M,883.90M,-594.90M,289.00M,,,,,,
1999-06,9.00M,,0.30M,,0.30M,0.80M,0.80M,,,,,,,13.70M,,,,,,-12.70M,11.10M,-0.90M,,-0.90M,,,-101.30M,38.50M,-63.70M,,,,,,1.10M,,,,,137.80M,0.00,85.20M,883.90M,,,,,,
1999-03,7.80M,,-0.10M,,-0.10M,0.80M,0.80M,,,,,,,8.50M,,,,,,-5.50M,11.50M,-1.10M,,-1.10M,,,-109.40M,-9.40M,-119.90M,,,,,,0.40M,,,,,384.90M,522.20M,276.50M,0.00,,,,,,
1998-12,4.60M,,-0.60M,,-1.90M,0.60M,0.60M,,,,,,,20.30M,,,,,,0.70M,19.00M,-2.60M,,-2.60M,,,-458.00M,-182.20M,-642.80M,,,,,,0.90M,,,,0.10M,326.80M,0.00,-296.90M,0.00,,,,,,
1998-09,8.50M,,-4.10M,,-4.10M,0.50M,0.50M,,,,,,,14.00M,,,,,,0.60M,19.50M,-2.90M,,-2.90M,,,138.40M,-104.40M,31.10M,,,,,,0.70M,,,,0.00,77.30M,0.00,127.90M,0.00,,,,,,
1998-06,8.20M,,-0.50M,,-0.50M,0.40M,0.40M,,,,,,,3.60M,,,,,,1.10M,12.80M,-2.30M,,-2.30M,,,-9.50M,-109.90M,-121.70M,,,,,,1.20M,,,,38.40M,309.70M,0.00,200.80M,0.00,,,,,,
