,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-09,108.57M,-0.101M,0.153M,28.54M,28.54M,-13.73M,,,-233.76M,,,,,,545.69M,435.46M,,-13.57M,,-13.57M,,,-508.59M,-213.17M,-735.33M,,-81.35M,236.03M,154.68M,,,-45.95M,,,,,-49.90M,,,83.87M,,1.098B,-215.99M,881.75M,,,251.80M,-333.15M,,,,,,
2005-06,106.42M,0.343M,0.089M,55.41M,55.41M,2.11M,,,-148.72M,,,,,,-527.70M,-512.40M,,-12.40M,,-12.40M,,,257.66M,-286.25M,-41.00M,,-115.01M,233.04M,118.03M,,,-33.91M,,,,,-47.14M,,,591.46M,,1.060B,38.06M,1.098B,,,550.00M,-665.01M,,,,,,
2005-03,96.52M,-0.957M,-0.957M,54.96M,54.96M,2.195M,,,74.91M,,,,,,182.23M,409.86M,,-16.10M,,-16.10M,,,152.97M,-561.98M,-425.11M,,-1.227B,-173.74M,-1.401B,,,7.775M,,,,,-45.38M,,,-430.43M,,1.505B,-445.68M,1.060B,,,7.789M,-1.235B,,,,,,
2004-12,91.14M,-2.10M,-2.10M,72.83M,72.83M,57.82M,,,1.852B,,,,,,-2.068B,3.879M,,-27.27M,,-27.27M,,,-41.56M,-884.37M,-953.20M,,-74.37M,-8.654M,-83.02M,,,28.94M,,,,,-46.30M,,,562.50M,,1.892B,-386.83M,1.505B,,,250.63M,-325.00M,,,,,,
2004-09,93.49M,-7.803M,-6.602M,80.92M,80.92M,16.90M,,,66.46M,,,,,,-79.19M,171.97M,,-14.63M,,-14.63M,,,898.02M,-722.02M,161.38M,,-482.55M,87.60M,-394.94M,,,10.78M,,,,,-41.53M,,,202.07M,,1.357B,535.42M,1.892B,,,50.45M,-533.00M,,,,,,
2004-06,110.13M,9.23M,2.827M,71.98M,71.98M,37.42M,,,-59.69M,,,,,,-4.167M,158.50M,,-15.87M,,-15.87M,,,62.85M,-441.46M,-394.47M,,100.00M,51.98M,151.98M,,,1.074M,,,,,-39.97M,,,601.47M,,991.27M,365.49M,1.357B,,,450.00M,-350.00M,,,,,,
2004-03,104.17M,-15.09M,-24.09M,99.40M,99.40M,28.82M,,,-5.613M,,,,,,-8.821M,193.87M,,-13.43M,,-13.43M,,,-89.68M,-154.00M,-257.12M,,-26.17M,-376.00M,-402.17M,,,6.442M,,,,,-40.27M,,,58.02M,,996.50M,-5.23M,991.27M,,,323.83M,-350.00M,,,,,,
2003-12,93.26M,-1.28M,-15.01M,123.76M,123.76M,-78.50M,,,250.69M,,,,,,177.89M,552.09M,,-20.50M,,-20.50M,,,-686.08M,162.42M,-544.15M,,718.18M,-207.74M,510.44M,,,4.006M,,,,,-40.02M,,,125.94M,,862.62M,133.88M,996.50M,,,1.093B,-375.25M,,,,,,
2003-09,90.88M,4.107M,-10.08M,134.21M,134.21M,47.28M,,,170.31M,,,,,,135.60M,568.18M,,-19.79M,,-19.79M,,,-796.83M,-868.69M,-1.685B,,-90.00M,481.28M,391.28M,,,3.49M,,,,,-37.29M,,,752.16M,,1.228B,-364.96M,862.62M,,,215.00M,-305.00M,,,,,,
2003-06,96.49M,-6.887M,-24.86M,110.35M,110.35M,4.441M,,,-121.25M,,,,,,3.289M,68.46M,,-12.02M,,-12.02M,,,56.70M,-83.82M,-39.14M,,240.00M,-570.36M,-330.36M,,,0.441M,,,,,-45.67M,,,288.03M,,910.24M,317.34M,1.228B,,,350.00M,-110.00M,,,,,,
2003-03,91.73M,-1.198M,-14.02M,119.77M,119.77M,27.04M,,,-52.37M,,,,,,-22.47M,149.68M,,-10.20M,,-10.20M,,,-168.44M,-304.42M,-483.05M,,520.00M,-391.89M,128.11M,,,-80.92M,,,,,-28.04M,,,224.85M,,1.019B,-108.52M,910.24M,,,885.00M,-365.00M,,,,,,
2002-12,69.26M,-2.339M,-13.37M,96.10M,96.10M,-160.82M,,,205.17M,,,,,,-155.67M,40.67M,,1.263B,,1.263B,,0.00,-37.16M,-2.046B,-821.08M,,1.153B,-679.01M,473.84M,,,-75.57M,,,,,-47.76M,,,719.88M,,1.079B,-60.52M,1.019B,,,1.35B,-197.15M,,,,,,
2002-09,85.45M,-1.14M,-23.68M,123.86M,123.86M,12.71M,,,213.97M,,,,,,-171.69M,240.62M,,-1.294B,,-1.294B,,-4.279M,-86.29M,114.14M,-1.270B,,-45.00M,1.108B,1.063B,,,-118.59M,,,,,-39.05M,,,1.175B,,934.38M,144.90M,1.079B,,,0.00,-45.00M,,,,,,
2002-06,75.88M,-0.966M,-8.709M,132.40M,132.40M,236.30M,,,-307.12M,,,,,,-12.86M,115.90M,,-5.266M,,-5.266M,,-4.026M,88.46M,-435.57M,-356.40M,,-194.00M,261.02M,67.02M,,,-148.40M,,,,,-39.99M,,,460.46M,,714.43M,219.96M,934.38M,,,0.00,-194.00M,,,,,,
2002-03,93.14M,-0.457M,-177.20M,141.60M,141.60M,8.521M,,,112.43M,,,,,,454.38M,632.88M,,-21.12M,,-21.12M,,,-32.14M,-1.899B,-1.952B,,175.00M,-152.68M,22.32M,,,-24.24M,,,,,-40.20M,,,811.72M,,1.222B,-507.21M,714.43M,,,675.00M,-500.00M,,,,,,
2001-12,21.92M,-2.52M,-11.98M,493.64M,493.64M,-65.07M,,,55.02M,,,,,,-218.19M,275.34M,,-19.47M,,-19.47M,,,147.85M,-454.03M,-325.65M,,-151.00M,166.88M,15.88M,,,-0.204M,,,,,-40.19M,,,98.35M,,1.174B,48.04M,1.222B,,,275.00M,-426.00M,,,,,,
2001-09,42.63M,1.372M,6.241M,25.10M,25.10M,143.73M,,,43.37M,,,,,,-43.62M,217.45M,,-12.99M,,-12.99M,,,-25.08M,-219.68M,-257.75M,,11.00M,-796.73M,-785.73M,,,1.492M,,,,,-50.22M,,,245.49M,,968.41M,205.19M,1.174B,,,40.00M,-29.00M,,,,,,
2001-06,2.377M,70.00M,65.13M,19.10M,19.10M,-11.31M,,,295.36M,,,,,,-237.79M,132.86M,,-14.11M,,-14.11M,,,742.78M,-654.84M,73.84M,,-104.00M,-114.58M,-218.58M,,,0.271M,,,,,-50.21M,,,-400.83M,,1.163B,-194.14M,968.41M,,,100.00M,-204.00M,,,,,,
2001-03,67.87M,-69.57M,-69.57M,32.14M,32.14M,24.26M,,,-199.98M,,,,,,16.66M,-128.63M,,-16.61M,,-16.61M,,,513.68M,-298.96M,198.11M,,-379.00M,712.59M,333.59M,,,1.103M,,,,,-50.17M,,,-362.82M,,1.456B,-293.34M,1.163B,,,300.00M,-679.00M,,,,,,
2000-12,76.22M,8.939M,8.939M,25.86M,25.86M,178.22M,,,-12.73M,,,,,,-136.36M,140.14M,,-26.72M,,-26.72M,,-12.00M,737.64M,-303.13M,395.79M,,-235.00M,-145.55M,-380.55M,,,-0.525M,,,,,-50.40M,,,-187.39M,,1.107B,348.54M,1.456B,,,50.00M,-285.00M,,,,,,
2000-09,50.53M,-4.839M,-4.839M,28.85M,28.85M,19.80M,,,61.76M,,,,,,-0.098M,155.99M,,-15.38M,,-15.38M,,12.00M,221.62M,-429.20M,-210.96M,,-237.00M,412.70M,175.70M,,,-19.44M,,,,,-44.40M,,,-113.92M,,1.276B,-168.89M,1.107B,,,255.00M,-492.00M,,,,,,
2000-06,97.52M,-30.84M,-30.84M,28.74M,28.74M,9.808M,,,32.96M,,,,,,45.00M,183.18M,,-18.77M,,-18.77M,,,573.05M,45.86M,600.14M,,-200.00M,133.87M,-66.13M,,,-0.536M,,,,,-44.40M,,,-560.06M,,1.053B,223.26M,1.276B,,,25.00M,-225.00M,,,,,,
2000-03,104.17M,-10.36M,-10.36M,27.47M,27.47M,29.51M,,,43.52M,,,,,,-97.70M,96.60M,,-4.291M,,-4.291M,,,405.06M,42.93M,443.70M,,35.00M,-545.24M,-510.24M,,,-146.83M,,,,,-45.90M,,,-716.22M,,1.229B,-175.91M,1.053B,,,400.00M,-365.00M,,,,,,
1999-12,115.00M,-7.80M,-7.80M,26.80M,26.80M,41.80M,,,-416.80M,,,,,,383.60M,142.60M,,-23.30M,,-23.30M,,,264.20M,-63.40M,177.50M,,-173.00M,-379.90M,-552.90M,,,-25.60M,,,,,-46.00M,,0.10M,-73.60M,,982.50M,246.40M,1.229B,,,250.00M,-423.00M,,,,,,
1999-09,105.60M,7.50M,7.50M,26.40M,26.40M,22.50M,,,350.30M,,,,,,-261.50M,250.80M,,-15.10M,,-15.10M,,,-609.10M,-339.10M,-963.30M,,224.20M,225.90M,450.10M,,,-28.10M,,,,,-42.00M,,0.00,688.70M,,0.00,-23.80M,982.50M,,,407.00M,-182.80M,,,,,,
1999-06,104.90M,-10.40M,-10.40M,29.70M,29.70M,1.40M,,,21.20M,,,,,,44.30M,191.10M,,-19.50M,,-19.50M,,,739.90M,-434.20M,286.20M,,328.00M,-608.80M,-280.80M,,,-17.60M,,,,,-41.70M,,0.10M,-453.70M,,982.70M,23.60M,0.00,,,590.00M,-262.00M,,,,,,
1999-03,96.60M,-2.30M,-2.30M,29.60M,29.60M,19.00M,,,25.20M,,,,,,83.90M,252.00M,,-18.20M,,-18.20M,,,-555.10M,-300.30M,-873.60M,,325.00M,668.10M,993.10M,,,-22.30M,,,,,-42.20M,,,252.70M,,1.352B,-368.90M,982.70M,,,1.085B,-760.00M,,,,,,
1998-12,31.20M,-1.80M,-1.80M,23.10M,23.10M,-27.40M,,,147.50M,,,,,,-155.00M,17.60M,,-41.50M,,-41.50M,,,-360.20M,-442.00M,-843.70M,,-9.50M,434.50M,425.00M,,,-122.30M,,,,,-42.30M,,99.80M,1.019B,,0.00,193.20M,1.352B,,,375.00M,-384.50M,,,,,,
1998-09,88.80M,12.60M,22.50M,23.00M,23.00M,17.90M,,,13.80M,,,,,,-33.40M,132.60M,,-39.00M,,-39.00M,,,-125.60M,316.10M,151.50M,,-640.30M,126.90M,-513.40M,,,92.80M,,-100.00M,,,-38.50M,,0.20M,-985.00M,,0.00,-700.80M,0.00,,,0.00,-640.30M,,,,,,
1998-06,92.30M,-37.50M,-47.40M,17.10M,17.10M,6.90M,,,-88.00M,,,,,,29.80M,10.70M,,-44.60M,,-44.60M,,,2.150B,-158.30M,1.947B,,837.50M,-1.586B,-748.60M,,,1.00M,,100.00M,,,-38.50M,,0.00,-1.130B,,0.00,827.50M,0.00,,,995.00M,-157.50M,,,,,,
1998-03,89.50M,-3.10M,-3.10M,17.80M,17.80M,5.40M,,,22.00M,,,,,,-125.10M,6.50M,,-21.90M,,-21.90M,,,-623.00M,9.80M,-635.10M,,230.00M,99.70M,329.70M,,,2.00M,,,,,-38.30M,,-0.10M,8.70M,,1.652B,-619.90M,0.00,,,325.00M,-95.00M,,,,,,
1997-12,90.70M,-1.10M,-1.10M,16.80M,16.80M,26.70M,,,98.00M,,,,,,-220.00M,11.10M,,-6.30M,,-6.30M,,,-122.40M,-553.60M,-682.30M,,-459.80M,961.70M,501.90M,,,2.60M,,,,,-31.60M,,200.00M,980.70M,,0.00,309.40M,1.652B,,,445.20M,-905.00M,,,,,,
1997-09,63.00M,3.40M,3.40M,19.70M,19.70M,3.50M,,,-22.00M,,,,,,66.20M,133.80M,,-14.70M,,-14.70M,,,-198.30M,-80.50M,-293.50M,,609.60M,-217.70M,391.90M,,,-12.40M,,,,,-43.70M,,,362.20M,,0.00,202.60M,0.00,,,765.00M,-155.40M,,,,,,
1997-06,61.80M,-8.20M,-8.20M,11.60M,11.60M,8.70M,,,-2.80M,,,,,,-63.80M,7.30M,,-11.80M,,-11.80M,,,527.20M,-205.00M,310.40M,,317.00M,-866.00M,-549.00M,,,9.10M,,,,,-24.20M,,-200.00M,-167.50M,,0.00,150.10M,0.00,,,312.30M,4.70M,,,,,,
1997-03,77.20M,-2.10M,-2.10M,15.30M,15.30M,8.80M,,,22.40M,,,,,,49.80M,171.40M,,-13.00M,,-13.00M,,,-28.60M,-389.10M,-430.70M,,53.20M,-129.60M,-76.40M,,,-28.20M,,,,,-33.30M,,200.00M,156.30M,,1.092B,-103.00M,0.00,,,365.20M,-312.00M,,,,,,
1996-12,109.90M,5.50M,5.50M,29.60M,29.60M,24.00M,,,32.50M,,,,,,9.30M,210.80M,,-20.70M,,-20.70M,,,9.20M,-636.20M,-647.70M,,26.70M,38.40M,65.10M,,,-50.90M,,,,,-44.90M,,0.10M,402.90M,,0.00,-34.00M,0.00,,,1.157B,-1.130B,,,,,,
1996-09,66.50M,-4.70M,-4.70M,18.40M,18.40M,9.90M,,,16.40M,,,,,,-27.40M,79.10M,,-9.20M,,-9.20M,,,-361.60M,-258.40M,-629.20M,,-206.00M,357.60M,151.60M,,,-40.30M,,,,,-27.00M,,-0.20M,125.50M,,0.00,-424.50M,0.00,,,150.00M,-356.00M,,,,,,
1996-06,65.10M,-0.20M,-0.20M,22.20M,22.20M,1.90M,,,58.00M,,,,,,-72.40M,74.60M,,-9.90M,,-9.90M,,,785.40M,-613.00M,162.50M,,-88.60M,289.10M,200.50M,,,-8.10M,,,,,-26.90M,,,273.60M,,0.00,510.80M,0.00,,,100.40M,-189.00M,,,,,,
1996-03,62.80M,-7.10M,-7.10M,21.70M,21.70M,-0.10M,,,15.00M,,,,,,22.30M,114.60M,,-11.80M,,-11.80M,,,47.40M,284.80M,320.40M,,-117.30M,-377.80M,-495.10M,,,-115.10M,,,,,-26.60M,,,-698.50M,,1.058B,-263.60M,0.00,,,200.00M,-317.30M,,,,,,
1995-12,65.50M,-3.80M,-12.70M,21.60M,21.60M,8.70M,,,20.50M,,,,,,-22.60M,81.00M,,-10.10M,,-10.10M,,,-51.40M,-151.20M,-212.70M,,480.60M,-523.80M,-43.20M,,,-46.20M,,,,,-46.20M,,30.10M,61.00M,,0.00,-70.70M,0.00,,,505.20M,-24.60M,,,,,,
1995-09,66.00M,-8.20M,-8.20M,18.00M,18.00M,11.00M,,,23.50M,,,,,,-12.80M,97.50M,,-11.40M,,-11.40M,,,-226.60M,-180.10M,-418.10M,,451.50M,366.10M,817.60M,,,-125.30M,,,,,-20.30M,,7.10M,582.20M,,0.00,261.60M,0.00,,,540.00M,-88.50M,,,,,,
1995-06,59.10M,-0.70M,-0.70M,15.90M,15.90M,6.20M,,,-44.90M,,,,,,28.00M,63.60M,,-7.40M,,-7.40M,,,-143.40M,-732.60M,-883.40M,,-82.00M,591.70M,509.70M,,,-19.40M,,,,,-20.00M,,-0.10M,813.80M,,0.00,-6.10M,0.00,,,0.00,-82.00M,,,,,,
1995-03,53.90M,0.10M,0.10M,13.30M,13.30M,0.80M,,,8.90M,,,,,,60.80M,137.80M,,-4.50M,,-4.50M,,,-347.90M,20.30M,-332.10M,,38.90M,186.40M,225.30M,,,-13.70M,,,,,-19.00M,,0.10M,177.20M,,890.70M,-17.00M,0.00,,,50.00M,-11.10M,,,,,,
1994-12,52.50M,10.30M,10.30M,17.80M,17.80M,,,,58.10M,,,,,,-113.20M,82.80M,,-6.40M,,-6.40M,,,431.00M,-1.226B,-801.10M,,125.00M,230.50M,355.50M,,,-27.30M,,,,,-18.40M,,0.10M,494.50M,,0.00,-223.80M,0.00,,,125.00M,0.00,,,,,,
1994-09,55.90M,0.20M,0.20M,34.30M,34.30M,,,,62.10M,,,,,,-22.60M,129.90M,,-6.40M,,-6.40M,,,-1.061B,712.90M,-354.20M,,240.00M,267.20M,507.20M,,,-14.10M,,,,,-19.40M,,0.20M,523.50M,,0.00,299.20M,0.00,,,235.00M,5.00M,,,,,,
1994-06,67.50M,-15.50M,-15.50M,14.10M,14.10M,,,,347.20M,,,,,,-16.50M,396.80M,,-7.10M,,-7.10M,,,351.40M,-674.80M,-330.50M,,41.10M,101.30M,142.40M,,,-13.20M,,,,,-15.10M,,-0.10M,-3.80M,,0.00,62.50M,0.00,,,65.00M,-23.90M,,,,,,
1994-03,66.70M,14.90M,14.90M,18.00M,18.00M,,,,436.90M,,,,,,34.00M,570.50M,,-6.00M,,-6.00M,,,679.10M,0.10M,673.20M,,42.50M,-902.30M,-859.80M,,,-3.70M,,,,,-15.80M,,-0.10M,-1.236B,,745.10M,7.70M,0.00,,,50.00M,-7.50M,,,,,,
1993-12,68.80M,5.30M,5.30M,23.70M,23.70M,,,,-4.10M,,,,,,-43.90M,19.40M,,-16.00M,,-16.00M,,,-106.80M,335.40M,212.60M,,140.00M,-256.80M,-116.80M,,,-35.50M,,,,,-20.00M,,31.90M,-249.80M,,0.00,-17.90M,0.00,,,313.60M,-173.60M,,,,,,
1993-09,64.80M,0.20M,0.20M,53.80M,53.80M,,,,-44.20M,,,,,,46.10M,120.70M,,-8.10M,,-8.10M,,,-189.80M,-157.90M,-355.80M,,-102.80M,548.90M,446.10M,,,21.50M,,,,,-14.80M,,-33.40M,202.30M,,0.00,-32.70M,0.00,,,0.00,-102.80M,,,,,,
1993-06,56.00M,5.40M,5.40M,30.60M,30.60M,,,,-348.30M,,,,,,-53.80M,-310.10M,,-16.30M,,-16.30M,,,286.00M,-365.80M,-96.10M,,96.90M,239.50M,336.40M,,,-9.40M,,,,,-11.90M,,-1.60M,418.20M,,0.00,12.00M,0.00,,,99.10M,-2.20M,,,,,,
1993-03,47.30M,-31.60M,-31.60M,19.40M,19.40M,,,,160.10M,,,,,,37.80M,233.00M,,-16.40M,,-16.40M,,,-304.70M,-62.90M,-384.00M,,148.30M,-14.60M,133.70M,,,-0.70M,,,,,-11.70M,,0.10M,43.00M,,771.30M,-108.00M,0.00,,,148.30M,,,,,,,
1992-12,38.60M,3.30M,3.30M,25.30M,25.30M,,,,204.40M,,,,,,47.40M,294.70M,,-5.30M,,-5.30M,,,-252.40M,-176.20M,-433.90M,,143.80M,-73.60M,70.20M,,,-0.50M,,,,,-12.00M,,0.10M,303.10M,,0.00,163.80M,0.00,,,,-3.90M,,,,,,
1992-09,34.90M,-5.40M,-5.40M,16.40M,16.40M,,,,-352.70M,,,,,,-76.90M,-383.70M,,-4.70M,,-4.70M,,,-389.30M,-162.20M,-556.20M,,-9.50M,945.20M,935.70M,,,-3.50M,,,,,-12.20M,,,832.50M,,0.00,-107.40M,0.00,,,,-9.50M,,,,,,
1992-06,33.60M,-27.70M,-27.70M,13.10M,13.10M,,,,142.60M,,,,,,146.50M,308.10M,,-5.60M,,-5.60M,,,18.70M,-210.30M,-197.20M,,-0.20M,-60.60M,-60.80M,,,0.30M,,,,,-10.40M,,-0.10M,-100.10M,,0.00,10.80M,0.00,,,,-0.20M,,,,,,
1992-03,31.90M,-2.60M,-2.60M,14.30M,14.30M,,,,17.00M,,,,,,-171.10M,-110.50M,,-4.30M,,-4.30M,,,-164.30M,-144.20M,-312.80M,,-1.50M,115.40M,113.90M,,,-1.80M,,,,,-10.70M,,0.10M,414.70M,,712.70M,-8.60M,0.00,,,,-1.50M,,,,,,
1991-12,31.70M,20.10M,20.10M,12.00M,12.00M,,,,155.60M,,,,,,-412.30M,-197.90M,,-4.70M,,-4.70M,,,-162.20M,,-292.90M,,-1.10M,-146.40M,-147.50M,,,-1.20M,,,,,-10.70M,,-0.10M,72.00M,,0.00,-418.80M,0.00,,,,-1.10M,,,,,,
1991-09,30.10M,-17.60M,-17.60M,9.20M,9.20M,,,,105.00M,,,,,,29.90M,156.60M,,-6.10M,,-6.10M,,,120.70M,,114.60M,,-1.60M,29.20M,27.60M,,,-4.00M,,,,,-10.90M,,,-86.90M,,0.00,184.40M,0.00,,,,-1.60M,,,,,,
1991-06,29.60M,20.70M,20.70M,9.60M,9.60M,,,,-107.40M,,,,,,-90.50M,-138.00M,,-6.60M,,-6.60M,,,-105.90M,,-112.50M,,-1.70M,345.00M,343.30M,,,0.00,,,,,-10.30M,,-15.90M,617.50M,,0.00,366.90M,0.00,,,,-1.70M,,,,,,
1991-03,25.60M,-26.80M,-26.80M,8.90M,8.90M,,,,-96.50M,,,,,,72.10M,-16.70M,,-8.70M,,-8.70M,,,18.70M,,10.00M,,-0.70M,-153.30M,-154.00M,,,-2.90M,,,,,-10.40M,,15.90M,-187.80M,,774.70M,-194.50M,0.00,,,,-0.70M,,,,,,
1990-12,27.40M,-4.90M,-4.90M,9.50M,9.50M,,,,74.20M,,,,,,15.20M,110.10M,,-10.70M,,-10.70M,,,-23.00M,,-33.70M,,-4.80M,-215.30M,-220.10M,,,-2.80M,,,,,-10.20M,,9.50M,-76.20M,,0.00,0.20M,0.00,,,,-4.80M,,,,,,
1990-09,2.70M,109.80M,109.80M,9.30M,9.30M,,,,-47.70M,,,,,,8.40M,82.50M,,-15.60M,,-15.60M,,,-71.90M,,-87.50M,,-2.10M,26.50M,24.40M,,,-0.30M,,,,,-10.00M,,15.30M,-2.70M,,0.00,-7.80M,0.00,,,,-2.10M,,,,,,
1990-06,27.70M,-85.20M,-85.20M,8.70M,8.70M,,,,12.00M,,,,,,-10.80M,-47.60M,,-10.80M,,-10.80M,,,-76.00M,,-86.80M,,-2.10M,-109.20M,-111.30M,,,0.10M,,,,,-8.40M,,-14.30M,85.10M,,0.00,-49.20M,0.00,,,,-2.10M,,,,,,
1990-03,27.40M,-36.40M,-36.40M,8.20M,8.20M,,,,6.90M,,,,,,-16.70M,-10.60M,,-11.50M,,-11.50M,,,5.20M,,-6.30M,,-2.60M,-142.20M,-144.80M,,,-1.90M,,,,,-8.40M,,-0.20M,-138.10M,,986.40M,-155.00M,0.00,,,,-2.60M,,,,,,
1989-12,35.70M,-35.60M,-35.60M,12.10M,12.10M,,,,13.50M,,,,,,9.30M,40.50M,,-13.40M,,-13.40M,,,-453.80M,,-467.20M,,-2.40M,149.20M,146.80M,,,-4.50M,,,,,-5.10M,,-0.70M,684.50M,,0.00,258.00M,0.00,,,,-2.40M,,,,,,
1989-09,25.10M,-52.60M,-52.60M,6.20M,6.20M,,,,7.30M,,,,,,8.00M,-6.00M,,-3.60M,,-3.60M,,,-193.20M,,-196.80M,,-1.80M,7.70M,5.90M,,,-3.20M,,,,,-9.50M,,1.60M,-193.10M,,0.00,-395.90M,0.00,,,,-1.80M,,,,,,
1989-06,24.10M,-39.20M,-39.20M,5.90M,5.90M,,,,10.20M,,,,,,4.00M,5.00M,,-6.50M,,-6.50M,,,-1.392B,763.60M,-635.20M,,0.60M,475.40M,476.00M,,,-0.60M,,,,,-6.50M,,1.70M,553.20M,,0.00,-77.10M,0.00,,,,0.60M,,,,,,
1989-03,23.10M,6.60M,6.60M,5.50M,5.50M,,,,8.70M,,,,,,2.60M,46.50M,,-2.20M,,-2.20M,,,536.70M,-763.60M,-229.10M,,-1.50M,-162.70M,-164.20M,,,-0.30M,,,,,-6.30M,,,218.50M,,1.083B,35.90M,0.00,,,,-1.50M,,,,,,
