,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-06,,1.187B,,1.187B,,,,1.381B,,,,,,,354.53M,,,216.22M,22.09B,286.94M,21.80B,5.012B,30.03B,31.42B,,,,,,1.131B,1.131B,1.131B,1.131B,6.839B,,6.839B,19.47B,,26.30B,29.03B,,2.482B,471.36M,,539.85M,,,,,-27.20M,2.386B,,,
2004-03,,820.46M,,820.46M,,,,1.045B,,,,,,,351.07M,,,216.80M,21.42B,295.38M,21.13B,5.475B,29.99B,31.04B,,,,,,1.076B,1.076B,1.076B,1.076B,6.818B,,6.818B,18.99B,,25.81B,28.67B,,2.482B,401.40M,,541.05M,,,,,21.49M,2.364B,,,
2003-12,,933.32M,,933.32M,,,,1.030B,,,,,,,349.71M,,,217.01M,21.30B,299.73M,21.00B,4.937B,29.48B,30.52B,,,,,,1.452B,1.452B,1.452B,1.452B,6.808B,,6.808B,18.49B,,25.30B,28.24B,,2.484B,337.36M,,548.58M,,,,,2.678M,2.275B,,,
2003-09,,813.28M,,813.28M,,,,900.48M,,,,,,,338.86M,,,217.21M,21.58B,370.14M,21.21B,4.284B,29.19B,30.10B,,,,,,2.673B,2.673B,2.673B,2.673B,5.060B,,5.060B,18.83B,,23.89B,27.85B,,2.482B,283.99M,,550.77M,,,,,25.86M,2.241B,,,
2003-06,,1.198B,,1.198B,,,,1.272B,,,,,,,332.92M,,,218.08M,19.81B,340.95M,19.47B,3.729B,27.01B,28.29B,,,,,,2.192B,2.192B,2.192B,2.192B,4.305B,,4.305B,18.37B,,22.68B,26.02B,,2.483B,301.79M,,555.18M,,,,,40.82M,2.271B,,,
2003-03,,901.84M,,901.84M,,,,948.30M,,,,,,,333.14M,,,218.36M,19.47B,337.02M,19.13B,3.710B,26.94B,27.90B,,,,,,2.149B,2.149B,2.149B,2.149B,4.660B,,4.660B,17.69B,,22.35B,25.64B,,2.483B,271.00M,,553.10M,,,,,54.63M,2.256B,,,
2002-12,,1.007B,,1.007B,,,,1.056B,,,,,,,341.37M,,,218.57M,19.12B,336.65M,18.78B,3.411B,26.46B,27.53B,,,,,,2.141B,2.141B,2.141B,2.141B,4.547B,,4.547B,17.50B,,22.05B,25.34B,,2.484B,118.47M,,475.40M,,,,,62.30M,2.190B,,,
2002-09,,1.048B,,1.048B,,,,1.113B,,,,,,,339.98M,,,218.42M,20.83B,408.38M,20.42B,3.249B,25.61B,26.74B,,,,,,3.233B,3.233B,3.233B,3.233B,2.981B,,2.981B,17.12B,,20.10B,24.40B,,2.486B,184.44M,,391.55M,,,,,60.56M,2.340B,,,
2002-06,,886.95M,,886.95M,,,,962.77M,,,,,,,353.93M,,,210.68M,19.84B,393.01M,19.45B,3.028B,24.40B,25.38B,,,,,,2.064B,2.064B,2.064B,2.064B,2.726B,,2.726B,16.86B,300.00M,19.59B,22.73B,,2.488B,125.02M,,289.70M,,,,,28.66M,2.352B,,,
2002-03,,683.85M,,683.85M,,,,743.97M,,,,,,,362.14M,,,209.94M,19.52B,386.05M,19.14B,2.885B,23.99B,24.75B,,,,,,1.803B,1.803B,1.803B,1.803B,2.908B,,2.908B,16.27B,300.00M,19.17B,22.01B,,2.487B,81.82M,,144.20M,,,,,9.484M,2.434B,,,
2001-12,,1.160B,,1.160B,,,,1.243B,,,,,,,452.04M,,,716.05M,22.23B,410.57M,21.82B,2.875B,27.24B,28.50B,,,,,,1.956B,1.956B,1.956B,1.956B,2.739B,,2.739B,20.19B,300.00M,22.93B,25.78B,,2.491B,24.08M,,123.85M,,,,,25.49M,2.416B,,,
2001-09,,1.115B,,1.115B,,,,1.179B,,,,,,,447.77M,,,,21.88B,360.45M,21.52B,3.008B,27.12B,28.32B,,,,,,1.789B,1.789B,1.789B,1.789B,2.895B,,2.895B,20.07B,300.00M,22.97B,25.61B,,2.490B,-1.381M,,122.48M,,,,,38.71M,2.404B,,,
2001-06,,913.58M,,913.58M,,,,973.30M,,,,,,,457.75M,,,,21.50B,352.24M,21.15B,3.210B,26.96B,27.95B,,,,,,2.586B,2.586B,2.586B,2.586B,2.874B,,2.874B,19.00B,300.00M,21.87B,25.29B,,2.491B,-3.677M,,125.10M,,,,,-8.388M,2.354B,,,
2001-03,,1.012B,,1.012B,,,,1.168B,,,,,,,457.50M,,,,21.26B,301.78M,20.96B,3.718B,27.26B,28.44B,,,,,,2.700B,2.700B,2.700B,2.700B,2.980B,,2.980B,19.13B,300.00M,22.11B,25.74B,,2.492B,44.16M,,126.53M,,,,,-4.221M,2.405B,,,
2000-12,,1.328B,,1.328B,,,,1.461B,,,,,,,454.84M,,,,20.61B,297.88M,20.31B,4.112B,27.12B,28.60B,,,,,,1.988B,1.988B,1.988B,1.988B,3.338B,,3.338B,19.78B,300.00M,23.12B,25.93B,,2.494B,26.35M,,129.43M,,,,,-24.52M,2.366B,,,
2000-09,,1.112B,,1.112B,,,,1.239B,,,,,,,442.68M,,,,20.44B,294.69M,20.15B,4.731B,27.32B,28.58B,,,,,,2.133B,2.133B,2.133B,2.133B,3.573B,,3.573B,19.53B,,23.11B,26.29B,,2.494B,0.295M,,129.00M,,,,,-81.65M,2.284B,,,
2000-06,,1.144B,,1.144B,,,,1.281B,,,,,,,439.01M,,,,20.52B,296.89M,20.23B,4.400B,27.29B,28.58B,,,,,,1.721B,1.721B,1.721B,1.721B,3.810B,,3.810B,19.76B,,23.57B,26.32B,,2.253B,241.66M,,122.24M,,,,,-105.99M,2.267B,,,
2000-03,,1.043B,,1.043B,,,,1.059B,,,,,,,429.79M,,,,20.63B,296.74M,20.33B,4.532B,27.33B,28.41B,,,,,,1.577B,1.577B,1.577B,1.577B,3.985B,,3.985B,19.78B,300.00M,23.76B,26.01B,,2.285B,188.53M,,283.76M,,,,,-90.56M,2.099B,,,
1999-12,,1.215B,,1.215B,,,,1.236B,,,,,,,438.90M,,,,20.67B,299.30M,20.37B,4.897B,27.78B,29.04B,,,,,,2.122B,2.122B,2.122B,2.122B,3.952B,,3.952B,19.79B,,23.74B,26.85B,,2.285B,128.80M,,137.30M,,,,,-94.10M,2.182B,,,
1999-09,,989.80M,,989.80M,,,,989.80M,,,,,,,434.60M,,,,20.69B,295.60M,20.39B,5.111B,27.96B,28.97B,,,,,,2.502B,2.502B,2.502B,2.502B,4.425B,,4.425B,19.24B,,23.67B,26.82B,,,59.60M,,,,,,,-73.70M,2.159B,,,
1999-06,,1.014B,,1.014B,,,,1.014B,,,,,,,443.50M,,,,20.39B,293.30M,20.10B,4.607B,27.13B,28.16B,,,,,,2.276B,2.276B,2.276B,2.276B,3.900B,,3.900B,18.93B,300.00M,22.83B,25.71B,,,152.90M,,,,,,,-55.60M,2.146B,,,
1999-03,,990.80M,,990.80M,,,,990.80M,,,,,,,441.40M,,,,20.01B,291.10M,19.72B,5.419B,27.57B,28.58B,,,,,,2.885B,2.885B,2.885B,2.885B,3.572B,,3.572B,19.05B,300.00M,22.62B,26.14B,,,90.00M,,,,,,,-18.20M,2.138B,,,
1998-12,,1.318B,,1.318B,,,,1.454B,,,,,,,447.00M,,,,19.45B,290.90M,19.16B,4.810B,26.82B,28.30B,,,,,,2.217B,2.217B,2.217B,2.217B,3.247B,,3.247B,19.72B,,22.97B,26.15B,,2.138B,35.50M,,49.20M,,,,,24.70M,2.149B,,,
1998-09,,1.161B,,1.161B,,,,1.161B,,,,,,,526.50M,,,,19.14B,286.10M,18.85B,4.877B,26.18B,27.36B,,,,,,1.782B,1.782B,1.782B,1.782B,3.257B,,3.257B,19.25B,300.00M,22.50B,24.84B,,,46.40M,,,,,,,60.70M,2.218B,,,
1998-06,,2.138B,,2.138B,,,,2.138B,,,,,,,496.80M,,,,19.37B,286.90M,19.08B,4.528B,26.02B,28.19B,,,,,,1.655B,1.655B,1.655B,1.655B,3.897B,,3.897B,19.67B,,23.56B,26.05B,,,219.20M,,,,,,,15.30M,2.134B,,,
1998-03,,1.034B,,1.034B,,,,1.034B,,,,,,,400.30M,,,,17.75B,258.30M,17.49B,6.710B,25.75B,26.81B,,,,,,3.241B,3.241B,3.241B,3.241B,3.261B,,3.261B,17.70B,,20.96B,24.73B,,,165.40M,,,,,,,10.40M,2.074B,,,
1997-12,,1.691B,,1.691B,,,,1.691B,,,,,,,389.50M,,,,17.74B,258.20M,17.48B,5.943B,25.01B,26.73B,,,,,,3.287B,3.287B,3.287B,3.287B,2.886B,,2.886B,17.98B,,20.87B,24.71B,,,114.40M,,,,,,,14.80M,2.025B,,,
1997-09,,1.350B,,1.350B,,,,1.350B,,,,,,,392.80M,,,,17.69B,257.90M,17.43B,5.670B,24.20B,25.58B,,,,,,2.905B,2.905B,2.905B,2.905B,2.366B,,2.366B,17.59B,,19.96B,23.63B,,,62.10M,,,,,,,2.80M,1.946B,,,
1997-06,,972.10M,,972.10M,,,,972.10M,,,,,,,323.50M,,,,15.28B,212.70M,15.07B,4.485B,20.57B,21.58B,,,,,,2.959B,2.959B,2.959B,2.959B,1.927B,,1.927B,14.59B,,16.52B,19.94B,,,309.80M,,,,,,,-25.50M,1.640B,,,
1997-03,,846.30M,,846.30M,,,,846.30M,,,,,,,320.80M,,,,14.98B,208.80M,14.77B,4.960B,20.70B,21.60B,,,,,,3.709B,3.709B,3.709B,3.709B,1.910B,,1.910B,13.94B,,15.85B,20.03B,,,266.80M,,,,,,,-60.90M,1.569B,,,
1996-12,,925.50M,,925.50M,,,,925.50M,,,,,,,311.80M,,,,14.38B,199.10M,14.18B,4.806B,19.87B,20.85B,,,,,,3.945B,3.945B,3.945B,3.945B,1.556B,,1.556B,13.39B,,14.94B,19.34B,,,228.70M,,,,,,,-14.60M,1.512B,,,
1996-09,,882.90M,,882.90M,,,,882.90M,,,,,,,312.50M,,,,14.05B,200.20M,13.85B,4.860B,19.63B,20.57B,,,,,,3.798B,3.798B,3.798B,3.798B,1.691B,,1.691B,13.18B,,14.87B,19.06B,,,189.50M,,,,,,,-32.80M,1.501B,,,
1996-06,,1.308B,,1.308B,,,,1.308B,,,,,,,312.70M,,,,13.80B,196.50M,13.60B,4.446B,18.96B,20.32B,,,,,,3.440B,3.440B,3.440B,3.440B,1.897B,,1.897B,13.11B,,15.01B,18.85B,,,440.90M,,,,,,,-61.60M,1.475B,,,
1996-03,,796.60M,,796.60M,,,,796.60M,,,,,,,311.00M,,,,13.37B,197.40M,13.17B,5.042B,19.27B,20.14B,,,,,,3.151B,3.151B,3.151B,3.151B,1.986B,,1.986B,13.01B,,14.99B,18.64B,,,402.40M,,,,,,,-4.10M,1.502B,,,
1995-12,,1.343B,,1.343B,,,,1.343B,,,,,,,296.50M,,,,13.42B,194.50M,13.23B,4.802B,18.85B,20.25B,,,,,,3.515B,3.515B,3.515B,3.515B,2.103B,,2.103B,12.64B,,14.74B,18.74B,,,366.50M,,,,,,,41.00M,1.519B,,,
1995-09,,1.130B,,1.130B,,,,1.130B,,,,,,,296.70M,,,,13.61B,198.60M,13.42B,4.726B,18.98B,20.17B,,,,,,4.047B,4.047B,4.047B,4.047B,1.622B,,1.622B,12.54B,,14.17B,18.69B,,,328.10M,,,,,,,7.20M,1.483B,,,
1995-06,,870.20M,,870.20M,,,,870.20M,,,,,,,293.00M,,,,13.14B,198.30M,12.94B,4.549B,18.44B,19.37B,,,,,,3.681B,3.681B,3.681B,3.681B,1.171B,,1.171B,12.52B,,13.69B,17.80B,,,431.10M,,,,,,,,1.572B,,,
1995-03,,874.70M,,874.70M,,,,874.70M,,,,,,,285.60M,,,,12.69B,199.30M,12.49B,3.924B,17.21B,18.14B,,,,,,3.085B,3.085B,3.085B,3.085B,1.253B,,1.253B,11.94B,,13.19B,16.67B,,,390.90M,,,,,,,,1.480B,,,
1994-12,,893.80M,,893.80M,,,,893.80M,,,,,,,288.80M,,,,12.40B,200.50M,12.20B,3.790B,16.82B,17.77B,,,,,,2.898B,2.898B,2.898B,2.898B,1.214B,,1.214B,11.97B,,13.18B,16.36B,,,364.30M,,,,,,,,1.412B,,,
1994-09,,1.114B,,1.114B,,,,1.114B,,,,,,,287.90M,,,,11.87B,206.00M,11.67B,3.244B,15.81B,16.99B,,,,,,2.662B,2.662B,2.662B,2.662B,1.088B,,1.088B,11.60B,,12.69B,15.59B,,,338.90M,,,,,,,,1.402B,,,
1994-06,,815.30M,,815.30M,,,,815.30M,,,,,,,288.70M,,,,11.63B,212.50M,11.42B,3.152B,15.57B,16.44B,,,,,,2.394B,2.394B,2.394B,2.394B,847.50M,,847.50M,11.57B,,12.42B,15.06B,,,311.00M,,,,,,,,1.390B,,,
1994-03,,753.50M,,753.50M,,,,753.50M,,,,,,,289.10M,,,,11.12B,214.10M,10.91B,4.005B,15.68B,16.49B,,,,,,2.293B,2.293B,2.293B,2.293B,805.30M,,805.30M,11.69B,,12.49B,15.11B,,,266.70M,,,,,,,,1.382B,,,
1993-12,,757.60M,,757.60M,,,,757.60M,,,,,,,290.20M,,,,10.95B,211.80M,10.74B,4.221B,16.81B,17.62B,,,,,,3.196B,3.196B,3.196B,3.196B,762.30M,,762.30M,12.04B,,12.81B,16.29B,,,221.70M,,,,,,,,1.325B,,,
1993-09,,748.50M,,748.50M,,,,748.50M,,,,,,,279.70M,,,,9.978B,203.20M,9.774B,4.478B,16.02B,16.82B,,,,,,3.415B,3.415B,3.415B,3.415B,432.80M,,432.80M,11.46B,,11.89B,15.61B,,,196.10M,,,,,,,,1.212B,,,
1993-06,,714.70M,,714.70M,,,,714.70M,,,,,,,262.80M,,,,9.235B,192.00M,9.043B,4.145B,14.89B,15.65B,,,,,,2.786B,2.786B,2.786B,2.786B,529.20M,,529.20M,11.00B,,11.53B,14.56B,,,303.80M,,,,,,,,1.096B,,,
1993-03,,665.10M,,665.10M,,,,665.10M,,,,,,,231.60M,,,,8.325B,156.00M,8.169B,4.486B,13.31B,14.03B,,,,,,2.505B,2.505B,2.505B,2.505B,417.80M,,417.80M,9.874B,,10.29B,13.06B,,,228.00M,,,,,,,,976.70M,,,
1992-12,,863.80M,,863.80M,,,,863.80M,,,,,,,220.60M,,,,8.184B,140.50M,8.044B,3.566B,12.99B,13.89B,,,,,,2.520B,2.520B,2.520B,2.520B,269.60M,,269.60M,9.953B,,10.22B,12.95B,,,194.60M,,,,,,,,941.40M,,,
1992-09,,669.30M,,669.30M,,,,669.30M,,,,,,,220.40M,,,,8.072B,135.20M,7.936B,4.231B,12.82B,13.52B,,,,,,2.593B,2.593B,2.593B,2.593B,125.80M,,125.80M,9.707B,,9.833B,12.61B,,,171.10M,,,,,,,,915.40M,,,
1992-06,,777.00M,,777.00M,,,,777.00M,,,,,,,221.10M,,,,7.942B,132.20M,7.810B,2.945B,11.85B,12.68B,,,,,,1.648B,1.648B,1.648B,1.648B,135.10M,,135.10M,9.795B,,9.93B,11.79B,,,150.10M,,,,,,,,896.00M,,,
1992-03,,766.40M,,766.40M,,,,766.40M,,,,,,,220.50M,,,,7.747B,127.50M,7.620B,3.700B,11.97B,12.79B,,,,,,1.760B,1.760B,1.760B,1.760B,135.30M,,135.30M,9.824B,,9.959B,11.91B,,,128.60M,,,,,,,,872.30M,,,
1991-12,,715.10M,,715.10M,,,,715.10M,,,,,,,215.60M,,,,7.682B,123.60M,7.559B,3.372B,11.56B,12.33B,,,,,,1.593B,1.593B,1.593B,1.593B,136.70M,,136.70M,9.511B,,9.647B,11.48B,,,109.10M,,,,,,,,853.00M,,,
1991-09,,1.132B,,1.132B,392.70M,,392.70M,1.543B,,,,,,,215.60M,,,,7.696B,123.30M,7.572B,2.138B,10.63B,12.23B,,,,,,1.740B,1.740B,1.740B,1.740B,137.60M,,137.60M,9.279B,,9.417B,11.39B,,,89.40M,,,,,,,,833.00M,,,
1991-06,,947.10M,,947.10M,411.90M,,411.90M,1.414B,,,,,,,215.70M,,,,7.602B,123.30M,7.478B,2.458B,10.80B,12.28B,,,,,,1.710B,1.710B,1.710B,1.710B,139.10M,,139.10M,9.379B,,9.518B,11.46B,,,120.20M,,,,,,,,817.20M,,,
1991-03,,580.20M,,580.20M,347.20M,,347.20M,962.30M,,,,,,,213.80M,,,,7.541B,120.90M,7.420B,2.649B,10.62B,11.66B,,,,,,1.366B,1.366B,1.366B,1.366B,140.70M,,140.70M,9.078B,,9.219B,10.86B,,,102.30M,,,,,,,,797.90M,,,
1990-12,,774.70M,,774.70M,365.00M,,365.00M,1.151B,,,,,,,209.90M,,,,7.667B,115.20M,7.552B,2.622B,10.61B,11.81B,,,,,,1.519B,1.519B,1.519B,1.519B,141.40M,,141.40M,9.115B,,9.256B,11.02B,,,88.50M,,,,,,,,785.50M,,,
1990-09,,774.40M,,774.40M,358.00M,,358.00M,1.144B,,,,,,,205.30M,,,,7.578B,113.90M,7.464B,2.699B,10.66B,11.89B,,,,,,1.734B,1.734B,1.734B,1.734B,146.10M,,146.10M,8.968B,,9.114B,11.12B,,,73.50M,,,,,,,,770.70M,,,
1990-06,,782.20M,,782.20M,331.80M,,331.80M,1.132B,,,,,,,193.40M,,,,7.302B,85.30M,7.217B,2.761B,10.47B,11.68B,,,,,,1.698B,1.698B,1.698B,1.698B,148.10M,,148.10M,8.826B,,8.974B,10.93B,,,151.90M,,,,,,,,756.70M,,,
1990-03,,831.40M,,831.40M,291.80M,,291.80M,1.143B,,,,,,,187.20M,,,,7.121B,83.00M,7.038B,2.896B,10.35B,11.59B,,,,,,1.807B,1.807B,1.807B,1.807B,150.10M,,150.10M,8.607B,,8.757B,10.85B,,,134.30M,,,,,,,,737.50M,,,
1989-12,,986.40M,,986.40M,288.60M,,288.60M,1.295B,,,,,,,179.80M,,,,7.115B,83.30M,7.032B,2.918B,10.33B,11.68B,,,,,,1.950B,1.950B,1.950B,1.950B,152.60M,,152.60M,8.590B,,8.742B,10.96B,,,117.50M,,,,,,,,720.70M,,,
1989-09,,645.60M,,645.60M,102.60M,,102.60M,780.00M,,,,,,,159.20M,,,,6.450B,72.00M,6.378B,2.445B,9.315B,10.18B,,132.60M,132.60M,,132.60M,1.777B,1.777B,1.777B,1.909B,141.60M,2.40M,144.00M,7.379B,,7.523B,9.552B,,,65.00M,,,,,,,,627.00M,,,
1989-06,,1.042B,,1.042B,98.90M,,98.90M,1.183B,,,,,,,159.20M,,,,6.327B,70.60M,6.257B,2.359B,9.064B,10.35B,,120.80M,120.80M,,120.80M,1.769B,1.769B,1.769B,1.890B,143.10M,2.50M,145.60M,7.567B,,7.712B,9.739B,,,161.00M,,,,,,,,611.60M,,,
1989-03,,1.118B,,1.118B,93.50M,,93.50M,1.285B,,,,,,,156.30M,,,,6.056B,67.80M,5.989B,2.081B,8.389B,9.758B,,111.50M,111.50M,,111.50M,1.294B,1.294B,1.294B,1.405B,149.60M,2.60M,152.20M,7.496B,,7.648B,9.169B,,,144.90M,,,,,,,,589.10M,,,
