,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1998-06,367.10M,367.10M,8.30M,108.50M,116.80M,,,116.80M,14.30M,247.40M,135.80M,43.50M,92.30M,,,92.30M,92.30M,17.10M,379.70M,,0.40,0.00,,0.40,0.40,,0.39,0.00,,0.39,0.39,,230.75M,236.67M,0.1503,,,
1998-03,350.20M,350.20M,6.90M,104.70M,111.60M,,,111.60M,3.10M,254.80M,131.70M,42.20M,89.50M,,,89.50M,89.50M,17.80M,379.30M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,235.53M,235.53M,0.1503,,,
1997-12,348.00M,348.00M,13.50M,99.80M,113.30M,,,113.30M,1.10M,259.50M,133.40M,42.70M,90.70M,,,90.70M,90.70M,16.80M,373.70M,,0.4701,0.00,,0.4701,0.4701,,0.4592,0.00,,0.4592,0.4592,,164.31M,170.36M,0.1503,,,
1997-09,353.30M,353.30M,6.10M,100.50M,106.60M,,,106.60M,1.20M,257.20M,80.00M,38.80M,41.20M,,,41.20M,41.20M,19.70M,325.70M,,0.1636,0.00,,0.1636,0.1636,,0.1636,0.00,,0.1636,0.1636,,251.80M,251.80M,0.1503,,,
1997-06,294.80M,294.80M,4.80M,80.30M,85.10M,,,85.10M,,225.20M,112.20M,39.70M,72.50M,,,72.50M,72.50M,11.60M,316.20M,,0.3272,0.00,,0.3272,0.3272,,0.3182,0.00,,0.3182,0.3182,,221.55M,227.88M,0.1366,,,
1997-03,324.30M,324.30M,9.00M,97.20M,106.20M,,,106.20M,,247.60M,118.10M,40.90M,77.20M,,,77.20M,77.20M,15.30M,346.40M,,0.34,0.00,,0.34,0.34,,0.33,0.00,,0.33,0.33,,227.06M,233.94M,0.1366,,,
1996-12,437.10M,437.10M,10.50M,133.70M,144.20M,,,144.20M,4.10M,329.40M,159.70M,49.80M,109.90M,,,109.90M,109.90M,29.60M,478.20M,,0.4464,0.00,,0.4464,0.4464,,0.4264,0.00,,0.4264,0.4264,,253.81M,268.21M,0.1366,,,
1996-09,262.70M,262.70M,2.80M,75.50M,78.30M,,,78.30M,6.20M,191.70M,100.80M,34.30M,66.50M,,,66.50M,66.50M,18.40M,287.50M,,0.3000,0.00,,0.3000,0.3000,,0.3000,0.00,,0.3000,0.3000,,221.69M,221.69M,0.1366,,,
1996-06,256.50M,256.50M,4.10M,75.10M,79.20M,,,79.20M,,189.30M,99.20M,34.10M,65.10M,,,65.10M,65.10M,22.20M,285.00M,,0.2909,0.00,,0.2909,0.2909,,0.2909,0.00,,0.2909,0.2909,,223.80M,223.80M,0.1242,,,
1996-03,252.90M,252.90M,2.90M,76.60M,79.50M,,,79.50M,,184.70M,97.50M,34.70M,62.80M,,,62.80M,62.80M,21.70M,287.10M,,0.2818,0.00,,0.2818,0.2818,,0.2818,0.00,,0.2818,0.2818,,222.86M,222.86M,0.1242,,,
1995-12,250.30M,250.30M,,,,,,,,181.90M,99.30M,33.80M,65.50M,,,65.50M,65.50M,21.60M,298.80M,,0.3144,0.00,,0.3144,0.3144,,0.3144,0.00,,0.3144,0.3144,,208.05M,226.34M,0.2484,,,
1995-09,247.80M,247.80M,3.10M,71.40M,74.50M,,,74.50M,2.30M,186.60M,101.70M,35.80M,65.90M,,,65.90M,65.90M,18.00M,293.00M,,0.3000,0.00,,0.3000,0.3000,,0.3000,0.00,,0.3000,0.3000,,219.69M,219.69M,0.1242,,,
1995-06,239.90M,239.90M,2.90M,72.30M,75.20M,,,75.20M,6.40M,179.90M,92.60M,34.40M,58.20M,,,58.20M,58.20M,15.90M,272.90M,,0.2636,0.00,,0.2636,0.2636,,0.2636,0.00,,0.2636,0.2636,,220.78M,220.78M,0.1183,,,
1995-03,234.80M,234.80M,3.00M,72.70M,75.70M,,,75.70M,0.10M,173.00M,83.30M,29.40M,53.90M,,,53.90M,53.90M,13.30M,247.40M,,0.2363,0.00,,0.2363,0.2363,,0.2363,0.00,,0.2363,0.2363,,228.06M,228.06M,0.1183,,,
1994-12,232.10M,232.10M,,,,,,,,177.30M,79.00M,26.50M,52.50M,,,52.50M,52.50M,17.80M,220.70M,,0.2423,0.00,,0.2423,0.2423,,0.2423,0.00,,0.2423,0.2423,,217.06M,220.14M,0.1184,,,
1994-09,241.00M,241.00M,,,,,,,,183.60M,84.90M,29.00M,55.90M,,,55.90M,55.90M,34.30M,203.10M,,0.2545,0.00,,0.2545,0.2545,,0.2545,0.00,,0.2545,0.2545,,219.63M,219.63M,0.1182,,,
1994-06,254.10M,254.10M,,,,,,,,192.10M,100.70M,33.20M,67.50M,,,67.50M,67.50M,14.10M,206.10M,,0.3091,0.00,,0.3091,0.3091,,0.3091,0.00,,0.3091,0.3091,,218.40M,218.40M,0.0945,,,
1994-03,264.50M,264.50M,,,,,,,,203.20M,101.90M,35.20M,66.70M,,,66.70M,66.70M,18.00M,200.40M,,0.3091,0.00,,0.3091,0.3091,,0.3091,0.00,,0.3091,0.3091,,215.82M,215.82M,0.0945,,,
1993-12,308.70M,308.70M,,,,,,,,79.40M,114.80M,46.00M,68.80M,,,68.80M,68.80M,23.70M,244.50M,,0.3091,0.00,,0.3091,0.3091,,0.2909,0.00,,0.2909,0.2909,,220.96M,237.29M,0.0945,,,
1993-09,283.60M,283.60M,,,,,,,,193.40M,89.60M,30.20M,59.40M,,,59.40M,59.40M,53.80M,191.80M,,0.2636,0.00,,0.2636,0.2636,,0.2636,0.00,,0.2636,0.2636,,225.33M,225.33M,0.0945,,,
1993-06,250.00M,250.00M,,,,,,,,184.90M,78.10M,24.90M,53.20M,,,53.20M,53.20M,30.60M,176.90M,,0.2727,0.00,,0.2727,0.2727,,0.2727,0.00,,0.2727,0.2727,,195.09M,195.09M,0.0859,,,
1993-03,224.90M,224.90M,,,,,,,,166.00M,69.90M,22.60M,47.30M,,,47.30M,47.30M,19.40M,159.80M,,0.2636,0.00,,0.2636,0.2636,,0.2636,0.00,,0.2636,0.2636,,179.43M,179.43M,0.0774,,,
1992-12,224.60M,224.60M,4.00M,63.00M,67.00M,,,67.00M,1.00M,170.50M,54.40M,15.80M,38.60M,,,38.60M,38.60M,25.30M,148.10M,,0.1727,0.00,,0.1727,0.1727,,0.1636,0.00,,0.1636,0.1636,,221.37M,231.05M,0.0774,,,
1992-09,213.40M,213.40M,3.10M,60.80M,63.90M,,,63.90M,3.70M,157.20M,50.40M,15.50M,34.90M,,,34.90M,34.90M,16.40M,147.80M,,0.1909,0.00,,0.1909,0.1909,,0.1909,0.00,,0.1909,0.1909,,182.83M,182.83M,0.0774,,,
1992-06,225.10M,225.10M,3.20M,59.00M,62.20M,,,62.20M,27.70M,147.40M,48.90M,15.30M,33.60M,,,33.60M,33.60M,13.10M,155.40M,,0.1909,0.00,,0.1909,0.1909,,0.1909,0.00,,0.1909,0.1909,,176.02M,176.02M,0.0686,,,
1992-03,183.30M,183.30M,1.90M,57.40M,59.30M,,,59.30M,2.60M,135.10M,46.60M,14.70M,31.90M,,,31.90M,31.90M,14.30M,161.70M,,0.1818,0.00,,0.1818,0.1818,,0.1818,0.00,,0.1818,0.1818,,175.47M,175.47M,0.0686,,,
1991-12,176.90M,176.90M,-6.40M,53.40M,47.00M,,,47.00M,,125.10M,45.70M,14.00M,31.70M,,,31.70M,31.70M,12.00M,173.40M,,0.1772,,,0.1772,0.1772,,0.1772,,,0.1772,0.1772,,178.86M,178.86M,0.0686,,,
1991-09,167.10M,167.10M,5.60M,51.80M,57.40M,,,57.40M,,120.00M,42.30M,12.20M,30.10M,,,30.10M,25.83M,9.20M,178.70M,,0.2091,0.00,,0.1794,0.2091,,0.2091,0.00,,0.1794,0.2091,,143.97M,143.97M,0.0686,,,
1991-06,163.60M,163.60M,5.30M,48.90M,54.20M,,,54.20M,,118.90M,41.80M,12.20M,29.60M,,,29.60M,29.60M,9.60M,186.90M,,0.2091,0.00,,0.2091,0.2091,,0.2091,0.00,,0.2091,0.2091,,141.58M,141.58M,0.0654,,,
1991-03,153.60M,153.60M,4.90M,47.00M,51.90M,,,51.90M,,113.50M,36.60M,11.00M,25.60M,,,25.60M,25.60M,8.90M,185.70M,,0.1909,0.00,,0.1909,0.1909,,0.1909,0.00,,0.1909,0.1909,,134.11M,134.11M,0.0654,,,
1990-12,149.50M,149.50M,5.30M,46.50M,51.80M,,,51.80M,,110.80M,38.80M,11.40M,27.40M,,,27.40M,29.38M,9.50M,204.70M,,0.1909,0.00,,0.2045,0.1909,,0.1909,0.00,,0.2045,0.1909,,145.48M,145.48M,0.0654,,,
1990-09,146.50M,146.50M,5.70M,47.20M,52.90M,,,52.90M,,107.00M,0.10M,-2.00M,2.10M,,,2.10M,1.26M,9.30M,172.00M,,0.0182,0.00,,0.0109,0.0182,,0.0182,0.00,,0.0109,0.0182,,115.51M,115.51M,0.0654,,,
1990-06,144.30M,144.30M,5.20M,45.00M,50.20M,,,50.20M,,103.50M,37.70M,10.00M,27.70M,,,27.70M,26.97M,8.70M,206.70M,,0.2091,0.00,,0.2035,0.2091,,0.2091,0.00,,0.2035,0.2091,,132.49M,132.49M,0.0549,,,
1990-03,133.70M,133.70M,3.90M,43.20M,47.10M,,,47.10M,,99.30M,37.10M,9.70M,27.40M,,,27.40M,27.10M,8.20M,201.90M,,0.2272,0.00,,0.2248,0.2272,,0.2272,0.00,,0.2248,0.2272,,120.57M,120.57M,0.0549,,,
1989-12,173.40M,173.40M,12.50M,51.60M,64.10M,,,64.10M,,125.10M,46.90M,11.20M,35.70M,,,35.70M,35.70M,12.10M,250.80M,,0.2000,0.00,,0.2000,0.2000,,0.2000,0.00,,0.2000,0.2000,,169.33M,169.33M,0.0549,,,
1989-09,121.10M,121.10M,4.10M,38.60M,42.70M,,,42.70M,,88.50M,33.80M,8.70M,25.10M,,,25.10M,23.32M,6.20M,187.10M,,0.2363,0.00,,0.2196,0.2363,,0.2363,0.00,,0.2196,0.2363,,106.20M,106.20M,0.0549,,,
1989-06,120.60M,120.60M,4.40M,37.20M,41.60M,,,41.60M,,88.40M,32.20M,8.10M,24.10M,,,24.10M,22.60M,5.90M,178.50M,,0.2363,0.00,,0.2217,0.2363,,0.2363,0.00,,0.2217,0.2363,,101.97M,101.97M,0.0478,,,
1989-03,113.40M,113.40M,4.30M,36.10M,40.40M,,,40.40M,,87.00M,30.80M,7.70M,23.10M,,,23.10M,24.45M,5.50M,158.50M,,0.2636,0.00,,0.2790,0.2636,,0.2636,0.00,,0.2790,0.2636,,87.63M,87.63M,0.0478,,,
1988-12,,,,,,,,,,,,,22.90M,,,22.90M,,,,,,,,,,,,,,,,,145.68M,145.68M,0.0478,,,
1988-09,,,,,,,,,,,,,22.50M,,,22.50M,,,,,0.1545,0.00,,0.1545,0.1545,,0.1545,0.00,,0.1545,0.1545,,144.96M,144.96M,0.0478,,,
1988-06,,,,,,,,,,,,,21.30M,,,21.30M,,,,,0.1182,0.00,,0.1182,0.1182,,0.1182,0.00,,0.1182,0.1182,,116.12M,116.12M,,,,
1988-03,,,,,,,,,,,,,20.80M,,,20.80M,,,,,0.1454,0.00,,0.1454,0.1454,,0.1364,0.00,,0.1364,0.1364,,145.15M,145.15M,0.0435,,,
1987-12,,,,,,,,,,,,,8.90M,,,8.90M,,,,,,,,,,,,,,,,,145.15M,145.15M,0.0435,,,
1987-09,,,,,,,,,,,,,18.60M,,,18.60M,,,,,0.1364,0.00,,0.1364,0.1364,,0.1364,0.00,,0.1364,0.1364,,132.70M,132.70M,0.0435,,,
1987-06,,,,,,,,,,,,,3.30M,,,3.30M,,,,,0.0364,0.00,,0.0364,0.0364,,0.0364,0.00,,0.0364,0.0364,,132.36M,132.36M,,,,
1987-03,,,,,,,,,,,,,17.00M,,,17.00M,,,,,0.1273,0.00,,0.1273,0.1273,,0.1273,0.00,,0.1273,0.1273,,132.08M,132.08M,0.0395,,,
1986-12,,,,,,,,,,,,,18.50M,,,18.50M,,,,,,,,,,,,,,,,,132.08M,132.08M,0.0395,,,
1986-09,,,,,,,,,,,,,16.40M,,,16.40M,,,,,0.1273,0.00,,0.1273,0.1273,,0.1273,0.00,,0.1273,0.1273,,126.88M,126.88M,0.0395,,,
1986-06,,,,,,,,,,,,,15.40M,,,15.40M,,,,,0.1182,0.00,,0.1182,0.1182,,0.1182,0.00,,0.1182,0.1182,,114.14M,114.14M,,,,
1986-03,,,,,,,,,,,,,14.40M,,,14.40M,,,,,0.1182,0.00,,0.1182,0.1182,,0.1182,0.00,,0.1182,0.1182,,110.10M,110.10M,0.0359,,,
1985-12,,,,,,,,,,,,,14.30M,,,14.30M,,,,,,,,,,,,,,,,,110.21M,110.21M,0.0359,,,
1985-09,,,,,,,,,,,,,13.50M,,,13.50M,,,,,0.1182,0.00,,0.1182,0.1182,,0.1182,0.00,,0.1182,0.1182,,109.86M,109.86M,0.0359,,,
1985-06,,,,,,,,,,,,,13.30M,,,13.30M,,,,,0.1182,0.00,,0.1182,0.1182,,0.1182,0.00,,0.1182,0.1182,,109.75M,109.75M,,,,
1985-03,,,,,,,,,,,,,11.40M,,,11.40M,,,,,0.1091,0.00,,0.1091,0.1091,,0.1091,0.00,,0.1091,0.1091,,109.75M,109.75M,0.0317,,,
1984-12,,,,,,,,,,,,,12.30M,,,12.30M,,,,,,,,,,,,,,,,,98.97M,98.97M,0.0317,,,
1984-09,,,,,,,,,,,,,11.50M,,,11.50M,,,,,0.1091,0.00,,0.1091,0.1091,,0.1091,0.00,,0.1091,0.1091,,98.87M,98.87M,,,,
1984-06,,,,,,,,,,,,,10.50M,,,10.50M,,,,,0.1091,0.00,,0.1091,0.1091,,0.1000,0.00,,0.1000,0.1000,,98.87M,98.87M,,,,
1984-03,,,,,,,,,,,,,9.40M,,,9.40M,,,,,0.0909,0.00,,0.0909,0.0909,,0.0818,0.00,,0.0818,0.0818,,98.87M,98.87M,,,,
