,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,36.06M,36.06M,,,,2.313M,,,5.919M,-5.919M,1.257M,11.49M,24.56M,5.919M,-5.919M,,-5.919M,,,18.65M,3.174M,,2.428M,21.82M,18.65M,33.13M,8.564M,24.56M,,0.235,0.045,0.235,0.28,,0.235,0.045,0.235,0.28,,68.97M,69.08M,0.2895,,AOR,
2002-06,35.24M,33.90M,,,,2.348M,,-10.99M,,,12.21M,10.99M,22.91M,,,1.126M,,,,17.11M,1.336M,,2.428M,18.44M,16.43M,30.33M,7.209M,22.91M,,0.24,0.00,0.2299,0.24,,0.24,0.00,0.2299,0.24,,66.74M,66.74M,0.2877,,AOR,
2002-03,34.00M,33.66M,,,2.389M,2.389M,,-10.81M,,,11.76M,10.81M,22.84M,,,0.365M,,,,17.24M,0.714M,,2.428M,18.29M,17.36M,30.32M,7.474M,22.84M,,0.24,0.00,0.2367,0.24,,0.24,0.00,0.2367,0.24,,66.11M,66.11M,0.2857,,AOR,
2001-12,43.56M,18.98M,,,,2.02M,,,,,,-65.06M,84.05M,,,,,,,8.939M,0.295M,,2.428M,18.42M,18.13M,91.50M,7.449M,84.05M,,0.1385,0.0025,0.1385,0.1410,,0.1385,0.0025,0.1385,0.1410,,56.64M,65.66M,0.2838,,AOR,Restated
2001-09,30.44M,30.44M,,,,1.913M,,,6.08M,-6.08M,1.373M,10.37M,20.07M,6.08M,-6.08M,,-6.08M,,,16.79M,0.393M,,2.428M,17.19M,16.79M,27.15M,7.019M,20.07M,,0.24,0.01,0.24,0.25,,0.24,0.01,0.24,0.25,,59.51M,59.61M,0.282,,AOR,Restated
2001-06,30.09M,29.93M,,,1.866M,1.866M,,-10.03M,,,17.62M,16.61M,13.31M,,,0.325M,,,,11.05M,,,2.428M,13.48M,13.28M,20.47M,7.158M,13.31M,,0.195,0.00,0.1916,0.195,,0.195,0.00,0.1916,0.195,,56.66M,56.66M,0.2802,,AOR,
2001-03,31.56M,31.56M,,,2.04M,2.04M,,,,,9.793M,19.04M,12.52M,,,,,,,16.04M,,,2.428M,18.47M,18.47M,19.73M,7.21M,12.52M,,0.30,0.00,0.30,0.30,,0.30,0.00,0.30,0.30,,53.48M,53.48M,0.2782,,AOR,
2000-12,33.99M,19.64M,,,,1.486M,,-10.40M,,,,-81.52M,101.16M,,,5.089M,,,,15.76M,,,2.428M,16.66M,5.421M,109.07M,7.908M,101.16M,,0.1193,0.1541,0.0624,0.2735,,0.1193,,0.0624,0.2679,,53.64M,53.64M,0.2763,,AOR,Restated
2000-09,30.12M,29.88M,,,1.863M,1.863M,,-9.581M,,,18.57M,17.76M,12.12M,,,0.789M,,,,9.923M,,,2.428M,12.35M,11.88M,19.03M,6.913M,12.12M,,0.185,0.00,0.1762,0.185,,0.185,0.00,0.1762,0.185,,53.64M,53.64M,0.2745,,AOR,
2000-06,29.38M,28.44M,,,1.735M,1.735M,,-9.045M,,,16.98M,16.52M,11.92M,,,0.938M,,,,10.44M,,,2.428M,12.86M,12.30M,18.77M,6.844M,11.92M,,0.195,0.00,0.1845,0.195,,0.195,0.00,0.1845,0.195,,53.51M,53.51M,0.2726,,AOR,
2000-03,28.36M,28.36M,,,,,0.662M,-8.947M,,,,-8.947M,37.30M,,,0.662M,,,,12.91M,,,2.428M,12.91M,12.51M,37.30M,,37.30M,,0.195,0.00,0.1876,0.195,,0.195,0.00,0.1876,0.195,,53.63M,53.63M,0.2713,,AOR,
1999-12,20.86M,20.86M,,,,,,,,,,78.25M,-57.39M,,,,,,,7.812M,,,2.429M,12.74M,7.457M,-57.39M,,-57.39M,,0.0960,0.0985,0.0960,0.1945,,0.0960,0.0985,0.0960,0.1945,,53.86M,53.86M,0.2656,,AOR,Restated
1999-09,28.10M,28.10M,,,1.80M,1.80M,,-9.00M,,,,-7.20M,35.30M,,,1.20M,,,,13.10M,,,2.20M,13.10M,12.38M,42.00M,6.70M,35.30M,,0.205,0.00,0.1915,0.205,,0.205,0.00,0.1915,0.205,,53.17M,53.17M,0.2638,,,
1999-06,24.90M,24.90M,,,1.80M,1.80M,,-8.50M,,,,-6.70M,31.60M,,,,,,,10.40M,,,0.60M,10.40M,10.40M,37.81M,6.21M,31.60M,,0.185,0.00,0.185,0.185,,0.185,0.00,0.185,0.185,,52.97M,52.97M,0.2601,,,
1999-03,24.02M,24.02M,,,1.646M,1.646M,,-8.177M,,,,-6.531M,30.56M,,,,,,,9.929M,,,,9.929M,9.929M,36.64M,6.09M,30.56M,,0.185,0.00,0.185,0.185,,0.185,0.00,0.185,0.185,,53.64M,53.65M,0.2563,,,
1998-12,20.73M,20.73M,,,,,,,,,,60.98M,-40.25M,,,,,,,9.073M,,,,10.60M,8.847M,-40.25M,,-40.25M,,0.195,0.00,0.195,0.195,,0.195,0.00,0.195,0.195,,54.25M,54.31M,0.2526,,AOR,Restated
1998-09,21.80M,21.80M,,,1.70M,1.70M,,-7.80M,,,,-6.10M,27.90M,,,,,,,10.50M,,,,10.50M,10.50M,33.50M,5.60M,27.90M,,0.195,0.00,0.195,0.195,,0.195,0.00,0.195,0.195,,53.85M,53.85M,0.2488,,,
1998-06,20.60M,20.60M,,,1.70M,1.70M,,-7.50M,,,,-5.80M,26.40M,,,0.30M,,,,10.30M,,,,10.30M,10.12M,31.80M,5.40M,26.40M,,0.185,0.00,0.1818,0.185,,0.185,0.00,0.1818,0.185,,55.68M,55.68M,0.3264,,,
1998-03,19.50M,19.50M,,,1.50M,1.50M,,-7.10M,,,,-5.60M,25.10M,,,0.20M,,,,9.90M,,,,9.90M,9.78M,30.20M,5.10M,25.10M,,0.19,0.00,0.1877,0.19,,0.19,0.00,0.1877,0.19,,52.11M,52.11M,0.2413,,,
1997-12,19.50M,19.50M,,,1.50M,1.50M,,-6.90M,,,,-5.40M,24.90M,,,0.10M,,,,10.10M,,,,10.10M,10.04M,29.80M,4.90M,24.90M,,0.20,0.00,0.1988,0.20,,0.20,0.00,0.1988,0.20,,50.89M,50.89M,0.2388,,AOR,
1997-09,17.40M,17.40M,,,1.30M,1.30M,,-6.50M,,,,-5.20M,22.60M,,,0.60M,,,,8.50M,,,,8.50M,8.14M,27.40M,4.80M,22.60M,,0.185,0.00,0.1772,0.185,,0.185,0.00,0.1772,0.185,,45.95M,45.95M,0.2364,,,
1997-06,16.30M,16.30M,,,1.30M,1.30M,,-6.20M,,,,-4.90M,21.20M,,,0.20M,,,,8.10M,,,,8.10M,7.98M,25.60M,4.40M,21.20M,,0.175,0.00,0.1724,0.175,,0.175,0.00,0.1724,0.175,,46.29M,46.29M,0.2364,,,
1997-03,15.60M,15.60M,,,1.30M,1.30M,,-6.30M,,,,-5.00M,20.60M,,,0.20M,,,,8.20M,,,,8.20M,8.08M,25.10M,4.50M,20.60M,,0.18,0.00,0.1774,0.18,,0.18,0.00,0.1774,0.18,,45.56M,45.56M,0.2364,,,
1996-12,14.46M,14.46M,,,,1.281M,,,,,,37.62M,-23.16M,,,,,,,8.823M,,,,8.823M,8.823M,-18.94M,4.222M,-23.16M,,0.195,0.00,0.195,0.195,,0.195,0.00,0.195,0.195,,44.80M,44.81M,0.2351,,AOR,Restated
1996-09,14.10M,14.10M,,,1.30M,1.30M,,-5.70M,,,,-4.40M,18.50M,,,0.30M,,,,7.90M,,,,7.90M,7.72M,22.60M,4.10M,18.50M,,0.17,0.00,0.1661,0.17,,0.17,0.00,0.1661,0.17,,46.47M,46.47M,0.2325,,,
1996-06,13.80M,13.80M,,,1.30M,1.30M,,-5.70M,,,,-4.40M,18.20M,,,0.20M,,,,7.60M,,,,7.60M,7.48M,22.20M,4.00M,18.20M,,0.165,0.00,0.1624,0.165,,0.165,0.00,0.1624,0.165,,46.06M,46.06M,0.2325,,,
1996-03,14.40M,14.40M,,,1.30M,1.30M,,-6.10M,,,,-4.80M,19.20M,,,0.70M,,,,7.90M,,,,7.90M,7.48M,23.30M,4.10M,19.20M,,0.17,0.00,0.1610,0.17,,0.17,0.00,0.1610,0.17,,46.47M,46.47M,0.155,,,
1995-12,14.26M,14.26M,,,,,,,,,,40.47M,-26.22M,,,,,,,7.70M,,,,7.60M,7.70M,-26.22M,,-26.22M,,0.1021,,0.1021,0.1021,,0.1021,,0.1021,0.1021,,39.56M,39.56M,0.385,,AOR,Restated
1995-09,13.10M,13.10M,,,1.30M,1.30M,,-6.00M,,,,-4.70M,17.80M,,,,,,,6.10M,,,,6.10M,6.10M,21.70M,3.90M,17.80M,,0.155,0.00,0.155,0.155,,0.155,0.00,0.155,0.155,,39.35M,39.35M,0.2325,,,
1995-06,12.30M,12.30M,,,0.80M,0.80M,,-5.90M,,,,-5.10M,17.40M,,,,,,,5.80M,,,,5.80M,5.80M,21.00M,3.60M,17.40M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,38.67M,38.67M,0.375,,,
1995-03,11.90M,11.90M,,,0.90M,0.90M,,-5.70M,,,,-4.80M,16.70M,,,,,,,6.00M,,,,6.00M,6.00M,20.00M,3.30M,16.70M,,0.155,0.00,0.155,0.155,,0.155,0.00,0.155,0.155,,38.71M,38.71M,0.375,,,
1994-12,12.26M,12.26M,,,,,,,,,,56.40M,-44.14M,,,,,,,7.124M,,,,7.124M,7.124M,-44.14M,,-44.14M,,0.185,0.00,0.185,0.185,,0.185,0.00,0.185,0.185,,37.61M,37.61M,0.225,,,Restated
1994-09,12.20M,12.20M,,,2.70M,2.70M,,-17.40M,,,,-14.70M,26.90M,,,,,,,-5.30M,,,,-5.30M,-5.30M,26.90M,,26.90M,,-0.135,0.00,-0.135,-0.135,,-0.135,0.00,-0.135,-0.135,,39.26M,39.26M,,,,
