,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-06,438.27M,438.27M,250.20M,188.07M,124.04M,25.81M,,-0.128M,4.229M,0.176M,-4.053M,,149.85M,38.22M,0.176M,4.229M,-4.053M,-0.128M,-4.053M,34.04M,10.80M,23.24M,-1.735M,,21.50M,23.33M,60.68M,22.42M,38.27M,0.2,-0.01,,,0.2008,0.19,0.2,-0.01,,,0.2008,0.18,116.06M,116.27M,0.07
2009-03,435.16M,435.16M,246.62M,188.54M,129.14M,26.23M,,-8.574M,4.588M,0.477M,-4.111M,,155.37M,33.17M,0.477M,4.588M,-4.111M,-8.574M,-4.111M,20.48M,5.802M,14.68M,-4.123M,,10.56M,20.83M,46.75M,21.68M,25.07M,0.13,-0.03,,,0.1828,0.09,0.13,-0.03,,,0.1827,0.09,116.41M,116.55M,0.07
2008-12,443.90M,443.90M,237.20M,206.69M,118.60M,22.41M,,-23.27M,,,,,141.01M,65.68M,,,,-23.27M,,36.40M,7.558M,28.85M,1.817M,,30.66M,47.28M,57.95M,19.54M,38.41M,0.25,0.03,,,0.4074,0.26,0.25,0.03,,,0.4067,0.26,117.17M,117.66M,0.07
2008-09,505.12M,505.12M,293.96M,211.16M,131.12M,27.53M,,-7.957M,,,,,158.64M,52.52M,,,,-7.957M,,39.25M,-4.506M,43.76M,8.144M,,51.90M,48.93M,77.67M,25.16M,52.52M,0.37,0.0,,,0.4137,0.44,0.37,0.0,,,0.4132,0.43,118.35M,119.61M,0.07
2008-06,504.96M,504.96M,289.94M,215.03M,141.75M,28.92M,,0.275M,5.746M,0.827M,-4.919M,,170.67M,44.36M,0.827M,5.746M,-4.919M,0.275M,-4.919M,39.71M,10.12M,29.59M,-5.886M,,23.71M,29.39M,67.00M,21.54M,45.46M,0.25,-0.05,,,0.2483,0.2,0.25,-0.05,,,0.2483,0.2,117.81M,119.26M,0.07
2008-03,482.34M,482.34M,284.77M,197.58M,132.08M,29.12M,,-0.35M,,,,,161.20M,36.38M,,,,-0.35M,,31.07M,7.649M,23.42M,-3.285M,,20.14M,23.69M,58.76M,22.37M,36.38M,0.2,-0.2,,,0.2022,0.0,0.2,-0.2,,,0.2022,0.0,117.30M,118.46M,0.07
2007-12,511.47M,511.47M,297.90M,213.57M,126.88M,28.77M,,-8.103M,,,,0.00,155.66M,57.92M,,,,-8.103M,,45.68M,-8.929M,54.61M,-2.048M,,52.56M,59.88M,78.89M,20.98M,57.92M,0.47,-0.02,,,0.5153,0.45,0.46,-0.02,,,0.5039,0.44,116.37M,119.85M,0.07
2007-09,435.67M,435.67M,257.17M,178.50M,106.41M,27.69M,,-0.803M,,,,,134.10M,44.40M,,,,-0.803M,,40.56M,9.454M,31.10M,-0.357M,,30.74M,31.72M,63.90M,19.50M,44.40M,0.26,0.0,,,0.2652,0.26,0.26,0.0,,,0.2652,0.26,117.58M,119.45M,0.07
2007-06,437.29M,437.29M,263.31M,173.98M,109.36M,27.32M,,9.785M,,,,-15.35M,121.33M,52.65M,,,,9.785M,,44.67M,11.37M,33.30M,0.384M,,33.69M,26.01M,72.47M,19.82M,52.65M,0.28,0.0,,,0.2187,0.28,0.28,0.0,,,0.2196,0.28,118.91M,120.69M,0.07
2007-03,402.90M,402.90M,244.21M,158.69M,101.76M,27.84M,,-7.662M,,,,,129.61M,29.08M,,,,-7.662M,,20.38M,5.559M,14.82M,-0.127M,,14.69M,20.39M,49.62M,20.54M,29.08M,0.12,0.0,,,0.1658,0.12,0.12,0.0,,,0.1652,0.12,121.68M,123.26M,0.07
