,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-03,164.30M,,164.30M,,,971.40M,,,,,515.00M,,,216.10M,1.867B,,,,,,,4.213B,-2.097B,2.116B,,1.421B,1.421B,,,,653.70M,4.190B,6.057B,,189.40M,,189.40M,,189.40M,,,,271.30M,,271.30M,,,725.20M,1.186B,1.386B,,1.386B,,,,,,655.70M,,671.70M,2.058B,3.243B,,23.60M,1.519B,,,23.60M,,,,2.158B,,,
1995-12,214.90M,,214.90M,,,932.40M,,,,,467.80M,,,219.20M,1.834B,,,,,,,3.948B,-1.916B,2.032B,,1.416B,1.416B,,,,705.10M,4.153B,5.987B,,255.20M,,255.20M,,255.20M,,,,146.00M,,146.00M,,,763.90M,1.165B,1.393B,,1.393B,,,,,,637.20M,,664.90M,2.058B,3.223B,,23.90M,1.496B,,,23.90M,,,,2.127B,,,
1995-09,109.00M,,109.00M,,,968.30M,,,,,501.40M,,,238.90M,1.818B,,,,,,,3.851B,-1.886B,1.964B,,1.428B,1.428B,,,,709.30M,4.102B,5.920B,,160.90M,,160.90M,,160.90M,,,,122.60M,,122.60M,,,751.60M,1.035B,1.473B,,1.473B,,,,,,640.10M,,666.60M,2.139B,3.174B,,23.80M,1.455B,,,23.80M,,,,2.105B,,,
1995-06,194.50M,,194.50M,,,999.20M,,,,,503.60M,,,230.70M,1.928B,,,,,,,3.777B,-1.846B,1.931B,,1.436B,1.436B,,,,695.30M,4.062B,5.990B,,174.50M,,174.50M,,174.50M,,,,134.50M,,134.50M,,,802.20M,1.111B,1.520B,,1.520B,,,,,,639.70M,,663.10M,2.183B,3.295B,,24.30M,1.413B,,,24.30M,,,,2.056B,,,
1995-03,94.80M,,94.80M,,,963.80M,,,,,465.90M,,,211.50M,1.736B,,,,,,,3.685B,-1.795B,1.890B,,1.441B,1.441B,,,,1.044B,4.375B,6.111B,,181.40M,,181.40M,,181.40M,,,,134.00M,,134.00M,,,747.20M,1.063B,1.41B,,1.41B,,,,,,257.70M,,648.40M,2.058B,3.121B,,24.90M,1.752B,,,24.90M,,,,2.732B,,,
1994-12,161.30M,,161.30M,,,947.10M,,,,,416.70M,,,201.20M,1.726B,,,,,,,3.618B,-1.728B,1.891B,,1.408B,1.408B,,,,997.80M,4.296B,6.023B,,258.30M,,258.30M,,258.30M,,,,67.60M,,67.60M,,,748.30M,1.074B,1.406B,,1.406B,,,,,,247.00M,,643.60M,2.049B,3.123B,,24.90M,1.714B,,,24.90M,,,,2.652B,,,
1994-09,254.70M,,254.70M,,,984.00M,,,,,435.90M,,,256.90M,1.932B,,,,,,,3.642B,-1.774B,1.867B,,1.270B,1.270B,,,,1.078B,4.215B,6.147B,,192.50M,,192.50M,,192.50M,,,,329.00M,,329.00M,,,778.40M,1.300B,1.351B,,1.351B,,,,,,194.50M,,658.00M,2.009B,3.309B,,25.00M,1.722B,,,25.00M,,,,2.644B,,,
1994-06,121.00M,,121.00M,,,845.60M,,,,,408.70M,,,224.30M,1.600B,,,,,,,3.484B,-1.687B,1.798B,,1.217B,1.217B,,,,1.007B,4.022B,5.621B,,143.40M,,143.40M,,143.40M,,,,238.50M,,238.50M,,,681.80M,1.064B,1.606B,,1.606B,,,,,,186.20M,,665.90M,2.272B,3.335B,,25.00M,1.682B,,,25.00M,,,,2.100B,,,
1994-03,98.20M,,98.20M,,,752.20M,,,,,378.10M,,,264.20M,1.493B,,,,,,,3.429B,-1.653B,1.776B,,1.193B,1.193B,,,,968.20M,3.938B,5.430B,,170.60M,,170.60M,,170.60M,,,,232.50M,,232.50M,,,637.10M,1.040B,1.574B,,1.574B,,,,,,182.20M,,652.60M,2.226B,3.266B,,25.50M,1.604B,,,25.50M,,,,1.982B,,,
1993-12,160.80M,,160.80M,,,691.10M,,,,,353.90M,,,265.90M,1.472B,,,,,,,3.362B,-1.602B,1.760B,,1.009B,1.009B,,,,991.10M,3.76B,5.232B,,245.10M,,245.10M,,245.10M,,,,141.70M,,141.70M,,,633.50M,1.020B,1.586B,,1.586B,,,,,,245.70M,,668.60M,2.254B,3.274B,,25.70M,1.582B,,,25.70M,,,,1.712B,,,
1993-09,121.20M,,121.20M,,,793.60M,,,,,415.70M,,,275.80M,1.606B,,,,,,,3.331B,-1.628B,1.702B,,801.00M,801.00M,,,,1.310B,3.813B,5.420B,,166.70M,,166.70M,,166.70M,,,,609.80M,,609.80M,,,619.70M,1.396B,1.208B,,1.208B,,,,,,242.80M,,702.00M,1.910B,3.306B,,25.90M,1.737B,,,25.90M,,,,1.870B,,,
1993-06,106.10M,,106.10M,,,672.60M,,,,,408.10M,,,180.30M,1.367B,,,,,,,3.200B,-1.579B,1.621B,,,,,,,1.447B,3.068B,4.435B,,116.00M,,116.00M,,116.00M,,,,129.50M,,129.50M,,,487.50M,733.00M,970.80M,,970.80M,,,,,,247.20M,,598.30M,1.569B,2.302B,,26.40M,1.773B,,,26.40M,,,,1.885B,,,
1993-03,105.10M,,105.10M,,,645.40M,,,,,376.90M,,,171.90M,1.299B,,,,,,,3.122B,-1.536B,1.586B,,,,,,,1.397B,2.983B,4.283B,,154.90M,,154.90M,,154.90M,,,,82.00M,,82.00M,,,465.80M,702.70M,916.70M,,916.70M,,,,,,245.10M,,583.10M,1.500B,2.202B,,26.50M,1.750B,,,26.50M,,,,1.835B,,,
1992-12,133.10M,,133.10M,,,662.30M,,,,,346.30M,,,147.60M,1.289B,,,,,,,3.108B,-1.503B,1.605B,,220.70M,220.70M,,,,1.171B,2.997B,4.286B,,215.40M,,215.40M,,215.40M,,,,103.40M,,103.40M,,,505.30M,824.10M,815.70M,,815.70M,,,,,,241.20M,,574.60M,1.390B,2.214B,,26.90M,1.704B,,,26.90M,,,,1.831B,,,
1992-09,109.10M,,109.10M,,,764.90M,,,,,387.50M,,,162.70M,1.424B,,,,,,,3.144B,-1.548B,1.596B,,,,,,,1.538B,3.134B,4.558B,,149.00M,,149.00M,,149.00M,,,,159.80M,,159.80M,,,467.80M,776.60M,915.70M,,915.70M,84.50M,,84.50M,,,322.60M,,210.90M,1.211B,1.988B,,27.40M,2.008B,,,27.40M,,,,2.248B,,,
1992-06,127.20M,,127.20M,,,688.60M,,,,,370.40M,,,160.30M,1.346B,,,,,,,3.000B,-1.488B,1.511B,,,,,,,1.444B,2.955B,4.301B,,160.40M,,160.40M,,160.40M,,,,140.50M,,140.50M,,,425.00M,725.90M,876.30M,,876.30M,81.90M,,81.90M,,,317.40M,,210.20M,1.168B,1.894B,,27.60M,1.936B,,,27.60M,,,,2.090B,,,
1992-03,97.90M,,97.90M,,,660.20M,,,,,353.60M,,,138.20M,1.250B,,,,,,,2.890B,-1.433B,1.457B,,,,,,,1.479B,2.936B,4.186B,,152.50M,,152.50M,,152.50M,,,,222.50M,,222.50M,,,395.90M,770.90M,772.10M,,772.10M,69.20M,,69.20M,,,320.00M,,213.70M,1.055B,1.826B,,27.70M,1.893B,,,27.70M,,,,2.040B,,,
1991-12,207.60M,,207.60M,,,582.80M,,,,,315.70M,,,123.30M,1.229B,,,,,,,2.810B,-1.380B,1.430B,,198.50M,198.50M,,,,995.10M,2.623B,3.853B,,203.00M,,203.00M,,203.00M,,,,85.30M,,85.30M,,,420.10M,708.40M,700.00M,,700.00M,73.00M,,73.00M,,,115.10M,,209.40M,982.40M,1.691B,,27.90M,1.846B,,,27.90M,,,,2.047B,,,
1991-09,62.70M,,62.70M,,,661.00M,,,,,332.20M,,,118.80M,1.175B,,,,,,,2.720B,-1.374B,1.346B,,,,,,,1.151B,2.498B,3.672B,,153.10M,,153.10M,,153.10M,,,,68.90M,,68.90M,,,359.00M,581.00M,704.80M,,704.80M,55.50M,,55.50M,,,115.70M,,209.90M,970.20M,1.551B,,29.50M,1.801B,,,29.50M,,,,2.005B,,,
1991-06,51.50M,,51.50M,,,591.70M,,,,,339.70M,,,120.60M,1.104B,,,,,,,2.672B,-1.343B,1.329B,,,,,,,1.136B,2.465B,3.569B,,142.80M,,142.80M,,142.80M,,,,128.80M,,128.80M,,,373.10M,644.70M,611.20M,,611.20M,63.70M,,63.70M,,,112.10M,,206.60M,881.50M,1.526B,,29.80M,1.716B,,,29.80M,,,,1.930B,,,
1991-03,25.00M,,25.00M,,,552.40M,,,,,337.80M,,,120.60M,1.036B,,,,,,,2.679B,-1.33B,1.349B,,,,,,,1.126B,2.475B,3.511B,,118.80M,,118.80M,,118.80M,,,,116.90M,,116.90M,,,371.60M,607.30M,610.40M,,610.40M,71.30M,,71.30M,,,108.40M,,208.30M,890.00M,1.497B,,30.70M,1.665B,,,30.70M,,,,1.905B,,,
1990-12,133.00M,,133.00M,,,527.20M,,,,,314.50M,,,123.20M,1.098B,,,,,,,2.643B,-1.291B,1.352B,,195.10M,195.10M,,,,867.20M,2.414B,3.512B,,191.50M,,191.50M,,191.50M,,,,52.80M,,52.80M,,,395.20M,639.50M,611.20M,,611.20M,72.80M,,72.80M,,,101.60M,,205.90M,889.90M,1.529B,,30.70M,1.641B,,,30.70M,,,,1.881B,,,
1990-09,122.80M,,122.80M,,,576.80M,,,,,316.90M,,,128.90M,1.145B,,,,,,,2.570B,-1.273B,1.296B,,,,,,,1.015B,2.312B,3.457B,,122.50M,,122.50M,,122.50M,,,,74.90M,,74.90M,,,424.40M,621.80M,617.80M,,617.80M,63.80M,,63.80M,,,102.30M,,216.40M,898.00M,1.520B,,30.80M,1.588B,,,30.80M,,,,1.835B,,,
1990-06,119.50M,,119.50M,,,521.30M,,,,,317.20M,,,131.00M,1.089B,,,,,,,2.473B,-1.208B,1.264B,,,,,,,1.024B,2.289B,3.378B,,122.60M,,122.60M,,122.60M,,,,74.40M,,74.40M,,,408.70M,605.70M,618.10M,,618.10M,60.70M,,60.70M,,,99.00M,,221.40M,900.20M,1.506B,,31.00M,1.508B,,,31.00M,,,,1.773B,,,
1990-03,191.60M,,191.60M,,,492.30M,,,,,295.00M,,,131.00M,1.110B,,,,,,,2.434B,-1.17B,1.264B,,,,,,,1.014B,2.277B,3.387B,,110.20M,,110.20M,,110.20M,,,,74.20M,,74.20M,,,417.20M,601.60M,628.90M,,628.90M,63.50M,,63.50M,,,99.60M,,224.30M,916.70M,1.518B,,31.50M,1.462B,,,31.50M,,,,1.769B,,,
1989-12,352.80M,,352.80M,,,452.40M,,,,,238.50M,,,125.60M,1.169B,,,,,,,2.235B,-1.074B,1.161B,,148.70M,148.70M,,,,882.10M,2.191B,3.361B,,158.60M,,158.60M,,158.60M,,,,40.40M,,40.40M,,,483.00M,682.00M,624.50M,,624.50M,53.10M,,53.10M,,,45.80M,,212.50M,890.10M,1.572B,,31.60M,1.436B,,,31.60M,,,,1.743B,,,
1988-12,156.50M,,156.50M,,,397.50M,,,,,254.00M,,,121.80M,929.80M,,,,,,,2.001B,-1.009B,991.50M,,,,,,,976.60M,1.968B,2.898B,,,,,,,,,,18.50M,,18.50M,,,490.20M,508.70M,499.00M,,499.00M,,,,,,,,329.50M,828.50M,1.337B,,,1.276B,,,,,,,1.561B,,,
1987-12,255.40M,,255.40M,,,364.80M,,,,,221.00M,,,122.10M,963.30M,,,,,,,1.861B,-951.20M,909.70M,,,,,,,785.70M,1.695B,2.659B,,,,,,,,,,11.00M,,11.00M,,,468.90M,479.90M,428.80M,,428.80M,,,,,,,,214.30M,643.10M,1.123B,,,1.324B,,,,,,,1.536B,,,
1986-12,175.50M,,175.50M,,,316.80M,,,,,216.60M,,,151.60M,860.50M,,,,,,,1.716B,-897.10M,819.00M,,,,,,,681.30M,1.500B,2.361B,,,,,,,,,,10.60M,,10.60M,,,475.40M,486.00M,343.40M,,343.40M,46.20M,,46.20M,,,,,132.70M,522.30M,1.008B,,,1.171B,,,,,,,1.352B,,,
1985-12,111.70M,,111.70M,,,275.00M,,,,,201.10M,,,122.10M,709.90M,,,,,,,1.495B,-786.00M,708.60M,,15.40M,15.40M,,,,598.50M,1.322B,2.032B,,,,,,,,,,37.80M,,37.80M,,,362.50M,400.30M,327.50M,,327.50M,37.60M,,37.60M,,,,,81.40M,446.50M,846.80M,,,1.043B,,,,,,,1.186B,,,
1984-12,109.60M,,109.60M,,,244.40M,,,,,251.50M,,,98.50M,704.00M,,,,,,,1.399B,-757.20M,641.80M,,17.80M,17.80M,,,,493.20M,1.153B,1.857B,,,,,,,,,,31.70M,,31.70M,,,345.40M,377.10M,309.10M,,309.10M,42.30M,,42.30M,,,,,61.20M,412.60M,789.70M,,,969.70M,,,,,,,1.067B,,,
