,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2006-09,51.11M,7.397M,58.50M,317.68M,317.68M,126.38M,54.98M,48.58M,229.94M,20.92M,32.42M,659.46M,,,,,,727.06M,-487.02M,240.04M,860.05M,179.70M,1.040B,,100.99M,1.381B,2.040B,146.42M,,146.42M,159.20M,305.62M,,167.10M,,167.10M,,,,472.73M,506.30M,,506.30M,76.22M,76.22M,43.95M,626.46M,1.099B,0.726M,861.02M,126.50M,37.35M,,-9.846M,941.04M
2006-06,44.51M,9.412M,53.92M,315.54M,315.54M,125.90M,60.12M,49.19M,235.20M,20.40M,33.46M,658.53M,,,,,,718.89M,-478.96M,239.93M,895.58M,138.70M,1.034B,,104.50M,1.379B,2.037B,155.32M,,155.32M,159.03M,314.35M,,182.06M,,182.06M,,,,496.41M,509.76M,,509.76M,75.54M,75.54M,44.70M,630.01M,1.126B,0.725M,817.82M,124.60M,22.72M,,-9.604M,910.82M
2006-03,38.99M,9.13M,48.12M,289.96M,289.96M,116.33M,50.20M,41.28M,207.81M,20.22M,33.59M,599.71M,,,,,,690.21M,-464.52M,225.69M,799.58M,222.86M,1.022B,,,1.248B,1.848B,145.49M,,145.49M,136.02M,281.51M,,139.22M,,139.22M,,,,420.74M,478.37M,,478.37M,48.79M,48.79M,42.32M,569.48M,990.22M,0.723M,775.55M,115.89M,17.26M,,-17.29M,857.61M
2005-12,35.54M,8.243M,43.79M,269.40M,269.40M,107.19M,45.82M,40.09M,193.10M,21.15M,28.87M,556.31M,0.0,17.22M,144.56M,520.48M,,682.26M,-453.81M,228.45M,785.18M,117.95M,903.13M,,92.71M,1.224B,1.781B,132.51M,,132.51M,117.16M,249.66M,,156.13M,,156.13M,,,,405.79M,475.31M,,475.31M,50.94M,50.94M,39.04M,565.29M,971.08M,1.075M,739.52M,107.09M,17.25M,,-20.92M,809.52M
2005-09,40.08M,7.558M,47.64M,240.04M,240.04M,98.68M,48.33M,42.45M,189.46M,9.512M,30.74M,517.40M,,,,,,652.82M,-449.45M,203.36M,,805.87M,805.87M,,77.35M,1.087B,1.604B,119.30M,,119.30M,128.60M,247.90M,,25.58M,,25.58M,,,-0.001M,273.48M,488.84M,,488.84M,46.14M,46.14M,39.72M,574.70M,848.18M,0.712M,731.10M,66.61M,17.64M,,-24.98M,755.81M
2005-06,53.35M,7.231M,60.58M,246.50M,246.50M,94.94M,40.89M,44.05M,179.88M,5.483M,25.40M,517.84M,,,,,,645.60M,-443.56M,202.05M,,761.28M,761.28M,,77.31M,1.041B,1.558B,122.00M,,122.00M,134.50M,256.50M,,6.843M,,6.843M,,,,263.35M,485.81M,,485.81M,50.62M,50.62M,39.02M,575.45M,838.80M,0.711M,699.82M,60.98M,17.57M,,-24.26M,719.68M
2005-03,38.81M,6.649M,45.46M,232.76M,232.76M,89.89M,40.59M,42.20M,172.69M,4.984M,23.35M,479.24M,,,,,,644.80M,-444.29M,200.50M,,751.51M,751.51M,,,952.01M,1.431B,115.99M,,115.99M,106.40M,222.40M,,29.24M,,29.24M,,,,251.64M,397.90M,,397.90M,49.96M,49.96M,39.50M,487.37M,739.01M,0.709M,668.77M,62.46M,24.64M,,-15.06M,692.24M
2004-12,37.58M,11.39M,48.98M,217.33M,217.33M,87.36M,40.20M,40.96M,168.52M,5.201M,21.91M,461.94M,0.0,14.36M,133.01M,503.07M,,650.44M,-442.90M,207.54M,,680.27M,680.27M,,70.60M,958.41M,1.420B,109.04M,,109.04M,113.86M,222.90M,,49.94M,,49.94M,,,,272.84M,400.18M,,400.18M,49.44M,49.44M,38.31M,487.93M,760.77M,0.704M,640.86M,52.18M,24.52M,,-9.643M,659.58M
2004-09,23.54M,8.869M,32.41M,214.92M,214.92M,87.28M,42.16M,38.18M,167.62M,9.663M,24.90M,449.51M,,,,,,664.97M,-461.55M,203.42M,,738.66M,738.66M,,,942.08M,1.392B,103.41M,,103.41M,101.05M,204.46M,,79.45M,,79.45M,,,,283.92M,407.96M,,407.96M,53.15M,53.15M,34.75M,495.86M,779.78M,0.702M,613.59M,46.28M,29.08M,,-19.69M,611.81M
2004-06,26.54M,8.999M,35.54M,218.65M,218.65M,87.71M,37.96M,38.40M,164.07M,9.661M,15.03M,442.95M,,,,,,662.02M,-452.73M,209.29M,,698.03M,698.03M,,,907.32M,1.350B,111.75M,,111.75M,108.64M,220.39M,,48.12M,,48.12M,,,,268.51M,414.05M,,414.05M,54.60M,54.60M,29.67M,498.32M,766.84M,0.699M,588.66M,42.68M,29.44M,,-19.16M,583.43M
2004-03,17.66M,9.007M,26.66M,195.25M,195.25M,82.54M,35.66M,33.59M,151.78M,9.662M,14.17M,397.53M,,,,,,640.18M,-431.93M,208.25M,,621.17M,621.17M,,,829.42M,1.227B,103.61M,,103.61M,89.01M,192.62M,,76.52M,,76.52M,,,,269.15M,318.83M,,318.83M,56.88M,56.88M,30.71M,406.43M,675.57M,0.693M,565.05M,35.64M,29.43M,,-20.58M,551.38M
2003-12,14.31M,8.573M,22.89M,189.01M,189.01M,78.92M,35.10M,29.33M,143.36M,6.191M,17.14M,378.58M,0.0,13.58M,131.14M,495.20M,,639.92M,-426.30M,213.62M,,624.91M,624.91M,,,838.53M,1.217B,96.58M,,96.58M,73.94M,170.52M,,106.77M,,106.77M,,,11.94M,289.23M,317.67M,,317.67M,51.37M,51.37M,29.72M,398.76M,687.99M,0.345M,544.42M,33.19M,29.64M,,-19.20M,529.13M
2003-09,16.81M,7.744M,24.55M,190.60M,190.60M,74.31M,37.42M,33.55M,145.28M,11.30M,16.85M,388.60M,,,,,,622.12M,-411.11M,211.01M,,508.74M,508.74M,,109.75M,829.50M,1.218B,88.69M,,88.69M,97.37M,186.06M,,152.91M,,152.91M,,,,338.96M,310.10M,,310.10M,47.49M,47.49M,30.65M,388.25M,727.21M,0.344M,522.07M,25.46M,29.56M,,-27.43M,490.89M
2003-06,26.81M,7.988M,34.80M,190.83M,190.83M,73.22M,34.58M,32.73M,140.54M,11.30M,15.93M,393.39M,,,,,,612.93M,-404.22M,208.71M,,488.93M,488.93M,,88.84M,786.48M,1.180B,93.90M,,93.90M,90.86M,184.76M,,94.16M,,94.16M,,,,278.92M,359.33M,,359.33M,47.34M,47.34M,29.22M,435.89M,714.81M,0.341M,502.30M,18.14M,29.83M,,-25.88M,465.07M
2003-03,21.27M,7.325M,28.60M,197.57M,197.57M,74.32M,36.18M,31.78M,142.28M,10.17M,16.76M,395.38M,,,,,,602.44M,-393.32M,209.12M,,484.65M,484.65M,,89.45M,783.22M,1.179B,90.18M,,90.18M,84.99M,175.17M,,137.36M,,137.36M,,,,312.54M,358.29M,,358.29M,46.35M,46.35M,28.02M,432.66M,745.19M,0.339M,482.48M,14.97M,29.94M,,-34.44M,433.42M
2002-12,13.48M,8.32M,21.80M,175.23M,175.23M,69.58M,33.05M,26.82M,129.45M,10.00M,14.08M,350.57M,0.0,9.224M,116.98M,461.13M,,587.33M,-383.00M,204.33M,,394.86M,394.86M,,80.25M,679.44M,1.030B,81.11M,,81.11M,66.60M,147.71M,,110.42M,,110.42M,,,3.287M,261.42M,279.64M,,279.64M,41.23M,41.23M,27.54M,348.40M,609.82M,0.339M,464.73M,14.04M,24.22M,,-34.72M,420.18M
2002-09,18.27M,5.832M,24.10M,181.42M,181.42M,72.23M,33.69M,29.50M,135.42M,9.886M,15.45M,366.27M,,,,,,583.60M,-376.72M,206.88M,,390.70M,390.70M,,52.35M,649.92M,1.016B,80.60M,,80.60M,83.92M,164.52M,,136.55M,,136.55M,,,,301.08M,279.79M,,279.79M,34.17M,34.17M,3.978M,317.93M,619.01M,0.338M,445.38M,9.431M,24.40M,,-33.57M,397.18M
2002-06,15.42M,8.578M,24.00M,197.07M,197.07M,74.95M,33.90M,33.21M,142.06M,9.886M,13.51M,386.53M,,,,,,578.66M,-369.17M,209.48M,,390.57M,390.57M,,56.33M,656.38M,1.043B,91.15M,,91.15M,88.74M,179.90M,,123.74M,,123.74M,,,,303.64M,303.86M,,303.86M,34.78M,34.78M,16.03M,354.66M,658.30M,0.337M,425.97M,7.599M,17.38M,,-31.91M,384.62M
2002-03,12.36M,9.431M,21.79M,196.92M,196.92M,78.38M,35.24M,32.80M,146.42M,9.991M,15.59M,390.72M,,,,,,562.16M,-352.01M,210.15M,,384.71M,384.71M,,50.97M,645.84M,1.037B,81.70M,,81.70M,81.52M,163.22M,,160.53M,,160.53M,,,,323.75M,302.77M,,302.77M,34.96M,34.96M,20.06M,357.79M,681.54M,0.336M,406.63M,4.113M,17.27M,,-38.79M,355.02M
2001-12,14.14M,8.215M,22.35M,181.03M,181.03M,84.29M,36.92M,31.31M,152.52M,10.10M,13.34M,379.35M,0.0,8.902M,112.84M,440.01M,,561.75M,-347.26M,214.49M,387.42M,,387.42M,,48.03M,649.94M,1.029B,86.71M,,86.71M,80.50M,167.21M,,167.40M,,167.40M,,,1.541M,336.15M,303.43M,,303.43M,33.50M,33.50M,21.15M,358.08M,694.23M,0.334M,388.93M,0.683M,17.86M,,-37.02M,335.06M
2001-09,7.943M,6.431M,14.37M,204.08M,204.08M,81.45M,33.78M,31.23M,146.45M,10.45M,13.31M,388.67M,,,,,,546.49M,-333.85M,212.64M,,347.10M,347.10M,,48.60M,608.33M,997.00M,79.70M,,79.70M,,79.70M,,141.33M,,141.33M,,,94.74M,315.78M,305.86M,,305.86M,36.06M,36.06M,12.56M,354.47M,670.24M,0.334M,379.43M,0.293M,17.82M,,-35.48M,326.76M
2001-06,7.806M,7.173M,14.98M,196.68M,196.68M,81.63M,33.76M,31.06M,146.44M,10.52M,10.63M,379.25M,0.0,537.01M,,,,537.01M,-324.29M,212.72M,,314.55M,314.55M,,47.02M,574.30M,953.55M,79.05M,,79.05M,82.52M,161.57M,,188.57M,,188.57M,,,,350.14M,231.64M,,231.64M,34.36M,34.36M,15.18M,281.17M,631.32M,0.334M,363.68M,0.023M,7.862M,,-33.94M,322.24M
2001-03,7.207M,6.783M,13.99M,145.55M,145.55M,76.18M,33.36M,27.45M,136.99M,10.59M,10.78M,317.90M,0.0,527.93M,,,,527.93M,-318.43M,209.50M,296.18M,,296.18M,,46.03M,551.71M,869.62M,77.56M,,77.56M,83.36M,160.92M,,130.22M,,130.22M,,,,291.14M,232.98M,,232.98M,34.18M,34.18M,11.41M,278.56M,569.70M,0.334M,347.01M,0.163M,14.20M,,-33.39M,299.92M
2000-12,7.187M,8.111M,15.30M,,139.57M,,,,129.36M,,18.87M,303.10M,,,,,,528.52M,-314.57M,213.96M,,299.48M,299.48M,,42.45M,555.89M,858.99M,127.60M,,127.60M,,127.60M,,87.32M,,87.32M,,,82.74M,297.66M,233.62M,,233.62M,33.17M,33.17M,13.71M,280.50M,578.15M,0.334M,330.70M,2.248M,22.28M,,-30.16M,280.84M
2000-09,6.942M,8.546M,15.49M,,136.71M,,,,130.03M,,20.95M,303.18M,,,,,,518.99M,-309.18M,209.81M,,298.26M,298.26M,,47.54M,555.61M,858.79M,77.03M,,77.03M,,77.03M,,147.28M,,147.28M,,,91.06M,315.37M,232.94M,,232.94M,28.73M,28.73M,23.80M,285.48M,600.85M,0.334M,315.39M,0.798M,25.79M,-32.79M,-32.79M,257.94M
2000-06,3.394M,8.289M,11.68M,,124.81M,,,,113.72M,,23.94M,274.15M,,,,,,511.77M,-306.44M,205.33M,,246.52M,246.52M,,45.98M,497.83M,771.98M,72.23M,,72.23M,,72.23M,,80.12M,,80.12M,,,87.77M,240.11M,234.08M,,234.08M,28.60M,28.60M,25.52M,288.20M,528.31M,0.334M,300.00M,1.222M,27.21M,-30.67M,-30.67M,243.67M
2000-03,4.822M,6.982M,11.80M,116.81M,116.81M,,,,110.17M,10.77M,13.17M,262.72M,,,,,,511.15M,-301.19M,209.96M,,248.17M,248.17M,,47.30M,505.44M,768.16M,69.26M,,69.26M,86.95M,156.22M,,98.40M,,98.40M,,,,254.62M,231.40M,,231.40M,27.95M,27.95M,26.80M,286.15M,540.77M,0.334M,284.70M,1.703M,29.14M,-30.21M,-30.21M,227.39M
1999-12,8.60M,6.80M,15.40M,112.80M,112.80M,,,,102.40M,,25.50M,256.10M,,,,,,516.80M,-297.20M,219.60M,,248.30M,248.30M,,44.20M,512.10M,768.20M,73.40M,,73.40M,,73.40M,,99.70M,,99.70M,,,89.60M,262.70M,231.80M,,231.80M,27.80M,27.80M,29.70M,289.30M,552.00M,0.30M,269.90M,2.00M,28.60M,,-27.40M,216.20M
1999-09,9.602M,9.119M,18.72M,155.10M,155.10M,,,,99.94M,12.74M,10.44M,296.95M,,,,,,510.86M,-296.28M,214.57M,,236.08M,236.08M,,67.96M,518.62M,815.56M,58.60M,,58.60M,,58.60M,,162.46M,,162.46M,,,92.92M,313.98M,226.66M,,226.66M,25.50M,25.50M,36.73M,288.88M,602.87M,0.334M,256.77M,2.00M,19.68M,,-26.74M,212.70M
1999-06,7.505M,10.54M,18.04M,153.05M,153.05M,49.63M,25.83M,21.57M,97.03M,13.71M,8.488M,290.32M,,,,,,496.16M,-288.56M,207.60M,,181.43M,181.43M,,68.19M,457.22M,747.54M,73.10M,,73.10M,,73.10M,,99.42M,,99.42M,,,88.43M,260.95M,226.70M,,226.70M,27.44M,27.44M,36.33M,290.46M,551.41M,0.334M,243.14M,2.705M,21.61M,,-28.44M,196.13M
1999-03,8.577M,9.525M,18.10M,148.62M,148.62M,48.21M,21.97M,20.79M,90.96M,13.75M,9.838M,281.27M,,,,,,493.58M,-284.87M,208.72M,,169.32M,169.32M,,67.03M,445.07M,726.34M,69.18M,,69.18M,,69.18M,,93.18M,,93.18M,,,91.96M,254.32M,226.78M,,226.78M,27.57M,27.57M,35.84M,290.20M,544.52M,0.334M,229.50M,4.223M,25.49M,,-26.75M,181.82M
1998-12,9.80M,7.10M,16.90M,139.20M,139.20M,,,,89.80M,,21.90M,267.80M,,,,,,497.90M,-283.50M,214.40M,,149.20M,149.20M,,68.40M,432.00M,699.80M,68.30M,,68.30M,,68.30M,,78.30M,,78.30M,,,87.30M,233.90M,227.00M,,227.00M,28.10M,28.10M,36.80M,291.90M,525.80M,0.30M,216.80M,4.70M,27.00M,,-20.90M,174.00M
1998-09,6.024M,8.838M,14.86M,156.34M,156.34M,,,,96.75M,13.22M,7.143M,288.33M,,,,,,488.92M,-279.33M,209.59M,,150.52M,150.52M,,74.29M,434.41M,722.74M,93.13M,,93.13M,,93.13M,,75.46M,,75.46M,,,82.29M,250.88M,241.07M,,241.07M,31.19M,31.19M,30.37M,302.63M,553.51M,0.334M,212.64M,2.578M,25.71M,,-20.61M,169.22M
1998-06,6.673M,11.01M,17.68M,165.12M,165.12M,,,,105.58M,12.03M,6.992M,307.40M,,,,,,467.26M,-268.76M,198.50M,,151.34M,151.34M,,66.87M,416.71M,724.12M,91.05M,,91.05M,,91.05M,,72.58M,,72.58M,,,94.62M,258.26M,222.81M,,222.81M,30.10M,30.10M,33.94M,286.86M,545.11M,0.334M,209.26M,2.799M,10.53M,,-22.85M,179.00M
1998-03,1.321M,11.48M,12.80M,154.96M,154.96M,,,,101.65M,11.74M,6.872M,288.02M,,,,,,456.51M,-260.90M,195.62M,,210.42M,210.42M,,,406.04M,694.06M,84.17M,,84.17M,,84.17M,,73.09M,,73.09M,,,95.54M,252.80M,212.20M,,212.20M,29.57M,29.57M,35.10M,276.88M,529.68M,0.334M,195.84M,3.249M,11.50M,,-23.55M,164.38M
